model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,traDP,picntrl,1514.5,2050.5,0.8,15,1,1,17.54265336379821,-0.14490447566429018,1728,"['9_lag_traFSC', '3_lag_stratZ50ndj04', '1_lag_6_median_nppc2SSTjfm', '1_lag_5_median_amoSSTmjjaso', '8_lag_tripol2', '10_lag_neurTSjfm', '1_lag_9_median_gyreSSTjfm', '1_lag_4_median_traFS', '9_lag_stratZ50ndj02', '1_lag_10_median_nhSICjfm']","[5.83421967009925, 6.734816788924687, 4.465014099274338, 1.4927735052366398, 4.1454678060125305, 2.5083230366524667, 9.642913471969802, 4.385878731454866, 0.4373434867134769, 0.6248164603806856]","9_lag_traFSC, 3_lag_stratZ50ndj04, 1_lag_6_median_nppc2SSTjfm, 1_lag_5_median_amoSSTmjjaso, 8_lag_tripol2, 10_lag_neurTSjfm, 1_lag_9_median_gyreSSTjfm, 1_lag_4_median_traFS, 9_lag_stratZ50ndj02, 1_lag_10_median_nhSICjfm_1728_1"
LRforcedPSO,1,10,traDP,picntrl,1515.5,2050.5,0.8,16,1,1,14.570445859932866,0.08432544073954751,1856,"['5_lag_wnorPRjfm', '15_lag_atlSICsep', '9_lag_naoPSLjfm', '7_lag_shTSjfm', '5_lag_shSICmar', '1_lag_5_median_mhfATL30', '7_lag_traIT', '5_lag_traBS', '1_lag_3_median_samPSLann', '4_lag_tripol2']","[3.6643643582094487, 0.7654775073169127, 4.263202004434328, 9.881163237920322, 3.7189056574930746, 2.722179853453066, 3.172233719657404, 2.5632992063712585, 3.435732681936214, 8.984042242176098]","5_lag_wnorPRjfm, 15_lag_atlSICsep, 9_lag_naoPSLjfm, 7_lag_shTSjfm, 5_lag_shSICmar, 1_lag_5_median_mhfATL30, 7_lag_traIT, 5_lag_traBS, 1_lag_3_median_samPSLann, 4_lag_tripol2_1856_1"
LRforcedPSO,2,10,traDP,picntrl,1516.5,2050.5,0.8,17,1,1,12.144873568785142,0.040861384533306656,1984,"['16_lag_stratZ50ndj02', '1_lag_2_median_traTLS', '1_lag_mhfATL45', '1_lag_9_median_nhSICsep', '14_lag_stratZ50ndj02', '8_lag_traDP', '1_lag_14_median_nppc2SSTjfm', '1_lag_12_median_stratZ50ndj04', '1_lag_11_median_traFSC', '13_lag_labSSTjfm']","[1.0836423631816672, 2.2744241913803727, 0.8475640113548621, 1.8420532606644446, 4.65289110917994, 8.82145972580512, 0.003956654606051657, 6.6746076489569965, 0.1903420021763793, 7.796848282821795]","16_lag_stratZ50ndj02, 1_lag_2_median_traTLS, 1_lag_mhfATL45, 1_lag_9_median_nhSICsep, 14_lag_stratZ50ndj02, 8_lag_traDP, 1_lag_14_median_nppc2SSTjfm, 1_lag_12_median_stratZ50ndj04, 1_lag_11_median_traFSC, 13_lag_labSSTjfm_1984_1"
LRforcedPSO,3,10,traDP,picntrl,1517.5,2050.5,0.8,18,1,1,15.420176224798515,0.21613032895234868,2112,"['1_lag_3_median_mhfATL30', '15_lag_stratZ50ndj01', '1_lag_14_median_atlSICjfm', '16_lag_satlSSTjfm', '1_lag_15_median_nhTSjfm', '16_lag_stratZ50ndj04', '1_lag_10_median_labSSTjfm', '1_lag_11_median_samPSLann', '1_lag_10_median_eapPSLjfm', '4_lag_stratZ50ndj01']","[2.3321922810312845, 1.5059042608887747, 9.248637895536707, 2.7011632628580493, 7.990409399710142, 5.6955866369287005, 7.272918386337319, 0.02784214975951471, 8.671725339494806, 3.597010457669567]","1_lag_3_median_mhfATL30, 15_lag_stratZ50ndj01, 1_lag_14_median_atlSICjfm, 16_lag_satlSSTjfm, 1_lag_15_median_nhTSjfm, 16_lag_stratZ50ndj04, 1_lag_10_median_labSSTjfm, 1_lag_11_median_samPSLann, 1_lag_10_median_eapPSLjfm, 4_lag_stratZ50ndj01_2112_1"
LRforcedPSO,4,10,traDP,picntrl,1518.5,2050.5,0.8,19,1,1,14.101867553599364,0.4359651663879184,2240,"['2_lag_glomaSSTjfm', '1_lag_3_median_amo3', '1_lag_6_median_AMOCann', '6_lag_traEC', '1_lag_10_median_shTSjfm', '2_lag_glTSjfm', '1_lag_tripol1', '7_lag_nppc2SSTjfm', '1_lag_10_median_nppc3SSTjfm', '1_lag_2_median_traBS']","[5.020368668460984, 2.0723221012107302, 2.747281857876793, 5.213610155412615, 8.388398064716998, 3.646940590699341, 0.060683848164650556, 2.7096129565907106, 1.1107230082113144, 5.336983398037301]","2_lag_glomaSSTjfm, 1_lag_3_median_amo3, 1_lag_6_median_AMOCann, 6_lag_traEC, 1_lag_10_median_shTSjfm, 2_lag_glTSjfm, 1_lag_tripol1, 7_lag_nppc2SSTjfm, 1_lag_10_median_nppc3SSTjfm, 1_lag_2_median_traBS_2240_1"
LRforcedPSO,5,10,traDP,picntrl,1519.5,2050.5,0.8,20,1,1,13.87269739476031,0.12741720880925658,2368,"['1_lag_5_median_AMOCann', '1_lag_19_median_shTSjfm', '13_lag_mhfIP30', '7_lag_traBS', '11_lag_tripol3', '9_lag_cetTSjfm', '9_lag_wnorPRjfm', '8_lag_shSICmar', '4_lag_nppc3SSTjfm', '3_lag_ensoSSTjfm']","[8.274948167115939, 5.371797929866478, 1.2522817276424725, 1.713125245730895, 2.6793146908184404, 7.845387925568453, 3.7829004626124547, 8.715150823755852, 4.653930239166717, 4.868353328531157]","1_lag_5_median_AMOCann, 1_lag_19_median_shTSjfm, 13_lag_mhfIP30, 7_lag_traBS, 11_lag_tripol3, 9_lag_cetTSjfm, 9_lag_wnorPRjfm, 8_lag_shSICmar, 4_lag_nppc3SSTjfm, 3_lag_ensoSSTjfm_2368_1"
LRforcedPSO,6,10,traDP,picntrl,1520.5,2050.5,0.8,21,1,1,15.109465809223243,-0.23861698869960693,2496,"['11_lag_wnorPRjfm', '1_lag_6_median_pdoSSTjfm', '17_lag_traBS', '7_lag_eapPSLjfm', '13_lag_traDS', '16_lag_traFB', '1_lag_2_median_stratZ50ndj02', '9_lag_alpi', '1_lag_11_median_traFS', '16_lag_ginwSSTjfm']","[1.195140535211074, 5.784494797521134, 1.5984345124466781, 5.4880043307383275, 2.643703713264623, 1.1218943290692796, 3.5840567890464055, 4.27614751923551, 5.083169959306688, 1.188531866106004]","11_lag_wnorPRjfm, 1_lag_6_median_pdoSSTjfm, 17_lag_traBS, 7_lag_eapPSLjfm, 13_lag_traDS, 16_lag_traFB, 1_lag_2_median_stratZ50ndj02, 9_lag_alpi, 1_lag_11_median_traFS, 16_lag_ginwSSTjfm_2496_1"
LRforcedPSO,7,10,traDP,picntrl,1521.5,2050.5,0.8,22,2,2,11.852509618344286,-0.03138314815408725,2496,"['9_lag_labSSTjfm', '8_lag_nppc3SSTjfm', '2_lag_6_median_amoSSTmjjaso', '2_lag_13_median_traDP', '2_lag_15_median_traDS', '2_lag_6_median_cetTSjfm', '19_lag_eapPSLjfm', '15_lag_seurTSjfm', '6_lag_traFSC', '2_lag_9_median_traMC']","[2.7325513411256726, 3.196641125346929, 3.789845816130981, 6.023349396611831, 5.715952326545137, 0.8637845802221413, 5.513084038175233, 0.061149196466658395, 1.9526893346643277, 0.11183775101324223]","9_lag_labSSTjfm, 8_lag_nppc3SSTjfm, 2_lag_6_median_amoSSTmjjaso, 2_lag_13_median_traDP, 2_lag_15_median_traDS, 2_lag_6_median_cetTSjfm, 19_lag_eapPSLjfm, 15_lag_seurTSjfm, 6_lag_traFSC, 2_lag_9_median_traMC_2496_2"
LRforcedPSO,8,10,traDP,picntrl,1522.5,2050.5,0.8,23,3,3,12.582813948663802,0.18249225704328473,2496,"['3_lag_6_median_amo2', '22_lag_traCA', '3_lag_18_median_stratZ50ndj03', '19_lag_mhfATL30', '4_lag_atlSICsep', '6_lag_shSICmar', '3_lag_19_median_traIFC', '3_lag_15_median_glTSjfm', '3_lag_19_median_mhfIP30', '4_lag_seurTSjfm']","[3.3408615249808715, 1.974686206955278, 2.3538401047518125, 0.00255848161576111, 8.138322150831925, 7.224866567406616, 2.080013833568546, 3.5728246849577854, 2.553310502180393, 3.476215265978122]","3_lag_6_median_amo2, 22_lag_traCA, 3_lag_18_median_stratZ50ndj03, 19_lag_mhfATL30, 4_lag_atlSICsep, 6_lag_shSICmar, 3_lag_19_median_traIFC, 3_lag_15_median_glTSjfm, 3_lag_19_median_mhfIP30, 4_lag_seurTSjfm_2496_3"
LRforcedPSO,9,10,traDP,picntrl,1523.5,2050.5,0.8,24,4,4,13.99097338478154,-0.1260854809268129,2496,"['16_lag_pdoSSTjfm', '4_lag_14_median_nhSICjfm', '21_lag_tripol3', '4_lag_7_median_amo3', '23_lag_atlSICjfm', '22_lag_atlSICsep', '7_lag_tripol2', '14_lag_traMC', '11_lag_amo2', '4_lag_17_median_atlSICjfm']","[1.6148821281875279, 1.3469128988994683, 2.248837354963996, 1.1248279230358893, 6.952656323907313, 3.7477692662333, 6.752200405016026, 4.0960969688216275, 3.9380763367415295, 4.118283143870599]","16_lag_pdoSSTjfm, 4_lag_14_median_nhSICjfm, 21_lag_tripol3, 4_lag_7_median_amo3, 23_lag_atlSICjfm, 22_lag_atlSICsep, 7_lag_tripol2, 14_lag_traMC, 11_lag_amo2, 4_lag_17_median_atlSICjfm_2496_4"
