model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,30,traDP,picntrl,1066.5,2050.5,0.8,15,1,1,7.634548541992537,0.7421909000494121,1728,"['1_lag_6_median_amo2', '1_lag_8_median_wnorPRjfm', '12_lag_ensoSSTjfm', '11_lag_traBS', '7_lag_alpi', '6_lag_traMC', '1_lag_gyreSSTjfm', '13_lag_cetTSjfm', '4_lag_labSSTjfm', '5_lag_alpi', '11_lag_traWP', '10_lag_seurTSjfm', '1_lag_6_median_atlSICjfm', '4_lag_eurPSLjfm', '1_lag_4_median_amoSSTmjjaso', '12_lag_pdoSSTjfm', '13_lag_nppc2SSTjfm', '1_lag_4_median_traDS', '1_lag_6_median_traFSC', '1_lag_8_median_alpi', '7_lag_traWP', '3_lag_traDP', '9_lag_traIT', '4_lag_traCA', '1_lag_4_median_satlSSTjfm', '12_lag_samPSLann', '4_lag_nppc2SSTjfm', '1_lag_4_median_neurTSjfm', '1_lag_6_median_stratZ50ndj04', '4_lag_mhfATL45']","[0.047681499938828024, 0.15812861097170897, 0.04822510962366815, 0.007911807983097246, 0.010606998752103835, 0.02844809872367079, 0.002326532387871984, 0.04332124468578142, 0.0028414648713413057, 0.028501378941540846, 0.01699098992517133, 0.003372772950913348, 0.03442598801195102, 0.007841516550208294, 0.05988312109832535, 0.0034587059314639345, 0.0015374977442511636, 0.020748437521147564, 0.1631090192680146, 0.10669626770140436, 0.0603552101752083, 0.7633628545654472, 0.0354471990091768, 0.0060548956454493374, 0.08574236525702895, 0.003575466030854896, 0.016395816062731702, 0.04801862083001869, 0.0527891535541405, 0.06003725559131415]","1_lag_6_median_amo2, 1_lag_8_median_wnorPRjfm, 12_lag_ensoSSTjfm, 11_lag_traBS, 7_lag_alpi, 6_lag_traMC, 1_lag_gyreSSTjfm, 13_lag_cetTSjfm, 4_lag_labSSTjfm, 5_lag_alpi, 11_lag_traWP, 10_lag_seurTSjfm, 1_lag_6_median_atlSICjfm, 4_lag_eurPSLjfm, 1_lag_4_median_amoSSTmjjaso, 12_lag_pdoSSTjfm, 13_lag_nppc2SSTjfm, 1_lag_4_median_traDS, 1_lag_6_median_traFSC, 1_lag_8_median_alpi, 7_lag_traWP, 3_lag_traDP, 9_lag_traIT, 4_lag_traCA, 1_lag_4_median_satlSSTjfm, 12_lag_samPSLann, 4_lag_nppc2SSTjfm, 1_lag_4_median_neurTSjfm, 1_lag_6_median_stratZ50ndj04, 4_lag_mhfATL45_1728_1"
LinearRegression,1,30,traDP,picntrl,1067.5,2050.5,0.8,16,1,1,7.949342483171522,0.7090409580304534,1856,"['6_lag_traEU', '4_lag_stratZ50ndj01', '4_lag_nppc2SSTjfm', '1_lag_scpPSLjfm', '9_lag_traEC', '5_lag_traFB', '12_lag_ensoSSTjfm', '7_lag_alpi', '15_lag_wnorPRjfm', '5_lag_labSSTjfm', '13_lag_cetTSjfm', '12_lag_samPSLann', '1_lag_5_median_scpPSLjfm', '11_lag_traWP', '1_lag_amo1', '5_lag_alpi', '15_lag_amo1', '10_lag_seurTSjfm', '1_lag_4_median_traWP', '1_lag_8_median_alpi', '1_lag_gyreSSTjfm', '4_lag_traCA', '9_lag_traIT', '15_lag_samPSLann', '3_lag_traDP', '1_lag_4_median_neurTSjfm', '7_lag_traWP', '4_lag_mhfATL45', '1_lag_6_median_stratZ50ndj04', '6_lag_traMC']","[0.046355562703787476, 0.029935051632633727, 0.028812746324472244, 0.08156388542168981, 0.012313833409383215, 0.054029747697109325, 0.04734917152543385, 0.020783372608874046, 0.012477871247287893, 0.052329940034321426, 0.03018034290284546, 0.0007811700501857994, 0.09383365804770283, 0.013800807771327743, 0.05695165863709777, 0.03140713694740875, 0.0005288733623282197, 6.92145158835407e-05, 0.023667674153428336, 0.09385302269443732, 0.009899641387775004, 0.019860342763045127, 0.05065617803654243, 0.031805531764735225, 0.7999154450510845, 0.004778336336234706, 0.06280750416188041, 0.04999214867069128, 0.04072914347708967, 0.019930809755451095]","6_lag_traEU, 4_lag_stratZ50ndj01, 4_lag_nppc2SSTjfm, 1_lag_scpPSLjfm, 9_lag_traEC, 5_lag_traFB, 12_lag_ensoSSTjfm, 7_lag_alpi, 15_lag_wnorPRjfm, 5_lag_labSSTjfm, 13_lag_cetTSjfm, 12_lag_samPSLann, 1_lag_5_median_scpPSLjfm, 11_lag_traWP, 1_lag_amo1, 5_lag_alpi, 15_lag_amo1, 10_lag_seurTSjfm, 1_lag_4_median_traWP, 1_lag_8_median_alpi, 1_lag_gyreSSTjfm, 4_lag_traCA, 9_lag_traIT, 15_lag_samPSLann, 3_lag_traDP, 1_lag_4_median_neurTSjfm, 7_lag_traWP, 4_lag_mhfATL45, 1_lag_6_median_stratZ50ndj04, 6_lag_traMC_1856_1"
LinearRegression,2,30,traDP,picntrl,1068.5,2050.5,0.8,17,1,1,7.463021592111595,0.7473005672607167,1984,"['1_lag_3_median_traDP', '12_lag_traFB', '14_lag_nppc2SSTjfm', '16_lag_shSICsep', '4_lag_stratZ50ndj01', '1_lag_4_median_satlSSTjfm', '1_lag_4_median_traWP', '7_lag_alpi', '4_lag_ormenSSTjfm', '13_lag_cetTSjfm', '13_lag_tripol3', '4_lag_traCA', '15_lag_amo1', '7_lag_nppc2SSTjfm', '9_lag_traIT', '15_lag_stratZ50ndj02', '5_lag_alpi', '1_lag_amo1', '1_lag_6_median_stratZ50ndj04', '16_lag_eapPSLjfm', '9_lag_traEC', '6_lag_traEU', '7_lag_traWP', '10_lag_seurTSjfm', '1_lag_8_median_alpi', '1_lag_4_median_neurTSjfm', '4_lag_mhfATL45', '3_lag_traDP', '6_lag_traMC', '15_lag_samPSLann']","[0.9460840032797506, 0.049580677226775074, 0.021023298979230467, 0.09783251359064263, 0.03705212936270836, 0.06142905540067321, 0.027834606445583096, 0.004891567889546717, 0.0059187777204773315, 0.05437401372736442, 0.000665105032706809, 0.013644853065804298, 0.01648330506948693, 0.0456412610199818, 0.0754059063057845, 0.0037299842232550286, 0.04007436762997685, 0.05070012869739561, 0.022697917301759102, 0.024771753972860855, 0.0069070832981071905, 0.04631026766787428, 0.044960096511392406, 0.010155048729700052, 0.09212917902016056, 0.008116584629321678, 0.030860115929079272, 0.12554751502191203, 0.02084397641617355, 0.02782926588016405]","1_lag_3_median_traDP, 12_lag_traFB, 14_lag_nppc2SSTjfm, 16_lag_shSICsep, 4_lag_stratZ50ndj01, 1_lag_4_median_satlSSTjfm, 1_lag_4_median_traWP, 7_lag_alpi, 4_lag_ormenSSTjfm, 13_lag_cetTSjfm, 13_lag_tripol3, 4_lag_traCA, 15_lag_amo1, 7_lag_nppc2SSTjfm, 9_lag_traIT, 15_lag_stratZ50ndj02, 5_lag_alpi, 1_lag_amo1, 1_lag_6_median_stratZ50ndj04, 16_lag_eapPSLjfm, 9_lag_traEC, 6_lag_traEU, 7_lag_traWP, 10_lag_seurTSjfm, 1_lag_8_median_alpi, 1_lag_4_median_neurTSjfm, 4_lag_mhfATL45, 3_lag_traDP, 6_lag_traMC, 15_lag_samPSLann_1984_1"
LinearRegression,3,30,traDP,picntrl,1069.5,2050.5,0.8,18,1,1,7.44551950135137,0.7388521486764384,2112,"['1_lag_mhfATL60', '15_lag_mhfATL30', '5_lag_labSSTjfm', '14_lag_stratZ50ndj03', '15_lag_nppc2SSTjfm', '1_lag_3_median_traDP', '5_lag_traFB', '17_lag_pdoSSTjfm', '13_lag_ormenSSTjfm', '15_lag_wnorPRjfm', '16_lag_shSICsep', '1_lag_amo1', '13_lag_nppc2SSTjfm', '16_lag_eapPSLjfm', '5_lag_alpi', '7_lag_nppc2SSTjfm', '7_lag_traWP', '1_lag_4_median_neurTSjfm', '1_lag_8_median_alpi', '17_lag_mhfATL45', '11_lag_tripol3', '15_lag_stratZ50ndj02', '17_lag_traBS', '17_lag_wnorPRjfm', '3_lag_traDP', '14_lag_nppc2SSTjfm', '15_lag_amo1', '4_lag_mhfATL45', '6_lag_traMC', '15_lag_samPSLann']","[0.008038806393540208, 0.012240036175297453, 0.0320683684454969, 0.044222532953574416, 0.030210077949067046, 0.9159841846530152, 0.029019523793611075, 0.02008417941962219, 0.0239153052402917, 0.027336092637200927, 0.09274275739349015, 0.048567912862885115, 0.03141792081998182, 0.02335781780944625, 0.03838248224432395, 0.0257003491841946, 0.05141077052840207, 0.009986802528595982, 0.07262636676794443, 0.08802249298278916, 0.039498708567668205, 0.01342689285297061, 0.010576012138198379, 0.019685083202078128, 0.09019166618302932, 0.04187628482199673, 0.017302346939655208, 0.0468651182659838, 0.02280135152855705, 0.04484482091312279]","1_lag_mhfATL60, 15_lag_mhfATL30, 5_lag_labSSTjfm, 14_lag_stratZ50ndj03, 15_lag_nppc2SSTjfm, 1_lag_3_median_traDP, 5_lag_traFB, 17_lag_pdoSSTjfm, 13_lag_ormenSSTjfm, 15_lag_wnorPRjfm, 16_lag_shSICsep, 1_lag_amo1, 13_lag_nppc2SSTjfm, 16_lag_eapPSLjfm, 5_lag_alpi, 7_lag_nppc2SSTjfm, 7_lag_traWP, 1_lag_4_median_neurTSjfm, 1_lag_8_median_alpi, 17_lag_mhfATL45, 11_lag_tripol3, 15_lag_stratZ50ndj02, 17_lag_traBS, 17_lag_wnorPRjfm, 3_lag_traDP, 14_lag_nppc2SSTjfm, 15_lag_amo1, 4_lag_mhfATL45, 6_lag_traMC, 15_lag_samPSLann_2112_1"
LinearRegression,4,30,traDP,picntrl,1070.5,2050.5,0.8,19,1,1,7.854486256264644,0.7177714060677981,2240,"['18_lag_amo1', '4_lag_nppc2SSTjfm', '1_lag_4_median_traDS', '14_lag_traFB', '4_lag_stratZ50ndj01', '15_lag_seurTSjfm', '13_lag_nppc2SSTjfm', '18_lag_ensoSSTjfm', '17_lag_mhfATL60', '8_lag_traCA', '17_lag_pdoSSTjfm', '3_lag_traDP', '7_lag_traWP', '17_lag_traBS', '1_lag_8_median_alpi', '18_lag_traMC', '1_lag_amo1', '1_lag_4_median_neurTSjfm', '15_lag_wnorPRjfm', '13_lag_amo3', '18_lag_amo3', '5_lag_traFB', '18_lag_traDP', '15_lag_stratZ50ndj02', '17_lag_wnorPRjfm', '4_lag_mhfATL45', '15_lag_amo1', '6_lag_traMC', '14_lag_nppc2SSTjfm', '15_lag_samPSLann']","[0.02387507077029157, 0.031806992796488354, 0.06268706253069611, 0.04255638194514413, 0.0387350638408763, 0.001167756308341857, 0.007197207825380936, 0.02051235344568762, 0.04895039614928741, 0.006308878711136014, 0.0369584072448198, 0.6886619388362957, 0.06896885614807195, 0.03273384656713054, 0.09333825602920083, 0.03971126569942463, 0.03254736579030608, 0.0033615745614728964, 0.02692693212995014, 0.05959890927685851, 0.07166707721469653, 0.04988596511390137, 0.15083280019863884, 0.014630235660015797, 0.042210906663960046, 0.03757280873078403, 0.00881741820724141, 0.01104457125697536, 0.05450275893221899, 0.057569832147427356]","18_lag_amo1, 4_lag_nppc2SSTjfm, 1_lag_4_median_traDS, 14_lag_traFB, 4_lag_stratZ50ndj01, 15_lag_seurTSjfm, 13_lag_nppc2SSTjfm, 18_lag_ensoSSTjfm, 17_lag_mhfATL60, 8_lag_traCA, 17_lag_pdoSSTjfm, 3_lag_traDP, 7_lag_traWP, 17_lag_traBS, 1_lag_8_median_alpi, 18_lag_traMC, 1_lag_amo1, 1_lag_4_median_neurTSjfm, 15_lag_wnorPRjfm, 13_lag_amo3, 18_lag_amo3, 5_lag_traFB, 18_lag_traDP, 15_lag_stratZ50ndj02, 17_lag_wnorPRjfm, 4_lag_mhfATL45, 15_lag_amo1, 6_lag_traMC, 14_lag_nppc2SSTjfm, 15_lag_samPSLann_2240_1"
LinearRegression,5,30,traDP,picntrl,1071.5,2050.5,0.8,20,1,1,7.837532529792778,0.7131615142804657,2368,"['18_lag_traDP', '13_lag_nppc2SSTjfm', '7_lag_pdoSSTjfm', '19_lag_yrvPRjja', '18_lag_eapPSLjfm', '16_lag_atlSICjfm', '18_lag_amo1', '1_lag_8_median_alpi', '17_lag_traFB', '4_lag_stratZ50ndj01', '18_lag_traMC', '8_lag_traDS', '1_lag_traMC', '16_lag_naoPSLjfm', '5_lag_labSSTjfm', '1_lag_amo1', '15_lag_stratZ50ndj02', '18_lag_amo3', '17_lag_traBS', '17_lag_pdoSSTjfm', '17_lag_wnorPRjfm', '3_lag_traDP', '14_lag_traFB', '14_lag_nppc2SSTjfm', '18_lag_ginwSSTjfm', '4_lag_mhfATL45', '6_lag_traMC', '15_lag_wnorPRjfm', '15_lag_amo1', '15_lag_samPSLann']","[0.15784689782032604, 0.0027505611644704775, 0.02302907318596845, 0.030602565031594385, 0.04366855434700826, 0.0038077692576188823, 0.0065451633057832265, 0.08418162950680898, 0.04051455783152506, 0.0375246147414706, 0.03702825871986602, 0.046546118181516834, 0.04977474503442326, 0.0050617577972720115, 0.05843504537358691, 0.04104774873083648, 0.014668558869844884, 0.04520918943901291, 0.0209812646086052, 0.03293381903953732, 0.05162036241953907, 0.6940948379262546, 0.04332115629035008, 0.0416989778543911, 0.061235748742322973, 0.06326832889844633, 0.025816392518859293, 0.029918673726280078, 0.0039056560649997074, 0.04480174069506991]","18_lag_traDP, 13_lag_nppc2SSTjfm, 7_lag_pdoSSTjfm, 19_lag_yrvPRjja, 18_lag_eapPSLjfm, 16_lag_atlSICjfm, 18_lag_amo1, 1_lag_8_median_alpi, 17_lag_traFB, 4_lag_stratZ50ndj01, 18_lag_traMC, 8_lag_traDS, 1_lag_traMC, 16_lag_naoPSLjfm, 5_lag_labSSTjfm, 1_lag_amo1, 15_lag_stratZ50ndj02, 18_lag_amo3, 17_lag_traBS, 17_lag_pdoSSTjfm, 17_lag_wnorPRjfm, 3_lag_traDP, 14_lag_traFB, 14_lag_nppc2SSTjfm, 18_lag_ginwSSTjfm, 4_lag_mhfATL45, 6_lag_traMC, 15_lag_wnorPRjfm, 15_lag_amo1, 15_lag_samPSLann_2368_1"
LinearRegression,6,30,traDP,picntrl,1072.5,2050.5,0.8,21,1,1,7.8959580651227945,0.7064461759264705,2496,"['16_lag_atlSICjfm', '1_lag_traMC', '5_lag_traFB', '14_lag_nppc2SSTjfm', '8_lag_traDS', '11_lag_nchinaPRjja', '18_lag_traMC', '20_lag_nppc2SSTjfm', '7_lag_nppc2SSTjfm', '4_lag_stratZ50ndj01', '5_lag_eapPSLjfm', '14_lag_traFB', '17_lag_neurTSjfm', '15_lag_stratZ50ndj02', '1_lag_nppc3SSTjfm', '17_lag_wnorPRjfm', '14_lag_traEU', '3_lag_traDP', '1_lag_amo1', '18_lag_traDP', '13_lag_shSICmar', '18_lag_eapPSLjfm', '1_lag_8_median_alpi', '18_lag_amo3', '15_lag_wnorPRjfm', '4_lag_mhfATL45', '6_lag_traMC', '15_lag_amo1', '18_lag_ginwSSTjfm', '15_lag_samPSLann']","[0.0065849460180119074, 0.05100908302715923, 0.06038957379706699, 0.040276779037863475, 0.02771189784528265, 0.028790698534622117, 0.03699060295317487, 0.04888942737789049, 0.060885454091803515, 0.032792756552612184, 0.015799260553634144, 0.038141633216826974, 0.09671427664817348, 0.02077797347185209, 0.010986273776347996, 0.020744391319017855, 0.02470665041551743, 0.6890162910918238, 0.033214281834784795, 0.156590370469058, 0.07836521055176064, 0.03054571964664736, 0.07516531001714737, 0.056683345573990226, 0.03474055090584022, 0.05112217768506594, 0.027396945039621534, 0.010432897682887517, 0.07392803978401472, 0.051925610480605]","16_lag_atlSICjfm, 1_lag_traMC, 5_lag_traFB, 14_lag_nppc2SSTjfm, 8_lag_traDS, 11_lag_nchinaPRjja, 18_lag_traMC, 20_lag_nppc2SSTjfm, 7_lag_nppc2SSTjfm, 4_lag_stratZ50ndj01, 5_lag_eapPSLjfm, 14_lag_traFB, 17_lag_neurTSjfm, 15_lag_stratZ50ndj02, 1_lag_nppc3SSTjfm, 17_lag_wnorPRjfm, 14_lag_traEU, 3_lag_traDP, 1_lag_amo1, 18_lag_traDP, 13_lag_shSICmar, 18_lag_eapPSLjfm, 1_lag_8_median_alpi, 18_lag_amo3, 15_lag_wnorPRjfm, 4_lag_mhfATL45, 6_lag_traMC, 15_lag_amo1, 18_lag_ginwSSTjfm, 15_lag_samPSLann_2496_1"
LinearRegression,7,30,traDP,picntrl,1073.5,2050.5,0.8,22,1,1,7.7304584692123575,0.7103177581388337,2624,"['17_lag_pdoSSTjfm', '5_lag_eapPSLjfm', '7_lag_nppc2SSTjfm', '1_lag_traMC', '8_lag_traDS', '17_lag_traBS', '4_lag_stratZ50ndj01', '1_lag_4_median_neurTSjfm', '15_lag_stratZ50ndj02', '1_lag_8_median_alpi', '20_lag_traTLS', '17_lag_neurTSjfm', '5_lag_traFB', '8_lag_traEU', '14_lag_traFB', '1_lag_nppc3SSTjfm', '18_lag_eapPSLjfm', '16_lag_atlSICjfm', '18_lag_traMC', '3_lag_traDP', '4_lag_mhfATL45', '13_lag_shSICmar', '17_lag_wnorPRjfm', '6_lag_traMC', '14_lag_traEU', '21_lag_seurTSjfm', '15_lag_wnorPRjfm', '15_lag_amo1', '18_lag_ginwSSTjfm', '15_lag_samPSLann']","[0.038053229130494026, 0.005837245334221336, 0.035900085057071575, 0.04934038249894638, 0.027709077111267466, 0.03184515343066164, 0.03332522851730433, 0.013782473969384717, 0.006877596894109148, 0.047326353398868135, 0.06608785853572069, 0.07444063371768567, 0.06482158136317392, 0.006156801776595535, 0.05094683882724982, 0.03935910217291451, 0.04781874582496172, 0.006410798706275034, 0.01532626615569331, 0.7851367382998402, 0.030038366704183212, 0.08029673539288885, 0.004404025066180935, 0.027519188415188005, 0.03598586217042761, 0.005820597093124234, 0.023937022423395776, 0.01931959987975239, 0.07314437730799445, 0.03272136113812494]","17_lag_pdoSSTjfm, 5_lag_eapPSLjfm, 7_lag_nppc2SSTjfm, 1_lag_traMC, 8_lag_traDS, 17_lag_traBS, 4_lag_stratZ50ndj01, 1_lag_4_median_neurTSjfm, 15_lag_stratZ50ndj02, 1_lag_8_median_alpi, 20_lag_traTLS, 17_lag_neurTSjfm, 5_lag_traFB, 8_lag_traEU, 14_lag_traFB, 1_lag_nppc3SSTjfm, 18_lag_eapPSLjfm, 16_lag_atlSICjfm, 18_lag_traMC, 3_lag_traDP, 4_lag_mhfATL45, 13_lag_shSICmar, 17_lag_wnorPRjfm, 6_lag_traMC, 14_lag_traEU, 21_lag_seurTSjfm, 15_lag_wnorPRjfm, 15_lag_amo1, 18_lag_ginwSSTjfm, 15_lag_samPSLann_2624_1"
LinearRegression,8,30,traDP,picntrl,1074.5,2050.5,0.8,23,1,1,7.584464143027818,0.7245196298758487,2752,"['17_lag_neurTSjfm', '3_lag_traDP', '1_lag_scpPSLjfm', '1_lag_4_median_neurTSjfm', '1_lag_traMC', '21_lag_traEC', '17_lag_wnorPRjfm', '13_lag_shSICmar', '22_lag_yrvPRjja', '15_lag_amo1', '4_lag_amoSSTmjjaso', '22_lag_traFB', '15_lag_stratZ50ndj02', '1_lag_nppc3SSTjfm', '22_lag_ismPRjja', '22_lag_nppc3SSTjfm', '14_lag_stratZ50ndj03', '18_lag_traMC', '1_lag_6_median_alpi', '20_lag_traTLS', '15_lag_wnorPRjfm', '8_lag_traEU', '18_lag_eapPSLjfm', '4_lag_mhfATL45', '17_lag_traBS', '18_lag_ginwSSTjfm', '6_lag_traMC', '14_lag_traEU', '4_lag_stratZ50ndj01', '15_lag_samPSLann']","[0.0632145569713835, 0.7945540628855082, 0.08367426448231297, 0.012144807744912809, 0.03408688650161786, 0.037563216681803555, 0.0016332131440844734, 0.08425356967528277, 0.04990719223095497, 0.01642887060029205, 0.01453430744712429, 0.014761262281479285, 0.0025691895857942078, 0.03883541157368461, 0.023795179016564666, 0.0518089084626231, 0.06132731797717948, 0.02181102476708964, 0.03482918544676371, 0.06631072494303053, 0.02503546654692341, 0.010781252160755112, 0.04693879248006733, 0.04291205823458782, 0.03987840705994196, 0.08240880146939317, 0.021817475548091235, 0.03754909103266463, 0.030044197723282644, 0.026563933299332876]","17_lag_neurTSjfm, 3_lag_traDP, 1_lag_scpPSLjfm, 1_lag_4_median_neurTSjfm, 1_lag_traMC, 21_lag_traEC, 17_lag_wnorPRjfm, 13_lag_shSICmar, 22_lag_yrvPRjja, 15_lag_amo1, 4_lag_amoSSTmjjaso, 22_lag_traFB, 15_lag_stratZ50ndj02, 1_lag_nppc3SSTjfm, 22_lag_ismPRjja, 22_lag_nppc3SSTjfm, 14_lag_stratZ50ndj03, 18_lag_traMC, 1_lag_6_median_alpi, 20_lag_traTLS, 15_lag_wnorPRjfm, 8_lag_traEU, 18_lag_eapPSLjfm, 4_lag_mhfATL45, 17_lag_traBS, 18_lag_ginwSSTjfm, 6_lag_traMC, 14_lag_traEU, 4_lag_stratZ50ndj01, 15_lag_samPSLann_2752_1"
LinearRegression,9,30,traDP,picntrl,1075.5,2050.5,0.8,24,1,1,7.763747088222813,0.7175636781311684,2880,"['23_lag_nhSICjfm', '1_lag_scpPSLjfm', '5_lag_traFB', '20_lag_samPSLann', '21_lag_traEC', '4_lag_traWP', '22_lag_nchinaPRjja', '20_lag_traTLS', '22_lag_traFB', '16_lag_atlSICjfm', '17_lag_neurTSjfm', '12_lag_stratZ50ndj02', '3_lag_traDP', '1_lag_nppc3SSTjfm', '22_lag_satlSSTjfm', '13_lag_tripol3', '15_lag_amo1', '15_lag_wnorPRjfm', '1_lag_6_median_alpi', '18_lag_traMC', '15_lag_stratZ50ndj02', '18_lag_eapPSLjfm', '17_lag_traBS', '14_lag_traEU', '14_lag_stratZ50ndj03', '4_lag_mhfATL45', '6_lag_traMC', '18_lag_ginwSSTjfm', '15_lag_samPSLann', '4_lag_stratZ50ndj01']","[0.019234644279517044, 0.07024739836984176, 0.06357645120796089, 0.012699410957857317, 0.04352374603384281, 0.03471256165643786, 0.05772857561310557, 0.05691882332577007, 0.006684076143765259, 0.0041288214835945025, 0.06717798909947566, 0.01637050318897263, 0.7968539447251483, 0.04324956400586387, 0.06347899529906374, 0.025035381277930466, 0.00035352228092554796, 0.021140045698588468, 0.04391883050475459, 0.03798907318239078, 0.005888443410747049, 0.04902022005565186, 0.03900417380657745, 0.024030844387528026, 0.05668335499963027, 0.02582358064283536, 0.013590500304863248, 0.07137561207617785, 0.023105273603268105, 0.03649338871502218]","23_lag_nhSICjfm, 1_lag_scpPSLjfm, 5_lag_traFB, 20_lag_samPSLann, 21_lag_traEC, 4_lag_traWP, 22_lag_nchinaPRjja, 20_lag_traTLS, 22_lag_traFB, 16_lag_atlSICjfm, 17_lag_neurTSjfm, 12_lag_stratZ50ndj02, 3_lag_traDP, 1_lag_nppc3SSTjfm, 22_lag_satlSSTjfm, 13_lag_tripol3, 15_lag_amo1, 15_lag_wnorPRjfm, 1_lag_6_median_alpi, 18_lag_traMC, 15_lag_stratZ50ndj02, 18_lag_eapPSLjfm, 17_lag_traBS, 14_lag_traEU, 14_lag_stratZ50ndj03, 4_lag_mhfATL45, 6_lag_traMC, 18_lag_ginwSSTjfm, 15_lag_samPSLann, 4_lag_stratZ50ndj01_2880_1"
