model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,30,traDS,picntrl,1714.5,2050.5,0.4,15,5,5,19.385484970634252,0.16800173188198858,1216,"['5_lag_9_median_ensoSSTjfm', '12_lag_stratZ50ndj02', '9_lag_traWP', '5_lag_14_median_traMC', '10_lag_eurPSLjfm', '5_lag_13_median_mhfATL60', '8_lag_stratZ50ndj02', '12_lag_alpi', '8_lag_stratZ50ndj04', '12_lag_eurPSLjfm', '5_lag_14_median_traEC', '5_lag_12_median_samPSLann', '12_lag_nhTSjfm', '5_lag_8_median_cetTSjfm', '11_lag_traWP', '12_lag_tripol3', '5_lag_9_median_glTSjfm', '7_lag_traDS', '5_lag_stratZ50ndj03', '5_lag_13_median_cetTSjfm', '5_lag_14_median_tripol1', '10_lag_traFB', '12_lag_eapPSLjfm', '5_lag_13_median_tripol3', '8_lag_tripol3', '5_lag_9_median_amoSSTmjjaso', '11_lag_traFSC', '5_lag_6_median_atlSICsep', '5_lag_12_median_traBO', '5_lag_7_median_nppc2SSTjfm']","[0.747452754558374, 3.5825717671403634, 6.58845855934082, 1.4184214767726715, 3.229368822122252, 5.260659079374053, 1.8828300263490902, 5.731482076258722, 0.09954385989786552, 3.594775234673895, 0.06445170645814713, 0.48701259540367303, 2.6752110270412395, 9.123037359966027, 0.14769419496426295, 2.7980882036430508, 7.329238975267447, 4.021008415176992, 5.515060413544295, 8.954607178967624, 1.9450494116170844, 0.3975360652700566, 4.829397052904508, 1.888071569995276, 6.261249208038313, 0.24548973104527683, 7.081080593449435, 1.3962695337358095, 7.678145989301349, 6.007958613799181]","5_lag_9_median_ensoSSTjfm, 12_lag_stratZ50ndj02, 9_lag_traWP, 5_lag_14_median_traMC, 10_lag_eurPSLjfm, 5_lag_13_median_mhfATL60, 8_lag_stratZ50ndj02, 12_lag_alpi, 8_lag_stratZ50ndj04, 12_lag_eurPSLjfm, 5_lag_14_median_traEC, 5_lag_12_median_samPSLann, 12_lag_nhTSjfm, 5_lag_8_median_cetTSjfm, 11_lag_traWP, 12_lag_tripol3, 5_lag_9_median_glTSjfm, 7_lag_traDS, 5_lag_stratZ50ndj03, 5_lag_13_median_cetTSjfm, 5_lag_14_median_tripol1, 10_lag_traFB, 12_lag_eapPSLjfm, 5_lag_13_median_tripol3, 8_lag_tripol3, 5_lag_9_median_amoSSTmjjaso, 11_lag_traFSC, 5_lag_6_median_atlSICsep, 5_lag_12_median_traBO, 5_lag_7_median_nppc2SSTjfm_1216_5"
LRforcedPSO,1,30,traDS,picntrl,1715.5,2050.5,0.4,16,6,6,27.764891995134708,0.011786113789653304,1216,"['15_lag_nhSICjfm', '14_lag_amo2', '6_lag_11_median_stratZ50ndj02', '6_lag_7_median_tripol3', '6_lag_11_median_seurTSjfm', '6_lag_12_median_labSSTjfm', '6_lag_14_median_traWP', '12_lag_nhSICjfm', '9_lag_seurTSjfm', '8_lag_naoPSLjfm', '10_lag_nhSICsep', '6_lag_14_median_nhSICsep', '6_lag_15_median_neurTSjfm', '15_lag_traFS', '6_lag_14_median_seurTSjfm', '14_lag_traEU', '6_lag_8_median_tripol2', '14_lag_stratZ50ndj03', '11_lag_satlSSTjfm', '6_lag_nppc2SSTjfm', '6_lag_15_median_nppc3SSTjfm', '15_lag_nchinaPRjja', '11_lag_nppc2SSTjfm', '6_lag_7_median_traFB', '6_lag_14_median_stratZ50ndj03', '6_lag_8_median_traDS', '7_lag_traBS', '9_lag_shSICmar', '12_lag_neurTSjfm', '6_lag_8_median_shSICmar']","[7.576688205190956, 0.559075996951373, 0.06282371917443186, 5.927095388449121, 3.1154923576222657, 7.920051986722198, 8.744349300459806, 3.2225643204402132, 8.426581220245124, 5.199435654097655, 6.615310921316642, 9.325308570923587, 7.5218054701615955, 7.382870070700136, 2.69012464380348, 2.9139139769991758, 0.8891114177004784, 2.373238963808168, 8.397726768298913, 0.7198978466236348, 2.3674990382080967, 3.6343981148897475, 9.613039360337005, 3.063549706622373, 6.4526766041292944, 2.3417635089417637, 9.148464752072712, 3.435707358864244, 6.269475342794017, 6.24738977309913]","15_lag_nhSICjfm, 14_lag_amo2, 6_lag_11_median_stratZ50ndj02, 6_lag_7_median_tripol3, 6_lag_11_median_seurTSjfm, 6_lag_12_median_labSSTjfm, 6_lag_14_median_traWP, 12_lag_nhSICjfm, 9_lag_seurTSjfm, 8_lag_naoPSLjfm, 10_lag_nhSICsep, 6_lag_14_median_nhSICsep, 6_lag_15_median_neurTSjfm, 15_lag_traFS, 6_lag_14_median_seurTSjfm, 14_lag_traEU, 6_lag_8_median_tripol2, 14_lag_stratZ50ndj03, 11_lag_satlSSTjfm, 6_lag_nppc2SSTjfm, 6_lag_15_median_nppc3SSTjfm, 15_lag_nchinaPRjja, 11_lag_nppc2SSTjfm, 6_lag_7_median_traFB, 6_lag_14_median_stratZ50ndj03, 6_lag_8_median_traDS, 7_lag_traBS, 9_lag_shSICmar, 12_lag_neurTSjfm, 6_lag_8_median_shSICmar_1216_6"
LRforcedPSO,2,30,traDS,picntrl,1716.5,2050.5,0.4,17,7,7,26.96828656817759,-0.08851753186692735,1216,"['15_lag_AMOCann', '11_lag_eapPSLjfm', '12_lag_mhfATL45', '7_lag_16_median_shSICsep', '7_lag_14_median_traDS', '15_lag_traFSC', '7_lag_12_median_ensoSSTjfm', '9_lag_ensoSSTjfm', '7_lag_14_median_traIT', '7_lag_16_median_amoSSTmjjaso', '7_lag_13_median_atlSICjfm', '10_lag_cetTSjfm', '7_lag_16_median_traFS', '7_lag_scpPSLjfm', '7_lag_8_median_labSSTjfm', '11_lag_naoPSLjfm', '11_lag_neurTSjfm', '7_lag_9_median_ismPRjja', '15_lag_satlSSTjfm', '8_lag_traBO', '8_lag_amoSSTmjjaso', '7_lag_16_median_traFSC', '7_lag_8_median_shSICmar', '7_lag_14_median_arcTSjfm', '9_lag_pdoSSTjfm', '7_lag_9_median_traIT', '12_lag_ismPRjja', '7_lag_10_median_stratZ50ndj02', '9_lag_nhSICjfm', '7_lag_9_median_nhTSjfm']","[9.4387830550189, 0.6543487660287042, 9.011340629158056, 9.576049511760399, 5.8763282196150115, 3.6361972480155806, 6.622844895943626, 2.9259088816958077, 6.831832323518883, 1.9468136288272966, 2.8688444900912486, 0.37233818175733013, 4.01513444986956, 7.578988374035549, 6.717267558353775, 4.964759754902193, 0.5775272147204831, 3.2217006500400878, 4.988966511027886, 3.4948110857570613, 3.941959771226383, 2.787805663007619, 5.8505400412401976, 4.2714111200881995, 1.5782010488982827, 5.762137340448319, 4.809271296465159, 0.8778718985520904, 0.13877632252158278, 5.280533836928559]","15_lag_AMOCann, 11_lag_eapPSLjfm, 12_lag_mhfATL45, 7_lag_16_median_shSICsep, 7_lag_14_median_traDS, 15_lag_traFSC, 7_lag_12_median_ensoSSTjfm, 9_lag_ensoSSTjfm, 7_lag_14_median_traIT, 7_lag_16_median_amoSSTmjjaso, 7_lag_13_median_atlSICjfm, 10_lag_cetTSjfm, 7_lag_16_median_traFS, 7_lag_scpPSLjfm, 7_lag_8_median_labSSTjfm, 11_lag_naoPSLjfm, 11_lag_neurTSjfm, 7_lag_9_median_ismPRjja, 15_lag_satlSSTjfm, 8_lag_traBO, 8_lag_amoSSTmjjaso, 7_lag_16_median_traFSC, 7_lag_8_median_shSICmar, 7_lag_14_median_arcTSjfm, 9_lag_pdoSSTjfm, 7_lag_9_median_traIT, 12_lag_ismPRjja, 7_lag_10_median_stratZ50ndj02, 9_lag_nhSICjfm, 7_lag_9_median_nhTSjfm_1216_7"
LRforcedPSO,3,30,traDS,picntrl,1717.5,2050.5,0.4,18,8,8,22.9658124551587,-0.09249920013971986,1216,"['17_lag_mhfIP30', '10_lag_ormenSSTjfm', '11_lag_neurTSjfm', '8_lag_9_median_eurPSLjfm', '8_lag_12_median_shSICsep', '15_lag_traFB', '8_lag_15_median_nhTSjfm', '8_lag_15_median_satlSSTjfm', '12_lag_ismPRjja', '15_lag_arcTSjfm', '8_lag_16_median_traBO', '8_lag_traFSC', '8_lag_12_median_mhfIP30', '8_lag_17_median_labSSTjfm', '8_lag_nchinaPRjja', '8_lag_10_median_nchinaPRjja', '8_lag_15_median_traDP', '12_lag_nchinaPRjja', '16_lag_stratZ50ndj02', '13_lag_samPSLann', '8_lag_traIFC', '17_lag_scpPSLjfm', '8_lag_13_median_traFS', '8_lag_traDS', '13_lag_tripol3', '17_lag_traFB', '8_lag_seurTSjfm', '8_lag_14_median_ismPRjja', '8_lag_9_median_stratZ50ndj02', '9_lag_traMC']","[8.331626305381068, 1.071918870391439, 5.4276378670501035, 6.622590670956507, 0.539828911464582, 7.2932176303092255, 4.425441181816476, 0.5739553957441395, 0.5657006077160318, 0.5325841371806828, 3.877350442737926, 4.054195469554864, 0.8360069157026047, 8.410657133632796, 0.7282122719967266, 7.458743541575615, 3.15674554861814, 7.009960189993205, 4.471230899989621, 2.4553969605866843, 1.904955590917245, 1.0270324759475322, 4.526625932323938, 2.761075104052777, 3.9795246168703198, 3.2464277416931298, 2.4229163463184236, 4.504819369355403, 0.012108508504468318, 7.8560736985379105]","17_lag_mhfIP30, 10_lag_ormenSSTjfm, 11_lag_neurTSjfm, 8_lag_9_median_eurPSLjfm, 8_lag_12_median_shSICsep, 15_lag_traFB, 8_lag_15_median_nhTSjfm, 8_lag_15_median_satlSSTjfm, 12_lag_ismPRjja, 15_lag_arcTSjfm, 8_lag_16_median_traBO, 8_lag_traFSC, 8_lag_12_median_mhfIP30, 8_lag_17_median_labSSTjfm, 8_lag_nchinaPRjja, 8_lag_10_median_nchinaPRjja, 8_lag_15_median_traDP, 12_lag_nchinaPRjja, 16_lag_stratZ50ndj02, 13_lag_samPSLann, 8_lag_traIFC, 17_lag_scpPSLjfm, 8_lag_13_median_traFS, 8_lag_traDS, 13_lag_tripol3, 17_lag_traFB, 8_lag_seurTSjfm, 8_lag_14_median_ismPRjja, 8_lag_9_median_stratZ50ndj02, 9_lag_traMC_1216_8"
LRforcedPSO,4,30,traDS,picntrl,1718.5,2050.5,0.4,19,9,9,29.69109652559493,-0.08375701701167809,1216,"['14_lag_atlSICsep', '9_lag_18_median_traEU', '12_lag_traCA', '16_lag_gyreSSTjfm', '12_lag_shTSjfm', '15_lag_cetTSjfm', '14_lag_traTLS', '9_lag_11_median_naoPSLjfm', '9_lag_11_median_traIFC', '17_lag_tripol2', '18_lag_traIFC', '11_lag_ensoSSTjfm', '9_lag_18_median_satlSSTjfm', '16_lag_traIT', '9_lag_14_median_nppc2SSTjfm', '12_lag_traFS', '9_lag_11_median_mhfATL60', '12_lag_nppc2SSTjfm', '9_lag_11_median_amo3', '9_lag_10_median_nhSICsep', '10_lag_amo1', '9_lag_17_median_ormenSSTjfm', '9_lag_17_median_stratZ50ndj03', '13_lag_shSICmar', '14_lag_traBO', '10_lag_tripol1', '9_lag_17_median_yrvPRjja', '9_lag_14_median_amo3', '9_lag_14_median_stratZ50ndj01', '9_lag_15_median_nchinaPRjja']","[2.7265853291548208, 8.703377847124095, 3.4944177591470407, 2.751809522798516, 4.991915925607431, 5.884998312075254, 3.208980017251715, 6.042705768409803, 3.0507798148102694, 2.7959587520081914, 2.561460271534912, 4.624359871295498, 8.994787514833781, 1.5703924479014013, 6.8290536862114735, 0.3219025484034521, 2.998476026039003, 3.6519015090906297, 1.7452258708052693, 4.5711274775908395, 0.0992834512753955, 0.9707173829432296, 7.5142023259916595, 8.276088076761972, 5.915066771583506, 2.012385595958939, 3.366667144825586, 8.624896281884329, 3.0089705396441646, 8.23929455882886]","14_lag_atlSICsep, 9_lag_18_median_traEU, 12_lag_traCA, 16_lag_gyreSSTjfm, 12_lag_shTSjfm, 15_lag_cetTSjfm, 14_lag_traTLS, 9_lag_11_median_naoPSLjfm, 9_lag_11_median_traIFC, 17_lag_tripol2, 18_lag_traIFC, 11_lag_ensoSSTjfm, 9_lag_18_median_satlSSTjfm, 16_lag_traIT, 9_lag_14_median_nppc2SSTjfm, 12_lag_traFS, 9_lag_11_median_mhfATL60, 12_lag_nppc2SSTjfm, 9_lag_11_median_amo3, 9_lag_10_median_nhSICsep, 10_lag_amo1, 9_lag_17_median_ormenSSTjfm, 9_lag_17_median_stratZ50ndj03, 13_lag_shSICmar, 14_lag_traBO, 10_lag_tripol1, 9_lag_17_median_yrvPRjja, 9_lag_14_median_amo3, 9_lag_14_median_stratZ50ndj01, 9_lag_15_median_nchinaPRjja_1216_9"
LRforcedPSO,5,30,traDS,picntrl,1719.5,2050.5,0.4,20,10,10,23.801404955031312,-0.013184558770420244,1216,"['19_lag_satlSSTjfm', '17_lag_atlSICjfm', '10_lag_16_median_traDS', '15_lag_arcTSjfm', '10_lag_19_median_stratZ50ndj01', '10_lag_16_median_AMOCann', '10_lag_15_median_mhfATL60', '10_lag_15_median_traDS', '13_lag_gyreSSTjfm', '18_lag_traBS', '15_lag_glTSjfm', '10_lag_14_median_ginwSSTjfm', '10_lag_11_median_traIT', '13_lag_traCA', '15_lag_nppc3SSTjfm', '19_lag_atlSICsep', '11_lag_stratZ50ndj04', '18_lag_mhfIP30', '10_lag_18_median_traFSC', '10_lag_18_median_neurTSjfm', '13_lag_ensoSSTjfm', '10_lag_17_median_nhTSjfm', '10_lag_15_median_stratZ50ndj04', '14_lag_traCA', '10_lag_16_median_traBS', '14_lag_scpPSLjfm', '11_lag_traWP', '11_lag_glTSjfm', '16_lag_shSICmar', '10_lag_16_median_nchinaPRjja']","[1.0445092759221293, 3.0531785284879076, 4.005104025976635, 0.5430740290001612, 5.793599193490064, 5.539378968177777, 7.7687250546657705, 3.6471844209352096, 7.942667423303959, 2.1673417426357524, 6.787225940176423, 3.339406094806634, 4.607385524874028, 9.698787146884866, 9.579157237044583, 2.164533872431706, 0.19928402622604047, 0.2000055485039809, 5.915097375880263, 3.094091506427395, 3.794484949771329, 8.76334730036592, 6.338562319400896, 1.6501298250093495, 1.0588735452313678, 9.171664684558515, 9.771253284251287, 2.0822619333847943, 9.468412828582771, 6.009790385398265]","19_lag_satlSSTjfm, 17_lag_atlSICjfm, 10_lag_16_median_traDS, 15_lag_arcTSjfm, 10_lag_19_median_stratZ50ndj01, 10_lag_16_median_AMOCann, 10_lag_15_median_mhfATL60, 10_lag_15_median_traDS, 13_lag_gyreSSTjfm, 18_lag_traBS, 15_lag_glTSjfm, 10_lag_14_median_ginwSSTjfm, 10_lag_11_median_traIT, 13_lag_traCA, 15_lag_nppc3SSTjfm, 19_lag_atlSICsep, 11_lag_stratZ50ndj04, 18_lag_mhfIP30, 10_lag_18_median_traFSC, 10_lag_18_median_neurTSjfm, 13_lag_ensoSSTjfm, 10_lag_17_median_nhTSjfm, 10_lag_15_median_stratZ50ndj04, 14_lag_traCA, 10_lag_16_median_traBS, 14_lag_scpPSLjfm, 11_lag_traWP, 11_lag_glTSjfm, 16_lag_shSICmar, 10_lag_16_median_nchinaPRjja_1216_10"
LRforcedPSO,6,30,traDS,picntrl,1720.5,2050.5,0.4,21,11,11,31.706051037289267,-0.13406000260620832,1216,"['11_lag_19_median_traMC', '11_lag_14_median_arcTSjfm', '11_lag_17_median_ormenSSTjfm', '13_lag_tripol2', '12_lag_traTLS', '17_lag_traBS', '20_lag_ginwSSTjfm', '16_lag_traFSC', '11_lag_20_median_traFS', '11_lag_18_median_labSSTjfm', '12_lag_pdoSSTjfm', '15_lag_cetTSjfm', '11_lag_19_median_amo3', '13_lag_nhSICjfm', '11_lag_19_median_neurTSjfm', '11_lag_18_median_traBO', '12_lag_traDS', '17_lag_amo3', '11_lag_16_median_traEC', '11_lag_15_median_scpPSLjfm', '20_lag_traIFC', '11_lag_20_median_tripol1', '11_lag_19_median_cetTSjfm', '11_lag_19_median_stratZ50ndj02', '11_lag_17_median_eurPSLjfm', '17_lag_mhfATL45', '12_lag_traIT', '16_lag_stratZ50ndj03', '11_lag_17_median_traDS', '15_lag_glTSjfm']","[1.8385714745217285, 8.0870419648197, 0.07297512332830891, 2.3996119793507553, 5.242156084676973, 0.348074507774804, 4.081307121513669, 3.8271808732179196, 9.418951039525542, 0.4743144307749265, 2.6616528156762413, 9.049490960327809, 6.486692560986878, 1.5061780834440501, 7.187052214158904, 0.7376877405108839, 1.0547676609485315, 2.899980341322488, 0.05592992099710692, 2.480186659667581, 2.1895606600293167, 1.3398841715587366, 3.9328305884429113, 9.232222792408045, 1.7089075029481489, 7.753787697300293, 0.6722564160260838, 2.015069171199519, 8.913702677522625, 4.526466908254627]","11_lag_19_median_traMC, 11_lag_14_median_arcTSjfm, 11_lag_17_median_ormenSSTjfm, 13_lag_tripol2, 12_lag_traTLS, 17_lag_traBS, 20_lag_ginwSSTjfm, 16_lag_traFSC, 11_lag_20_median_traFS, 11_lag_18_median_labSSTjfm, 12_lag_pdoSSTjfm, 15_lag_cetTSjfm, 11_lag_19_median_amo3, 13_lag_nhSICjfm, 11_lag_19_median_neurTSjfm, 11_lag_18_median_traBO, 12_lag_traDS, 17_lag_amo3, 11_lag_16_median_traEC, 11_lag_15_median_scpPSLjfm, 20_lag_traIFC, 11_lag_20_median_tripol1, 11_lag_19_median_cetTSjfm, 11_lag_19_median_stratZ50ndj02, 11_lag_17_median_eurPSLjfm, 17_lag_mhfATL45, 12_lag_traIT, 16_lag_stratZ50ndj03, 11_lag_17_median_traDS, 15_lag_glTSjfm_1216_11"
LRforcedPSO,7,30,traDS,picntrl,1721.5,2050.5,0.4,22,12,12,22.242331971668328,0.027180722443351884,1216,"['13_lag_shSICsep', '17_lag_traDS', '14_lag_mhfATL30', '20_lag_mhfATL60', '12_lag_15_median_traEC', '17_lag_amoSSTmjjaso', '12_lag_15_median_traBO', '12_lag_13_median_ginwSSTjfm', '15_lag_traDP', '12_lag_16_median_alpi', '12_lag_16_median_nhTSjfm', '21_lag_eurPSLjfm', '18_lag_tripol1', '12_lag_17_median_mhfATL60', '12_lag_18_median_amo3', '12_lag_14_median_amo2', '13_lag_nhSICjfm', '12_lag_atlSICsep', '19_lag_seurTSjfm', '16_lag_atlSICsep', '12_lag_13_median_traIT', '15_lag_atlSICsep', '17_lag_stratZ50ndj04', '12_lag_18_median_yrvPRjja', '14_lag_traFS', '12_lag_19_median_glTSjfm', '12_lag_19_median_glomaSSTjfm', '17_lag_traEU', '17_lag_alpi', '12_lag_16_median_nhSICjfm']","[1.9902016114985202, 6.349091444206934, 2.5257654929643465, 5.719813649126959, 2.364864087989025, 3.895663072977003, 9.887830761545445, 8.560884346654063, 1.3889495323736174, 5.176461199110305, 0.7127161062581333, 3.6888263797850627, 2.156381382630661, 7.653282326024097, 2.2968395230890177, 1.6030572805044727, 0.726345484138589, 1.6933738415890947, 4.330220516984927, 3.6738503350291722, 1.3442762489272635, 0.7454914735309686, 7.619937664654756, 7.070943808993524, 0.8063174734503242, 0.8494395719955818, 9.659305829324133, 0.377027123055246, 4.886617950331324, 2.498119037005848]","13_lag_shSICsep, 17_lag_traDS, 14_lag_mhfATL30, 20_lag_mhfATL60, 12_lag_15_median_traEC, 17_lag_amoSSTmjjaso, 12_lag_15_median_traBO, 12_lag_13_median_ginwSSTjfm, 15_lag_traDP, 12_lag_16_median_alpi, 12_lag_16_median_nhTSjfm, 21_lag_eurPSLjfm, 18_lag_tripol1, 12_lag_17_median_mhfATL60, 12_lag_18_median_amo3, 12_lag_14_median_amo2, 13_lag_nhSICjfm, 12_lag_atlSICsep, 19_lag_seurTSjfm, 16_lag_atlSICsep, 12_lag_13_median_traIT, 15_lag_atlSICsep, 17_lag_stratZ50ndj04, 12_lag_18_median_yrvPRjja, 14_lag_traFS, 12_lag_19_median_glTSjfm, 12_lag_19_median_glomaSSTjfm, 17_lag_traEU, 17_lag_alpi, 12_lag_16_median_nhSICjfm_1216_12"
LRforcedPSO,8,30,traDS,picntrl,1722.5,2050.5,0.4,23,13,13,23.729344512172386,0.035968129684088426,1216,"['16_lag_stratZ50ndj01', '17_lag_stratZ50ndj04', '13_lag_21_median_traCA', '21_lag_traBO', '13_lag_16_median_traFB', '21_lag_scpPSLjfm', '13_lag_wnorPRjfm', '13_lag_14_median_traIFC', '13_lag_tripol3', '20_lag_amo3', '17_lag_traEU', '15_lag_traIFC', '13_lag_17_median_labSSTjfm', '13_lag_21_median_shTSjfm', '13_lag_22_median_nppc3SSTjfm', '19_lag_mhfATL30', '18_lag_nhTSjfm', '14_lag_amo2', '20_lag_cetTSjfm', '13_lag_17_median_gyreSSTjfm', '13_lag_20_median_mhfATL30', '13_lag_15_median_stratZ50ndj04', '13_lag_20_median_shTSjfm', '13_lag_15_median_mhfATL30', '13_lag_19_median_traMC', '15_lag_traWP', '13_lag_20_median_eurPSLjfm', '13_lag_14_median_mhfATL45', '20_lag_traIT', '13_lag_15_median_ismPRjja']","[9.788460525262309, 5.770520763436034, 3.8663483150918783, 0.0926898676394039, 1.2298720241724332, 5.228814299624121, 6.184637158018951, 4.203348900690729, 1.0292035826422197, 7.000336992462355, 5.485685233441715, 0.6464316597776669, 4.922705671836793, 5.649730563012302, 1.9262610267694829, 0.9209233535235217, 2.430194660620133, 4.999630078790743, 8.883831958152918, 4.127137949948917, 3.871218255984557, 7.228296656848752, 0.9010730348027174, 3.4527675764846304, 4.507749504610635, 5.58978709946474, 2.762496063614231, 4.04732874370027, 5.822733094988626, 5.52456381983934]","16_lag_stratZ50ndj01, 17_lag_stratZ50ndj04, 13_lag_21_median_traCA, 21_lag_traBO, 13_lag_16_median_traFB, 21_lag_scpPSLjfm, 13_lag_wnorPRjfm, 13_lag_14_median_traIFC, 13_lag_tripol3, 20_lag_amo3, 17_lag_traEU, 15_lag_traIFC, 13_lag_17_median_labSSTjfm, 13_lag_21_median_shTSjfm, 13_lag_22_median_nppc3SSTjfm, 19_lag_mhfATL30, 18_lag_nhTSjfm, 14_lag_amo2, 20_lag_cetTSjfm, 13_lag_17_median_gyreSSTjfm, 13_lag_20_median_mhfATL30, 13_lag_15_median_stratZ50ndj04, 13_lag_20_median_shTSjfm, 13_lag_15_median_mhfATL30, 13_lag_19_median_traMC, 15_lag_traWP, 13_lag_20_median_eurPSLjfm, 13_lag_14_median_mhfATL45, 20_lag_traIT, 13_lag_15_median_ismPRjja_1216_13"
LRforcedPSO,9,30,traDS,picntrl,1723.5,2050.5,0.4,24,14,14,27.104418848396428,0.11112616947587492,1216,"['17_lag_traIT', '14_lag_23_median_amoSSTmjjaso', '14_lag_glTSjfm', '22_lag_shSICsep', '14_lag_20_median_traFS', '23_lag_nhSICjfm', '14_lag_17_median_tripol3', '14_lag_18_median_amoSSTmjjaso', '14_lag_22_median_atlSICjfm', '16_lag_mhfIP30', '23_lag_traCA', '14_lag_20_median_traTLS', '20_lag_glTSjfm', '15_lag_amo1', '14_lag_20_median_traCA', '23_lag_nppc3SSTjfm', '14_lag_22_median_traCA', '17_lag_traBS', '16_lag_mhfATL45', '14_lag_16_median_glomaSSTjfm', '14_lag_22_median_eapPSLjfm', '21_lag_tripol3', '14_lag_16_median_traBO', '14_lag_17_median_stratZ50ndj04', '14_lag_22_median_traEC', '20_lag_traIT', '14_lag_mhfATL45', '17_lag_naoPSLjfm', '14_lag_20_median_stratZ50ndj04', '18_lag_ismPRjja']","[1.811764208437662, 0.792557959300817, 1.272652361965843, 6.923369984231705, 2.816344852680464, 2.89143837355806, 5.775015633446115, 1.1039482886306455, 8.982469562220492, 4.9759075311729255, 8.488128407795884, 1.4021438180179473, 6.010349753973227, 8.134643799255432, 5.9003504859357525, 3.538673067687455, 0.004192804182263643, 0.6505303117117016, 8.626327174724878, 3.128295172469148, 1.7288645600270751, 2.9988239403915724, 7.164430169746339, 8.646549868845234, 4.847108231192305, 0.44480791417374377, 2.7072096144256914, 7.365109700943481, 2.932577696862346, 2.529439848785535]","17_lag_traIT, 14_lag_23_median_amoSSTmjjaso, 14_lag_glTSjfm, 22_lag_shSICsep, 14_lag_20_median_traFS, 23_lag_nhSICjfm, 14_lag_17_median_tripol3, 14_lag_18_median_amoSSTmjjaso, 14_lag_22_median_atlSICjfm, 16_lag_mhfIP30, 23_lag_traCA, 14_lag_20_median_traTLS, 20_lag_glTSjfm, 15_lag_amo1, 14_lag_20_median_traCA, 23_lag_nppc3SSTjfm, 14_lag_22_median_traCA, 17_lag_traBS, 16_lag_mhfATL45, 14_lag_16_median_glomaSSTjfm, 14_lag_22_median_eapPSLjfm, 21_lag_tripol3, 14_lag_16_median_traBO, 14_lag_17_median_stratZ50ndj04, 14_lag_22_median_traEC, 20_lag_traIT, 14_lag_mhfATL45, 17_lag_naoPSLjfm, 14_lag_20_median_stratZ50ndj04, 18_lag_ismPRjja_1216_14"
