model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,30,traDS,picntrl,1714.5,2050.5,0.4,15,5,5,17.941436208098335,0.05180320068385249,1216,"['5_lag_6_median_satlSSTjfm', '5_lag_eapPSLjfm', '13_lag_glomaSSTjfm', '7_lag_traIFC', '8_lag_mhfATL30', '11_lag_scpPSLjfm', '5_lag_traMC', '5_lag_mhfATL60', '13_lag_tripol2', '5_lag_shSICsep', '12_lag_stratZ50ndj01', '13_lag_amoSSTmjjaso', '11_lag_traWP', '10_lag_wnorPRjfm', '5_lag_traEC', '5_lag_traIFC', '11_lag_traDS', '10_lag_yrvPRjja', '13_lag_traWP', '14_lag_stratZ50ndj03', '14_lag_traMC', '10_lag_traEC', '9_lag_atlSICsep', '11_lag_traFSC', '13_lag_traFB', '13_lag_neurTSjfm', '8_lag_nchinaPRjja', '11_lag_amo2', '9_lag_traWP', '10_lag_eapPSLjfm']","[0.3146666645302295, 0.12555268134436942, 0.41213379753436374, 0.2157458957155106, 0.2603334724020639, 0.1077806212121762, 0.0021994154126827757, 0.08254196996527388, 0.10548174331080472, 0.06339257955939251, 0.10331981302149412, 0.14121296033470607, 0.09489471592012197, 0.08426903533314363, 0.21791579986604132, 0.16873815188304606, 0.06729104360892878, 0.014629648897703674, 0.25125355039342795, 0.1539880562751273, 0.0564290042740802, 0.15679020001417557, 0.1090558774400899, 0.03966621471486641, 0.030105550526432705, 0.10648679607424559, 0.11318530728922806, 0.22447535905731064, 0.03665489048164616, 0.09655002661209114]","5_lag_6_median_satlSSTjfm, 5_lag_eapPSLjfm, 13_lag_glomaSSTjfm, 7_lag_traIFC, 8_lag_mhfATL30, 11_lag_scpPSLjfm, 5_lag_traMC, 5_lag_mhfATL60, 13_lag_tripol2, 5_lag_shSICsep, 12_lag_stratZ50ndj01, 13_lag_amoSSTmjjaso, 11_lag_traWP, 10_lag_wnorPRjfm, 5_lag_traEC, 5_lag_traIFC, 11_lag_traDS, 10_lag_yrvPRjja, 13_lag_traWP, 14_lag_stratZ50ndj03, 14_lag_traMC, 10_lag_traEC, 9_lag_atlSICsep, 11_lag_traFSC, 13_lag_traFB, 13_lag_neurTSjfm, 8_lag_nchinaPRjja, 11_lag_amo2, 9_lag_traWP, 10_lag_eapPSLjfm_1216_5"
LinearRegression,1,30,traDS,picntrl,1715.5,2050.5,0.4,16,6,6,17.7173017386325,-0.04640572117576945,1216,"['6_lag_arcTSjfm', '15_lag_tripol2', '12_lag_atlSICjfm', '14_lag_shSICsep', '11_lag_amo3', '6_lag_9_median_traWP', '12_lag_traFB', '15_lag_traEC', '10_lag_yrvPRjja', '11_lag_traWP', '10_lag_wnorPRjfm', '6_lag_seurTSjfm', '13_lag_traWP', '15_lag_ensoSSTjfm', '13_lag_tripol2', '14_lag_traMC', '13_lag_glomaSSTjfm', '12_lag_amo1', '10_lag_traEC', '11_lag_traDS', '13_lag_neurTSjfm', '8_lag_nchinaPRjja', '11_lag_amo2', '9_lag_atlSICsep', '14_lag_stratZ50ndj03', '6_lag_satlSSTjfm', '9_lag_traWP', '11_lag_traFSC', '13_lag_traFB', '10_lag_eapPSLjfm']","[0.06899764017134428, 0.026932549168885003, 0.05277340090423333, 0.23037749989266273, 0.04500909461253025, 0.39669754212462655, 0.030607699937082778, 0.12890503324130792, 0.07455804734725391, 0.047762857972261485, 0.06742686418068165, 0.18826708342913653, 0.202018463284125, 0.21486573450079907, 0.09139550487806998, 0.05070569454233696, 0.10489161773334073, 0.08840645561722374, 0.04434041417770232, 0.012315878070839097, 0.1682575594083466, 0.16305238024896024, 0.08550335677276659, 0.17375665740496954, 0.14716483664467223, 0.30505507969269563, 0.012767042761587286, 0.10615227100038488, 0.05753108316678676, 0.24014283268266282]","6_lag_arcTSjfm, 15_lag_tripol2, 12_lag_atlSICjfm, 14_lag_shSICsep, 11_lag_amo3, 6_lag_9_median_traWP, 12_lag_traFB, 15_lag_traEC, 10_lag_yrvPRjja, 11_lag_traWP, 10_lag_wnorPRjfm, 6_lag_seurTSjfm, 13_lag_traWP, 15_lag_ensoSSTjfm, 13_lag_tripol2, 14_lag_traMC, 13_lag_glomaSSTjfm, 12_lag_amo1, 10_lag_traEC, 11_lag_traDS, 13_lag_neurTSjfm, 8_lag_nchinaPRjja, 11_lag_amo2, 9_lag_atlSICsep, 14_lag_stratZ50ndj03, 6_lag_satlSSTjfm, 9_lag_traWP, 11_lag_traFSC, 13_lag_traFB, 10_lag_eapPSLjfm_1216_6"
LinearRegression,2,30,traDS,picntrl,1716.5,2050.5,0.4,17,7,7,18.53242450448409,-0.05147787070558635,1216,"['9_lag_traIFC', '15_lag_atlSICsep', '13_lag_naoPSLjfm', '13_lag_traWP', '12_lag_stratZ50ndj02', '16_lag_ginwSSTjfm', '7_lag_traBS', '12_lag_traFB', '16_lag_stratZ50ndj03', '7_lag_stratZ50ndj01', '11_lag_amo3', '14_lag_eapPSLjfm', '11_lag_traBS', '13_lag_traFB', '11_lag_traDS', '14_lag_traMC', '11_lag_traWP', '11_lag_amo2', '11_lag_tripol3', '13_lag_neurTSjfm', '16_lag_amoSSTmjjaso', '13_lag_glomaSSTjfm', '12_lag_stratZ50ndj03', '15_lag_traEC', '10_lag_wnorPRjfm', '9_lag_atlSICsep', '11_lag_traFSC', '15_lag_scpPSLjfm', '14_lag_stratZ50ndj03', '10_lag_eapPSLjfm']","[0.09547186836579884, 0.19346818083398754, 0.0560681883487539, 0.16286013661052756, 0.14845127268925734, 0.018969342957150293, 0.06734667820510276, 0.0636043379344503, 0.10941683299698317, 0.11424202653515819, 0.059377894642118706, 0.0051199170516941185, 0.03381253486392447, 0.1495393142197653, 0.09161262397654488, 0.026116822789297185, 0.018279458950344604, 0.11417236523292566, 0.13632609006108046, 0.0441338223378126, 0.0848198953775364, 0.35230332508567014, 0.23217204000761807, 0.11791204073050045, 0.13372924697668964, 0.00518214366089354, 0.2573966735736258, 0.15042290894447174, 0.09630651515116814, 0.18138638201268004]","9_lag_traIFC, 15_lag_atlSICsep, 13_lag_naoPSLjfm, 13_lag_traWP, 12_lag_stratZ50ndj02, 16_lag_ginwSSTjfm, 7_lag_traBS, 12_lag_traFB, 16_lag_stratZ50ndj03, 7_lag_stratZ50ndj01, 11_lag_amo3, 14_lag_eapPSLjfm, 11_lag_traBS, 13_lag_traFB, 11_lag_traDS, 14_lag_traMC, 11_lag_traWP, 11_lag_amo2, 11_lag_tripol3, 13_lag_neurTSjfm, 16_lag_amoSSTmjjaso, 13_lag_glomaSSTjfm, 12_lag_stratZ50ndj03, 15_lag_traEC, 10_lag_wnorPRjfm, 9_lag_atlSICsep, 11_lag_traFSC, 15_lag_scpPSLjfm, 14_lag_stratZ50ndj03, 10_lag_eapPSLjfm_1216_7"
LinearRegression,3,30,traDS,picntrl,1717.5,2050.5,0.4,18,8,8,17.93148096546689,0.057927936130957286,1216,"['13_lag_glomaSSTjfm', '16_lag_ginwSSTjfm', '15_lag_traWP', '16_lag_scpPSLjfm', '8_lag_ismPRjja', '8_lag_mhfATL30', '11_lag_traDS', '17_lag_ismPRjja', '12_lag_yrvPRjja', '14_lag_traMC', '17_lag_stratZ50ndj03', '12_lag_mhfATL45', '16_lag_nppc2SSTjfm', '13_lag_traFB', '17_lag_nchinaPRjja', '13_lag_naoPSLjfm', '14_lag_satlSSTjfm', '12_lag_stratZ50ndj01', '13_lag_neurTSjfm', '15_lag_scpPSLjfm', '15_lag_traEC', '12_lag_stratZ50ndj02', '11_lag_traFSC', '17_lag_mhfATL30', '12_lag_stratZ50ndj03', '10_lag_wnorPRjfm', '16_lag_amoSSTmjjaso', '8_lag_samPSLann', '14_lag_stratZ50ndj03', '10_lag_eapPSLjfm']","[0.2154167143299929, 0.13168876170645888, 0.23672355564799888, 0.09682366671797672, 0.14693134236630365, 0.3240604105211091, 0.06631544610192969, 0.07044019339646926, 0.05083442112162554, 0.0756590906459343, 0.12616610810210194, 0.10600269208017563, 0.03382910956102292, 0.22247902964023641, 0.09999344497207607, 0.13828289158929422, 0.09947827332740652, 0.06414548997039302, 0.1952195761503481, 0.1251720833789323, 0.12539402560995416, 0.10790631224558093, 0.017283972335190273, 0.38138352851586693, 0.23760424274982267, 0.20470262383081267, 0.07033449092827491, 0.04239213765480637, 0.10908337387205663, 0.13299954439056316]","13_lag_glomaSSTjfm, 16_lag_ginwSSTjfm, 15_lag_traWP, 16_lag_scpPSLjfm, 8_lag_ismPRjja, 8_lag_mhfATL30, 11_lag_traDS, 17_lag_ismPRjja, 12_lag_yrvPRjja, 14_lag_traMC, 17_lag_stratZ50ndj03, 12_lag_mhfATL45, 16_lag_nppc2SSTjfm, 13_lag_traFB, 17_lag_nchinaPRjja, 13_lag_naoPSLjfm, 14_lag_satlSSTjfm, 12_lag_stratZ50ndj01, 13_lag_neurTSjfm, 15_lag_scpPSLjfm, 15_lag_traEC, 12_lag_stratZ50ndj02, 11_lag_traFSC, 17_lag_mhfATL30, 12_lag_stratZ50ndj03, 10_lag_wnorPRjfm, 16_lag_amoSSTmjjaso, 8_lag_samPSLann, 14_lag_stratZ50ndj03, 10_lag_eapPSLjfm_1216_8"
LinearRegression,4,30,traDS,picntrl,1718.5,2050.5,0.4,19,9,9,18.77991168717632,0.0001491919105380251,1216,"['17_lag_nchinaPRjja', '15_lag_atlSICsep', '13_lag_atlSICsep', '9_lag_12_median_amo1', '13_lag_satlSSTjfm', '15_lag_scpPSLjfm', '13_lag_glomaSSTjfm', '9_lag_atlSICsep', '9_lag_shSICmar', '13_lag_naoPSLjfm', '16_lag_nppc2SSTjfm', '13_lag_nhSICsep', '11_lag_traFSC', '18_lag_glomaSSTjfm', '18_lag_ormenSSTjfm', '18_lag_yrvPRjja', '18_lag_amo1', '16_lag_shSICsep', '16_lag_amoSSTmjjaso', '15_lag_traEC', '12_lag_stratZ50ndj02', '16_lag_scpPSLjfm', '10_lag_wnorPRjfm', '9_lag_10_median_wnorPRjfm', '9_lag_traWP', '11_lag_traWP', '14_lag_stratZ50ndj03', '17_lag_mhfATL30', '10_lag_eapPSLjfm', '9_lag_10_median_eapPSLjfm']","[0.06891978537865402, 0.23059672648673857, 0.16348385375468694, 0.5664329008562153, 0.19781679972566177, 0.16411669662792258, 0.18385767609616008, 0.1236555504351661, 0.11183291943641294, 0.0631467931914182, 0.17434074756477522, 0.004903590523107917, 0.11407890023737595, 0.27812532744023233, 0.04189231525695583, 0.05875335542182211, 0.08096770144523115, 0.08206104508312091, 0.09373245766968112, 0.04208324583215333, 0.12611661629913934, 0.022572508115673323, 6413770494133.177, 6413770494133.076, 0.21073427486088878, 0.005520377774917387, 0.0921635633012619, 0.19092131509913143, 11590111227625.174, 11590111227625.383]","17_lag_nchinaPRjja, 15_lag_atlSICsep, 13_lag_atlSICsep, 9_lag_12_median_amo1, 13_lag_satlSSTjfm, 15_lag_scpPSLjfm, 13_lag_glomaSSTjfm, 9_lag_atlSICsep, 9_lag_shSICmar, 13_lag_naoPSLjfm, 16_lag_nppc2SSTjfm, 13_lag_nhSICsep, 11_lag_traFSC, 18_lag_glomaSSTjfm, 18_lag_ormenSSTjfm, 18_lag_yrvPRjja, 18_lag_amo1, 16_lag_shSICsep, 16_lag_amoSSTmjjaso, 15_lag_traEC, 12_lag_stratZ50ndj02, 16_lag_scpPSLjfm, 10_lag_wnorPRjfm, 9_lag_10_median_wnorPRjfm, 9_lag_traWP, 11_lag_traWP, 14_lag_stratZ50ndj03, 17_lag_mhfATL30, 10_lag_eapPSLjfm, 9_lag_10_median_eapPSLjfm_1216_9"
LinearRegression,5,30,traDS,picntrl,1719.5,2050.5,0.4,20,10,10,17.88637233218246,0.06989278521588105,1216,"['14_lag_satlSSTjfm', '14_lag_stratZ50ndj02', '13_lag_naoPSLjfm', '15_lag_amo1', '14_lag_stratZ50ndj03', '16_lag_traWP', '10_lag_11_median_traDS', '18_lag_mhfATL60', '11_lag_traDS', '13_lag_atlSICsep', '19_lag_tripol3', '15_lag_ensoSSTjfm', '16_lag_mhfATL30', '16_lag_amoSSTmjjaso', '11_lag_traWP', '10_lag_11_median_traWP', '19_lag_mhfATL45', '10_lag_amo1', '15_lag_traEC', '18_lag_ismPRjja', '10_lag_seurTSjfm', '18_lag_yrvPRjja', '19_lag_yrvPRjja', '17_lag_traBS', '10_lag_traEC', '12_lag_stratZ50ndj02', '19_lag_amoSSTmjjaso', '10_lag_wnorPRjfm', '17_lag_mhfATL30', '10_lag_eapPSLjfm']","[0.08668165523180221, 0.0051407658363538805, 0.11542027604628198, 0.22350074181461757, 0.14389442469379407, 0.08405380605255507, 7676291470575.055, 0.04396334886843133, 7676291470575.163, 0.13763855544954376, 0.060857198342828295, 0.06256118031594511, 0.016154442989293825, 0.14952138496845968, 202646237.99121907, 202646237.98412272, 0.17377465598149175, 0.19837663405355976, 0.11799156134118587, 0.0526462816579186, 0.022163296493117268, 0.0376113092199622, 0.1095399847257392, 0.04756230273954995, 0.09271886007796441, 0.09797677536655404, 0.04040898991450644, 0.1611091209169774, 0.2949613271131059, 0.2322376710909127]","14_lag_satlSSTjfm, 14_lag_stratZ50ndj02, 13_lag_naoPSLjfm, 15_lag_amo1, 14_lag_stratZ50ndj03, 16_lag_traWP, 10_lag_11_median_traDS, 18_lag_mhfATL60, 11_lag_traDS, 13_lag_atlSICsep, 19_lag_tripol3, 15_lag_ensoSSTjfm, 16_lag_mhfATL30, 16_lag_amoSSTmjjaso, 11_lag_traWP, 10_lag_11_median_traWP, 19_lag_mhfATL45, 10_lag_amo1, 15_lag_traEC, 18_lag_ismPRjja, 10_lag_seurTSjfm, 18_lag_yrvPRjja, 19_lag_yrvPRjja, 17_lag_traBS, 10_lag_traEC, 12_lag_stratZ50ndj02, 19_lag_amoSSTmjjaso, 10_lag_wnorPRjfm, 17_lag_mhfATL30, 10_lag_eapPSLjfm_1216_10"
LinearRegression,6,30,traDS,picntrl,1720.5,2050.5,0.4,21,11,11,18.34924792758377,0.018321187548912918,1216,"['18_lag_eapPSLjfm', '18_lag_mhfATL60', '19_lag_tripol3', '15_lag_traWP', '18_lag_stratZ50ndj03', '20_lag_amo1', '16_lag_stratZ50ndj03', '19_lag_nchinaPRjja', '11_lag_shTSjfm', '14_lag_stratZ50ndj03', '20_lag_shSICmar', '20_lag_ormenSSTjfm', '20_lag_seurTSjfm', '14_lag_stratZ50ndj02', '17_lag_ismPRjja', '15_lag_scpPSLjfm', '14_lag_satlSSTjfm', '20_lag_traEC', '15_lag_ensoSSTjfm', '16_lag_shSICmar', '17_lag_stratZ50ndj01', '11_lag_traFSC', '18_lag_ismPRjja', '17_lag_mhfATL30', '11_lag_traWP', '11_lag_traDS', '19_lag_yrvPRjja', '19_lag_amoSSTmjjaso', '17_lag_traBS', '20_lag_stratZ50ndj02']","[0.09904158864511446, 0.11074256273838572, 0.019315810977197714, 0.006336404755726305, 0.1729045555739245, 0.3438317673679242, 0.11901772400030336, 0.09935287016292967, 0.28384539967393585, 0.12795385175296278, 0.10948841397485068, 0.045935984914039676, 0.031863622174301165, 0.033584863091739255, 0.1726092956405468, 0.06255626762735465, 0.04515274513273036, 0.07688413847456682, 0.17254988590870354, 0.066259237790383, 0.10853208784233062, 0.24379333907029785, 0.07675308744672348, 0.3678222332108565, 0.00034562713581792054, 0.05056206087447332, 0.0904222845084672, 0.0922472162874721, 0.0867543128326495, 0.22659220966229315]","18_lag_eapPSLjfm, 18_lag_mhfATL60, 19_lag_tripol3, 15_lag_traWP, 18_lag_stratZ50ndj03, 20_lag_amo1, 16_lag_stratZ50ndj03, 19_lag_nchinaPRjja, 11_lag_shTSjfm, 14_lag_stratZ50ndj03, 20_lag_shSICmar, 20_lag_ormenSSTjfm, 20_lag_seurTSjfm, 14_lag_stratZ50ndj02, 17_lag_ismPRjja, 15_lag_scpPSLjfm, 14_lag_satlSSTjfm, 20_lag_traEC, 15_lag_ensoSSTjfm, 16_lag_shSICmar, 17_lag_stratZ50ndj01, 11_lag_traFSC, 18_lag_ismPRjja, 17_lag_mhfATL30, 11_lag_traWP, 11_lag_traDS, 19_lag_yrvPRjja, 19_lag_amoSSTmjjaso, 17_lag_traBS, 20_lag_stratZ50ndj02_1216_11"
LinearRegression,7,30,traDS,picntrl,1721.5,2050.5,0.4,22,12,12,17.035293106243007,0.11943057625500998,1216,"['19_lag_neurTSjfm', '18_lag_amo1', '15_lag_traFB', '13_lag_nhSICsep', '12_lag_13_median_nhSICsep', '12_lag_traFB', '19_lag_nchinaPRjja', '20_lag_stratZ50ndj04', '20_lag_ormenSSTjfm', '15_lag_traWP', '16_lag_samPSLann', '20_lag_traEC', '15_lag_scpPSLjfm', '18_lag_eapPSLjfm', '19_lag_tripol3', '15_lag_amo1', '20_lag_shSICmar', '19_lag_yrvPRjja', '20_lag_seurTSjfm', '16_lag_shSICmar', '17_lag_ismPRjja', '12_lag_shSICmar', '17_lag_stratZ50ndj01', '14_lag_satlSSTjfm', '19_lag_amoSSTmjjaso', '15_lag_atlSICsep', '17_lag_traBS', '20_lag_stratZ50ndj02', '14_lag_stratZ50ndj03', '17_lag_mhfATL30']","[0.06461864636110191, 0.006591547009909729, 0.05245050268870209, 3711878014489.774, 3711878014489.581, 0.11233607825355353, 0.024315633993524113, 0.0723250788098704, 0.01602893072832093, 0.01378473456406906, 0.11187501875278476, 0.1606076881141965, 0.1053971908505238, 0.0764067982890843, 0.1385662260627528, 0.21068012691423194, 0.0031165548639938705, 0.08468035777416338, 0.014278453874271187, 0.06601060621704666, 0.1596206451867028, 0.19201895852675388, 0.14633290168995886, 0.030318828482898182, 0.19897513119709584, 0.19963701259523864, 0.11010375426104461, 0.1536959160415301, 0.16772550341575362, 0.3083097704227634]","19_lag_neurTSjfm, 18_lag_amo1, 15_lag_traFB, 13_lag_nhSICsep, 12_lag_13_median_nhSICsep, 12_lag_traFB, 19_lag_nchinaPRjja, 20_lag_stratZ50ndj04, 20_lag_ormenSSTjfm, 15_lag_traWP, 16_lag_samPSLann, 20_lag_traEC, 15_lag_scpPSLjfm, 18_lag_eapPSLjfm, 19_lag_tripol3, 15_lag_amo1, 20_lag_shSICmar, 19_lag_yrvPRjja, 20_lag_seurTSjfm, 16_lag_shSICmar, 17_lag_ismPRjja, 12_lag_shSICmar, 17_lag_stratZ50ndj01, 14_lag_satlSSTjfm, 19_lag_amoSSTmjjaso, 15_lag_atlSICsep, 17_lag_traBS, 20_lag_stratZ50ndj02, 14_lag_stratZ50ndj03, 17_lag_mhfATL30_1216_12"
LinearRegression,8,30,traDS,picntrl,1722.5,2050.5,0.4,23,13,13,16.831700387202563,0.15100581623503262,1216,"['15_lag_amo1', '13_lag_mhfATL60', '20_lag_stratZ50ndj04', '19_lag_yrvPRjja', '14_lag_stratZ50ndj03', '13_lag_14_median_stratZ50ndj03', '13_lag_16_median_amoSSTmjjaso', '15_lag_traFB', '20_lag_ormenSSTjfm', '15_lag_scpPSLjfm', '18_lag_stratZ50ndj03', '18_lag_ormenSSTjfm', '13_lag_14_median_satlSSTjfm', '14_lag_satlSSTjfm', '17_lag_stratZ50ndj01', '18_lag_amo1', '20_lag_traEC', '17_lag_ismPRjja', '16_lag_amo3', '16_lag_mhfIP30', '13_lag_traFB', '16_lag_shSICmar', '15_lag_atlSICsep', '20_lag_seurTSjfm', '13_lag_nhSICsep', '19_lag_amoSSTmjjaso', '17_lag_mhfATL30', '20_lag_stratZ50ndj02', '22_lag_traIT', '22_lag_traWP']","[0.29148466922329697, 0.05083198085532081, 0.0580158565359982, 0.11883769117486764, 11997486293167.822, 11997486293168.031, 0.16108140688499797, 0.13378491655600147, 0.010667610145359684, 0.09521169996475873, 0.1196805349795431, 0.036550551493836646, 9921412712189.31, 9921412712189.162, 0.09666102209072178, 0.014163756532223487, 0.15024069950682858, 0.19250085812425455, 0.0018601832380286884, 0.23667898902996812, 0.21593688223108845, 0.017433408743398174, 0.16377563465581307, 0.09940256062037858, 0.15558513618125497, 0.17443992260827182, 0.29138272483144645, 0.1107102432608663, 0.09441477557828136, 0.1489648119228733]","15_lag_amo1, 13_lag_mhfATL60, 20_lag_stratZ50ndj04, 19_lag_yrvPRjja, 14_lag_stratZ50ndj03, 13_lag_14_median_stratZ50ndj03, 13_lag_16_median_amoSSTmjjaso, 15_lag_traFB, 20_lag_ormenSSTjfm, 15_lag_scpPSLjfm, 18_lag_stratZ50ndj03, 18_lag_ormenSSTjfm, 13_lag_14_median_satlSSTjfm, 14_lag_satlSSTjfm, 17_lag_stratZ50ndj01, 18_lag_amo1, 20_lag_traEC, 17_lag_ismPRjja, 16_lag_amo3, 16_lag_mhfIP30, 13_lag_traFB, 16_lag_shSICmar, 15_lag_atlSICsep, 20_lag_seurTSjfm, 13_lag_nhSICsep, 19_lag_amoSSTmjjaso, 17_lag_mhfATL30, 20_lag_stratZ50ndj02, 22_lag_traIT, 22_lag_traWP_1216_13"
LinearRegression,9,30,traDS,picntrl,1723.5,2050.5,0.4,24,14,14,17.41888638751694,0.08306079835765448,1216,"['14_lag_15_median_amo1', '23_lag_nchinaPRjja', '16_lag_ginwSSTjfm', '23_lag_mhfATL60', '22_lag_amo2', '16_lag_samPSLann', '16_lag_mhfIP30', '22_lag_shSICsep', '23_lag_shSICsep', '16_lag_nppc2SSTjfm', '18_lag_neurTSjfm', '19_lag_yrvPRjja', '17_lag_mhfATL30', '17_lag_ismPRjja', '18_lag_stratZ50ndj03', '14_lag_amoSSTmjjaso', '16_lag_amo3', '20_lag_neurTSjfm', '16_lag_shSICmar', '18_lag_ormenSSTjfm', '20_lag_seurTSjfm', '14_lag_satlSSTjfm', '23_lag_stratZ50ndj01', '17_lag_stratZ50ndj01', '20_lag_stratZ50ndj02', '18_lag_amo1', '22_lag_traIT', '14_lag_stratZ50ndj03', '19_lag_amoSSTmjjaso', '22_lag_traWP']","[0.2644000232620478, 0.042436077414513246, 0.1473563105291352, 0.00911109860812229, 0.15623412228462386, 0.08272752253414863, 0.08437401739597998, 0.14471459889227667, 0.11101603027671439, 0.32222400589929634, 0.07876131422847293, 0.10097725056222405, 0.1466439069884132, 0.1719998388469982, 0.17055642851156227, 0.18441007093282108, 0.09939736300513052, 0.07253858209005376, 0.04068738354388121, 0.06803151366593481, 0.23554423788186765, 0.19662847533896827, 0.0786377203597863, 0.08086663127078818, 0.14664194422151003, 0.00778722254136543, 0.12835053868753843, 0.20384382636726345, 0.18940490484517047, 0.14615048279370585]","14_lag_15_median_amo1, 23_lag_nchinaPRjja, 16_lag_ginwSSTjfm, 23_lag_mhfATL60, 22_lag_amo2, 16_lag_samPSLann, 16_lag_mhfIP30, 22_lag_shSICsep, 23_lag_shSICsep, 16_lag_nppc2SSTjfm, 18_lag_neurTSjfm, 19_lag_yrvPRjja, 17_lag_mhfATL30, 17_lag_ismPRjja, 18_lag_stratZ50ndj03, 14_lag_amoSSTmjjaso, 16_lag_amo3, 20_lag_neurTSjfm, 16_lag_shSICmar, 18_lag_ormenSSTjfm, 20_lag_seurTSjfm, 14_lag_satlSSTjfm, 23_lag_stratZ50ndj01, 17_lag_stratZ50ndj01, 20_lag_stratZ50ndj02, 18_lag_amo1, 22_lag_traIT, 14_lag_stratZ50ndj03, 19_lag_amoSSTmjjaso, 22_lag_traWP_1216_14"
