model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,traEC,picntrl,1514.5,2050.5,0.8,15,1,1,18.3028820769892,0.06436822616558606,1728,"['4_lag_ginwSSTjfm', '4_lag_nppc3SSTjfm', '1_lag_11_median_glTSjfm', '1_lag_6_median_traEC', '1_lag_5_median_scpPSLjfm', '12_lag_stratZ50ndj02', '1_lag_5_median_shSICmar', '12_lag_traEC', '1_lag_12_median_shSICmar', '1_lag_amoSSTmjjaso']","[5.295734612045928, 6.884880620496516, 2.1312987749706096, 5.941783504400497, 4.769961239882335, 2.4935270281122834, 5.2601336736015725, 5.0118809883973015, 5.858133065820363, 0.25321874466403393]","4_lag_ginwSSTjfm, 4_lag_nppc3SSTjfm, 1_lag_11_median_glTSjfm, 1_lag_6_median_traEC, 1_lag_5_median_scpPSLjfm, 12_lag_stratZ50ndj02, 1_lag_5_median_shSICmar, 12_lag_traEC, 1_lag_12_median_shSICmar, 1_lag_amoSSTmjjaso_1728_1"
LRforcedPSO,1,10,traEC,picntrl,1515.5,2050.5,0.8,16,1,1,13.3824111992496,0.14627023419312277,1856,"['1_lag_5_median_amo2', '1_lag_3_median_atlSICjfm', '1_lag_2_median_amoSSTmjjaso', '6_lag_traWP', '9_lag_mhfATL45', '9_lag_amoSSTmjjaso', '10_lag_ensoSSTjfm', '10_lag_eapPSLjfm', '4_lag_arcTSjfm', '1_lag_4_median_atlSICjfm']","[5.306286552183119, 1.7741292016713075, 3.9044371771914186, 0.2858591992582138, 1.6526577426333855, 1.7639573135952027, 0.09334951124336577, 1.8292219247849069, 3.869514970491668, 6.173287540414578]","1_lag_5_median_amo2, 1_lag_3_median_atlSICjfm, 1_lag_2_median_amoSSTmjjaso, 6_lag_traWP, 9_lag_mhfATL45, 9_lag_amoSSTmjjaso, 10_lag_ensoSSTjfm, 10_lag_eapPSLjfm, 4_lag_arcTSjfm, 1_lag_4_median_atlSICjfm_1856_1"
LRforcedPSO,2,10,traEC,picntrl,1516.5,2050.5,0.8,17,1,1,16.864047257840372,-0.012957182172968491,1984,"['9_lag_traCA', '13_lag_eapPSLjfm', '1_lag_13_median_mhfATL45', '8_lag_traEC', '3_lag_atlSICsep', '13_lag_shSICsep', '1_lag_13_median_nhSICjfm', '1_lag_6_median_traEU', '1_lag_15_median_seurTSjfm', '4_lag_arcTSjfm']","[3.5289110404674284, 0.6899067554761817, 1.6340889730633616, 0.8816864572980379, 2.277191586648863, 1.5081846656702957, 7.228322541067866, 4.825083596133471, 5.167543702766082, 0.6734421239336701]","9_lag_traCA, 13_lag_eapPSLjfm, 1_lag_13_median_mhfATL45, 8_lag_traEC, 3_lag_atlSICsep, 13_lag_shSICsep, 1_lag_13_median_nhSICjfm, 1_lag_6_median_traEU, 1_lag_15_median_seurTSjfm, 4_lag_arcTSjfm_1984_1"
LRforcedPSO,3,10,traEC,picntrl,1517.5,2050.5,0.8,18,1,1,13.201143601461256,0.0668427669427404,2112,"['16_lag_eapPSLjfm', '17_lag_tripol3', '6_lag_traIT', '1_lag_12_median_tripol2', '1_lag_stratZ50ndj04', '1_lag_6_median_traFSC', '1_lag_nhTSjfm', '14_lag_traDP', '2_lag_gyreSSTjfm', '2_lag_tripol2']","[2.051732904533379, 0.7222166830317533, 2.73802966150154, 2.292526538276867, 0.12543551029074607, 5.965122323605727, 5.24172212252606, 6.228194496932797, 0.4571005915651778, 0.16336301485550386]","16_lag_eapPSLjfm, 17_lag_tripol3, 6_lag_traIT, 1_lag_12_median_tripol2, 1_lag_stratZ50ndj04, 1_lag_6_median_traFSC, 1_lag_nhTSjfm, 14_lag_traDP, 2_lag_gyreSSTjfm, 2_lag_tripol2_2112_1"
LRforcedPSO,4,10,traEC,picntrl,1518.5,2050.5,0.8,19,1,1,15.838830487585016,-0.07571440045253867,2240,"['1_lag_2_median_traIFC', '5_lag_amo1', '18_lag_traTLS', '12_lag_neurTSjfm', '15_lag_traFSC', '1_lag_17_median_traIT', '1_lag_5_median_AMOCann', '13_lag_traBS', '1_lag_8_median_traCA', '1_lag_12_median_traFS']","[0.7873678330507516, 0.7206281000412176, 0.6452928832511589, 4.534813325930738, 4.334381311695019, 2.7762404642712424, 7.206571672006763, 2.070914743501005, 0.14189038021072875, 8.908333971523852]","1_lag_2_median_traIFC, 5_lag_amo1, 18_lag_traTLS, 12_lag_neurTSjfm, 15_lag_traFSC, 1_lag_17_median_traIT, 1_lag_5_median_AMOCann, 13_lag_traBS, 1_lag_8_median_traCA, 1_lag_12_median_traFS_2240_1"
LRforcedPSO,5,10,traEC,picntrl,1519.5,2050.5,0.8,20,1,1,14.211510044771625,0.07877410857751832,2368,"['1_lag_19_median_amo1', '3_lag_shTSjfm', '9_lag_nppc2SSTjfm', '16_lag_tripol2', '1_lag_3_median_ismPRjja', '15_lag_atlSICjfm', '14_lag_tripol2', '1_lag_5_median_mhfATL45', '13_lag_tripol2', '11_lag_traIFC']","[4.666931993492318, 2.313483882205638, 3.710934764780638, 3.3531140940055266, 0.6490506656049728, 6.880667736703265, 3.887005611145584, 3.2545158569641286, 4.238179563530302, 3.863002605880064]","1_lag_19_median_amo1, 3_lag_shTSjfm, 9_lag_nppc2SSTjfm, 16_lag_tripol2, 1_lag_3_median_ismPRjja, 15_lag_atlSICjfm, 14_lag_tripol2, 1_lag_5_median_mhfATL45, 13_lag_tripol2, 11_lag_traIFC_2368_1"
LRforcedPSO,6,10,traEC,picntrl,1520.5,2050.5,0.8,21,1,1,13.6534227161956,-0.08896764657162722,2496,"['12_lag_stratZ50ndj04', '1_lag_18_median_neurTSjfm', '1_lag_yrvPRjja', '11_lag_traIT', '8_lag_traBS', '4_lag_stratZ50ndj02', '1_lag_11_median_amo3', '2_lag_nhSICjfm', '4_lag_traTLS', '5_lag_traDS']","[1.3052681251926845, 3.2240043805740086, 2.163708721359326, 0.3491840256079559, 1.885145646651548, 1.6427106005298526, 0.2738682394649423, 5.893527874217748, 1.1894834755461368, 3.695336605648394]","12_lag_stratZ50ndj04, 1_lag_18_median_neurTSjfm, 1_lag_yrvPRjja, 11_lag_traIT, 8_lag_traBS, 4_lag_stratZ50ndj02, 1_lag_11_median_amo3, 2_lag_nhSICjfm, 4_lag_traTLS, 5_lag_traDS_2496_1"
LRforcedPSO,7,10,traEC,picntrl,1521.5,2050.5,0.8,22,2,2,15.884798963094104,0.011796443820017898,2496,"['2_lag_17_median_traDP', '21_lag_arcTSjfm', '2_lag_16_median_traEU', '9_lag_mhfIP30', '14_lag_eurPSLjfm', '2_lag_3_median_yrvPRjja', '2_lag_14_median_labSSTjfm', '18_lag_nhSICjfm', '2_lag_9_median_ismPRjja', '2_lag_12_median_traCA']","[2.2656333054364115, 3.429837189441045, 5.5361238632540815, 5.17533948796685, 0.7685405612559251, 4.630700515263392, 7.780855694374324, 3.0202830748350493, 4.466132622830694, 7.134915701073621]","2_lag_17_median_traDP, 21_lag_arcTSjfm, 2_lag_16_median_traEU, 9_lag_mhfIP30, 14_lag_eurPSLjfm, 2_lag_3_median_yrvPRjja, 2_lag_14_median_labSSTjfm, 18_lag_nhSICjfm, 2_lag_9_median_ismPRjja, 2_lag_12_median_traCA_2496_2"
LRforcedPSO,8,10,traEC,picntrl,1522.5,2050.5,0.8,23,3,3,15.676659366767609,-0.12321172780712114,2496,"['8_lag_scpPSLjfm', '4_lag_shSICmar', '3_lag_6_median_naoPSLjfm', '3_lag_10_median_cetTSjfm', '18_lag_cetTSjfm', '3_lag_7_median_gyreSSTjfm', '11_lag_stratZ50ndj01', '3_lag_19_median_ginwSSTjfm', '3_lag_nppc2SSTjfm', '15_lag_shTSjfm']","[2.7668221667457225, 0.8203276981551273, 1.2253667201303422, 0.7581961299747793, 3.91080233271213, 2.7517943729994148, 8.191614363010055, 2.4720120266741947, 6.759783409516631, 1.2128251887120598]","8_lag_scpPSLjfm, 4_lag_shSICmar, 3_lag_6_median_naoPSLjfm, 3_lag_10_median_cetTSjfm, 18_lag_cetTSjfm, 3_lag_7_median_gyreSSTjfm, 11_lag_stratZ50ndj01, 3_lag_19_median_ginwSSTjfm, 3_lag_nppc2SSTjfm, 15_lag_shTSjfm_2496_3"
LRforcedPSO,9,10,traEC,picntrl,1523.5,2050.5,0.8,24,4,4,14.916386991686906,-0.13130877221115164,2496,"['18_lag_stratZ50ndj03', '4_lag_8_median_ismPRjja', '8_lag_seurTSjfm', '17_lag_amo2', '4_lag_15_median_traCA', '4_lag_17_median_ormenSSTjfm', '19_lag_traMC', '4_lag_17_median_labSSTjfm', '19_lag_gyreSSTjfm', '11_lag_ismPRjja']","[1.4779868868095853, 2.9291295067119076, 1.8950468250143935, 4.169442327394092, 0.9187047515563194, 4.851644680752052, 3.323982395188505, 5.8000189380875415, 1.6857993415065753, 0.5414099231359586]","18_lag_stratZ50ndj03, 4_lag_8_median_ismPRjja, 8_lag_seurTSjfm, 17_lag_amo2, 4_lag_15_median_traCA, 4_lag_17_median_ormenSSTjfm, 19_lag_traMC, 4_lag_17_median_labSSTjfm, 19_lag_gyreSSTjfm, 11_lag_ismPRjja_2496_4"
