model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,10,traEU,picntrl,1514.5,2050.5,0.4,15,1,1,13.071167866791287,0.2640145015451467,1728,"['12_lag_satlSSTjfm', '11_lag_nchinaPRjja', '5_lag_mhfIP30', '9_lag_eurPSLjfm', '9_lag_eapPSLjfm', '1_lag_amo1', '11_lag_nhSICsep', '1_lag_traEU', '1_lag_traTLS', '1_lag_traIT']","[0.17516818581222732, 0.03530697956705832, 0.07024710384077933, 0.09742785210649714, 0.14943156512339337, 0.14145828811756753, 0.16510497566387639, 0.04172011245560911, 0.1770369545315195, 0.1644172356607497]","12_lag_satlSSTjfm, 11_lag_nchinaPRjja, 5_lag_mhfIP30, 9_lag_eurPSLjfm, 9_lag_eapPSLjfm, 1_lag_amo1, 11_lag_nhSICsep, 1_lag_traEU, 1_lag_traTLS, 1_lag_traIT_1728_1"
LinearRegression,1,10,traEU,picntrl,1515.5,2050.5,0.4,16,1,1,13.33846145539689,0.23152591507656983,1856,"['1_lag_amo1', '6_lag_mhfATL60', '15_lag_stratZ50ndj01', '11_lag_nchinaPRjja', '9_lag_eapPSLjfm', '1_lag_traEU', '11_lag_nhSICsep', '1_lag_traTLS', '15_lag_amoSSTmjjaso', '1_lag_traIT']","[0.12849697751149491, 0.0655995023708889, 0.13219252909039353, 0.04085199845512129, 0.15298496972827041, 0.035870651133245224, 0.15805004662851807, 0.13564126069309812, 0.0950499887176397, 0.20031113545072884]","1_lag_amo1, 6_lag_mhfATL60, 15_lag_stratZ50ndj01, 11_lag_nchinaPRjja, 9_lag_eapPSLjfm, 1_lag_traEU, 11_lag_nhSICsep, 1_lag_traTLS, 15_lag_amoSSTmjjaso, 1_lag_traIT_1856_1"
LinearRegression,2,10,traEU,picntrl,1516.5,2050.5,0.4,17,1,1,13.682844366287984,0.18735525176837922,1984,"['12_lag_satlSSTjfm', '1_lag_traEU', '11_lag_nchinaPRjja', '9_lag_eapPSLjfm', '6_lag_mhfATL60', '15_lag_stratZ50ndj01', '15_lag_amoSSTmjjaso', '1_lag_traTLS', '11_lag_nhSICsep', '1_lag_traIT']","[0.22016554341724154, 0.0175004901298181, 0.05330808604116814, 0.14284839323226353, 0.09550617399344899, 0.14895562925915953, 0.09482763382506636, 0.15118000749407762, 0.1569632525314937, 0.21683565542706057]","12_lag_satlSSTjfm, 1_lag_traEU, 11_lag_nchinaPRjja, 9_lag_eapPSLjfm, 6_lag_mhfATL60, 15_lag_stratZ50ndj01, 15_lag_amoSSTmjjaso, 1_lag_traTLS, 11_lag_nhSICsep, 1_lag_traIT_1984_1"
LinearRegression,3,10,traEU,picntrl,1517.5,2050.5,0.4,18,1,1,13.680656739071319,0.18714942210958171,2112,"['9_lag_eapPSLjfm', '12_lag_satlSSTjfm', '11_lag_nchinaPRjja', '1_lag_traEU', '6_lag_mhfATL60', '15_lag_stratZ50ndj01', '15_lag_amoSSTmjjaso', '1_lag_traTLS', '1_lag_traIT', '11_lag_nhSICsep']","[0.14450763908193306, 0.22198212612603863, 0.05163956727163408, 0.01779482415506022, 0.096058592385109, 0.1473755532213853, 0.09647487327694257, 0.15057325003373861, 0.2151094659122016, 0.1544971104792235]","9_lag_eapPSLjfm, 12_lag_satlSSTjfm, 11_lag_nchinaPRjja, 1_lag_traEU, 6_lag_mhfATL60, 15_lag_stratZ50ndj01, 15_lag_amoSSTmjjaso, 1_lag_traTLS, 1_lag_traIT, 11_lag_nhSICsep_2112_1"
LinearRegression,4,10,traEU,picntrl,1518.5,2050.5,0.4,19,1,1,13.59099307674074,0.18832709207483617,2240,"['12_lag_satlSSTjfm', '17_lag_satlSSTjfm', '11_lag_nchinaPRjja', '1_lag_traEU', '6_lag_mhfATL60', '15_lag_stratZ50ndj01', '15_lag_amoSSTmjjaso', '11_lag_nhSICsep', '1_lag_traTLS', '1_lag_traIT']","[0.22220046438062416, 0.08683076457630419, 0.06333995256862611, 0.022252236784264613, 0.12630940505993046, 0.1703205047706867, 0.09005453067404182, 0.14598995586259808, 0.13163069226368704, 0.23637256207204072]","12_lag_satlSSTjfm, 17_lag_satlSSTjfm, 11_lag_nchinaPRjja, 1_lag_traEU, 6_lag_mhfATL60, 15_lag_stratZ50ndj01, 15_lag_amoSSTmjjaso, 11_lag_nhSICsep, 1_lag_traTLS, 1_lag_traIT_2240_1"
LinearRegression,5,10,traEU,picntrl,1519.5,2050.5,0.4,20,1,1,13.67337950783416,0.19403733632450537,2368,"['12_lag_mhfATL60', '1_lag_traEU', '17_lag_satlSSTjfm', '15_lag_amoSSTmjjaso', '6_lag_mhfATL60', '11_lag_nchinaPRjja', '15_lag_stratZ50ndj01', '11_lag_nhSICsep', '1_lag_traTLS', '1_lag_traIT']","[0.14698308381610178, 0.002793746446918932, 0.0854374079991545, 0.09808865726091509, 0.11005777202683809, 0.046286637107409115, 0.14546255485933224, 0.13944208718224022, 0.16134233771666803, 0.22227815687995342]","12_lag_mhfATL60, 1_lag_traEU, 17_lag_satlSSTjfm, 15_lag_amoSSTmjjaso, 6_lag_mhfATL60, 11_lag_nchinaPRjja, 15_lag_stratZ50ndj01, 11_lag_nhSICsep, 1_lag_traTLS, 1_lag_traIT_2368_1"
LinearRegression,6,10,traEU,picntrl,1520.5,2050.5,0.4,21,1,1,13.489807102226825,0.20590062679886573,2496,"['9_lag_eapPSLjfm', '11_lag_nchinaPRjja', '17_lag_satlSSTjfm', '15_lag_amoSSTmjjaso', '6_lag_mhfATL60', '1_lag_traEU', '15_lag_stratZ50ndj01', '11_lag_nhSICsep', '1_lag_traTLS', '1_lag_traIT']","[0.14419315436826505, 0.029826684410358018, 0.08997980350825846, 0.10048141802113245, 0.0789452367917734, 0.01847698904743674, 0.1389797082675202, 0.1602917682868773, 0.1465190091994193, 0.23961795809217065]","9_lag_eapPSLjfm, 11_lag_nchinaPRjja, 17_lag_satlSSTjfm, 15_lag_amoSSTmjjaso, 6_lag_mhfATL60, 1_lag_traEU, 15_lag_stratZ50ndj01, 11_lag_nhSICsep, 1_lag_traTLS, 1_lag_traIT_2496_1"
LinearRegression,7,10,traEU,picntrl,1521.5,2050.5,0.4,22,1,1,13.913986250335157,0.1432601666986876,2624,"['11_lag_nchinaPRjja', '21_lag_atlSICsep', '17_lag_satlSSTjfm', '9_lag_eapPSLjfm', '6_lag_mhfATL60', '1_lag_traEU', '15_lag_stratZ50ndj01', '11_lag_nhSICsep', '1_lag_traIT', '1_lag_traTLS']","[0.03305441178187588, 0.23480372857902257, 0.07166445976613142, 0.15312347845405602, 0.0872936331816267, 0.0329596406424275, 0.1445017795634973, 0.1929100437372397, 0.1986735830477928, 0.17124407701785244]","11_lag_nchinaPRjja, 21_lag_atlSICsep, 17_lag_satlSSTjfm, 9_lag_eapPSLjfm, 6_lag_mhfATL60, 1_lag_traEU, 15_lag_stratZ50ndj01, 11_lag_nhSICsep, 1_lag_traIT, 1_lag_traTLS_2624_1"
LinearRegression,8,10,traEU,picntrl,1522.5,2050.5,0.4,23,1,1,13.81745532886798,0.2295045768325325,2752,"['6_lag_traIFC', '21_lag_atlSICsep', '1_lag_traEU', '1_lag_stratZ50ndj02', '9_lag_eapPSLjfm', '6_lag_mhfATL60', '15_lag_stratZ50ndj01', '11_lag_nhSICsep', '1_lag_traIT', '1_lag_traTLS']","[0.13595297873619322, 0.2391482539097174, 0.0026301363501530332, 0.2128486712315292, 0.14404638125018393, 0.027686217869369978, 0.10982352167575729, 0.20101994480945937, 0.2147098236512957, 0.18115066134055485]","6_lag_traIFC, 21_lag_atlSICsep, 1_lag_traEU, 1_lag_stratZ50ndj02, 9_lag_eapPSLjfm, 6_lag_mhfATL60, 15_lag_stratZ50ndj01, 11_lag_nhSICsep, 1_lag_traIT, 1_lag_traTLS_2752_1"
LinearRegression,9,10,traEU,picntrl,1523.5,2050.5,0.4,24,1,1,13.532095072866763,0.2769392973010588,2880,"['1_lag_traEU', '5_lag_traWP', '6_lag_traIFC', '6_lag_mhfATL60', '1_lag_stratZ50ndj02', '15_lag_stratZ50ndj01', '9_lag_eapPSLjfm', '11_lag_nhSICsep', '1_lag_traIT', '1_lag_traTLS']","[0.013144562888190662, 0.02344412711951248, 0.12725042468363096, 0.03029765517964657, 0.22172073666645384, 0.10235190718488765, 0.1361561224277155, 0.1770994960460271, 0.24387271045920517, 0.1671492836288987]","1_lag_traEU, 5_lag_traWP, 6_lag_traIFC, 6_lag_mhfATL60, 1_lag_stratZ50ndj02, 15_lag_stratZ50ndj01, 9_lag_eapPSLjfm, 11_lag_nhSICsep, 1_lag_traIT, 1_lag_traTLS_2880_1"
LinearRegression,10,10,traEU,picntrl,1524.5,2050.5,0.4,25,1,1,13.554381949773871,0.27739888311656924,3008,"['6_lag_traIFC', '1_lag_stratZ50ndj02', '11_lag_nhSICsep', '1_lag_traEU', '6_lag_mhfATL60', '5_lag_traWP', '9_lag_eapPSLjfm', '15_lag_stratZ50ndj01', '1_lag_traIT', '1_lag_traTLS']","[0.1217381713426079, 0.22265636041700987, 0.17444974866804952, 0.010996088135626053, 0.03611519840645541, 0.025695831887916815, 0.1387889965062984, 0.10762915191616715, 0.25247363041463533, 0.16157993842841678]","6_lag_traIFC, 1_lag_stratZ50ndj02, 11_lag_nhSICsep, 1_lag_traEU, 6_lag_mhfATL60, 5_lag_traWP, 9_lag_eapPSLjfm, 15_lag_stratZ50ndj01, 1_lag_traIT, 1_lag_traTLS_3008_1"
LinearRegression,11,10,traEU,picntrl,1525.5,2050.5,0.4,26,1,1,13.84660466424145,0.23170765120097048,3136,"['21_lag_atlSICsep', '11_lag_nhSICsep', '6_lag_traIFC', '1_lag_traEU', '6_lag_mhfATL60', '1_lag_stratZ50ndj02', '9_lag_eapPSLjfm', '15_lag_stratZ50ndj01', '1_lag_traTLS', '1_lag_traIT']","[0.24008541406784262, 0.195373359432038, 0.12839676361788366, 0.00196723815595673, 0.03562896242838254, 0.22208696616131704, 0.1425498993145682, 0.1135426108610901, 0.17424533805613063, 0.22466708787891732]","21_lag_atlSICsep, 11_lag_nhSICsep, 6_lag_traIFC, 1_lag_traEU, 6_lag_mhfATL60, 1_lag_stratZ50ndj02, 9_lag_eapPSLjfm, 15_lag_stratZ50ndj01, 1_lag_traTLS, 1_lag_traIT_3136_1"
LinearRegression,12,10,traEU,picntrl,1526.5,2050.5,0.4,27,1,1,13.396942016658091,0.28672444742005126,3264,"['11_lag_nhSICsep', '1_lag_amo1', '6_lag_traIFC', '1_lag_stratZ50ndj02', '1_lag_traEU', '6_lag_mhfATL60', '15_lag_stratZ50ndj01', '9_lag_eapPSLjfm', '1_lag_traIT', '1_lag_traTLS']","[0.1698843474986699, 0.09143307965645715, 0.10535742021016631, 0.21293994607057873, 0.042929068471815185, 0.045211474212014574, 0.10488182372351028, 0.13691764442545476, 0.23266693968339075, 0.14129666399427307]","11_lag_nhSICsep, 1_lag_amo1, 6_lag_traIFC, 1_lag_stratZ50ndj02, 1_lag_traEU, 6_lag_mhfATL60, 15_lag_stratZ50ndj01, 9_lag_eapPSLjfm, 1_lag_traIT, 1_lag_traTLS_3264_1"
LinearRegression,13,10,traEU,picntrl,1527.5,2050.5,0.4,28,1,1,13.426804501161273,0.24445804955512127,3392,"['1_lag_stratZ50ndj02', '11_lag_nhSICsep', '1_lag_amo1', '21_lag_atlSICsep', '6_lag_mhfATL60', '9_lag_eapPSLjfm', '1_lag_traEU', '15_lag_stratZ50ndj01', '1_lag_traIT', '1_lag_traTLS']","[0.20759428388015272, 0.1851140677160248, 0.0866735995432622, 0.2254805605900242, 0.07407249193796833, 0.13651255055982203, 0.029015230752678117, 0.12171419913421883, 0.2058276856495903, 0.15514110029248462]","1_lag_stratZ50ndj02, 11_lag_nhSICsep, 1_lag_amo1, 21_lag_atlSICsep, 6_lag_mhfATL60, 9_lag_eapPSLjfm, 1_lag_traEU, 15_lag_stratZ50ndj01, 1_lag_traIT, 1_lag_traTLS_3392_1"
LinearRegression,14,10,traEU,picntrl,1528.5,2050.5,0.4,29,1,1,13.72927028033469,0.1836461858237867,3520,"['11_lag_nhSICsep', '1_lag_traEU', '21_lag_atlSICsep', '6_lag_mhfATL60', '9_lag_eapPSLjfm', '1_lag_amo1', '15_lag_stratZ50ndj01', '28_lag_yrvPRjja', '1_lag_traIT', '1_lag_traTLS']","[0.19236627524801433, 0.011362590754096097, 0.23213165424328594, 0.08625856223519196, 0.15002174343158178, 0.12293686743217352, 0.1299724426120166, 0.040042171242798935, 0.19296418825575917, 0.13704803326249193]","11_lag_nhSICsep, 1_lag_traEU, 21_lag_atlSICsep, 6_lag_mhfATL60, 9_lag_eapPSLjfm, 1_lag_amo1, 15_lag_stratZ50ndj01, 28_lag_yrvPRjja, 1_lag_traIT, 1_lag_traTLS_3520_1"
LinearRegression,15,10,traEU,picntrl,1529.5,2050.5,0.4,30,1,1,13.559344505700384,0.18754910354506854,3648,"['11_lag_nhSICsep', '1_lag_traEU', '1_lag_amo1', '28_lag_yrvPRjja', '21_lag_atlSICsep', '6_lag_mhfATL60', '15_lag_stratZ50ndj01', '29_lag_yrvPRjja', '1_lag_traIT', '1_lag_traTLS']","[0.18320197591767148, 0.01663870531625261, 0.1186446739545499, 0.029869237796800924, 0.23169331674726795, 0.08611015901175845, 0.13923766484486777, 0.103475278922112, 0.17662270192077723, 0.15936240936471252]","11_lag_nhSICsep, 1_lag_traEU, 1_lag_amo1, 28_lag_yrvPRjja, 21_lag_atlSICsep, 6_lag_mhfATL60, 15_lag_stratZ50ndj01, 29_lag_yrvPRjja, 1_lag_traIT, 1_lag_traTLS_3648_1"
LinearRegression,16,10,traEU,picntrl,1530.5,2050.5,0.4,31,1,1,13.952131485493174,0.16169136395819905,3776,"['11_lag_nhSICsep', '1_lag_traEU', '1_lag_amo1', '9_lag_eapPSLjfm', '21_lag_atlSICsep', '6_lag_mhfATL60', '15_lag_stratZ50ndj01', '29_lag_yrvPRjja', '1_lag_traIT', '1_lag_traTLS']","[0.19153906677305677, 0.013210278145986465, 0.1149597911990752, 0.1395082453942897, 0.23525777134639186, 0.07868948102808856, 0.13570180419681407, 0.10535973023741399, 0.1757180284800037, 0.15222932370707243]","11_lag_nhSICsep, 1_lag_traEU, 1_lag_amo1, 9_lag_eapPSLjfm, 21_lag_atlSICsep, 6_lag_mhfATL60, 15_lag_stratZ50ndj01, 29_lag_yrvPRjja, 1_lag_traIT, 1_lag_traTLS_3776_1"
LinearRegression,17,10,traEU,picntrl,1531.5,2050.5,0.4,32,2,2,14.569849170904526,0.12190181514188957,3776,"['27_lag_stratZ50ndj01', '2_lag_traTLS', '2_lag_traIT', '9_lag_eapPSLjfm', '21_lag_atlSICsep', '2_lag_tripol2', '6_lag_mhfATL60', '29_lag_yrvPRjja', '31_lag_stratZ50ndj01', '15_lag_stratZ50ndj01']","[0.19018157422267576, 0.09620041157422282, 0.03909459347669457, 0.11859299196741999, 0.2323036565964146, 0.2706056000592689, 0.0696070679965803, 0.14847186805976575, 0.186871933717514, 0.19340829464351272]","27_lag_stratZ50ndj01, 2_lag_traTLS, 2_lag_traIT, 9_lag_eapPSLjfm, 21_lag_atlSICsep, 2_lag_tripol2, 6_lag_mhfATL60, 29_lag_yrvPRjja, 31_lag_stratZ50ndj01, 15_lag_stratZ50ndj01_3776_2"
LinearRegression,18,10,traEU,picntrl,1532.5,2050.5,0.4,33,3,3,15.912869616453776,-0.01807571614895476,3776,"['32_lag_eapPSLjfm', '16_lag_yrvPRjja', '3_lag_traTLS', '9_lag_eapPSLjfm', '27_lag_stratZ50ndj01', '21_lag_atlSICsep', '31_lag_stratZ50ndj01', '6_lag_mhfATL60', '15_lag_stratZ50ndj01', '29_lag_yrvPRjja']","[0.14209103825588232, 0.10590007785783442, 0.20771521801751178, 0.14152052525810205, 0.22048213989059434, 0.24121516892075634, 0.19191915417063718, 0.09252829515770479, 0.22137216857786754, 0.15118212115927693]","32_lag_eapPSLjfm, 16_lag_yrvPRjja, 3_lag_traTLS, 9_lag_eapPSLjfm, 27_lag_stratZ50ndj01, 21_lag_atlSICsep, 31_lag_stratZ50ndj01, 6_lag_mhfATL60, 15_lag_stratZ50ndj01, 29_lag_yrvPRjja_3776_3"
LinearRegression,19,10,traEU,picntrl,1533.5,2050.5,0.4,34,4,6,15.97345025856391,-0.03946611792017412,3776,"['32_lag_eapPSLjfm', '27_lag_stratZ50ndj01', '16_lag_yrvPRjja', '9_lag_eapPSLjfm', '6_lag_mhfATL60', '33_lag_atlSICsep', '29_lag_yrvPRjja', '15_lag_stratZ50ndj01', '31_lag_stratZ50ndj01', '21_lag_atlSICsep']","[0.16351960912016492, 0.2429370681530613, 0.11580045014874854, 0.1581511235451566, 0.10120969573032297, 0.27616255595235917, 0.1565407458678345, 0.14852155785565524, 0.1919583743256895, 0.26838231609965224]","32_lag_eapPSLjfm, 27_lag_stratZ50ndj01, 16_lag_yrvPRjja, 9_lag_eapPSLjfm, 6_lag_mhfATL60, 33_lag_atlSICsep, 29_lag_yrvPRjja, 15_lag_stratZ50ndj01, 31_lag_stratZ50ndj01, 21_lag_atlSICsep_3776_6"
LinearRegression,20,10,traEU,picntrl,1534.5,2050.5,0.4,35,5,5,15.221241134360946,-0.06830895402488052,3776,"['6_lag_mhfATL60', '5_lag_6_median_mhfATL60', '33_lag_atlSICsep', '9_lag_eapPSLjfm', '29_lag_yrvPRjja', '15_lag_stratZ50ndj01', '16_lag_yrvPRjja', '34_lag_stratZ50ndj03', '21_lag_atlSICsep', '31_lag_stratZ50ndj01']","[0.04308354971614273, 0.04308354971614271, 0.26361962242223713, 0.12690515058940824, 0.12227160671638475, 0.13328609452012738, 0.1167352644337451, 0.10686363972503615, 0.23760812519791655, 0.20833213892349933]","6_lag_mhfATL60, 5_lag_6_median_mhfATL60, 33_lag_atlSICsep, 9_lag_eapPSLjfm, 29_lag_yrvPRjja, 15_lag_stratZ50ndj01, 16_lag_yrvPRjja, 34_lag_stratZ50ndj03, 21_lag_atlSICsep, 31_lag_stratZ50ndj01_3776_5"
LinearRegression,21,10,traEU,picntrl,1535.5,2050.5,0.4,36,6,6,16.218093605764338,-0.08161008449814726,3776,"['32_lag_eapPSLjfm', '27_lag_stratZ50ndj01', '9_lag_eapPSLjfm', '15_lag_stratZ50ndj01', '16_lag_yrvPRjja', '29_lag_yrvPRjja', '34_lag_stratZ50ndj03', '31_lag_stratZ50ndj01', '6_lag_mhfATL60', '21_lag_atlSICsep']","[0.16071422762043114, 0.2346942844402436, 0.14669071096633804, 0.18492885474696377, 0.11161110834117491, 0.1652253383589521, 0.09420057259351206, 0.1946030690935972, 0.07507860542272361, 0.23958832636895977]","32_lag_eapPSLjfm, 27_lag_stratZ50ndj01, 9_lag_eapPSLjfm, 15_lag_stratZ50ndj01, 16_lag_yrvPRjja, 29_lag_yrvPRjja, 34_lag_stratZ50ndj03, 31_lag_stratZ50ndj01, 6_lag_mhfATL60, 21_lag_atlSICsep_3776_6"
LinearRegression,22,10,traEU,picntrl,1536.5,2050.5,0.4,37,7,9,16.466028360531936,-0.0800796026570721,3776,"['12_lag_eapPSLjfm', '33_lag_atlSICsep', '34_lag_stratZ50ndj03', '9_lag_eapPSLjfm', '15_lag_stratZ50ndj01', '16_lag_yrvPRjja', '27_lag_stratZ50ndj01', '29_lag_yrvPRjja', '21_lag_atlSICsep', '31_lag_stratZ50ndj01']","[0.16052217000896568, 0.28286738458259814, 0.13540516416050138, 0.14550219264015354, 0.14872303578362098, 0.11645240634383776, 0.25534811332987534, 0.1735860942526322, 0.2645864465667003, 0.19800059550858576]","12_lag_eapPSLjfm, 33_lag_atlSICsep, 34_lag_stratZ50ndj03, 9_lag_eapPSLjfm, 15_lag_stratZ50ndj01, 16_lag_yrvPRjja, 27_lag_stratZ50ndj01, 29_lag_yrvPRjja, 21_lag_atlSICsep, 31_lag_stratZ50ndj01_3776_9"
LinearRegression,23,10,traEU,picntrl,1537.5,2050.5,0.4,38,8,9,16.13504658821413,-0.04774552659902915,3776,"['9_lag_eapPSLjfm', '33_lag_nchinaPRjja', '37_lag_traWP', '33_lag_atlSICsep', '15_lag_stratZ50ndj01', '21_lag_atlSICsep', '29_lag_yrvPRjja', '16_lag_yrvPRjja', '27_lag_stratZ50ndj01', '31_lag_stratZ50ndj01']","[0.149670858166891, 0.09615758706389547, 0.11396961366250286, 0.262541259086119, 0.15974040013614224, 0.22799381947733163, 0.1753209330238612, 0.08845993407342917, 0.2613882620360176, 0.2317303012151609]","9_lag_eapPSLjfm, 33_lag_nchinaPRjja, 37_lag_traWP, 33_lag_atlSICsep, 15_lag_stratZ50ndj01, 21_lag_atlSICsep, 29_lag_yrvPRjja, 16_lag_yrvPRjja, 27_lag_stratZ50ndj01, 31_lag_stratZ50ndj01_3776_9"
LinearRegression,24,10,traEU,picntrl,1538.5,2050.5,0.4,39,9,9,16.367505732915003,-0.047269295562411794,3776,"['24_lag_stratZ50ndj02', '9_lag_eapPSLjfm', '37_lag_traWP', '15_lag_stratZ50ndj01', '33_lag_nchinaPRjja', '21_lag_atlSICsep', '29_lag_yrvPRjja', '27_lag_stratZ50ndj01', '16_lag_yrvPRjja', '31_lag_stratZ50ndj01']","[0.15745822618722602, 0.13147214776780755, 0.10700457367133437, 0.2361017284590273, 0.11588314670670793, 0.20193340959447817, 0.18407644142883534, 0.23165190978811176, 0.08650817668649392, 0.24817362051817937]","24_lag_stratZ50ndj02, 9_lag_eapPSLjfm, 37_lag_traWP, 15_lag_stratZ50ndj01, 33_lag_nchinaPRjja, 21_lag_atlSICsep, 29_lag_yrvPRjja, 27_lag_stratZ50ndj01, 16_lag_yrvPRjja, 31_lag_stratZ50ndj01_3776_9"
LinearRegression,25,10,traEU,picntrl,1539.5,2050.5,0.4,40,10,12,15.966520247396566,-0.012392606647811607,3776,"['12_lag_satlSSTjfm', '33_lag_atlSICsep', '17_lag_nchinaPRjja', '27_lag_stratZ50ndj01', '15_lag_stratZ50ndj01', '21_lag_atlSICsep', '37_lag_traWP', '29_lag_yrvPRjja', '16_lag_yrvPRjja', '31_lag_stratZ50ndj01']","[0.20917239228409065, 0.2829897886895099, 0.06951487618489216, 0.2622404795428668, 0.13878201047096933, 0.2141551537245178, 0.14913226032261084, 0.1869647117315921, 0.10204381002111843, 0.250628467565198]","12_lag_satlSSTjfm, 33_lag_atlSICsep, 17_lag_nchinaPRjja, 27_lag_stratZ50ndj01, 15_lag_stratZ50ndj01, 21_lag_atlSICsep, 37_lag_traWP, 29_lag_yrvPRjja, 16_lag_yrvPRjja, 31_lag_stratZ50ndj01_3776_12"
LinearRegression,26,10,traEU,picntrl,1540.5,2050.5,0.4,41,11,15,14.870438403431102,-0.04153417600573282,3776,"['33_lag_atlSICsep', '40_lag_amo1', '23_lag_nchinaPRjja', '21_lag_atlSICsep', '15_lag_stratZ50ndj01', '17_lag_nchinaPRjja', '16_lag_yrvPRjja', '37_lag_traWP', '29_lag_yrvPRjja', '31_lag_stratZ50ndj01']","[0.21893979658025023, 0.10691901290004949, 0.1187528238402259, 0.20254879846657994, 0.14920894899593606, 0.05040238610381202, 0.10305623868709445, 0.08575334590484583, 0.1576523297386234, 0.2339564698618613]","33_lag_atlSICsep, 40_lag_amo1, 23_lag_nchinaPRjja, 21_lag_atlSICsep, 15_lag_stratZ50ndj01, 17_lag_nchinaPRjja, 16_lag_yrvPRjja, 37_lag_traWP, 29_lag_yrvPRjja, 31_lag_stratZ50ndj01_3776_15"
LinearRegression,27,10,traEU,picntrl,1541.5,2050.5,0.4,42,12,12,15.342731209449632,-0.0512836298197242,3776,"['23_lag_nchinaPRjja', '21_lag_atlSICsep', '17_lag_nchinaPRjja', '34_lag_stratZ50ndj03', '12_lag_satlSSTjfm', '15_lag_stratZ50ndj01', '37_lag_traWP', '16_lag_yrvPRjja', '29_lag_yrvPRjja', '31_lag_stratZ50ndj01']","[0.11562628837369694, 0.15996534747628294, 0.032619940193109855, 0.10294720322542804, 0.2210324855028149, 0.19446492745233152, 0.11349935384100161, 0.1203000169538337, 0.18663921921545573, 0.24956756492406484]","23_lag_nchinaPRjja, 21_lag_atlSICsep, 17_lag_nchinaPRjja, 34_lag_stratZ50ndj03, 12_lag_satlSSTjfm, 15_lag_stratZ50ndj01, 37_lag_traWP, 16_lag_yrvPRjja, 29_lag_yrvPRjja, 31_lag_stratZ50ndj01_3776_12"
