model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,30,traFB,picntrl,1714.5,2050.5,0.4,15,1,1,22.584476923716263,-0.04000847186999836,1728,"['6_lag_traFB', '3_lag_amoSSTmjjaso', '1_lag_7_median_tripol3', '1_lag_11_median_stratZ50ndj04', '1_lag_13_median_cetTSjfm', '7_lag_nppc2SSTjfm', '1_lag_4_median_mhfATL45', '1_lag_amo2', '1_lag_14_median_scpPSLjfm', '1_lag_14_median_neurTSjfm', '11_lag_yrvPRjja', '1_lag_9_median_traFB', '4_lag_nppc3SSTjfm', '3_lag_satlSSTjfm', '1_lag_2_median_pdoSSTjfm', '1_lag_9_median_traWP', '1_lag_nchinaPRjja', '1_lag_3_median_atlSICjfm', '1_lag_5_median_scpPSLjfm', '1_lag_10_median_glomaSSTjfm', '4_lag_glTSjfm', '3_lag_shTSjfm', '10_lag_gyreSSTjfm', '9_lag_amo2', '4_lag_ismPRjja', '1_lag_7_median_glomaSSTjfm', '1_lag_4_median_amo2', '1_lag_pdoSSTjfm', '9_lag_AMOCann', '7_lag_glomaSSTjfm']","[4.957272982728007, 1.2082560999819734, 6.2567677713173175, 6.397303194185571, 0.9639391508580211, 5.339345776047793, 8.348604421407293, 0.3229338017753758, 1.3507977495551664, 8.821675606857433, 3.5903529646678827, 0.9617138688248499, 1.668399713659607, 8.21530216202828, 3.334943186166937, 8.588709255507316, 0.7202063534125216, 2.581665131055324, 8.505254332302162, 3.1013047779773695, 3.390414991192735, 2.9074799369617343, 4.659190288958694, 5.1571890913002605, 9.524130875761417, 4.077120599595741, 3.4426666844780645, 1.6148790653280525, 7.600125682325729, 3.786362592354603]","6_lag_traFB, 3_lag_amoSSTmjjaso, 1_lag_7_median_tripol3, 1_lag_11_median_stratZ50ndj04, 1_lag_13_median_cetTSjfm, 7_lag_nppc2SSTjfm, 1_lag_4_median_mhfATL45, 1_lag_amo2, 1_lag_14_median_scpPSLjfm, 1_lag_14_median_neurTSjfm, 11_lag_yrvPRjja, 1_lag_9_median_traFB, 4_lag_nppc3SSTjfm, 3_lag_satlSSTjfm, 1_lag_2_median_pdoSSTjfm, 1_lag_9_median_traWP, 1_lag_nchinaPRjja, 1_lag_3_median_atlSICjfm, 1_lag_5_median_scpPSLjfm, 1_lag_10_median_glomaSSTjfm, 4_lag_glTSjfm, 3_lag_shTSjfm, 10_lag_gyreSSTjfm, 9_lag_amo2, 4_lag_ismPRjja, 1_lag_7_median_glomaSSTjfm, 1_lag_4_median_amo2, 1_lag_pdoSSTjfm, 9_lag_AMOCann, 7_lag_glomaSSTjfm_1728_1"
LRforcedPSO,1,30,traFB,picntrl,1715.5,2050.5,0.4,16,1,1,26.233568146986336,0.12420167735217182,1856,"['10_lag_traCA', '7_lag_cetTSjfm', '1_lag_13_median_traEC', '3_lag_mhfATL45', '1_lag_10_median_stratZ50ndj03', '15_lag_mhfATL45', '1_lag_12_median_traFSC', '1_lag_11_median_arcTSjfm', '1_lag_samPSLann', '1_lag_12_median_nppc3SSTjfm', '3_lag_traBO', '1_lag_5_median_tripol3', '1_lag_6_median_traBS', '3_lag_nchinaPRjja', '12_lag_traBS', '4_lag_nppc3SSTjfm', '3_lag_traTLS', '1_lag_14_median_nchinaPRjja', '15_lag_traEU', '1_lag_8_median_shSICsep', '2_lag_traFS', '1_lag_4_median_traDS', '5_lag_atlSICjfm', '12_lag_traDP', '1_lag_5_median_seurTSjfm', '1_lag_wnorPRjfm', '1_lag_9_median_traEC', '1_lag_15_median_ensoSSTjfm', '1_lag_7_median_traIT', '9_lag_tripol3']","[1.8580569974860222, 9.37707008625615, 8.171162830708994, 1.517016672128591, 0.38797048768420694, 4.394085102064336, 9.481150524214613, 9.091567626951809, 5.9228010564619495, 1.4757522207238978, 8.420497942496468, 0.20165287289497158, 6.77165899536635, 2.941347705275586, 3.213355453703004, 1.496770615778221, 1.4542341948947417, 3.436638978519926, 1.117489453700017, 2.9180478820385893, 6.253110112756943, 6.334525247872971, 0.388130327209824, 0.5342043763898978, 4.3714415433121605, 0.3085879254272932, 3.314872850257615, 8.41152566467282, 0.037852659942871014, 6.324624816279945]","10_lag_traCA, 7_lag_cetTSjfm, 1_lag_13_median_traEC, 3_lag_mhfATL45, 1_lag_10_median_stratZ50ndj03, 15_lag_mhfATL45, 1_lag_12_median_traFSC, 1_lag_11_median_arcTSjfm, 1_lag_samPSLann, 1_lag_12_median_nppc3SSTjfm, 3_lag_traBO, 1_lag_5_median_tripol3, 1_lag_6_median_traBS, 3_lag_nchinaPRjja, 12_lag_traBS, 4_lag_nppc3SSTjfm, 3_lag_traTLS, 1_lag_14_median_nchinaPRjja, 15_lag_traEU, 1_lag_8_median_shSICsep, 2_lag_traFS, 1_lag_4_median_traDS, 5_lag_atlSICjfm, 12_lag_traDP, 1_lag_5_median_seurTSjfm, 1_lag_wnorPRjfm, 1_lag_9_median_traEC, 1_lag_15_median_ensoSSTjfm, 1_lag_7_median_traIT, 9_lag_tripol3_1856_1"
LRforcedPSO,2,30,traFB,picntrl,1716.5,2050.5,0.4,17,1,1,29.533692914188837,-0.04417550726144933,1984,"['12_lag_samPSLann', '10_lag_traCA', '1_lag_traFS', '1_lag_4_median_traWP', '1_lag_14_median_labSSTjfm', '1_lag_2_median_eurPSLjfm', '1_lag_13_median_scpPSLjfm', '1_lag_13_median_ismPRjja', '11_lag_tripol3', '1_lag_2_median_traTLS', '1_lag_7_median_yrvPRjja', '1_lag_4_median_labSSTjfm', '1_lag_10_median_glTSjfm', '1_lag_atlSICjfm', '16_lag_wnorPRjfm', '10_lag_gyreSSTjfm', '1_lag_14_median_nppc2SSTjfm', '6_lag_pdoSSTjfm', '8_lag_AMOCann', '1_lag_10_median_traBO', '3_lag_traEC', '3_lag_glTSjfm', '1_lag_14_median_nhTSjfm', '8_lag_naoPSLjfm', '1_lag_11_median_traEC', '1_lag_10_median_arcTSjfm', '1_lag_2_median_samPSLann', '1_lag_11_median_eurPSLjfm', '2_lag_mhfATL45', '15_lag_arcTSjfm']","[0.6831246047119599, 9.387646789976525, 8.251279821638512, 0.5277581737892341, 0.40093548053325634, 2.09892278116466, 0.15778176326004356, 2.7512684653774997, 3.6682694598156296, 2.347008267352386, 6.5614037664705265, 0.43349861441610393, 4.734334660470669, 3.969543028427678, 0.3961509577333864, 7.91562831805356, 1.7632878507831755, 1.1150804837575183, 2.733680421946371, 5.526337307121894, 9.918791568861995, 0.41511996044605937, 1.1284033747023337, 8.078408652402826, 0.8944201978011694, 8.159301942686836, 1.5778362071736858, 7.649481795289411, 8.917891490019556, 0.8175854741531356]","12_lag_samPSLann, 10_lag_traCA, 1_lag_traFS, 1_lag_4_median_traWP, 1_lag_14_median_labSSTjfm, 1_lag_2_median_eurPSLjfm, 1_lag_13_median_scpPSLjfm, 1_lag_13_median_ismPRjja, 11_lag_tripol3, 1_lag_2_median_traTLS, 1_lag_7_median_yrvPRjja, 1_lag_4_median_labSSTjfm, 1_lag_10_median_glTSjfm, 1_lag_atlSICjfm, 16_lag_wnorPRjfm, 10_lag_gyreSSTjfm, 1_lag_14_median_nppc2SSTjfm, 6_lag_pdoSSTjfm, 8_lag_AMOCann, 1_lag_10_median_traBO, 3_lag_traEC, 3_lag_glTSjfm, 1_lag_14_median_nhTSjfm, 8_lag_naoPSLjfm, 1_lag_11_median_traEC, 1_lag_10_median_arcTSjfm, 1_lag_2_median_samPSLann, 1_lag_11_median_eurPSLjfm, 2_lag_mhfATL45, 15_lag_arcTSjfm_1984_1"
LRforcedPSO,3,30,traFB,picntrl,1717.5,2050.5,0.4,18,1,1,24.13093105763082,0.30774289953819656,2112,"['15_lag_amo2', '1_lag_14_median_naoPSLjfm', '1_lag_7_median_nppc3SSTjfm', '16_lag_AMOCann', '1_lag_9_median_atlSICsep', '1_lag_15_median_mhfATL30', '1_lag_16_median_amo1', '8_lag_satlSSTjfm', '1_lag_14_median_ensoSSTjfm', '1_lag_9_median_mhfATL30', '1_lag_naoPSLjfm', '1_lag_16_median_samPSLann', '9_lag_mhfATL30', '1_lag_15_median_traFS', '5_lag_nchinaPRjja', '1_lag_17_median_labSSTjfm', '2_lag_ormenSSTjfm', '1_lag_2_median_naoPSLjfm', '15_lag_shSICsep', '4_lag_nhSICjfm', '1_lag_17_median_shSICsep', '16_lag_naoPSLjfm', '6_lag_traEC', '1_lag_8_median_stratZ50ndj02', '1_lag_4_median_mhfIP30', '1_lag_13_median_tripol3', '4_lag_cetTSjfm', '1_lag_3_median_arcTSjfm', '8_lag_traIT', '1_lag_15_median_traCA']","[3.2113312466463135, 7.167945989220133, 5.760720463492348, 5.842964167742386, 1.4933910191701898, 4.73894602479225, 1.6431779911218474, 5.352843744232327, 9.44838911651934, 3.998246258266132, 0.9179291046625551, 1.1922902668566238, 7.811403598289113, 7.280173802129411, 2.5648264106686227, 0.3829070531455443, 3.862446417359573, 4.545636095453229, 2.5396701411219915, 0.4403847334980764, 2.40612764500068, 7.212803970230473, 0.5896525606683749, 1.3353616812128024, 9.008819066344298, 5.584154133298281, 1.6295848524053618, 6.860350488148292, 9.883721248063594, 6.796884428678904]","15_lag_amo2, 1_lag_14_median_naoPSLjfm, 1_lag_7_median_nppc3SSTjfm, 16_lag_AMOCann, 1_lag_9_median_atlSICsep, 1_lag_15_median_mhfATL30, 1_lag_16_median_amo1, 8_lag_satlSSTjfm, 1_lag_14_median_ensoSSTjfm, 1_lag_9_median_mhfATL30, 1_lag_naoPSLjfm, 1_lag_16_median_samPSLann, 9_lag_mhfATL30, 1_lag_15_median_traFS, 5_lag_nchinaPRjja, 1_lag_17_median_labSSTjfm, 2_lag_ormenSSTjfm, 1_lag_2_median_naoPSLjfm, 15_lag_shSICsep, 4_lag_nhSICjfm, 1_lag_17_median_shSICsep, 16_lag_naoPSLjfm, 6_lag_traEC, 1_lag_8_median_stratZ50ndj02, 1_lag_4_median_mhfIP30, 1_lag_13_median_tripol3, 4_lag_cetTSjfm, 1_lag_3_median_arcTSjfm, 8_lag_traIT, 1_lag_15_median_traCA_2112_1"
LRforcedPSO,4,30,traFB,picntrl,1718.5,2050.5,0.4,19,1,1,25.275862164842266,-0.23828863420568466,2240,"['1_lag_15_median_glomaSSTjfm', '1_lag_15_median_eapPSLjfm', '1_lag_6_median_seurTSjfm', '18_lag_glTSjfm', '1_lag_4_median_eapPSLjfm', '9_lag_AMOCann', '11_lag_shSICsep', '16_lag_traCA', '13_lag_stratZ50ndj04', '15_lag_nchinaPRjja', '1_lag_15_median_wnorPRjfm', '1_lag_4_median_traCA', '14_lag_mhfATL45', '1_lag_9_median_amo1', '1_lag_9_median_nhSICjfm', '1_lag_14_median_traFS', '17_lag_mhfATL45', '5_lag_stratZ50ndj04', '10_lag_satlSSTjfm', '13_lag_traWP', '1_lag_8_median_samPSLann', '1_lag_2_median_ormenSSTjfm', '18_lag_stratZ50ndj01', '1_lag_10_median_tripol3', '12_lag_stratZ50ndj03', '1_lag_17_median_traFSC', '1_lag_5_median_AMOCann', '6_lag_traDP', '3_lag_ensoSSTjfm', '1_lag_17_median_traEC']","[4.6454651334730945, 3.8669473502968454, 0.5966753664841633, 5.963747872553471, 5.072719979651142, 8.179458215493439, 4.899376974188099, 2.6230870161523505, 0.4669499704811031, 9.983796548866223, 3.765539280341617, 1.7439318057327107, 2.7389664749121945, 1.6546837073592595, 0.4761272104175802, 0.19410307421384054, 1.5162539894532117, 6.3010344443362385, 4.582359341958011, 4.72696785084064, 3.5336324756284583, 8.030180624313205, 0.8385321358685474, 5.194534891203622, 2.408308479696453, 4.3861182936627845, 2.3812741130445065, 2.1574210708448227, 0.5935820846530184, 1.8130640376847147]","1_lag_15_median_glomaSSTjfm, 1_lag_15_median_eapPSLjfm, 1_lag_6_median_seurTSjfm, 18_lag_glTSjfm, 1_lag_4_median_eapPSLjfm, 9_lag_AMOCann, 11_lag_shSICsep, 16_lag_traCA, 13_lag_stratZ50ndj04, 15_lag_nchinaPRjja, 1_lag_15_median_wnorPRjfm, 1_lag_4_median_traCA, 14_lag_mhfATL45, 1_lag_9_median_amo1, 1_lag_9_median_nhSICjfm, 1_lag_14_median_traFS, 17_lag_mhfATL45, 5_lag_stratZ50ndj04, 10_lag_satlSSTjfm, 13_lag_traWP, 1_lag_8_median_samPSLann, 1_lag_2_median_ormenSSTjfm, 18_lag_stratZ50ndj01, 1_lag_10_median_tripol3, 12_lag_stratZ50ndj03, 1_lag_17_median_traFSC, 1_lag_5_median_AMOCann, 6_lag_traDP, 3_lag_ensoSSTjfm, 1_lag_17_median_traEC_2240_1"
LRforcedPSO,5,30,traFB,picntrl,1719.5,2050.5,0.4,20,1,1,27.33324419772387,0.08194502866045635,2368,"['12_lag_traWP', '1_lag_2_median_traCA', '10_lag_traWP', '19_lag_scpPSLjfm', '1_lag_4_median_traFS', '4_lag_seurTSjfm', '10_lag_stratZ50ndj04', '15_lag_naoPSLjfm', '11_lag_atlSICjfm', '18_lag_ginwSSTjfm', '1_lag_13_median_traWP', '1_lag_16_median_traIFC', '7_lag_traWP', '3_lag_seurTSjfm', '8_lag_traIT', '9_lag_atlSICjfm', '1_lag_3_median_satlSSTjfm', '18_lag_tripol2', '9_lag_nhSICjfm', '1_lag_11_median_ginwSSTjfm', '1_lag_17_median_samPSLann', '1_lag_18_median_traFS', '1_lag_9_median_nppc2SSTjfm', '1_lag_17_median_ismPRjja', '7_lag_pdoSSTjfm', '1_lag_8_median_stratZ50ndj03', '1_lag_11_median_tripol2', '1_lag_14_median_shTSjfm', '14_lag_shSICsep', '4_lag_nhTSjfm']","[8.684689161093662, 9.734691235015745, 7.259066209512156, 0.6812751940528159, 8.461263037648429, 1.941277889655023, 5.774784527158938, 4.01086208839965, 2.1165279831311814, 7.800950020030553, 3.750807161205824, 9.900026721864197, 8.728779689148716, 4.560382310087936, 6.923158007445531, 0.8122883515143347, 3.0864604959628945, 4.547303737575843, 2.5264711380118277, 0.8394432889407675, 5.421883082399724, 5.991833107625798, 0.6931900651743401, 7.543714155094058, 8.273761815007338, 7.480144527482386, 1.0378975423870163, 0.27358652338946676, 1.1691704920143025, 3.0126400760489176]","12_lag_traWP, 1_lag_2_median_traCA, 10_lag_traWP, 19_lag_scpPSLjfm, 1_lag_4_median_traFS, 4_lag_seurTSjfm, 10_lag_stratZ50ndj04, 15_lag_naoPSLjfm, 11_lag_atlSICjfm, 18_lag_ginwSSTjfm, 1_lag_13_median_traWP, 1_lag_16_median_traIFC, 7_lag_traWP, 3_lag_seurTSjfm, 8_lag_traIT, 9_lag_atlSICjfm, 1_lag_3_median_satlSSTjfm, 18_lag_tripol2, 9_lag_nhSICjfm, 1_lag_11_median_ginwSSTjfm, 1_lag_17_median_samPSLann, 1_lag_18_median_traFS, 1_lag_9_median_nppc2SSTjfm, 1_lag_17_median_ismPRjja, 7_lag_pdoSSTjfm, 1_lag_8_median_stratZ50ndj03, 1_lag_11_median_tripol2, 1_lag_14_median_shTSjfm, 14_lag_shSICsep, 4_lag_nhTSjfm_2368_1"
LRforcedPSO,6,30,traFB,picntrl,1720.5,2050.5,0.4,21,1,1,23.30774762656069,0.05446095116013607,2496,"['13_lag_nhSICsep', '1_lag_9_median_nchinaPRjja', '1_lag_15_median_neurTSjfm', '1_lag_7_median_pdoSSTjfm', '20_lag_stratZ50ndj01', '18_lag_traTLS', '1_lag_shSICmar', '1_lag_6_median_pdoSSTjfm', '1_lag_19_median_wnorPRjfm', '6_lag_stratZ50ndj02', '1_lag_7_median_stratZ50ndj03', '2_lag_traCA', '5_lag_satlSSTjfm', '1_lag_15_median_nhSICjfm', '9_lag_ensoSSTjfm', '1_lag_19_median_nppc2SSTjfm', '12_lag_amoSSTmjjaso', '17_lag_nhSICsep', '6_lag_atlSICjfm', '1_lag_3_median_atlSICsep', '20_lag_shSICsep', '11_lag_traTLS', '10_lag_traDS', '11_lag_arcTSjfm', '1_lag_7_median_arcTSjfm', '15_lag_AMOCann', '1_lag_16_median_arcTSjfm', '8_lag_nhSICjfm', '1_lag_10_median_atlSICjfm', '8_lag_traDP']","[4.121268083183619, 3.973679327803456, 2.0864163340455333, 7.40714745597807, 1.175154186825365, 8.64249947048236, 2.9595330258998853, 1.3141818105200969, 5.20463008169796, 0.6523243263079266, 7.236705615733783, 2.5256085446192813, 0.09143152800350762, 5.793265176025555, 1.1536605553036452, 2.8661618509067885, 2.631634151854736, 9.281774872787915, 5.265119793748443, 2.313327880938372, 7.012347123281046, 0.2677908087733982, 5.212869460832826, 1.9106613401133377, 2.420077674352137, 7.939680571566857, 2.151681185855864, 0.5353483931533791, 7.175127682962639, 8.77830411977991]","13_lag_nhSICsep, 1_lag_9_median_nchinaPRjja, 1_lag_15_median_neurTSjfm, 1_lag_7_median_pdoSSTjfm, 20_lag_stratZ50ndj01, 18_lag_traTLS, 1_lag_shSICmar, 1_lag_6_median_pdoSSTjfm, 1_lag_19_median_wnorPRjfm, 6_lag_stratZ50ndj02, 1_lag_7_median_stratZ50ndj03, 2_lag_traCA, 5_lag_satlSSTjfm, 1_lag_15_median_nhSICjfm, 9_lag_ensoSSTjfm, 1_lag_19_median_nppc2SSTjfm, 12_lag_amoSSTmjjaso, 17_lag_nhSICsep, 6_lag_atlSICjfm, 1_lag_3_median_atlSICsep, 20_lag_shSICsep, 11_lag_traTLS, 10_lag_traDS, 11_lag_arcTSjfm, 1_lag_7_median_arcTSjfm, 15_lag_AMOCann, 1_lag_16_median_arcTSjfm, 8_lag_nhSICjfm, 1_lag_10_median_atlSICjfm, 8_lag_traDP_2496_1"
LRforcedPSO,7,30,traFB,picntrl,1721.5,2050.5,0.4,22,2,2,29.909690481861382,0.044313210479310104,2496,"['5_lag_traEC', '4_lag_amoSSTmjjaso', '2_lag_5_median_mhfATL45', '15_lag_stratZ50ndj01', '2_lag_16_median_ismPRjja', '2_lag_12_median_traTLS', '3_lag_traFSC', '12_lag_amo2', '2_lag_13_median_labSSTjfm', '11_lag_scpPSLjfm', '17_lag_seurTSjfm', '10_lag_atlSICjfm', '21_lag_labSSTjfm', '2_lag_8_median_atlSICjfm', '2_lag_6_median_shSICmar', '2_lag_shSICsep', '2_lag_12_median_traDS', '6_lag_atlSICjfm', '2_lag_4_median_mhfATL45', '2_lag_3_median_amoSSTmjjaso', '2_lag_17_median_nhSICjfm', '2_lag_4_median_yrvPRjja', '2_lag_4_median_neurTSjfm', '4_lag_nchinaPRjja', '2_lag_5_median_traEC', '14_lag_traBS', '2_lag_11_median_glomaSSTjfm', '4_lag_traWP', '2_lag_6_median_traBS', '9_lag_traFS']","[2.997702541658418, 0.8747520331835013, 9.985537440362656, 3.432679820870357, 7.934207974031647, 6.43347581707588, 2.720929419545943, 4.162536537452275, 1.8957778354807697, 5.999748017026301, 5.625811554739553, 8.524733795150265, 6.9604355127719515, 1.9909014894436474, 6.897593963200702, 4.229308313523033, 2.895539486555636, 2.7728590464729876, 3.5355333586966875, 1.5683024396055156, 9.477265772663067, 5.555010026750844, 0.23723163434270944, 4.210421282529175, 9.428908371258004, 9.056016186517539, 5.66407990859485, 8.906338420784866, 4.686657318269811, 4.851671861818447]","5_lag_traEC, 4_lag_amoSSTmjjaso, 2_lag_5_median_mhfATL45, 15_lag_stratZ50ndj01, 2_lag_16_median_ismPRjja, 2_lag_12_median_traTLS, 3_lag_traFSC, 12_lag_amo2, 2_lag_13_median_labSSTjfm, 11_lag_scpPSLjfm, 17_lag_seurTSjfm, 10_lag_atlSICjfm, 21_lag_labSSTjfm, 2_lag_8_median_atlSICjfm, 2_lag_6_median_shSICmar, 2_lag_shSICsep, 2_lag_12_median_traDS, 6_lag_atlSICjfm, 2_lag_4_median_mhfATL45, 2_lag_3_median_amoSSTmjjaso, 2_lag_17_median_nhSICjfm, 2_lag_4_median_yrvPRjja, 2_lag_4_median_neurTSjfm, 4_lag_nchinaPRjja, 2_lag_5_median_traEC, 14_lag_traBS, 2_lag_11_median_glomaSSTjfm, 4_lag_traWP, 2_lag_6_median_traBS, 9_lag_traFS_2496_2"
LRforcedPSO,8,30,traFB,picntrl,1722.5,2050.5,0.4,23,3,3,23.952052686226974,0.18514005385564067,2496,"['3_lag_9_median_traIT', '3_lag_13_median_traEU', '3_lag_6_median_amo1', '9_lag_traWP', '13_lag_atlSICsep', '3_lag_9_median_traIFC', '17_lag_nhSICjfm', '5_lag_mhfATL60', '16_lag_traFSC', '3_lag_20_median_shSICmar', '16_lag_ormenSSTjfm', '3_lag_neurTSjfm', '3_lag_16_median_traFS', '3_lag_13_median_eurPSLjfm', '3_lag_traIFC', '3_lag_6_median_gyreSSTjfm', '3_lag_18_median_pdoSSTjfm', '3_lag_20_median_amo2', '13_lag_labSSTjfm', '3_lag_6_median_neurTSjfm', '7_lag_traEU', '18_lag_traFSC', '5_lag_cetTSjfm', '17_lag_eurPSLjfm', '3_lag_12_median_naoPSLjfm', '9_lag_amo1', '3_lag_17_median_nchinaPRjja', '3_lag_10_median_naoPSLjfm', '3_lag_14_median_traIFC', '15_lag_traCA']","[9.53534987213288, 6.73692435704663, 0.5380121008658882, 4.245667697237911, 2.258545595803114, 5.667376857672192, 2.373120721863633, 3.572024278687178, 1.8125901412414542, 3.005502048580797, 2.1084914460751687, 2.331294417841847, 9.040252953999431, 1.6857668107912431, 3.8453432925932454, 4.446538503823351, 0.8898792797280013, 9.696889103504262, 0.9795491687782274, 5.467157762756982, 5.720621852581507, 5.808768481232661, 1.9074960785018806, 1.7804213227575243, 8.359479656458692, 2.9665408812017846, 2.4178576306194, 2.9948411271830757, 0.9498154717574447, 9.644553767948793]","3_lag_9_median_traIT, 3_lag_13_median_traEU, 3_lag_6_median_amo1, 9_lag_traWP, 13_lag_atlSICsep, 3_lag_9_median_traIFC, 17_lag_nhSICjfm, 5_lag_mhfATL60, 16_lag_traFSC, 3_lag_20_median_shSICmar, 16_lag_ormenSSTjfm, 3_lag_neurTSjfm, 3_lag_16_median_traFS, 3_lag_13_median_eurPSLjfm, 3_lag_traIFC, 3_lag_6_median_gyreSSTjfm, 3_lag_18_median_pdoSSTjfm, 3_lag_20_median_amo2, 13_lag_labSSTjfm, 3_lag_6_median_neurTSjfm, 7_lag_traEU, 18_lag_traFSC, 5_lag_cetTSjfm, 17_lag_eurPSLjfm, 3_lag_12_median_naoPSLjfm, 9_lag_amo1, 3_lag_17_median_nchinaPRjja, 3_lag_10_median_naoPSLjfm, 3_lag_14_median_traIFC, 15_lag_traCA_2496_3"
LRforcedPSO,9,30,traFB,picntrl,1723.5,2050.5,0.4,24,4,4,19.818784293865267,0.11362843934012003,2496,"['14_lag_ensoSSTjfm', '19_lag_ormenSSTjfm', '17_lag_mhfATL45', '14_lag_nhSICsep', '4_lag_17_median_atlSICsep', '4_lag_10_median_wnorPRjfm', '4_lag_mhfIP30', '4_lag_5_median_scpPSLjfm', '13_lag_traFSC', '4_lag_6_median_ginwSSTjfm', '5_lag_traEC', '4_lag_18_median_samPSLann', '4_lag_11_median_traEU', '18_lag_cetTSjfm', '9_lag_traCA', '4_lag_18_median_neurTSjfm', '7_lag_traFS', '23_lag_traIT', '4_lag_6_median_nhSICsep', '16_lag_samPSLann', '4_lag_8_median_ginwSSTjfm', '22_lag_ginwSSTjfm', '4_lag_12_median_alpi', '4_lag_23_median_amo3', '7_lag_AMOCann', '4_lag_19_median_shSICsep', '4_lag_16_median_mhfATL60', '4_lag_19_median_nhTSjfm', '23_lag_amo1', '4_lag_9_median_ormenSSTjfm']","[1.1489574952705865, 2.715330197391081, 8.865832439841387, 4.617718789055534, 1.1240569188394804, 3.2046770567215983, 3.2073631783619927, 0.492208910091648, 5.315430063397805, 1.7025150844301784, 7.687179323849076, 5.5524230211347225, 0.16332682280410893, 1.6703784991124024, 2.043047786441643, 8.65066640144808, 1.758960513006949, 0.6519345615496945, 3.870744052413732, 9.59296486297222, 0.8495058218811202, 0.42359142416256823, 8.2940234282723, 0.5192811826313477, 4.796893218486793, 1.4098900044815643, 5.94686297050721, 4.889951677357303, 9.405624029838258, 5.710305796417639]","14_lag_ensoSSTjfm, 19_lag_ormenSSTjfm, 17_lag_mhfATL45, 14_lag_nhSICsep, 4_lag_17_median_atlSICsep, 4_lag_10_median_wnorPRjfm, 4_lag_mhfIP30, 4_lag_5_median_scpPSLjfm, 13_lag_traFSC, 4_lag_6_median_ginwSSTjfm, 5_lag_traEC, 4_lag_18_median_samPSLann, 4_lag_11_median_traEU, 18_lag_cetTSjfm, 9_lag_traCA, 4_lag_18_median_neurTSjfm, 7_lag_traFS, 23_lag_traIT, 4_lag_6_median_nhSICsep, 16_lag_samPSLann, 4_lag_8_median_ginwSSTjfm, 22_lag_ginwSSTjfm, 4_lag_12_median_alpi, 4_lag_23_median_amo3, 7_lag_AMOCann, 4_lag_19_median_shSICsep, 4_lag_16_median_mhfATL60, 4_lag_19_median_nhTSjfm, 23_lag_amo1, 4_lag_9_median_ormenSSTjfm_2496_4"
