model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,6,traFB,picntrl,1714.5,2050.5,0.8,15,1,1,12.228490476831727,-0.06568216309071818,1728,"['1_lag_yrvPRjja', '6_lag_shSICmar', '5_lag_eurPSLjfm', '14_lag_shSICsep', '4_lag_eurPSLjfm', '12_lag_tripol3']","[0.05032318310842499, 0.07615008599297587, 0.07913114437645624, 0.19129112459473965, 0.14148160660196948, 0.136479982963009]","1_lag_yrvPRjja, 6_lag_shSICmar, 5_lag_eurPSLjfm, 14_lag_shSICsep, 4_lag_eurPSLjfm, 12_lag_tripol3_1728_1"
LinearRegression,1,6,traFB,picntrl,1715.5,2050.5,0.8,16,1,4,12.01252356080006,0.014412536827816024,1856,"['6_lag_shSICmar', '9_lag_traBS', '12_lag_amoSSTmjjaso', '14_lag_shSICsep', '4_lag_eurPSLjfm', '12_lag_tripol3']","[0.0955697012262469, 0.048253351419547036, 0.20842565707399646, 0.17953155192459141, 0.15072201979145997, 0.15150902946459635]","6_lag_shSICmar, 9_lag_traBS, 12_lag_amoSSTmjjaso, 14_lag_shSICsep, 4_lag_eurPSLjfm, 12_lag_tripol3_1856_4"
LinearRegression,2,6,traFB,picntrl,1716.5,2050.5,0.8,17,1,4,11.992803738564001,-0.04042418070165327,1984,"['9_lag_traBS', '5_lag_eurPSLjfm', '6_lag_shSICmar', '14_lag_shSICsep', '4_lag_eurPSLjfm', '12_lag_tripol3']","[0.047036046234657236, 0.08759023175646279, 0.07608680024202105, 0.18749467697433742, 0.15852350052257538, 0.12745320112453812]","9_lag_traBS, 5_lag_eurPSLjfm, 6_lag_shSICmar, 14_lag_shSICsep, 4_lag_eurPSLjfm, 12_lag_tripol3_1984_4"
LinearRegression,3,6,traFB,picntrl,1717.5,2050.5,0.8,18,1,4,12.284122457635627,-0.02570065122405761,2112,"['6_lag_amo2', '5_lag_eurPSLjfm', '14_lag_shSICsep', '6_lag_shSICmar', '4_lag_eurPSLjfm', '12_lag_tripol3']","[0.21958412102455838, 0.06704475337914712, 0.16159810405992842, 0.07718577161183184, 0.14891808618275398, 0.11221315933447011]","6_lag_amo2, 5_lag_eurPSLjfm, 14_lag_shSICsep, 6_lag_shSICmar, 4_lag_eurPSLjfm, 12_lag_tripol3_2112_4"
LinearRegression,4,6,traFB,picntrl,1718.5,2050.5,0.8,19,1,4,12.802877830062494,-0.14326529247966877,2240,"['14_lag_shSICsep', '18_lag_nchinaPRjja', '5_lag_eurPSLjfm', '6_lag_shSICmar', '4_lag_eurPSLjfm', '12_lag_tripol3']","[0.18863451835976655, 0.13474582130336818, 0.0818317492762898, 0.06441614775095908, 0.15213019162575095, 0.1250061253110951]","14_lag_shSICsep, 18_lag_nchinaPRjja, 5_lag_eurPSLjfm, 6_lag_shSICmar, 4_lag_eurPSLjfm, 12_lag_tripol3_2240_4"
LinearRegression,5,6,traFB,picntrl,1719.5,2050.5,0.8,20,1,4,11.738297818362053,-0.08753580923428471,2368,"['6_lag_shSICmar', '5_lag_eurPSLjfm', '19_lag_ginwSSTjfm', '18_lag_nchinaPRjja', '12_lag_tripol3', '4_lag_eurPSLjfm']","[0.054333799252839474, 0.08275455257453307, 0.01308482759175976, 0.1333726590982917, 0.10942786105562007, 0.15507426767772517]","6_lag_shSICmar, 5_lag_eurPSLjfm, 19_lag_ginwSSTjfm, 18_lag_nchinaPRjja, 12_lag_tripol3, 4_lag_eurPSLjfm_2368_4"
LinearRegression,6,6,traFB,picntrl,1720.5,2050.5,0.8,21,1,4,12.2354157215723,-0.08009431946460618,2496,"['5_lag_nchinaPRjja', '5_lag_eurPSLjfm', '20_lag_nhSICsep', '18_lag_nchinaPRjja', '12_lag_tripol3', '4_lag_eurPSLjfm']","[0.13367078182314912, 0.07240076534621094, 0.13884741656760147, 0.14340498372456917, 0.11702547685921527, 0.16417580991410183]","5_lag_nchinaPRjja, 5_lag_eurPSLjfm, 20_lag_nhSICsep, 18_lag_nchinaPRjja, 12_lag_tripol3, 4_lag_eurPSLjfm_2496_4"
LinearRegression,7,6,traFB,picntrl,1721.5,2050.5,0.8,22,2,4,12.83178188093709,0.04987978313325149,2496,"['7_lag_mhfATL60', '20_lag_nhSICsep', '5_lag_nchinaPRjja', '18_lag_nchinaPRjja', '4_lag_eurPSLjfm', '12_lag_tripol3']","[0.3128723191461871, 0.1181298805469797, 0.13936766816676222, 0.15860574799176844, 0.18228834413606662, 0.1334912112546716]","7_lag_mhfATL60, 20_lag_nhSICsep, 5_lag_nchinaPRjja, 18_lag_nchinaPRjja, 4_lag_eurPSLjfm, 12_lag_tripol3_2496_4"
LinearRegression,8,6,traFB,picntrl,1722.5,2050.5,0.8,23,3,3,12.554112109105072,0.03899972627990607,2496,"['7_lag_mhfATL60', '17_lag_amoSSTmjjaso', '18_lag_nchinaPRjja', '4_lag_eurPSLjfm', '3_lag_4_median_eurPSLjfm', '12_lag_tripol3']","[0.3065930679133972, 0.11784303732337721, 0.1566397190314918, 0.09219455153651986, 0.09219455153651925, 0.12971072656295657]","7_lag_mhfATL60, 17_lag_amoSSTmjjaso, 18_lag_nchinaPRjja, 4_lag_eurPSLjfm, 3_lag_4_median_eurPSLjfm, 12_lag_tripol3_2496_3"
LinearRegression,9,6,traFB,picntrl,1723.5,2050.5,0.8,24,4,4,12.897837990070567,-0.10301127341302083,2496,"['12_lag_shSICmar', '12_lag_tripol3', '17_lag_amoSSTmjjaso', '20_lag_nhSICsep', '18_lag_nchinaPRjja', '4_lag_eurPSLjfm']","[0.03977108872963627, 0.10588910506102664, 0.16734234075411913, 0.17411418253469152, 0.15138307217278943, 0.1662625168149848]","12_lag_shSICmar, 12_lag_tripol3, 17_lag_amoSSTmjjaso, 20_lag_nhSICsep, 18_lag_nchinaPRjja, 4_lag_eurPSLjfm_2496_4"
