model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,10,traFS,picntrl,1514.5,2050.5,0.8,15,1,1,13.005901967050072,0.20910072592071832,1728,"['5_lag_traEC', '3_lag_amo1', '5_lag_amoSSTmjjaso', '4_lag_mhfIP30', '9_lag_eapPSLjfm', '8_lag_stratZ50ndj04', '4_lag_arcTSjfm', '10_lag_ginwSSTjfm', '1_lag_samPSLann', '5_lag_tripol3']","[0.056755822058125745, 0.10869279315241781, 0.07474192749160602, 0.10053062576862415, 0.05849913931849765, 0.09015971097058964, 0.002939292364155419, 0.08418611329075061, 0.19965553023171714, 0.14612055503844698]","5_lag_traEC, 3_lag_amo1, 5_lag_amoSSTmjjaso, 4_lag_mhfIP30, 9_lag_eapPSLjfm, 8_lag_stratZ50ndj04, 4_lag_arcTSjfm, 10_lag_ginwSSTjfm, 1_lag_samPSLann, 5_lag_tripol3_1728_1"
LinearRegression,1,10,traFS,picntrl,1515.5,2050.5,0.8,16,1,1,12.914165622539393,0.19078535202833888,1856,"['13_lag_stratZ50ndj01', '3_lag_amo3', '4_lag_arcTSjfm', '3_lag_amo1', '5_lag_traEC', '9_lag_eapPSLjfm', '10_lag_ginwSSTjfm', '8_lag_stratZ50ndj04', '1_lag_samPSLann', '5_lag_tripol3']","[0.02237345101879393, 0.0060047694029424226, 0.03343044432381344, 0.12140254834182632, 0.053976474815021845, 0.05927755207154685, 0.07042031209268458, 0.08918102664905297, 0.18928482743740008, 0.14964118867732318]","13_lag_stratZ50ndj01, 3_lag_amo3, 4_lag_arcTSjfm, 3_lag_amo1, 5_lag_traEC, 9_lag_eapPSLjfm, 10_lag_ginwSSTjfm, 8_lag_stratZ50ndj04, 1_lag_samPSLann, 5_lag_tripol3_1856_1"
LinearRegression,2,10,traFS,picntrl,1516.5,2050.5,0.8,17,1,1,12.970999146872881,0.17412254555818002,1984,"['12_lag_traIT', '8_lag_ismPRjja', '9_lag_eapPSLjfm', '5_lag_traEC', '1_lag_traIT', '4_lag_arcTSjfm', '10_lag_ginwSSTjfm', '8_lag_stratZ50ndj04', '1_lag_samPSLann', '5_lag_tripol3']","[0.09563600034258102, 0.10931532975896123, 0.06568089351510896, 0.07021291968454177, 0.10231005716375775, 0.061531098305715376, 0.07671512384638969, 0.061005950436570505, 0.1797300150100642, 0.14529856356281587]","12_lag_traIT, 8_lag_ismPRjja, 9_lag_eapPSLjfm, 5_lag_traEC, 1_lag_traIT, 4_lag_arcTSjfm, 10_lag_ginwSSTjfm, 8_lag_stratZ50ndj04, 1_lag_samPSLann, 5_lag_tripol3_1984_1"
LinearRegression,3,10,traFS,picntrl,1517.5,2050.5,0.8,18,1,1,13.077859661233001,0.20376670312595616,2112,"['9_lag_eapPSLjfm', '17_lag_atlSICsep', '13_lag_stratZ50ndj01', '1_lag_traIT', '12_lag_traIT', '10_lag_ginwSSTjfm', '5_lag_traEC', '4_lag_arcTSjfm', '1_lag_samPSLann', '5_lag_tripol3']","[0.07044930608916462, 0.12712412665409917, 0.038053717300411405, 0.1253487218733633, 0.10518977566803259, 0.07371972368320773, 0.05196996711937406, 0.06370555465577653, 0.1824793086368091, 0.1476471710411008]","9_lag_eapPSLjfm, 17_lag_atlSICsep, 13_lag_stratZ50ndj01, 1_lag_traIT, 12_lag_traIT, 10_lag_ginwSSTjfm, 5_lag_traEC, 4_lag_arcTSjfm, 1_lag_samPSLann, 5_lag_tripol3_2112_1"
LinearRegression,4,10,traFS,picntrl,1518.5,2050.5,0.8,19,1,1,13.143427026085861,0.18297349678836025,2240,"['9_lag_eapPSLjfm', '16_lag_traEC', '17_lag_atlSICsep', '11_lag_nhSICsep', '10_lag_ginwSSTjfm', '1_lag_traIT', '5_lag_traEC', '4_lag_arcTSjfm', '1_lag_samPSLann', '5_lag_tripol3']","[0.07666950437629998, 0.014520913458597504, 0.12446643796553902, 0.0618645442171279, 0.060807237064665995, 0.12290229363723588, 0.05338067116683285, 0.05685534854867411, 0.16880776543149834, 0.14510189849522034]","9_lag_eapPSLjfm, 16_lag_traEC, 17_lag_atlSICsep, 11_lag_nhSICsep, 10_lag_ginwSSTjfm, 1_lag_traIT, 5_lag_traEC, 4_lag_arcTSjfm, 1_lag_samPSLann, 5_lag_tripol3_2240_1"
LinearRegression,5,10,traFS,picntrl,1519.5,2050.5,0.8,20,1,1,13.013424995674454,0.19015788057764868,2368,"['11_lag_nhSICsep', '12_lag_traIT', '19_lag_seurTSjfm', '1_lag_traBS', '1_lag_traIT', '10_lag_ginwSSTjfm', '1_lag_samPSLann', '4_lag_arcTSjfm', '5_lag_traEC', '5_lag_tripol3']","[0.0593097990533312, 0.11111644609160609, 0.06019507552934018, 0.07436131757638462, 0.130327296327343, 0.08151224781444341, 0.1736475147481564, 0.06284632218237912, 0.053739674815431814, 0.14640735629941948]","11_lag_nhSICsep, 12_lag_traIT, 19_lag_seurTSjfm, 1_lag_traBS, 1_lag_traIT, 10_lag_ginwSSTjfm, 1_lag_samPSLann, 4_lag_arcTSjfm, 5_lag_traEC, 5_lag_tripol3_2368_1"
LinearRegression,6,10,traFS,picntrl,1520.5,2050.5,0.8,21,1,1,13.38131144403261,0.12832951213985802,2496,"['17_lag_atlSICsep', '20_lag_traFB', '19_lag_seurTSjfm', '1_lag_traBS', '1_lag_samPSLann', '1_lag_traIT', '5_lag_traEC', '10_lag_ginwSSTjfm', '4_lag_arcTSjfm', '5_lag_tripol3']","[0.12010705282214962, 0.07231218213301338, 0.07059094519311265, 0.07701950531388846, 0.16046118666193968, 0.13387530226834063, 0.05475338360317925, 0.06504562877601763, 0.0701376872077206, 0.1421961744326021]","17_lag_atlSICsep, 20_lag_traFB, 19_lag_seurTSjfm, 1_lag_traBS, 1_lag_samPSLann, 1_lag_traIT, 5_lag_traEC, 10_lag_ginwSSTjfm, 4_lag_arcTSjfm, 5_lag_tripol3_2496_1"
LinearRegression,7,10,traFS,picntrl,1521.5,2050.5,0.8,22,2,2,12.806675828537552,0.1862204107146801,2496,"['19_lag_ginwSSTjfm', '9_lag_traMC', '10_lag_ginwSSTjfm', '21_lag_mhfATL30', '2_lag_traCA', '9_lag_eapPSLjfm', '5_lag_traEC', '21_lag_traMC', '14_lag_nchinaPRjja', '5_lag_tripol3']","[0.055037829780558885, 0.10148131038879513, 0.06241945980404656, 0.059530865116525854, 0.162084098449045, 0.07779437858459518, 0.08363615504796915, 0.07231525207611969, 0.15074976562255935, 0.1231577852267362]","19_lag_ginwSSTjfm, 9_lag_traMC, 10_lag_ginwSSTjfm, 21_lag_mhfATL30, 2_lag_traCA, 9_lag_eapPSLjfm, 5_lag_traEC, 21_lag_traMC, 14_lag_nchinaPRjja, 5_lag_tripol3_2496_2"
LinearRegression,8,10,traFS,picntrl,1522.5,2050.5,0.8,23,3,3,12.47020170299677,0.2525141349596342,2496,"['10_lag_yrvPRjja', '20_lag_traFB', '17_lag_traEC', '3_lag_amo1', '9_lag_traMC', '22_lag_stratZ50ndj03', '14_lag_nchinaPRjja', '21_lag_traMC', '9_lag_eapPSLjfm', '5_lag_tripol3']","[0.05608774468224688, 0.06086061975360975, 0.042569035223922046, 0.12984550275701154, 0.0880568537044396, 0.09304746490620348, 0.1444197815979642, 0.08406591784854982, 0.07667195072460448, 0.15076161956743112]","10_lag_yrvPRjja, 20_lag_traFB, 17_lag_traEC, 3_lag_amo1, 9_lag_traMC, 22_lag_stratZ50ndj03, 14_lag_nchinaPRjja, 21_lag_traMC, 9_lag_eapPSLjfm, 5_lag_tripol3_2496_3"
LinearRegression,9,10,traFS,picntrl,1523.5,2050.5,0.8,24,4,4,12.800022099204464,0.2119009359994801,2496,"['12_lag_traBS', '9_lag_scpPSLjfm', '20_lag_nchinaPRjja', '4_lag_arcTSjfm', '4_lag_mhfIP30', '10_lag_ginwSSTjfm', '16_lag_shSICmar', '9_lag_traMC', '17_lag_traEC', '14_lag_nchinaPRjja']","[0.12489815098504858, 0.10056714159803722, 0.06406114533338739, 0.013083968814117743, 0.05595267779468698, 0.06684550575761955, 0.06635926011727908, 0.07073879779518255, 0.04419039639946869, 0.1458403238262949]","12_lag_traBS, 9_lag_scpPSLjfm, 20_lag_nchinaPRjja, 4_lag_arcTSjfm, 4_lag_mhfIP30, 10_lag_ginwSSTjfm, 16_lag_shSICmar, 9_lag_traMC, 17_lag_traEC, 14_lag_nchinaPRjja_2496_4"
