model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
RandomForestRegressor,0,6,traFSC,picntrl,1066.5,2050.5,0.6,15,1,1,10.54061894482969,0.3661148245576159,1728,"['1_lag_mhfATL45', '1_lag_12_median_mhfATL30', '1_lag_9_median_mhfATL60', '1_lag_10_median_mhfATL60', '1_lag_mhfATL60', '1_lag_traFSC']","[0.1717244315739419, 0.1404149721058329, 0.1296953536459034, 0.11406628633722597, 0.17065734469916105, 0.27344161163793473]","1_lag_mhfATL45, 1_lag_12_median_mhfATL30, 1_lag_9_median_mhfATL60, 1_lag_10_median_mhfATL60, 1_lag_mhfATL60, 1_lag_traFSC_1728_1"
RandomForestRegressor,1,6,traFSC,picntrl,1067.5,2050.5,0.6,16,1,1,10.427943659164967,0.3867954726925685,1856,"['1_lag_mhfATL45', '1_lag_12_median_mhfATL30', '1_lag_9_median_mhfATL60', '1_lag_10_median_mhfATL60', '1_lag_mhfATL60', '1_lag_traFSC']","[0.1767495250858604, 0.14601124242031568, 0.1337390291294362, 0.1042802446844627, 0.16214047813471683, 0.2770794805452082]","1_lag_mhfATL45, 1_lag_12_median_mhfATL30, 1_lag_9_median_mhfATL60, 1_lag_10_median_mhfATL60, 1_lag_mhfATL60, 1_lag_traFSC_1856_1"
RandomForestRegressor,2,6,traFSC,picntrl,1068.5,2050.5,0.6,17,1,1,10.499124227352358,0.3634874037468162,1984,"['1_lag_mhfATL45', '1_lag_12_median_mhfATL30', '1_lag_9_median_mhfATL60', '1_lag_10_median_mhfATL60', '1_lag_mhfATL60', '1_lag_traFSC']","[0.17131056983464588, 0.14930046935212965, 0.12132258547210606, 0.12549275296177861, 0.16971505806044085, 0.262858564318899]","1_lag_mhfATL45, 1_lag_12_median_mhfATL30, 1_lag_9_median_mhfATL60, 1_lag_10_median_mhfATL60, 1_lag_mhfATL60, 1_lag_traFSC_1984_1"
RandomForestRegressor,3,6,traFSC,picntrl,1069.5,2050.5,0.6,18,1,1,10.515076989774364,0.3768136908704967,2112,"['1_lag_mhfATL45', '1_lag_12_median_mhfATL30', '1_lag_9_median_mhfATL60', '1_lag_10_median_mhfATL60', '1_lag_mhfATL60', '1_lag_traFSC']","[0.16556988759481955, 0.14242618321184516, 0.12926196872839296, 0.1178723344871148, 0.17268052522947755, 0.27218910074835]","1_lag_mhfATL45, 1_lag_12_median_mhfATL30, 1_lag_9_median_mhfATL60, 1_lag_10_median_mhfATL60, 1_lag_mhfATL60, 1_lag_traFSC_2112_1"
RandomForestRegressor,4,6,traFSC,picntrl,1070.5,2050.5,0.6,19,1,1,10.480652870315339,0.3788611181463262,2240,"['1_lag_mhfATL45', '1_lag_12_median_mhfATL30', '1_lag_9_median_mhfATL60', '1_lag_10_median_mhfATL60', '1_lag_mhfATL60', '1_lag_traFSC']","[0.17482197761379042, 0.14512910855492941, 0.12337071364223419, 0.11858321919031961, 0.1719360734572272, 0.26615890754149923]","1_lag_mhfATL45, 1_lag_12_median_mhfATL30, 1_lag_9_median_mhfATL60, 1_lag_10_median_mhfATL60, 1_lag_mhfATL60, 1_lag_traFSC_2240_1"
RandomForestRegressor,5,6,traFSC,picntrl,1071.5,2050.5,0.6,20,1,1,10.448207914325952,0.390298943955074,2368,"['1_lag_mhfATL45', '1_lag_12_median_mhfATL30', '1_lag_9_median_mhfATL60', '1_lag_10_median_mhfATL60', '1_lag_mhfATL60', '1_lag_traFSC']","[0.1696931681305504, 0.14551800581099253, 0.1279886925396861, 0.11740906627591106, 0.18118434602167732, 0.25820672122118266]","1_lag_mhfATL45, 1_lag_12_median_mhfATL30, 1_lag_9_median_mhfATL60, 1_lag_10_median_mhfATL60, 1_lag_mhfATL60, 1_lag_traFSC_2368_1"
RandomForestRegressor,6,6,traFSC,picntrl,1072.5,2050.5,0.6,21,1,1,10.518503463766805,0.3837903011905117,2496,"['1_lag_mhfATL45', '1_lag_12_median_mhfATL30', '1_lag_9_median_mhfATL60', '1_lag_10_median_mhfATL60', '1_lag_mhfATL60', '1_lag_traFSC']","[0.17182598972264676, 0.15100536890955368, 0.13821941894778625, 0.10455224757295825, 0.1716613211898069, 0.2627356536572481]","1_lag_mhfATL45, 1_lag_12_median_mhfATL30, 1_lag_9_median_mhfATL60, 1_lag_10_median_mhfATL60, 1_lag_mhfATL60, 1_lag_traFSC_2496_1"
RandomForestRegressor,7,6,traFSC,picntrl,1073.5,2050.5,0.6,22,1,1,10.493759901321667,0.37897067944529156,2624,"['1_lag_mhfATL45', '1_lag_12_median_mhfATL30', '1_lag_10_median_mhfATL60', '1_lag_9_median_mhfATL60', '1_lag_mhfATL60', '1_lag_traFSC']","[0.16825440555951324, 0.1459933441693565, 0.11058086879619922, 0.1319146194209208, 0.17409197949493474, 0.2691647825590755]","1_lag_mhfATL45, 1_lag_12_median_mhfATL30, 1_lag_10_median_mhfATL60, 1_lag_9_median_mhfATL60, 1_lag_mhfATL60, 1_lag_traFSC_2624_1"
RandomForestRegressor,8,6,traFSC,picntrl,1074.5,2050.5,0.6,23,1,1,10.543550464098555,0.37561794553756983,2752,"['1_lag_mhfATL45', '1_lag_12_median_mhfATL30', '1_lag_10_median_mhfATL60', '1_lag_9_median_mhfATL60', '1_lag_mhfATL60', '1_lag_traFSC']","[0.17184744411383313, 0.14906010361464933, 0.1098360962443667, 0.13025079609531529, 0.17074716036472162, 0.26825839956711395]","1_lag_mhfATL45, 1_lag_12_median_mhfATL30, 1_lag_10_median_mhfATL60, 1_lag_9_median_mhfATL60, 1_lag_mhfATL60, 1_lag_traFSC_2752_1"
RandomForestRegressor,9,6,traFSC,picntrl,1075.5,2050.5,0.6,24,1,1,10.523326072951727,0.3884061628267557,2880,"['1_lag_mhfATL45', '1_lag_12_median_mhfATL30', '1_lag_9_median_mhfATL60', '1_lag_10_median_mhfATL60', '1_lag_mhfATL60', '1_lag_traFSC']","[0.17157096787142728, 0.15213359714269617, 0.13198833034700358, 0.10576546653486772, 0.1694900882804939, 0.26905154982351126]","1_lag_mhfATL45, 1_lag_12_median_mhfATL30, 1_lag_9_median_mhfATL60, 1_lag_10_median_mhfATL60, 1_lag_mhfATL60, 1_lag_traFSC_2880_1"
