model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,traIFC,picntrl,1714.5,2050.5,0.8,15,5,5,13.410231869099873,0.0707625330928168,1216,"['5_lag_8_median_traFSC', '5_lag_7_median_traDP', '5_lag_mhfATL45', '7_lag_ginwSSTjfm', '5_lag_8_median_traDP', '5_lag_13_median_wnorPRjfm', '5_lag_9_median_mhfIP30', '5_lag_11_median_seurTSjfm', '5_lag_9_median_mhfATL30', '6_lag_traBO']","[5.114619412630805, 1.6741467893071018, 2.535470495192138, 4.224754250098908, 5.372693108801483, 0.24260440444384557, 1.5057158213140127, 2.620510798987116, 3.3481827788348735, 5.250061043629266]","5_lag_8_median_traFSC, 5_lag_7_median_traDP, 5_lag_mhfATL45, 7_lag_ginwSSTjfm, 5_lag_8_median_traDP, 5_lag_13_median_wnorPRjfm, 5_lag_9_median_mhfIP30, 5_lag_11_median_seurTSjfm, 5_lag_9_median_mhfATL30, 6_lag_traBO_1216_5"
LRforcedPSO,1,10,traIFC,picntrl,1715.5,2050.5,0.8,16,6,6,18.662679391930684,0.1369987230526039,1216,"['6_lag_14_median_traFB', '11_lag_tripol1', '6_lag_samPSLann', '9_lag_traEU', '13_lag_glTSjfm', '7_lag_atlSICjfm', '8_lag_stratZ50ndj01', '6_lag_13_median_nhSICjfm', '15_lag_tripol1', '12_lag_ismPRjja']","[2.062085945729515, 4.920519478770764, 3.443001270907688, 4.777607783862601, 3.3668188985973195, 2.7730785375040945, 8.252963827098725, 1.346260479315509, 5.442465467095278, 3.8996631012218286]","6_lag_14_median_traFB, 11_lag_tripol1, 6_lag_samPSLann, 9_lag_traEU, 13_lag_glTSjfm, 7_lag_atlSICjfm, 8_lag_stratZ50ndj01, 6_lag_13_median_nhSICjfm, 15_lag_tripol1, 12_lag_ismPRjja_1216_6"
LRforcedPSO,2,10,traIFC,picntrl,1716.5,2050.5,0.8,17,7,7,17.601889854078355,0.04372382310706908,1216,"['12_lag_amo2', '7_lag_13_median_atlSICsep', '13_lag_eurPSLjfm', '11_lag_mhfIP30', '9_lag_traEU', '7_lag_shSICmar', '7_lag_13_median_traEU', '10_lag_nhTSjfm', '8_lag_traFS', '7_lag_16_median_shSICsep']","[2.752474874785424, 7.683229444841646, 4.165072230277856, 0.29657104686470426, 4.5129152678013025, 6.267389523821201, 2.0582712029340122, 6.077245137569168, 3.6537591991240923, 3.0202448604397736]","12_lag_amo2, 7_lag_13_median_atlSICsep, 13_lag_eurPSLjfm, 11_lag_mhfIP30, 9_lag_traEU, 7_lag_shSICmar, 7_lag_13_median_traEU, 10_lag_nhTSjfm, 8_lag_traFS, 7_lag_16_median_shSICsep_1216_7"
LRforcedPSO,3,10,traIFC,picntrl,1717.5,2050.5,0.8,18,8,8,15.244998227600691,0.11095784862818206,1216,"['17_lag_amoSSTmjjaso', '8_lag_10_median_ismPRjja', '8_lag_10_median_scpPSLjfm', '10_lag_stratZ50ndj04', '8_lag_13_median_wnorPRjfm', '8_lag_12_median_pdoSSTjfm', '11_lag_traFB', '8_lag_14_median_shSICmar', '8_lag_traWP', '16_lag_stratZ50ndj01']","[2.9428716689609775, 3.7237342589392153, 1.321195155633097, 0.7339645732620639, 0.8166627298006404, 5.293877821725768, 0.04044551079582703, 2.1465032831859947, 3.5057099537648, 4.8442171779000205]","17_lag_amoSSTmjjaso, 8_lag_10_median_ismPRjja, 8_lag_10_median_scpPSLjfm, 10_lag_stratZ50ndj04, 8_lag_13_median_wnorPRjfm, 8_lag_12_median_pdoSSTjfm, 11_lag_traFB, 8_lag_14_median_shSICmar, 8_lag_traWP, 16_lag_stratZ50ndj01_1216_8"
LRforcedPSO,4,10,traIFC,picntrl,1718.5,2050.5,0.8,19,9,9,15.488308210747894,-0.024644962002224165,1216,"['16_lag_traFS', '9_lag_14_median_glomaSSTjfm', '9_lag_15_median_glomaSSTjfm', '9_lag_17_median_mhfATL30', '9_lag_13_median_arcTSjfm', '9_lag_16_median_nhTSjfm', '13_lag_nhSICjfm', '17_lag_traDS', '9_lag_15_median_yrvPRjja', '9_lag_18_median_traWP']","[1.146432098281787, 1.627576211250668, 2.154841309450049, 1.4328937744087682, 5.3449542242737955, 2.9092364847664847, 5.506464444668662, 2.523449066872667, 4.043777118329935, 1.849331766992437]","16_lag_traFS, 9_lag_14_median_glomaSSTjfm, 9_lag_15_median_glomaSSTjfm, 9_lag_17_median_mhfATL30, 9_lag_13_median_arcTSjfm, 9_lag_16_median_nhTSjfm, 13_lag_nhSICjfm, 17_lag_traDS, 9_lag_15_median_yrvPRjja, 9_lag_18_median_traWP_1216_9"
LRforcedPSO,5,10,traIFC,picntrl,1719.5,2050.5,0.8,20,10,10,15.733662589287762,0.18603794834893791,1216,"['17_lag_traCA', '15_lag_gyreSSTjfm', '12_lag_gyreSSTjfm', '10_lag_17_median_arcTSjfm', '10_lag_14_median_alpi', '10_lag_16_median_traEC', '19_lag_nhTSjfm', '12_lag_amo1', '12_lag_traBS', '16_lag_alpi']","[4.203080940670702, 2.643936433930403, 4.132018054072489, 2.031131297094819, 4.172148192381117, 0.40681337495955106, 1.217807246175827, 1.4668815308274308, 3.5049178815814708, 6.6990039253410245]","17_lag_traCA, 15_lag_gyreSSTjfm, 12_lag_gyreSSTjfm, 10_lag_17_median_arcTSjfm, 10_lag_14_median_alpi, 10_lag_16_median_traEC, 19_lag_nhTSjfm, 12_lag_amo1, 12_lag_traBS, 16_lag_alpi_1216_10"
LRforcedPSO,6,10,traIFC,picntrl,1720.5,2050.5,0.8,21,11,11,17.917890064013193,-0.10501115109423542,1216,"['11_lag_15_median_eapPSLjfm', '11_lag_18_median_ormenSSTjfm', '11_lag_15_median_samPSLann', '11_lag_17_median_amo3', '11_lag_traEU', '11_lag_20_median_nhSICjfm', '11_lag_13_median_tripol3', '15_lag_tripol1', '11_lag_16_median_scpPSLjfm', '18_lag_stratZ50ndj01']","[6.395771531148302, 1.8525084418483324, 1.5637567663583738, 1.27038559752393, 2.0475292374952243, 3.833914363969047, 2.840035142442585, 7.335964063644905, 1.1697585031661077, 5.343767956413254]","11_lag_15_median_eapPSLjfm, 11_lag_18_median_ormenSSTjfm, 11_lag_15_median_samPSLann, 11_lag_17_median_amo3, 11_lag_traEU, 11_lag_20_median_nhSICjfm, 11_lag_13_median_tripol3, 15_lag_tripol1, 11_lag_16_median_scpPSLjfm, 18_lag_stratZ50ndj01_1216_11"
LRforcedPSO,7,10,traIFC,picntrl,1721.5,2050.5,0.8,22,12,12,12.331049496317943,0.37328357263870937,1216,"['21_lag_AMOCann', '12_lag_18_median_stratZ50ndj02', '12_lag_16_median_ginwSSTjfm', '12_lag_17_median_glTSjfm', '20_lag_nhSICsep', '12_lag_13_median_labSSTjfm', '14_lag_atlSICsep', '12_lag_14_median_nppc2SSTjfm', '12_lag_14_median_stratZ50ndj02', '12_lag_16_median_shSICmar']","[2.4957960057848627, 1.2445415454727442, 3.917204902205997, 0.16502962521470366, 2.6318228750752777, 8.414454876958487, 3.3359100850370016, 2.191296414231192, 2.346307947711974, 0.35234427240819244]","21_lag_AMOCann, 12_lag_18_median_stratZ50ndj02, 12_lag_16_median_ginwSSTjfm, 12_lag_17_median_glTSjfm, 20_lag_nhSICsep, 12_lag_13_median_labSSTjfm, 14_lag_atlSICsep, 12_lag_14_median_nppc2SSTjfm, 12_lag_14_median_stratZ50ndj02, 12_lag_16_median_shSICmar_1216_12"
LRforcedPSO,8,10,traIFC,picntrl,1722.5,2050.5,0.8,23,13,13,16.265534358102325,0.0024860930296480635,1216,"['13_lag_stratZ50ndj01', '16_lag_eurPSLjfm', '16_lag_samPSLann', '13_lag_17_median_traEC', '13_lag_18_median_seurTSjfm', '17_lag_arcTSjfm', '13_lag_22_median_stratZ50ndj01', '13_lag_21_median_mhfATL45', '22_lag_traFS', '15_lag_tripol3']","[0.11190027527680613, 6.118505392385998, 2.6124477009748066, 3.88749523974065, 2.6994874872099466, 0.37641185443784586, 3.4103310434749687, 0.9334388179338209, 2.7370949384371634, 1.484821131160757]","13_lag_stratZ50ndj01, 16_lag_eurPSLjfm, 16_lag_samPSLann, 13_lag_17_median_traEC, 13_lag_18_median_seurTSjfm, 17_lag_arcTSjfm, 13_lag_22_median_stratZ50ndj01, 13_lag_21_median_mhfATL45, 22_lag_traFS, 15_lag_tripol3_1216_13"
LRforcedPSO,9,10,traIFC,picntrl,1723.5,2050.5,0.8,24,14,14,17.338793840142692,0.03059737128904296,1216,"['16_lag_seurTSjfm', '14_lag_20_median_arcTSjfm', '14_lag_amo3', '14_lag_22_median_amoSSTmjjaso', '22_lag_labSSTjfm', '14_lag_17_median_shTSjfm', '14_lag_21_median_atlSICsep', '16_lag_shSICsep', '18_lag_scpPSLjfm', '14_lag_mhfATL30']","[1.878039169483447, 0.7635155341006268, 5.80883782835404, 2.7492364634708917, 1.2029416142194655, 0.9550588439947809, 0.2632995775816056, 9.508594483646558, 0.6487369836599282, 5.994524787510052]","16_lag_seurTSjfm, 14_lag_20_median_arcTSjfm, 14_lag_amo3, 14_lag_22_median_amoSSTmjjaso, 22_lag_labSSTjfm, 14_lag_17_median_shTSjfm, 14_lag_21_median_atlSICsep, 16_lag_shSICsep, 18_lag_scpPSLjfm, 14_lag_mhfATL30_1216_14"
