model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,6,traIT,picntrl,1066.5,2050.5,0.6,15,5,5,12.65930117920512,0.018945081068837764,1216,"['10_lag_traTLS', '5_lag_14_median_shSICmar', '5_lag_seurTSjfm', '5_lag_8_median_traBO', '9_lag_wnorPRjfm', '5_lag_8_median_nppc2SSTjfm']","[0.06759416660224947, 0.046046484450028985, 0.010023185265641223, 0.016834306456954932, 0.0362532562318629, 0.04629141072456912]","10_lag_traTLS, 5_lag_14_median_shSICmar, 5_lag_seurTSjfm, 5_lag_8_median_traBO, 9_lag_wnorPRjfm, 5_lag_8_median_nppc2SSTjfm_1216_5"
LinearRegression,1,6,traIT,picntrl,1067.5,2050.5,0.6,16,6,6,12.7303462609949,-0.0057187978709160245,1216,"['11_lag_samPSLann', '6_lag_9_median_AMOCann', '6_lag_9_median_stratZ50ndj03', '6_lag_9_median_mhfATL60', '6_lag_9_median_wnorPRjfm', '6_lag_9_median_traEU']","[0.027674278166218334, 0.005872295933990163, 0.05756843291402319, 0.029565162227778455, 0.10986477871063118, 0.021669935754785846]","11_lag_samPSLann, 6_lag_9_median_AMOCann, 6_lag_9_median_stratZ50ndj03, 6_lag_9_median_mhfATL60, 6_lag_9_median_wnorPRjfm, 6_lag_9_median_traEU_1216_6"
LinearRegression,2,6,traIT,picntrl,1068.5,2050.5,0.6,17,7,7,12.43016785412142,0.05533494610987147,1216,"['7_lag_14_median_glTSjfm', '7_lag_14_median_traTLS', '7_lag_12_median_eapPSLjfm', '10_lag_glomaSSTjfm', '16_lag_mhfATL30', '7_lag_16_median_wnorPRjfm']","[0.14136365323422984, 0.07750254198236126, 0.006347306887065623, 0.03986383882328866, 0.06066725943706015, 0.026310717242478725]","7_lag_14_median_glTSjfm, 7_lag_14_median_traTLS, 7_lag_12_median_eapPSLjfm, 10_lag_glomaSSTjfm, 16_lag_mhfATL30, 7_lag_16_median_wnorPRjfm_1216_7"
LinearRegression,3,6,traIT,picntrl,1069.5,2050.5,0.6,18,8,8,12.499493088958927,-0.012582042467670262,1216,"['10_lag_samPSLann', '8_lag_15_median_atlSICsep', '8_lag_17_median_shSICmar', '16_lag_glomaSSTjfm', '8_lag_11_median_stratZ50ndj03', '11_lag_samPSLann']","[0.021798151472059515, 0.053056389472762595, 0.0317437584084208, 0.10172927857213108, 0.02841231401117461, 0.03594560275757496]","10_lag_samPSLann, 8_lag_15_median_atlSICsep, 8_lag_17_median_shSICmar, 16_lag_glomaSSTjfm, 8_lag_11_median_stratZ50ndj03, 11_lag_samPSLann_1216_8"
LinearRegression,4,6,traIT,picntrl,1070.5,2050.5,0.6,19,9,9,12.778295691031081,-0.04760521726882033,1216,"['9_lag_tripol1', '15_lag_labSSTjfm', '12_lag_nppc2SSTjfm', '9_lag_12_median_amo2', '17_lag_nppc2SSTjfm', '9_lag_13_median_wnorPRjfm']","[0.06400472952040581, 0.04296552413345412, 0.022043031189856534, 0.1146386147650171, 0.05669398356984573, 0.11738389157160621]","9_lag_tripol1, 15_lag_labSSTjfm, 12_lag_nppc2SSTjfm, 9_lag_12_median_amo2, 17_lag_nppc2SSTjfm, 9_lag_13_median_wnorPRjfm_1216_9"
LinearRegression,5,6,traIT,picntrl,1071.5,2050.5,0.6,20,10,10,12.40068972662052,0.0433692811058625,1216,"['15_lag_traFB', '10_lag_13_median_glomaSSTjfm', '10_lag_15_median_traEU', '10_lag_17_median_shSICmar', '10_lag_15_median_traFSC', '14_lag_mhfATL45']","[0.03828227171300235, 0.14909249050704648, 0.03028135986975989, 0.016761854011114526, 0.010380414013365424, 0.09216268683299467]","15_lag_traFB, 10_lag_13_median_glomaSSTjfm, 10_lag_15_median_traEU, 10_lag_17_median_shSICmar, 10_lag_15_median_traFSC, 14_lag_mhfATL45_1216_10"
LinearRegression,6,6,traIT,picntrl,1072.5,2050.5,0.6,21,11,11,12.61460510035741,-0.010783695421326026,1216,"['11_lag_14_median_traTLS', '11_lag_20_median_shSICmar', '11_lag_18_median_traEC', '18_lag_glomaSSTjfm', '20_lag_neurTSjfm', '11_lag_16_median_traTLS']","[0.04035070016419733, 0.005716886256137053, 0.060367700803756724, 0.033149007392468705, 0.06532437109205383, 0.02857649367614119]","11_lag_14_median_traTLS, 11_lag_20_median_shSICmar, 11_lag_18_median_traEC, 18_lag_glomaSSTjfm, 20_lag_neurTSjfm, 11_lag_16_median_traTLS_1216_11"
LinearRegression,7,6,traIT,picntrl,1073.5,2050.5,0.6,22,12,12,12.70257955757213,-0.03468793320407747,1216,"['12_lag_21_median_traEU', '12_lag_pdoSSTjfm', '18_lag_shTSjfm', '20_lag_neurTSjfm', '12_lag_19_median_glTSjfm', '18_lag_glomaSSTjfm']","[0.04773604764516516, 0.027151894604595685, 0.13833964759957573, 0.06208697803256098, 0.00924636429078841, 0.08631106286254689]","12_lag_21_median_traEU, 12_lag_pdoSSTjfm, 18_lag_shTSjfm, 20_lag_neurTSjfm, 12_lag_19_median_glTSjfm, 18_lag_glomaSSTjfm_1216_12"
LinearRegression,8,6,traIT,picntrl,1074.5,2050.5,0.6,23,13,13,12.875194118294694,-0.03653407448258533,1216,"['21_lag_mhfATL45', '13_lag_18_median_ensoSSTjfm', '21_lag_nppc3SSTjfm', '19_lag_mhfIP30', '18_lag_glomaSSTjfm', '22_lag_nppc2SSTjfm']","[0.00505098102896073, 0.0016269001851864362, 0.10777287879471018, 0.13556465233076082, 0.021825682446640047, 0.0961213752142728]","21_lag_mhfATL45, 13_lag_18_median_ensoSSTjfm, 21_lag_nppc3SSTjfm, 19_lag_mhfIP30, 18_lag_glomaSSTjfm, 22_lag_nppc2SSTjfm_1216_13"
LinearRegression,9,6,traIT,picntrl,1075.5,2050.5,0.6,24,14,14,12.524552220770968,-0.011401824933064363,1216,"['18_lag_glomaSSTjfm', '18_lag_pdoSSTjfm', '14_lag_19_median_mhfIP30', '22_lag_shSICsep', '22_lag_nppc2SSTjfm', '19_lag_traDP']","[0.005368934808209425, 0.03562049252852971, 0.08747851630508308, 0.008334313636918049, 0.05904560903644895, 0.07196674090885262]","18_lag_glomaSSTjfm, 18_lag_pdoSSTjfm, 14_lag_19_median_mhfIP30, 22_lag_shSICsep, 22_lag_nppc2SSTjfm, 19_lag_traDP_1216_14"
