model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,6,traMC,picntrl,1514.5,2050.5,0.6,15,5,5,14.978061658813724,0.14433256918891815,1216,"['5_lag_9_median_traEC', '14_lag_atlSICsep', '5_lag_13_median_arcTSjfm', '5_lag_7_median_eapPSLjfm', '5_lag_7_median_pdoSSTjfm', '13_lag_nchinaPRjja']","[9.480390083751885, 2.0463925901558273, 4.681779421950223, 6.295168887794691, 0.114580564712643, 0.1172809588608974]","5_lag_9_median_traEC, 14_lag_atlSICsep, 5_lag_13_median_arcTSjfm, 5_lag_7_median_eapPSLjfm, 5_lag_7_median_pdoSSTjfm, 13_lag_nchinaPRjja_1216_5"
LRforcedPSO,1,6,traMC,picntrl,1515.5,2050.5,0.6,16,6,6,14.27221040288046,0.032392602940582,1216,"['6_lag_10_median_arcTSjfm', '6_lag_traCA', '14_lag_tripol2', '7_lag_mhfATL30', '6_lag_11_median_nppc3SSTjfm', '12_lag_traBO']","[2.256406367632138, 1.7288693091879912, 1.69600522215701, 1.875404864126889, 1.9063031312384457, 1.8122172133751124]","6_lag_10_median_arcTSjfm, 6_lag_traCA, 14_lag_tripol2, 7_lag_mhfATL30, 6_lag_11_median_nppc3SSTjfm, 12_lag_traBO_1216_6"
LRforcedPSO,2,6,traMC,picntrl,1516.5,2050.5,0.6,17,7,7,14.69847354884692,0.07464726948696356,1216,"['7_lag_8_median_tripol3', '10_lag_traIT', '7_lag_15_median_mhfATL60', '10_lag_satlSSTjfm', '7_lag_8_median_traEC', '15_lag_stratZ50ndj02']","[2.6652158092733274, 1.2475849665834815, 0.08067891307622155, 4.914550130177371, 1.9542677003279323, 3.2799651083364267]","7_lag_8_median_tripol3, 10_lag_traIT, 7_lag_15_median_mhfATL60, 10_lag_satlSSTjfm, 7_lag_8_median_traEC, 15_lag_stratZ50ndj02_1216_7"
LRforcedPSO,3,6,traMC,picntrl,1517.5,2050.5,0.6,18,8,8,14.18852335437449,0.06013617724876283,1216,"['8_lag_9_median_stratZ50ndj04', '8_lag_12_median_mhfIP30', '8_lag_12_median_traEC', '8_lag_11_median_stratZ50ndj04', '8_lag_14_median_traEC', '14_lag_eurPSLjfm']","[0.33547544723974987, 4.345685909296478, 1.3696828858371326, 7.722114451880202e-05, 2.4794521531023257, 1.912980693981039]","8_lag_9_median_stratZ50ndj04, 8_lag_12_median_mhfIP30, 8_lag_12_median_traEC, 8_lag_11_median_stratZ50ndj04, 8_lag_14_median_traEC, 14_lag_eurPSLjfm_1216_8"
LRforcedPSO,4,6,traMC,picntrl,1518.5,2050.5,0.6,19,9,9,14.40449255100264,0.08713791976860655,1216,"['9_lag_18_median_arcTSjfm', '9_lag_13_median_cetTSjfm', '9_lag_12_median_nhSICsep', '9_lag_13_median_nchinaPRjja', '9_lag_16_median_ginwSSTjfm', '9_lag_14_median_traIFC']","[6.251848053554174, 0.718874058574066, 1.6345171228916726, 2.1187612508987907, 0.4112518853937921, 1.5343619941519897]","9_lag_18_median_arcTSjfm, 9_lag_13_median_cetTSjfm, 9_lag_12_median_nhSICsep, 9_lag_13_median_nchinaPRjja, 9_lag_16_median_ginwSSTjfm, 9_lag_14_median_traIFC_1216_9"
LRforcedPSO,5,6,traMC,picntrl,1519.5,2050.5,0.6,20,10,10,15.143919267021515,0.14228566438601017,1216,"['10_lag_19_median_satlSSTjfm', '13_lag_arcTSjfm', '10_lag_15_median_atlSICsep', '10_lag_13_median_mhfATL45', '10_lag_alpi', '10_lag_13_median_shSICmar']","[2.1655943409428957, 1.5110032585442656, 0.6340244808654738, 7.1150302016051565, 0.41726418269069754, 3.436943055183157]","10_lag_19_median_satlSSTjfm, 13_lag_arcTSjfm, 10_lag_15_median_atlSICsep, 10_lag_13_median_mhfATL45, 10_lag_alpi, 10_lag_13_median_shSICmar_1216_10"
LRforcedPSO,6,6,traMC,picntrl,1520.5,2050.5,0.6,21,11,11,16.061733856975355,-0.20260017743519054,1216,"['11_lag_12_median_mhfATL45', '20_lag_pdoSSTjfm', '11_lag_13_median_ormenSSTjfm', '13_lag_traDP', '11_lag_17_median_traDP', '17_lag_traDS']","[2.4137404056009863, 3.7313669940273435, 1.8854465443652764, 0.9567839604683428, 5.734501601846983, 0.4701638719694117]","11_lag_12_median_mhfATL45, 20_lag_pdoSSTjfm, 11_lag_13_median_ormenSSTjfm, 13_lag_traDP, 11_lag_17_median_traDP, 17_lag_traDS_1216_11"
LRforcedPSO,7,6,traMC,picntrl,1521.5,2050.5,0.6,22,12,12,14.142632809797439,-0.032475619669059486,1216,"['12_lag_18_median_gyreSSTjfm', '14_lag_traWP', '20_lag_seurTSjfm', '19_lag_eapPSLjfm', '19_lag_shSICmar', '17_lag_traDS']","[2.393334456820754, 2.426645922356536, 2.3930191635847833, 2.749430951665222, 2.946566167325107, 3.1845782252522565]","12_lag_18_median_gyreSSTjfm, 14_lag_traWP, 20_lag_seurTSjfm, 19_lag_eapPSLjfm, 19_lag_shSICmar, 17_lag_traDS_1216_12"
LRforcedPSO,8,6,traMC,picntrl,1522.5,2050.5,0.6,23,13,13,13.341644647722775,0.206515818322609,1216,"['15_lag_atlSICsep', '22_lag_mhfIP30', '13_lag_16_median_AMOCann', '15_lag_naoPSLjfm', '13_lag_20_median_stratZ50ndj01', '13_lag_18_median_traCA']","[2.085790139258991, 2.085701003846397, 2.085700803870791, 2.0857321261476174, 2.085707813793264, 2.7809343178738435]","15_lag_atlSICsep, 22_lag_mhfIP30, 13_lag_16_median_AMOCann, 15_lag_naoPSLjfm, 13_lag_20_median_stratZ50ndj01, 13_lag_18_median_traCA_1216_13"
LRforcedPSO,9,6,traMC,picntrl,1523.5,2050.5,0.6,24,14,14,14.408118094812949,0.04988270641369975,1216,"['23_lag_arcTSjfm', '14_lag_15_median_traEU', '14_lag_traMC', '19_lag_scpPSLjfm', '20_lag_traCA', '22_lag_ormenSSTjfm']","[2.618070998738798, 2.7849028084010357, 1.9712819547127225, 1.7220878424168227, 1.2027467808931434, 3.4165734077951466]","23_lag_arcTSjfm, 14_lag_15_median_traEU, 14_lag_traMC, 19_lag_scpPSLjfm, 20_lag_traCA, 22_lag_ormenSSTjfm_1216_14"
