model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,6,traMC,picntrl,1514.5,2050.5,0.8,15,5,5,12.404991714247572,0.008958263473988667,1216,"['5_lag_mhfATL30', '5_lag_8_median_traDS', '5_lag_8_median_traBS', '8_lag_atlSICjfm', '8_lag_traBS', '7_lag_traCA']","[0.07341184422109866, 0.030651496467911293, 0.16802765038451048, 0.03725184169898599, 0.11708199147374355, 0.011635345691762465]","5_lag_mhfATL30, 5_lag_8_median_traDS, 5_lag_8_median_traBS, 8_lag_atlSICjfm, 8_lag_traBS, 7_lag_traCA_1216_5"
LinearRegression,1,6,traMC,picntrl,1515.5,2050.5,0.8,16,6,6,12.108440969576112,0.1107891385719447,1216,"['10_lag_traIT', '9_lag_ormenSSTjfm', '6_lag_satlSSTjfm', '12_lag_AMOCann', '15_lag_nppc3SSTjfm', '11_lag_shSICsep']","[0.013552673449499496, 0.09249966122770216, 0.09591318359824548, 0.07995814093162634, 0.0702860450820822, 0.06374937540181923]","10_lag_traIT, 9_lag_ormenSSTjfm, 6_lag_satlSSTjfm, 12_lag_AMOCann, 15_lag_nppc3SSTjfm, 11_lag_shSICsep_1216_6"
LinearRegression,2,6,traMC,picntrl,1516.5,2050.5,0.8,17,7,7,12.352241954677487,0.03865350868496466,1216,"['7_lag_satlSSTjfm', '16_lag_cetTSjfm', '14_lag_mhfATL45', '13_lag_stratZ50ndj04', '7_lag_traCA', '15_lag_nppc3SSTjfm']","[0.03361553428790631, 0.0145868218933881, 0.049186480025378405, 0.10112170723217567, 0.022062485163627563, 0.08855723153815752]","7_lag_satlSSTjfm, 16_lag_cetTSjfm, 14_lag_mhfATL45, 13_lag_stratZ50ndj04, 7_lag_traCA, 15_lag_nppc3SSTjfm_1216_7"
LinearRegression,3,6,traMC,picntrl,1517.5,2050.5,0.8,18,8,8,12.585745867756668,0.1514532998182337,1216,"['13_lag_nppc3SSTjfm', '12_lag_nppc3SSTjfm', '12_lag_AMOCann', '11_lag_cetTSjfm', '8_lag_15_median_wnorPRjfm', '8_lag_traDP']","[0.051736920353945164, 0.09449978813011381, 0.09037641005749589, 0.04439633343612208, 0.18146752562347976, 0.006342514974604028]","13_lag_nppc3SSTjfm, 12_lag_nppc3SSTjfm, 12_lag_AMOCann, 11_lag_cetTSjfm, 8_lag_15_median_wnorPRjfm, 8_lag_traDP_1216_8"
LinearRegression,4,6,traMC,picntrl,1518.5,2050.5,0.8,19,9,9,12.511928910073818,0.10175819562513749,1216,"['14_lag_mhfIP30', '9_lag_traEU', '9_lag_ginwSSTjfm', '17_lag_atlSICjfm', '11_lag_glomaSSTjfm', '9_lag_12_median_tripol3']","[0.056594823258307586, 0.05002019183106371, 0.11304498476000518, 0.10784746356496941, 0.029273788264854547, 0.02677360506552383]","14_lag_mhfIP30, 9_lag_traEU, 9_lag_ginwSSTjfm, 17_lag_atlSICjfm, 11_lag_glomaSSTjfm, 9_lag_12_median_tripol3_1216_9"
LinearRegression,5,6,traMC,picntrl,1519.5,2050.5,0.8,20,10,10,12.143398377924,0.1600304756199595,1216,"['10_lag_mhfATL60', '14_lag_wnorPRjfm', '14_lag_traCA', '14_lag_traBS', '14_lag_mhfIP30', '14_lag_mhfATL45']","[0.001050245462346409, 0.06260969953959386, 0.18127059497411346, 0.0027906197426619227, 0.10379552455517244, 0.02136416169389703]","10_lag_mhfATL60, 14_lag_wnorPRjfm, 14_lag_traCA, 14_lag_traBS, 14_lag_mhfIP30, 14_lag_mhfATL45_1216_10"
LinearRegression,6,6,traMC,picntrl,1520.5,2050.5,0.8,21,11,11,12.523573576641876,0.031158066530020043,1216,"['14_lag_traIT', '11_lag_glomaSSTjfm', '15_lag_shSICmar', '18_lag_traEC', '13_lag_traBS', '17_lag_stratZ50ndj04']","[0.019202475039288493, 0.044077736632524706, 0.0477317104909088, 0.09920328326003947, 0.13461235175881392, 0.06659243993982097]","14_lag_traIT, 11_lag_glomaSSTjfm, 15_lag_shSICmar, 18_lag_traEC, 13_lag_traBS, 17_lag_stratZ50ndj04_1216_11"
LinearRegression,7,6,traMC,picntrl,1521.5,2050.5,0.8,22,12,12,12.46155517929925,-0.08836729201247068,1216,"['12_lag_shSICmar', '21_lag_amoSSTmjjaso', '15_lag_satlSSTjfm', '17_lag_traTLS', '14_lag_neurTSjfm', '17_lag_ginwSSTjfm']","[0.029417272177612742, 0.003509903495025654, 0.003502091187558863, 0.07616713368367367, 0.04871791267821265, 0.19199060116344818]","12_lag_shSICmar, 21_lag_amoSSTmjjaso, 15_lag_satlSSTjfm, 17_lag_traTLS, 14_lag_neurTSjfm, 17_lag_ginwSSTjfm_1216_12"
LinearRegression,8,6,traMC,picntrl,1522.5,2050.5,0.8,23,13,13,12.708114377167965,-0.01316008025867965,1216,"['19_lag_nhSICsep', '13_lag_traBS', '18_lag_traEC', '17_lag_ginwSSTjfm', '22_lag_ensoSSTjfm', '13_lag_stratZ50ndj04']","[0.016962036760735308, 0.12158231462038617, 0.08732349230924182, 0.1993982287403714, 0.06612290435239183, 0.07884235699337375]","19_lag_nhSICsep, 13_lag_traBS, 18_lag_traEC, 17_lag_ginwSSTjfm, 22_lag_ensoSSTjfm, 13_lag_stratZ50ndj04_1216_13"
LinearRegression,9,6,traMC,picntrl,1523.5,2050.5,0.8,24,14,14,12.461725381772997,-0.04324934845055466,1216,"['21_lag_amo3', '22_lag_atlSICsep', '22_lag_nhSICsep', '23_lag_nppc2SSTjfm', '14_lag_neurTSjfm', '18_lag_traEC']","[0.02839438893699329, 0.10828751850516015, 0.024622418829817236, 0.060627223043586406, 0.058480318701695545, 0.10192044062151268]","21_lag_amo3, 22_lag_atlSICsep, 22_lag_nhSICsep, 23_lag_nppc2SSTjfm, 14_lag_neurTSjfm, 18_lag_traEC_1216_14"
LinearRegression,10,6,traMC,picntrl,1524.5,2050.5,0.8,25,15,15,12.723169007679736,-0.12349806902420825,1216,"['23_lag_traIT', '18_lag_traEU', '17_lag_pdoSSTjfm', '19_lag_amoSSTmjjaso', '17_lag_ginwSSTjfm', '15_lag_18_median_traBS']","[0.08265829791638926, 0.097408370905121, 0.02065067716823757, 0.033174794559032966, 0.19345039246150392, 0.03223073889828589]","23_lag_traIT, 18_lag_traEU, 17_lag_pdoSSTjfm, 19_lag_amoSSTmjjaso, 17_lag_ginwSSTjfm, 15_lag_18_median_traBS_1216_15"
LinearRegression,11,6,traMC,picntrl,1525.5,2050.5,0.8,26,16,16,13.091286489266583,-0.10127509235131671,1216,"['16_lag_19_median_amo2', '18_lag_nppc2SSTjfm', '21_lag_ormenSSTjfm', '21_lag_AMOCann', '22_lag_amo2', '16_lag_21_median_pdoSSTjfm']","[0.025115336305680483, 0.18025380310749992, 0.002807278360856048, 0.0039310617087730815, 0.0013962244670872037, 0.1596402860541793]","16_lag_19_median_amo2, 18_lag_nppc2SSTjfm, 21_lag_ormenSSTjfm, 21_lag_AMOCann, 22_lag_amo2, 16_lag_21_median_pdoSSTjfm_1216_16"
LinearRegression,12,6,traMC,picntrl,1526.5,2050.5,0.8,27,17,17,12.509565750210571,-0.10692147056455792,1216,"['25_lag_satlSSTjfm', '17_lag_scpPSLjfm', '21_lag_AMOCann', '25_lag_naoPSLjfm', '22_lag_amo2', '17_lag_nppc2SSTjfm']","[0.12008193177949862, 0.002001858881711285, 0.035263417879970185, 0.09520751127761157, 0.0016575604098379663, 0.05987051949016072]","25_lag_satlSSTjfm, 17_lag_scpPSLjfm, 21_lag_AMOCann, 25_lag_naoPSLjfm, 22_lag_amo2, 17_lag_nppc2SSTjfm_1216_17"
LinearRegression,13,6,traMC,picntrl,1527.5,2050.5,0.8,28,18,18,12.398346477871476,-0.08390966372521098,1216,"['18_lag_21_median_traFSC', '25_lag_naoPSLjfm', '25_lag_mhfATL45', '22_lag_amo2', '21_lag_glomaSSTjfm', '21_lag_ormenSSTjfm']","[0.04579311262968667, 0.07030728208741284, 0.11286641944940957, 0.013330028539256557, 0.00021502735233066195, 0.02137269900409748]","18_lag_21_median_traFSC, 25_lag_naoPSLjfm, 25_lag_mhfATL45, 22_lag_amo2, 21_lag_glomaSSTjfm, 21_lag_ormenSSTjfm_1216_18"
LinearRegression,14,6,traMC,picntrl,1528.5,2050.5,0.8,29,19,19,12.353045730747693,-0.08936287255135955,1216,"['24_lag_nppc3SSTjfm', '27_lag_nppc3SSTjfm', '19_lag_22_median_stratZ50ndj03', '19_lag_22_median_traFSC', '25_lag_stratZ50ndj02', '19_lag_22_median_traFB']","[0.043159686142585266, 0.01238693094887319, 0.1020123291194501, 0.018368166424382687, 0.05512891574307822, 0.03379188729385113]","24_lag_nppc3SSTjfm, 27_lag_nppc3SSTjfm, 19_lag_22_median_stratZ50ndj03, 19_lag_22_median_traFSC, 25_lag_stratZ50ndj02, 19_lag_22_median_traFB_1216_19"
LinearRegression,15,6,traMC,picntrl,1529.5,2050.5,0.8,30,20,20,12.305820235967593,-0.00780777189371022,1216,"['20_lag_mhfATL45', '22_lag_traIT', '28_lag_stratZ50ndj02', '29_lag_scpPSLjfm', '25_lag_stratZ50ndj02', '20_lag_23_median_yrvPRjja']","[0.10921555748376129, 0.10018770846169064, 0.03733993838321939, 0.03768204835871363, 0.05899390672189914, 0.163420488735499]","20_lag_mhfATL45, 22_lag_traIT, 28_lag_stratZ50ndj02, 29_lag_scpPSLjfm, 25_lag_stratZ50ndj02, 20_lag_23_median_yrvPRjja_1216_20"
LinearRegression,16,6,traMC,picntrl,1530.5,2050.5,0.8,31,21,21,12.076102055680169,0.09625526562021107,1216,"['25_lag_amo1', '21_lag_glomaSSTjfm', '21_lag_24_median_mhfATL60', '28_lag_stratZ50ndj02', '21_lag_24_median_traDS', '25_lag_stratZ50ndj02']","[0.02845728733560742, 0.014520929891615977, 0.17006330906013592, 0.032841046938525624, 0.0012120284266799596, 0.047036742776905525]","25_lag_amo1, 21_lag_glomaSSTjfm, 21_lag_24_median_mhfATL60, 28_lag_stratZ50ndj02, 21_lag_24_median_traDS, 25_lag_stratZ50ndj02_1216_21"
LinearRegression,17,6,traMC,picntrl,1531.5,2050.5,0.8,32,22,22,12.173828360351571,0.04892789114627823,1216,"['28_lag_stratZ50ndj02', '29_lag_scpPSLjfm', '25_lag_shSICsep', '22_lag_atlSICsep', '22_lag_nhSICsep', '27_lag_traDP']","[0.03717266327203671, 0.051268966481708485, 0.009015927368565956, 0.10547509907406932, 0.009173357681135173, 0.08892566338981839]","28_lag_stratZ50ndj02, 29_lag_scpPSLjfm, 25_lag_shSICsep, 22_lag_atlSICsep, 22_lag_nhSICsep, 27_lag_traDP_1216_22"
LinearRegression,18,6,traMC,picntrl,1532.5,2050.5,0.8,33,23,23,12.42592761902291,-0.17496192455046083,1216,"['23_lag_28_median_stratZ50ndj01', '30_lag_arcTSjfm', '28_lag_atlSICjfm', '31_lag_pdoSSTjfm', '23_lag_28_median_traFS', '30_lag_satlSSTjfm']","[0.028676621939216725, 0.04276865214085333, 0.046603965278658975, 0.1016516039554434, 0.28032202611071855, 0.018698702326102816]","23_lag_28_median_stratZ50ndj01, 30_lag_arcTSjfm, 28_lag_atlSICjfm, 31_lag_pdoSSTjfm, 23_lag_28_median_traFS, 30_lag_satlSSTjfm_1216_23"
LinearRegression,19,6,traMC,picntrl,1533.5,2050.5,0.8,34,24,24,12.339240020197112,-0.21597991648897602,1216,"['24_lag_stratZ50ndj04', '24_lag_27_median_traWP', '30_lag_arcTSjfm', '30_lag_satlSSTjfm', '28_lag_tripol3', '24_lag_traBO']","[0.06106288438613099, 0.06858869169583617, 0.039866547334472126, 0.04031007833062886, 0.05138172906592216, 0.029963319438972052]","24_lag_stratZ50ndj04, 24_lag_27_median_traWP, 30_lag_arcTSjfm, 30_lag_satlSSTjfm, 28_lag_tripol3, 24_lag_traBO_1216_24"
LinearRegression,20,6,traMC,picntrl,1534.5,2050.5,0.8,35,25,25,12.421571196519226,-0.07658137189728184,1216,"['28_lag_shTSjfm', '29_lag_glTSjfm', '34_lag_stratZ50ndj01', '25_lag_30_median_amo1', '25_lag_28_median_traFB', '28_lag_tripol3']","[0.059170534529129175, 0.12222447843182091, 0.13054861180421767, 0.11073676967895862, 0.09731645962006882, 0.07111097252354327]","28_lag_shTSjfm, 29_lag_glTSjfm, 34_lag_stratZ50ndj01, 25_lag_30_median_amo1, 25_lag_28_median_traFB, 28_lag_tripol3_1216_25"
LinearRegression,21,6,traMC,picntrl,1535.5,2050.5,0.8,36,26,26,12.447349646443705,-0.030074934902261433,1216,"['26_lag_31_median_yrvPRjja', '30_lag_mhfIP30', '26_lag_29_median_scpPSLjfm', '26_lag_ormenSSTjfm', '34_lag_stratZ50ndj01', '26_lag_29_median_tripol3']","[0.17220483516312676, 0.002182680463404585, 0.1940280184983999, 0.07643514870146949, 0.12368530175892165, 0.1775785431761466]","26_lag_31_median_yrvPRjja, 30_lag_mhfIP30, 26_lag_29_median_scpPSLjfm, 26_lag_ormenSSTjfm, 34_lag_stratZ50ndj01, 26_lag_29_median_tripol3_1216_26"
LinearRegression,22,6,traMC,picntrl,1536.5,2050.5,0.8,37,27,27,11.66537939132113,0.1703144550662887,1216,"['33_lag_ormenSSTjfm', '27_lag_32_median_nhSICjfm', '27_lag_32_median_mhfIP30', '35_lag_traTLS', '32_lag_amoSSTmjjaso', '35_lag_traEC']","[0.006425013930823985, 0.04800589220522533, 0.12494859840817847, 0.002764988416053167, 0.043944507933101916, 0.127375019407233]","33_lag_ormenSSTjfm, 27_lag_32_median_nhSICjfm, 27_lag_32_median_mhfIP30, 35_lag_traTLS, 32_lag_amoSSTmjjaso, 35_lag_traEC_1216_27"
