model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,30,traWP,picntrl,1066.5,2050.5,0.6,15,5,5,23.081804679808908,0.15967150561858942,1216,"['11_lag_ismPRjja', '5_lag_14_median_alpi', '8_lag_mhfIP30', '5_lag_traTLS', '5_lag_6_median_eurPSLjfm', '7_lag_nppc3SSTjfm', '9_lag_ismPRjja', '8_lag_amo3', '5_lag_8_median_stratZ50ndj01', '5_lag_14_median_shTSjfm', '5_lag_11_median_amo3', '5_lag_10_median_traEU', '7_lag_seurTSjfm', '5_lag_8_median_alpi', '5_lag_6_median_traWP', '13_lag_eapPSLjfm', '6_lag_alpi', '5_lag_7_median_mhfIP30', '5_lag_neurTSjfm', '5_lag_12_median_traEU', '5_lag_11_median_tripol1', '8_lag_traEC', '6_lag_traBO', '14_lag_traFB', '10_lag_wnorPRjfm', '11_lag_alpi', '6_lag_amo2', '5_lag_12_median_shSICmar', '5_lag_8_median_scpPSLjfm', '5_lag_10_median_traIFC']","[5.573898068453305, 3.0212919128807076, 7.072479123779152, 3.7477789586669523, 3.8772153550422583, 2.393110848994273, 4.069920111028029, 1.3886282353166273, 1.1106944264048817, 6.284364483102699, 5.512183464390938, 0.8449928159729545, 1.5031726278379072, 6.87689350146268, 2.0732770384566823, 5.87279824955397, 3.871187488215215, 2.4809756522378574, 1.0120175354738095, 0.38868662426276046, 7.311077662725087, 1.2492973931713625, 2.541256562765973, 5.581268898164286, 4.135572759803585, 1.4210548701345864, 4.973711019640785, 6.857517025341327, 1.5688582728187743, 8.891171117742026]","11_lag_ismPRjja, 5_lag_14_median_alpi, 8_lag_mhfIP30, 5_lag_traTLS, 5_lag_6_median_eurPSLjfm, 7_lag_nppc3SSTjfm, 9_lag_ismPRjja, 8_lag_amo3, 5_lag_8_median_stratZ50ndj01, 5_lag_14_median_shTSjfm, 5_lag_11_median_amo3, 5_lag_10_median_traEU, 7_lag_seurTSjfm, 5_lag_8_median_alpi, 5_lag_6_median_traWP, 13_lag_eapPSLjfm, 6_lag_alpi, 5_lag_7_median_mhfIP30, 5_lag_neurTSjfm, 5_lag_12_median_traEU, 5_lag_11_median_tripol1, 8_lag_traEC, 6_lag_traBO, 14_lag_traFB, 10_lag_wnorPRjfm, 11_lag_alpi, 6_lag_amo2, 5_lag_12_median_shSICmar, 5_lag_8_median_scpPSLjfm, 5_lag_10_median_traIFC_1216_5"
LRforcedPSO,1,30,traWP,picntrl,1067.5,2050.5,0.6,16,6,6,23.820489796021693,-0.01930796061049998,1216,"['10_lag_traDS', '11_lag_nchinaPRjja', '10_lag_ginwSSTjfm', '6_lag_15_median_stratZ50ndj02', '10_lag_mhfATL30', '10_lag_traFSC', '14_lag_amo2', '6_lag_10_median_scpPSLjfm', '15_lag_traDS', '6_lag_10_median_neurTSjfm', '6_lag_14_median_atlSICjfm', '7_lag_traFS', '10_lag_traEC', '6_lag_9_median_naoPSLjfm', '12_lag_mhfATL60', '8_lag_nppc3SSTjfm', '11_lag_tripol1', '12_lag_stratZ50ndj02', '14_lag_traWP', '9_lag_nchinaPRjja', '6_lag_8_median_stratZ50ndj04', '8_lag_ginwSSTjfm', '9_lag_stratZ50ndj02', '6_lag_8_median_nppc3SSTjfm', '11_lag_cetTSjfm', '15_lag_stratZ50ndj04', '6_lag_15_median_tripol2', '14_lag_stratZ50ndj01', '11_lag_traFS', '13_lag_naoPSLjfm']","[3.5830849024900946, 2.4821835972206117, 4.680419478146174, 4.5942670921743005, 3.821148827607212, 4.700331442900103, 4.695655285671025, 1.42191869882803, 0.08041225205889724, 2.017531228133782, 0.8106066808069734, 0.711502709273681, 2.4975202060416652, 2.755852593705206, 3.608651971145866, 0.9954289660299871, 8.192378682325671, 2.4256908385950364, 1.7154614137525943, 1.5082737069341672, 7.596747527257563, 0.5317240814011122, 1.263056412481765, 2.83924484406211, 8.38809790531728, 1.6130553658873694, 2.603133099970904, 2.6193016510966878, 6.476191722372601, 1.343773075853413]","10_lag_traDS, 11_lag_nchinaPRjja, 10_lag_ginwSSTjfm, 6_lag_15_median_stratZ50ndj02, 10_lag_mhfATL30, 10_lag_traFSC, 14_lag_amo2, 6_lag_10_median_scpPSLjfm, 15_lag_traDS, 6_lag_10_median_neurTSjfm, 6_lag_14_median_atlSICjfm, 7_lag_traFS, 10_lag_traEC, 6_lag_9_median_naoPSLjfm, 12_lag_mhfATL60, 8_lag_nppc3SSTjfm, 11_lag_tripol1, 12_lag_stratZ50ndj02, 14_lag_traWP, 9_lag_nchinaPRjja, 6_lag_8_median_stratZ50ndj04, 8_lag_ginwSSTjfm, 9_lag_stratZ50ndj02, 6_lag_8_median_nppc3SSTjfm, 11_lag_cetTSjfm, 15_lag_stratZ50ndj04, 6_lag_15_median_tripol2, 14_lag_stratZ50ndj01, 11_lag_traFS, 13_lag_naoPSLjfm_1216_6"
LRforcedPSO,2,30,traWP,picntrl,1068.5,2050.5,0.6,17,7,7,24.493453701141323,0.10892442205664346,1216,"['7_lag_13_median_stratZ50ndj01', '11_lag_ormenSSTjfm', '15_lag_arcTSjfm', '15_lag_glTSjfm', '7_lag_14_median_tripol2', '10_lag_mhfIP30', '9_lag_traFS', '16_lag_traIT', '16_lag_nhSICsep', '7_lag_8_median_ismPRjja', '12_lag_labSSTjfm', '7_lag_8_median_neurTSjfm', '10_lag_nhSICsep', '9_lag_traFB', '7_lag_12_median_ginwSSTjfm', '7_lag_9_median_stratZ50ndj03', '7_lag_9_median_glomaSSTjfm', '7_lag_9_median_amoSSTmjjaso', '7_lag_14_median_traEU', '12_lag_AMOCann', '7_lag_11_median_stratZ50ndj01', '7_lag_13_median_amoSSTmjjaso', '11_lag_tripol2', '8_lag_mhfATL60', '7_lag_traBS', '9_lag_gyreSSTjfm', '7_lag_10_median_neurTSjfm', '14_lag_traBS', '7_lag_14_median_atlSICsep', '7_lag_14_median_nchinaPRjja']","[5.492430512700784, 0.7075268833463042, 9.60011280276402, 0.9256254249419378, 6.851630456729987, 1.701937096262844, 2.2153127330036586, 0.8670736089626949, 4.342801235959342, 5.531900237035085, 4.925682694673734, 5.989776697485681, 9.425372886494621, 3.1421248209402304, 1.4541714954718543, 2.742979725845675, 7.359044892853149, 9.374583430617914, 4.633852034276491, 3.004104683362197, 8.862378301499763, 2.8100497215512643, 0.5176039024224988, 6.386160713762276, 7.793307713796228, 4.932476506335572, 4.8104274505604305, 4.203993954857859, 3.8315657514017154, 7.207549534397611]","7_lag_13_median_stratZ50ndj01, 11_lag_ormenSSTjfm, 15_lag_arcTSjfm, 15_lag_glTSjfm, 7_lag_14_median_tripol2, 10_lag_mhfIP30, 9_lag_traFS, 16_lag_traIT, 16_lag_nhSICsep, 7_lag_8_median_ismPRjja, 12_lag_labSSTjfm, 7_lag_8_median_neurTSjfm, 10_lag_nhSICsep, 9_lag_traFB, 7_lag_12_median_ginwSSTjfm, 7_lag_9_median_stratZ50ndj03, 7_lag_9_median_glomaSSTjfm, 7_lag_9_median_amoSSTmjjaso, 7_lag_14_median_traEU, 12_lag_AMOCann, 7_lag_11_median_stratZ50ndj01, 7_lag_13_median_amoSSTmjjaso, 11_lag_tripol2, 8_lag_mhfATL60, 7_lag_traBS, 9_lag_gyreSSTjfm, 7_lag_10_median_neurTSjfm, 14_lag_traBS, 7_lag_14_median_atlSICsep, 7_lag_14_median_nchinaPRjja_1216_7"
LRforcedPSO,3,30,traWP,picntrl,1069.5,2050.5,0.6,18,8,8,23.642166965521955,0.052217575555277666,1216,"['8_lag_11_median_ismPRjja', '8_lag_12_median_mhfATL60', '10_lag_eapPSLjfm', '16_lag_scpPSLjfm', '8_lag_9_median_mhfATL30', '12_lag_traWP', '8_lag_13_median_nhSICsep', '8_lag_17_median_wnorPRjfm', '8_lag_9_median_ismPRjja', '8_lag_9_median_traTLS', '8_lag_12_median_amo1', '8_lag_17_median_traBS', '16_lag_gyreSSTjfm', '8_lag_9_median_traMC', '8_lag_9_median_naoPSLjfm', '12_lag_yrvPRjja', '8_lag_10_median_tripol3', '13_lag_eurPSLjfm', '8_lag_16_median_glTSjfm', '11_lag_mhfIP30', '8_lag_17_median_amo2', '8_lag_17_median_mhfATL30', '8_lag_13_median_yrvPRjja', '9_lag_traCA', '12_lag_traFS', '8_lag_13_median_wnorPRjfm', '8_lag_13_median_traEU', '17_lag_wnorPRjfm', '13_lag_arcTSjfm', '9_lag_neurTSjfm']","[2.7386040469408446, 1.886184031202374, 8.607786617203562, 6.345406490443736, 4.461721012360975, 5.492957431880043, 2.0692978619761497, 1.027761002561725, 0.11061333119742045, 4.6648957164598315, 5.478631529716909, 1.8143635822655728, 0.5150871437091968, 4.592336224715137, 7.080694825420984, 6.537293795677655, 0.21964247729697206, 9.261747728986073, 6.415150881711483, 2.4982311632428233, 6.917897422588414, 4.294282626405579, 1.515359382770976, 1.1564051489466252, 3.085356699709793, 6.687584165267671, 3.4964528779455595, 6.035380334209178, 0.28521124886642113, 1.7101528486299422]","8_lag_11_median_ismPRjja, 8_lag_12_median_mhfATL60, 10_lag_eapPSLjfm, 16_lag_scpPSLjfm, 8_lag_9_median_mhfATL30, 12_lag_traWP, 8_lag_13_median_nhSICsep, 8_lag_17_median_wnorPRjfm, 8_lag_9_median_ismPRjja, 8_lag_9_median_traTLS, 8_lag_12_median_amo1, 8_lag_17_median_traBS, 16_lag_gyreSSTjfm, 8_lag_9_median_traMC, 8_lag_9_median_naoPSLjfm, 12_lag_yrvPRjja, 8_lag_10_median_tripol3, 13_lag_eurPSLjfm, 8_lag_16_median_glTSjfm, 11_lag_mhfIP30, 8_lag_17_median_amo2, 8_lag_17_median_mhfATL30, 8_lag_13_median_yrvPRjja, 9_lag_traCA, 12_lag_traFS, 8_lag_13_median_wnorPRjfm, 8_lag_13_median_traEU, 17_lag_wnorPRjfm, 13_lag_arcTSjfm, 9_lag_neurTSjfm_1216_8"
LRforcedPSO,4,30,traWP,picntrl,1070.5,2050.5,0.6,19,9,9,22.85542878966892,-0.019719803450680872,1216,"['9_lag_15_median_tripol2', '11_lag_ormenSSTjfm', '18_lag_amo2', '9_lag_mhfATL45', '16_lag_nppc2SSTjfm', '9_lag_14_median_ismPRjja', '9_lag_10_median_glomaSSTjfm', '10_lag_shTSjfm', '9_lag_18_median_yrvPRjja', '9_lag_13_median_traTLS', '9_lag_11_median_shTSjfm', '9_lag_16_median_traIFC', '9_lag_17_median_mhfIP30', '9_lag_13_median_traWP', '9_lag_11_median_mhfATL45', '9_lag_16_median_nppc2SSTjfm', '9_lag_16_median_traFS', '9_lag_13_median_mhfIP30', '14_lag_traTLS', '10_lag_nppc3SSTjfm', '12_lag_amo1', '9_lag_13_median_tripol2', '9_lag_12_median_tripol3', '17_lag_nppc2SSTjfm', '13_lag_nchinaPRjja', '12_lag_shTSjfm', '13_lag_ginwSSTjfm', '17_lag_amoSSTmjjaso', '17_lag_atlSICsep', '12_lag_alpi']","[6.513456806038647, 4.377570452911779, 0.9586638945152437, 0.08587600767516079, 5.7892680064736135, 0.6141579630221194, 3.2123154411468846, 5.868698087703872, 6.593693585291781, 1.252364819485896, 9.850348468764146, 3.066941351846177, 2.2640470583825074, 3.585436611262093, 6.285479214562123, 6.357729687246401, 3.3950490933106137, 5.0083393564559575, 2.0059214966482557, 5.663521282952924, 3.993057544158926, 3.9787938580998823, 3.1863514028613356, 4.764016618596354, 1.8277449226081295, 6.76245205744214, 3.1573240082171194, 2.389664640509041, 3.4743307956789256, 8.869312265552555]","9_lag_15_median_tripol2, 11_lag_ormenSSTjfm, 18_lag_amo2, 9_lag_mhfATL45, 16_lag_nppc2SSTjfm, 9_lag_14_median_ismPRjja, 9_lag_10_median_glomaSSTjfm, 10_lag_shTSjfm, 9_lag_18_median_yrvPRjja, 9_lag_13_median_traTLS, 9_lag_11_median_shTSjfm, 9_lag_16_median_traIFC, 9_lag_17_median_mhfIP30, 9_lag_13_median_traWP, 9_lag_11_median_mhfATL45, 9_lag_16_median_nppc2SSTjfm, 9_lag_16_median_traFS, 9_lag_13_median_mhfIP30, 14_lag_traTLS, 10_lag_nppc3SSTjfm, 12_lag_amo1, 9_lag_13_median_tripol2, 9_lag_12_median_tripol3, 17_lag_nppc2SSTjfm, 13_lag_nchinaPRjja, 12_lag_shTSjfm, 13_lag_ginwSSTjfm, 17_lag_amoSSTmjjaso, 17_lag_atlSICsep, 12_lag_alpi_1216_9"
LRforcedPSO,5,30,traWP,picntrl,1071.5,2050.5,0.6,20,10,10,20.76553233943472,-0.003878790458016941,1216,"['10_lag_12_median_amoSSTmjjaso', '10_lag_19_median_labSSTjfm', '10_lag_18_median_labSSTjfm', '10_lag_16_median_ensoSSTjfm', '17_lag_ormenSSTjfm', '15_lag_nhSICjfm', '10_lag_traFS', '17_lag_shTSjfm', '10_lag_15_median_pdoSSTjfm', '10_lag_16_median_traEC', '10_lag_11_median_stratZ50ndj04', '10_lag_17_median_ginwSSTjfm', '11_lag_traIT', '13_lag_amo1', '13_lag_ormenSSTjfm', '12_lag_traWP', '10_lag_14_median_wnorPRjfm', '18_lag_traDP', '10_lag_11_median_cetTSjfm', '17_lag_yrvPRjja', '16_lag_traIFC', '10_lag_13_median_traMC', '14_lag_shSICsep', '11_lag_scpPSLjfm', '10_lag_16_median_stratZ50ndj03', '10_lag_17_median_naoPSLjfm', '10_lag_17_median_atlSICsep', '10_lag_14_median_stratZ50ndj04', '16_lag_mhfATL30', '16_lag_shSICsep']","[1.9919649794469034, 6.70350421614425, 3.5528180696021767, 0.46829401570964, 2.4175550589042345, 3.1956130597709187, 2.3045348772143637, 8.402599634082812, 5.443444198583038, 2.0391278758230733, 6.795401547973805, 1.6980639271880023, 2.116638780590079, 6.09174718509432, 0.13338230212249158, 4.238138357855995, 1.8012642915589154, 3.703383181276866, 2.4591332641033237, 3.1255550689088114, 4.707023319234285, 1.6099814205680438, 7.034441875278837, 2.179381734429997, 4.349762653900848, 1.7386348292796399, 3.1094380277816214, 0.4714725068325425, 2.6700870353717896, 3.1990131301181144]","10_lag_12_median_amoSSTmjjaso, 10_lag_19_median_labSSTjfm, 10_lag_18_median_labSSTjfm, 10_lag_16_median_ensoSSTjfm, 17_lag_ormenSSTjfm, 15_lag_nhSICjfm, 10_lag_traFS, 17_lag_shTSjfm, 10_lag_15_median_pdoSSTjfm, 10_lag_16_median_traEC, 10_lag_11_median_stratZ50ndj04, 10_lag_17_median_ginwSSTjfm, 11_lag_traIT, 13_lag_amo1, 13_lag_ormenSSTjfm, 12_lag_traWP, 10_lag_14_median_wnorPRjfm, 18_lag_traDP, 10_lag_11_median_cetTSjfm, 17_lag_yrvPRjja, 16_lag_traIFC, 10_lag_13_median_traMC, 14_lag_shSICsep, 11_lag_scpPSLjfm, 10_lag_16_median_stratZ50ndj03, 10_lag_17_median_naoPSLjfm, 10_lag_17_median_atlSICsep, 10_lag_14_median_stratZ50ndj04, 16_lag_mhfATL30, 16_lag_shSICsep_1216_10"
LRforcedPSO,6,30,traWP,picntrl,1072.5,2050.5,0.6,21,11,11,22.035379442535564,0.04748917108138529,1216,"['14_lag_wnorPRjfm', '16_lag_nppc3SSTjfm', '11_lag_19_median_gyreSSTjfm', '11_lag_19_median_traBO', '18_lag_traBS', '11_lag_14_median_nchinaPRjja', '11_lag_16_median_traIFC', '11_lag_19_median_tripol1', '11_lag_20_median_traTLS', '20_lag_nhSICjfm', '11_lag_12_median_samPSLann', '11_lag_traFSC', '11_lag_18_median_cetTSjfm', '16_lag_scpPSLjfm', '15_lag_atlSICjfm', '16_lag_traIFC', '11_lag_18_median_amo1', '11_lag_17_median_ginwSSTjfm', '11_lag_15_median_gyreSSTjfm', '11_lag_12_median_traBO', '12_lag_traFS', '11_lag_14_median_arcTSjfm', '20_lag_mhfATL30', '11_lag_12_median_eapPSLjfm', '14_lag_amoSSTmjjaso', '11_lag_12_median_traIFC', '11_lag_13_median_traDP', '20_lag_tripol2', '15_lag_wnorPRjfm', '14_lag_nhSICsep']","[0.21369527007097844, 1.2917661109719614, 1.9248560933780983, 2.5037797077165314, 9.241267582585685, 1.0317271637206922, 6.607113150549118, 0.10215848662768856, 1.794690236623067, 8.296055802202105, 2.324359581549997, 0.22953106130797885, 1.2185111361591545, 6.335265491168112, 8.408341607907065, 2.9554582436404804, 7.440038278293719, 7.426261520330662, 8.95312231289266, 0.3284977281418566, 7.123908043035037, 6.920491128604379, 6.419352899310442, 2.6270498137430547, 0.20245918678701713, 6.841718421319827, 4.03740356054611, 0.10886031287893871, 5.0786633841576485, 0.11687256028999826]","14_lag_wnorPRjfm, 16_lag_nppc3SSTjfm, 11_lag_19_median_gyreSSTjfm, 11_lag_19_median_traBO, 18_lag_traBS, 11_lag_14_median_nchinaPRjja, 11_lag_16_median_traIFC, 11_lag_19_median_tripol1, 11_lag_20_median_traTLS, 20_lag_nhSICjfm, 11_lag_12_median_samPSLann, 11_lag_traFSC, 11_lag_18_median_cetTSjfm, 16_lag_scpPSLjfm, 15_lag_atlSICjfm, 16_lag_traIFC, 11_lag_18_median_amo1, 11_lag_17_median_ginwSSTjfm, 11_lag_15_median_gyreSSTjfm, 11_lag_12_median_traBO, 12_lag_traFS, 11_lag_14_median_arcTSjfm, 20_lag_mhfATL30, 11_lag_12_median_eapPSLjfm, 14_lag_amoSSTmjjaso, 11_lag_12_median_traIFC, 11_lag_13_median_traDP, 20_lag_tripol2, 15_lag_wnorPRjfm, 14_lag_nhSICsep_1216_11"
LRforcedPSO,7,30,traWP,picntrl,1073.5,2050.5,0.6,22,12,12,18.85472370616569,0.06950119854382111,1216,"['21_lag_traBO', '12_lag_20_median_mhfIP30', '12_lag_15_median_traMC', '12_lag_21_median_gyreSSTjfm', '16_lag_stratZ50ndj03', '12_lag_16_median_nppc3SSTjfm', '12_lag_nchinaPRjja', '16_lag_traDP', '12_lag_15_median_stratZ50ndj02', '15_lag_stratZ50ndj02', '12_lag_14_median_nchinaPRjja', '12_lag_14_median_cetTSjfm', '13_lag_alpi', '21_lag_wnorPRjfm', '17_lag_satlSSTjfm', '12_lag_21_median_alpi', '12_lag_21_median_atlSICsep', '12_lag_13_median_amoSSTmjjaso', '12_lag_19_median_mhfATL60', '18_lag_neurTSjfm', '21_lag_eapPSLjfm', '12_lag_nppc3SSTjfm', '17_lag_tripol1', '12_lag_14_median_traIFC', '12_lag_14_median_traMC', '12_lag_17_median_nppc3SSTjfm', '20_lag_neurTSjfm', '17_lag_amo3', '12_lag_14_median_amo2', '12_lag_13_median_mhfIP30']","[2.4051427700397188, 3.8644875246688626, 6.04713358280511, 0.3865321444752894, 1.0783396474821139, 7.8925895218040125, 1.034836438847389, 0.194239349317197, 1.4242112868423806, 1.918988672235475, 8.38026483476906, 7.66480706257132, 1.518821023602177, 1.567852422875406, 0.5449839944905186, 1.9754920600379133, 5.053653583409503, 8.210717048298381, 4.487481694138189, 2.096144319431204, 2.7745704651784937, 0.813552808540905, 7.777932571210599, 4.647851704155224, 7.279008028149823, 3.5178354497530577, 1.8693782478849457, 4.770006181478195, 2.325942322106007, 5.539000911113858]","21_lag_traBO, 12_lag_20_median_mhfIP30, 12_lag_15_median_traMC, 12_lag_21_median_gyreSSTjfm, 16_lag_stratZ50ndj03, 12_lag_16_median_nppc3SSTjfm, 12_lag_nchinaPRjja, 16_lag_traDP, 12_lag_15_median_stratZ50ndj02, 15_lag_stratZ50ndj02, 12_lag_14_median_nchinaPRjja, 12_lag_14_median_cetTSjfm, 13_lag_alpi, 21_lag_wnorPRjfm, 17_lag_satlSSTjfm, 12_lag_21_median_alpi, 12_lag_21_median_atlSICsep, 12_lag_13_median_amoSSTmjjaso, 12_lag_19_median_mhfATL60, 18_lag_neurTSjfm, 21_lag_eapPSLjfm, 12_lag_nppc3SSTjfm, 17_lag_tripol1, 12_lag_14_median_traIFC, 12_lag_14_median_traMC, 12_lag_17_median_nppc3SSTjfm, 20_lag_neurTSjfm, 17_lag_amo3, 12_lag_14_median_amo2, 12_lag_13_median_mhfIP30_1216_12"
LRforcedPSO,8,30,traWP,picntrl,1074.5,2050.5,0.6,23,13,13,22.104142235069478,-0.04885673686314458,1216,"['21_lag_traEU', '13_lag_21_median_amo1', '18_lag_eurPSLjfm', '22_lag_glTSjfm', '17_lag_traIT', '13_lag_19_median_traEU', '13_lag_19_median_naoPSLjfm', '22_lag_amoSSTmjjaso', '15_lag_tripol2', '13_lag_22_median_atlSICsep', '18_lag_traIT', '13_lag_17_median_eapPSLjfm', '13_lag_20_median_stratZ50ndj01', '13_lag_21_median_traFB', '13_lag_15_median_mhfIP30', '13_lag_17_median_satlSSTjfm', '15_lag_cetTSjfm', '13_lag_18_median_arcTSjfm', '13_lag_18_median_traDP', '14_lag_nhTSjfm', '20_lag_traEU', '14_lag_traBO', '17_lag_nchinaPRjja', '13_lag_amo1', '15_lag_arcTSjfm', '13_lag_22_median_samPSLann', '13_lag_18_median_traEC', '13_lag_21_median_mhfATL60', '22_lag_traWP', '14_lag_nchinaPRjja']","[0.3606008867883581, 9.855457231943035, 4.82495625437211, 4.38896536165533, 4.170895867895668, 9.5219947746003, 0.6015428705529153, 7.462282941119007, 0.7787895364499029, 0.27772810672780324, 1.791347253887805, 0.6139242605511512, 1.2610279304918155, 7.2767768515430475, 6.250983646738042, 0.6059553333238838, 5.946800111241171, 5.602983526590597, 3.5785958754742886, 3.7728558129736056, 4.352768231929258, 0.6809848567894079, 4.010091399355953, 2.4401879312719217, 8.271954171122378, 3.840649994332619, 7.100900215193626, 4.9819235289457335, 1.2126573283923197, 0.5532981551922962]","21_lag_traEU, 13_lag_21_median_amo1, 18_lag_eurPSLjfm, 22_lag_glTSjfm, 17_lag_traIT, 13_lag_19_median_traEU, 13_lag_19_median_naoPSLjfm, 22_lag_amoSSTmjjaso, 15_lag_tripol2, 13_lag_22_median_atlSICsep, 18_lag_traIT, 13_lag_17_median_eapPSLjfm, 13_lag_20_median_stratZ50ndj01, 13_lag_21_median_traFB, 13_lag_15_median_mhfIP30, 13_lag_17_median_satlSSTjfm, 15_lag_cetTSjfm, 13_lag_18_median_arcTSjfm, 13_lag_18_median_traDP, 14_lag_nhTSjfm, 20_lag_traEU, 14_lag_traBO, 17_lag_nchinaPRjja, 13_lag_amo1, 15_lag_arcTSjfm, 13_lag_22_median_samPSLann, 13_lag_18_median_traEC, 13_lag_21_median_mhfATL60, 22_lag_traWP, 14_lag_nchinaPRjja_1216_13"
LRforcedPSO,9,30,traWP,picntrl,1075.5,2050.5,0.6,24,14,14,24.195737230671696,-0.004142169016243049,1216,"['14_lag_20_median_mhfATL60', '17_lag_naoPSLjfm', '14_lag_15_median_ormenSSTjfm', '14_lag_16_median_ismPRjja', '14_lag_19_median_shTSjfm', '22_lag_traFS', '14_lag_17_median_scpPSLjfm', '14_lag_15_median_mhfATL45', '14_lag_18_median_glomaSSTjfm', '17_lag_eurPSLjfm', '14_lag_19_median_nppc3SSTjfm', '14_lag_18_median_alpi', '18_lag_nhTSjfm', '14_lag_19_median_labSSTjfm', '14_lag_18_median_traEU', '14_lag_23_median_traBS', '20_lag_shTSjfm', '18_lag_amo2', '14_lag_19_median_ensoSSTjfm', '14_lag_18_median_traFS', '20_lag_yrvPRjja', '21_lag_arcTSjfm', '14_lag_20_median_ormenSSTjfm', '22_lag_traTLS', '21_lag_nhSICsep', '14_lag_23_median_nhSICjfm', '22_lag_traDP', '14_lag_17_median_amo2', '19_lag_stratZ50ndj02', '14_lag_22_median_labSSTjfm']","[3.141080759385191, 1.07048259337801, 5.940336643124294, 8.866915256384413, 3.909734595469578, 4.177669903290656, 2.1079874998341097, 2.0564000302378496, 9.337435752468986, 7.437552962627102, 9.758188944889831, 7.441988393106506, 0.31391248780155934, 4.624810665324102, 2.810262939678707, 6.979957492182805, 0.6537587643997753, 1.6110171823370862, 6.34023595687523, 3.6269963083738705, 0.0163908310562082, 0.09345512301696068, 8.192117974520297, 1.3858033169374835, 1.7490279589662947, 5.0560876122843545, 8.164333798597468, 9.887567855101224, 3.0785040013881755, 3.1763817520880195]","14_lag_20_median_mhfATL60, 17_lag_naoPSLjfm, 14_lag_15_median_ormenSSTjfm, 14_lag_16_median_ismPRjja, 14_lag_19_median_shTSjfm, 22_lag_traFS, 14_lag_17_median_scpPSLjfm, 14_lag_15_median_mhfATL45, 14_lag_18_median_glomaSSTjfm, 17_lag_eurPSLjfm, 14_lag_19_median_nppc3SSTjfm, 14_lag_18_median_alpi, 18_lag_nhTSjfm, 14_lag_19_median_labSSTjfm, 14_lag_18_median_traEU, 14_lag_23_median_traBS, 20_lag_shTSjfm, 18_lag_amo2, 14_lag_19_median_ensoSSTjfm, 14_lag_18_median_traFS, 20_lag_yrvPRjja, 21_lag_arcTSjfm, 14_lag_20_median_ormenSSTjfm, 22_lag_traTLS, 21_lag_nhSICsep, 14_lag_23_median_nhSICjfm, 22_lag_traDP, 14_lag_17_median_amo2, 19_lag_stratZ50ndj02, 14_lag_22_median_labSSTjfm_1216_14"
