model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,6,traWP,picntrl,1514.5,2050.5,0.6,15,1,1,13.316685118049348,0.041515839258037424,1728,"['12_lag_naoPSLjfm', '1_lag_traFS', '13_lag_satlSSTjfm', '12_lag_traFS', '13_lag_stratZ50ndj04', '14_lag_traFS']","[0.14545496471705555, 0.23715131023682734, 0.21061173011716816, 0.26070128285424893, 0.0318127171712857, 0.05124302294397744]","12_lag_naoPSLjfm, 1_lag_traFS, 13_lag_satlSSTjfm, 12_lag_traFS, 13_lag_stratZ50ndj04, 14_lag_traFS_1728_1"
LinearRegression,1,6,traWP,picntrl,1515.5,2050.5,0.6,16,1,1,13.30666305623589,0.04412227791781043,1856,"['13_lag_stratZ50ndj04', '13_lag_satlSSTjfm', '12_lag_traFS', '1_lag_traFS', '15_lag_shSICmar', '14_lag_traFS']","[0.005234121553504964, 0.19726650823893038, 0.26376740910702523, 0.23072004488282521, 0.1083629558853659, 0.06917656161016578]","13_lag_stratZ50ndj04, 13_lag_satlSSTjfm, 12_lag_traFS, 1_lag_traFS, 15_lag_shSICmar, 14_lag_traFS_1856_1"
LinearRegression,2,6,traWP,picntrl,1516.5,2050.5,0.6,17,1,1,13.414885965932287,0.07455473364527918,1984,"['15_lag_shSICmar', '12_lag_traFS', '14_lag_traFS', '13_lag_satlSSTjfm', '1_lag_traFS', '1_lag_traIT']","[0.10031176617150359, 0.2635323166550794, 0.07230392975423318, 0.2062248299285906, 0.2333151056873847, 0.14986509988871122]","15_lag_shSICmar, 12_lag_traFS, 14_lag_traFS, 13_lag_satlSSTjfm, 1_lag_traFS, 1_lag_traIT_1984_1"
LinearRegression,3,6,traWP,picntrl,1517.5,2050.5,0.6,18,1,1,13.726383975874556,0.018580553502467585,2112,"['12_lag_traFS', '14_lag_traFS', '1_lag_traFS', '1_lag_traMC', '13_lag_stratZ50ndj04', '13_lag_satlSSTjfm']","[0.2779551685952428, 0.06932699021418542, 0.25599975058580243, 0.25808009589898645, 0.0026057624555481645, 0.18552285271670768]","12_lag_traFS, 14_lag_traFS, 1_lag_traFS, 1_lag_traMC, 13_lag_stratZ50ndj04, 13_lag_satlSSTjfm_2112_1"
LinearRegression,4,6,traWP,picntrl,1518.5,2050.5,0.6,19,1,1,13.442100267259985,0.00470765888162936,2240,"['16_lag_mhfIP30', '14_lag_traFS', '1_lag_traFS', '12_lag_traFS', '13_lag_satlSSTjfm', '18_lag_stratZ50ndj03']","[0.1095974603554468, 0.07505687588965074, 0.2466064419428162, 0.2711594609565239, 0.2025844131225189, 0.081364330909255]","16_lag_mhfIP30, 14_lag_traFS, 1_lag_traFS, 12_lag_traFS, 13_lag_satlSSTjfm, 18_lag_stratZ50ndj03_2240_1"
LinearRegression,5,6,traWP,picntrl,1519.5,2050.5,0.6,20,1,1,13.260243685767225,0.02786772546227576,2368,"['14_lag_traFS', '13_lag_stratZ50ndj04', '1_lag_traFS', '12_lag_traFS', '18_lag_stratZ50ndj03', '13_lag_satlSSTjfm']","[0.0635632983930534, 0.004784898957533978, 0.24978087393382395, 0.2561409438152472, 0.08270741888192877, 0.20623971606282335]","14_lag_traFS, 13_lag_stratZ50ndj04, 1_lag_traFS, 12_lag_traFS, 18_lag_stratZ50ndj03, 13_lag_satlSSTjfm_2368_1"
LinearRegression,6,6,traWP,picntrl,1520.5,2050.5,0.6,21,1,1,13.848892240881366,-0.04689550384996198,2496,"['1_lag_traIT', '20_lag_satlSSTjfm', '18_lag_stratZ50ndj03', '16_lag_nchinaPRjja', '12_lag_traFS', '13_lag_satlSSTjfm']","[0.13944404646237285, 0.08485728625954034, 0.06637938454083009, 0.13666211871142325, 0.28164639561269234, 0.25844826039255947]","1_lag_traIT, 20_lag_satlSSTjfm, 18_lag_stratZ50ndj03, 16_lag_nchinaPRjja, 12_lag_traFS, 13_lag_satlSSTjfm_2496_1"
LinearRegression,7,6,traWP,picntrl,1521.5,2050.5,0.6,22,2,2,13.828961378906827,-0.0038074777457087995,2496,"['5_lag_traTLS', '12_lag_traFS', '13_lag_satlSSTjfm', '20_lag_satlSSTjfm', '2_lag_traEU', '2_lag_alpi']","[0.15198742282135502, 0.27407750310904067, 0.23346411227847036, 0.05554977465594703, 0.22589755382908175, 0.16424197227617954]","5_lag_traTLS, 12_lag_traFS, 13_lag_satlSSTjfm, 20_lag_satlSSTjfm, 2_lag_traEU, 2_lag_alpi_2496_2"
LinearRegression,8,6,traWP,picntrl,1522.5,2050.5,0.6,23,3,5,13.47212887499617,0.023956308660960345,2496,"['22_lag_satlSSTjfm', '17_lag_eapPSLjfm', '12_lag_ismPRjja', '12_lag_traFS', '20_lag_satlSSTjfm', '5_lag_traTLS']","[0.10750520616854589, 0.10534503697368294, 0.01862908632157479, 0.30152629615606774, 0.1572178208110519, 0.1151777717461667]","22_lag_satlSSTjfm, 17_lag_eapPSLjfm, 12_lag_ismPRjja, 12_lag_traFS, 20_lag_satlSSTjfm, 5_lag_traTLS_2496_5"
LinearRegression,9,6,traWP,picntrl,1523.5,2050.5,0.6,24,4,4,13.57542763033236,-0.05693834457698195,2496,"['20_lag_satlSSTjfm', '18_lag_stratZ50ndj03', '5_lag_traTLS', '4_lag_5_median_traTLS', '12_lag_traFS', '23_lag_traTLS']","[0.1380564399618848, 0.07504783507977913, 0.05578281513877416, 0.055782815138774186, 0.2893290785100839, 0.02309257427620373]","20_lag_satlSSTjfm, 18_lag_stratZ50ndj03, 5_lag_traTLS, 4_lag_5_median_traTLS, 12_lag_traFS, 23_lag_traTLS_2496_4"
LinearRegression,10,6,traWP,picntrl,1524.5,2050.5,0.6,25,5,5,13.482178968725727,-0.011432788632474657,2496,"['24_lag_amo1', '5_lag_traTLS', '15_lag_nhSICsep', '24_lag_alpi', '18_lag_stratZ50ndj03', '12_lag_traFS']","[0.03952474835396616, 0.11192940867424003, 0.08380778401631288, 0.09045725539140595, 0.08631721241441886, 0.32099317175974357]","24_lag_amo1, 5_lag_traTLS, 15_lag_nhSICsep, 24_lag_alpi, 18_lag_stratZ50ndj03, 12_lag_traFS_2496_5"
LinearRegression,11,6,traWP,picntrl,1525.5,2050.5,0.6,26,6,6,13.318708268709832,0.0013232561659643324,2496,"['10_lag_tripol3', '11_lag_seurTSjfm', '24_lag_amo1', '12_lag_traFS', '6_lag_traFB', '18_lag_stratZ50ndj03']","[0.08323284265748826, 0.12334176892378715, 0.07126100466270102, 0.24066644628590655, 0.2900146541018682, 0.09176978881190026]","10_lag_tripol3, 11_lag_seurTSjfm, 24_lag_amo1, 12_lag_traFS, 6_lag_traFB, 18_lag_stratZ50ndj03_2496_6"
