model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,6,tripol1,picntrl,1066.5,2050.5,0.6,15,5,5,14.409322750057667,-0.026480497744553293,1216,"['10_lag_AMOCann', '14_lag_shSICsep', '5_lag_12_median_shSICmar', '5_lag_9_median_wnorPRjfm', '5_lag_10_median_traIFC', '5_lag_traEU']","[0.13610120558810787, 0.11014731066393009, 0.12157623012253178, 0.2104483090611885, 0.06755558543325557, 0.03218516793959867]","10_lag_AMOCann, 14_lag_shSICsep, 5_lag_12_median_shSICmar, 5_lag_9_median_wnorPRjfm, 5_lag_10_median_traIFC, 5_lag_traEU_1216_5"
LinearRegression,1,6,tripol1,picntrl,1067.5,2050.5,0.6,16,6,6,14.007934731231638,0.009525775871972729,1216,"['6_lag_9_median_tripol3', '6_lag_9_median_nppc2SSTjfm', '6_lag_15_median_nppc2SSTjfm', '6_lag_9_median_wnorPRjfm', '11_lag_samPSLann', '11_lag_traEC']","[0.1477556021740361, 0.19586056421720693, 0.3706642626973304, 0.17457740361815985, 0.015203460157297469, 0.03969946826364662]","6_lag_9_median_tripol3, 6_lag_9_median_nppc2SSTjfm, 6_lag_15_median_nppc2SSTjfm, 6_lag_9_median_wnorPRjfm, 11_lag_samPSLann, 11_lag_traEC_1216_6"
LinearRegression,2,6,tripol1,picntrl,1068.5,2050.5,0.6,17,7,7,14.536335486025587,-0.12406406692168956,1216,"['7_lag_16_median_ensoSSTjfm', '13_lag_scpPSLjfm', '7_lag_13_median_samPSLann', '7_lag_10_median_cetTSjfm', '7_lag_11_median_traIT', '12_lag_samPSLann']","[0.33670076379885067, 0.03191485226068737, 0.16953599626654828, 0.17192527437830177, 0.027182402946959408, 0.05843648691625209]","7_lag_16_median_ensoSSTjfm, 13_lag_scpPSLjfm, 7_lag_13_median_samPSLann, 7_lag_10_median_cetTSjfm, 7_lag_11_median_traIT, 12_lag_samPSLann_1216_7"
LinearRegression,3,6,tripol1,picntrl,1069.5,2050.5,0.6,18,8,8,13.911776489840243,0.09137856442561389,1216,"['8_lag_15_median_nppc2SSTjfm', '8_lag_13_median_eurPSLjfm', '8_lag_14_median_traDS', '8_lag_16_median_nppc2SSTjfm', '10_lag_ensoSSTjfm', '12_lag_samPSLann']","[0.11744842841843582, 0.1914272042788654, 0.20408746638092257, 0.355049608921778, 0.05485016299830461, 0.03914765589154215]","8_lag_15_median_nppc2SSTjfm, 8_lag_13_median_eurPSLjfm, 8_lag_14_median_traDS, 8_lag_16_median_nppc2SSTjfm, 10_lag_ensoSSTjfm, 12_lag_samPSLann_1216_8"
LinearRegression,4,6,tripol1,picntrl,1070.5,2050.5,0.6,19,9,9,14.859802429074326,0.08946203354142791,1216,"['13_lag_AMOCann', '9_lag_15_median_glTSjfm', '17_lag_glomaSSTjfm', '9_lag_12_median_traBO', '15_lag_mhfATL30', '9_lag_14_median_nhTSjfm']","[0.07044502223951617, 0.34435675616357564, 0.22178520451560052, 0.038996441106953925, 0.11950625235328866, 0.1625053497777034]","13_lag_AMOCann, 9_lag_15_median_glTSjfm, 17_lag_glomaSSTjfm, 9_lag_12_median_traBO, 15_lag_mhfATL30, 9_lag_14_median_nhTSjfm_1216_9"
LinearRegression,5,6,tripol1,picntrl,1071.5,2050.5,0.6,20,10,10,14.825433267536035,0.06072321958414449,1216,"['10_lag_13_median_traTLS', '10_lag_15_median_pdoSSTjfm', '17_lag_mhfATL30', '10_lag_mhfATL45', '14_lag_glomaSSTjfm', '10_lag_19_median_arcTSjfm']","[0.12423545406875372, 0.2602288478112594, 0.15314981047635323, 0.23368768710189194, 0.12216166430313, 0.13728635300055833]","10_lag_13_median_traTLS, 10_lag_15_median_pdoSSTjfm, 17_lag_mhfATL30, 10_lag_mhfATL45, 14_lag_glomaSSTjfm, 10_lag_19_median_arcTSjfm_1216_10"
LinearRegression,6,6,tripol1,picntrl,1072.5,2050.5,0.6,21,11,11,13.935752488061187,-0.006252169001642707,1216,"['17_lag_labSSTjfm', '17_lag_arcTSjfm', '11_lag_18_median_mhfATL45', '16_lag_mhfATL45', '15_lag_mhfATL30', '17_lag_mhfATL30']","[0.008273919885497746, 0.10946463525250509, 0.010203980117498027, 0.029361196642908705, 0.059733054242074264, 0.13084900411042227]","17_lag_labSSTjfm, 17_lag_arcTSjfm, 11_lag_18_median_mhfATL45, 16_lag_mhfATL45, 15_lag_mhfATL30, 17_lag_mhfATL30_1216_11"
LinearRegression,7,6,tripol1,picntrl,1073.5,2050.5,0.6,22,12,12,14.944095029098202,0.0029729016697999733,1216,"['17_lag_glomaSSTjfm', '17_lag_amo2', '18_lag_shTSjfm', '16_lag_mhfATL30', '12_lag_21_median_traWP', '17_lag_mhfATL30']","[0.2195317015386463, 0.19897676342500822, 0.09673618533884529, 0.12282030768622447, 0.011094391558082787, 0.14876062253224026]","17_lag_glomaSSTjfm, 17_lag_amo2, 18_lag_shTSjfm, 16_lag_mhfATL30, 12_lag_21_median_traWP, 17_lag_mhfATL30_1216_12"
LinearRegression,8,6,tripol1,picntrl,1074.5,2050.5,0.6,23,13,13,14.166137398196389,-0.05387694396096357,1216,"['13_lag_18_median_traFB', '18_lag_AMOCann', '17_lag_amo2', '17_lag_mhfATL30', '13_lag_naoPSLjfm', '13_lag_22_median_amo3']","[0.031129015917163053, 0.04683725788061087, 0.15996526134217887, 0.16320878729011595, 0.011764839746939234, 0.0387733532023695]","13_lag_18_median_traFB, 18_lag_AMOCann, 17_lag_amo2, 17_lag_mhfATL30, 13_lag_naoPSLjfm, 13_lag_22_median_amo3_1216_13"
LinearRegression,9,6,tripol1,picntrl,1075.5,2050.5,0.6,24,14,14,13.99325626298337,-0.011078810889405911,1216,"['14_lag_23_median_traFB', '14_lag_labSSTjfm', '22_lag_mhfATL45', '18_lag_AMOCann', '14_lag_18_median_tripol1', '17_lag_mhfATL30']","[0.1331359321729252, 0.060369381682518375, 0.05586271273600015, 0.029897743154195022, 0.0021473276084978438, 0.11003766863779024]","14_lag_23_median_traFB, 14_lag_labSSTjfm, 22_lag_mhfATL45, 18_lag_AMOCann, 14_lag_18_median_tripol1, 17_lag_mhfATL30_1216_14"
