model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,tripol3,picntrl,1514.5,2050.5,0.8,15,1,1,16.933925978870608,-0.19482555582899197,1728,"['9_lag_eurPSLjfm', '13_lag_arcTSjfm', '12_lag_traBS', '8_lag_amo3', '1_lag_9_median_traFB', '1_lag_14_median_stratZ50ndj01', '1_lag_4_median_glomaSSTjfm', '1_lag_5_median_stratZ50ndj01', '4_lag_traFS', '1_lag_13_median_amo2']","[1.309893831392376, 3.8244092190839574, 1.8432180995687109, 2.4805578045078676, 4.973485766636269, 0.4633797215765245, 0.17848305566049483, 4.211909365842212, 0.7387833017428491, 4.943379809977553]","9_lag_eurPSLjfm, 13_lag_arcTSjfm, 12_lag_traBS, 8_lag_amo3, 1_lag_9_median_traFB, 1_lag_14_median_stratZ50ndj01, 1_lag_4_median_glomaSSTjfm, 1_lag_5_median_stratZ50ndj01, 4_lag_traFS, 1_lag_13_median_amo2_1728_1"
LRforcedPSO,1,10,tripol3,picntrl,1515.5,2050.5,0.8,16,1,1,18.374737290980832,-0.15899103212334245,1856,"['7_lag_stratZ50ndj03', '1_lag_14_median_labSSTjfm', '1_lag_10_median_traBS', '1_lag_9_median_traBS', '1_lag_12_median_traFB', '5_lag_traFSC', '1_lag_12_median_nhSICjfm', '13_lag_nhSICjfm', '5_lag_amo2', '1_lag_15_median_stratZ50ndj03']","[4.271670790457682, 1.3263827396813141, 9.376580594000728, 6.615142924051744, 1.3805498592669743, 1.7308369039946907, 5.992229293703923, 4.764624652432074, 3.995133334189667, 8.62837644027994]","7_lag_stratZ50ndj03, 1_lag_14_median_labSSTjfm, 1_lag_10_median_traBS, 1_lag_9_median_traBS, 1_lag_12_median_traFB, 5_lag_traFSC, 1_lag_12_median_nhSICjfm, 13_lag_nhSICjfm, 5_lag_amo2, 1_lag_15_median_stratZ50ndj03_1856_1"
LRforcedPSO,2,10,tripol3,picntrl,1516.5,2050.5,0.8,17,1,1,17.76511622761899,0.027434285006931694,1984,"['12_lag_traBO', '1_lag_4_median_shTSjfm', '1_lag_12_median_pdoSSTjfm', '1_lag_3_median_stratZ50ndj01', '1_lag_14_median_nhSICjfm', '9_lag_ensoSSTjfm', '1_lag_12_median_traDS', '14_lag_mhfATL45', '1_lag_8_median_ormenSSTjfm', '15_lag_eurPSLjfm']","[5.884823914307297, 8.71231637639671, 3.1102600372159266, 4.250212353355408, 3.184492722652794, 0.43045645784158815, 7.4526154496277, 0.19052617355262136, 5.204860521392467, 2.124277823077067]","12_lag_traBO, 1_lag_4_median_shTSjfm, 1_lag_12_median_pdoSSTjfm, 1_lag_3_median_stratZ50ndj01, 1_lag_14_median_nhSICjfm, 9_lag_ensoSSTjfm, 1_lag_12_median_traDS, 14_lag_mhfATL45, 1_lag_8_median_ormenSSTjfm, 15_lag_eurPSLjfm_1984_1"
LRforcedPSO,3,10,tripol3,picntrl,1517.5,2050.5,0.8,18,1,1,17.672423582182823,-0.13043284588553877,2112,"['15_lag_ensoSSTjfm', '1_lag_12_median_neurTSjfm', '1_lag_15_median_nppc2SSTjfm', '1_lag_8_median_stratZ50ndj02', '1_lag_17_median_traDS', '16_lag_eurPSLjfm', '4_lag_glTSjfm', '4_lag_traFSC', '11_lag_shSICsep', '1_lag_2_median_traWP']","[7.581783419370652, 4.063012152275958, 2.061927049211847, 4.169859956601078, 3.146652336863758, 3.348822545938532, 4.291194047081358, 1.1285114107045846, 3.2863784198341435, 3.7669936403092414]","15_lag_ensoSSTjfm, 1_lag_12_median_neurTSjfm, 1_lag_15_median_nppc2SSTjfm, 1_lag_8_median_stratZ50ndj02, 1_lag_17_median_traDS, 16_lag_eurPSLjfm, 4_lag_glTSjfm, 4_lag_traFSC, 11_lag_shSICsep, 1_lag_2_median_traWP_2112_1"
LRforcedPSO,4,10,tripol3,picntrl,1518.5,2050.5,0.8,19,1,1,16.683161691169623,0.08936711005130167,2240,"['16_lag_labSSTjfm', '1_lag_12_median_traMC', '1_lag_4_median_amo2', '1_lag_10_median_stratZ50ndj03', '1_lag_5_median_stratZ50ndj03', '12_lag_nhTSjfm', '17_lag_amoSSTmjjaso', '1_lag_2_median_traFSC', '1_lag_16_median_nchinaPRjja', '5_lag_gyreSSTjfm']","[2.9432869207701433, 4.93849161472121, 0.876753022752176, 2.3689325423742673, 6.565608683538262, 1.7587778319341414, 2.138402744149632, 5.591435018595883, 5.643615170426489, 5.970922118047919]","16_lag_labSSTjfm, 1_lag_12_median_traMC, 1_lag_4_median_amo2, 1_lag_10_median_stratZ50ndj03, 1_lag_5_median_stratZ50ndj03, 12_lag_nhTSjfm, 17_lag_amoSSTmjjaso, 1_lag_2_median_traFSC, 1_lag_16_median_nchinaPRjja, 5_lag_gyreSSTjfm_2240_1"
LRforcedPSO,5,10,tripol3,picntrl,1519.5,2050.5,0.8,20,1,1,16.560621812002587,0.03620267473007835,2368,"['1_lag_5_median_traEC', '1_lag_16_median_traEU', '17_lag_pdoSSTjfm', '9_lag_nhTSjfm', '1_lag_mhfATL45', '1_lag_2_median_neurTSjfm', '8_lag_neurTSjfm', '18_lag_traIT', '6_lag_labSSTjfm', '1_lag_6_median_tripol1']","[0.6188232909903153, 1.5256179339849538, 2.5867887026333243, 1.0951781947229389, 4.981072141136691, 4.264632259656953, 8.315705282455355, 5.9052125563078555, 1.0245316982896675, 5.661422880050506]","1_lag_5_median_traEC, 1_lag_16_median_traEU, 17_lag_pdoSSTjfm, 9_lag_nhTSjfm, 1_lag_mhfATL45, 1_lag_2_median_neurTSjfm, 8_lag_neurTSjfm, 18_lag_traIT, 6_lag_labSSTjfm, 1_lag_6_median_tripol1_2368_1"
LRforcedPSO,6,10,tripol3,picntrl,1520.5,2050.5,0.8,21,1,1,16.40709855691759,0.04431045514404047,2496,"['17_lag_amo2', '12_lag_alpi', '18_lag_traBO', '1_lag_11_median_traFB', '1_lag_15_median_tripol3', '1_lag_9_median_amo3', '1_lag_7_median_amo1', '1_lag_17_median_neurTSjfm', '17_lag_atlSICjfm', '12_lag_scpPSLjfm']","[4.946381435175368, 8.095024769295627, 1.4496586041233215, 4.064092107648911, 5.2186358793194625, 0.4036615933312344, 0.1955751607648022, 0.3926317879884511, 1.3976605501438186, 4.380869468930088]","17_lag_amo2, 12_lag_alpi, 18_lag_traBO, 1_lag_11_median_traFB, 1_lag_15_median_tripol3, 1_lag_9_median_amo3, 1_lag_7_median_amo1, 1_lag_17_median_neurTSjfm, 17_lag_atlSICjfm, 12_lag_scpPSLjfm_2496_1"
LRforcedPSO,7,10,tripol3,picntrl,1521.5,2050.5,0.8,22,1,1,18.590753934775506,-0.17466341292393303,2624,"['19_lag_traFB', '1_lag_5_median_traFB', '12_lag_samPSLann', '1_lag_14_median_seurTSjfm', '9_lag_glTSjfm', '1_lag_19_median_mhfIP30', '1_lag_7_median_nppc2SSTjfm', '1_lag_9_median_scpPSLjfm', '20_lag_tripol1', '1_lag_13_median_arcTSjfm']","[1.4090478775857225, 2.6437832123243368, 2.0838213540194506, 0.551037126771055, 9.322719258963595, 3.286948309271076, 4.231362568875813, 0.665143992133741, 4.44375642609967, 3.9727595661220017]","19_lag_traFB, 1_lag_5_median_traFB, 12_lag_samPSLann, 1_lag_14_median_seurTSjfm, 9_lag_glTSjfm, 1_lag_19_median_mhfIP30, 1_lag_7_median_nppc2SSTjfm, 1_lag_9_median_scpPSLjfm, 20_lag_tripol1, 1_lag_13_median_arcTSjfm_2624_1"
LRforcedPSO,8,10,tripol3,picntrl,1522.5,2050.5,0.8,23,1,1,15.977099516527907,-0.2193122152154196,2752,"['16_lag_tripol2', '19_lag_traEU', '11_lag_amo2', '1_lag_5_median_tripol1', '1_lag_20_median_amoSSTmjjaso', '16_lag_yrvPRjja', '16_lag_traFSC', '1_lag_14_median_traMC', '1_lag_16_median_shSICsep', '1_lag_8_median_nppc2SSTjfm']","[0.6440847001726624, 0.4873907945411311, 5.550932226106122, 0.22506077330035623, 0.5535817866749824, 2.361765733255381, 1.4303520556263507, 4.406387881116345, 4.099315073281245, 2.666904342947385]","16_lag_tripol2, 19_lag_traEU, 11_lag_amo2, 1_lag_5_median_tripol1, 1_lag_20_median_amoSSTmjjaso, 16_lag_yrvPRjja, 16_lag_traFSC, 1_lag_14_median_traMC, 1_lag_16_median_shSICsep, 1_lag_8_median_nppc2SSTjfm_2752_1"
LRforcedPSO,9,10,tripol3,picntrl,1523.5,2050.5,0.8,24,1,1,15.841255735219232,0.0406963445734362,2880,"['1_lag_4_median_traIT', '1_lag_7_median_glomaSSTjfm', '1_lag_8_median_traCA', '11_lag_stratZ50ndj02', '12_lag_traBS', '1_lag_21_median_shTSjfm', '22_lag_naoPSLjfm', '14_lag_traFB', '3_lag_ginwSSTjfm', '1_lag_17_median_scpPSLjfm']","[1.1833754514471462, 0.9282341353496459, 2.3215844113680735, 2.5919878072126004, 3.081108872137772, 4.707348820418279, 5.384729384723228, 4.709867650134534, 3.158127075866549, 1.9117658532478181]","1_lag_4_median_traIT, 1_lag_7_median_glomaSSTjfm, 1_lag_8_median_traCA, 11_lag_stratZ50ndj02, 12_lag_traBS, 1_lag_21_median_shTSjfm, 22_lag_naoPSLjfm, 14_lag_traFB, 3_lag_ginwSSTjfm, 1_lag_17_median_scpPSLjfm_2880_1"
LRforcedPSO,10,10,tripol3,picntrl,1524.5,2050.5,0.8,25,1,1,16.307606721770522,-0.05916966039193124,3008,"['24_lag_traIT', '1_lag_18_median_atlSICsep', '1_lag_10_median_mhfATL60', '1_lag_14_median_stratZ50ndj04', '1_lag_16_median_stratZ50ndj03', '1_lag_15_median_nppc2SSTjfm', '1_lag_18_median_neurTSjfm', '17_lag_traCA', '1_lag_tripol3', '1_lag_20_median_atlSICjfm']","[6.9614472191412915, 2.3181405048850845, 2.688358622064973, 7.960408479716876, 1.6512702302158644, 4.582570179168821, 0.9298667613848259, 0.7941095230162531, 0.3610238611203833, 3.6887074230403005]","24_lag_traIT, 1_lag_18_median_atlSICsep, 1_lag_10_median_mhfATL60, 1_lag_14_median_stratZ50ndj04, 1_lag_16_median_stratZ50ndj03, 1_lag_15_median_nppc2SSTjfm, 1_lag_18_median_neurTSjfm, 17_lag_traCA, 1_lag_tripol3, 1_lag_20_median_atlSICjfm_3008_1"
LRforcedPSO,11,10,tripol3,picntrl,1525.5,2050.5,0.8,26,1,1,14.462307355639581,0.01286416938779578,3136,"['1_lag_23_median_nhSICsep', '21_lag_traCA', '13_lag_nppc2SSTjfm', '24_lag_traDP', '1_lag_21_median_satlSSTjfm', '1_lag_19_median_stratZ50ndj02', '1_lag_6_median_glomaSSTjfm', '1_lag_7_median_tripol2', '1_lag_15_median_traIFC', '1_lag_6_median_eapPSLjfm']","[6.214594472941151, 1.6892401843600418, 0.2108292059145338, 6.035086484574613, 5.225446431231864, 1.673649151166238, 1.513762181535391, 1.1325539729797018, 6.699957695953622, 0.32676230749126844]","1_lag_23_median_nhSICsep, 21_lag_traCA, 13_lag_nppc2SSTjfm, 24_lag_traDP, 1_lag_21_median_satlSSTjfm, 1_lag_19_median_stratZ50ndj02, 1_lag_6_median_glomaSSTjfm, 1_lag_7_median_tripol2, 1_lag_15_median_traIFC, 1_lag_6_median_eapPSLjfm_3136_1"
