model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,wnorPRjfm,picntrl,1066.5,2050.5,0.6,15,1,1,16.278129584945106,0.07869309454824909,1728,"['1_lag_7_median_nchinaPRjja', '4_lag_atlSICjfm', '5_lag_atlSICjfm', '5_lag_atlSICsep', '8_lag_nchinaPRjja', '14_lag_ismPRjja', '3_lag_nhTSjfm', '13_lag_shTSjfm', '14_lag_traDP', '3_lag_traDS']","[0.42270891492560914, 2.100544612771033, 5.350247732690033, 1.6690947319961396, 1.0329870578901996, 2.301969719656995, 2.4346137657426192, 6.32632002875653, 2.341832623709097, 2.423351012823396]","1_lag_7_median_nchinaPRjja, 4_lag_atlSICjfm, 5_lag_atlSICjfm, 5_lag_atlSICsep, 8_lag_nchinaPRjja, 14_lag_ismPRjja, 3_lag_nhTSjfm, 13_lag_shTSjfm, 14_lag_traDP, 3_lag_traDS_1728_1"
LRforcedPSO,1,10,wnorPRjfm,picntrl,1067.5,2050.5,0.6,16,1,1,15.93459482466927,-0.03557283710014114,1856,"['9_lag_traDS', '1_lag_4_median_mhfATL45', '5_lag_ormenSSTjfm', '1_lag_8_median_nhSICjfm', '5_lag_eurPSLjfm', '3_lag_amo3', '3_lag_AMOCann', '1_lag_6_median_traDS', '1_lag_nhTSjfm', '1_lag_2_median_yrvPRjja']","[0.39901762279943576, 2.4341735036722723, 2.3595500369851194, 3.333857951206971, 3.145531225957569, 1.6456915814100128, 0.0830068184007775, 2.8112784253803884, 0.10991542642271668, 2.5961011275075734]","9_lag_traDS, 1_lag_4_median_mhfATL45, 5_lag_ormenSSTjfm, 1_lag_8_median_nhSICjfm, 5_lag_eurPSLjfm, 3_lag_amo3, 3_lag_AMOCann, 1_lag_6_median_traDS, 1_lag_nhTSjfm, 1_lag_2_median_yrvPRjja_1856_1"
LRforcedPSO,2,10,wnorPRjfm,picntrl,1068.5,2050.5,0.6,17,1,1,17.736800198794317,0.026515214579573516,1984,"['1_lag_15_median_stratZ50ndj04', '1_lag_3_median_tripol2', '1_lag_11_median_traMC', '1_lag_2_median_traIT', '1_lag_3_median_nchinaPRjja', '4_lag_arcTSjfm', '1_lag_7_median_stratZ50ndj03', '1_lag_14_median_traMC', '9_lag_nppc3SSTjfm', '1_lag_14_median_wnorPRjfm']","[5.3505023071774875, 4.23287397202521, 3.9072029112879374, 1.3242435211088939, 3.2351365458349735, 4.257197845227989, 1.6090580385555846, 0.8918814428297335, 5.404600963980775, 5.16470942913589]","1_lag_15_median_stratZ50ndj04, 1_lag_3_median_tripol2, 1_lag_11_median_traMC, 1_lag_2_median_traIT, 1_lag_3_median_nchinaPRjja, 4_lag_arcTSjfm, 1_lag_7_median_stratZ50ndj03, 1_lag_14_median_traMC, 9_lag_nppc3SSTjfm, 1_lag_14_median_wnorPRjfm_1984_1"
LRforcedPSO,3,10,wnorPRjfm,picntrl,1069.5,2050.5,0.6,18,1,1,16.753453143902934,0.027268140646669346,2112,"['1_lag_2_median_stratZ50ndj02', '1_lag_10_median_mhfATL30', '13_lag_stratZ50ndj02', '1_lag_10_median_gyreSSTjfm', '1_lag_6_median_atlSICjfm', '10_lag_stratZ50ndj02', '12_lag_mhfATL60', '2_lag_pdoSSTjfm', '1_lag_4_median_nhSICsep', '10_lag_eapPSLjfm']","[2.844234008211542, 1.0663657214715556, 1.867932497202185, 4.545418402468351, 5.535899392704131, 2.873667192780884, 4.0406099295544, 6.697218988456976, 2.677000233995642, 3.2087672052601235]","1_lag_2_median_stratZ50ndj02, 1_lag_10_median_mhfATL30, 13_lag_stratZ50ndj02, 1_lag_10_median_gyreSSTjfm, 1_lag_6_median_atlSICjfm, 10_lag_stratZ50ndj02, 12_lag_mhfATL60, 2_lag_pdoSSTjfm, 1_lag_4_median_nhSICsep, 10_lag_eapPSLjfm_2112_1"
LRforcedPSO,4,10,wnorPRjfm,picntrl,1070.5,2050.5,0.6,19,1,1,16.859167079914048,-0.09028115296048267,2240,"['1_lag_18_median_mhfATL30', '3_lag_amo1', '6_lag_arcTSjfm', '17_lag_nchinaPRjja', '1_lag_9_median_stratZ50ndj03', '16_lag_shSICsep', '9_lag_shSICsep', '1_lag_5_median_traFB', '13_lag_seurTSjfm', '1_lag_6_median_eapPSLjfm']","[2.00488853965229, 1.945819320493598, 5.5315370188370405, 3.35801379263871, 1.5652727020178183, 2.200992354924292, 0.6033558985847449, 1.3540838561996615, 3.947287366482634, 2.948016876724113]","1_lag_18_median_mhfATL30, 3_lag_amo1, 6_lag_arcTSjfm, 17_lag_nchinaPRjja, 1_lag_9_median_stratZ50ndj03, 16_lag_shSICsep, 9_lag_shSICsep, 1_lag_5_median_traFB, 13_lag_seurTSjfm, 1_lag_6_median_eapPSLjfm_2240_1"
LRforcedPSO,5,10,wnorPRjfm,picntrl,1071.5,2050.5,0.6,20,1,1,17.410251907235356,0.008277462779237724,2368,"['13_lag_arcTSjfm', '12_lag_shSICmar', '1_lag_8_median_shTSjfm', '13_lag_mhfATL30', '1_lag_4_median_traFSC', '7_lag_satlSSTjfm', '9_lag_traIFC', '6_lag_stratZ50ndj04', '1_lag_15_median_traFB', '1_lag_6_median_nhTSjfm']","[1.4868776223053874, 8.355270731580305, 5.061799828175031, 5.713828205597167, 2.4676506361739783, 4.069771249678668, 4.147883666908472, 0.6935165022860534, 0.06812613300407477, 2.098058630454336]","13_lag_arcTSjfm, 12_lag_shSICmar, 1_lag_8_median_shTSjfm, 13_lag_mhfATL30, 1_lag_4_median_traFSC, 7_lag_satlSSTjfm, 9_lag_traIFC, 6_lag_stratZ50ndj04, 1_lag_15_median_traFB, 1_lag_6_median_nhTSjfm_2368_1"
LRforcedPSO,6,10,wnorPRjfm,picntrl,1072.5,2050.5,0.6,21,1,1,17.261632961535383,0.02197971646041911,2496,"['20_lag_traFS', '13_lag_glomaSSTjfm', '1_lag_13_median_nhSICjfm', '1_lag_13_median_atlSICjfm', '1_lag_18_median_traDP', '1_lag_5_median_traTLS', '8_lag_yrvPRjja', '1_lag_20_median_wnorPRjfm', '1_lag_11_median_ensoSSTjfm', '16_lag_mhfATL45']","[0.7237315387785692, 5.650916087944808, 2.1717750041726287, 1.8547558938979734, 4.7822153307840445, 4.532178548602424, 1.6084565993118467, 6.899475343085173, 3.2874576541637612, 2.0586512609120398]","20_lag_traFS, 13_lag_glomaSSTjfm, 1_lag_13_median_nhSICjfm, 1_lag_13_median_atlSICjfm, 1_lag_18_median_traDP, 1_lag_5_median_traTLS, 8_lag_yrvPRjja, 1_lag_20_median_wnorPRjfm, 1_lag_11_median_ensoSSTjfm, 16_lag_mhfATL45_2496_1"
LRforcedPSO,7,10,wnorPRjfm,picntrl,1073.5,2050.5,0.6,22,2,2,16.638992728619428,0.010140409660317365,2496,"['2_lag_7_median_cetTSjfm', '5_lag_mhfATL45', '5_lag_AMOCann', '2_lag_9_median_nppc2SSTjfm', '2_lag_18_median_nppc2SSTjfm', '2_lag_samPSLann', '15_lag_mhfATL30', '2_lag_8_median_eapPSLjfm', '2_lag_5_median_atlSICsep', '2_lag_7_median_amo3']","[2.6408482385504524, 5.575099260031296, 7.439700657733756, 3.898270197076055, 1.2062850880481477, 3.863083602980426, 2.3951184300401422, 0.30613679727976617, 3.1091520220813713, 5.216716652469935]","2_lag_7_median_cetTSjfm, 5_lag_mhfATL45, 5_lag_AMOCann, 2_lag_9_median_nppc2SSTjfm, 2_lag_18_median_nppc2SSTjfm, 2_lag_samPSLann, 15_lag_mhfATL30, 2_lag_8_median_eapPSLjfm, 2_lag_5_median_atlSICsep, 2_lag_7_median_amo3_2496_2"
LRforcedPSO,8,10,wnorPRjfm,picntrl,1074.5,2050.5,0.6,23,3,3,17.14078176563105,-0.01045505794851776,2496,"['19_lag_pdoSSTjfm', '9_lag_labSSTjfm', '15_lag_nppc2SSTjfm', '7_lag_glomaSSTjfm', '8_lag_seurTSjfm', '20_lag_mhfATL30', '3_lag_5_median_shSICmar', '3_lag_8_median_traDP', '3_lag_22_median_gyreSSTjfm', '3_lag_8_median_satlSSTjfm']","[4.749716584626087, 5.358991622677978, 2.099025128835428, 4.325600771417104, 1.841421545824831, 3.4966173735206123, 0.1645110091266151, 6.701611231110046, 0.056296218010770005, 5.687404314016611]","19_lag_pdoSSTjfm, 9_lag_labSSTjfm, 15_lag_nppc2SSTjfm, 7_lag_glomaSSTjfm, 8_lag_seurTSjfm, 20_lag_mhfATL30, 3_lag_5_median_shSICmar, 3_lag_8_median_traDP, 3_lag_22_median_gyreSSTjfm, 3_lag_8_median_satlSSTjfm_2496_3"
LRforcedPSO,9,10,wnorPRjfm,picntrl,1075.5,2050.5,0.6,24,4,4,17.95458807215387,-0.022066923756829303,2496,"['18_lag_traEC', '4_lag_7_median_ginwSSTjfm', '4_lag_14_median_yrvPRjja', '4_lag_12_median_nhSICjfm', '19_lag_scpPSLjfm', '4_lag_7_median_traFS', '23_lag_mhfATL60', '19_lag_mhfATL60', '12_lag_naoPSLjfm', '4_lag_7_median_shTSjfm']","[1.2239958217048024, 2.145136981329352, 5.27483361699354, 0.10822349427992606, 5.18237766941632, 3.434853904317441, 1.3072367827666564, 2.9975146824803023, 1.3841216301562849, 7.259618758857536]","18_lag_traEC, 4_lag_7_median_ginwSSTjfm, 4_lag_14_median_yrvPRjja, 4_lag_12_median_nhSICjfm, 19_lag_scpPSLjfm, 4_lag_7_median_traFS, 23_lag_mhfATL60, 19_lag_mhfATL60, 12_lag_naoPSLjfm, 4_lag_7_median_shTSjfm_2496_4"
