model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
RandomForestRegressor,0,6,yrvPRjja,picntrl,1066.5,2050.5,0.6,15,1,1,13.287653903436041,-0.054750808383419745,1728,"['13_lag_traDS', '5_lag_mhfATL45', '10_lag_amo3', '1_lag_7_median_satlSSTjfm', '6_lag_glTSjfm', '5_lag_traEC']","[0.16656330106219983, 0.16956693207654983, 0.16109958248880288, 0.15698837091373902, 0.18369894721116473, 0.16208286624754378]","13_lag_traDS, 5_lag_mhfATL45, 10_lag_amo3, 1_lag_7_median_satlSSTjfm, 6_lag_glTSjfm, 5_lag_traEC_1728_1"
RandomForestRegressor,1,6,yrvPRjja,picntrl,1067.5,2050.5,0.6,16,1,1,13.133467790339504,-0.02163841924859416,1856,"['5_lag_mhfATL45', '13_lag_traDS', '10_lag_amo3', '1_lag_7_median_satlSSTjfm', '6_lag_glTSjfm', '5_lag_traEC']","[0.1616416575562442, 0.17082982849057776, 0.16669953339899196, 0.15566792149698003, 0.17677772501303027, 0.16838333404417577]","5_lag_mhfATL45, 13_lag_traDS, 10_lag_amo3, 1_lag_7_median_satlSSTjfm, 6_lag_glTSjfm, 5_lag_traEC_1856_1"
RandomForestRegressor,2,6,yrvPRjja,picntrl,1068.5,2050.5,0.6,17,1,1,13.482748575704491,-0.010126445836810556,1984,"['13_lag_nchinaPRjja', '10_lag_amo3', '1_lag_7_median_satlSSTjfm', '5_lag_mhfATL45', '6_lag_glTSjfm', '5_lag_traEC']","[0.18426913046593735, 0.1671279183077092, 0.1518361423964122, 0.16984706110851655, 0.16897967636133454, 0.15794007136009028]","13_lag_nchinaPRjja, 10_lag_amo3, 1_lag_7_median_satlSSTjfm, 5_lag_mhfATL45, 6_lag_glTSjfm, 5_lag_traEC_1984_1"
RandomForestRegressor,3,6,yrvPRjja,picntrl,1069.5,2050.5,0.6,18,1,1,13.222779825067429,-0.03247017289450015,2112,"['1_lag_17_median_ensoSSTjfm', '13_lag_traDS', '10_lag_amo3', '1_lag_7_median_satlSSTjfm', '6_lag_glTSjfm', '5_lag_traEC']","[0.1564787368348491, 0.17657466897019533, 0.163721475191088, 0.1551688175231737, 0.17460592684794093, 0.17345037463275298]","1_lag_17_median_ensoSSTjfm, 13_lag_traDS, 10_lag_amo3, 1_lag_7_median_satlSSTjfm, 6_lag_glTSjfm, 5_lag_traEC_2112_1"
RandomForestRegressor,4,6,yrvPRjja,picntrl,1070.5,2050.5,0.6,19,1,1,13.253465603444576,-0.03049611701752367,2240,"['1_lag_17_median_ensoSSTjfm', '10_lag_amo3', '13_lag_traDS', '1_lag_7_median_satlSSTjfm', '6_lag_glTSjfm', '5_lag_traEC']","[0.14933868309153678, 0.16938309671860033, 0.16531599623848228, 0.1564410752876086, 0.18355137159422347, 0.17596977706954853]","1_lag_17_median_ensoSSTjfm, 10_lag_amo3, 13_lag_traDS, 1_lag_7_median_satlSSTjfm, 6_lag_glTSjfm, 5_lag_traEC_2240_1"
RandomForestRegressor,5,6,yrvPRjja,picntrl,1071.5,2050.5,0.6,20,1,1,13.124070046182002,-0.014848279823689504,2368,"['1_lag_17_median_ensoSSTjfm', '13_lag_traDS', '10_lag_amo3', '1_lag_7_median_satlSSTjfm', '6_lag_glTSjfm', '5_lag_traEC']","[0.15155935312929136, 0.17451940539557, 0.16812523530220727, 0.15455237645149042, 0.17927851532164005, 0.171965114399801]","1_lag_17_median_ensoSSTjfm, 13_lag_traDS, 10_lag_amo3, 1_lag_7_median_satlSSTjfm, 6_lag_glTSjfm, 5_lag_traEC_2368_1"
RandomForestRegressor,6,6,yrvPRjja,picntrl,1072.5,2050.5,0.6,21,1,1,13.238692863474627,-0.029491579075930394,2496,"['1_lag_17_median_ensoSSTjfm', '13_lag_traDS', '10_lag_amo3', '1_lag_7_median_satlSSTjfm', '6_lag_glTSjfm', '5_lag_traEC']","[0.15898619740015976, 0.17230575112838867, 0.16328569842883173, 0.1541407394219288, 0.17697881311508415, 0.17430280050560693]","1_lag_17_median_ensoSSTjfm, 13_lag_traDS, 10_lag_amo3, 1_lag_7_median_satlSSTjfm, 6_lag_glTSjfm, 5_lag_traEC_2496_1"
RandomForestRegressor,7,6,yrvPRjja,picntrl,1073.5,2050.5,0.6,22,1,1,13.76926172602961,-0.0799004947833474,2624,"['3_lag_nppc2SSTjfm', '13_lag_traDS', '1_lag_7_median_satlSSTjfm', '10_lag_amo3', '6_lag_glTSjfm', '5_lag_traEC']","[0.17907315247877298, 0.16645463966081245, 0.15539492731869936, 0.1509946184163233, 0.17412417976775724, 0.17395848235763484]","3_lag_nppc2SSTjfm, 13_lag_traDS, 1_lag_7_median_satlSSTjfm, 10_lag_amo3, 6_lag_glTSjfm, 5_lag_traEC_2624_1"
RandomForestRegressor,8,6,yrvPRjja,picntrl,1074.5,2050.5,0.6,23,1,1,13.89534227659051,-0.0295376006679255,2752,"['1_lag_17_median_ensoSSTjfm', '3_lag_nppc2SSTjfm', '1_lag_7_median_satlSSTjfm', '10_lag_amo3', '6_lag_glTSjfm', '5_lag_traEC']","[0.14758652064278655, 0.1808359074834872, 0.15952916343622126, 0.16114032846272963, 0.18371496081297312, 0.16719311916180227]","1_lag_17_median_ensoSSTjfm, 3_lag_nppc2SSTjfm, 1_lag_7_median_satlSSTjfm, 10_lag_amo3, 6_lag_glTSjfm, 5_lag_traEC_2752_1"
RandomForestRegressor,9,6,yrvPRjja,picntrl,1075.5,2050.5,0.6,24,1,1,13.680540259955096,-0.019506583521816112,2880,"['1_lag_17_median_ensoSSTjfm', '10_lag_amo3', '3_lag_nppc2SSTjfm', '1_lag_7_median_satlSSTjfm', '6_lag_glTSjfm', '5_lag_traEC']","[0.14599839484297544, 0.16384272260883273, 0.18283017799102913, 0.15617456616285483, 0.17936216304224484, 0.17179197535206303]","1_lag_17_median_ensoSSTjfm, 10_lag_amo3, 3_lag_nppc2SSTjfm, 1_lag_7_median_satlSSTjfm, 6_lag_glTSjfm, 5_lag_traEC_2880_1"
