model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,6,AMOCann,shigh,1514.5,2005.5,0.6,15,1,1,9.190350102376204,0.6905550743595555,594,"['14_lag_eapPSLjfm', '11_lag_nhSICsep', '1_lag_9_median_amo2', '1_lag_8_median_eapPSLjfm', '1_lag_14_median_nppc2SSTjfm', '1_lag_6_median_amo3']","[1.1525009913766233, 0.37366614971772627, 3.518259412820517, 3.638589366392127, 0.04621658685601915, 2.1727374645238093]","14_lag_eapPSLjfm, 11_lag_nhSICsep, 1_lag_9_median_amo2, 1_lag_8_median_eapPSLjfm, 1_lag_14_median_nppc2SSTjfm, 1_lag_6_median_amo3_594_1"
LRforcedPSO,1,6,AMOCann,shigh,1515.5,2005.5,0.6,16,1,1,13.336403923197595,-0.14262589272949225,638,"['12_lag_stratZ50ndj03', '12_lag_atlSICjfm', '10_lag_naoPSLjfm', '1_lag_8_median_solFORC', '1_lag_14_median_nhSICsep', '9_lag_amo1']","[1.3592755629347062, 1.5980586180625218, 1.7148441372101582, 1.8073663982599861, 1.698011559116281, 1.4545984322485397]","12_lag_stratZ50ndj03, 12_lag_atlSICjfm, 10_lag_naoPSLjfm, 1_lag_8_median_solFORC, 1_lag_14_median_nhSICsep, 9_lag_amo1_638_1"
LRforcedPSO,2,6,AMOCann,shigh,1516.5,2005.5,0.6,17,1,1,13.162820155007026,0.4425920939625699,682,"['1_lag_11_median_nhSICsep', '1_lag_7_median_eapPSLjfm', '1_lag_nhSICjfm', '13_lag_nhSICjfm', '2_lag_shSICmar', '7_lag_nppc2SSTjfm']","[7.969763048409959, 1.430587208684365, 9.912775222080795, 1.343656539059488, 1.5679927932336728, 0.8437029269950695]","1_lag_11_median_nhSICsep, 1_lag_7_median_eapPSLjfm, 1_lag_nhSICjfm, 13_lag_nhSICjfm, 2_lag_shSICmar, 7_lag_nppc2SSTjfm_682_1"
LRforcedPSO,3,6,AMOCann,shigh,1517.5,2005.5,0.6,18,1,1,17.511897363014462,-0.22326535998958486,726,"['3_lag_naoPSLjfm', '1_lag_5_median_stratZ50ndj03', '13_lag_stratZ50ndj02', '1_lag_8_median_amoSSTjfm', '13_lag_amo1', '8_lag_atlSICjfm']","[0.9518099908710553, 7.088093283820451, 3.993443479266382, 1.7215572151464222, 2.649217550749623, 0.8992764609192694]","3_lag_naoPSLjfm, 1_lag_5_median_stratZ50ndj03, 13_lag_stratZ50ndj02, 1_lag_8_median_amoSSTjfm, 13_lag_amo1, 8_lag_atlSICjfm_726_1"
LRforcedPSO,4,6,AMOCann,shigh,1518.5,2005.5,0.6,19,1,1,15.759017195859581,0.044677316779202884,770,"['9_lag_solFORC', '2_lag_solFORC', '3_lag_eurPSLjfm', '1_lag_12_median_atlSICjfm', '2_lag_nhSICjfm', '17_lag_shSICsep']","[1.6734489509131212, 2.852394850148457, 6.123667420323688, 2.378442832571217, 3.248875864203427, 1.3425457532094587]","9_lag_solFORC, 2_lag_solFORC, 3_lag_eurPSLjfm, 1_lag_12_median_atlSICjfm, 2_lag_nhSICjfm, 17_lag_shSICsep_770_1"
LRforcedPSO,5,6,AMOCann,shigh,1519.5,2005.5,0.6,20,1,1,21.13089087774148,-0.46671604585190757,814,"['11_lag_scpPSLjfm', '10_lag_amo2', '1_lag_10_median_shSICsep', '1_lag_10_median_nppc2SSTjfm', '1_lag_10_median_atlSICsep', '18_lag_stratZ50ndj03']","[0.20332098143123467, 2.061598307651554, 3.634053350469193, 2.432877979440619, 1.2377729525154244, 4.40275743574329]","11_lag_scpPSLjfm, 10_lag_amo2, 1_lag_10_median_shSICsep, 1_lag_10_median_nppc2SSTjfm, 1_lag_10_median_atlSICsep, 18_lag_stratZ50ndj03_814_1"
LRforcedPSO,6,6,AMOCann,shigh,1520.5,2005.5,0.6,21,1,1,15.744770932946455,-0.2723439058422676,858,"['1_lag_9_median_eurPSLjfm', '1_lag_16_median_amoSSTjfm', '1_lag_12_median_amoSSTmjjaso', '10_lag_shSICmar', '1_lag_atlSICsep', '1_lag_13_median_naoPSLjfm']","[1.935569411747167, 1.9325394054351066, 1.9535560446542222, 2.323865917903761, 2.575584285338607, 2.4096333310461797]","1_lag_9_median_eurPSLjfm, 1_lag_16_median_amoSSTjfm, 1_lag_12_median_amoSSTmjjaso, 10_lag_shSICmar, 1_lag_atlSICsep, 1_lag_13_median_naoPSLjfm_858_1"
LRforcedPSO,7,6,AMOCann,shigh,1521.5,2005.5,0.6,22,1,1,12.360250709968563,0.45319501375994203,902,"['1_lag_17_median_amo1', '9_lag_stratZ50ndj03', '1_lag_21_median_naoPSLjfm', '1_lag_14_median_stratZ50ndj04', '6_lag_eapPSLjfm', '8_lag_atlSICjfm']","[2.4775286919353614, 1.8581467861868834, 1.8583959781227866, 2.4744848214739683, 1.8581469611674415, 1.8583729142490817]","1_lag_17_median_amo1, 9_lag_stratZ50ndj03, 1_lag_21_median_naoPSLjfm, 1_lag_14_median_stratZ50ndj04, 6_lag_eapPSLjfm, 8_lag_atlSICjfm_902_1"
LRforcedPSO,8,6,AMOCann,shigh,1522.5,2005.5,0.6,23,1,1,12.412683744397171,0.28710710919430876,946,"['1_lag_19_median_stratZ50ndj01', '11_lag_amo1', '1_lag_7_median_nhSICjfm', '14_lag_nppc2SSTjfm', '21_lag_nppc2SSTjfm', '1_lag_22_median_amo2']","[1.4988600715594995, 1.7648183252266272, 1.8641601762210755, 1.5052215810156606, 1.625317514987916, 1.399055653664445]","1_lag_19_median_stratZ50ndj01, 11_lag_amo1, 1_lag_7_median_nhSICjfm, 14_lag_nppc2SSTjfm, 21_lag_nppc2SSTjfm, 1_lag_22_median_amo2_946_1"
LRforcedPSO,9,6,AMOCann,shigh,1523.5,2005.5,0.6,24,1,1,8.775362845790427,0.7417620731638049,990,"['1_lag_7_median_AMOCann', '2_lag_nhSICsep', '1_lag_21_median_stratZ50ndj01', '16_lag_amo2', '1_lag_3_median_amoSSTmjjaso', '1_lag_3_median_amo1']","[6.238780827439911, 0.11935878508383446, 0.059546509679176296, 1.494236424959059, 2.767540045280974, 6.163024431690085]","1_lag_7_median_AMOCann, 2_lag_nhSICsep, 1_lag_21_median_stratZ50ndj01, 16_lag_amo2, 1_lag_3_median_amoSSTmjjaso, 1_lag_3_median_amo1_990_1"
