model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,30,alpi,shigh,866.5,2005.5,0.6,15,1,1,29.423256476230073,0.046151782686925304,1755,"['2_lag_labSSTjfm', '6_lag_wnorPRjfm', '5_lag_eapPSLjfm', '2_lag_traTLS', '1_lag_5_median_mhfIP30', '1_lag_11_median_mhfIP30', '11_lag_stratZ50ndj01', '1_lag_10_median_traFS', '1_lag_6_median_samPSLann', '9_lag_amo2', '1_lag_14_median_traIFC', '1_lag_10_median_tripol2', '1_lag_7_median_nchinaPRjja', '4_lag_nppc2SSTjfm', '12_lag_glomaSSTjfm', '1_lag_10_median_shSICsep', '1_lag_4_median_nppc3SSTjfm', '5_lag_shSICmar', '1_lag_8_median_mhfIP30', '10_lag_eurPSLjfm', '3_lag_amo2', '1_lag_7_median_tripol1', '14_lag_atlSICjfm', '1_lag_13_median_nhTSjfm', '1_lag_6_median_eapPSLjfm', '4_lag_tripol3', '1_lag_3_median_traMC', '1_lag_12_median_nhTSjfm', '6_lag_alpi', '2_lag_amo1']","[7.7011203512344295, 4.16673880553085, 1.6376843867911735, 7.261726458807372, 2.607033004258237, 5.278036251550042, 6.943801472401599, 5.666396341117372, 1.2287106617332189, 0.7524663693393059, 2.3137479352337165, 1.7535803880171752, 2.5947874414624437, 8.49778319117711, 9.478230231830725, 0.5193967360430651, 8.202675933855865, 5.652490538690844, 3.7951550007359653, 0.9482478484327501, 5.204820285379734, 2.8342611034877443, 2.4864767452035217, 4.251680579276222, 3.319261185955078, 0.9550549463266833, 4.075957411309979, 2.348364735438759, 5.629479757685338, 1.7647519876423061]","2_lag_labSSTjfm, 6_lag_wnorPRjfm, 5_lag_eapPSLjfm, 2_lag_traTLS, 1_lag_5_median_mhfIP30, 1_lag_11_median_mhfIP30, 11_lag_stratZ50ndj01, 1_lag_10_median_traFS, 1_lag_6_median_samPSLann, 9_lag_amo2, 1_lag_14_median_traIFC, 1_lag_10_median_tripol2, 1_lag_7_median_nchinaPRjja, 4_lag_nppc2SSTjfm, 12_lag_glomaSSTjfm, 1_lag_10_median_shSICsep, 1_lag_4_median_nppc3SSTjfm, 5_lag_shSICmar, 1_lag_8_median_mhfIP30, 10_lag_eurPSLjfm, 3_lag_amo2, 1_lag_7_median_tripol1, 14_lag_atlSICjfm, 1_lag_13_median_nhTSjfm, 1_lag_6_median_eapPSLjfm, 4_lag_tripol3, 1_lag_3_median_traMC, 1_lag_12_median_nhTSjfm, 6_lag_alpi, 2_lag_amo1_1755_1"
LRforcedPSO,1,30,alpi,shigh,867.5,2005.5,0.6,16,1,1,29.166826913864323,0.013177167285337993,1885,"['1_lag_traBO', '1_lag_6_median_mhfATL60', '9_lag_traWP', '9_lag_ginwSSTjfm', '1_lag_12_median_tripol3', '4_lag_neurTSjfm', '5_lag_scpPSLjfm', '10_lag_traTLS', '1_lag_6_median_traMC', '1_lag_11_median_traWP', '15_lag_traIT', '3_lag_alpi', '5_lag_pdoSSTjfm', '1_lag_9_median_gyreSSTjfm', '1_lag_3_median_traIT', '1_lag_10_median_stratZ50ndj02', '3_lag_scpPSLjfm', '1_lag_10_median_glTSjfm', '1_lag_2_median_pdoSSTjfm', '15_lag_mhfATL30', '1_lag_10_median_traBO', '1_lag_3_median_amo3', '1_lag_13_median_traCA', '1_lag_2_median_amo2', '1_lag_6_median_satlSSTjfm', '1_lag_5_median_samPSLann', '1_lag_6_median_naoPSLjfm', '6_lag_traEU', '1_lag_14_median_atlSICsep', '3_lag_traEC']","[5.68976017716329, 0.5663601891935759, 3.669714473428747, 4.064181968912511, 2.6505484829529546, 5.930986217063148, 2.8668902087042962, 7.065587961808355, 9.835802386957411, 2.198907579585489, 2.0367041874748004, 0.7076025205792256, 2.53188265117484, 8.835669776345906, 0.24334971047084153, 9.426513543669778, 2.3588191640196854, 7.888969869846283, 4.741351481503251, 2.020308104457662, 9.967201266244526, 5.1263066316995705, 2.5259879136729104, 6.809699302058952, 8.801281297858704, 2.23975734507923, 6.961801400565757, 3.630163108408272, 2.0128641398221365, 0.6547278005939177]","1_lag_traBO, 1_lag_6_median_mhfATL60, 9_lag_traWP, 9_lag_ginwSSTjfm, 1_lag_12_median_tripol3, 4_lag_neurTSjfm, 5_lag_scpPSLjfm, 10_lag_traTLS, 1_lag_6_median_traMC, 1_lag_11_median_traWP, 15_lag_traIT, 3_lag_alpi, 5_lag_pdoSSTjfm, 1_lag_9_median_gyreSSTjfm, 1_lag_3_median_traIT, 1_lag_10_median_stratZ50ndj02, 3_lag_scpPSLjfm, 1_lag_10_median_glTSjfm, 1_lag_2_median_pdoSSTjfm, 15_lag_mhfATL30, 1_lag_10_median_traBO, 1_lag_3_median_amo3, 1_lag_13_median_traCA, 1_lag_2_median_amo2, 1_lag_6_median_satlSSTjfm, 1_lag_5_median_samPSLann, 1_lag_6_median_naoPSLjfm, 6_lag_traEU, 1_lag_14_median_atlSICsep, 3_lag_traEC_1885_1"
LRforcedPSO,2,30,alpi,shigh,868.5,2005.5,0.6,17,1,1,24.324037182898543,0.029667801655786516,2015,"['1_lag_16_median_pdoSSTjfm', '1_lag_8_median_atlSICjfm', '15_lag_traCA', '1_lag_8_median_scpPSLjfm', '9_lag_pdoSSTjfm', '11_lag_mhfATL30', '12_lag_traWP', '12_lag_wnorPRjfm', '7_lag_nhTSjfm', '1_lag_8_median_arcTSjfm', '16_lag_glomaSSTjfm', '1_lag_3_median_amo2', '1_lag_nhSICsep', '5_lag_satlSSTjfm', '1_lag_14_median_atlSICsep', '16_lag_seurTSjfm', '1_lag_9_median_scpPSLjfm', '10_lag_neurTSjfm', '1_lag_2_median_traCA', '9_lag_tripol1', '1_lag_7_median_arcTSjfm', '6_lag_glomaSSTjfm', '1_lag_5_median_mhfIP30', '1_lag_5_median_wnorPRjfm', '8_lag_traIT', '12_lag_nppc3SSTjfm', '14_lag_solFORC', '5_lag_traFB', '11_lag_satlSSTjfm', '11_lag_stratZ50ndj03']","[1.0131072351578645, 4.258887610165624, 9.841461057790298, 5.24607117627562, 0.664374228441245, 4.156613541467795, 8.754062840089357, 0.23634321614246012, 5.561562572672596, 6.095051790151205, 3.4060716162680755, 4.0108764853625285, 2.676176127362444, 0.17561339536388232, 7.923883624742608, 3.6936939737634766, 2.2247741551842033, 2.566707889333893, 0.3256414594531378, 1.3308468576183188, 5.505137074549877, 1.4239010165600057, 3.5849745164419673, 1.9171104970530877, 1.301578125433906, 1.7917404410475086, 0.16755742061232048, 1.4057021163060242, 4.2278767456910575, 1.544009172243424]","1_lag_16_median_pdoSSTjfm, 1_lag_8_median_atlSICjfm, 15_lag_traCA, 1_lag_8_median_scpPSLjfm, 9_lag_pdoSSTjfm, 11_lag_mhfATL30, 12_lag_traWP, 12_lag_wnorPRjfm, 7_lag_nhTSjfm, 1_lag_8_median_arcTSjfm, 16_lag_glomaSSTjfm, 1_lag_3_median_amo2, 1_lag_nhSICsep, 5_lag_satlSSTjfm, 1_lag_14_median_atlSICsep, 16_lag_seurTSjfm, 1_lag_9_median_scpPSLjfm, 10_lag_neurTSjfm, 1_lag_2_median_traCA, 9_lag_tripol1, 1_lag_7_median_arcTSjfm, 6_lag_glomaSSTjfm, 1_lag_5_median_mhfIP30, 1_lag_5_median_wnorPRjfm, 8_lag_traIT, 12_lag_nppc3SSTjfm, 14_lag_solFORC, 5_lag_traFB, 11_lag_satlSSTjfm, 11_lag_stratZ50ndj03_2015_1"
LRforcedPSO,3,30,alpi,shigh,869.5,2005.5,0.6,18,1,1,27.13956147146152,-0.005377077295965356,2145,"['16_lag_traBO', '1_lag_traEC', '1_lag_2_median_glomaSSTjfm', '1_lag_3_median_traEC', '7_lag_samPSLann', '1_lag_11_median_ginwSSTjfm', '1_lag_4_median_nhSICsep', '17_lag_traIFC', '1_lag_2_median_nhTSjfm', '16_lag_glomaSSTjfm', '1_lag_3_median_amo1', '8_lag_labSSTjfm', '3_lag_traIT', '7_lag_traDP', '11_lag_tripol3', '1_lag_10_median_traFSC', '5_lag_shSICsep', '1_lag_4_median_traIT', '1_lag_13_median_seurTSjfm', '1_lag_16_median_solFORC', '1_lag_15_median_seurTSjfm', '1_lag_17_median_naoPSLjfm', '17_lag_tripol1', '1_lag_3_median_nppc3SSTjfm', '1_lag_2_median_traFB', '10_lag_traDS', '5_lag_traIT', '7_lag_traFSC', '1_lag_13_median_glTSjfm', '1_lag_5_median_shSICsep']","[2.662456262872709, 0.9859472525377555, 5.713920700023207, 9.00733322852629, 9.44944349940798, 7.346025154977259, 9.782709159175337, 4.114967518164267, 0.8847101242834743, 3.559185312051789, 0.4642370727094729, 5.619262567232357, 3.074195076308662, 8.701317838081447, 0.6111137735506702, 0.26821151720989533, 3.261589891938108, 0.8747784429231551, 6.473769946330123, 8.395173278330518, 2.643319751184647, 1.8613585683798526, 1.3995599722057293, 3.377910783668363, 3.988684843035667, 7.711950045600524, 3.4525323069538487, 5.649795725160935, 1.7298163718790267, 5.787609777272941]","16_lag_traBO, 1_lag_traEC, 1_lag_2_median_glomaSSTjfm, 1_lag_3_median_traEC, 7_lag_samPSLann, 1_lag_11_median_ginwSSTjfm, 1_lag_4_median_nhSICsep, 17_lag_traIFC, 1_lag_2_median_nhTSjfm, 16_lag_glomaSSTjfm, 1_lag_3_median_amo1, 8_lag_labSSTjfm, 3_lag_traIT, 7_lag_traDP, 11_lag_tripol3, 1_lag_10_median_traFSC, 5_lag_shSICsep, 1_lag_4_median_traIT, 1_lag_13_median_seurTSjfm, 1_lag_16_median_solFORC, 1_lag_15_median_seurTSjfm, 1_lag_17_median_naoPSLjfm, 17_lag_tripol1, 1_lag_3_median_nppc3SSTjfm, 1_lag_2_median_traFB, 10_lag_traDS, 5_lag_traIT, 7_lag_traFSC, 1_lag_13_median_glTSjfm, 1_lag_5_median_shSICsep_2145_1"
LRforcedPSO,4,30,alpi,shigh,870.5,2005.5,0.6,19,1,1,28.75268212793875,0.025781416255995906,2275,"['1_lag_18_median_tripol1', '8_lag_nhTSjfm', '1_lag_7_median_nppc2SSTjfm', '1_lag_4_median_AMOCann', '1_lag_8_median_tripol2', '1_lag_13_median_amo3', '1_lag_14_median_tripol2', '6_lag_traCA', '1_lag_13_median_tripol3', '1_lag_3_median_neurTSjfm', '11_lag_eurPSLjfm', '14_lag_neurTSjfm', '7_lag_traBS', '15_lag_shTSjfm', '1_lag_15_median_nhTSjfm', '1_lag_7_median_tripol1', '1_lag_6_median_stratZ50ndj03', '16_lag_AMOCann', '1_lag_9_median_yrvPRjja', '6_lag_solFORC', '1_lag_10_median_labSSTjfm', '1_lag_14_median_stratZ50ndj04', '1_lag_14_median_shSICmar', '1_lag_11_median_stratZ50ndj04', '9_lag_tripol1', '1_lag_10_median_mhfATL30', '1_lag_nhSICsep', '12_lag_satlSSTjfm', '1_lag_4_median_solFORC', '13_lag_nhSICsep']","[3.4089806813662786, 2.983411441564158, 1.73401978753882, 3.3794872721082436, 9.893260662180584, 4.845321771581348, 2.4719744027520862, 4.917252008601725, 0.20013389611444055, 5.477689515715438, 0.48871875726513636, 3.824528333269164, 1.5704570271061797, 2.354351312469573, 2.014779158229718, 4.303218153463167, 4.360367877255838, 1.2068660182024153, 2.4239275091342076, 4.012061799170883, 3.4420729694777012, 2.6674642450407626, 6.856739238108354, 3.474440198056474, 3.014627093805089, 1.455889058422235, 5.291709857887794, 6.0345669790275664, 3.276496111408848, 5.10986396312367]","1_lag_18_median_tripol1, 8_lag_nhTSjfm, 1_lag_7_median_nppc2SSTjfm, 1_lag_4_median_AMOCann, 1_lag_8_median_tripol2, 1_lag_13_median_amo3, 1_lag_14_median_tripol2, 6_lag_traCA, 1_lag_13_median_tripol3, 1_lag_3_median_neurTSjfm, 11_lag_eurPSLjfm, 14_lag_neurTSjfm, 7_lag_traBS, 15_lag_shTSjfm, 1_lag_15_median_nhTSjfm, 1_lag_7_median_tripol1, 1_lag_6_median_stratZ50ndj03, 16_lag_AMOCann, 1_lag_9_median_yrvPRjja, 6_lag_solFORC, 1_lag_10_median_labSSTjfm, 1_lag_14_median_stratZ50ndj04, 1_lag_14_median_shSICmar, 1_lag_11_median_stratZ50ndj04, 9_lag_tripol1, 1_lag_10_median_mhfATL30, 1_lag_nhSICsep, 12_lag_satlSSTjfm, 1_lag_4_median_solFORC, 13_lag_nhSICsep_2275_1"
LRforcedPSO,5,30,alpi,shigh,871.5,2005.5,0.6,20,1,1,27.014302276320024,0.053071962719019275,2405,"['1_lag_8_median_nhSICjfm', '16_lag_traTLS', '12_lag_stratZ50ndj04', '12_lag_shSICmar', '1_lag_13_median_tripol3', '7_lag_stratZ50ndj02', '1_lag_3_median_traDS', '1_lag_2_median_arcTSjfm', '1_lag_16_median_amo2', '1_lag_13_median_tripol1', '1_lag_10_median_eurPSLjfm', '8_lag_nppc2SSTjfm', '10_lag_mhfATL45', '1_lag_15_median_stratZ50ndj03', '1_lag_14_median_tripol1', '1_lag_9_median_nppc3SSTjfm', '1_lag_12_median_tripol1', '1_lag_4_median_pdoSSTjfm', '1_lag_3_median_nhSICsep', '17_lag_traDP', '8_lag_pdoSSTjfm', '17_lag_traCA', '13_lag_AMOCann', '1_lag_16_median_traBO', '1_lag_5_median_eurPSLjfm', '17_lag_ismPRjja', '15_lag_amo1', '1_lag_18_median_traIT', '1_lag_shSICsep', '5_lag_traDS']","[1.390297100834374, 7.2476429511817955, 0.8027690880555483, 4.860092505601569, 3.9493508822402603, 0.8858572874296673, 3.840326900329355, 5.372073024582429, 2.2748734623063065, 8.002326805048831, 4.039747318511564, 4.051326743723922, 7.869345230628472, 7.224213382095769, 7.1183994044947045, 1.1624288653592973, 7.801172451225117, 5.927138595332311, 9.300988075394386, 1.6128789000947137, 9.091992940388959, 6.829722371019642, 3.9712729785858194, 1.2105001870231824, 1.2682789100492862, 1.8708522643111873, 3.842571506861322, 2.3286724773817724, 2.811831099300772, 1.0724886384799923]","1_lag_8_median_nhSICjfm, 16_lag_traTLS, 12_lag_stratZ50ndj04, 12_lag_shSICmar, 1_lag_13_median_tripol3, 7_lag_stratZ50ndj02, 1_lag_3_median_traDS, 1_lag_2_median_arcTSjfm, 1_lag_16_median_amo2, 1_lag_13_median_tripol1, 1_lag_10_median_eurPSLjfm, 8_lag_nppc2SSTjfm, 10_lag_mhfATL45, 1_lag_15_median_stratZ50ndj03, 1_lag_14_median_tripol1, 1_lag_9_median_nppc3SSTjfm, 1_lag_12_median_tripol1, 1_lag_4_median_pdoSSTjfm, 1_lag_3_median_nhSICsep, 17_lag_traDP, 8_lag_pdoSSTjfm, 17_lag_traCA, 13_lag_AMOCann, 1_lag_16_median_traBO, 1_lag_5_median_eurPSLjfm, 17_lag_ismPRjja, 15_lag_amo1, 1_lag_18_median_traIT, 1_lag_shSICsep, 5_lag_traDS_2405_1"
LRforcedPSO,6,30,alpi,shigh,872.5,2005.5,0.6,21,1,1,24.978815579504946,0.01682501702488385,2535,"['1_lag_8_median_glomaSSTjfm', '1_lag_17_median_ismPRjja', '1_lag_5_median_mhfATL45', '1_lag_6_median_traTLS', '1_lag_4_median_satlSSTjfm', '1_lag_13_median_mhfATL60', '14_lag_stratZ50ndj03', '12_lag_traDP', '10_lag_traTLS', '6_lag_glTSjfm', '1_lag_7_median_AMOCann', '15_lag_mhfIP30', '1_lag_20_median_wnorPRjfm', '1_lag_4_median_mhfATL45', '3_lag_mhfATL45', '1_lag_3_median_traDP', '19_lag_eurPSLjfm', '14_lag_glTSjfm', '11_lag_traFSC', '1_lag_6_median_eurPSLjfm', '5_lag_traBS', '1_lag_19_median_traEU', '14_lag_atlSICjfm', '19_lag_eapPSLjfm', '8_lag_mhfATL30', '1_lag_16_median_traEC', '1_lag_18_median_satlSSTjfm', '8_lag_AMOCann', '4_lag_arcTSjfm', '1_lag_17_median_ginwSSTjfm']","[0.37888426079504356, 6.095233178471817, 5.0271073084067925, 4.302163585401182, 0.03667223568335842, 0.9513402995811564, 2.730283589264939, 5.110611696584564, 0.9220155218987198, 2.225269100194634, 1.6984044455062595, 1.7194519021527217, 2.7728861601555543, 7.080157048753131, 2.9800192686208575, 8.453699432019693, 0.1723101461318084, 2.269737486373968, 0.44748819576405197, 8.274634127588437, 5.644984333667098, 6.323839112843325, 4.810661445193265, 0.005880640965402861, 7.9823717534898275, 3.9126714396070756, 1.6089142059546706, 2.121307373245516, 3.972350212139329, 7.966878457533483]","1_lag_8_median_glomaSSTjfm, 1_lag_17_median_ismPRjja, 1_lag_5_median_mhfATL45, 1_lag_6_median_traTLS, 1_lag_4_median_satlSSTjfm, 1_lag_13_median_mhfATL60, 14_lag_stratZ50ndj03, 12_lag_traDP, 10_lag_traTLS, 6_lag_glTSjfm, 1_lag_7_median_AMOCann, 15_lag_mhfIP30, 1_lag_20_median_wnorPRjfm, 1_lag_4_median_mhfATL45, 3_lag_mhfATL45, 1_lag_3_median_traDP, 19_lag_eurPSLjfm, 14_lag_glTSjfm, 11_lag_traFSC, 1_lag_6_median_eurPSLjfm, 5_lag_traBS, 1_lag_19_median_traEU, 14_lag_atlSICjfm, 19_lag_eapPSLjfm, 8_lag_mhfATL30, 1_lag_16_median_traEC, 1_lag_18_median_satlSSTjfm, 8_lag_AMOCann, 4_lag_arcTSjfm, 1_lag_17_median_ginwSSTjfm_2535_1"
LRforcedPSO,7,30,alpi,shigh,873.5,2005.5,0.6,22,2,2,25.70869444964856,-0.0009644661354841499,2535,"['21_lag_nhSICjfm', '2_lag_15_median_tripol1', '14_lag_arcTSjfm', '2_lag_15_median_amo2', '8_lag_shTSjfm', '10_lag_traFB', '3_lag_eurPSLjfm', '2_lag_14_median_shSICsep', '5_lag_eurPSLjfm', '2_lag_wnorPRjfm', '2_lag_20_median_stratZ50ndj01', '15_lag_traDS', '2_lag_18_median_amoSSTmjjaso', '12_lag_ormenSSTjfm', '3_lag_tripol3', '2_lag_9_median_traDS', '2_lag_8_median_atlSICjfm', '2_lag_15_median_traFSC', '2_lag_20_median_tripol1', '8_lag_traMC', '2_lag_14_median_amo2', '2_lag_5_median_labSSTjfm', '21_lag_satlSSTjfm', '8_lag_amo2', '13_lag_mhfIP30', '2_lag_17_median_eapPSLjfm', '14_lag_shTSjfm', '12_lag_traMC', '2_lag_tripol3', '2_lag_9_median_glTSjfm']","[0.7424084311720414, 1.3690774631982077, 9.150015931665628, 5.2838744147122, 7.2975691564453165, 2.0683292588542823, 3.648756929853767, 5.6582245552057175, 3.669280653503928, 7.031596554803436, 1.6392294163094494, 2.871897847928528, 5.291633453616161, 1.9312871316239821, 3.594273777768116, 1.1577381334238446, 2.1281784312886227, 4.468588418302952, 0.8200567007180997, 2.5826483123502477, 7.033752480189786, 4.665149906524725, 6.882026334184001, 1.990308676705423, 5.139162940672772, 2.4440953721631757, 1.1810320302634825, 7.717194480492772, 4.387727523700811, 6.418555978500635]","21_lag_nhSICjfm, 2_lag_15_median_tripol1, 14_lag_arcTSjfm, 2_lag_15_median_amo2, 8_lag_shTSjfm, 10_lag_traFB, 3_lag_eurPSLjfm, 2_lag_14_median_shSICsep, 5_lag_eurPSLjfm, 2_lag_wnorPRjfm, 2_lag_20_median_stratZ50ndj01, 15_lag_traDS, 2_lag_18_median_amoSSTmjjaso, 12_lag_ormenSSTjfm, 3_lag_tripol3, 2_lag_9_median_traDS, 2_lag_8_median_atlSICjfm, 2_lag_15_median_traFSC, 2_lag_20_median_tripol1, 8_lag_traMC, 2_lag_14_median_amo2, 2_lag_5_median_labSSTjfm, 21_lag_satlSSTjfm, 8_lag_amo2, 13_lag_mhfIP30, 2_lag_17_median_eapPSLjfm, 14_lag_shTSjfm, 12_lag_traMC, 2_lag_tripol3, 2_lag_9_median_glTSjfm_2535_2"
LRforcedPSO,8,30,alpi,shigh,874.5,2005.5,0.6,23,3,3,26.476370618950842,-0.0010042986422258342,2535,"['3_lag_9_median_traFB', '18_lag_traEU', '3_lag_18_median_nhSICsep', '5_lag_samPSLann', '19_lag_atlSICjfm', '3_lag_6_median_ismPRjja', '3_lag_4_median_traIFC', '3_lag_8_median_glomaSSTjfm', '10_lag_mhfATL60', '4_lag_wnorPRjfm', '6_lag_mhfATL60', '11_lag_tripol1', '18_lag_stratZ50ndj04', '3_lag_16_median_tripol3', '3_lag_12_median_glomaSSTjfm', '3_lag_7_median_stratZ50ndj04', '17_lag_shSICsep', '7_lag_AMOCann', '21_lag_traMC', '22_lag_tripol2', '3_lag_7_median_satlSSTjfm', '3_lag_20_median_ormenSSTjfm', '3_lag_5_median_satlSSTjfm', '7_lag_traTLS', '11_lag_solFORC', '3_lag_21_median_traIT', '11_lag_glomaSSTjfm', '3_lag_13_median_nppc2SSTjfm', '3_lag_19_median_traEC', '8_lag_traEC']","[8.509879279617849, 2.3558910991601536, 6.0416056710734, 4.262452159170561, 3.80274558997629, 3.119789603571215, 3.1185574709096286, 5.891109934528306, 0.22062436515670747, 4.710785073334723, 6.2333663849653504, 2.1455340537637984, 5.303833180569171, 1.9841494164778588, 0.4125608297718113, 6.375937228748036, 1.9720471314944241, 7.613602383358766, 0.31151088578138264, 6.621790275501622, 4.582670388865104, 6.640009148153167, 3.501656513586859, 9.251488909050256, 9.00497472638818, 3.634868060179876, 1.4558978934645808, 9.537457599109004, 2.520823659445405, 1.0274387696542586]","3_lag_9_median_traFB, 18_lag_traEU, 3_lag_18_median_nhSICsep, 5_lag_samPSLann, 19_lag_atlSICjfm, 3_lag_6_median_ismPRjja, 3_lag_4_median_traIFC, 3_lag_8_median_glomaSSTjfm, 10_lag_mhfATL60, 4_lag_wnorPRjfm, 6_lag_mhfATL60, 11_lag_tripol1, 18_lag_stratZ50ndj04, 3_lag_16_median_tripol3, 3_lag_12_median_glomaSSTjfm, 3_lag_7_median_stratZ50ndj04, 17_lag_shSICsep, 7_lag_AMOCann, 21_lag_traMC, 22_lag_tripol2, 3_lag_7_median_satlSSTjfm, 3_lag_20_median_ormenSSTjfm, 3_lag_5_median_satlSSTjfm, 7_lag_traTLS, 11_lag_solFORC, 3_lag_21_median_traIT, 11_lag_glomaSSTjfm, 3_lag_13_median_nppc2SSTjfm, 3_lag_19_median_traEC, 8_lag_traEC_2535_3"
LRforcedPSO,9,30,alpi,shigh,875.5,2005.5,0.6,24,4,4,28.268641694718863,0.008638836413232846,2535,"['4_lag_21_median_nppc2SSTjfm', '4_lag_10_median_stratZ50ndj01', '15_lag_eurPSLjfm', '4_lag_7_median_AMOCann', '4_lag_11_median_amo3', '8_lag_shSICsep', '6_lag_traFS', '8_lag_traDP', '4_lag_16_median_ginwSSTjfm', '11_lag_glTSjfm', '20_lag_amoSSTmjjaso', '4_lag_16_median_nhSICjfm', '5_lag_tripol2', '12_lag_alpi', '4_lag_6_median_shTSjfm', '7_lag_traIT', '4_lag_21_median_amoSSTmjjaso', '4_lag_18_median_nhSICjfm', '4_lag_21_median_traMC', '10_lag_glomaSSTjfm', '17_lag_ginwSSTjfm', '4_lag_7_median_amoSSTmjjaso', '19_lag_gyreSSTjfm', '10_lag_nhSICsep', '4_lag_17_median_traFSC', '18_lag_nppc2SSTjfm', '4_lag_14_median_shSICmar', '15_lag_nppc3SSTjfm', '15_lag_traFS', '9_lag_ormenSSTjfm']","[7.981972189209314, 5.552935713910456, 0.28299933109233244, 5.397818950562199, 3.684317052743218, 2.7702676588067865, 8.100356345933662, 7.877167130471449, 5.689285172021075, 7.765099507481537, 0.1238953743320117, 8.17115247287228, 0.7667236090100911, 2.232932988225386, 4.313426861010066, 4.215396213274865, 1.9449101406090321, 2.0898214777643638, 1.7071844651814772, 7.893198516537147, 8.55670953449128, 1.9632075008910839, 1.7510273189649688, 6.305942363577659, 7.321025761063048, 3.4876484154693372, 7.002214258530948, 2.340820552758034, 0.25754250816621926, 2.0321604346381434]","4_lag_21_median_nppc2SSTjfm, 4_lag_10_median_stratZ50ndj01, 15_lag_eurPSLjfm, 4_lag_7_median_AMOCann, 4_lag_11_median_amo3, 8_lag_shSICsep, 6_lag_traFS, 8_lag_traDP, 4_lag_16_median_ginwSSTjfm, 11_lag_glTSjfm, 20_lag_amoSSTmjjaso, 4_lag_16_median_nhSICjfm, 5_lag_tripol2, 12_lag_alpi, 4_lag_6_median_shTSjfm, 7_lag_traIT, 4_lag_21_median_amoSSTmjjaso, 4_lag_18_median_nhSICjfm, 4_lag_21_median_traMC, 10_lag_glomaSSTjfm, 17_lag_ginwSSTjfm, 4_lag_7_median_amoSSTmjjaso, 19_lag_gyreSSTjfm, 10_lag_nhSICsep, 4_lag_17_median_traFSC, 18_lag_nppc2SSTjfm, 4_lag_14_median_shSICmar, 15_lag_nppc3SSTjfm, 15_lag_traFS, 9_lag_ormenSSTjfm_2535_4"
