model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,10,alpi,shigh,866.5,2005.5,0.8,15,1,1,19.51000023104391,-0.033848686177233744,1755,"['9_lag_labSSTjfm', '4_lag_ginwSSTjfm', '1_lag_14_median_naoPSLjfm', '5_lag_seurTSjfm', '1_lag_9_median_alpi', '14_lag_AMOCann', '8_lag_amo1', '14_lag_cetTSjfm', '13_lag_gyreSSTjfm', '1_lag_10_median_traTLS']","[0.011269477415055434, 0.06687780465737181, 0.1408348817636993, 0.08472584174042583, 0.09811115820312452, 0.05063658658230255, 0.0896925989098889, 0.005089496419949725, 0.020597271588709103, 0.3652705327998071]","9_lag_labSSTjfm, 4_lag_ginwSSTjfm, 1_lag_14_median_naoPSLjfm, 5_lag_seurTSjfm, 1_lag_9_median_alpi, 14_lag_AMOCann, 8_lag_amo1, 14_lag_cetTSjfm, 13_lag_gyreSSTjfm, 1_lag_10_median_traTLS_1755_1"
LinearRegression,1,10,alpi,shigh,867.5,2005.5,0.8,16,1,1,19.56495622344298,-0.006618512292041538,1885,"['14_lag_cetTSjfm', '6_lag_traDP', '1_lag_10_median_labSSTjfm', '1_lag_12_median_pdoSSTjfm', '1_lag_7_median_eurPSLjfm', '1_lag_14_median_naoPSLjfm', '8_lag_amo1', '1_lag_10_median_traTLS', '1_lag_6_median_mhfATL30', '14_lag_AMOCann']","[0.007518483459405449, 0.05198338775455723, 0.03618482136356642, 0.007225252060740483, 0.1686561545601576, 0.1585555757685032, 0.10244639821529283, 0.3137145489369433, 0.12650599060343432, 0.038199219751601586]","14_lag_cetTSjfm, 6_lag_traDP, 1_lag_10_median_labSSTjfm, 1_lag_12_median_pdoSSTjfm, 1_lag_7_median_eurPSLjfm, 1_lag_14_median_naoPSLjfm, 8_lag_amo1, 1_lag_10_median_traTLS, 1_lag_6_median_mhfATL30, 14_lag_AMOCann_1885_1"
LinearRegression,2,10,alpi,shigh,868.5,2005.5,0.8,17,1,1,19.65104424394222,0.22461426343292978,2015,"['1_lag_10_median_traDS', '1_lag_10_median_labSSTjfm', '4_lag_traTLS', '12_lag_ensoSSTjfm', '12_lag_arcTSjfm', '1_lag_traIT', '1_lag_6_median_mhfATL30', '1_lag_14_median_naoPSLjfm', '14_lag_AMOCann', '1_lag_4_median_wnorPRjfm']","[0.12993046347077541, 0.02441088988130335, 0.06454274267276824, 0.027760957281763816, 0.06017996788875669, 0.691647805483016, 0.03413145486992751, 0.15096761010584733, 0.011419976308688205, 0.10082972465440099]","1_lag_10_median_traDS, 1_lag_10_median_labSSTjfm, 4_lag_traTLS, 12_lag_ensoSSTjfm, 12_lag_arcTSjfm, 1_lag_traIT, 1_lag_6_median_mhfATL30, 1_lag_14_median_naoPSLjfm, 14_lag_AMOCann, 1_lag_4_median_wnorPRjfm_2015_1"
LinearRegression,3,10,alpi,shigh,869.5,2005.5,0.8,18,1,1,19.732969903888158,0.23138816412018512,2145,"['6_lag_traDP', '1_lag_6_median_mhfATL30', '12_lag_arcTSjfm', '4_lag_atlSICjfm', '1_lag_14_median_naoPSLjfm', '14_lag_shSICsep', '1_lag_alpi', '9_lag_mhfATL60', '1_lag_traIT', '1_lag_4_median_wnorPRjfm']","[0.054699187782029104, 0.04333222391974109, 0.031616911529798314, 0.020844944429463427, 0.095475247491917, 0.0172451850062685, 0.08630240714657944, 0.005612318602670113, 0.6991690993622117, 0.08934175290497536]","6_lag_traDP, 1_lag_6_median_mhfATL30, 12_lag_arcTSjfm, 4_lag_atlSICjfm, 1_lag_14_median_naoPSLjfm, 14_lag_shSICsep, 1_lag_alpi, 9_lag_mhfATL60, 1_lag_traIT, 1_lag_4_median_wnorPRjfm_2145_1"
LinearRegression,4,10,alpi,shigh,870.5,2005.5,0.8,19,1,1,19.741435700869236,0.22013358257231408,2275,"['11_lag_traMC', '4_lag_traTLS', '3_lag_traIT', '15_lag_nhSICjfm', '9_lag_mhfATL60', '1_lag_6_median_mhfATL30', '1_lag_alpi', '1_lag_4_median_wnorPRjfm', '8_lag_amo1', '1_lag_traIT']","[0.028546472937427923, 0.03820464332654758, 0.08917134194039598, 0.0043280302426657, 0.05268611150688545, 0.047246763069548406, 0.08010153031680893, 0.10071357504703807, 0.17842723788219922, 0.7193441279945196]","11_lag_traMC, 4_lag_traTLS, 3_lag_traIT, 15_lag_nhSICjfm, 9_lag_mhfATL60, 1_lag_6_median_mhfATL30, 1_lag_alpi, 1_lag_4_median_wnorPRjfm, 8_lag_amo1, 1_lag_traIT_2275_1"
LinearRegression,5,10,alpi,shigh,871.5,2005.5,0.8,20,1,1,19.61889998906707,0.21786110551713844,2405,"['11_lag_tripol3', '4_lag_traTLS', '4_lag_amo1', '1_lag_4_median_wnorPRjfm', '19_lag_amo3', '12_lag_arcTSjfm', '1_lag_6_median_mhfATL30', '8_lag_amo1', '1_lag_alpi', '1_lag_traIT']","[0.0464615348772079, 0.03548393921565332, 0.05331415584725922, 0.10278563113814237, 0.13015806539145253, 0.024884018964219087, 0.01920916166676289, 0.13874155186170112, 0.08692961795718043, 0.7144796373627952]","11_lag_tripol3, 4_lag_traTLS, 4_lag_amo1, 1_lag_4_median_wnorPRjfm, 19_lag_amo3, 12_lag_arcTSjfm, 1_lag_6_median_mhfATL30, 8_lag_amo1, 1_lag_alpi, 1_lag_traIT_2405_1"
LinearRegression,6,10,alpi,shigh,872.5,2005.5,0.8,21,1,1,19.21099465842774,0.27871271806748926,2535,"['1_lag_ismPRjja', '11_lag_tripol3', '19_lag_amo3', '1_lag_amoSSTmjjaso', '1_lag_6_median_mhfATL30', '12_lag_arcTSjfm', '4_lag_traTLS', '1_lag_alpi', '8_lag_amo1', '1_lag_traIT']","[0.1549030583020456, 0.024349601815537802, 0.14994506626176246, 0.10948953583301128, 0.01402108608166975, 0.027078674644032394, 0.026502790287965487, 0.07910481584280013, 0.12258920432550711, 0.6574524132960553]","1_lag_ismPRjja, 11_lag_tripol3, 19_lag_amo3, 1_lag_amoSSTmjjaso, 1_lag_6_median_mhfATL30, 12_lag_arcTSjfm, 4_lag_traTLS, 1_lag_alpi, 8_lag_amo1, 1_lag_traIT_2535_1"
LinearRegression,7,10,alpi,shigh,873.5,2005.5,0.8,22,1,1,18.967582315862945,0.28727682413480293,2665,"['1_lag_6_median_mhfATL30', '11_lag_tripol3', '18_lag_traIT', '1_lag_atlSICsep', '1_lag_ismPRjja', '1_lag_nppc2SSTjfm', '8_lag_amo1', '4_lag_traTLS', '1_lag_alpi', '1_lag_traIT']","[0.04086782579366185, 0.05491324935717609, 0.05715832519149384, 0.04261791686777891, 0.12735746754503458, 0.2861045363997223, 0.15631000438223938, 0.038796721195085676, 0.10757541975869477, 0.6119985919223823]","1_lag_6_median_mhfATL30, 11_lag_tripol3, 18_lag_traIT, 1_lag_atlSICsep, 1_lag_ismPRjja, 1_lag_nppc2SSTjfm, 8_lag_amo1, 4_lag_traTLS, 1_lag_alpi, 1_lag_traIT_2665_1"
LinearRegression,8,10,alpi,shigh,874.5,2005.5,0.8,23,1,1,18.960508552666248,0.2901780808606203,2795,"['11_lag_tripol3', '20_lag_labSSTjfm', '21_lag_labSSTjfm', '1_lag_ismPRjja', '8_lag_amo1', '1_lag_nppc2SSTjfm', '18_lag_traIT', '4_lag_traTLS', '1_lag_alpi', '1_lag_traIT']","[0.06302167111181953, 0.09119057136330448, 0.12437366264494808, 0.1312625331379937, 0.15190967046829243, 0.27324336161005286, 0.06190719446303689, 0.035155187230916235, 0.10646051884755013, 0.6126292996221265]","11_lag_tripol3, 20_lag_labSSTjfm, 21_lag_labSSTjfm, 1_lag_ismPRjja, 8_lag_amo1, 1_lag_nppc2SSTjfm, 18_lag_traIT, 4_lag_traTLS, 1_lag_alpi, 1_lag_traIT_2795_1"
LinearRegression,9,10,alpi,shigh,875.5,2005.5,0.8,24,1,1,19.098365734968823,0.2813546541067987,2925,"['3_lag_traIT', '1_lag_ismPRjja', '16_lag_wnorPRjfm', '11_lag_traMC', '1_lag_nppc2SSTjfm', '4_lag_traTLS', '8_lag_amo1', '18_lag_traIT', '1_lag_alpi', '1_lag_traIT']","[0.1169422505032775, 0.14045929690031628, 0.017773576853479384, 0.02438997968609999, 0.27583021339862357, 0.029179917218468604, 0.1838544782229679, 0.07852212275277407, 0.10115198150136437, 0.6193552070843154]","3_lag_traIT, 1_lag_ismPRjja, 16_lag_wnorPRjfm, 11_lag_traMC, 1_lag_nppc2SSTjfm, 4_lag_traTLS, 8_lag_amo1, 18_lag_traIT, 1_lag_alpi, 1_lag_traIT_2925_1"
LinearRegression,10,10,alpi,shigh,876.5,2005.5,0.8,25,1,1,19.779104963863364,0.21590893115326104,3055,"['16_lag_wnorPRjfm', '11_lag_tripol3', '1_lag_nchinaPRjja', '21_lag_labSSTjfm', '3_lag_traIT', '8_lag_amo1', '4_lag_traTLS', '18_lag_traIT', '1_lag_alpi', '1_lag_traIT']","[0.026107046672283935, 0.03844810540984919, 0.06734374878946457, 0.04500081676251822, 0.09089462878207037, 0.15222422418989656, 0.02972899196352204, 0.06138646852643491, 0.07251482185915147, 0.726836133572317]","16_lag_wnorPRjfm, 11_lag_tripol3, 1_lag_nchinaPRjja, 21_lag_labSSTjfm, 3_lag_traIT, 8_lag_amo1, 4_lag_traTLS, 18_lag_traIT, 1_lag_alpi, 1_lag_traIT_3055_1"
