model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,waveletfilter,selected_feature_list,feature_importances,selected_features
LRforcedPSO_75percent,0,6,amo1,shigh,866.5,2005.5,0.8,15,5,5,11.847140954178569,0.6308658359217204,418,False,"['5_lag_10_median_amoSSTmjjaso', '13_lag_atlSICjfm', '5_lag_10_median_nhSICjfm', '9_lag_stratZ50ndj01', '5_lag_8_median_eurPSLjfm', '8_lag_nppc2SSTjfm']","[2.631446457100813, 0.6578616142755539, 0.6692957114396964, 0.6578616142752298, 0.793360648750597, 0.6578616142752305]","5_lag_10_median_amoSSTmjjaso, 13_lag_atlSICjfm, 5_lag_10_median_nhSICjfm, 9_lag_stratZ50ndj01, 5_lag_8_median_eurPSLjfm, 8_lag_nppc2SSTjfm_418_5"
LRforcedPSO_75percent,1,6,amo1,shigh,867.5,2005.5,0.8,16,6,6,12.4144034849705,0.5849022704033855,418,False,"['6_lag_12_median_shSICmar', '8_lag_amoSSTjfm', '6_lag_7_median_stratZ50ndj04', '11_lag_atlSICsep', '6_lag_8_median_amoSSTjfm', '6_lag_12_median_nhSICsep']","[1.2682196415606752, 1.3968980691606405, 1.5418275142988471, 0.5831523350175115, 2.1334277136174653, 0.5333577191456305]","6_lag_12_median_shSICmar, 8_lag_amoSSTjfm, 6_lag_7_median_stratZ50ndj04, 11_lag_atlSICsep, 6_lag_8_median_amoSSTjfm, 6_lag_12_median_nhSICsep_418_6"
LRforcedPSO_75percent,2,6,amo1,shigh,868.5,2005.5,0.8,17,7,7,13.22475411570009,0.0011081983503758532,418,False,"['7_lag_13_median_shSICsep', '14_lag_shSICmar', '7_lag_15_median_solFORC', '7_lag_12_median_nhSICsep', '7_lag_12_median_solFORC', '7_lag_13_median_amo3']","[0.48467718187800474, 1.1800732033401446, 1.9387087275069554, 0.484677181878098, 1.9387087275110608, 0.48467718187830205]","7_lag_13_median_shSICsep, 14_lag_shSICmar, 7_lag_15_median_solFORC, 7_lag_12_median_nhSICsep, 7_lag_12_median_solFORC, 7_lag_13_median_amo3_418_7"
LRforcedPSO_75percent,3,6,amo1,shigh,869.5,2005.5,0.8,18,8,8,12.064244564922813,0.6127328464520443,418,False,"['8_lag_17_median_amoSSTmjjaso', '8_lag_13_median_eapPSLjfm', '8_lag_15_median_shSICsep', '12_lag_AMOCann', '8_lag_11_median_nhSICsep', '13_lag_AMOCann']","[2.103229337420832, 0.5900753809706997, 0.629955591813933, 1.010077819453837, 0.5258073343553982, 1.6072352023920156]","8_lag_17_median_amoSSTmjjaso, 8_lag_13_median_eapPSLjfm, 8_lag_15_median_shSICsep, 12_lag_AMOCann, 8_lag_11_median_nhSICsep, 13_lag_AMOCann_418_8"
LRforcedPSO_75percent,4,6,amo1,shigh,870.5,2005.5,0.8,19,9,9,12.467196108527254,0.5189318033894039,418,False,"['9_lag_12_median_nhSICsep', '9_lag_12_median_amo2', '9_lag_AMOCann', '9_lag_15_median_amo1', '9_lag_18_median_atlSICsep', '9_lag_10_median_shSICmar']","[0.7970540238082177, 0.7791214991609636, 0.5812763459225102, 2.325105383659666, 1.130171354497721, 0.6308421960093723]","9_lag_12_median_nhSICsep, 9_lag_12_median_amo2, 9_lag_AMOCann, 9_lag_15_median_amo1, 9_lag_18_median_atlSICsep, 9_lag_10_median_shSICmar_418_9"
LRforcedPSO_75percent,5,6,amo1,shigh,871.5,2005.5,0.8,20,10,10,12.285169502234282,0.5942413301835585,418,False,"['10_lag_12_median_shSICsep', '10_lag_19_median_AMOCann', '10_lag_13_median_naoPSLjfm', '10_lag_18_median_shSICmar', '10_lag_13_median_stratZ50ndj03', '10_lag_18_median_amo1']","[0.5155185929289311, 0.6207620030147489, 0.768827330007479, 1.581055264451355, 0.5156024704888644, 2.0620229700079173]","10_lag_12_median_shSICsep, 10_lag_19_median_AMOCann, 10_lag_13_median_naoPSLjfm, 10_lag_18_median_shSICmar, 10_lag_13_median_stratZ50ndj03, 10_lag_18_median_amo1_418_10"
LRforcedPSO_75percent,6,6,amo1,shigh,872.5,2005.5,0.8,21,11,11,12.57610384438515,0.493732274191488,418,False,"['11_lag_19_median_nhSICjfm', '11_lag_17_median_naoPSLjfm', '11_lag_19_median_eurPSLjfm', '11_lag_16_median_amo1', '12_lag_stratZ50ndj02', '13_lag_atlSICjfm']","[0.5896741032601468, 1.1733432209656716, 0.5896664961367089, 2.358665426258867, 0.5896665515707108, 0.8935590730926039]","11_lag_19_median_nhSICjfm, 11_lag_17_median_naoPSLjfm, 11_lag_19_median_eurPSLjfm, 11_lag_16_median_amo1, 12_lag_stratZ50ndj02, 13_lag_atlSICjfm_418_11"
LRforcedPSO_75percent,7,6,amo1,shigh,873.5,2005.5,0.8,22,12,12,12.639001550876552,0.19116351906566584,418,False,"['12_lag_16_median_amo3', '12_lag_stratZ50ndj04', '15_lag_nhSICsep', '12_lag_18_median_amo1', '15_lag_solFORC', '19_lag_stratZ50ndj02']","[0.7507305973001314, 0.7507305973002442, 0.7507305973001804, 1.7694617692762438, 3.0029223892003816, 0.7507305973001656]","12_lag_16_median_amo3, 12_lag_stratZ50ndj04, 15_lag_nhSICsep, 12_lag_18_median_amo1, 15_lag_solFORC, 19_lag_stratZ50ndj02_418_12"
LRforcedPSO_75percent,8,6,amo1,shigh,874.5,2005.5,0.8,23,13,13,12.418254794134176,0.5839881379739568,418,False,"['19_lag_atlSICsep', '20_lag_shSICsep', '13_lag_16_median_amo1', '13_lag_14_median_stratZ50ndj01', '13_lag_14_median_atlSICjfm', '13_lag_21_median_amoSSTjfm']","[0.5363926451095214, 0.6801905977748207, 1.0432895253941208, 0.5363926353590054, 1.7307459798925655, 2.1455705333382165]","19_lag_atlSICsep, 20_lag_shSICsep, 13_lag_16_median_amo1, 13_lag_14_median_stratZ50ndj01, 13_lag_14_median_atlSICjfm, 13_lag_21_median_amoSSTjfm_418_13"
LRforcedPSO_75percent,9,6,amo1,shigh,875.5,2005.5,0.8,24,14,14,13.507538646779722,-0.14802515788030984,418,False,"['19_lag_stratZ50ndj02', '14_lag_15_median_stratZ50ndj01', '14_lag_22_median_amo3', '23_lag_solFORC', '23_lag_stratZ50ndj03', '14_lag_18_median_atlSICsep']","[0.7590450280896913, 0.7590450280896731, 0.7590450280901333, 3.0361801123583163, 0.7590450280896786, 1.3749736306572191]","19_lag_stratZ50ndj02, 14_lag_15_median_stratZ50ndj01, 14_lag_22_median_amo3, 23_lag_solFORC, 23_lag_stratZ50ndj03, 14_lag_18_median_atlSICsep_418_14"
