model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,10,amo1,shigh,1514.5,2005.5,0.8,15,1,1,11.01709056479946,0.6864243587115191,1755,"['5_lag_ismPRjja', '14_lag_ginwSSTjfm', '7_lag_traIFC', '1_lag_arcTSjfm', '3_lag_eurPSLjfm', '3_lag_traFSC', '7_lag_shSICmar', '13_lag_mhfATL30', '1_lag_samPSLann', '1_lag_amoSSTmjjaso']","[0.023556555492815486, 0.0051955398351374305, 0.040906634225858225, 0.09922545537409823, 0.0008604070826399891, 0.014867345347923808, 0.06106418479318222, 0.15528270808260902, 0.12273796756614837, 0.4455029522827771]","5_lag_ismPRjja, 14_lag_ginwSSTjfm, 7_lag_traIFC, 1_lag_arcTSjfm, 3_lag_eurPSLjfm, 3_lag_traFSC, 7_lag_shSICmar, 13_lag_mhfATL30, 1_lag_samPSLann, 1_lag_amoSSTmjjaso_1755_1"
LinearRegression,1,10,amo1,shigh,1515.5,2005.5,0.8,16,1,1,11.610529828044703,0.6181236481626889,1885,"['5_lag_ismPRjja', '3_lag_traFSC', '15_lag_shSICsep', '3_lag_eurPSLjfm', '1_lag_traIT', '13_lag_mhfATL30', '7_lag_shSICmar', '15_lag_mhfATL60', '1_lag_samPSLann', '1_lag_amoSSTmjjaso']","[0.04701920710871281, 0.0023218901789960056, 0.0655087321651557, 0.021493765500705836, 0.1911388244138208, 0.09973223661476167, 0.07460845133624686, 0.09598540409969292, 0.0994505813788476, 0.44921500724107966]","5_lag_ismPRjja, 3_lag_traFSC, 15_lag_shSICsep, 3_lag_eurPSLjfm, 1_lag_traIT, 13_lag_mhfATL30, 7_lag_shSICmar, 15_lag_mhfATL60, 1_lag_samPSLann, 1_lag_amoSSTmjjaso_1885_1"
LinearRegression,2,10,amo1,shigh,1516.5,2005.5,0.8,17,1,1,12.266519686347648,0.5857596815264371,2015,"['14_lag_nchinaPRjja', '14_lag_ginwSSTjfm', '3_lag_eurPSLjfm', '10_lag_traBS', '1_lag_mhfATL45', '1_lag_traIT', '15_lag_mhfATL60', '7_lag_shSICmar', '1_lag_samPSLann', '1_lag_amoSSTmjjaso']","[0.019159282553801005, 0.023048118412428806, 0.017549111986310498, 0.039895791204331656, 0.037181134850302514, 0.1936376230633588, 0.12974053040775999, 0.05441289473061797, 0.10852756852389803, 0.44769865675058296]","14_lag_nchinaPRjja, 14_lag_ginwSSTjfm, 3_lag_eurPSLjfm, 10_lag_traBS, 1_lag_mhfATL45, 1_lag_traIT, 15_lag_mhfATL60, 7_lag_shSICmar, 1_lag_samPSLann, 1_lag_amoSSTmjjaso_2015_1"
LinearRegression,3,10,amo1,shigh,1517.5,2005.5,0.8,18,1,1,12.068441223245117,0.609374454665511,2145,"['3_lag_eurPSLjfm', '15_lag_mhfATL60', '14_lag_nchinaPRjja', '10_lag_traBS', '1_lag_mhfATL45', '1_lag_ismPRjja', '1_lag_traIT', '7_lag_shSICmar', '1_lag_samPSLann', '1_lag_amoSSTmjjaso']","[0.020912718483958374, 0.1213639488393613, 0.021985109429996798, 0.04670771239703646, 0.03665736307848423, 0.0744496783768624, 0.17732869685907404, 0.05097870247445767, 0.10648534289855188, 0.45960839471357673]","3_lag_eurPSLjfm, 15_lag_mhfATL60, 14_lag_nchinaPRjja, 10_lag_traBS, 1_lag_mhfATL45, 1_lag_ismPRjja, 1_lag_traIT, 7_lag_shSICmar, 1_lag_samPSLann, 1_lag_amoSSTmjjaso_2145_1"
LinearRegression,4,10,amo1,shigh,1518.5,2005.5,0.8,19,1,1,10.878228135731856,0.6501923174973329,2275,"['3_lag_eurPSLjfm', '14_lag_nchinaPRjja', '1_lag_nppc2SSTjfm', '1_lag_mhfATL45', '1_lag_ismPRjja', '10_lag_traBS', '7_lag_shSICmar', '1_lag_traIT', '1_lag_samPSLann', '1_lag_amoSSTmjjaso']","[0.012446624066506658, 0.012972695142225092, 0.09055654753488929, 0.043125393749755575, 0.0672925932042535, 0.06306009821824828, 0.042710198787499466, 0.1654564721728498, 0.08405857344436969, 0.4432655306288972]","3_lag_eurPSLjfm, 14_lag_nchinaPRjja, 1_lag_nppc2SSTjfm, 1_lag_mhfATL45, 1_lag_ismPRjja, 10_lag_traBS, 7_lag_shSICmar, 1_lag_traIT, 1_lag_samPSLann, 1_lag_amoSSTmjjaso_2275_1"
LinearRegression,5,10,amo1,shigh,1519.5,2005.5,0.8,20,1,1,10.966742517233925,0.6533352273394464,2405,"['14_lag_ginwSSTjfm', '3_lag_stratZ50ndj03', '1_lag_nppc2SSTjfm', '1_lag_mhfATL45', '10_lag_traBS', '1_lag_ismPRjja', '1_lag_traIT', '7_lag_shSICmar', '1_lag_samPSLann', '1_lag_amoSSTmjjaso']","[0.017552002788745642, 0.03034407692454343, 0.08739832623977162, 0.04509786522032773, 0.06900838576266322, 0.06749566738473325, 0.16459741174432627, 0.044027699124227174, 0.08683716484554037, 0.4424104149311671]","14_lag_ginwSSTjfm, 3_lag_stratZ50ndj03, 1_lag_nppc2SSTjfm, 1_lag_mhfATL45, 10_lag_traBS, 1_lag_ismPRjja, 1_lag_traIT, 7_lag_shSICmar, 1_lag_samPSLann, 1_lag_amoSSTmjjaso_2405_1"
LinearRegression,6,10,amo1,shigh,1520.5,2005.5,0.8,21,1,1,10.889944803580253,0.6630281048974345,2535,"['14_lag_stratZ50ndj01', '20_lag_nppc3SSTjfm', '14_lag_ginwSSTjfm', '1_lag_nppc2SSTjfm', '10_lag_traBS', '1_lag_ismPRjja', '7_lag_shSICmar', '1_lag_traIT', '1_lag_samPSLann', '1_lag_amoSSTmjjaso']","[0.04298098931362928, 0.05349670640184678, 0.017288822838023216, 0.08933528014297681, 0.05672889941725308, 0.06350734557993126, 0.042915231438064645, 0.16059276202855907, 0.0792822347150149, 0.423995031566224]","14_lag_stratZ50ndj01, 20_lag_nppc3SSTjfm, 14_lag_ginwSSTjfm, 1_lag_nppc2SSTjfm, 10_lag_traBS, 1_lag_ismPRjja, 7_lag_shSICmar, 1_lag_traIT, 1_lag_samPSLann, 1_lag_amoSSTmjjaso_2535_1"
LinearRegression,7,10,amo1,shigh,1521.5,2005.5,0.8,22,2,2,22.890074556421627,-0.030434596275902694,2535,"['8_lag_mhfIP30', '12_lag_traEU', '6_lag_eapPSLjfm', '10_lag_traBS', '21_lag_nchinaPRjja', '4_lag_yrvPRjja', '2_lag_scpPSLjfm', '14_lag_ginwSSTjfm', '14_lag_stratZ50ndj01', '7_lag_shSICmar']","[0.03845737332454753, 0.0038060585197274375, 0.03424395763822456, 0.0685645090571734, 0.05015816400358819, 0.02033670502515266, 0.02528924009962773, 0.0097490553754283, 0.07385546633358571, 0.03219749313996269]","8_lag_mhfIP30, 12_lag_traEU, 6_lag_eapPSLjfm, 10_lag_traBS, 21_lag_nchinaPRjja, 4_lag_yrvPRjja, 2_lag_scpPSLjfm, 14_lag_ginwSSTjfm, 14_lag_stratZ50ndj01, 7_lag_shSICmar_2535_2"
LinearRegression,8,10,amo1,shigh,1522.5,2005.5,0.8,23,3,3,22.165188696294358,0.03370932491338331,2535,"['21_lag_traEC', '14_lag_stratZ50ndj01', '18_lag_traEU', '3_lag_scpPSLjfm', '14_lag_ginwSSTjfm', '20_lag_traEU', '20_lag_yrvPRjja', '6_lag_eapPSLjfm', '3_lag_eurPSLjfm', '7_lag_shSICmar']","[0.06994742921863217, 0.08421303010886343, 0.03919320817549654, 0.03148738286526337, 0.003229140208960606, 0.021266086328180993, 0.05497616678691549, 0.04217815614933971, 0.01728492820767046, 0.03162652026674548]","21_lag_traEC, 14_lag_stratZ50ndj01, 18_lag_traEU, 3_lag_scpPSLjfm, 14_lag_ginwSSTjfm, 20_lag_traEU, 20_lag_yrvPRjja, 6_lag_eapPSLjfm, 3_lag_eurPSLjfm, 7_lag_shSICmar_2535_3"
LinearRegression,9,10,amo1,shigh,1523.5,2005.5,0.8,24,4,7,21.71035963359217,0.06832011651551695,2535,"['23_lag_eurPSLjfm', '23_lag_shSICsep', '21_lag_traEC', '20_lag_yrvPRjja', '23_lag_eapPSLjfm', '10_lag_traBS', '19_lag_nchinaPRjja', '18_lag_traEU', '7_lag_shSICmar', '23_lag_traMC']","[0.04299020065036752, 0.048249790676557054, 0.06568501616788536, 0.04120049753067863, 0.048436715402222844, 0.06331395247208936, 0.07485580825947385, 0.036581992522432855, 0.024773735508935503, 0.12772715365082257]","23_lag_eurPSLjfm, 23_lag_shSICsep, 21_lag_traEC, 20_lag_yrvPRjja, 23_lag_eapPSLjfm, 10_lag_traBS, 19_lag_nchinaPRjja, 18_lag_traEU, 7_lag_shSICmar, 23_lag_traMC_2535_7"
