model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,6,amo2,shigh,1514.5,2005.5,0.4,15,5,5,22.458577341304988,-0.6954095651752262,1235,"['11_lag_traFSC', '5_lag_9_median_nppc2SSTjfm', '5_lag_13_median_shTSjfm', '5_lag_12_median_stratZ50ndj02', '5_lag_6_median_traTLS', '5_lag_9_median_cetTSjfm']","[2.5186980753471233, 1.8890424068941174, 2.0525233829869154, 2.4422370145283194, 2.0698262655901987, 2.346717652618077]","11_lag_traFSC, 5_lag_9_median_nppc2SSTjfm, 5_lag_13_median_shTSjfm, 5_lag_12_median_stratZ50ndj02, 5_lag_6_median_traTLS, 5_lag_9_median_cetTSjfm_1235_5"
LRforcedPSO,1,6,amo2,shigh,1515.5,2005.5,0.4,16,6,6,17.522955715121476,0.09310558514908024,1235,"['6_lag_13_median_amo2', '14_lag_ensoSSTjfm', '6_lag_traEU', '6_lag_9_median_mhfATL30', '6_lag_11_median_stratZ50ndj04', '14_lag_nppc2SSTjfm']","[2.332665791390582, 2.184806109133084, 2.186300114932372, 2.910906217141459, 2.90534289057483, 2.215527454925216]","6_lag_13_median_amo2, 14_lag_ensoSSTjfm, 6_lag_traEU, 6_lag_9_median_mhfATL30, 6_lag_11_median_stratZ50ndj04, 14_lag_nppc2SSTjfm_1235_6"
LRforcedPSO,2,6,amo2,shigh,1516.5,2005.5,0.4,17,7,7,18.203386934207373,0.04701312028430834,1235,"['7_lag_9_median_tripol2', '15_lag_mhfATL60', '7_lag_13_median_eapPSLjfm', '7_lag_16_median_nchinaPRjja', '15_lag_stratZ50ndj02', '7_lag_15_median_gyreSSTjfm']","[2.9229288259979866, 3.6812914763158266, 3.340530591111074, 3.173342885217738, 3.230300192154976, 2.9733990333152804]","7_lag_9_median_tripol2, 15_lag_mhfATL60, 7_lag_13_median_eapPSLjfm, 7_lag_16_median_nchinaPRjja, 15_lag_stratZ50ndj02, 7_lag_15_median_gyreSSTjfm_1235_7"
LRforcedPSO,3,6,amo2,shigh,1517.5,2005.5,0.4,18,8,8,16.999046469497525,0.163623417112993,1235,"['8_lag_14_median_traFSC', '15_lag_amoSSTmjjaso', '8_lag_9_median_nhSICjfm', '9_lag_yrvPRjja', '15_lag_gyreSSTjfm', '10_lag_ormenSSTjfm']","[9.238542343059496, 1.5978712784385003, 7.8835978192592115, 0.5730367272326227, 0.7556291983775445, 0.697886987748177]","8_lag_14_median_traFSC, 15_lag_amoSSTmjjaso, 8_lag_9_median_nhSICjfm, 9_lag_yrvPRjja, 15_lag_gyreSSTjfm, 10_lag_ormenSSTjfm_1235_8"
LRforcedPSO,4,6,amo2,shigh,1518.5,2005.5,0.4,19,9,9,15.325529006210713,0.4789631328852775,1235,"['9_lag_14_median_traDS', '10_lag_alpi', '9_lag_13_median_naoPSLjfm', '9_lag_17_median_amo1', '18_lag_tripol1', '9_lag_12_median_neurTSjfm']","[2.20656392336315, 1.654923119232059, 1.8587612582856992, 2.113583688765135, 2.2027960160564515, 1.6955111734432704]","9_lag_14_median_traDS, 10_lag_alpi, 9_lag_13_median_naoPSLjfm, 9_lag_17_median_amo1, 18_lag_tripol1, 9_lag_12_median_neurTSjfm_1235_9"
LRforcedPSO,5,6,amo2,shigh,1519.5,2005.5,0.4,20,10,10,19.52273434356187,-0.14790454460342434,1235,"['16_lag_yrvPRjja', '11_lag_mhfIP30', '15_lag_tripol2', '10_lag_12_median_traDS', '10_lag_13_median_yrvPRjja', '10_lag_13_median_traEC']","[3.660185785829202, 1.5115173631703946, 3.027508387560502, 1.588161580694985, 1.7414384332816617, 1.4928436716991023]","16_lag_yrvPRjja, 11_lag_mhfIP30, 15_lag_tripol2, 10_lag_12_median_traDS, 10_lag_13_median_yrvPRjja, 10_lag_13_median_traEC_1235_10"
LRforcedPSO,6,6,amo2,shigh,1520.5,2005.5,0.4,21,11,11,20.07921720724509,0.012107224182070898,1235,"['11_lag_20_median_alpi', '19_lag_shSICsep', '11_lag_15_median_nchinaPRjja', '11_lag_traCA', '11_lag_19_median_traDS', '11_lag_13_median_traWP']","[2.106907669439303, 2.8092092043452785, 2.530007199301684, 2.287081407318377, 2.106907675792855, 2.249037294176882]","11_lag_20_median_alpi, 19_lag_shSICsep, 11_lag_15_median_nchinaPRjja, 11_lag_traCA, 11_lag_19_median_traDS, 11_lag_13_median_traWP_1235_11"
LRforcedPSO,7,6,amo2,shigh,1521.5,2005.5,0.4,22,12,12,21.860502778648957,-0.4857483576640492,1235,"['18_lag_traMC', '21_lag_samPSLann', '12_lag_13_median_mhfIP30', '19_lag_scpPSLjfm', '12_lag_18_median_atlSICsep', '12_lag_17_median_gyreSSTjfm']","[1.1632018865350808, 2.536333458095374, 2.0257533891892088, 4.6128045959958985, 5.368751696518544, 1.0369728679593653]","18_lag_traMC, 21_lag_samPSLann, 12_lag_13_median_mhfIP30, 19_lag_scpPSLjfm, 12_lag_18_median_atlSICsep, 12_lag_17_median_gyreSSTjfm_1235_12"
LRforcedPSO,8,6,amo2,shigh,1522.5,2005.5,0.4,23,13,13,15.980850919008267,0.5380045827279135,1235,"['13_lag_21_median_nhSICjfm', '22_lag_samPSLann', '13_lag_21_median_mhfATL60', '17_lag_glomaSSTjfm', '13_lag_21_median_amo3', '13_lag_21_median_stratZ50ndj03']","[2.229695906653075, 1.674707747764792, 1.779620872142432, 1.673428119103482, 1.6728441648403654, 1.6725113593772147]","13_lag_21_median_nhSICjfm, 22_lag_samPSLann, 13_lag_21_median_mhfATL60, 17_lag_glomaSSTjfm, 13_lag_21_median_amo3, 13_lag_21_median_stratZ50ndj03_1235_13"
LRforcedPSO,9,6,amo2,shigh,1523.5,2005.5,0.4,24,14,14,16.850077909102474,0.17834990400049988,1235,"['14_lag_22_median_scpPSLjfm', '14_lag_20_median_traFS', '14_lag_stratZ50ndj01', '14_lag_15_median_amo3', '14_lag_17_median_stratZ50ndj01', '14_lag_17_median_traFSC']","[1.8820683150458497, 1.6546543407211798, 1.7631553228498595, 1.7130068680593256, 2.2061901983070618, 2.2060292681442246]","14_lag_22_median_scpPSLjfm, 14_lag_20_median_traFS, 14_lag_stratZ50ndj01, 14_lag_15_median_amo3, 14_lag_17_median_stratZ50ndj01, 14_lag_17_median_traFSC_1235_14"
LRforcedPSO,10,6,amo2,shigh,1524.5,2005.5,0.4,25,15,15,15.776176046877325,0.42199544686802193,1235,"['19_lag_tripol3', '22_lag_amoSSTmjjaso', '21_lag_shTSjfm', '18_lag_atlSICsep', '15_lag_17_median_eapPSLjfm', '15_lag_24_median_arcTSjfm']","[4.535623639298139, 0.9028497003311919, 4.5857302139058564, 2.189099177584639, 2.11749984697329, 2.179171890277111]","19_lag_tripol3, 22_lag_amoSSTmjjaso, 21_lag_shTSjfm, 18_lag_atlSICsep, 15_lag_17_median_eapPSLjfm, 15_lag_24_median_arcTSjfm_1235_15"
LRforcedPSO,11,6,amo2,shigh,1525.5,2005.5,0.4,26,16,16,31.426974549298745,0.021807116964380653,1235,"['16_lag_22_median_tripol2', '22_lag_traDP', '16_lag_19_median_ismPRjja', '16_lag_22_median_traDP', '16_lag_24_median_shSICmar', '16_lag_22_median_nppc3SSTjfm']","[2.0564413159841175, 2.142610336803652, 2.3138815305519658, 2.486692791747296, 2.141540695155846, 1.9069243548148582]","16_lag_22_median_tripol2, 22_lag_traDP, 16_lag_19_median_ismPRjja, 16_lag_22_median_traDP, 16_lag_24_median_shSICmar, 16_lag_22_median_nppc3SSTjfm_1235_16"
LRforcedPSO,12,6,amo2,shigh,1526.5,2005.5,0.4,27,17,17,18.21838773290842,-0.30424144993245406,1235,"['21_lag_ginwSSTjfm', '21_lag_amo3', '17_lag_18_median_stratZ50ndj02', '17_lag_22_median_solFORC', '17_lag_23_median_traEC', '19_lag_amo1']","[2.860121524296038, 2.8601239787785975, 2.860121525656108, 3.8134953637898454, 2.8601215378926153, 2.8606084586732012]","21_lag_ginwSSTjfm, 21_lag_amo3, 17_lag_18_median_stratZ50ndj02, 17_lag_22_median_solFORC, 17_lag_23_median_traEC, 19_lag_amo1_1235_17"
LRforcedPSO,13,6,amo2,shigh,1527.5,2005.5,0.4,28,18,18,14.996795873780327,0.4059996158543883,1235,"['24_lag_ensoSSTjfm', '25_lag_traBO', '25_lag_glTSjfm', '18_lag_mhfATL30', '21_lag_solFORC', '18_lag_24_median_AMOCann']","[2.29497146723506, 1.9503181831894254, 2.006122335397309, 1.9106310442082823, 2.3882447183731994, 2.0456897032966297]","24_lag_ensoSSTjfm, 25_lag_traBO, 25_lag_glTSjfm, 18_lag_mhfATL30, 21_lag_solFORC, 18_lag_24_median_AMOCann_1235_18"
LRforcedPSO,14,6,amo2,shigh,1528.5,2005.5,0.4,29,19,19,16.60288050479583,0.039878699155491665,1235,"['19_lag_26_median_traIFC', '19_lag_23_median_traIT', '21_lag_ensoSSTjfm', '19_lag_25_median_ginwSSTjfm', '24_lag_traTLS', '20_lag_traCA']","[2.152936050244902, 1.9026777952175067, 2.8129247013486225, 3.1944720422415944, 1.1878640060822185, 1.6679469645230185]","19_lag_26_median_traIFC, 19_lag_23_median_traIT, 21_lag_ensoSSTjfm, 19_lag_25_median_ginwSSTjfm, 24_lag_traTLS, 20_lag_traCA_1235_19"
