model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,6,amo2,shigh,1714.5,2005.5,0.6,15,1,1,9.27347736448021,0.8473518502587996,594,"['7_lag_shSICsep', '1_lag_4_median_stratZ50ndj03', '6_lag_shSICsep', '8_lag_stratZ50ndj04', '1_lag_scpPSLjfm', '1_lag_amoSSTmjjaso']","[0.10399855280190595, 0.1302853813362509, 0.0898267242966346, 0.1851328139901682, 0.0738918875156481, 0.6149027513239349]","7_lag_shSICsep, 1_lag_4_median_stratZ50ndj03, 6_lag_shSICsep, 8_lag_stratZ50ndj04, 1_lag_scpPSLjfm, 1_lag_amoSSTmjjaso_594_1"
LinearRegression,1,6,amo2,shigh,1715.5,2005.5,0.6,16,1,1,9.280038495545636,0.8471200894448553,638,"['7_lag_shSICsep', '1_lag_4_median_stratZ50ndj03', '6_lag_shSICsep', '8_lag_stratZ50ndj04', '1_lag_scpPSLjfm', '1_lag_amoSSTmjjaso']","[0.10308410137151333, 0.13097705859784015, 0.08984466131822105, 0.18832353315708023, 0.07485097577678819, 0.6125467243788977]","7_lag_shSICsep, 1_lag_4_median_stratZ50ndj03, 6_lag_shSICsep, 8_lag_stratZ50ndj04, 1_lag_scpPSLjfm, 1_lag_amoSSTmjjaso_638_1"
LinearRegression,2,6,amo2,shigh,1716.5,2005.5,0.6,17,1,1,8.768929197333257,0.8617629881377968,682,"['1_lag_stratZ50ndj02', '15_lag_nhSICsep', '6_lag_shSICsep', '8_lag_stratZ50ndj04', '1_lag_scpPSLjfm', '1_lag_amoSSTmjjaso']","[0.015833037629646912, 0.013414006510056125, 0.007084836206729068, 0.19042545459936958, 0.09110158550810056, 0.6337681674791623]","1_lag_stratZ50ndj02, 15_lag_nhSICsep, 6_lag_shSICsep, 8_lag_stratZ50ndj04, 1_lag_scpPSLjfm, 1_lag_amoSSTmjjaso_682_1"
LinearRegression,3,6,amo2,shigh,1717.5,2005.5,0.6,18,1,1,10.32877740551014,0.8618901719841652,726,"['17_lag_eapPSLjfm', '5_lag_stratZ50ndj02', '11_lag_stratZ50ndj02', '17_lag_stratZ50ndj02', '1_lag_scpPSLjfm', '1_lag_amoSSTmjjaso']","[0.014356832423006642, 0.06469935096152746, 0.044965282530559994, 0.11132737437744437, 0.07894470232228082, 0.6684881526175515]","17_lag_eapPSLjfm, 5_lag_stratZ50ndj02, 11_lag_stratZ50ndj02, 17_lag_stratZ50ndj02, 1_lag_scpPSLjfm, 1_lag_amoSSTmjjaso_726_1"
LinearRegression,4,6,amo2,shigh,1718.5,2005.5,0.6,19,1,1,10.03569749168855,0.8626201844761147,770,"['5_lag_stratZ50ndj02', '18_lag_nppc2SSTjfm', '11_lag_stratZ50ndj02', '17_lag_stratZ50ndj02', '1_lag_scpPSLjfm', '1_lag_amoSSTmjjaso']","[0.061244417889766374, 0.039661338718322, 0.04617137241681041, 0.11372225584275583, 0.08271256180767947, 0.6643687668268206]","5_lag_stratZ50ndj02, 18_lag_nppc2SSTjfm, 11_lag_stratZ50ndj02, 17_lag_stratZ50ndj02, 1_lag_scpPSLjfm, 1_lag_amoSSTmjjaso_770_1"
LinearRegression,5,6,amo2,shigh,1719.5,2005.5,0.6,20,1,1,10.46014988992443,0.84776905185514,814,"['17_lag_eapPSLjfm', '1_lag_4_median_stratZ50ndj03', '17_lag_stratZ50ndj02', '11_lag_stratZ50ndj02', '1_lag_scpPSLjfm', '1_lag_amoSSTmjjaso']","[0.0008511605733344057, 0.14236740353969257, 0.10949131392592756, 0.05035935604915835, 0.066927341003353, 0.6382104799575944]","17_lag_eapPSLjfm, 1_lag_4_median_stratZ50ndj03, 17_lag_stratZ50ndj02, 11_lag_stratZ50ndj02, 1_lag_scpPSLjfm, 1_lag_amoSSTmjjaso_814_1"
LinearRegression,6,6,amo2,shigh,1720.5,2005.5,0.6,21,1,1,10.477968283601632,0.8474274781154107,858,"['1_lag_4_median_stratZ50ndj03', '17_lag_stratZ50ndj02', '17_lag_eapPSLjfm', '11_lag_stratZ50ndj02', '1_lag_scpPSLjfm', '1_lag_amoSSTmjjaso']","[0.1443326508187778, 0.10807270609746822, 0.001032694005711557, 0.0507899078925453, 0.06706701691199374, 0.6353964138111102]","1_lag_4_median_stratZ50ndj03, 17_lag_stratZ50ndj02, 17_lag_eapPSLjfm, 11_lag_stratZ50ndj02, 1_lag_scpPSLjfm, 1_lag_amoSSTmjjaso_858_1"
LinearRegression,7,6,amo2,shigh,1721.5,2005.5,0.6,22,1,1,10.203420612428284,0.8558586642718006,902,"['16_lag_eapPSLjfm', '17_lag_stratZ50ndj02', '17_lag_eapPSLjfm', '11_lag_stratZ50ndj02', '1_lag_scpPSLjfm', '1_lag_amoSSTmjjaso']","[0.04369462596259586, 0.11101474797046063, 0.009113399860653654, 0.04264182992840354, 0.08101120430920782, 0.6694250627709667]","16_lag_eapPSLjfm, 17_lag_stratZ50ndj02, 17_lag_eapPSLjfm, 11_lag_stratZ50ndj02, 1_lag_scpPSLjfm, 1_lag_amoSSTmjjaso_902_1"
LinearRegression,8,6,amo2,shigh,1722.5,2005.5,0.6,23,1,1,10.185677795590042,0.8557738188724967,946,"['16_lag_eapPSLjfm', '17_lag_eapPSLjfm', '17_lag_stratZ50ndj02', '11_lag_stratZ50ndj02', '1_lag_scpPSLjfm', '1_lag_amoSSTmjjaso']","[0.044092204260601515, 0.008842398615212133, 0.10913166317736203, 0.045017814249664195, 0.08315333233039574, 0.6679765388723675]","16_lag_eapPSLjfm, 17_lag_eapPSLjfm, 17_lag_stratZ50ndj02, 11_lag_stratZ50ndj02, 1_lag_scpPSLjfm, 1_lag_amoSSTmjjaso_946_1"
LinearRegression,9,6,amo2,shigh,1723.5,2005.5,0.6,24,1,1,10.114516797324153,0.8556403570057004,990,"['17_lag_eapPSLjfm', '17_lag_stratZ50ndj02', '16_lag_eapPSLjfm', '11_lag_stratZ50ndj02', '1_lag_scpPSLjfm', '1_lag_amoSSTmjjaso']","[0.010944746741081998, 0.11563828893634204, 0.043182828651375765, 0.04483280303562248, 0.08623825061793745, 0.676949279636438]","17_lag_eapPSLjfm, 17_lag_stratZ50ndj02, 16_lag_eapPSLjfm, 11_lag_stratZ50ndj02, 1_lag_scpPSLjfm, 1_lag_amoSSTmjjaso_990_1"
LinearRegression,10,6,amo2,shigh,1724.5,2005.5,0.6,25,1,1,10.174638016292363,0.8532899483870577,1034,"['24_lag_stratZ50ndj01', '17_lag_stratZ50ndj02', '24_lag_eurPSLjfm', '11_lag_stratZ50ndj02', '1_lag_scpPSLjfm', '1_lag_amoSSTmjjaso']","[0.04494459700303884, 0.10776553710589692, 0.05856638150105912, 0.05772176026876124, 0.08313852307537532, 0.6660660310719888]","24_lag_stratZ50ndj01, 17_lag_stratZ50ndj02, 24_lag_eurPSLjfm, 11_lag_stratZ50ndj02, 1_lag_scpPSLjfm, 1_lag_amoSSTmjjaso_1034_1"
LinearRegression,11,6,amo2,shigh,1725.5,2005.5,0.6,26,1,1,9.945360524114507,0.8487790989912676,1078,"['24_lag_stratZ50ndj01', '19_lag_stratZ50ndj01', '24_lag_eurPSLjfm', '11_lag_stratZ50ndj02', '1_lag_scpPSLjfm', '1_lag_amoSSTmjjaso']","[0.047538796457552664, 0.009625676195644875, 0.059332278560884466, 0.05893978070258039, 0.0813140738323586, 0.662256569429784]","24_lag_stratZ50ndj01, 19_lag_stratZ50ndj01, 24_lag_eurPSLjfm, 11_lag_stratZ50ndj02, 1_lag_scpPSLjfm, 1_lag_amoSSTmjjaso_1078_1"
LinearRegression,12,6,amo2,shigh,1726.5,2005.5,0.6,27,1,1,10.218784251015654,0.850264684154769,1122,"['17_lag_stratZ50ndj02', '24_lag_stratZ50ndj01', '24_lag_eurPSLjfm', '11_lag_stratZ50ndj02', '1_lag_scpPSLjfm', '1_lag_amoSSTmjjaso']","[0.10540768074390178, 0.0434824767109982, 0.05168886014539661, 0.05702370591295311, 0.08569251896257302, 0.6642691894986662]","17_lag_stratZ50ndj02, 24_lag_stratZ50ndj01, 24_lag_eurPSLjfm, 11_lag_stratZ50ndj02, 1_lag_scpPSLjfm, 1_lag_amoSSTmjjaso_1122_1"
LinearRegression,13,6,amo2,shigh,1727.5,2005.5,0.6,28,1,1,10.251316573184583,0.8502553727693832,1166,"['17_lag_stratZ50ndj02', '24_lag_stratZ50ndj01', '24_lag_eurPSLjfm', '11_lag_stratZ50ndj02', '1_lag_scpPSLjfm', '1_lag_amoSSTmjjaso']","[0.10545043976588861, 0.0461818977235946, 0.04936072897055427, 0.05414688320320103, 0.08601447071178694, 0.6606676819077472]","17_lag_stratZ50ndj02, 24_lag_stratZ50ndj01, 24_lag_eurPSLjfm, 11_lag_stratZ50ndj02, 1_lag_scpPSLjfm, 1_lag_amoSSTmjjaso_1166_1"
LinearRegression,14,6,amo2,shigh,1728.5,2005.5,0.6,29,1,1,10.034203776980732,0.8461353736765056,1210,"['24_lag_stratZ50ndj01', '19_lag_stratZ50ndj01', '24_lag_eurPSLjfm', '11_lag_stratZ50ndj02', '1_lag_scpPSLjfm', '1_lag_amoSSTmjjaso']","[0.04995067575483157, 0.0015943580640359611, 0.05142772984461759, 0.05136418579674357, 0.0815740961662224, 0.6553001572797059]","24_lag_stratZ50ndj01, 19_lag_stratZ50ndj01, 24_lag_eurPSLjfm, 11_lag_stratZ50ndj02, 1_lag_scpPSLjfm, 1_lag_amoSSTmjjaso_1210_1"
LinearRegression,15,6,amo2,shigh,1729.5,2005.5,0.6,30,1,1,10.341786646344122,0.8353761268707228,1254,"['20_lag_eapPSLjfm', '19_lag_stratZ50ndj01', '24_lag_stratZ50ndj01', '24_lag_eurPSLjfm', '1_lag_scpPSLjfm', '1_lag_amoSSTmjjaso']","[0.08232416058007043, 0.0049256401699154795, 0.04333990246374039, 0.05006544801438252, 0.0771480405433824, 0.6524528205117217]","20_lag_eapPSLjfm, 19_lag_stratZ50ndj01, 24_lag_stratZ50ndj01, 24_lag_eurPSLjfm, 1_lag_scpPSLjfm, 1_lag_amoSSTmjjaso_1254_1"
LinearRegression,16,6,amo2,shigh,1730.5,2005.5,0.6,31,1,1,10.074085245020365,0.8435651982665492,1298,"['19_lag_stratZ50ndj01', '11_lag_stratZ50ndj02', '24_lag_stratZ50ndj01', '24_lag_eurPSLjfm', '1_lag_scpPSLjfm', '1_lag_amoSSTmjjaso']","[0.0018529898823163918, 0.05297145478520629, 0.04021674598275553, 0.050716240227221474, 0.07579633249435025, 0.6460604040004101]","19_lag_stratZ50ndj01, 11_lag_stratZ50ndj02, 24_lag_stratZ50ndj01, 24_lag_eurPSLjfm, 1_lag_scpPSLjfm, 1_lag_amoSSTmjjaso_1298_1"
LinearRegression,17,6,amo2,shigh,1731.5,2005.5,0.6,32,2,2,13.391128861155835,0.7591692303903445,1298,"['24_lag_stratZ50ndj01', '31_lag_shSICmar', '11_lag_stratZ50ndj02', '29_lag_nppc2SSTjfm', '2_lag_amoSSTmjjaso', '24_lag_eurPSLjfm']","[0.008149775881803167, 0.21358785151503443, 0.056158386835965496, 0.21114689621174726, 0.4141015801704784, 0.08763075738740471]","24_lag_stratZ50ndj01, 31_lag_shSICmar, 11_lag_stratZ50ndj02, 29_lag_nppc2SSTjfm, 2_lag_amoSSTmjjaso, 24_lag_eurPSLjfm_1298_2"
LinearRegression,18,6,amo2,shigh,1732.5,2005.5,0.6,33,3,14,23.57532334999095,0.26826544649262574,1298,"['19_lag_nppc2SSTjfm', '30_lag_stratZ50ndj03', '14_lag_eapPSLjfm', '29_lag_nppc2SSTjfm', '31_lag_shSICmar', '24_lag_eurPSLjfm']","[0.086117175931699, 0.06772064795512032, 0.055975625881929586, 0.23046967995957832, 0.31093395864434287, 0.10144740095181774]","19_lag_nppc2SSTjfm, 30_lag_stratZ50ndj03, 14_lag_eapPSLjfm, 29_lag_nppc2SSTjfm, 31_lag_shSICmar, 24_lag_eurPSLjfm_1298_14"
LinearRegression,19,6,amo2,shigh,1733.5,2005.5,0.6,34,4,9,22.48811080813539,0.3852529552373649,1298,"['20_lag_eapPSLjfm', '17_lag_stratZ50ndj02', '9_lag_stratZ50ndj01', '29_lag_nppc2SSTjfm', '31_lag_shSICmar', '24_lag_eurPSLjfm']","[0.013921033673220763, 0.04310656241598701, 0.01336742299686295, 0.22670964685792797, 0.29848403684807256, 0.10725354788165256]","20_lag_eapPSLjfm, 17_lag_stratZ50ndj02, 9_lag_stratZ50ndj01, 29_lag_nppc2SSTjfm, 31_lag_shSICmar, 24_lag_eurPSLjfm_1298_9"
