model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,amo3,shigh,866.5,2005.5,0.6,15,1,1,13.105838252800583,0.3575573274208605,594,"['7_lag_stratZ50ndj01', '4_lag_nhSICjfm', '1_lag_5_median_eurPSLjfm', '11_lag_amoSSTjfm', '1_lag_4_median_amoSSTjfm', '1_lag_7_median_stratZ50ndj01', '3_lag_amo1', '1_lag_5_median_amoSSTjfm', '1_lag_5_median_shSICmar', '1_lag_14_median_shSICmar']","[1.4868610585051023, 5.3373904284283675, 0.08367996925280252, 3.167428585775502, 8.22087939751772, 7.256770542822839, 4.325103681384106, 5.639535306859312, 8.124886084879584, 2.235995337168159]","7_lag_stratZ50ndj01, 4_lag_nhSICjfm, 1_lag_5_median_eurPSLjfm, 11_lag_amoSSTjfm, 1_lag_4_median_amoSSTjfm, 1_lag_7_median_stratZ50ndj01, 3_lag_amo1, 1_lag_5_median_amoSSTjfm, 1_lag_5_median_shSICmar, 1_lag_14_median_shSICmar_594_1"
LRforcedPSO,1,10,amo3,shigh,867.5,2005.5,0.6,16,1,1,11.17097088154601,0.40572336605213344,638,"['15_lag_amo2', '9_lag_stratZ50ndj02', '1_lag_6_median_nhSICsep', '1_lag_5_median_naoPSLjfm', '1_lag_11_median_stratZ50ndj02', '1_lag_12_median_atlSICjfm', '1_lag_12_median_stratZ50ndj01', '1_lag_13_median_atlSICsep', '1_lag_2_median_stratZ50ndj04', '1_lag_5_median_shSICmar']","[0.07363324899299428, 6.453427305804393, 1.057994713484936, 0.7901988249091083, 2.463069562991908, 6.816871264165069, 4.262085930295482, 2.0057801684302294, 5.565477170819317, 2.1234008928024277]","15_lag_amo2, 9_lag_stratZ50ndj02, 1_lag_6_median_nhSICsep, 1_lag_5_median_naoPSLjfm, 1_lag_11_median_stratZ50ndj02, 1_lag_12_median_atlSICjfm, 1_lag_12_median_stratZ50ndj01, 1_lag_13_median_atlSICsep, 1_lag_2_median_stratZ50ndj04, 1_lag_5_median_shSICmar_638_1"
LRforcedPSO,2,10,amo3,shigh,868.5,2005.5,0.6,17,1,1,11.317033082952218,0.5174683324277412,682,"['10_lag_amoSSTmjjaso', '11_lag_amoSSTjfm', '1_lag_2_median_amo3', '15_lag_atlSICjfm', '16_lag_amoSSTjfm', '16_lag_shSICsep', '4_lag_amo3', '9_lag_amo1', '9_lag_amo2', '1_lag_8_median_shSICmar']","[4.9645838582212765, 0.08822538643359756, 8.807356276295167, 2.4396753705478202, 3.914968382397479, 3.8713539321827923, 1.0247406880671246, 4.585564568208152, 0.2224413079917138, 6.8001509851567565]","10_lag_amoSSTmjjaso, 11_lag_amoSSTjfm, 1_lag_2_median_amo3, 15_lag_atlSICjfm, 16_lag_amoSSTjfm, 16_lag_shSICsep, 4_lag_amo3, 9_lag_amo1, 9_lag_amo2, 1_lag_8_median_shSICmar_682_1"
LRforcedPSO,3,10,amo3,shigh,869.5,2005.5,0.6,18,1,1,12.382530319602598,0.431176712340193,726,"['10_lag_amo2', '1_lag_7_median_nhSICsep', '11_lag_shSICmar', '1_lag_8_median_atlSICsep', '1_lag_8_median_eapPSLjfm', '6_lag_shSICmar', '6_lag_nhSICjfm', '7_lag_nhSICjfm', '1_lag_9_median_solFORC', '1_lag_8_median_nhSICsep']","[0.9287458898269882, 0.24770273203850657, 4.0763409481305874, 8.975028963686517, 3.4630684632232054, 0.5382910866540485, 7.254494839871444, 0.2694493864260732, 3.112327632027972, 6.4202676969746335]","10_lag_amo2, 1_lag_7_median_nhSICsep, 11_lag_shSICmar, 1_lag_8_median_atlSICsep, 1_lag_8_median_eapPSLjfm, 6_lag_shSICmar, 6_lag_nhSICjfm, 7_lag_nhSICjfm, 1_lag_9_median_solFORC, 1_lag_8_median_nhSICsep_726_1"
LRforcedPSO,4,10,amo3,shigh,870.5,2005.5,0.6,19,1,1,12.973643830369507,0.48198907348966424,770,"['6_lag_scpPSLjfm', '1_lag_16_median_scpPSLjfm', '10_lag_shSICmar', '1_lag_5_median_scpPSLjfm', '6_lag_amoSSTjfm', '1_lag_14_median_nhSICjfm', '1_lag_2_median_AMOCann', '13_lag_amo3', '1_lag_13_median_amo2', '1_lag_6_median_amoSSTmjjaso']","[0.9196547066344873, 0.22139066947119268, 0.40147876520737036, 0.7199067026141428, 7.696478443477918, 9.997976486177722, 4.571117851378064, 0.9115733854041057, 2.7296768245003893, 2.9656439163485064]","6_lag_scpPSLjfm, 1_lag_16_median_scpPSLjfm, 10_lag_shSICmar, 1_lag_5_median_scpPSLjfm, 6_lag_amoSSTjfm, 1_lag_14_median_nhSICjfm, 1_lag_2_median_AMOCann, 13_lag_amo3, 1_lag_13_median_amo2, 1_lag_6_median_amoSSTmjjaso_770_1"
LRforcedPSO,5,10,amo3,shigh,871.5,2005.5,0.6,20,1,1,12.16522499969204,0.26927940071133344,814,"['1_lag_9_median_stratZ50ndj04', '8_lag_stratZ50ndj04', '18_lag_AMOCann', '1_lag_15_median_atlSICsep', '1_lag_11_median_nppc2SSTjfm', '14_lag_atlSICjfm', '1_lag_16_median_stratZ50ndj03', '8_lag_amo1', '1_lag_6_median_nppc2SSTjfm', '1_lag_7_median_stratZ50ndj04']","[3.985846648551659, 3.660746876004474, 5.733028361617826, 0.9463821305079136, 0.6497923162384716, 7.981301574664286, 2.454495944111505, 2.7732258423683813, 4.910342510541215, 0.4159245633276054]","1_lag_9_median_stratZ50ndj04, 8_lag_stratZ50ndj04, 18_lag_AMOCann, 1_lag_15_median_atlSICsep, 1_lag_11_median_nppc2SSTjfm, 14_lag_atlSICjfm, 1_lag_16_median_stratZ50ndj03, 8_lag_amo1, 1_lag_6_median_nppc2SSTjfm, 1_lag_7_median_stratZ50ndj04_814_1"
LRforcedPSO,6,10,amo3,shigh,872.5,2005.5,0.6,21,1,1,11.730112064816673,0.19657482396891932,858,"['1_lag_15_median_AMOCann', '11_lag_nhSICjfm', '1_lag_10_median_AMOCann', '8_lag_nhSICjfm', '1_lag_4_median_naoPSLjfm', '1_lag_15_median_nhSICjfm', '1_lag_19_median_shSICsep', '8_lag_amo3', '1_lag_7_median_amo3', '8_lag_stratZ50ndj01']","[7.065839607857111, 5.404997564943567, 1.745069294025761, 0.18145481864935853, 0.9599124662104899, 2.3671021183927277, 4.0081636582008, 2.4071112131831507, 2.4593630728655764, 4.170522849229432]","1_lag_15_median_AMOCann, 11_lag_nhSICjfm, 1_lag_10_median_AMOCann, 8_lag_nhSICjfm, 1_lag_4_median_naoPSLjfm, 1_lag_15_median_nhSICjfm, 1_lag_19_median_shSICsep, 8_lag_amo3, 1_lag_7_median_amo3, 8_lag_stratZ50ndj01_858_1"
LRforcedPSO,7,10,amo3,shigh,873.5,2005.5,0.6,22,2,2,15.512875989998959,-0.040090957956838605,858,"['4_lag_nhSICsep', '13_lag_eurPSLjfm', '14_lag_atlSICsep', '14_lag_shSICsep', '2_lag_17_median_amo1', '2_lag_14_median_AMOCann', '2_lag_3_median_amoSSTmjjaso', '6_lag_solFORC', '2_lag_10_median_solFORC', '17_lag_scpPSLjfm']","[7.371115884715918, 3.0432496372318454, 0.9309173822003629, 4.940158857440185, 3.003447695421828, 6.99071407248616, 2.042078727463492, 6.037433999721792, 4.951066258833752, 0.49290341813421357]","4_lag_nhSICsep, 13_lag_eurPSLjfm, 14_lag_atlSICsep, 14_lag_shSICsep, 2_lag_17_median_amo1, 2_lag_14_median_AMOCann, 2_lag_3_median_amoSSTmjjaso, 6_lag_solFORC, 2_lag_10_median_solFORC, 17_lag_scpPSLjfm_858_2"
LRforcedPSO,8,10,amo3,shigh,874.5,2005.5,0.6,23,3,3,10.197770822737603,0.47427952272378504,858,"['3_lag_4_median_AMOCann', '20_lag_amoSSTmjjaso', '3_lag_15_median_nppc2SSTjfm', '3_lag_12_median_eapPSLjfm', '22_lag_nhSICsep', '14_lag_nhSICjfm', '22_lag_stratZ50ndj02', '14_lag_eurPSLjfm', '3_lag_14_median_amoSSTjfm', '5_lag_shSICsep']","[1.8493138843325774, 1.5279291254344312, 0.4945560491338856, 4.068815154930199, 1.0902984206295585, 5.876362343239254, 0.9680438222566075, 0.38668533679730643, 3.705552924574455, 2.7133013725366624]","3_lag_4_median_AMOCann, 20_lag_amoSSTmjjaso, 3_lag_15_median_nppc2SSTjfm, 3_lag_12_median_eapPSLjfm, 22_lag_nhSICsep, 14_lag_nhSICjfm, 22_lag_stratZ50ndj02, 14_lag_eurPSLjfm, 3_lag_14_median_amoSSTjfm, 5_lag_shSICsep_858_3"
LRforcedPSO,9,10,amo3,shigh,875.5,2005.5,0.6,24,4,4,12.210695041356047,0.12635880331899726,858,"['4_lag_14_median_atlSICjfm', '4_lag_7_median_eapPSLjfm', '4_lag_13_median_nppc2SSTjfm', '9_lag_amo1', '5_lag_amo1', '4_lag_10_median_stratZ50ndj01', '4_lag_6_median_eapPSLjfm', '4_lag_23_median_AMOCann', '6_lag_eapPSLjfm', '4_lag_5_median_stratZ50ndj02']","[0.04508917714298555, 6.154447670195484, 2.223648356435014, 3.3780073925124476, 3.017898265747201, 0.7732368567666832, 2.6327351681745785, 4.945919492837147, 1.2875670220484974, 6.790382155103451]","4_lag_14_median_atlSICjfm, 4_lag_7_median_eapPSLjfm, 4_lag_13_median_nppc2SSTjfm, 9_lag_amo1, 5_lag_amo1, 4_lag_10_median_stratZ50ndj01, 4_lag_6_median_eapPSLjfm, 4_lag_23_median_AMOCann, 6_lag_eapPSLjfm, 4_lag_5_median_stratZ50ndj02_858_4"
LRforcedPSO,10,10,amo3,shigh,876.5,2005.5,0.6,25,5,5,11.65291618733145,0.3768316718650297,858,"['19_lag_AMOCann', '5_lag_17_median_amo2', '5_lag_9_median_amo3', '5_lag_6_median_shSICmar', '5_lag_10_median_shSICmar', '5_lag_22_median_stratZ50ndj02', '7_lag_solFORC', '5_lag_24_median_stratZ50ndj04', '5_lag_16_median_nhSICjfm', '5_lag_22_median_nppc2SSTjfm']","[3.170948718812671, 4.187479335593803, 0.6234296520346945, 3.1330536300589777, 1.2105308090248492, 0.583656583995678, 4.123785390309838, 7.4998097255480225, 1.6431937979324456, 0.21836258365579653]","19_lag_AMOCann, 5_lag_17_median_amo2, 5_lag_9_median_amo3, 5_lag_6_median_shSICmar, 5_lag_10_median_shSICmar, 5_lag_22_median_stratZ50ndj02, 7_lag_solFORC, 5_lag_24_median_stratZ50ndj04, 5_lag_16_median_nhSICjfm, 5_lag_22_median_nppc2SSTjfm_858_5"
