model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,amoSSTmjjaso,shigh,1714.5,2005.5,0.6,15,5,5,19.169433735116232,0.4222315711300995,1235,"['11_lag_neurTSjfm', '5_lag_12_median_stratZ50ndj01', '14_lag_tripol1', '8_lag_amo1', '10_lag_amo2', '12_lag_cetTSjfm', '9_lag_glomaSSTjfm', '14_lag_samPSLann', '11_lag_mhfIP30', '12_lag_amo1']","[4.445727871257281, 1.0394834258121968, 1.1526045324492031, 3.1776957832176933, 4.247684393097801, 0.057566118766827046, 8.166506163411611, 0.2967978805811313, 3.3509770887381185, 0.08627951922692034]","11_lag_neurTSjfm, 5_lag_12_median_stratZ50ndj01, 14_lag_tripol1, 8_lag_amo1, 10_lag_amo2, 12_lag_cetTSjfm, 9_lag_glomaSSTjfm, 14_lag_samPSLann, 11_lag_mhfIP30, 12_lag_amo1_1235_5"
LRforcedPSO,1,10,amoSSTmjjaso,shigh,1715.5,2005.5,0.6,16,6,6,26.35560755431013,-0.04126766051507964,1235,"['13_lag_mhfIP30', '6_lag_7_median_mhfATL30', '11_lag_AMOCann', '6_lag_7_median_tripol2', '6_lag_7_median_scpPSLjfm', '11_lag_labSSTjfm', '15_lag_traTLS', '6_lag_11_median_atlSICsep', '11_lag_ensoSSTjfm', '6_lag_7_median_traWP']","[6.840150324161879, 3.0597353373224863, 4.579750014907734, 1.42091641993537, 0.025916889183486447, 3.944361631971498, 0.38795245991341254, 1.0762304794724358, 1.773490056450175, 2.7348643810216373]","13_lag_mhfIP30, 6_lag_7_median_mhfATL30, 11_lag_AMOCann, 6_lag_7_median_tripol2, 6_lag_7_median_scpPSLjfm, 11_lag_labSSTjfm, 15_lag_traTLS, 6_lag_11_median_atlSICsep, 11_lag_ensoSSTjfm, 6_lag_7_median_traWP_1235_6"
LRforcedPSO,2,10,amoSSTmjjaso,shigh,1716.5,2005.5,0.6,17,7,7,17.574668894509664,0.37370771203511877,1235,"['7_lag_10_median_traTLS', '9_lag_traBS', '12_lag_arcTSjfm', '12_lag_seurTSjfm', '7_lag_glTSjfm', '7_lag_11_median_scpPSLjfm', '7_lag_10_median_labSSTjfm', '7_lag_12_median_traEU', '7_lag_seurTSjfm', '8_lag_traTLS']","[5.805361608150799, 0.581133093296085, 3.615465001513103, 3.0567273949678757, 5.647849416509324, 1.5252403026244288, 5.318543314295807, 0.8953726102753734, 5.404360950651821, 4.328286740837012]","7_lag_10_median_traTLS, 9_lag_traBS, 12_lag_arcTSjfm, 12_lag_seurTSjfm, 7_lag_glTSjfm, 7_lag_11_median_scpPSLjfm, 7_lag_10_median_labSSTjfm, 7_lag_12_median_traEU, 7_lag_seurTSjfm, 8_lag_traTLS_1235_7"
LRforcedPSO,3,10,amoSSTmjjaso,shigh,1717.5,2005.5,0.6,18,8,8,20.299787535466553,0.17687575072585554,1235,"['17_lag_mhfATL30', '8_lag_15_median_traFS', '8_lag_15_median_pdoSSTjfm', '8_lag_wnorPRjfm', '8_lag_15_median_nppc3SSTjfm', '10_lag_traIFC', '8_lag_9_median_seurTSjfm', '8_lag_14_median_glomaSSTjfm', '17_lag_atlSICjfm', '14_lag_atlSICsep']","[8.850398199223743, 3.9626693533428288, 2.3902810788313733, 2.488065324837061, 1.113589329616465, 2.569662677222448, 0.5068555018441518, 4.112015106602762, 5.864187471517914, 2.7251153631467027]","17_lag_mhfATL30, 8_lag_15_median_traFS, 8_lag_15_median_pdoSSTjfm, 8_lag_wnorPRjfm, 8_lag_15_median_nppc3SSTjfm, 10_lag_traIFC, 8_lag_9_median_seurTSjfm, 8_lag_14_median_glomaSSTjfm, 17_lag_atlSICjfm, 14_lag_atlSICsep_1235_8"
LRforcedPSO,4,10,amoSSTmjjaso,shigh,1718.5,2005.5,0.6,19,9,9,21.156897944599738,-0.13749804909359448,1235,"['9_lag_14_median_pdoSSTjfm', '12_lag_nhSICjfm', '12_lag_amo3', '13_lag_alpi', '16_lag_nhSICsep', '16_lag_traBS', '9_lag_15_median_traDP', '9_lag_16_median_stratZ50ndj02', '9_lag_15_median_stratZ50ndj02', '17_lag_tripol2']","[1.9026335671713053, 2.667732533362037, 4.966740446819307, 1.5885144398054507, 2.5069086591259904, 4.46391993216367, 3.6643039943730304, 3.643635900775884, 4.028738478982765, 0.18321766229090208]","9_lag_14_median_pdoSSTjfm, 12_lag_nhSICjfm, 12_lag_amo3, 13_lag_alpi, 16_lag_nhSICsep, 16_lag_traBS, 9_lag_15_median_traDP, 9_lag_16_median_stratZ50ndj02, 9_lag_15_median_stratZ50ndj02, 17_lag_tripol2_1235_9"
LRforcedPSO,5,10,amoSSTmjjaso,shigh,1719.5,2005.5,0.6,20,10,10,23.53905505853724,0.0020515813012066146,1235,"['19_lag_traMC', '10_lag_traWP', '10_lag_13_median_eurPSLjfm', '18_lag_traEC', '18_lag_labSSTjfm', '18_lag_traEU', '15_lag_traIT', '15_lag_atlSICjfm', '10_lag_17_median_traEC', '17_lag_traFSC']","[0.7103355765163233, 3.9882747267032004, 2.984757628441791, 0.8597910571267313, 0.5318625646943236, 5.978975921966768, 4.339897347879706, 0.6431570441036367, 0.9534732625051596, 5.100878793715406]","19_lag_traMC, 10_lag_traWP, 10_lag_13_median_eurPSLjfm, 18_lag_traEC, 18_lag_labSSTjfm, 18_lag_traEU, 15_lag_traIT, 15_lag_atlSICjfm, 10_lag_17_median_traEC, 17_lag_traFSC_1235_10"
LRforcedPSO,6,10,amoSSTmjjaso,shigh,1720.5,2005.5,0.6,21,11,11,20.78000703670251,0.04540960152112942,1235,"['11_lag_20_median_nppc2SSTjfm', '11_lag_12_median_traCA', '14_lag_glomaSSTjfm', '19_lag_traFB', '13_lag_alpi', '13_lag_nppc3SSTjfm', '14_lag_stratZ50ndj02', '11_lag_15_median_mhfATL60', '11_lag_13_median_amo2', '11_lag_16_median_naoPSLjfm']","[7.748573619380341, 8.131225881973087, 0.08884585550777047, 5.855989502527761, 1.3535303271356351, 0.4759653408725306, 5.6007706099843, 3.34977203580468, 9.363566938663904, 0.17325036295583907]","11_lag_20_median_nppc2SSTjfm, 11_lag_12_median_traCA, 14_lag_glomaSSTjfm, 19_lag_traFB, 13_lag_alpi, 13_lag_nppc3SSTjfm, 14_lag_stratZ50ndj02, 11_lag_15_median_mhfATL60, 11_lag_13_median_amo2, 11_lag_16_median_naoPSLjfm_1235_11"
LRforcedPSO,7,10,amoSSTmjjaso,shigh,1721.5,2005.5,0.6,22,12,12,14.304133598310779,0.4414724063517591,1235,"['19_lag_traFS', '17_lag_solFORC', '12_lag_ensoSSTjfm', '16_lag_stratZ50ndj03', '12_lag_traBO', '12_lag_21_median_wnorPRjfm', '12_lag_15_median_nhTSjfm', '17_lag_traEU', '15_lag_stratZ50ndj04', '12_lag_19_median_gyreSSTjfm']","[0.20944452888710607, 0.24091967702813477, 3.172853996126288, 2.7758528676068686, 2.2772753760870295, 4.840760230888776, 2.141598179630872, 3.5913852284031433, 9.93981399042758, 0.18528300685419197]","19_lag_traFS, 17_lag_solFORC, 12_lag_ensoSSTjfm, 16_lag_stratZ50ndj03, 12_lag_traBO, 12_lag_21_median_wnorPRjfm, 12_lag_15_median_nhTSjfm, 17_lag_traEU, 15_lag_stratZ50ndj04, 12_lag_19_median_gyreSSTjfm_1235_12"
LRforcedPSO,8,10,amoSSTmjjaso,shigh,1722.5,2005.5,0.6,23,13,13,19.08081912041661,0.29766537230082374,1235,"['21_lag_pdoSSTjfm', '13_lag_nhSICsep', '13_lag_17_median_traDS', '19_lag_traFS', '13_lag_14_median_ormenSSTjfm', '22_lag_traFS', '13_lag_14_median_traTLS', '21_lag_cetTSjfm', '17_lag_nchinaPRjja', '18_lag_wnorPRjfm']","[7.650737354572992, 0.7421185545576297, 0.9604480446639734, 7.522125678837455, 7.1278526653989225, 0.09030277107148521, 5.856491353614974, 2.6541910127063755, 4.63193035836947, 2.896261619711982]","21_lag_pdoSSTjfm, 13_lag_nhSICsep, 13_lag_17_median_traDS, 19_lag_traFS, 13_lag_14_median_ormenSSTjfm, 22_lag_traFS, 13_lag_14_median_traTLS, 21_lag_cetTSjfm, 17_lag_nchinaPRjja, 18_lag_wnorPRjfm_1235_13"
LRforcedPSO,9,10,amoSSTmjjaso,shigh,1723.5,2005.5,0.6,24,14,14,27.215790623862667,-0.04655711004509133,1235,"['14_lag_17_median_tripol3', '14_lag_22_median_AMOCann', '15_lag_naoPSLjfm', '14_lag_20_median_naoPSLjfm', '22_lag_eapPSLjfm', '14_lag_18_median_traDS', '14_lag_16_median_gyreSSTjfm', '14_lag_22_median_traIT', '23_lag_pdoSSTjfm', '14_lag_17_median_stratZ50ndj03']","[0.5998878840375532, 4.321844518154304, 3.234840335710021, 1.167444548423484, 4.849456097465634, 3.5541965169194825, 0.23174360388130566, 2.5105798625031905, 5.122095800641063, 2.0890092685775556]","14_lag_17_median_tripol3, 14_lag_22_median_AMOCann, 15_lag_naoPSLjfm, 14_lag_20_median_naoPSLjfm, 22_lag_eapPSLjfm, 14_lag_18_median_traDS, 14_lag_16_median_gyreSSTjfm, 14_lag_22_median_traIT, 23_lag_pdoSSTjfm, 14_lag_17_median_stratZ50ndj03_1235_14"
