model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,amoSSTmjjaso,shigh,1714.5,2005.5,0.6,15,5,5,20.238330085288897,0.4356815075129023,418,"['5_lag_14_median_eurPSLjfm', '5_lag_11_median_amoSSTjfm', '5_lag_12_median_stratZ50ndj01', '5_lag_11_median_solFORC', '5_lag_6_median_nhSICjfm', '8_lag_stratZ50ndj03', '5_lag_13_median_eurPSLjfm', '5_lag_7_median_solFORC', '12_lag_stratZ50ndj02', '5_lag_11_median_atlSICjfm']","[1.3817544080615658, 1.6063438109390926, 2.0950479153360284, 7.295877990431341, 4.251486744822774, 3.320218784135138, 2.3927322778807163, 8.139541890742837, 1.8239805804914226, 8.53210870628834]","5_lag_14_median_eurPSLjfm, 5_lag_11_median_amoSSTjfm, 5_lag_12_median_stratZ50ndj01, 5_lag_11_median_solFORC, 5_lag_6_median_nhSICjfm, 8_lag_stratZ50ndj03, 5_lag_13_median_eurPSLjfm, 5_lag_7_median_solFORC, 12_lag_stratZ50ndj02, 5_lag_11_median_atlSICjfm_418_5"
LRforcedPSO,1,10,amoSSTmjjaso,shigh,1715.5,2005.5,0.6,16,6,6,13.010142953511751,0.6117533110481994,418,"['15_lag_amo2', '6_lag_amo1', '15_lag_atlSICjfm', '6_lag_11_median_shSICmar', '14_lag_atlSICjfm', '7_lag_atlSICjfm', '6_lag_11_median_nhSICsep', '7_lag_AMOCann', '12_lag_atlSICsep', '6_lag_8_median_stratZ50ndj01']","[7.794515079856996, 0.9927386098192166, 0.10112255942163983, 4.238315631322136, 7.6144048529417105, 6.3570508658672615, 2.0805790234889843, 4.408409540658321, 0.395909457476467, 3.7351919361989783]","15_lag_amo2, 6_lag_amo1, 15_lag_atlSICjfm, 6_lag_11_median_shSICmar, 14_lag_atlSICjfm, 7_lag_atlSICjfm, 6_lag_11_median_nhSICsep, 7_lag_AMOCann, 12_lag_atlSICsep, 6_lag_8_median_stratZ50ndj01_418_6"
LRforcedPSO,2,10,amoSSTmjjaso,shigh,1716.5,2005.5,0.6,17,7,7,14.68677966452911,0.44912264077690606,418,"['16_lag_amoSSTmjjaso', '8_lag_amo1', '9_lag_naoPSLjfm', '7_lag_14_median_amo3', '11_lag_amoSSTmjjaso', '11_lag_stratZ50ndj02', '7_lag_16_median_nppc2SSTjfm', '7_lag_10_median_stratZ50ndj02', '9_lag_shSICmar', '14_lag_scpPSLjfm']","[1.9582706000465322, 0.6949750936580372, 0.4263449069797538, 3.2058702218473396, 0.7692767894908226, 5.004234754138713, 5.938705482579678, 7.6241890871862275, 2.369353470169422, 7.057580221177005]","16_lag_amoSSTmjjaso, 8_lag_amo1, 9_lag_naoPSLjfm, 7_lag_14_median_amo3, 11_lag_amoSSTmjjaso, 11_lag_stratZ50ndj02, 7_lag_16_median_nppc2SSTjfm, 7_lag_10_median_stratZ50ndj02, 9_lag_shSICmar, 14_lag_scpPSLjfm_418_7"
LRforcedPSO,3,10,amoSSTmjjaso,shigh,1717.5,2005.5,0.6,18,8,8,12.252065142752036,0.5869101262040092,418,"['8_lag_17_median_naoPSLjfm', '8_lag_16_median_naoPSLjfm', '8_lag_10_median_atlSICsep', '8_lag_13_median_amo2', '8_lag_10_median_stratZ50ndj02', '8_lag_12_median_amoSSTjfm', '8_lag_11_median_stratZ50ndj01', '8_lag_14_median_stratZ50ndj04', '16_lag_amoSSTjfm', '8_lag_9_median_amo1']","[0.49123973713750146, 0.7803588581026801, 2.0568004572214775, 1.3084197449503527, 1.6953260354714317, 1.2088443605562027, 4.318079531120809, 6.6751851867682745, 0.20377153255632052, 0.2276722878947819]","8_lag_17_median_naoPSLjfm, 8_lag_16_median_naoPSLjfm, 8_lag_10_median_atlSICsep, 8_lag_13_median_amo2, 8_lag_10_median_stratZ50ndj02, 8_lag_12_median_amoSSTjfm, 8_lag_11_median_stratZ50ndj01, 8_lag_14_median_stratZ50ndj04, 16_lag_amoSSTjfm, 8_lag_9_median_amo1_418_8"
LRforcedPSO,4,10,amoSSTmjjaso,shigh,1718.5,2005.5,0.6,19,9,9,24.78926111676992,0.10764144877563983,418,"['9_lag_stratZ50ndj03', '9_lag_13_median_stratZ50ndj04', '16_lag_amoSSTmjjaso', '18_lag_stratZ50ndj01', '17_lag_stratZ50ndj03', '9_lag_atlSICsep', '9_lag_14_median_nppc2SSTjfm', '9_lag_16_median_shSICsep', '9_lag_14_median_amo3', '9_lag_10_median_atlSICjfm']","[0.21236305226331176, 2.7486811622386593, 1.7595150594624283, 1.6548888354270552, 5.686750752543803, 1.333162918668231, 2.1169995006621667, 4.299750369280044, 5.744036329176733, 5.15169947317421]","9_lag_stratZ50ndj03, 9_lag_13_median_stratZ50ndj04, 16_lag_amoSSTmjjaso, 18_lag_stratZ50ndj01, 17_lag_stratZ50ndj03, 9_lag_atlSICsep, 9_lag_14_median_nppc2SSTjfm, 9_lag_16_median_shSICsep, 9_lag_14_median_amo3, 9_lag_10_median_atlSICjfm_418_9"
LRforcedPSO,5,10,amoSSTmjjaso,shigh,1719.5,2005.5,0.6,20,10,10,23.415917209539987,0.030686698222533983,418,"['14_lag_shSICsep', '10_lag_15_median_atlSICjfm', '10_lag_19_median_solFORC', '10_lag_14_median_stratZ50ndj02', '10_lag_15_median_stratZ50ndj03', '18_lag_amoSSTjfm', '14_lag_naoPSLjfm', '10_lag_18_median_stratZ50ndj03', '11_lag_amoSSTmjjaso', '10_lag_11_median_solFORC']","[4.93340905871699, 6.397843480784142, 0.9354857268793673, 1.5823017352073592, 4.486373426866255, 4.387610000236048, 0.15582332537567645, 8.670576071515985, 4.242245867787979, 9.67162169882527]","14_lag_shSICsep, 10_lag_15_median_atlSICjfm, 10_lag_19_median_solFORC, 10_lag_14_median_stratZ50ndj02, 10_lag_15_median_stratZ50ndj03, 18_lag_amoSSTjfm, 14_lag_naoPSLjfm, 10_lag_18_median_stratZ50ndj03, 11_lag_amoSSTmjjaso, 10_lag_11_median_solFORC_418_10"
LRforcedPSO,6,10,amoSSTmjjaso,shigh,1720.5,2005.5,0.6,21,11,11,19.155824904155793,0.34388518517549516,418,"['15_lag_eurPSLjfm', '18_lag_stratZ50ndj01', '11_lag_15_median_nhSICjfm', '11_lag_13_median_stratZ50ndj01', '11_lag_12_median_solFORC', '11_lag_17_median_atlSICjfm', '14_lag_nhSICjfm', '11_lag_20_median_atlSICjfm', '11_lag_12_median_amo3', '12_lag_eapPSLjfm']","[1.75753705227946, 1.968075080552918, 6.1772092499491205, 1.4526837752276034, 5.559695079746376, 8.39437094981558, 2.2802537045302422, 9.038256152608163, 2.1775791605240684, 4.261350504368815]","15_lag_eurPSLjfm, 18_lag_stratZ50ndj01, 11_lag_15_median_nhSICjfm, 11_lag_13_median_stratZ50ndj01, 11_lag_12_median_solFORC, 11_lag_17_median_atlSICjfm, 14_lag_nhSICjfm, 11_lag_20_median_atlSICjfm, 11_lag_12_median_amo3, 12_lag_eapPSLjfm_418_11"
LRforcedPSO,7,10,amoSSTmjjaso,shigh,1721.5,2005.5,0.6,22,12,12,21.08424440181675,0.279434146513206,418,"['12_lag_15_median_amoSSTjfm', '12_lag_15_median_amoSSTmjjaso', '13_lag_eurPSLjfm', '15_lag_scpPSLjfm', '12_lag_14_median_amoSSTjfm', '19_lag_atlSICjfm', '13_lag_amo2', '16_lag_stratZ50ndj02', '14_lag_AMOCann', '12_lag_15_median_amo2']","[3.001926372853168, 0.15278236711493598, 1.765540731326114, 5.47093713206507, 1.8256283902699444, 4.090638598979329, 0.5658350715827076, 2.5118543924680363, 0.6376612256394605, 1.3263174154481234]","12_lag_15_median_amoSSTjfm, 12_lag_15_median_amoSSTmjjaso, 13_lag_eurPSLjfm, 15_lag_scpPSLjfm, 12_lag_14_median_amoSSTjfm, 19_lag_atlSICjfm, 13_lag_amo2, 16_lag_stratZ50ndj02, 14_lag_AMOCann, 12_lag_15_median_amo2_418_12"
LRforcedPSO,8,10,amoSSTmjjaso,shigh,1722.5,2005.5,0.6,23,13,13,17.629272135291775,0.40391185332489704,418,"['16_lag_stratZ50ndj04', '13_lag_stratZ50ndj03', '13_lag_21_median_naoPSLjfm', '13_lag_17_median_amo3', '13_lag_14_median_solFORC', '13_lag_18_median_naoPSLjfm', '17_lag_amo2', '18_lag_naoPSLjfm', '20_lag_amoSSTjfm', '13_lag_19_median_solFORC']","[2.967437161408011, 2.7427205530691054, 4.032682062501966, 0.5630295602438942, 7.485992534249801, 6.0482656989387396, 3.1588227739188905, 0.9842370668064824, 0.8569927149993397, 9.230416998041303]","16_lag_stratZ50ndj04, 13_lag_stratZ50ndj03, 13_lag_21_median_naoPSLjfm, 13_lag_17_median_amo3, 13_lag_14_median_solFORC, 13_lag_18_median_naoPSLjfm, 17_lag_amo2, 18_lag_naoPSLjfm, 20_lag_amoSSTjfm, 13_lag_19_median_solFORC_418_13"
LRforcedPSO,9,10,amoSSTmjjaso,shigh,1723.5,2005.5,0.6,24,14,14,27.833906763895325,-0.14909404713983135,418,"['20_lag_shSICmar', '17_lag_amo2', '14_lag_21_median_shSICsep', '14_lag_20_median_atlSICjfm', '17_lag_atlSICsep', '17_lag_stratZ50ndj02', '14_lag_21_median_amo2', '14_lag_15_median_amo1', '14_lag_20_median_stratZ50ndj01', '19_lag_amoSSTjfm']","[7.142706803732315, 2.773232915406961, 0.8739311976705189, 6.730644255852201, 3.733544978431688, 0.33910884316662937, 0.22342150241117587, 1.2390992819514768, 4.271598398267315, 8.163913562051597]","20_lag_shSICmar, 17_lag_amo2, 14_lag_21_median_shSICsep, 14_lag_20_median_atlSICjfm, 17_lag_atlSICsep, 17_lag_stratZ50ndj02, 14_lag_21_median_amo2, 14_lag_15_median_amo1, 14_lag_20_median_stratZ50ndj01, 19_lag_amoSSTjfm_418_14"
