model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,6,amoSSTmjjaso,shigh,1514.5,2005.5,0.6,15,1,5,21.03432503821818,-0.12235352557689477,1755,"['5_lag_shSICmar', '10_lag_stratZ50ndj03', '5_lag_nchinaPRjja', '12_lag_traBS', '6_lag_scpPSLjfm', '5_lag_traIT']","[0.09877058932907463, 0.018445430142608216, 0.09209668005030874, 0.09774351814008869, 0.028631595176969858, 0.02690040503446303]","5_lag_shSICmar, 10_lag_stratZ50ndj03, 5_lag_nchinaPRjja, 12_lag_traBS, 6_lag_scpPSLjfm, 5_lag_traIT_1755_5"
LinearRegression,1,6,amoSSTmjjaso,shigh,1515.5,2005.5,0.6,16,1,5,21.032477315726098,-0.12194448327955412,1885,"['6_lag_scpPSLjfm', '12_lag_traBS', '5_lag_nchinaPRjja', '5_lag_shSICmar', '10_lag_stratZ50ndj03', '5_lag_traIT']","[0.028495379602000756, 0.09799238261519515, 0.09242150186312754, 0.09798152764882007, 0.01928075320522414, 0.026050238899807107]","6_lag_scpPSLjfm, 12_lag_traBS, 5_lag_nchinaPRjja, 5_lag_shSICmar, 10_lag_stratZ50ndj03, 5_lag_traIT_1885_5"
LinearRegression,2,6,amoSSTmjjaso,shigh,1516.5,2005.5,0.6,17,1,3,20.75913919265692,-0.02555301641467017,2015,"['5_lag_shSICmar', '6_lag_traBS', '3_lag_samPSLann', '5_lag_nchinaPRjja', '6_lag_scpPSLjfm', '5_lag_traIT']","[0.11532957598490264, 0.09160180625708741, 0.036063589919638823, 0.1070496171561519, 0.0385893662223413, 0.025326776729848576]","5_lag_shSICmar, 6_lag_traBS, 3_lag_samPSLann, 5_lag_nchinaPRjja, 6_lag_scpPSLjfm, 5_lag_traIT_2015_3"
LinearRegression,3,6,amoSSTmjjaso,shigh,1517.5,2005.5,0.6,18,1,3,20.537310608144104,0.03930347765642881,2145,"['3_lag_samPSLann', '12_lag_scpPSLjfm', '6_lag_traBS', '5_lag_nchinaPRjja', '6_lag_scpPSLjfm', '5_lag_traIT']","[0.03817279432261491, 0.04020424162327407, 0.08352848568857055, 0.10641304530624324, 0.043606661189209625, 0.02591276197240147]","3_lag_samPSLann, 12_lag_scpPSLjfm, 6_lag_traBS, 5_lag_nchinaPRjja, 6_lag_scpPSLjfm, 5_lag_traIT_2145_3"
LinearRegression,4,6,amoSSTmjjaso,shigh,1518.5,2005.5,0.6,19,1,5,20.561014577075987,0.05313042611567419,2275,"['8_lag_eapPSLjfm', '16_lag_alpi', '12_lag_scpPSLjfm', '5_lag_nchinaPRjja', '6_lag_scpPSLjfm', '5_lag_traIT']","[0.014384946437789183, 0.03384072189048207, 0.04051895207195625, 0.09211931470769752, 0.04114806907513151, 0.02160266780531283]","8_lag_eapPSLjfm, 16_lag_alpi, 12_lag_scpPSLjfm, 5_lag_nchinaPRjja, 6_lag_scpPSLjfm, 5_lag_traIT_2275_5"
LinearRegression,5,6,amoSSTmjjaso,shigh,1519.5,2005.5,0.6,20,1,5,20.759377088504433,0.07148768514561263,2405,"['14_lag_stratZ50ndj01', '16_lag_alpi', '8_lag_eapPSLjfm', '6_lag_scpPSLjfm', '5_lag_nchinaPRjja', '5_lag_traIT']","[0.11883382083277576, 0.04038893095353158, 0.010766779077023416, 0.03939569912927643, 0.07209087331899827, 0.020452076299492104]","14_lag_stratZ50ndj01, 16_lag_alpi, 8_lag_eapPSLjfm, 6_lag_scpPSLjfm, 5_lag_nchinaPRjja, 5_lag_traIT_2405_5"
LinearRegression,6,6,amoSSTmjjaso,shigh,1520.5,2005.5,0.6,21,1,5,20.297271832554898,0.1465749630884152,2535,"['16_lag_stratZ50ndj04', '20_lag_traBS', '14_lag_stratZ50ndj01', '6_lag_scpPSLjfm', '5_lag_traIT', '5_lag_nchinaPRjja']","[0.04986005150919513, 0.03346874279604149, 0.12102202860920902, 0.03704164234551056, 0.024986369389679144, 0.07136151727997506]","16_lag_stratZ50ndj04, 20_lag_traBS, 14_lag_stratZ50ndj01, 6_lag_scpPSLjfm, 5_lag_traIT, 5_lag_nchinaPRjja_2535_5"
LinearRegression,7,6,amoSSTmjjaso,shigh,1521.5,2005.5,0.6,22,1,5,20.644013372595744,-0.004430328809405703,2665,"['14_lag_alpi', '8_lag_eapPSLjfm', '6_lag_scpPSLjfm', '5_lag_traIT', '21_lag_yrvPRjja', '5_lag_nchinaPRjja']","[0.06867389912438825, 0.0325633757887123, 0.03775181373205038, 0.01247387742081017, 0.07281519376284121, 0.08997182448989054]","14_lag_alpi, 8_lag_eapPSLjfm, 6_lag_scpPSLjfm, 5_lag_traIT, 21_lag_yrvPRjja, 5_lag_nchinaPRjja_2665_5"
LinearRegression,8,6,amoSSTmjjaso,shigh,1522.5,2005.5,0.6,23,1,5,20.68636393207475,0.04677684251517566,2795,"['8_lag_eapPSLjfm', '20_lag_traBS', '14_lag_stratZ50ndj01', '5_lag_traIT', '21_lag_yrvPRjja', '5_lag_nchinaPRjja']","[0.017906144070572245, 0.046814497412130895, 0.11736389646799968, 0.022524549257102743, 0.04720481818482651, 0.08435319559284685]","8_lag_eapPSLjfm, 20_lag_traBS, 14_lag_stratZ50ndj01, 5_lag_traIT, 21_lag_yrvPRjja, 5_lag_nchinaPRjja_2795_5"
LinearRegression,9,6,amoSSTmjjaso,shigh,1523.5,2005.5,0.6,24,1,5,20.28062144062899,0.11765668599866062,2925,"['16_lag_shSICsep', '6_lag_traBS', '8_lag_eapPSLjfm', '21_lag_yrvPRjja', '5_lag_traIT', '5_lag_nchinaPRjja']","[0.007885070021633874, 0.07319887881342763, 0.030349758434391118, 0.05530359886308871, 0.0074782324758668195, 0.10690487712736216]","16_lag_shSICsep, 6_lag_traBS, 8_lag_eapPSLjfm, 21_lag_yrvPRjja, 5_lag_traIT, 5_lag_nchinaPRjja_2925_5"
