model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,30,arcTSjfm,shigh,1714.5,2005.5,0.4,15,1,1,28.831435334302068,0.4395007058527206,1755,"['1_lag_8_median_ensoSSTjfm', '7_lag_mhfIP30', '14_lag_satlSSTjfm', '1_lag_6_median_labSSTjfm', '1_lag_8_median_seurTSjfm', '9_lag_nhSICsep', '1_lag_10_median_tripol1', '1_lag_12_median_traBO', '13_lag_tripol3', '6_lag_shTSjfm', '1_lag_14_median_mhfATL45', '1_lag_8_median_eurPSLjfm', '10_lag_stratZ50ndj04', '1_lag_5_median_yrvPRjja', '1_lag_3_median_naoPSLjfm', '1_lag_stratZ50ndj01', '10_lag_ginwSSTjfm', '1_lag_14_median_AMOCann', '1_lag_11_median_traMC', '1_lag_14_median_traCA', '13_lag_satlSSTjfm', '14_lag_mhfIP30', '1_lag_9_median_wnorPRjfm', '1_lag_mhfATL30', '2_lag_gyreSSTjfm', '12_lag_amo2', '1_lag_6_median_traTLS', '9_lag_traMC', '2_lag_traIFC', '10_lag_stratZ50ndj03']","[7.181859936360059, 7.671531073416254, 0.6362934580060458, 1.410150603136632, 6.724816552606278, 2.5690042724338014, 5.761884307295697, 0.13772251036378513, 4.324192326907816, 6.179005522985513, 8.033030022003814, 3.4358677967694735, 1.0621000552683455, 3.744010107502767, 0.6068801372767467, 6.974285390791508, 1.6643231167471928, 6.272467556217055, 3.6087127744655216, 3.8444151511102653, 2.074708391680642, 5.394605648837263, 8.962802689556327, 0.9344805854098794, 6.370711487155065, 1.67205551437182, 8.959578044526857, 3.8960141740112775, 3.3079445665873486, 1.543191545317665]","1_lag_8_median_ensoSSTjfm, 7_lag_mhfIP30, 14_lag_satlSSTjfm, 1_lag_6_median_labSSTjfm, 1_lag_8_median_seurTSjfm, 9_lag_nhSICsep, 1_lag_10_median_tripol1, 1_lag_12_median_traBO, 13_lag_tripol3, 6_lag_shTSjfm, 1_lag_14_median_mhfATL45, 1_lag_8_median_eurPSLjfm, 10_lag_stratZ50ndj04, 1_lag_5_median_yrvPRjja, 1_lag_3_median_naoPSLjfm, 1_lag_stratZ50ndj01, 10_lag_ginwSSTjfm, 1_lag_14_median_AMOCann, 1_lag_11_median_traMC, 1_lag_14_median_traCA, 13_lag_satlSSTjfm, 14_lag_mhfIP30, 1_lag_9_median_wnorPRjfm, 1_lag_mhfATL30, 2_lag_gyreSSTjfm, 12_lag_amo2, 1_lag_6_median_traTLS, 9_lag_traMC, 2_lag_traIFC, 10_lag_stratZ50ndj03_1755_1"
LRforcedPSO,1,30,arcTSjfm,shigh,1715.5,2005.5,0.4,16,1,1,34.76160118168309,0.41695038676729007,1885,"['1_lag_15_median_ensoSSTjfm', '1_lag_4_median_ensoSSTjfm', '7_lag_traTLS', '1_lag_15_median_traFSC', '5_lag_pdoSSTjfm', '1_lag_9_median_mhfATL45', '1_lag_5_median_amo2', '5_lag_traFB', '1_lag_8_median_shTSjfm', '8_lag_nppc2SSTjfm', '1_lag_8_median_mhfATL45', '1_lag_9_median_stratZ50ndj03', '5_lag_eapPSLjfm', '1_lag_8_median_ginwSSTjfm', '1_lag_14_median_ismPRjja', '1_lag_7_median_tripol3', '1_lag_13_median_glTSjfm', '14_lag_traBS', '12_lag_traDS', '1_lag_5_median_traFS', '1_lag_14_median_traMC', '1_lag_15_median_traBS', '6_lag_samPSLann', '1_lag_10_median_stratZ50ndj03', '1_lag_10_median_tripol3', '14_lag_traWP', '1_lag_arcTSjfm', '6_lag_satlSSTjfm', '10_lag_eapPSLjfm', '1_lag_14_median_samPSLann']","[6.3560180516335265, 4.976674862424129, 5.397526747563644, 6.136034291375898, 2.2248395695107543, 8.625320872606771, 0.21074610196749433, 2.647321263976112, 1.6735366277625658, 3.735764139498876, 6.674546155159334, 7.466545099474922, 1.035055835391363, 0.5825209640270064, 8.163969058394574, 2.986291300369608, 7.477531393140723, 0.5640107838588762, 5.1446535908889235, 2.7419084541869694, 3.9419908777764263, 3.6473695067935985, 5.340039510635619, 8.48836782333133, 2.6440232835346933, 4.114455355868159, 8.06370713477633, 0.9007548456350207, 1.1216375028892998, 3.8834745156253163]","1_lag_15_median_ensoSSTjfm, 1_lag_4_median_ensoSSTjfm, 7_lag_traTLS, 1_lag_15_median_traFSC, 5_lag_pdoSSTjfm, 1_lag_9_median_mhfATL45, 1_lag_5_median_amo2, 5_lag_traFB, 1_lag_8_median_shTSjfm, 8_lag_nppc2SSTjfm, 1_lag_8_median_mhfATL45, 1_lag_9_median_stratZ50ndj03, 5_lag_eapPSLjfm, 1_lag_8_median_ginwSSTjfm, 1_lag_14_median_ismPRjja, 1_lag_7_median_tripol3, 1_lag_13_median_glTSjfm, 14_lag_traBS, 12_lag_traDS, 1_lag_5_median_traFS, 1_lag_14_median_traMC, 1_lag_15_median_traBS, 6_lag_samPSLann, 1_lag_10_median_stratZ50ndj03, 1_lag_10_median_tripol3, 14_lag_traWP, 1_lag_arcTSjfm, 6_lag_satlSSTjfm, 10_lag_eapPSLjfm, 1_lag_14_median_samPSLann_1885_1"
LRforcedPSO,2,30,arcTSjfm,shigh,1716.5,2005.5,0.4,17,1,1,20.20026667969367,0.1492915593721746,2015,"['7_lag_traMC', '14_lag_traTLS', '1_lag_3_median_atlSICsep', '11_lag_solFORC', '14_lag_traBO', '13_lag_traIFC', '1_lag_10_median_ensoSSTjfm', '8_lag_nhSICsep', '1_lag_6_median_satlSSTjfm', '1_lag_2_median_stratZ50ndj03', '1_lag_12_median_ormenSSTjfm', '1_lag_12_median_atlSICjfm', '12_lag_tripol3', '1_lag_7_median_nhSICjfm', '1_lag_8_median_traIT', '10_lag_tripol1', '1_lag_6_median_glTSjfm', '1_lag_14_median_pdoSSTjfm', '1_lag_11_median_traIT', '1_lag_5_median_traTLS', '1_lag_2_median_gyreSSTjfm', '9_lag_shSICsep', '6_lag_traFB', '11_lag_ginwSSTjfm', '1_lag_8_median_samPSLann', '1_lag_12_median_shSICsep', '14_lag_arcTSjfm', '9_lag_amo3', '1_lag_2_median_yrvPRjja', '7_lag_tripol3']","[5.776453004878972, 2.762204651644973, 1.1919532955515955, 2.6346807008641164, 7.131790451168769, 2.396977049058644, 2.8424703096484905, 3.735983588137386, 1.904203407814629, 4.224856066419161, 0.16089286741090802, 1.2103583204723218, 7.958082763968339, 4.470166976211669, 0.1879637237592302, 6.298478196490005, 4.709265911431569, 6.947722118157413, 5.649802694993554, 3.2115734846886745, 4.003988170519368, 0.5752146732144148, 1.9571400920291744, 1.7388110602599625, 1.3368922244064745, 7.521328136430807, 2.736804695865043, 0.96473392929434, 8.568444262586308, 3.4082959488628095]","7_lag_traMC, 14_lag_traTLS, 1_lag_3_median_atlSICsep, 11_lag_solFORC, 14_lag_traBO, 13_lag_traIFC, 1_lag_10_median_ensoSSTjfm, 8_lag_nhSICsep, 1_lag_6_median_satlSSTjfm, 1_lag_2_median_stratZ50ndj03, 1_lag_12_median_ormenSSTjfm, 1_lag_12_median_atlSICjfm, 12_lag_tripol3, 1_lag_7_median_nhSICjfm, 1_lag_8_median_traIT, 10_lag_tripol1, 1_lag_6_median_glTSjfm, 1_lag_14_median_pdoSSTjfm, 1_lag_11_median_traIT, 1_lag_5_median_traTLS, 1_lag_2_median_gyreSSTjfm, 9_lag_shSICsep, 6_lag_traFB, 11_lag_ginwSSTjfm, 1_lag_8_median_samPSLann, 1_lag_12_median_shSICsep, 14_lag_arcTSjfm, 9_lag_amo3, 1_lag_2_median_yrvPRjja, 7_lag_tripol3_2015_1"
LRforcedPSO,3,30,arcTSjfm,shigh,1717.5,2005.5,0.4,18,1,1,24.02239942163478,0.1904259391618556,2145,"['17_lag_cetTSjfm', '1_lag_2_median_traEC', '1_lag_16_median_amo2', '1_lag_16_median_AMOCann', '1_lag_7_median_satlSSTjfm', '3_lag_traCA', '1_lag_11_median_traIFC', '1_lag_15_median_ensoSSTjfm', '9_lag_traIT', '1_lag_3_median_tripol1', '1_lag_5_median_ginwSSTjfm', '1_lag_10_median_tripol3', '1_lag_2_median_cetTSjfm', '12_lag_traMC', '1_lag_2_median_naoPSLjfm', '2_lag_amo2', '13_lag_nchinaPRjja', '1_lag_14_median_traFB', '5_lag_amo1', '1_lag_3_median_tripol3', '12_lag_traCA', '1_lag_5_median_tripol1', '1_lag_12_median_satlSSTjfm', '7_lag_traBS', '11_lag_traIT', '5_lag_traDP', '2_lag_amo1', '1_lag_7_median_ormenSSTjfm', '1_lag_11_median_seurTSjfm', '1_lag_2_median_stratZ50ndj04']","[2.8546830469054996, 0.15220873355035636, 8.216746567456852, 2.499079308963128, 1.4239234740065587, 3.6780991897295046, 6.6071934191338215, 4.938985603214324, 0.31159414311599853, 3.3998971042637383, 3.1805135446800428, 5.849210803881197, 0.1881020813597054, 9.43398335627898, 3.589533122454829, 2.7483254209403256, 3.838154698641631, 4.850730172482795, 6.117027281886092, 5.197554602373513, 3.243887199068137, 7.0480359986603, 7.954145501821433, 5.736615885609551, 3.815713448512539, 1.9972326109592942, 1.2125489825538605, 3.4444198928041914, 1.7188033702553334, 1.8879933613821542]","17_lag_cetTSjfm, 1_lag_2_median_traEC, 1_lag_16_median_amo2, 1_lag_16_median_AMOCann, 1_lag_7_median_satlSSTjfm, 3_lag_traCA, 1_lag_11_median_traIFC, 1_lag_15_median_ensoSSTjfm, 9_lag_traIT, 1_lag_3_median_tripol1, 1_lag_5_median_ginwSSTjfm, 1_lag_10_median_tripol3, 1_lag_2_median_cetTSjfm, 12_lag_traMC, 1_lag_2_median_naoPSLjfm, 2_lag_amo2, 13_lag_nchinaPRjja, 1_lag_14_median_traFB, 5_lag_amo1, 1_lag_3_median_tripol3, 12_lag_traCA, 1_lag_5_median_tripol1, 1_lag_12_median_satlSSTjfm, 7_lag_traBS, 11_lag_traIT, 5_lag_traDP, 2_lag_amo1, 1_lag_7_median_ormenSSTjfm, 1_lag_11_median_seurTSjfm, 1_lag_2_median_stratZ50ndj04_2145_1"
LRforcedPSO,4,30,arcTSjfm,shigh,1718.5,2005.5,0.4,19,1,1,26.384276602966782,0.1203876121625522,2275,"['1_lag_9_median_mhfATL60', '7_lag_traDP', '1_lag_4_median_traIFC', '9_lag_traTLS', '11_lag_amoSSTmjjaso', '1_lag_10_median_tripol2', '1_lag_3_median_traBO', '17_lag_eapPSLjfm', '1_lag_3_median_tripol1', '1_lag_12_median_eapPSLjfm', '8_lag_mhfATL60', '1_lag_11_median_shSICsep', '17_lag_nhSICjfm', '6_lag_pdoSSTjfm', '1_lag_17_median_traWP', '6_lag_nchinaPRjja', '13_lag_tripol1', '1_lag_labSSTjfm', '1_lag_16_median_naoPSLjfm', '1_lag_9_median_stratZ50ndj01', '12_lag_traEC', '1_lag_7_median_nhSICjfm', '7_lag_pdoSSTjfm', '3_lag_samPSLann', '1_lag_6_median_traEU', '15_lag_traDS', '1_lag_9_median_traBO', '1_lag_mhfATL45', '8_lag_traCA', '5_lag_cetTSjfm']","[5.21002086026507, 5.997229265214101, 2.681535998400337, 3.9300310378498775, 9.05597125292514, 5.724473415196498, 4.834613964917159, 2.748152588581732, 0.021955271737910564, 1.8266313809118433, 9.0079089089453, 4.902671122529663, 5.516484325076066, 2.299678235137117, 2.6405576626597753, 0.3319897411610988, 3.1383923870744423, 0.5200916100147346, 4.761080798798773, 9.53512057114687, 9.520273382067401, 4.594299716346637, 0.6604028610493362, 1.2413005883999482, 0.09608801614888662, 0.7835133154533018, 3.7979815197743445, 7.515578356773162, 7.967277394050329, 9.227571742378792]","1_lag_9_median_mhfATL60, 7_lag_traDP, 1_lag_4_median_traIFC, 9_lag_traTLS, 11_lag_amoSSTmjjaso, 1_lag_10_median_tripol2, 1_lag_3_median_traBO, 17_lag_eapPSLjfm, 1_lag_3_median_tripol1, 1_lag_12_median_eapPSLjfm, 8_lag_mhfATL60, 1_lag_11_median_shSICsep, 17_lag_nhSICjfm, 6_lag_pdoSSTjfm, 1_lag_17_median_traWP, 6_lag_nchinaPRjja, 13_lag_tripol1, 1_lag_labSSTjfm, 1_lag_16_median_naoPSLjfm, 1_lag_9_median_stratZ50ndj01, 12_lag_traEC, 1_lag_7_median_nhSICjfm, 7_lag_pdoSSTjfm, 3_lag_samPSLann, 1_lag_6_median_traEU, 15_lag_traDS, 1_lag_9_median_traBO, 1_lag_mhfATL45, 8_lag_traCA, 5_lag_cetTSjfm_2275_1"
LRforcedPSO,5,30,arcTSjfm,shigh,1719.5,2005.5,0.4,20,1,1,20.367306930533683,0.3420875126223221,2405,"['1_lag_eurPSLjfm', '1_lag_17_median_tripol2', '1_lag_19_median_labSSTjfm', '1_lag_11_median_traEC', '9_lag_stratZ50ndj02', '1_lag_5_median_traEC', '1_lag_9_median_amo3', '1_lag_10_median_gyreSSTjfm', '1_lag_14_median_labSSTjfm', '1_lag_15_median_alpi', '1_lag_6_median_solFORC', '1_lag_16_median_mhfATL45', '12_lag_mhfATL30', '1_lag_2_median_mhfATL30', '1_lag_13_median_nchinaPRjja', '1_lag_14_median_amo3', '4_lag_eapPSLjfm', '1_lag_5_median_nhSICjfm', '15_lag_ismPRjja', '3_lag_glTSjfm', '1_lag_16_median_nhSICjfm', '1_lag_traIT', '12_lag_atlSICsep', '3_lag_traWP', '1_lag_10_median_traDS', '1_lag_12_median_amo3', '1_lag_18_median_traEU', '1_lag_2_median_mhfATL60', '18_lag_traFSC', '16_lag_amoSSTmjjaso']","[1.30206138675479, 7.237878966391872, 6.295738769107873, 2.752461056260902, 6.634619087388838, 5.936144740353115, 6.777741630399806, 1.1245589586332159, 2.535102518559931, 1.3344776976342168, 8.166722839979023, 1.1045342371178748, 5.026293973962557, 1.4009410433466485, 0.15075080561283372, 4.278839785406722, 9.867744194261736, 5.754629738209822, 7.278170634500263, 3.7479014168308318, 2.4148104385585363, 7.8204536163334275, 1.2256172951736293, 4.149615419605375, 7.6090717278591065, 9.732661934684678, 6.878888750171427, 4.937223026103975, 0.20485704235143842, 1.6944945307668533]","1_lag_eurPSLjfm, 1_lag_17_median_tripol2, 1_lag_19_median_labSSTjfm, 1_lag_11_median_traEC, 9_lag_stratZ50ndj02, 1_lag_5_median_traEC, 1_lag_9_median_amo3, 1_lag_10_median_gyreSSTjfm, 1_lag_14_median_labSSTjfm, 1_lag_15_median_alpi, 1_lag_6_median_solFORC, 1_lag_16_median_mhfATL45, 12_lag_mhfATL30, 1_lag_2_median_mhfATL30, 1_lag_13_median_nchinaPRjja, 1_lag_14_median_amo3, 4_lag_eapPSLjfm, 1_lag_5_median_nhSICjfm, 15_lag_ismPRjja, 3_lag_glTSjfm, 1_lag_16_median_nhSICjfm, 1_lag_traIT, 12_lag_atlSICsep, 3_lag_traWP, 1_lag_10_median_traDS, 1_lag_12_median_amo3, 1_lag_18_median_traEU, 1_lag_2_median_mhfATL60, 18_lag_traFSC, 16_lag_amoSSTmjjaso_2405_1"
LRforcedPSO,6,30,arcTSjfm,shigh,1720.5,2005.5,0.4,21,1,1,19.678949353209994,0.37924416714151626,2535,"['1_lag_14_median_traFSC', '4_lag_mhfIP30', '15_lag_traBO', '16_lag_mhfATL45', '17_lag_traIFC', '1_lag_19_median_traDP', '18_lag_nppc2SSTjfm', '7_lag_ormenSSTjfm', '16_lag_mhfATL60', '1_lag_3_median_pdoSSTjfm', '4_lag_amo2', '16_lag_ensoSSTjfm', '10_lag_traTLS', '1_lag_17_median_atlSICsep', '13_lag_glTSjfm', '8_lag_ormenSSTjfm', '19_lag_amo3', '14_lag_nppc3SSTjfm', '1_lag_17_median_glomaSSTjfm', '1_lag_19_median_stratZ50ndj04', '11_lag_stratZ50ndj04', '1_lag_3_median_tripol2', '1_lag_10_median_ormenSSTjfm', '16_lag_neurTSjfm', '1_lag_20_median_stratZ50ndj04', '6_lag_shSICsep', '20_lag_eurPSLjfm', '6_lag_neurTSjfm', '1_lag_15_median_shTSjfm', '1_lag_20_median_amo3']","[8.350718690904397, 0.030138823809569004, 2.0878519625119, 5.417665584153668, 0.5926390004921238, 0.29744845987778135, 2.1172656330629795, 9.269702443707686, 8.179684911844152, 2.7093094350500095, 4.643395651954045, 5.883853337720366, 0.3000393277880775, 7.677853383510058, 6.260980311023946, 3.990161335612033, 0.7479862529969754, 6.114529778061176, 3.040853338153827, 2.2412699146384263, 2.7353202671179417, 0.2487397544787875, 5.54907540183493, 7.579543060053866, 0.4544069838265976, 6.79929199729294, 0.3637501810034234, 1.6160486151725255, 3.09594866231659, 0.008593568642327298]","1_lag_14_median_traFSC, 4_lag_mhfIP30, 15_lag_traBO, 16_lag_mhfATL45, 17_lag_traIFC, 1_lag_19_median_traDP, 18_lag_nppc2SSTjfm, 7_lag_ormenSSTjfm, 16_lag_mhfATL60, 1_lag_3_median_pdoSSTjfm, 4_lag_amo2, 16_lag_ensoSSTjfm, 10_lag_traTLS, 1_lag_17_median_atlSICsep, 13_lag_glTSjfm, 8_lag_ormenSSTjfm, 19_lag_amo3, 14_lag_nppc3SSTjfm, 1_lag_17_median_glomaSSTjfm, 1_lag_19_median_stratZ50ndj04, 11_lag_stratZ50ndj04, 1_lag_3_median_tripol2, 1_lag_10_median_ormenSSTjfm, 16_lag_neurTSjfm, 1_lag_20_median_stratZ50ndj04, 6_lag_shSICsep, 20_lag_eurPSLjfm, 6_lag_neurTSjfm, 1_lag_15_median_shTSjfm, 1_lag_20_median_amo3_2535_1"
LRforcedPSO,7,30,arcTSjfm,shigh,1721.5,2005.5,0.4,22,2,2,23.54932778415319,0.03002859268020117,2535,"['2_lag_12_median_traFB', '2_lag_10_median_traIT', '20_lag_cetTSjfm', '14_lag_nhSICsep', '2_lag_19_median_scpPSLjfm', '18_lag_mhfATL30', '2_lag_4_median_tripol2', '8_lag_traCA', '2_lag_17_median_nhTSjfm', '18_lag_nppc3SSTjfm', '8_lag_naoPSLjfm', '2_lag_15_median_neurTSjfm', '2_lag_10_median_traWP', '14_lag_mhfATL45', '3_lag_ismPRjja', '2_lag_14_median_traFB', '2_lag_14_median_nhSICjfm', '2_lag_18_median_glTSjfm', '11_lag_mhfIP30', '2_lag_6_median_stratZ50ndj01', '17_lag_traBO', '2_lag_3_median_eurPSLjfm', '2_lag_6_median_glTSjfm', '13_lag_eapPSLjfm', '7_lag_yrvPRjja', '2_lag_7_median_atlSICsep', '10_lag_tripol3', '2_lag_7_median_amoSSTmjjaso', '2_lag_21_median_amo1', '15_lag_gyreSSTjfm']","[3.789486812975631, 9.303686678024246, 4.52093584502164, 2.237308957417296, 2.098419263389399, 2.8095181781767486, 0.10734035837971057, 3.0494896995304055, 7.755138632500774, 3.0069100575443652, 2.861184035058237, 2.105738439296454, 4.391915400556531, 2.1348697113740585, 3.285310534962907, 3.240905870561072, 7.18094950170766, 8.970496078034127, 3.920456251975752, 4.1029604194516605, 1.9712906002411845, 6.654156585225188, 4.966998686824329, 1.1455978974772556, 2.0184493802566283, 7.187363139559739, 2.147274309587779, 8.803824382158705, 7.451999982465509, 6.611191471039753]","2_lag_12_median_traFB, 2_lag_10_median_traIT, 20_lag_cetTSjfm, 14_lag_nhSICsep, 2_lag_19_median_scpPSLjfm, 18_lag_mhfATL30, 2_lag_4_median_tripol2, 8_lag_traCA, 2_lag_17_median_nhTSjfm, 18_lag_nppc3SSTjfm, 8_lag_naoPSLjfm, 2_lag_15_median_neurTSjfm, 2_lag_10_median_traWP, 14_lag_mhfATL45, 3_lag_ismPRjja, 2_lag_14_median_traFB, 2_lag_14_median_nhSICjfm, 2_lag_18_median_glTSjfm, 11_lag_mhfIP30, 2_lag_6_median_stratZ50ndj01, 17_lag_traBO, 2_lag_3_median_eurPSLjfm, 2_lag_6_median_glTSjfm, 13_lag_eapPSLjfm, 7_lag_yrvPRjja, 2_lag_7_median_atlSICsep, 10_lag_tripol3, 2_lag_7_median_amoSSTmjjaso, 2_lag_21_median_amo1, 15_lag_gyreSSTjfm_2535_2"
LRforcedPSO,8,30,arcTSjfm,shigh,1722.5,2005.5,0.4,23,3,3,24.33453764389692,0.053546943040883886,2535,"['18_lag_arcTSjfm', '7_lag_pdoSSTjfm', '3_lag_22_median_glomaSSTjfm', '11_lag_traCA', '3_lag_7_median_ismPRjja', '3_lag_11_median_nhSICsep', '17_lag_traBS', '9_lag_amo2', '5_lag_traFSC', '3_lag_8_median_amoSSTmjjaso', '10_lag_traDP', '9_lag_eapPSLjfm', '3_lag_18_median_traTLS', '3_lag_22_median_stratZ50ndj02', '3_lag_16_median_mhfATL45', '3_lag_17_median_traMC', '6_lag_shSICmar', '3_lag_18_median_mhfATL60', '9_lag_tripol2', '18_lag_traWP', '8_lag_arcTSjfm', '3_lag_20_median_mhfATL60', '3_lag_18_median_stratZ50ndj03', '3_lag_10_median_traFS', '3_lag_16_median_pdoSSTjfm', '5_lag_nchinaPRjja', '3_lag_14_median_pdoSSTjfm', '21_lag_ormenSSTjfm', '3_lag_21_median_tripol2', '19_lag_scpPSLjfm']","[4.787754634247669, 3.172801916559905, 1.102353356387944, 1.9808720146947767, 0.1487709571167244, 3.990345136428367, 1.0355371808305733, 8.374603198756176, 5.796804141863148, 1.4641446010563381, 2.0084155193262454, 5.140448487271904, 5.149997931855042, 0.815544458700689, 8.632320772711648, 5.990052964486578, 6.119631025111259, 5.404451103589867, 6.922198455130772, 0.20111547833096388, 2.7071222356452207, 5.013116222175784, 8.350831050984917, 5.616311690339151, 2.34985443384274, 3.19009294641885, 2.7200310405625157, 0.02897167557398106, 1.2663688400032989, 3.622966597953683]","18_lag_arcTSjfm, 7_lag_pdoSSTjfm, 3_lag_22_median_glomaSSTjfm, 11_lag_traCA, 3_lag_7_median_ismPRjja, 3_lag_11_median_nhSICsep, 17_lag_traBS, 9_lag_amo2, 5_lag_traFSC, 3_lag_8_median_amoSSTmjjaso, 10_lag_traDP, 9_lag_eapPSLjfm, 3_lag_18_median_traTLS, 3_lag_22_median_stratZ50ndj02, 3_lag_16_median_mhfATL45, 3_lag_17_median_traMC, 6_lag_shSICmar, 3_lag_18_median_mhfATL60, 9_lag_tripol2, 18_lag_traWP, 8_lag_arcTSjfm, 3_lag_20_median_mhfATL60, 3_lag_18_median_stratZ50ndj03, 3_lag_10_median_traFS, 3_lag_16_median_pdoSSTjfm, 5_lag_nchinaPRjja, 3_lag_14_median_pdoSSTjfm, 21_lag_ormenSSTjfm, 3_lag_21_median_tripol2, 19_lag_scpPSLjfm_2535_3"
LRforcedPSO,9,30,arcTSjfm,shigh,1723.5,2005.5,0.4,24,4,4,23.975368399781587,0.21050759674405864,2535,"['6_lag_mhfIP30', '12_lag_traTLS', '4_lag_7_median_mhfATL60', '17_lag_alpi', '14_lag_satlSSTjfm', '4_lag_traWP', '4_lag_7_median_tripol2', '4_lag_20_median_mhfATL30', '4_lag_11_median_shSICmar', '13_lag_nhTSjfm', '22_lag_nhSICsep', '4_lag_8_median_arcTSjfm', '17_lag_satlSSTjfm', '4_lag_11_median_mhfATL30', '4_lag_19_median_scpPSLjfm', '4_lag_10_median_nhSICsep', '4_lag_12_median_seurTSjfm', '4_lag_14_median_wnorPRjfm', '4_lag_5_median_solFORC', '19_lag_ensoSSTjfm', '4_lag_7_median_shSICsep', '15_lag_shSICmar', '4_lag_6_median_arcTSjfm', '10_lag_yrvPRjja', '13_lag_nchinaPRjja', '5_lag_mhfATL60', '19_lag_traEC', '4_lag_14_median_ginwSSTjfm', '17_lag_tripol2', '4_lag_22_median_atlSICsep']","[4.503965901006836, 1.600717655024738, 6.583057212394403, 2.1482550075729385, 6.588661901321872, 4.0160665710796, 5.441006820595415, 6.614580047766507, 4.094476121891657, 5.127476830760555, 0.4393192524107654, 7.38278333965788, 3.0090306570659724, 5.043184321724439, 1.0137349927063095, 0.5319643240128222, 9.644402998939771, 3.926930266364412, 2.7733846565375053, 2.278864029820042, 0.376900375431962, 5.683185861659375, 0.4503839961716789, 9.593177550728115, 4.317109125953669, 2.94517193026139, 4.502715628078842, 1.2046169472674872, 1.399509100701593, 2.9955475963672846]","6_lag_mhfIP30, 12_lag_traTLS, 4_lag_7_median_mhfATL60, 17_lag_alpi, 14_lag_satlSSTjfm, 4_lag_traWP, 4_lag_7_median_tripol2, 4_lag_20_median_mhfATL30, 4_lag_11_median_shSICmar, 13_lag_nhTSjfm, 22_lag_nhSICsep, 4_lag_8_median_arcTSjfm, 17_lag_satlSSTjfm, 4_lag_11_median_mhfATL30, 4_lag_19_median_scpPSLjfm, 4_lag_10_median_nhSICsep, 4_lag_12_median_seurTSjfm, 4_lag_14_median_wnorPRjfm, 4_lag_5_median_solFORC, 19_lag_ensoSSTjfm, 4_lag_7_median_shSICsep, 15_lag_shSICmar, 4_lag_6_median_arcTSjfm, 10_lag_yrvPRjja, 13_lag_nchinaPRjja, 5_lag_mhfATL60, 19_lag_traEC, 4_lag_14_median_ginwSSTjfm, 17_lag_tripol2, 4_lag_22_median_atlSICsep_2535_4"
