model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,atlSICjfm,shigh,866.5,2005.5,0.4,15,5,5,16.193447243947585,0.040724050989638605,1235,"['5_lag_8_median_traBS', '8_lag_gyreSSTjfm', '10_lag_traWP', '5_lag_cetTSjfm', '6_lag_ismPRjja', '5_lag_11_median_amoSSTmjjaso', '5_lag_14_median_ginwSSTjfm', '8_lag_eurPSLjfm', '5_lag_naoPSLjfm', '14_lag_nhSICsep']","[0.21929698653321772, 6.9936683624629055, 2.6377432878146383, 5.543569421944534, 2.9952247508002916, 4.060540179386032, 1.9955161661809555, 2.556594078040737, 5.6916585341089885, 3.785078033412013]","5_lag_8_median_traBS, 8_lag_gyreSSTjfm, 10_lag_traWP, 5_lag_cetTSjfm, 6_lag_ismPRjja, 5_lag_11_median_amoSSTmjjaso, 5_lag_14_median_ginwSSTjfm, 8_lag_eurPSLjfm, 5_lag_naoPSLjfm, 14_lag_nhSICsep_1235_5"
LRforcedPSO,1,10,atlSICjfm,shigh,867.5,2005.5,0.4,16,6,6,16.647955467216025,0.25482960029209245,1235,"['6_lag_7_median_amo3', '15_lag_nhSICjfm', '9_lag_stratZ50ndj01', '11_lag_nchinaPRjja', '6_lag_13_median_traFB', '6_lag_8_median_eapPSLjfm', '6_lag_15_median_eapPSLjfm', '6_lag_10_median_glomaSSTjfm', '6_lag_13_median_samPSLann', '8_lag_shTSjfm']","[3.807516812979543, 0.1506211657720904, 7.9157287683527, 3.7934394412325556, 9.444055324753737, 0.38588967599191726, 3.9964350411779748, 3.599032453547464, 1.5723593527540825, 3.7504586333807097]","6_lag_7_median_amo3, 15_lag_nhSICjfm, 9_lag_stratZ50ndj01, 11_lag_nchinaPRjja, 6_lag_13_median_traFB, 6_lag_8_median_eapPSLjfm, 6_lag_15_median_eapPSLjfm, 6_lag_10_median_glomaSSTjfm, 6_lag_13_median_samPSLann, 8_lag_shTSjfm_1235_6"
LRforcedPSO,2,10,atlSICjfm,shigh,868.5,2005.5,0.4,17,7,7,16.482552943648315,0.15366709902915834,1235,"['10_lag_traIT', '13_lag_mhfATL30', '7_lag_15_median_mhfIP30', '7_lag_11_median_tripol2', '7_lag_16_median_nhSICsep', '7_lag_10_median_neurTSjfm', '7_lag_16_median_nchinaPRjja', '7_lag_14_median_tripol3', '7_lag_11_median_traCA', '7_lag_16_median_amo1']","[0.9224185246708476, 9.776445361102981, 4.0601571290071785, 1.9636126112428265, 1.8104467422620587, 4.388551732974994, 2.3896554263516716, 0.11800974352475002, 2.790046690979744, 2.7183460357532834]","10_lag_traIT, 13_lag_mhfATL30, 7_lag_15_median_mhfIP30, 7_lag_11_median_tripol2, 7_lag_16_median_nhSICsep, 7_lag_10_median_neurTSjfm, 7_lag_16_median_nchinaPRjja, 7_lag_14_median_tripol3, 7_lag_11_median_traCA, 7_lag_16_median_amo1_1235_7"
LRforcedPSO,3,10,atlSICjfm,shigh,869.5,2005.5,0.4,18,8,8,15.628472154260862,0.23631055007531757,1235,"['9_lag_stratZ50ndj04', '17_lag_traBS', '16_lag_shSICmar', '13_lag_samPSLann', '10_lag_traBS', '17_lag_traFB', '10_lag_traFS', '8_lag_13_median_nppc3SSTjfm', '8_lag_17_median_nchinaPRjja', '8_lag_11_median_nhSICsep']","[6.332635722490738, 5.301241740716765, 0.08034537590375201, 0.46155638416114897, 0.2798540353856982, 2.2749378360418344, 3.4759456540744598, 5.76971308185005, 2.0111690163393288, 0.5031158499194213]","9_lag_stratZ50ndj04, 17_lag_traBS, 16_lag_shSICmar, 13_lag_samPSLann, 10_lag_traBS, 17_lag_traFB, 10_lag_traFS, 8_lag_13_median_nppc3SSTjfm, 8_lag_17_median_nchinaPRjja, 8_lag_11_median_nhSICsep_1235_8"
LRforcedPSO,4,10,atlSICjfm,shigh,870.5,2005.5,0.4,19,9,9,15.400816343974146,0.25221925462021055,1235,"['9_lag_15_median_tripol3', '13_lag_tripol3', '9_lag_ginwSSTjfm', '9_lag_16_median_stratZ50ndj02', '11_lag_amo3', '17_lag_traFSC', '17_lag_traEC', '9_lag_12_median_scpPSLjfm', '18_lag_solFORC', '9_lag_14_median_traEC']","[2.710944480233387, 2.6017001401575746, 4.4252651062880926, 2.221149356373675, 8.343368750238993, 4.129682343794558, 1.5840529307936109, 4.441962445409802, 4.140968592330363, 7.667631428601909]","9_lag_15_median_tripol3, 13_lag_tripol3, 9_lag_ginwSSTjfm, 9_lag_16_median_stratZ50ndj02, 11_lag_amo3, 17_lag_traFSC, 17_lag_traEC, 9_lag_12_median_scpPSLjfm, 18_lag_solFORC, 9_lag_14_median_traEC_1235_9"
LRforcedPSO,5,10,atlSICjfm,shigh,871.5,2005.5,0.4,20,10,10,15.88646417551645,0.025972906676754365,1235,"['14_lag_ormenSSTjfm', '10_lag_stratZ50ndj02', '10_lag_13_median_traBS', '13_lag_nhSICsep', '14_lag_stratZ50ndj04', '10_lag_scpPSLjfm', '12_lag_alpi', '10_lag_17_median_mhfATL60', '10_lag_13_median_scpPSLjfm', '10_lag_13_median_alpi']","[3.0318929180694205, 0.7103862815009627, 3.487479581252792, 3.2519758577911624, 4.9359700527416495, 2.2956738784062765, 1.7773971060145577, 1.2349240506230323, 4.801737547373463, 1.434166462691696]","14_lag_ormenSSTjfm, 10_lag_stratZ50ndj02, 10_lag_13_median_traBS, 13_lag_nhSICsep, 14_lag_stratZ50ndj04, 10_lag_scpPSLjfm, 12_lag_alpi, 10_lag_17_median_mhfATL60, 10_lag_13_median_scpPSLjfm, 10_lag_13_median_alpi_1235_10"
LRforcedPSO,6,10,atlSICjfm,shigh,872.5,2005.5,0.4,21,11,11,16.34299313049395,0.017172300797854714,1235,"['13_lag_seurTSjfm', '11_lag_19_median_amoSSTmjjaso', '11_lag_16_median_solFORC', '11_lag_16_median_mhfATL60', '11_lag_15_median_stratZ50ndj03', '12_lag_mhfATL60', '11_lag_19_median_naoPSLjfm', '15_lag_solFORC', '11_lag_traFB', '11_lag_15_median_stratZ50ndj01']","[6.347442401936384, 4.992896203678383, 9.26517873099948, 1.3134689146341945, 0.12424445751502766, 5.002305358839254, 2.4097665367477417, 5.813998436999999, 0.8798211727513578, 1.9936476374730798]","13_lag_seurTSjfm, 11_lag_19_median_amoSSTmjjaso, 11_lag_16_median_solFORC, 11_lag_16_median_mhfATL60, 11_lag_15_median_stratZ50ndj03, 12_lag_mhfATL60, 11_lag_19_median_naoPSLjfm, 15_lag_solFORC, 11_lag_traFB, 11_lag_15_median_stratZ50ndj01_1235_11"
LRforcedPSO,7,10,atlSICjfm,shigh,873.5,2005.5,0.4,22,12,12,15.944529425324669,0.07933996220411793,1235,"['12_lag_stratZ50ndj02', '12_lag_13_median_traFSC', '18_lag_traBO', '12_lag_15_median_eurPSLjfm', '20_lag_ismPRjja', '12_lag_13_median_nhSICjfm', '19_lag_amo2', '12_lag_14_median_alpi', '12_lag_15_median_glomaSSTjfm', '12_lag_19_median_atlSICjfm']","[2.2397865901583174, 0.7327179556428085, 1.2492503902491858, 1.5267226869843302, 3.7421074364543916, 6.809031468984854, 7.508633198889485, 0.6358544967211781, 1.1627598216819006, 6.501462549842568]","12_lag_stratZ50ndj02, 12_lag_13_median_traFSC, 18_lag_traBO, 12_lag_15_median_eurPSLjfm, 20_lag_ismPRjja, 12_lag_13_median_nhSICjfm, 19_lag_amo2, 12_lag_14_median_alpi, 12_lag_15_median_glomaSSTjfm, 12_lag_19_median_atlSICjfm_1235_12"
LRforcedPSO,8,10,atlSICjfm,shigh,874.5,2005.5,0.4,23,13,13,16.219458459605715,-0.15803088443009106,1235,"['19_lag_amo2', '19_lag_scpPSLjfm', '13_lag_14_median_nhSICjfm', '13_lag_solFORC', '13_lag_20_median_traBO', '21_lag_atlSICjfm', '21_lag_amo3', '18_lag_traFSC', '20_lag_traIT', '22_lag_shSICmar']","[0.13150409106485128, 3.018422261885746, 0.6142822211724166, 0.4515738200304664, 0.12463506410736969, 1.7574808502538914, 2.5770911633980695, 0.04566305660704195, 0.2583097052969521, 4.276658639309021]","19_lag_amo2, 19_lag_scpPSLjfm, 13_lag_14_median_nhSICjfm, 13_lag_solFORC, 13_lag_20_median_traBO, 21_lag_atlSICjfm, 21_lag_amo3, 18_lag_traFSC, 20_lag_traIT, 22_lag_shSICmar_1235_13"
LRforcedPSO,9,10,atlSICjfm,shigh,875.5,2005.5,0.4,24,14,14,15.687450505540333,0.10925613750741817,1235,"['14_lag_23_median_traTLS', '14_lag_nhSICsep', '18_lag_stratZ50ndj04', '21_lag_atlSICjfm', '14_lag_17_median_traTLS', '18_lag_tripol1', '16_lag_nchinaPRjja', '22_lag_pdoSSTjfm', '20_lag_naoPSLjfm', '14_lag_15_median_gyreSSTjfm']","[0.3068468627563714, 5.2840250379736915, 0.7921149156088063, 0.9187629504649557, 0.022368695608040667, 2.6949148223752672, 1.2856503282510303, 5.836418015013884, 0.08166724639019662, 7.362164117003013]","14_lag_23_median_traTLS, 14_lag_nhSICsep, 18_lag_stratZ50ndj04, 21_lag_atlSICjfm, 14_lag_17_median_traTLS, 18_lag_tripol1, 16_lag_nchinaPRjja, 22_lag_pdoSSTjfm, 20_lag_naoPSLjfm, 14_lag_15_median_gyreSSTjfm_1235_14"
