model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,10,atlSICjfm,shigh,1514.5,2005.5,0.8,15,5,5,15.746500690388803,-0.010342702182972209,418,"['5_lag_14_median_solFORC', '5_lag_13_median_nppc2SSTjfm', '5_lag_7_median_solFORC', '8_lag_solFORC', '7_lag_solFORC', '5_lag_10_median_solFORC', '5_lag_13_median_solFORC', '5_lag_12_median_solFORC', '5_lag_11_median_solFORC', '5_lag_9_median_solFORC']","[0.08989522193641333, 0.1711103174040029, 1.5306368642388648, 3.0691371601345825, 0.3070415017814138, 1.782171506361752, 0.012489823359781799, 1.0640345466119898, 2.181092487231915, 3.3780751562745657]","5_lag_14_median_solFORC, 5_lag_13_median_nppc2SSTjfm, 5_lag_7_median_solFORC, 8_lag_solFORC, 7_lag_solFORC, 5_lag_10_median_solFORC, 5_lag_13_median_solFORC, 5_lag_12_median_solFORC, 5_lag_11_median_solFORC, 5_lag_9_median_solFORC_418_5"
LinearRegression,1,10,atlSICjfm,shigh,1515.5,2005.5,0.8,16,6,6,15.95252432846148,-0.008975912966746446,418,"['6_lag_12_median_shSICmar', '6_lag_13_median_amoSSTmjjaso', '6_lag_14_median_amoSSTmjjaso', '6_lag_13_median_solFORC', '6_lag_14_median_stratZ50ndj04', '6_lag_14_median_amo3', '6_lag_9_median_solFORC', '6_lag_14_median_solFORC', '6_lag_11_median_solFORC', '6_lag_12_median_solFORC']","[0.27092098892830085, 0.5986930685594286, 0.6433514088419293, 2.7384584342209575, 0.42823457123622966, 0.40825721554377586, 0.07239978458644353, 0.5323451333858281, 0.7366154434540494, 2.935064482577916]","6_lag_12_median_shSICmar, 6_lag_13_median_amoSSTmjjaso, 6_lag_14_median_amoSSTmjjaso, 6_lag_13_median_solFORC, 6_lag_14_median_stratZ50ndj04, 6_lag_14_median_amo3, 6_lag_9_median_solFORC, 6_lag_14_median_solFORC, 6_lag_11_median_solFORC, 6_lag_12_median_solFORC_418_6"
LinearRegression,2,10,atlSICjfm,shigh,1516.5,2005.5,0.8,17,7,7,14.91713647556532,0.19059752178397515,418,"['7_lag_16_median_eurPSLjfm', '7_lag_16_median_solFORC', '7_lag_14_median_amoSSTmjjaso', '7_lag_14_median_amoSSTjfm', '7_lag_15_median_amoSSTmjjaso', '7_lag_10_median_solFORC', '7_lag_13_median_amoSSTjfm', '7_lag_14_median_solFORC', '7_lag_11_median_solFORC', '7_lag_15_median_solFORC']","[0.38989854300802196, 2.1312519139460804, 0.8279962330938645, 0.7399791976494408, 0.2587972771648197, 0.23493707428709565, 0.03356980839367024, 4.491443541599053, 1.2793451539741352, 5.6695065813311745]","7_lag_16_median_eurPSLjfm, 7_lag_16_median_solFORC, 7_lag_14_median_amoSSTmjjaso, 7_lag_14_median_amoSSTjfm, 7_lag_15_median_amoSSTmjjaso, 7_lag_10_median_solFORC, 7_lag_13_median_amoSSTjfm, 7_lag_14_median_solFORC, 7_lag_11_median_solFORC, 7_lag_15_median_solFORC_418_7"
LinearRegression,3,10,atlSICjfm,shigh,1517.5,2005.5,0.8,18,8,8,15.703447704789582,0.38171847392358504,418,"['8_lag_16_median_nhSICsep', '8_lag_15_median_nhSICjfm', '10_lag_solFORC', '16_lag_amoSSTjfm', '8_lag_15_median_solFORC', '8_lag_16_median_AMOCann', '8_lag_14_median_amo2', '8_lag_15_median_amo2', '12_lag_solFORC', '8_lag_16_median_amo2']","[0.2018066265382311, 0.3241706216239365, 0.1436008375760786, 0.13674553043720672, 0.36783351121823626, 0.6758226285349466, 0.4625380917791312, 0.20478716660622392, 0.3851280064786723, 0.1530432144041448]","8_lag_16_median_nhSICsep, 8_lag_15_median_nhSICjfm, 10_lag_solFORC, 16_lag_amoSSTjfm, 8_lag_15_median_solFORC, 8_lag_16_median_AMOCann, 8_lag_14_median_amo2, 8_lag_15_median_amo2, 12_lag_solFORC, 8_lag_16_median_amo2_418_8"
LinearRegression,4,10,atlSICjfm,shigh,1518.5,2005.5,0.8,19,9,9,19.092359960496825,0.36858389281606,418,"['9_lag_18_median_AMOCann', '9_lag_12_median_solFORC', '13_lag_solFORC', '9_lag_15_median_shSICsep', '12_lag_solFORC', '9_lag_16_median_AMOCann', '9_lag_15_median_AMOCann', '9_lag_17_median_amoSSTjfm', '9_lag_17_median_AMOCann', '9_lag_15_median_solFORC']","[0.2438324992142009, 0.022365569264273244, 0.7919458289868128, 0.15686087535301202, 0.35346408824392017, 0.45064021189755904, 0.807012798191355, 0.006735811000708605, 0.7099036743171565, 1.3139351085871915]","9_lag_18_median_AMOCann, 9_lag_12_median_solFORC, 13_lag_solFORC, 9_lag_15_median_shSICsep, 12_lag_solFORC, 9_lag_16_median_AMOCann, 9_lag_15_median_AMOCann, 9_lag_17_median_amoSSTjfm, 9_lag_17_median_AMOCann, 9_lag_15_median_solFORC_418_9"
LinearRegression,5,10,atlSICjfm,shigh,1519.5,2005.5,0.8,20,10,10,18.290669932153584,0.341025671405079,418,"['15_lag_solFORC', '10_lag_18_median_AMOCann', '10_lag_14_median_amoSSTjfm', '10_lag_14_median_amo3', '12_lag_solFORC', '10_lag_18_median_solFORC', '10_lag_14_median_solFORC', '10_lag_15_median_solFORC', '10_lag_13_median_solFORC', '10_lag_16_median_solFORC']","[0.2952234314114192, 0.725498360255613, 0.1756532132169329, 0.1064623042662868, 0.05393793496032262, 0.7517694106601733, 0.3452635434152324, 0.41882347533749475, 0.02369757381342613, 0.14745613015411002]","15_lag_solFORC, 10_lag_18_median_AMOCann, 10_lag_14_median_amoSSTjfm, 10_lag_14_median_amo3, 12_lag_solFORC, 10_lag_18_median_solFORC, 10_lag_14_median_solFORC, 10_lag_15_median_solFORC, 10_lag_13_median_solFORC, 10_lag_16_median_solFORC_418_10"
LinearRegression,6,10,atlSICjfm,shigh,1520.5,2005.5,0.8,21,11,11,16.07763607942914,-0.08551678816706251,418,"['11_lag_15_median_nhSICjfm', '11_lag_16_median_nhSICjfm', '15_lag_solFORC', '11_lag_19_median_solFORC', '11_lag_15_median_amo3', '11_lag_14_median_solFORC', '11_lag_16_median_amo3', '11_lag_15_median_solFORC', '11_lag_18_median_solFORC', '11_lag_17_median_solFORC']","[0.42647624847296217, 0.023159063233470306, 0.3037405279469962, 1.6484424953829886, 0.7354124511088983, 0.07773889786422539, 0.7515149093198007, 0.5824029130048878, 3.7573684316394065, 2.8231661228998606]","11_lag_15_median_nhSICjfm, 11_lag_16_median_nhSICjfm, 15_lag_solFORC, 11_lag_19_median_solFORC, 11_lag_15_median_amo3, 11_lag_14_median_solFORC, 11_lag_16_median_amo3, 11_lag_15_median_solFORC, 11_lag_18_median_solFORC, 11_lag_17_median_solFORC_418_11"
LinearRegression,7,10,atlSICjfm,shigh,1521.5,2005.5,0.8,22,12,12,16.344509626138752,-0.09633311965043358,418,"['12_lag_21_median_nhSICjfm', '12_lag_17_median_amo3', '12_lag_18_median_amo3', '12_lag_18_median_solFORC', '12_lag_19_median_solFORC', '12_lag_21_median_solFORC', '12_lag_20_median_solFORC', '12_lag_17_median_solFORC', '12_lag_15_median_solFORC', '12_lag_16_median_solFORC']","[0.46279290098069725, 0.5646531413993704, 0.7006263791342823, 1.8156366807307946, 1.8936420528929623, 0.22035014009045992, 1.0043558966939126, 5.030118964219352, 3.968713489775544, 8.387169687963015]","12_lag_21_median_nhSICjfm, 12_lag_17_median_amo3, 12_lag_18_median_amo3, 12_lag_18_median_solFORC, 12_lag_19_median_solFORC, 12_lag_21_median_solFORC, 12_lag_20_median_solFORC, 12_lag_17_median_solFORC, 12_lag_15_median_solFORC, 12_lag_16_median_solFORC_418_12"
LinearRegression,8,10,atlSICjfm,shigh,1522.5,2005.5,0.8,23,13,13,18.03482779317758,-0.011529717111502417,418,"['17_lag_amoSSTjfm', '13_lag_17_median_amo2', '13_lag_20_median_amoSSTjfm', '13_lag_20_median_amo3', '16_lag_solFORC', '13_lag_21_median_nhSICjfm', '13_lag_19_median_amoSSTjfm', '13_lag_19_median_solFORC', '13_lag_20_median_solFORC', '13_lag_18_median_solFORC']","[0.01093070876040603, 0.14863986148318703, 0.9059852057709523, 0.17411453133870983, 1.688041173444184, 0.47471760204280466, 0.002117358225803022, 0.9026145470326035, 0.1898483508146526, 2.225092897671204]","17_lag_amoSSTjfm, 13_lag_17_median_amo2, 13_lag_20_median_amoSSTjfm, 13_lag_20_median_amo3, 16_lag_solFORC, 13_lag_21_median_nhSICjfm, 13_lag_19_median_amoSSTjfm, 13_lag_19_median_solFORC, 13_lag_20_median_solFORC, 13_lag_18_median_solFORC_418_13"
LinearRegression,9,10,atlSICjfm,shigh,1523.5,2005.5,0.8,24,14,14,20.521218952884162,0.22693551831775505,418,"['14_lag_23_median_amo3', '14_lag_20_median_amoSSTjfm', '14_lag_18_median_amo3', '14_lag_23_median_AMOCann', '19_lag_solFORC', '14_lag_22_median_amoSSTjfm', '14_lag_22_median_AMOCann', '14_lag_20_median_solFORC', '14_lag_19_median_solFORC', '14_lag_18_median_solFORC']","[0.1616107001383985, 0.2989615737381212, 0.057884120086103184, 0.10574669466658723, 0.12993347975787, 0.13371436604622186, 0.39390388499381873, 0.2436544838912682, 1.1416325243063983, 0.9629672576447285]","14_lag_23_median_amo3, 14_lag_20_median_amoSSTjfm, 14_lag_18_median_amo3, 14_lag_23_median_AMOCann, 19_lag_solFORC, 14_lag_22_median_amoSSTjfm, 14_lag_22_median_AMOCann, 14_lag_20_median_solFORC, 14_lag_19_median_solFORC, 14_lag_18_median_solFORC_418_14"
