model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,10,atlSICjfm,shigh,866.5,2005.5,0.8,15,1,1,10.853910829568775,0.522434084984731,1755,"['12_lag_gyreSSTjfm', '1_lag_6_median_stratZ50ndj01', '1_lag_14_median_tripol2', '1_lag_4_median_traIFC', '1_lag_5_median_traEC', '1_lag_10_median_stratZ50ndj03', '1_lag_10_median_traIT', '1_lag_14_median_naoPSLjfm', '1_lag_atlSICsep', '1_lag_4_median_traFS']","[0.11531536117618842, 0.07725096257288622, 0.054784599227833075, 0.3436238585986451, 0.19118001229659431, 0.1381563977017111, 0.18234759658914293, 0.004494557950289663, 0.5713656387735364, 0.053956684262825766]","12_lag_gyreSSTjfm, 1_lag_6_median_stratZ50ndj01, 1_lag_14_median_tripol2, 1_lag_4_median_traIFC, 1_lag_5_median_traEC, 1_lag_10_median_stratZ50ndj03, 1_lag_10_median_traIT, 1_lag_14_median_naoPSLjfm, 1_lag_atlSICsep, 1_lag_4_median_traFS_1755_1"
LinearRegression,1,10,atlSICjfm,shigh,867.5,2005.5,0.8,16,1,1,10.184128128955157,0.6278400892102448,1885,"['1_lag_4_median_traIFC', '1_lag_4_median_pdoSSTjfm', '12_lag_ormenSSTjfm', '1_lag_4_median_mhfATL45', '12_lag_gyreSSTjfm', '1_lag_14_median_neurTSjfm', '1_lag_10_median_stratZ50ndj03', '1_lag_10_median_traIT', '1_lag_atlSICsep', '1_lag_4_median_traFS']","[0.20169607167828343, 0.0685899408101937, 0.14163903577999803, 0.4409098313725348, 0.12307677215185328, 0.13401106187043707, 0.20280105100765336, 0.11828104318438727, 0.4652261375396638, 0.11077435776051953]","1_lag_4_median_traIFC, 1_lag_4_median_pdoSSTjfm, 12_lag_ormenSSTjfm, 1_lag_4_median_mhfATL45, 12_lag_gyreSSTjfm, 1_lag_14_median_neurTSjfm, 1_lag_10_median_stratZ50ndj03, 1_lag_10_median_traIT, 1_lag_atlSICsep, 1_lag_4_median_traFS_1885_1"
LinearRegression,2,10,atlSICjfm,shigh,868.5,2005.5,0.8,17,1,1,10.158372147119152,0.5697549401129558,2015,"['5_lag_satlSSTjfm', '13_lag_mhfATL45', '1_lag_16_median_naoPSLjfm', '1_lag_8_median_alpi', '12_lag_ormenSSTjfm', '1_lag_10_median_stratZ50ndj03', '1_lag_10_median_traIT', '1_lag_4_median_traFS', '4_lag_shSICsep', '1_lag_atlSICsep']","[0.09793054260750175, 0.2585407027793028, 0.030427497641286074, 0.014887880617239129, 0.1629034407115876, 0.20096876715975284, 0.1973989853564759, 0.018143484584601247, 0.007461027508215291, 0.6112900264465393]","5_lag_satlSSTjfm, 13_lag_mhfATL45, 1_lag_16_median_naoPSLjfm, 1_lag_8_median_alpi, 12_lag_ormenSSTjfm, 1_lag_10_median_stratZ50ndj03, 1_lag_10_median_traIT, 1_lag_4_median_traFS, 4_lag_shSICsep, 1_lag_atlSICsep_2015_1"
LinearRegression,3,10,atlSICjfm,shigh,869.5,2005.5,0.8,18,1,1,9.381308601219768,0.6286298423624629,2145,"['1_lag_nhSICsep', '15_lag_cetTSjfm', '1_lag_10_median_traIT', '1_lag_16_median_alpi', '9_lag_shSICsep', '1_lag_4_median_mhfATL30', '5_lag_satlSSTjfm', '1_lag_10_median_stratZ50ndj03', '12_lag_ormenSSTjfm', '1_lag_atlSICsep']","[0.022670906348616102, 0.004653691673620841, 0.11223067660592786, 0.07734401971219886, 0.008858859515265063, 0.47514113908670175, 0.0602550190721044, 0.19746534275089977, 0.15279602390837016, 0.5451708641370077]","1_lag_nhSICsep, 15_lag_cetTSjfm, 1_lag_10_median_traIT, 1_lag_16_median_alpi, 9_lag_shSICsep, 1_lag_4_median_mhfATL30, 5_lag_satlSSTjfm, 1_lag_10_median_stratZ50ndj03, 12_lag_ormenSSTjfm, 1_lag_atlSICsep_2145_1"
LinearRegression,4,10,atlSICjfm,shigh,870.5,2005.5,0.8,19,1,1,10.802820613608999,0.5471688265781139,2275,"['8_lag_cetTSjfm', '9_lag_shSICsep', '16_lag_gyreSSTjfm', '7_lag_mhfATL60', '7_lag_traIT', '5_lag_satlSSTjfm', '12_lag_ormenSSTjfm', '15_lag_cetTSjfm', '1_lag_10_median_stratZ50ndj03', '1_lag_atlSICsep']","[0.04036274056439673, 0.0262633149330615, 0.05434287852138937, 0.32580137366340456, 0.030355392616267664, 0.025703957718629093, 0.22332145913502038, 0.014958417588391174, 0.20688525264739693, 0.5741022865400199]","8_lag_cetTSjfm, 9_lag_shSICsep, 16_lag_gyreSSTjfm, 7_lag_mhfATL60, 7_lag_traIT, 5_lag_satlSSTjfm, 12_lag_ormenSSTjfm, 15_lag_cetTSjfm, 1_lag_10_median_stratZ50ndj03, 1_lag_atlSICsep_2275_1"
LinearRegression,5,10,atlSICjfm,shigh,871.5,2005.5,0.8,20,1,1,10.35196779616868,0.5715843179192674,2405,"['13_lag_eapPSLjfm', '1_lag_10_median_stratZ50ndj03', '17_lag_traFB', '5_lag_mhfATL60', '15_lag_cetTSjfm', '9_lag_neurTSjfm', '12_lag_ormenSSTjfm', '1_lag_4_median_traFS', '17_lag_pdoSSTjfm', '1_lag_atlSICsep']","[0.05933310358772401, 0.16718910937103648, 0.08819926323700816, 0.3842754112230463, 0.014171120345820234, 0.04695804824412062, 0.20172590376293628, 0.014478936167840014, 0.04704867935982667, 0.5405550255927256]","13_lag_eapPSLjfm, 1_lag_10_median_stratZ50ndj03, 17_lag_traFB, 5_lag_mhfATL60, 15_lag_cetTSjfm, 9_lag_neurTSjfm, 12_lag_ormenSSTjfm, 1_lag_4_median_traFS, 17_lag_pdoSSTjfm, 1_lag_atlSICsep_2405_1"
LinearRegression,6,10,atlSICjfm,shigh,872.5,2005.5,0.8,21,1,1,10.114119365148786,0.5816284185606526,2535,"['1_lag_4_median_pdoSSTjfm', '12_lag_ormenSSTjfm', '6_lag_nppc3SSTjfm', '17_lag_pdoSSTjfm', '1_lag_nhSICsep', '15_lag_cetTSjfm', '19_lag_amo1', '9_lag_shSICsep', '5_lag_mhfATL60', '1_lag_atlSICsep']","[0.009232800519542644, 0.2041405901855297, 0.0036569611929605367, 0.040394229369072984, 0.02491115401162606, 0.00471134823277454, 0.009612173245462152, 0.01569245464079952, 0.39305287843826425, 0.5302844276558362]","1_lag_4_median_pdoSSTjfm, 12_lag_ormenSSTjfm, 6_lag_nppc3SSTjfm, 17_lag_pdoSSTjfm, 1_lag_nhSICsep, 15_lag_cetTSjfm, 19_lag_amo1, 9_lag_shSICsep, 5_lag_mhfATL60, 1_lag_atlSICsep_2535_1"
LinearRegression,7,10,atlSICjfm,shigh,873.5,2005.5,0.8,22,2,2,12.616057680168444,0.21544288453608504,2535,"['12_lag_alpi', '17_lag_ormenSSTjfm', '14_lag_satlSSTjfm', '17_lag_pdoSSTjfm', '2_lag_9_median_gyreSSTjfm', '19_lag_amo1', '16_lag_gyreSSTjfm', '18_lag_shSICsep', '15_lag_cetTSjfm', '14_lag_atlSICjfm']","[0.02873623554470694, 0.1282062730393664, 0.2417345779950346, 0.029625108744690952, 0.3248610212435474, 0.0004615381541541175, 0.02095825317209149, 0.04409558817899794, 0.02636822866674368, 0.08596221285351714]","12_lag_alpi, 17_lag_ormenSSTjfm, 14_lag_satlSSTjfm, 17_lag_pdoSSTjfm, 2_lag_9_median_gyreSSTjfm, 19_lag_amo1, 16_lag_gyreSSTjfm, 18_lag_shSICsep, 15_lag_cetTSjfm, 14_lag_atlSICjfm_2535_2"
LinearRegression,8,10,atlSICjfm,shigh,874.5,2005.5,0.8,23,3,3,12.31929510405489,0.24840947189441387,2535,"['3_lag_8_median_eapPSLjfm', '17_lag_nppc2SSTjfm', '11_lag_mhfIP30', '17_lag_mhfATL45', '19_lag_amo1', '16_lag_atlSICsep', '14_lag_atlSICjfm', '3_lag_10_median_samPSLann', '20_lag_nhSICsep', '15_lag_cetTSjfm']","[0.07772592264811032, 0.06484633188642287, 0.0008716745841776327, 0.19864753443454308, 0.03600254341338416, 0.012698855853108301, 0.15659938014273977, 0.22399180235025068, 0.14041379320594102, 0.015439460098198323]","3_lag_8_median_eapPSLjfm, 17_lag_nppc2SSTjfm, 11_lag_mhfIP30, 17_lag_mhfATL45, 19_lag_amo1, 16_lag_atlSICsep, 14_lag_atlSICjfm, 3_lag_10_median_samPSLann, 20_lag_nhSICsep, 15_lag_cetTSjfm_2535_3"
LinearRegression,9,10,atlSICjfm,shigh,875.5,2005.5,0.8,24,4,4,12.249331069013632,0.2587850550550051,2535,"['16_lag_amo2', '15_lag_samPSLann', '10_lag_tripol3', '14_lag_atlSICjfm', '15_lag_traFB', '17_lag_mhfATL45', '20_lag_nhSICsep', '11_lag_mhfIP30', '4_lag_7_median_traDS', '15_lag_cetTSjfm']","[0.024928747125348146, 0.07429032904251576, 0.16110369712652858, 0.1593637513675106, 0.020279482653013, 0.21260184256345066, 0.14776985433682738, 0.008218877923287675, 0.06875537433638884, 0.05860575096609585]","16_lag_amo2, 15_lag_samPSLann, 10_lag_tripol3, 14_lag_atlSICjfm, 15_lag_traFB, 17_lag_mhfATL45, 20_lag_nhSICsep, 11_lag_mhfIP30, 4_lag_7_median_traDS, 15_lag_cetTSjfm_2535_4"
