model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,6,atlSICsep,shigh,1514.5,2005.5,0.8,15,5,5,23.90485782573312,-0.14091423115556195,1235,"['5_lag_8_median_naoPSLjfm', '8_lag_nppc3SSTjfm', '10_lag_tripol2', '14_lag_ginwSSTjfm', '5_lag_6_median_traDS', '11_lag_alpi']","[2.33673488925497, 3.9942095102969173, 1.603341920103107, 0.48079155984382993, 3.98725631425914, 0.48897827131082217]","5_lag_8_median_naoPSLjfm, 8_lag_nppc3SSTjfm, 10_lag_tripol2, 14_lag_ginwSSTjfm, 5_lag_6_median_traDS, 11_lag_alpi_1235_5"
LRforcedPSO,1,6,atlSICsep,shigh,1515.5,2005.5,0.8,16,6,6,21.067227573020944,-0.08173228752385385,1235,"['6_lag_7_median_traBS', '8_lag_stratZ50ndj03', '6_lag_14_median_eapPSLjfm', '13_lag_nchinaPRjja', '15_lag_gyreSSTjfm', '10_lag_naoPSLjfm']","[1.7856747800358383, 1.7873616366833354, 2.3808997067102395, 1.7856962965523941, 1.78633652406136, 1.7970128510923997]","6_lag_7_median_traBS, 8_lag_stratZ50ndj03, 6_lag_14_median_eapPSLjfm, 13_lag_nchinaPRjja, 15_lag_gyreSSTjfm, 10_lag_naoPSLjfm_1235_6"
LRforcedPSO,2,6,atlSICsep,shigh,1516.5,2005.5,0.8,17,7,7,14.851509876369708,0.25332993867524156,1235,"['7_lag_16_median_seurTSjfm', '9_lag_yrvPRjja', '7_lag_9_median_amo3', '7_lag_14_median_tripol3', '7_lag_10_median_cetTSjfm', '7_lag_11_median_nhSICjfm']","[3.77153037574905, 4.362346238893588, 0.28512874152421475, 1.5070217683434954, 0.3398250761736712, 0.41755395249780136]","7_lag_16_median_seurTSjfm, 9_lag_yrvPRjja, 7_lag_9_median_amo3, 7_lag_14_median_tripol3, 7_lag_10_median_cetTSjfm, 7_lag_11_median_nhSICjfm_1235_7"
LRforcedPSO,3,6,atlSICsep,shigh,1517.5,2005.5,0.8,18,8,8,15.334010065363683,0.14897786367131935,1235,"['8_lag_12_median_atlSICjfm', '16_lag_seurTSjfm', '8_lag_14_median_AMOCann', '8_lag_13_median_pdoSSTjfm', '16_lag_traIT', '13_lag_traMC']","[1.458652434749471, 1.7304500666091105, 5.476672418230029, 1.5206351845359123, 1.7703859822243722, 0.8957812591910841]","8_lag_12_median_atlSICjfm, 16_lag_seurTSjfm, 8_lag_14_median_AMOCann, 8_lag_13_median_pdoSSTjfm, 16_lag_traIT, 13_lag_traMC_1235_8"
LRforcedPSO,4,6,atlSICsep,shigh,1518.5,2005.5,0.8,19,9,9,16.239451282383406,0.16315016335117885,1235,"['14_lag_atlSICsep', '9_lag_12_median_mhfATL30', '9_lag_15_median_seurTSjfm', '18_lag_amo2', '9_lag_12_median_traEC', '9_lag_14_median_nppc2SSTjfm']","[1.6467357396998021, 1.5423126963418061, 1.6970249606179144, 1.8559835007508154, 1.4767002144583816, 1.9312247431533565]","14_lag_atlSICsep, 9_lag_12_median_mhfATL30, 9_lag_15_median_seurTSjfm, 18_lag_amo2, 9_lag_12_median_traEC, 9_lag_14_median_nppc2SSTjfm_1235_9"
LRforcedPSO,5,6,atlSICsep,shigh,1519.5,2005.5,0.8,20,10,10,20.762581628798046,0.11112823600056972,1235,"['10_lag_16_median_stratZ50ndj03', '11_lag_AMOCann', '16_lag_traEC', '10_lag_16_median_solFORC', '19_lag_traEU', '13_lag_arcTSjfm']","[1.8111709406152623, 2.3799100886165183, 1.7849354909829342, 2.0089083889996333, 1.8195667734574008, 1.823965941887213]","10_lag_16_median_stratZ50ndj03, 11_lag_AMOCann, 16_lag_traEC, 10_lag_16_median_solFORC, 19_lag_traEU, 13_lag_arcTSjfm_1235_10"
LRforcedPSO,6,6,atlSICsep,shigh,1520.5,2005.5,0.8,21,11,11,14.707321775394544,0.21489662708830584,1235,"['11_lag_12_median_shSICsep', '11_lag_glTSjfm', '11_lag_18_median_ginwSSTjfm', '13_lag_traCA', '11_lag_13_median_atlSICjfm', '11_lag_19_median_seurTSjfm']","[4.012639913825415, 1.0294873077867486, 2.8367966227080963, 2.4165034018644054, 2.6332350466596477, 0.279453239184722]","11_lag_12_median_shSICsep, 11_lag_glTSjfm, 11_lag_18_median_ginwSSTjfm, 13_lag_traCA, 11_lag_13_median_atlSICjfm, 11_lag_19_median_seurTSjfm_1235_11"
LRforcedPSO,7,6,atlSICsep,shigh,1521.5,2005.5,0.8,22,12,12,18.003579616601055,0.220663507497538,1235,"['12_lag_15_median_traFB', '16_lag_tripol3', '12_lag_20_median_traIFC', '12_lag_18_median_traEC', '17_lag_tripol3', '12_lag_20_median_traEC']","[0.982536956218901, 1.306480220384245, 0.9799499194774225, 1.1585698713390833, 0.980083025752569, 0.9867862328512027]","12_lag_15_median_traFB, 16_lag_tripol3, 12_lag_20_median_traIFC, 12_lag_18_median_traEC, 17_lag_tripol3, 12_lag_20_median_traEC_1235_12"
LRforcedPSO,8,6,atlSICsep,shigh,1522.5,2005.5,0.8,23,13,13,19.509179487131913,-0.00972880201711623,1235,"['13_lag_17_median_traCA', '13_lag_21_median_nhSICjfm', '13_lag_17_median_scpPSLjfm', '16_lag_amoSSTmjjaso', '22_lag_atlSICjfm', '13_lag_16_median_traDS']","[1.4009597597025374, 1.6692654633032378, 1.7216062924722044, 1.3341693147322868, 1.6676488050941907, 1.5746718414144465]","13_lag_17_median_traCA, 13_lag_21_median_nhSICjfm, 13_lag_17_median_scpPSLjfm, 16_lag_amoSSTmjjaso, 22_lag_atlSICjfm, 13_lag_16_median_traDS_1235_13"
LRforcedPSO,9,6,atlSICsep,shigh,1523.5,2005.5,0.8,24,14,14,20.408102686874606,-0.05802247233220556,1235,"['14_lag_21_median_wnorPRjfm', '18_lag_stratZ50ndj02', '14_lag_19_median_arcTSjfm', '14_lag_22_median_eurPSLjfm', '14_lag_17_median_gyreSSTjfm', '14_lag_solFORC']","[1.9550237447877814, 1.842315494665187, 1.9438927642211858, 1.8097315190125787, 1.932133740636249, 2.402729661701378]","14_lag_21_median_wnorPRjfm, 18_lag_stratZ50ndj02, 14_lag_19_median_arcTSjfm, 14_lag_22_median_eurPSLjfm, 14_lag_17_median_gyreSSTjfm, 14_lag_solFORC_1235_14"
