model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,10,atlSICsep,shigh,1714.5,2005.5,0.6,15,5,5,18.222283896364765,-0.0854669847236665,418,"['7_lag_shSICsep', '11_lag_eurPSLjfm', '8_lag_atlSICjfm', '14_lag_amoSSTmjjaso', '5_lag_8_median_eapPSLjfm', '13_lag_stratZ50ndj02', '10_lag_shSICmar', '5_lag_amo1', '11_lag_amo3', '8_lag_nppc2SSTjfm']","[0.021251236868723232, 0.135640000369248, 0.17439731648632337, 0.2453823838094155, 0.08549112281062539, 0.055688852977150344, 0.05493159922735048, 0.1614621547564241, 0.1964886127468173, 0.034140149356698575]","7_lag_shSICsep, 11_lag_eurPSLjfm, 8_lag_atlSICjfm, 14_lag_amoSSTmjjaso, 5_lag_8_median_eapPSLjfm, 13_lag_stratZ50ndj02, 10_lag_shSICmar, 5_lag_amo1, 11_lag_amo3, 8_lag_nppc2SSTjfm_418_5"
LinearRegression,1,10,atlSICsep,shigh,1715.5,2005.5,0.6,16,6,6,17.76472100600198,0.019676742213388998,418,"['8_lag_nppc2SSTjfm', '11_lag_eurPSLjfm', '6_lag_eurPSLjfm', '13_lag_stratZ50ndj02', '12_lag_nppc2SSTjfm', '9_lag_stratZ50ndj04', '15_lag_amoSSTmjjaso', '11_lag_amo3', '6_lag_atlSICsep', '10_lag_shSICmar']","[0.05762882954759486, 0.13111459520832003, 0.06784689013962794, 0.07720968083673985, 0.0362229781067851, 0.18880437375330253, 0.06434638622092258, 0.09466003849080011, 0.15020388052403422, 0.026405483973949734]","8_lag_nppc2SSTjfm, 11_lag_eurPSLjfm, 6_lag_eurPSLjfm, 13_lag_stratZ50ndj02, 12_lag_nppc2SSTjfm, 9_lag_stratZ50ndj04, 15_lag_amoSSTmjjaso, 11_lag_amo3, 6_lag_atlSICsep, 10_lag_shSICmar_418_6"
LinearRegression,2,10,atlSICsep,shigh,1716.5,2005.5,0.6,17,7,7,16.929604423788287,0.11529365343802854,418,"['11_lag_amo3', '10_lag_AMOCann', '15_lag_AMOCann', '7_lag_10_median_stratZ50ndj03', '7_lag_10_median_stratZ50ndj01', '7_lag_12_median_stratZ50ndj01', '10_lag_shSICmar', '7_lag_naoPSLjfm', '12_lag_nppc2SSTjfm', '7_lag_10_median_scpPSLjfm']","[0.010743627817341452, 0.04584977314292242, 0.0782319136112027, 0.1325632736317278, 0.11315879110987426, 0.19754118935957793, 0.020319187346205848, 0.0924372276262988, 0.10532123545399334, 0.06611287222064648]","11_lag_amo3, 10_lag_AMOCann, 15_lag_AMOCann, 7_lag_10_median_stratZ50ndj03, 7_lag_10_median_stratZ50ndj01, 7_lag_12_median_stratZ50ndj01, 10_lag_shSICmar, 7_lag_naoPSLjfm, 12_lag_nppc2SSTjfm, 7_lag_10_median_scpPSLjfm_418_7"
LinearRegression,3,10,atlSICsep,shigh,1717.5,2005.5,0.6,18,8,8,14.658554522762307,0.2247140604298053,418,"['16_lag_nhSICsep', '15_lag_amo1', '8_lag_15_median_stratZ50ndj03', '8_lag_11_median_stratZ50ndj02', '11_lag_atlSICjfm', '11_lag_amo3', '14_lag_amoSSTmjjaso', '15_lag_nppc2SSTjfm', '8_lag_15_median_scpPSLjfm', '8_lag_13_median_naoPSLjfm']","[0.023163024035865783, 0.15451023047466123, 0.08681399508341246, 0.08043367600268095, 0.12969381989792042, 0.18186356272900245, 0.18024522935257076, 0.07826471288150302, 0.12251451392981097, 0.1348391844180411]","16_lag_nhSICsep, 15_lag_amo1, 8_lag_15_median_stratZ50ndj03, 8_lag_11_median_stratZ50ndj02, 11_lag_atlSICjfm, 11_lag_amo3, 14_lag_amoSSTmjjaso, 15_lag_nppc2SSTjfm, 8_lag_15_median_scpPSLjfm, 8_lag_13_median_naoPSLjfm_418_8"
LinearRegression,4,10,atlSICsep,shigh,1718.5,2005.5,0.6,19,9,9,17.896155178213018,-0.07593285959459709,418,"['17_lag_scpPSLjfm', '13_lag_stratZ50ndj03', '11_lag_amo3', '14_lag_stratZ50ndj02', '9_lag_12_median_stratZ50ndj03', '15_lag_nppc2SSTjfm', '16_lag_eapPSLjfm', '18_lag_nhSICsep', '13_lag_nppc2SSTjfm', '17_lag_shSICsep']","[0.06665567141967663, 0.03948543493754711, 0.053998561148663866, 0.047754374939409025, 0.0020406701003819966, 0.17152103093220367, 0.10091375819373755, 0.04077308536526013, 0.09291104214416171, 0.019593495004509947]","17_lag_scpPSLjfm, 13_lag_stratZ50ndj03, 11_lag_amo3, 14_lag_stratZ50ndj02, 9_lag_12_median_stratZ50ndj03, 15_lag_nppc2SSTjfm, 16_lag_eapPSLjfm, 18_lag_nhSICsep, 13_lag_nppc2SSTjfm, 17_lag_shSICsep_418_9"
LinearRegression,5,10,atlSICsep,shigh,1719.5,2005.5,0.6,20,10,10,16.30158826352161,0.14431904362687573,418,"['12_lag_amo3', '10_lag_shSICmar', '18_lag_nhSICsep', '10_lag_13_median_eapPSLjfm', '16_lag_shSICmar', '13_lag_nppc2SSTjfm', '16_lag_eapPSLjfm', '10_lag_15_median_eurPSLjfm', '15_lag_nppc2SSTjfm', '10_lag_stratZ50ndj04']","[0.028468929390844895, 0.06581667576546191, 0.032069320325274354, 0.11971429872256839, 0.1592178066354375, 0.12243054972437867, 0.10515908969191703, 0.4912437023803594, 0.11824581318013336, 0.25235418810448124]","12_lag_amo3, 10_lag_shSICmar, 18_lag_nhSICsep, 10_lag_13_median_eapPSLjfm, 16_lag_shSICmar, 13_lag_nppc2SSTjfm, 16_lag_eapPSLjfm, 10_lag_15_median_eurPSLjfm, 15_lag_nppc2SSTjfm, 10_lag_stratZ50ndj04_418_10"
LinearRegression,6,10,atlSICsep,shigh,1720.5,2005.5,0.6,21,11,11,18.00485998544138,-0.060334976679700496,418,"['16_lag_amo2', '11_lag_16_median_atlSICjfm', '17_lag_scpPSLjfm', '11_lag_20_median_stratZ50ndj03', '13_lag_stratZ50ndj02', '17_lag_stratZ50ndj01', '13_lag_nppc2SSTjfm', '11_lag_16_median_nhSICsep', '11_lag_amo3', '16_lag_eapPSLjfm']","[0.1404416707151929, 0.2680843097379448, 0.08683678609152208, 0.05344522621402012, 0.0701359735244298, 0.16990512974490682, 0.08439669797277664, 0.03557671896000367, 0.22267986898330497, 0.11363051747960469]","16_lag_amo2, 11_lag_16_median_atlSICjfm, 17_lag_scpPSLjfm, 11_lag_20_median_stratZ50ndj03, 13_lag_stratZ50ndj02, 17_lag_stratZ50ndj01, 13_lag_nppc2SSTjfm, 11_lag_16_median_nhSICsep, 11_lag_amo3, 16_lag_eapPSLjfm_418_11"
LinearRegression,7,10,atlSICsep,shigh,1721.5,2005.5,0.6,22,12,12,15.280927108525571,0.23190946548912225,418,"['15_lag_amo1', '21_lag_nppc2SSTjfm', '21_lag_scpPSLjfm', '12_lag_15_median_atlSICsep', '18_lag_nhSICjfm', '12_lag_21_median_stratZ50ndj03', '18_lag_scpPSLjfm', '16_lag_eapPSLjfm', '16_lag_amo2', '12_lag_amo3']","[0.09485744528517967, 0.034819104861574676, 0.0716411099905878, 0.06395044247232494, 0.0005738899859970906, 0.01511111859110046, 0.015683408460667257, 0.06392020423178292, 0.12452897286698669, 0.021684233796108184]","15_lag_amo1, 21_lag_nppc2SSTjfm, 21_lag_scpPSLjfm, 12_lag_15_median_atlSICsep, 18_lag_nhSICjfm, 12_lag_21_median_stratZ50ndj03, 18_lag_scpPSLjfm, 16_lag_eapPSLjfm, 16_lag_amo2, 12_lag_amo3_418_12"
LinearRegression,8,10,atlSICsep,shigh,1722.5,2005.5,0.6,23,13,13,14.948560029111292,0.19194697132106664,418,"['16_lag_nppc2SSTjfm', '13_lag_16_median_AMOCann', '16_lag_nhSICsep', '15_lag_amo2', '13_lag_18_median_amoSSTmjjaso', '19_lag_AMOCann', '17_lag_scpPSLjfm', '16_lag_nhSICjfm', '17_lag_shSICsep', '16_lag_stratZ50ndj04']","[0.004573168780142429, 0.2875148519299092, 0.015452122664502098, 0.04215581613657209, 0.050302673161381636, 0.05801511203279193, 0.08022983003829293, 0.24015071094201135, 0.08071059263360732, 0.11590071698783301]","16_lag_nppc2SSTjfm, 13_lag_16_median_AMOCann, 16_lag_nhSICsep, 15_lag_amo2, 13_lag_18_median_amoSSTmjjaso, 19_lag_AMOCann, 17_lag_scpPSLjfm, 16_lag_nhSICjfm, 17_lag_shSICsep, 16_lag_stratZ50ndj04_418_13"
LinearRegression,9,10,atlSICsep,shigh,1723.5,2005.5,0.6,24,14,14,16.25743580249554,0.20332201513596906,418,"['21_lag_stratZ50ndj04', '22_lag_AMOCann', '18_lag_scpPSLjfm', '17_lag_AMOCann', '19_lag_atlSICsep', '14_lag_atlSICjfm', '21_lag_nhSICsep', '21_lag_shSICsep', '14_lag_17_median_eapPSLjfm', '17_lag_shSICsep']","[0.03536069190776803, 0.08077090172623788, 0.0053664205438624605, 0.09486493116648445, 0.07470535525526986, 0.088142748966745, 0.11704078438220186, 0.03663419921627534, 0.131016885427897, 0.0692410744953711]","21_lag_stratZ50ndj04, 22_lag_AMOCann, 18_lag_scpPSLjfm, 17_lag_AMOCann, 19_lag_atlSICsep, 14_lag_atlSICjfm, 21_lag_nhSICsep, 21_lag_shSICsep, 14_lag_17_median_eapPSLjfm, 17_lag_shSICsep_418_14"
