model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,6,cetTSjfm,shigh,1514.5,2005.5,0.4,15,1,1,13.47265901528673,0.12784621229868176,1755,"['8_lag_stratZ50ndj04', '2_lag_seurTSjfm', '7_lag_tripol3', '1_lag_13_median_glomaSSTjfm', '1_lag_14_median_ginwSSTjfm', '2_lag_solFORC']","[2.5039162986963657, 2.6655992884884707, 2.5036859348115597, 3.3379688817938313, 2.6644690171265557, 2.503757627193324]","8_lag_stratZ50ndj04, 2_lag_seurTSjfm, 7_lag_tripol3, 1_lag_13_median_glomaSSTjfm, 1_lag_14_median_ginwSSTjfm, 2_lag_solFORC_1755_1"
LRforcedPSO,1,6,cetTSjfm,shigh,1515.5,2005.5,0.4,16,1,1,14.52842010943377,-0.042712308673860236,1885,"['12_lag_arcTSjfm', '1_lag_9_median_traFB', '10_lag_yrvPRjja', '14_lag_traEU', '1_lag_traFB', '1_lag_traIT']","[2.6451981831456375, 2.8297416197840963, 2.6635986183399, 2.46950734509712, 3.2272612239554572, 2.562384412736469]","12_lag_arcTSjfm, 1_lag_9_median_traFB, 10_lag_yrvPRjja, 14_lag_traEU, 1_lag_traFB, 1_lag_traIT_1885_1"
LRforcedPSO,2,6,cetTSjfm,shigh,1516.5,2005.5,0.4,17,1,1,13.70556346297794,-0.0020746529128829717,2015,"['14_lag_mhfATL60', '14_lag_traFB', '1_lag_6_median_glomaSSTjfm', '9_lag_traEC', '1_lag_2_median_eurPSLjfm', '1_lag_5_median_nhTSjfm']","[1.6592242019459553, 1.6591503898310929, 2.2121912415494047, 1.6591630933169352, 1.6604802823039106, 2.2121985699725752]","14_lag_mhfATL60, 14_lag_traFB, 1_lag_6_median_glomaSSTjfm, 9_lag_traEC, 1_lag_2_median_eurPSLjfm, 1_lag_5_median_nhTSjfm_2015_1"
LRforcedPSO,3,6,cetTSjfm,shigh,1517.5,2005.5,0.4,18,1,1,13.52416623035893,0.06801543557600064,2145,"['16_lag_tripol3', '7_lag_samPSLann', '7_lag_ormenSSTjfm', '1_lag_8_median_scpPSLjfm', '13_lag_mhfIP30', '15_lag_atlSICjfm']","[1.108056073516062, 1.7579856805443619, 1.390376807527371, 1.0411906842477272, 1.15947292455418, 5.450870366694193]","16_lag_tripol3, 7_lag_samPSLann, 7_lag_ormenSSTjfm, 1_lag_8_median_scpPSLjfm, 13_lag_mhfIP30, 15_lag_atlSICjfm_2145_1"
LRforcedPSO,4,6,cetTSjfm,shigh,1518.5,2005.5,0.4,19,1,1,17.858835564597538,0.11161343941566845,2275,"['1_lag_8_median_glTSjfm', '2_lag_labSSTjfm', '6_lag_ensoSSTjfm', '18_lag_mhfIP30', '12_lag_traBO', '2_lag_scpPSLjfm']","[4.826520154314043, 0.20466806177940455, 2.312163544190547, 0.4348022220719514, 4.027020688270353, 7.976850494168675]","1_lag_8_median_glTSjfm, 2_lag_labSSTjfm, 6_lag_ensoSSTjfm, 18_lag_mhfIP30, 12_lag_traBO, 2_lag_scpPSLjfm_2275_1"
LRforcedPSO,5,6,cetTSjfm,shigh,1519.5,2005.5,0.4,20,1,1,13.176203019658606,0.2088817901850938,2405,"['1_lag_16_median_gyreSSTjfm', '3_lag_arcTSjfm', '19_lag_mhfATL30', '1_lag_11_median_glTSjfm', '1_lag_18_median_wnorPRjfm', '12_lag_seurTSjfm']","[2.5694574351358175, 1.9275278746875943, 2.0040403156108275, 2.570020346309021, 1.9275152901235684, 1.927515729239219]","1_lag_16_median_gyreSSTjfm, 3_lag_arcTSjfm, 19_lag_mhfATL30, 1_lag_11_median_glTSjfm, 1_lag_18_median_wnorPRjfm, 12_lag_seurTSjfm_2405_1"
LRforcedPSO,6,6,cetTSjfm,shigh,1520.5,2005.5,0.4,21,1,1,13.116323596657137,0.13278266823831586,2535,"['14_lag_satlSSTjfm', '1_lag_18_median_yrvPRjja', '1_lag_2_median_traDS', '1_lag_18_median_alpi', '16_lag_shTSjfm', '7_lag_traFS']","[1.6838611371918195, 1.5201274020295819, 2.026767366476268, 1.521632208493106, 1.520213707592829, 1.827422243514497]","14_lag_satlSSTjfm, 1_lag_18_median_yrvPRjja, 1_lag_2_median_traDS, 1_lag_18_median_alpi, 16_lag_shTSjfm, 7_lag_traFS_2535_1"
LRforcedPSO,7,6,cetTSjfm,shigh,1521.5,2005.5,0.4,22,2,2,14.87904277789114,0.16879289490833566,2535,"['2_lag_10_median_yrvPRjja', '5_lag_shTSjfm', '6_lag_arcTSjfm', '13_lag_traDS', '4_lag_samPSLann', '2_lag_14_median_nhTSjfm']","[3.0053235519077752, 3.084095654002332, 2.4934329276392733, 2.9381810593585644, 2.7468953179978066, 3.1902105671369703]","2_lag_10_median_yrvPRjja, 5_lag_shTSjfm, 6_lag_arcTSjfm, 13_lag_traDS, 4_lag_samPSLann, 2_lag_14_median_nhTSjfm_2535_2"
LRforcedPSO,8,6,cetTSjfm,shigh,1522.5,2005.5,0.4,23,3,3,13.712960180126272,0.14092981292282636,2535,"['20_lag_traEC', '3_lag_19_median_stratZ50ndj04', '3_lag_11_median_tripol3', '3_lag_8_median_nhSICsep', '3_lag_8_median_amo2', '17_lag_pdoSSTjfm']","[2.142533953286124, 2.1612157477924816, 2.8558334596167243, 2.273698222045823, 2.1490644980404787, 2.7605070737286357]","20_lag_traEC, 3_lag_19_median_stratZ50ndj04, 3_lag_11_median_tripol3, 3_lag_8_median_nhSICsep, 3_lag_8_median_amo2, 17_lag_pdoSSTjfm_2535_3"
LRforcedPSO,9,6,cetTSjfm,shigh,1523.5,2005.5,0.4,24,4,4,14.63020320197779,-0.044887443300931286,2535,"['4_lag_traFSC', '4_lag_20_median_traBS', '10_lag_yrvPRjja', '12_lag_arcTSjfm', '16_lag_glTSjfm', '8_lag_nppc3SSTjfm']","[2.889423766665796, 2.905129785684782, 2.9040524443081375, 2.870599953579065, 3.82612962648626, 2.901210446475972]","4_lag_traFSC, 4_lag_20_median_traBS, 10_lag_yrvPRjja, 12_lag_arcTSjfm, 16_lag_glTSjfm, 8_lag_nppc3SSTjfm_2535_4"
