model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,30,cetTSjfm,shigh,1714.5,2005.5,0.4,15,1,1,16.845932862621023,0.16578955371906232,1755,"['3_lag_ismPRjja', '8_lag_yrvPRjja', '12_lag_cetTSjfm', '11_lag_nhSICsep', '12_lag_traIT', '8_lag_traBS', '14_lag_eurPSLjfm', '4_lag_stratZ50ndj01', '6_lag_traFS', '10_lag_ismPRjja', '14_lag_tripol2', '14_lag_nppc2SSTjfm', '11_lag_satlSSTjfm', '11_lag_scpPSLjfm', '5_lag_stratZ50ndj03', '6_lag_traDS', '1_lag_alpi', '4_lag_eurPSLjfm', '6_lag_stratZ50ndj02', '12_lag_shSICmar', '6_lag_traMC', '6_lag_traFSC', '7_lag_stratZ50ndj03', '1_lag_2_median_yrvPRjja', '2_lag_yrvPRjja', '14_lag_ensoSSTjfm', '8_lag_eurPSLjfm', '4_lag_stratZ50ndj03', '10_lag_yrvPRjja', '1_lag_cetTSjfm']","[0.257399480501577, 0.14284063378075146, 0.24939512660740837, 0.30703488478103486, 0.11894037800799015, 0.061088777081112544, 0.013787113137998196, 0.07061583880383049, 0.30244188204508876, 0.04430498761386446, 0.18142171547602343, 0.031451570430792775, 0.29187795859774546, 0.05702938713046393, 0.010339760476998245, 0.09944572815804967, 0.11376614636194318, 0.12623449645087054, 0.12050648395649632, 0.25862707888729275, 0.08515053880896832, 0.05307448858626865, 0.10692079088388215, 10861190477002.545, 10861190477002.629, 0.0695878025399955, 0.1621197695237607, 0.10047260274730527, 0.11786662620320382, 0.04414756772348456]","3_lag_ismPRjja, 8_lag_yrvPRjja, 12_lag_cetTSjfm, 11_lag_nhSICsep, 12_lag_traIT, 8_lag_traBS, 14_lag_eurPSLjfm, 4_lag_stratZ50ndj01, 6_lag_traFS, 10_lag_ismPRjja, 14_lag_tripol2, 14_lag_nppc2SSTjfm, 11_lag_satlSSTjfm, 11_lag_scpPSLjfm, 5_lag_stratZ50ndj03, 6_lag_traDS, 1_lag_alpi, 4_lag_eurPSLjfm, 6_lag_stratZ50ndj02, 12_lag_shSICmar, 6_lag_traMC, 6_lag_traFSC, 7_lag_stratZ50ndj03, 1_lag_2_median_yrvPRjja, 2_lag_yrvPRjja, 14_lag_ensoSSTjfm, 8_lag_eurPSLjfm, 4_lag_stratZ50ndj03, 10_lag_yrvPRjja, 1_lag_cetTSjfm_1755_1"
LinearRegression,1,30,cetTSjfm,shigh,1715.5,2005.5,0.4,16,1,1,14.587548179022113,0.10371815160201757,1885,"['15_lag_traEC', '1_lag_alpi', '6_lag_traFS', '12_lag_eurPSLjfm', '8_lag_yrvPRjja', '8_lag_samPSLann', '4_lag_cetTSjfm', '11_lag_satlSSTjfm', '10_lag_ismPRjja', '6_lag_gyreSSTjfm', '14_lag_ensoSSTjfm', '1_lag_neurTSjfm', '12_lag_traIT', '6_lag_stratZ50ndj02', '6_lag_traDS', '14_lag_yrvPRjja', '4_lag_eurPSLjfm', '6_lag_traFSC', '8_lag_eurPSLjfm', '15_lag_ensoSSTjfm', '15_lag_traEU', '12_lag_alpi', '11_lag_scpPSLjfm', '3_lag_yrvPRjja', '4_lag_stratZ50ndj03', '10_lag_yrvPRjja', '7_lag_stratZ50ndj03', '1_lag_2_median_yrvPRjja', '2_lag_yrvPRjja', '1_lag_cetTSjfm']","[0.16352325588525113, 0.14661787560891396, 0.21549265741893922, 0.2501852798601873, 0.14680322716177785, 0.03848468806533505, 0.07057879425532199, 0.2893542356530364, 0.07207169598510405, 0.03883868610911537, 0.13783886349948724, 0.06852215604857943, 0.1413686795796437, 0.05209998353771708, 0.08574707351578599, 0.14071308580980726, 0.08262433214410612, 0.07476856642656014, 0.11625892954399435, 0.08362111315001859, 0.07584241787032432, 0.13179681209845637, 0.13485951299244203, 0.11163393808681095, 0.11465003990575334, 0.04241456981661419, 0.0755828253137095, 0.0879362401854624, 0.08793624018545959, 0.10187007826250417]","15_lag_traEC, 1_lag_alpi, 6_lag_traFS, 12_lag_eurPSLjfm, 8_lag_yrvPRjja, 8_lag_samPSLann, 4_lag_cetTSjfm, 11_lag_satlSSTjfm, 10_lag_ismPRjja, 6_lag_gyreSSTjfm, 14_lag_ensoSSTjfm, 1_lag_neurTSjfm, 12_lag_traIT, 6_lag_stratZ50ndj02, 6_lag_traDS, 14_lag_yrvPRjja, 4_lag_eurPSLjfm, 6_lag_traFSC, 8_lag_eurPSLjfm, 15_lag_ensoSSTjfm, 15_lag_traEU, 12_lag_alpi, 11_lag_scpPSLjfm, 3_lag_yrvPRjja, 4_lag_stratZ50ndj03, 10_lag_yrvPRjja, 7_lag_stratZ50ndj03, 1_lag_2_median_yrvPRjja, 2_lag_yrvPRjja, 1_lag_cetTSjfm_1885_1"
LinearRegression,2,30,cetTSjfm,shigh,1716.5,2005.5,0.4,17,1,1,15.207121315569765,0.060916825028848584,2015,"['15_lag_scpPSLjfm', '11_lag_scpPSLjfm', '6_lag_traMC', '6_lag_traFSC', '16_lag_traBS', '16_lag_traIT', '6_lag_stratZ50ndj02', '4_lag_eurPSLjfm', '10_lag_ismPRjja', '12_lag_traIT', '14_lag_nppc2SSTjfm', '15_lag_traEC', '15_lag_tripol3', '11_lag_satlSSTjfm', '7_lag_nchinaPRjja', '12_lag_eurPSLjfm', '8_lag_yrvPRjja', '15_lag_traEU', '7_lag_stratZ50ndj03', '2_lag_yrvPRjja', '1_lag_2_median_yrvPRjja', '16_lag_traMC', '15_lag_ensoSSTjfm', '8_lag_eurPSLjfm', '16_lag_yrvPRjja', '4_lag_stratZ50ndj03', '12_lag_alpi', '3_lag_yrvPRjja', '1_lag_cetTSjfm', '10_lag_yrvPRjja']","[0.012584847972456424, 0.1543398708262148, 0.24502195548418293, 0.15058587219536673, 0.09601990006159639, 0.12590246779222855, 0.02191864246710749, 0.15115112839196204, 0.020429123294116884, 0.0008706987092841233, 0.046535195378666384, 0.14473449396600163, 0.043052781863511275, 0.22243335580037368, 0.15315008321600554, 0.15888034569487253, 0.13277462801131074, 0.028866213432385834, 0.037061261653262255, 4547278610887.561, 4547278610887.655, 0.17709206942495284, 0.051676138549643036, 0.1731081799594349, 0.14901391041109993, 0.09604288825237137, 0.1900934627855394, 0.12444387052873741, 0.0418555448283762, 0.11111246565790632]","15_lag_scpPSLjfm, 11_lag_scpPSLjfm, 6_lag_traMC, 6_lag_traFSC, 16_lag_traBS, 16_lag_traIT, 6_lag_stratZ50ndj02, 4_lag_eurPSLjfm, 10_lag_ismPRjja, 12_lag_traIT, 14_lag_nppc2SSTjfm, 15_lag_traEC, 15_lag_tripol3, 11_lag_satlSSTjfm, 7_lag_nchinaPRjja, 12_lag_eurPSLjfm, 8_lag_yrvPRjja, 15_lag_traEU, 7_lag_stratZ50ndj03, 2_lag_yrvPRjja, 1_lag_2_median_yrvPRjja, 16_lag_traMC, 15_lag_ensoSSTjfm, 8_lag_eurPSLjfm, 16_lag_yrvPRjja, 4_lag_stratZ50ndj03, 12_lag_alpi, 3_lag_yrvPRjja, 1_lag_cetTSjfm, 10_lag_yrvPRjja_2015_1"
LinearRegression,3,30,cetTSjfm,shigh,1717.5,2005.5,0.4,18,1,1,15.053170504481136,0.079156197320974,2145,"['6_lag_alpi', '1_lag_traWP', '10_lag_ismPRjja', '5_lag_stratZ50ndj03', '14_lag_nhSICjfm', '11_lag_scpPSLjfm', '16_lag_traIT', '6_lag_stratZ50ndj02', '4_lag_eurPSLjfm', '11_lag_satlSSTjfm', '15_lag_traEC', '15_lag_traEU', '15_lag_tripol3', '14_lag_nppc2SSTjfm', '12_lag_traIT', '7_lag_nchinaPRjja', '12_lag_eurPSLjfm', '15_lag_ensoSSTjfm', '16_lag_yrvPRjja', '7_lag_stratZ50ndj03', '8_lag_yrvPRjja', '12_lag_alpi', '16_lag_traMC', '1_lag_2_median_yrvPRjja', '2_lag_yrvPRjja', '8_lag_eurPSLjfm', '4_lag_stratZ50ndj03', '3_lag_yrvPRjja', '10_lag_yrvPRjja', '1_lag_cetTSjfm']","[0.16318303910755091, 0.23934872567533594, 0.00014528867335261264, 0.1073542422290624, 0.10563303829402697, 0.1827901721744697, 0.11446030356347063, 0.10596957015543099, 0.13648024852089322, 0.2906711992206811, 0.1457204812981386, 0.03692954816992023, 0.02811642844702961, 0.06716518588719998, 0.04123147251714083, 0.14399847358813925, 0.2225311170612504, 0.01194802941279334, 0.14294025148873563, 0.026924916385116168, 0.11547081685005037, 0.13848236221636662, 0.16379825932576939, 12321420057352.467, 12321420057352.582, 0.195909393884208, 0.10998893449021901, 0.10279033822424946, 0.10097183454575051, 0.020395425652066486]","6_lag_alpi, 1_lag_traWP, 10_lag_ismPRjja, 5_lag_stratZ50ndj03, 14_lag_nhSICjfm, 11_lag_scpPSLjfm, 16_lag_traIT, 6_lag_stratZ50ndj02, 4_lag_eurPSLjfm, 11_lag_satlSSTjfm, 15_lag_traEC, 15_lag_traEU, 15_lag_tripol3, 14_lag_nppc2SSTjfm, 12_lag_traIT, 7_lag_nchinaPRjja, 12_lag_eurPSLjfm, 15_lag_ensoSSTjfm, 16_lag_yrvPRjja, 7_lag_stratZ50ndj03, 8_lag_yrvPRjja, 12_lag_alpi, 16_lag_traMC, 1_lag_2_median_yrvPRjja, 2_lag_yrvPRjja, 8_lag_eurPSLjfm, 4_lag_stratZ50ndj03, 3_lag_yrvPRjja, 10_lag_yrvPRjja, 1_lag_cetTSjfm_2145_1"
LinearRegression,4,30,cetTSjfm,shigh,1718.5,2005.5,0.4,19,1,1,14.747076410933131,0.038732739534962674,2275,"['9_lag_traBS', '5_lag_stratZ50ndj03', '1_lag_traEU', '4_lag_eurPSLjfm', '5_lag_stratZ50ndj02', '1_lag_neurTSjfm', '15_lag_traEC', '11_lag_scpPSLjfm', '14_lag_nppc2SSTjfm', '15_lag_tripol3', '15_lag_stratZ50ndj02', '17_lag_stratZ50ndj01', '12_lag_traIT', '7_lag_nchinaPRjja', '6_lag_stratZ50ndj02', '7_lag_stratZ50ndj03', '11_lag_satlSSTjfm', '16_lag_traMC', '12_lag_eurPSLjfm', '3_lag_yrvPRjja', '15_lag_ensoSSTjfm', '4_lag_stratZ50ndj03', '2_lag_yrvPRjja', '1_lag_2_median_yrvPRjja', '12_lag_alpi', '8_lag_eurPSLjfm', '10_lag_yrvPRjja', '8_lag_yrvPRjja', '16_lag_yrvPRjja', '1_lag_cetTSjfm']","[0.05896853272027317, 0.08526462382213357, 0.06656813181771164, 0.09625206285446923, 0.027084787185978794, 0.09463227968323971, 0.13036195583223073, 0.14921538026382034, 0.09419253514580973, 0.0027719880714057667, 0.06493292722702848, 0.04607477881808012, 0.07355299256108133, 0.12476710247012482, 0.045359999228639085, 0.005122054901497527, 0.22107652308529122, 0.13009863975159064, 0.22909714527376418, 0.0562618719631392, 0.1052640345816593, 0.15086777875082152, 11174696054351.941, 11174696054352.03, 0.15148223574062236, 0.1625537927317589, 0.08675468212342984, 0.16764181694513455, 0.15318230221639845, 0.07098986232434552]","9_lag_traBS, 5_lag_stratZ50ndj03, 1_lag_traEU, 4_lag_eurPSLjfm, 5_lag_stratZ50ndj02, 1_lag_neurTSjfm, 15_lag_traEC, 11_lag_scpPSLjfm, 14_lag_nppc2SSTjfm, 15_lag_tripol3, 15_lag_stratZ50ndj02, 17_lag_stratZ50ndj01, 12_lag_traIT, 7_lag_nchinaPRjja, 6_lag_stratZ50ndj02, 7_lag_stratZ50ndj03, 11_lag_satlSSTjfm, 16_lag_traMC, 12_lag_eurPSLjfm, 3_lag_yrvPRjja, 15_lag_ensoSSTjfm, 4_lag_stratZ50ndj03, 2_lag_yrvPRjja, 1_lag_2_median_yrvPRjja, 12_lag_alpi, 8_lag_eurPSLjfm, 10_lag_yrvPRjja, 8_lag_yrvPRjja, 16_lag_yrvPRjja, 1_lag_cetTSjfm_2275_1"
LinearRegression,5,30,cetTSjfm,shigh,1719.5,2005.5,0.4,20,1,1,15.739486098030104,-0.013406594821475309,2405,"['6_lag_traMC', '14_lag_nppc2SSTjfm', '9_lag_traBS', '1_lag_neurTSjfm', '5_lag_stratZ50ndj02', '19_lag_eurPSLjfm', '11_lag_scpPSLjfm', '1_lag_traEU', '15_lag_tripol3', '6_lag_stratZ50ndj02', '16_lag_traIT', '7_lag_stratZ50ndj03', '11_lag_satlSSTjfm', '12_lag_traIT', '15_lag_stratZ50ndj02', '3_lag_yrvPRjja', '4_lag_stratZ50ndj03', '16_lag_traMC', '19_lag_traEU', '8_lag_eurPSLjfm', '12_lag_eurPSLjfm', '2_lag_yrvPRjja', '1_lag_2_median_yrvPRjja', '15_lag_ensoSSTjfm', '12_lag_alpi', '16_lag_yrvPRjja', '8_lag_yrvPRjja', '10_lag_yrvPRjja', '1_lag_cetTSjfm', '19_lag_traBS']","[0.24156840172937885, 0.010771628144128242, 0.05287983570126397, 0.09439382723577262, 0.13304002348930005, 0.24122905646666376, 0.1920106726437873, 0.06741177635842828, 0.05038521018692984, 0.012526630485078398, 0.17175947133772157, 0.009908997490912362, 0.23666808553498778, 0.14171142525512362, 0.09981671400672658, 0.03613109044012662, 0.09727829674125539, 0.13827194659727654, 0.12476998701707107, 0.05262591309068372, 0.20647008482528564, 4469716077545.597, 4469716077545.522, 0.0415896980843308, 0.18055588457957653, 0.1506799444875919, 0.17998820014543224, 0.14022622831250378, 0.08155269690234287, 0.15795055640222128]","6_lag_traMC, 14_lag_nppc2SSTjfm, 9_lag_traBS, 1_lag_neurTSjfm, 5_lag_stratZ50ndj02, 19_lag_eurPSLjfm, 11_lag_scpPSLjfm, 1_lag_traEU, 15_lag_tripol3, 6_lag_stratZ50ndj02, 16_lag_traIT, 7_lag_stratZ50ndj03, 11_lag_satlSSTjfm, 12_lag_traIT, 15_lag_stratZ50ndj02, 3_lag_yrvPRjja, 4_lag_stratZ50ndj03, 16_lag_traMC, 19_lag_traEU, 8_lag_eurPSLjfm, 12_lag_eurPSLjfm, 2_lag_yrvPRjja, 1_lag_2_median_yrvPRjja, 15_lag_ensoSSTjfm, 12_lag_alpi, 16_lag_yrvPRjja, 8_lag_yrvPRjja, 10_lag_yrvPRjja, 1_lag_cetTSjfm, 19_lag_traBS_2405_1"
LinearRegression,6,30,cetTSjfm,shigh,1720.5,2005.5,0.4,21,1,1,15.336800377923844,0.004893856971858672,2535,"['15_lag_tripol3', '5_lag_stratZ50ndj02', '1_lag_traEU', '11_lag_satlSSTjfm', '20_lag_traBS', '19_lag_eurPSLjfm', '7_lag_stratZ50ndj03', '16_lag_traIT', '9_lag_traBS', '17_lag_stratZ50ndj01', '1_lag_neurTSjfm', '3_lag_yrvPRjja', '19_lag_traEU', '16_lag_yrvPRjja', '8_lag_yrvPRjja', '15_lag_stratZ50ndj02', '11_lag_scpPSLjfm', '20_lag_stratZ50ndj02', '15_lag_ensoSSTjfm', '2_lag_yrvPRjja', '1_lag_2_median_yrvPRjja', '16_lag_traMC', '6_lag_stratZ50ndj02', '8_lag_eurPSLjfm', '4_lag_stratZ50ndj03', '12_lag_eurPSLjfm', '10_lag_yrvPRjja', '12_lag_alpi', '1_lag_cetTSjfm', '19_lag_traBS']","[0.0284767914800814, 0.05307156228437365, 0.0704904062520073, 0.22608696646936313, 0.13956746643387988, 0.22451923327998674, 0.034386251505774006, 0.1599127325917117, 0.10389542386148902, 0.07975857350057447, 0.054362426416535596, 0.03817387482384924, 0.12508325634789588, 0.08574318946912758, 0.09155943990738537, 0.1428298814364386, 0.1888318565203615, 0.03279075159257055, 0.0026234653247418638, 3886833040672.3823, 3886833040672.3545, 0.0729927148427052, 0.06174081953390853, 0.11327253048184482, 0.162093628239273, 0.2400300459299891, 0.10314128619796152, 0.16780376863134702, 0.04866503233462707, 0.12241492034251963]","15_lag_tripol3, 5_lag_stratZ50ndj02, 1_lag_traEU, 11_lag_satlSSTjfm, 20_lag_traBS, 19_lag_eurPSLjfm, 7_lag_stratZ50ndj03, 16_lag_traIT, 9_lag_traBS, 17_lag_stratZ50ndj01, 1_lag_neurTSjfm, 3_lag_yrvPRjja, 19_lag_traEU, 16_lag_yrvPRjja, 8_lag_yrvPRjja, 15_lag_stratZ50ndj02, 11_lag_scpPSLjfm, 20_lag_stratZ50ndj02, 15_lag_ensoSSTjfm, 2_lag_yrvPRjja, 1_lag_2_median_yrvPRjja, 16_lag_traMC, 6_lag_stratZ50ndj02, 8_lag_eurPSLjfm, 4_lag_stratZ50ndj03, 12_lag_eurPSLjfm, 10_lag_yrvPRjja, 12_lag_alpi, 1_lag_cetTSjfm, 19_lag_traBS_2535_1"
LinearRegression,7,30,cetTSjfm,shigh,1721.5,2005.5,0.4,22,1,1,15.804361673408712,-0.061393678845925906,2665,"['4_lag_stratZ50ndj01', '11_lag_satlSSTjfm', '9_lag_traBS', '14_lag_nhSICjfm', '21_lag_nchinaPRjja', '19_lag_traEU', '5_lag_stratZ50ndj03', '8_lag_yrvPRjja', '3_lag_yrvPRjja', '1_lag_neurTSjfm', '19_lag_eurPSLjfm', '16_lag_yrvPRjja', '15_lag_traEC', '21_lag_stratZ50ndj02', '15_lag_ensoSSTjfm', '17_lag_stratZ50ndj01', '16_lag_traMC', '20_lag_stratZ50ndj02', '11_lag_scpPSLjfm', '12_lag_eurPSLjfm', '6_lag_stratZ50ndj02', '2_lag_yrvPRjja', '4_lag_stratZ50ndj03', '1_lag_2_median_yrvPRjja', '8_lag_eurPSLjfm', '15_lag_stratZ50ndj02', '10_lag_yrvPRjja', '1_lag_cetTSjfm', '12_lag_alpi', '19_lag_traBS']","[0.12557856322245606, 0.26893701437491196, 0.04418135174334842, 0.14122411039416843, 0.016258135754767374, 0.052152114125262564, 0.0816216157791004, 0.09028749313873426, 0.06894083077870775, 0.0819027402765134, 0.2343579231485474, 0.10824161895121748, 0.1184339829942501, 0.08335437642200139, 0.08461524153852217, 0.04842605075834164, 0.07767892682285832, 0.025971442651311363, 0.11772389222615294, 0.2705916548570582, 0.06154966509305776, 4409963384410.631, 0.16064624828762974, 4409963384410.626, 0.15553815297715856, 0.1639666579053162, 0.10177335597690945, 0.04366365175509135, 0.1388022235801984, 0.08920684599326797]","4_lag_stratZ50ndj01, 11_lag_satlSSTjfm, 9_lag_traBS, 14_lag_nhSICjfm, 21_lag_nchinaPRjja, 19_lag_traEU, 5_lag_stratZ50ndj03, 8_lag_yrvPRjja, 3_lag_yrvPRjja, 1_lag_neurTSjfm, 19_lag_eurPSLjfm, 16_lag_yrvPRjja, 15_lag_traEC, 21_lag_stratZ50ndj02, 15_lag_ensoSSTjfm, 17_lag_stratZ50ndj01, 16_lag_traMC, 20_lag_stratZ50ndj02, 11_lag_scpPSLjfm, 12_lag_eurPSLjfm, 6_lag_stratZ50ndj02, 2_lag_yrvPRjja, 4_lag_stratZ50ndj03, 1_lag_2_median_yrvPRjja, 8_lag_eurPSLjfm, 15_lag_stratZ50ndj02, 10_lag_yrvPRjja, 1_lag_cetTSjfm, 12_lag_alpi, 19_lag_traBS_2665_1"
LinearRegression,8,30,cetTSjfm,shigh,1722.5,2005.5,0.4,23,1,1,16.253172255749952,-0.06829019798717206,2795,"['14_lag_nhSICjfm', '15_lag_traEC', '11_lag_satlSSTjfm', '21_lag_traEU', '1_lag_neurTSjfm', '22_lag_arcTSjfm', '11_lag_scpPSLjfm', '8_lag_yrvPRjja', '17_lag_stratZ50ndj01', '3_lag_yrvPRjja', '22_lag_stratZ50ndj03', '15_lag_ensoSSTjfm', '21_lag_stratZ50ndj02', '16_lag_yrvPRjja', '20_lag_stratZ50ndj02', '19_lag_eurPSLjfm', '16_lag_traMC', '6_lag_stratZ50ndj02', '15_lag_stratZ50ndj02', '12_lag_eurPSLjfm', '4_lag_stratZ50ndj03', '2_lag_yrvPRjja', '1_lag_2_median_yrvPRjja', '8_lag_eurPSLjfm', '10_lag_yrvPRjja', '22_lag_nchinaPRjja', '1_lag_cetTSjfm', '22_lag_traMC', '12_lag_alpi', '19_lag_traBS']","[0.0908959153796512, 0.09976422739055085, 0.21011613639355853, 0.07439463877723504, 0.07200006072846853, 0.11380019125725618, 0.10006132860460246, 0.11465296783049432, 0.015617267048255822, 0.05592386546580385, 0.1053984474363592, 0.05386184652181956, 0.03632152071489872, 0.07786766880512051, 0.06742799668650849, 0.25055097106253776, 0.10538309716328634, 0.05607454841796135, 0.16781659037809832, 0.21699931391068797, 0.13681992892215938, 0.0290564915630636, 0.02905649156306357, 0.13374206479152087, 0.10013925066964144, 0.18612354944640233, 0.027184303584718933, 0.11908806933661761, 0.12231617998558675, 0.10246214478372861]","14_lag_nhSICjfm, 15_lag_traEC, 11_lag_satlSSTjfm, 21_lag_traEU, 1_lag_neurTSjfm, 22_lag_arcTSjfm, 11_lag_scpPSLjfm, 8_lag_yrvPRjja, 17_lag_stratZ50ndj01, 3_lag_yrvPRjja, 22_lag_stratZ50ndj03, 15_lag_ensoSSTjfm, 21_lag_stratZ50ndj02, 16_lag_yrvPRjja, 20_lag_stratZ50ndj02, 19_lag_eurPSLjfm, 16_lag_traMC, 6_lag_stratZ50ndj02, 15_lag_stratZ50ndj02, 12_lag_eurPSLjfm, 4_lag_stratZ50ndj03, 2_lag_yrvPRjja, 1_lag_2_median_yrvPRjja, 8_lag_eurPSLjfm, 10_lag_yrvPRjja, 22_lag_nchinaPRjja, 1_lag_cetTSjfm, 22_lag_traMC, 12_lag_alpi, 19_lag_traBS_2795_1"
LinearRegression,9,30,cetTSjfm,shigh,1723.5,2005.5,0.4,24,1,1,17.878730131528197,-0.14445834203930674,2925,"['14_lag_nppc2SSTjfm', '22_lag_arcTSjfm', '11_lag_scpPSLjfm', '17_lag_stratZ50ndj01', '23_lag_ismPRjja', '4_lag_stratZ50ndj01', '20_lag_traBS', '1_lag_neurTSjfm', '19_lag_traEU', '8_lag_yrvPRjja', '21_lag_stratZ50ndj02', '6_lag_stratZ50ndj02', '16_lag_traMC', '16_lag_yrvPRjja', '20_lag_stratZ50ndj02', '15_lag_ensoSSTjfm', '4_lag_stratZ50ndj03', '19_lag_eurPSLjfm', '15_lag_stratZ50ndj02', '12_lag_eurPSLjfm', '8_lag_eurPSLjfm', '22_lag_stratZ50ndj03', '22_lag_traMC', '1_lag_2_median_yrvPRjja', '2_lag_yrvPRjja', '10_lag_yrvPRjja', '22_lag_nchinaPRjja', '1_lag_cetTSjfm', '12_lag_alpi', '19_lag_traBS']","[0.06053068553825956, 0.12343654131085266, 0.08174597470014831, 0.046636869851948766, 0.19810903309391487, 0.08691144189141994, 0.08502422720651891, 0.10383064123085178, 0.10058447851692373, 0.09077921706523684, 0.06226842934617772, 0.03400263577650357, 0.08655627305741719, 0.10679001891109607, 0.07240770706929867, 0.045216241699861874, 0.18019684168715605, 0.2725659600771103, 0.15192797331045627, 0.2958701076439736, 0.06960783348950669, 0.11427267514132526, 0.156028196251203, 0.008887551882040282, 0.008887551882041836, 0.07756573552051713, 0.20122496769854956, 0.03774857613702, 0.11967345942228708, 0.111405915567786]","14_lag_nppc2SSTjfm, 22_lag_arcTSjfm, 11_lag_scpPSLjfm, 17_lag_stratZ50ndj01, 23_lag_ismPRjja, 4_lag_stratZ50ndj01, 20_lag_traBS, 1_lag_neurTSjfm, 19_lag_traEU, 8_lag_yrvPRjja, 21_lag_stratZ50ndj02, 6_lag_stratZ50ndj02, 16_lag_traMC, 16_lag_yrvPRjja, 20_lag_stratZ50ndj02, 15_lag_ensoSSTjfm, 4_lag_stratZ50ndj03, 19_lag_eurPSLjfm, 15_lag_stratZ50ndj02, 12_lag_eurPSLjfm, 8_lag_eurPSLjfm, 22_lag_stratZ50ndj03, 22_lag_traMC, 1_lag_2_median_yrvPRjja, 2_lag_yrvPRjja, 10_lag_yrvPRjja, 22_lag_nchinaPRjja, 1_lag_cetTSjfm, 12_lag_alpi, 19_lag_traBS_2925_1"
