model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,6,eapPSLjfm,shigh,1714.5,2005.5,0.6,15,1,2,15.01348725794494,0.12480623576292005,1755,"['11_lag_traEC', '10_lag_ensoSSTjfm', '11_lag_nhTSjfm', '2_lag_atlSICsep', '6_lag_gyreSSTjfm', '13_lag_nppc2SSTjfm']","[3.5516589375145244, 0.8925228021973926, 0.7108264257765171, 1.4103989972884783, 5.415701344321615, 0.607040540389983]","11_lag_traEC, 10_lag_ensoSSTjfm, 11_lag_nhTSjfm, 2_lag_atlSICsep, 6_lag_gyreSSTjfm, 13_lag_nppc2SSTjfm_1755_2"
LRforcedPSO,1,6,eapPSLjfm,shigh,1715.5,2005.5,0.6,16,1,1,15.367519767937951,0.12310298396229602,1885,"['4_lag_traTLS', '2_lag_glTSjfm', '2_lag_shSICmar', '1_lag_6_median_stratZ50ndj02', '4_lag_traEU', '1_lag_2_median_ginwSSTjfm']","[2.8468135560781533, 0.3838741714280314, 3.490031581290216, 1.3907756970857843, 1.6649265542720428, 3.484841914325738]","4_lag_traTLS, 2_lag_glTSjfm, 2_lag_shSICmar, 1_lag_6_median_stratZ50ndj02, 4_lag_traEU, 1_lag_2_median_ginwSSTjfm_1885_1"
LRforcedPSO,2,6,eapPSLjfm,shigh,1716.5,2005.5,0.6,17,1,1,16.434029724635906,-0.043299512295416995,2015,"['1_lag_12_median_scpPSLjfm', '5_lag_traIFC', '3_lag_seurTSjfm', '1_lag_15_median_tripol1', '11_lag_traFS', '15_lag_scpPSLjfm']","[1.345739963150427, 1.5321368820249823, 0.27492221552196483, 6.5086554008217306, 5.5727744700689685, 0.37653862707049157]","1_lag_12_median_scpPSLjfm, 5_lag_traIFC, 3_lag_seurTSjfm, 1_lag_15_median_tripol1, 11_lag_traFS, 15_lag_scpPSLjfm_2015_1"
LRforcedPSO,3,6,eapPSLjfm,shigh,1717.5,2005.5,0.6,18,1,1,19.154250186342853,-0.1089455001530221,2145,"['1_lag_14_median_alpi', '1_lag_13_median_traIT', '3_lag_stratZ50ndj04', '1_lag_14_median_nhTSjfm', '1_lag_3_median_alpi', '1_lag_4_median_ismPRjja']","[0.6045171861783079, 2.451844922257589, 3.4817383433364704, 1.2263834924654233, 5.651861987570075, 0.7858938339889647]","1_lag_14_median_alpi, 1_lag_13_median_traIT, 3_lag_stratZ50ndj04, 1_lag_14_median_nhTSjfm, 1_lag_3_median_alpi, 1_lag_4_median_ismPRjja_2145_1"
LRforcedPSO,4,6,eapPSLjfm,shigh,1718.5,2005.5,0.6,19,1,1,15.238915084766077,0.10015720510942187,2275,"['17_lag_amoSSTmjjaso', '9_lag_stratZ50ndj02', '1_lag_16_median_wnorPRjfm', '7_lag_glomaSSTjfm', '1_lag_3_median_mhfATL30', '1_lag_3_median_traEU']","[1.55258890481492, 0.6886019293719166, 1.959868104477934, 2.3303011175441624, 0.12886387965687618, 1.8264114820040351]","17_lag_amoSSTmjjaso, 9_lag_stratZ50ndj02, 1_lag_16_median_wnorPRjfm, 7_lag_glomaSSTjfm, 1_lag_3_median_mhfATL30, 1_lag_3_median_traEU_2275_1"
LRforcedPSO,5,6,eapPSLjfm,shigh,1719.5,2005.5,0.6,20,1,1,15.517885809294944,0.024773529581548076,2405,"['1_lag_12_median_samPSLann', '1_lag_15_median_tripol1', '12_lag_ormenSSTjfm', '10_lag_stratZ50ndj01', '1_lag_3_median_traMC', '6_lag_eurPSLjfm']","[3.142215682670522, 3.4166599431840075, 3.514160784607146, 2.6356207193132883, 2.6802388745019017, 2.8906625978721396]","1_lag_12_median_samPSLann, 1_lag_15_median_tripol1, 12_lag_ormenSSTjfm, 10_lag_stratZ50ndj01, 1_lag_3_median_traMC, 6_lag_eurPSLjfm_2405_1"
LRforcedPSO,6,6,eapPSLjfm,shigh,1720.5,2005.5,0.6,21,1,1,16.382527677254235,-0.00914924203159696,2535,"['12_lag_traFB', '1_lag_7_median_mhfATL30', '1_lag_6_median_traWP', '1_lag_traFB', '1_lag_19_median_yrvPRjja', '1_lag_19_median_stratZ50ndj04']","[2.5440338599767136, 1.9263184096262527, 2.28949916529464, 1.909053861794141, 2.536938879708491, 1.914554981688038]","12_lag_traFB, 1_lag_7_median_mhfATL30, 1_lag_6_median_traWP, 1_lag_traFB, 1_lag_19_median_yrvPRjja, 1_lag_19_median_stratZ50ndj04_2535_1"
LRforcedPSO,7,6,eapPSLjfm,shigh,1721.5,2005.5,0.6,22,2,2,15.129614673328403,0.08931316020417582,2535,"['2_lag_20_median_alpi', '2_lag_15_median_traCA', '6_lag_mhfATL30', '2_lag_6_median_amoSSTmjjaso', '4_lag_traEC', '6_lag_traBS']","[2.178784878782009, 5.900817880489788, 1.5884402622295681, 0.8824034269267713, 1.592663506084648, 1.018954334792891]","2_lag_20_median_alpi, 2_lag_15_median_traCA, 6_lag_mhfATL30, 2_lag_6_median_amoSSTmjjaso, 4_lag_traEC, 6_lag_traBS_2535_2"
LRforcedPSO,8,6,eapPSLjfm,shigh,1722.5,2005.5,0.6,23,3,3,19.76946059771732,0.07728698316280788,2535,"['3_lag_7_median_traFS', '21_lag_gyreSSTjfm', '3_lag_12_median_stratZ50ndj03', '3_lag_9_median_traFSC', '3_lag_15_median_yrvPRjja', '3_lag_20_median_traEU']","[5.095213554120182, 6.281842971780939, 5.004761964003675, 6.5596919568414895, 6.501411039096422, 5.347495348581554]","3_lag_7_median_traFS, 21_lag_gyreSSTjfm, 3_lag_12_median_stratZ50ndj03, 3_lag_9_median_traFSC, 3_lag_15_median_yrvPRjja, 3_lag_20_median_traEU_2535_3"
LRforcedPSO,9,6,eapPSLjfm,shigh,1723.5,2005.5,0.6,24,4,4,18.695355277041564,-0.04700788869051307,2535,"['11_lag_mhfIP30', '17_lag_mhfATL45', '9_lag_yrvPRjja', '4_lag_11_median_traMC', '4_lag_20_median_ginwSSTjfm', '4_lag_22_median_ismPRjja']","[3.5705028277697544, 1.097449200541627, 3.022037711082195, 7.992105148968296, 4.8849818659016435, 0.491339442322964]","11_lag_mhfIP30, 17_lag_mhfATL45, 9_lag_yrvPRjja, 4_lag_11_median_traMC, 4_lag_20_median_ginwSSTjfm, 4_lag_22_median_ismPRjja_2535_4"
LRforcedPSO,10,6,eapPSLjfm,shigh,1724.5,2005.5,0.6,25,5,5,17.31986600480302,-0.15999661659174896,2535,"['5_lag_21_median_nhSICsep', '7_lag_nhSICjfm', '5_lag_15_median_atlSICsep', '9_lag_traEU', '17_lag_tripol1', '18_lag_arcTSjfm']","[3.3050258464765374, 3.2463694221358175, 4.476939704001392, 3.8341090366377237, 1.4897269371433115, 2.454076686168296]","5_lag_21_median_nhSICsep, 7_lag_nhSICjfm, 5_lag_15_median_atlSICsep, 9_lag_traEU, 17_lag_tripol1, 18_lag_arcTSjfm_2535_5"
LRforcedPSO,11,6,eapPSLjfm,shigh,1725.5,2005.5,0.6,26,6,6,19.65817168707016,-0.1863233278955986,2535,"['6_lag_22_median_glomaSSTjfm', '22_lag_pdoSSTjfm', '8_lag_eapPSLjfm', '17_lag_cetTSjfm', '6_lag_24_median_traFB', '6_lag_16_median_arcTSjfm']","[0.5580002830060486, 6.096627746338861, 5.96177568568713, 5.785162921670173, 0.012386037341702405, 0.4883723971206102]","6_lag_22_median_glomaSSTjfm, 22_lag_pdoSSTjfm, 8_lag_eapPSLjfm, 17_lag_cetTSjfm, 6_lag_24_median_traFB, 6_lag_16_median_arcTSjfm_2535_6"
LRforcedPSO,12,6,eapPSLjfm,shigh,1726.5,2005.5,0.6,27,7,7,15.56298257053712,0.11630277301724048,2535,"['10_lag_traEU', '18_lag_amo1', '7_lag_9_median_mhfATL45', '12_lag_nppc2SSTjfm', '7_lag_12_median_amoSSTmjjaso', '19_lag_tripol3']","[2.6683601162879214, 1.0594716103843638, 1.1218404249078269, 2.122191511601139, 1.1328514472758666, 5.318661300295023]","10_lag_traEU, 18_lag_amo1, 7_lag_9_median_mhfATL45, 12_lag_nppc2SSTjfm, 7_lag_12_median_amoSSTmjjaso, 19_lag_tripol3_2535_7"
LRforcedPSO,13,6,eapPSLjfm,shigh,1727.5,2005.5,0.6,28,8,8,15.882545991458642,-0.027984722208903606,2535,"['8_lag_26_median_stratZ50ndj02', '17_lag_ensoSSTjfm', '9_lag_traEC', '8_lag_26_median_stratZ50ndj03', '8_lag_15_median_glomaSSTjfm', '8_lag_mhfIP30']","[1.559671445246897, 2.7755719254921356, 1.147551175237238, 9.641709426908998, 2.5051760899814646, 2.04590851941205]","8_lag_26_median_stratZ50ndj02, 17_lag_ensoSSTjfm, 9_lag_traEC, 8_lag_26_median_stratZ50ndj03, 8_lag_15_median_glomaSSTjfm, 8_lag_mhfIP30_2535_8"
LRforcedPSO,14,6,eapPSLjfm,shigh,1728.5,2005.5,0.6,29,9,9,15.388009209622632,0.22731874287267256,2535,"['9_lag_28_median_glTSjfm', '17_lag_amo3', '26_lag_ensoSSTjfm', '9_lag_20_median_atlSICsep', '9_lag_19_median_nhSICsep', '26_lag_nppc2SSTjfm']","[5.447487548122387, 2.7513450129416572, 1.0292701759011642, 3.946791480250374, 3.974469322120161, 2.377615406611209]","9_lag_28_median_glTSjfm, 17_lag_amo3, 26_lag_ensoSSTjfm, 9_lag_20_median_atlSICsep, 9_lag_19_median_nhSICsep, 26_lag_nppc2SSTjfm_2535_9"
LRforcedPSO,15,6,eapPSLjfm,shigh,1729.5,2005.5,0.6,30,10,10,14.84296728555706,0.1595291608451513,2535,"['10_lag_23_median_gyreSSTjfm', '10_lag_18_median_seurTSjfm', '10_lag_18_median_glTSjfm', '10_lag_12_median_eurPSLjfm', '10_lag_16_median_traBS', '10_lag_19_median_stratZ50ndj01']","[2.2567875750300237, 4.363151377617129, 0.8217300205679372, 0.9746913131507675, 4.717273510822293, 1.4329076354604648]","10_lag_23_median_gyreSSTjfm, 10_lag_18_median_seurTSjfm, 10_lag_18_median_glTSjfm, 10_lag_12_median_eurPSLjfm, 10_lag_16_median_traBS, 10_lag_19_median_stratZ50ndj01_2535_10"
LRforcedPSO,16,6,eapPSLjfm,shigh,1730.5,2005.5,0.6,31,11,11,16.281685311224937,-0.01826052961485665,2535,"['29_lag_ginwSSTjfm', '29_lag_nhSICsep', '11_lag_29_median_labSSTjfm', '11_lag_15_median_traWP', '11_lag_13_median_solFORC', '24_lag_mhfIP30']","[2.897103562119031, 2.878600601579817, 3.8248931024405337, 3.5082174781153426, 2.8880704961671566, 3.541027106034109]","29_lag_ginwSSTjfm, 29_lag_nhSICsep, 11_lag_29_median_labSSTjfm, 11_lag_15_median_traWP, 11_lag_13_median_solFORC, 24_lag_mhfIP30_2535_11"
LRforcedPSO,17,6,eapPSLjfm,shigh,1731.5,2005.5,0.6,32,12,12,14.5115642491533,0.14443736313985503,2535,"['31_lag_stratZ50ndj04', '12_lag_28_median_traFB', '12_lag_traIFC', '13_lag_mhfATL60', '12_lag_13_median_traDP', '12_lag_29_median_traDP']","[2.0958503568974494, 2.6485650629341766, 2.0906029999743194, 2.089874562845419, 2.0889310088797464, 2.784551001773523]","31_lag_stratZ50ndj04, 12_lag_28_median_traFB, 12_lag_traIFC, 13_lag_mhfATL60, 12_lag_13_median_traDP, 12_lag_29_median_traDP_2535_12"
LRforcedPSO,18,6,eapPSLjfm,shigh,1732.5,2005.5,0.6,33,13,13,15.011166766784573,0.04198200139254094,2535,"['23_lag_mhfATL45', '27_lag_traBO', '15_lag_solFORC', '29_lag_traBS', '13_lag_28_median_traWP', '13_lag_25_median_eurPSLjfm']","[1.8289166116403623, 1.8290717138768815, 1.8302694411590166, 2.438555155110034, 1.8367109077845793, 1.8415277747205083]","23_lag_mhfATL45, 27_lag_traBO, 15_lag_solFORC, 29_lag_traBS, 13_lag_28_median_traWP, 13_lag_25_median_eurPSLjfm_2535_13"
LRforcedPSO,19,6,eapPSLjfm,shigh,1733.5,2005.5,0.6,34,14,14,15.45704579146491,-0.12297593295542844,2535,"['14_lag_20_median_shTSjfm', '16_lag_nhSICsep', '16_lag_arcTSjfm', '16_lag_shSICmar', '22_lag_traDP', '14_lag_21_median_labSSTjfm']","[1.9854465541645419, 2.0232635663300202, 1.9854780344886567, 1.9854465542817799, 2.051784648591579, 2.6472620721991005]","14_lag_20_median_shTSjfm, 16_lag_nhSICsep, 16_lag_arcTSjfm, 16_lag_shSICmar, 22_lag_traDP, 14_lag_21_median_labSSTjfm_2535_14"
LRforcedPSO,20,6,eapPSLjfm,shigh,1734.5,2005.5,0.6,35,15,15,14.377796687849694,0.23770548937582048,2535,"['25_lag_labSSTjfm', '22_lag_eapPSLjfm', '31_lag_wnorPRjfm', '17_lag_traTLS', '21_lag_atlSICjfm', '15_lag_31_median_traEC']","[3.026206652532158, 3.210088258419793, 2.4311990706723585, 3.241515763237376, 3.2244060178233527, 2.9161026377906203]","25_lag_labSSTjfm, 22_lag_eapPSLjfm, 31_lag_wnorPRjfm, 17_lag_traTLS, 21_lag_atlSICjfm, 15_lag_31_median_traEC_2535_15"
LRforcedPSO,21,6,eapPSLjfm,shigh,1735.5,2005.5,0.6,36,16,16,15.95342351982872,0.033552254663896025,2535,"['23_lag_stratZ50ndj01', '16_lag_24_median_nhSICsep', '16_lag_traIFC', '16_lag_30_median_nhTSjfm', '30_lag_mhfIP30', '30_lag_ormenSSTjfm']","[2.238513232963752, 2.9624780728067246, 2.24031652496469, 2.969478039211639, 2.238276615340939, 2.984061664054392]","23_lag_stratZ50ndj01, 16_lag_24_median_nhSICsep, 16_lag_traIFC, 16_lag_30_median_nhTSjfm, 30_lag_mhfIP30, 30_lag_ormenSSTjfm_2535_16"
LRforcedPSO,22,6,eapPSLjfm,shigh,1736.5,2005.5,0.6,37,17,17,15.352899433697795,-0.002809629770024531,2535,"['25_lag_mhfATL45', '24_lag_samPSLann', '22_lag_traIFC', '27_lag_ismPRjja', '17_lag_32_median_traEU', '29_lag_seurTSjfm']","[0.127406506194653, 5.842897042147106, 0.09546986376959055, 1.764879135262433, 2.0159602068972546, 2.1329985677598717]","25_lag_mhfATL45, 24_lag_samPSLann, 22_lag_traIFC, 27_lag_ismPRjja, 17_lag_32_median_traEU, 29_lag_seurTSjfm_2535_17"
LRforcedPSO,23,6,eapPSLjfm,shigh,1737.5,2005.5,0.6,38,18,18,15.385765909226707,0.060709126075971516,2535,"['18_lag_37_median_traBS', '18_lag_32_median_ensoSSTjfm', '18_lag_26_median_samPSLann', '27_lag_traCA', '32_lag_traBO', '18_lag_26_median_atlSICsep']","[2.5164003073220425, 2.2777749357731225, 2.051614611237823, 2.050215643434556, 2.715408355030427, 2.6792812373617103]","18_lag_37_median_traBS, 18_lag_32_median_ensoSSTjfm, 18_lag_26_median_samPSLann, 27_lag_traCA, 32_lag_traBO, 18_lag_26_median_atlSICsep_2535_18"
LRforcedPSO,24,6,eapPSLjfm,shigh,1738.5,2005.5,0.6,39,19,19,15.524924619223453,0.05625556157958829,2535,"['19_lag_27_median_traFB', '19_lag_22_median_traEC', '19_lag_29_median_traFB', '19_lag_23_median_mhfIP30', '24_lag_traIT', '19_lag_shSICmar']","[7.169955451139163, 4.623368776601289, 9.63193042060707, 1.3959647773379817, 1.1130682313620532, 0.25577216887350573]","19_lag_27_median_traFB, 19_lag_22_median_traEC, 19_lag_29_median_traFB, 19_lag_23_median_mhfIP30, 24_lag_traIT, 19_lag_shSICmar_2535_19"
LRforcedPSO,25,6,eapPSLjfm,shigh,1739.5,2005.5,0.6,40,20,20,16.250020678807164,-0.04482767483066164,2535,"['31_lag_amoSSTmjjaso', '28_lag_traDS', '20_lag_27_median_alpi', '20_lag_25_median_wnorPRjfm', '20_lag_28_median_glTSjfm', '20_lag_21_median_traEU']","[3.349310062504431, 3.805924969068432, 0.7311104201369911, 2.2272889207721924, 0.16212214564857952, 1.9690991087704273]","31_lag_amoSSTmjjaso, 28_lag_traDS, 20_lag_27_median_alpi, 20_lag_25_median_wnorPRjfm, 20_lag_28_median_glTSjfm, 20_lag_21_median_traEU_2535_20"
LRforcedPSO,26,6,eapPSLjfm,shigh,1740.5,2005.5,0.6,41,21,21,15.89577818726763,-0.04818073202026544,2535,"['27_lag_traTLS', '21_lag_37_median_tripol1', '36_lag_yrvPRjja', '21_lag_25_median_nchinaPRjja', '21_lag_23_median_tripol3', '21_lag_36_median_glTSjfm']","[2.148556379226676, 2.8645045535589833, 2.1493318884120156, 2.1496547394104204, 2.6992877598424663, 2.7782293513579166]","27_lag_traTLS, 21_lag_37_median_tripol1, 36_lag_yrvPRjja, 21_lag_25_median_nchinaPRjja, 21_lag_23_median_tripol3, 21_lag_36_median_glTSjfm_2535_21"
