model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,30,eapPSLjfm,shigh,866.5,2005.5,0.8,15,1,1,20.465170247784727,0.04970032776387293,594,"['1_lag_5_median_amoSSTmjjaso', '3_lag_stratZ50ndj04', '9_lag_eurPSLjfm', '9_lag_atlSICjfm', '5_lag_nhSICjfm', '9_lag_shSICsep', '12_lag_shSICmar', '7_lag_stratZ50ndj04', '1_lag_11_median_atlSICsep', '7_lag_atlSICjfm', '3_lag_naoPSLjfm', '9_lag_nhSICjfm', '14_lag_atlSICjfm', '12_lag_naoPSLjfm', '2_lag_shSICsep', '1_lag_13_median_amoSSTmjjaso', '1_lag_10_median_scpPSLjfm', '10_lag_amo3', '1_lag_2_median_amo2', '1_lag_5_median_amo2', '1_lag_7_median_atlSICsep', '1_lag_13_median_shSICsep', '1_lag_8_median_solFORC', '1_lag_6_median_nhSICsep', '2_lag_scpPSLjfm', '7_lag_shSICsep', '11_lag_stratZ50ndj01', '1_lag_7_median_eapPSLjfm', '9_lag_stratZ50ndj03', '14_lag_nhSICjfm']","[0.15040940453794072, 4.145850446427545, 6.753698167874694, 6.1674154236258545, 7.549516916671896, 4.305379958297606, 3.711103230004193, 6.192430097439871, 1.599958657584331, 6.1714394673293285, 5.3641038622836, 5.36641806819536, 5.339529387039475, 1.7326895230812482, 9.164825194103592, 0.6253145889973766, 5.954441326716619, 3.24593665700307, 5.077578084742669, 3.3808594261284775, 1.6102951218755752, 9.623491401458127, 3.6104975168210007, 7.605311164161921, 2.847770561496983, 1.1336956414273835, 5.225989071028807, 0.6842082991918392, 1.6752290307489108, 1.0938741885538317]","1_lag_5_median_amoSSTmjjaso, 3_lag_stratZ50ndj04, 9_lag_eurPSLjfm, 9_lag_atlSICjfm, 5_lag_nhSICjfm, 9_lag_shSICsep, 12_lag_shSICmar, 7_lag_stratZ50ndj04, 1_lag_11_median_atlSICsep, 7_lag_atlSICjfm, 3_lag_naoPSLjfm, 9_lag_nhSICjfm, 14_lag_atlSICjfm, 12_lag_naoPSLjfm, 2_lag_shSICsep, 1_lag_13_median_amoSSTmjjaso, 1_lag_10_median_scpPSLjfm, 10_lag_amo3, 1_lag_2_median_amo2, 1_lag_5_median_amo2, 1_lag_7_median_atlSICsep, 1_lag_13_median_shSICsep, 1_lag_8_median_solFORC, 1_lag_6_median_nhSICsep, 2_lag_scpPSLjfm, 7_lag_shSICsep, 11_lag_stratZ50ndj01, 1_lag_7_median_eapPSLjfm, 9_lag_stratZ50ndj03, 14_lag_nhSICjfm_594_1"
LRforcedPSO,1,30,eapPSLjfm,shigh,867.5,2005.5,0.8,16,1,1,20.978350916641766,-0.0833185675527708,638,"['10_lag_stratZ50ndj04', '1_lag_14_median_shSICsep', '12_lag_atlSICjfm', '4_lag_eurPSLjfm', '3_lag_nhSICjfm', '1_lag_14_median_naoPSLjfm', '1_lag_12_median_stratZ50ndj04', '1_lag_8_median_amo2', '1_lag_15_median_stratZ50ndj02', '1_lag_9_median_nppc2SSTjfm', '14_lag_shSICmar', '3_lag_shSICmar', '14_lag_solFORC', '1_lag_15_median_atlSICjfm', '6_lag_nhSICsep', '1_lag_7_median_stratZ50ndj04', '1_lag_amo2', '1_lag_9_median_atlSICsep', '10_lag_amo2', '13_lag_amo3', '1_lag_2_median_shSICmar', '9_lag_amoSSTmjjaso', '15_lag_stratZ50ndj03', '1_lag_14_median_stratZ50ndj01', '3_lag_AMOCann', '1_lag_4_median_nppc2SSTjfm', '1_lag_11_median_stratZ50ndj03', '2_lag_scpPSLjfm', '1_lag_12_median_nhSICsep', '1_lag_10_median_atlSICsep']","[2.592423066241407, 4.460307090875797, 8.496716608422005, 2.282493318896357, 3.0106920729178688, 4.275332997299774, 1.284276502280374, 2.9912126992931185, 1.540554251316271, 1.1837540923683747, 5.9301016606689005, 1.191307305141894, 8.789314443250099, 1.3870849357002903, 2.699913361273298, 0.9982505406533111, 5.245716696540249, 4.275111690838194, 5.4525816884773555, 5.139449358432724, 1.4456350547886583, 8.792013097193554, 1.4536874783024558, 0.9776773801601948, 0.16502282181036776, 4.1387421813383956, 6.805114660317699, 4.638281075652024, 3.4206438104836305, 6.862177438783064]","10_lag_stratZ50ndj04, 1_lag_14_median_shSICsep, 12_lag_atlSICjfm, 4_lag_eurPSLjfm, 3_lag_nhSICjfm, 1_lag_14_median_naoPSLjfm, 1_lag_12_median_stratZ50ndj04, 1_lag_8_median_amo2, 1_lag_15_median_stratZ50ndj02, 1_lag_9_median_nppc2SSTjfm, 14_lag_shSICmar, 3_lag_shSICmar, 14_lag_solFORC, 1_lag_15_median_atlSICjfm, 6_lag_nhSICsep, 1_lag_7_median_stratZ50ndj04, 1_lag_amo2, 1_lag_9_median_atlSICsep, 10_lag_amo2, 13_lag_amo3, 1_lag_2_median_shSICmar, 9_lag_amoSSTmjjaso, 15_lag_stratZ50ndj03, 1_lag_14_median_stratZ50ndj01, 3_lag_AMOCann, 1_lag_4_median_nppc2SSTjfm, 1_lag_11_median_stratZ50ndj03, 2_lag_scpPSLjfm, 1_lag_12_median_nhSICsep, 1_lag_10_median_atlSICsep_638_1"
LRforcedPSO,2,30,eapPSLjfm,shigh,868.5,2005.5,0.8,17,1,1,26.25439524622232,-0.023163333421341893,682,"['1_lag_11_median_eapPSLjfm', '15_lag_amoSSTjfm', '10_lag_scpPSLjfm', '7_lag_stratZ50ndj03', '1_lag_2_median_nhSICjfm', '1_lag_15_median_amo2', '3_lag_stratZ50ndj03', '9_lag_stratZ50ndj01', '1_lag_16_median_atlSICsep', '1_lag_10_median_eapPSLjfm', '1_lag_3_median_stratZ50ndj02', '12_lag_amo3', '1_lag_2_median_stratZ50ndj04', '1_lag_8_median_eurPSLjfm', '12_lag_naoPSLjfm', '9_lag_eurPSLjfm', '16_lag_solFORC', '1_lag_11_median_shSICsep', '1_lag_7_median_atlSICjfm', '1_lag_10_median_solFORC', '1_lag_nhSICsep', '5_lag_nppc2SSTjfm', '16_lag_atlSICsep', '1_lag_12_median_shSICsep', '1_lag_7_median_stratZ50ndj03', '1_lag_13_median_shSICmar', '6_lag_stratZ50ndj04', '1_lag_8_median_stratZ50ndj02', '1_lag_13_median_amo2', '1_lag_5_median_shSICmar']","[0.41286585032592527, 0.4801431802224094, 2.78858665632235, 3.276629104837612, 5.817010955964652, 7.400173222682625, 1.3794430923074668, 8.118319484986323, 1.5768824499578535, 3.3593978680495074, 1.0944719473954088, 4.795369838141333, 5.127318843261101, 7.907041931078531, 1.0334701514368128, 6.61941438867543, 3.95816886629492, 2.725835396307147, 8.654930636816736, 8.015866009487723, 7.780114454566473, 0.9010021877908532, 5.986336597542059, 7.539433378002531, 9.545814027443761, 6.387935614484668, 5.968483235824258, 2.194230275654241, 2.605465955542714, 0.08460592887201024]","1_lag_11_median_eapPSLjfm, 15_lag_amoSSTjfm, 10_lag_scpPSLjfm, 7_lag_stratZ50ndj03, 1_lag_2_median_nhSICjfm, 1_lag_15_median_amo2, 3_lag_stratZ50ndj03, 9_lag_stratZ50ndj01, 1_lag_16_median_atlSICsep, 1_lag_10_median_eapPSLjfm, 1_lag_3_median_stratZ50ndj02, 12_lag_amo3, 1_lag_2_median_stratZ50ndj04, 1_lag_8_median_eurPSLjfm, 12_lag_naoPSLjfm, 9_lag_eurPSLjfm, 16_lag_solFORC, 1_lag_11_median_shSICsep, 1_lag_7_median_atlSICjfm, 1_lag_10_median_solFORC, 1_lag_nhSICsep, 5_lag_nppc2SSTjfm, 16_lag_atlSICsep, 1_lag_12_median_shSICsep, 1_lag_7_median_stratZ50ndj03, 1_lag_13_median_shSICmar, 6_lag_stratZ50ndj04, 1_lag_8_median_stratZ50ndj02, 1_lag_13_median_amo2, 1_lag_5_median_shSICmar_682_1"
LRforcedPSO,3,30,eapPSLjfm,shigh,869.5,2005.5,0.8,18,1,1,22.546265632175842,-0.10233436322631917,726,"['1_lag_16_median_shSICsep', '1_lag_7_median_amo1', '1_lag_naoPSLjfm', '3_lag_scpPSLjfm', '11_lag_atlSICsep', '1_lag_9_median_amoSSTjfm', '1_lag_11_median_naoPSLjfm', '1_lag_7_median_eapPSLjfm', '1_lag_11_median_stratZ50ndj01', '9_lag_stratZ50ndj01', '1_lag_15_median_atlSICsep', '11_lag_nhSICsep', '16_lag_solFORC', '1_lag_9_median_solFORC', '8_lag_stratZ50ndj02', '1_lag_9_median_shSICmar', '3_lag_stratZ50ndj03', '1_lag_8_median_AMOCann', '17_lag_amo2', '7_lag_shSICsep', '1_lag_AMOCann', '15_lag_atlSICsep', '1_lag_12_median_eurPSLjfm', '1_lag_6_median_stratZ50ndj03', '3_lag_stratZ50ndj02', '1_lag_8_median_atlSICsep', '1_lag_7_median_shSICsep', '1_lag_6_median_amo2', '1_lag_9_median_nppc2SSTjfm', '11_lag_eurPSLjfm']","[1.3108059935577643, 3.1440204079780933, 1.5875878566797912, 8.468871132857004, 3.1491701971178294, 7.6810677952956, 2.1052055629847963, 1.5690116740290385, 2.5694702392197355, 0.5364536271864289, 5.054486158713313, 0.7632207949563163, 3.2378371391886063, 0.6836662827755209, 1.404210747575977, 2.628543646497537, 1.3251978304591034, 8.85489685661825, 6.880035475662805, 5.687800494699888, 5.572110455203351, 1.750203705563358, 3.511828282086209, 5.562862947647103, 4.629587148074757, 8.645926776814264, 4.429814757224786, 2.9609489319225197, 1.0664309642097756, 1.9078938483445853]","1_lag_16_median_shSICsep, 1_lag_7_median_amo1, 1_lag_naoPSLjfm, 3_lag_scpPSLjfm, 11_lag_atlSICsep, 1_lag_9_median_amoSSTjfm, 1_lag_11_median_naoPSLjfm, 1_lag_7_median_eapPSLjfm, 1_lag_11_median_stratZ50ndj01, 9_lag_stratZ50ndj01, 1_lag_15_median_atlSICsep, 11_lag_nhSICsep, 16_lag_solFORC, 1_lag_9_median_solFORC, 8_lag_stratZ50ndj02, 1_lag_9_median_shSICmar, 3_lag_stratZ50ndj03, 1_lag_8_median_AMOCann, 17_lag_amo2, 7_lag_shSICsep, 1_lag_AMOCann, 15_lag_atlSICsep, 1_lag_12_median_eurPSLjfm, 1_lag_6_median_stratZ50ndj03, 3_lag_stratZ50ndj02, 1_lag_8_median_atlSICsep, 1_lag_7_median_shSICsep, 1_lag_6_median_amo2, 1_lag_9_median_nppc2SSTjfm, 11_lag_eurPSLjfm_726_1"
LRforcedPSO,4,30,eapPSLjfm,shigh,870.5,2005.5,0.8,19,1,1,23.89189797600587,0.09768177845158928,770,"['1_lag_8_median_stratZ50ndj01', '2_lag_stratZ50ndj03', '10_lag_naoPSLjfm', '15_lag_amo2', '5_lag_atlSICjfm', '1_lag_16_median_nhSICjfm', '8_lag_eapPSLjfm', '4_lag_stratZ50ndj01', '1_lag_12_median_nhSICsep', '1_lag_4_median_stratZ50ndj01', '3_lag_amoSSTmjjaso', '11_lag_shSICsep', '1_lag_6_median_atlSICsep', '5_lag_solFORC', '1_lag_scpPSLjfm', '12_lag_atlSICsep', '13_lag_nhSICsep', '1_lag_6_median_eurPSLjfm', '1_lag_5_median_amo2', '1_lag_15_median_shSICmar', '1_lag_10_median_solFORC', '1_lag_6_median_stratZ50ndj01', '1_lag_11_median_amo1', '14_lag_amo2', '1_lag_12_median_amoSSTmjjaso', '15_lag_naoPSLjfm', '1_lag_11_median_shSICmar', '1_lag_16_median_shSICsep', '1_lag_15_median_stratZ50ndj02', '1_lag_12_median_solFORC']","[1.7822864818117523, 4.38365877460739, 5.321179555840039, 6.612709547658927, 5.31454580811759, 1.2658386809084359, 3.7866539136570854, 3.6913634149990715, 3.031076733649476, 7.1925418101971275, 7.7507119241282485, 0.3099954718401321, 3.8761021846107706, 1.812374727381755, 5.611477573134225, 1.3704941201599592, 0.9717097572959617, 5.755887229479038, 1.1839884553994988, 2.744959024947957, 2.508473732023255, 4.8453382333314465, 6.971845055353491, 6.34449067921852, 7.716604662981014, 0.8386601663800235, 3.1695024399566147, 1.6500414797047647, 6.9802392459257945, 8.549524048872787]","1_lag_8_median_stratZ50ndj01, 2_lag_stratZ50ndj03, 10_lag_naoPSLjfm, 15_lag_amo2, 5_lag_atlSICjfm, 1_lag_16_median_nhSICjfm, 8_lag_eapPSLjfm, 4_lag_stratZ50ndj01, 1_lag_12_median_nhSICsep, 1_lag_4_median_stratZ50ndj01, 3_lag_amoSSTmjjaso, 11_lag_shSICsep, 1_lag_6_median_atlSICsep, 5_lag_solFORC, 1_lag_scpPSLjfm, 12_lag_atlSICsep, 13_lag_nhSICsep, 1_lag_6_median_eurPSLjfm, 1_lag_5_median_amo2, 1_lag_15_median_shSICmar, 1_lag_10_median_solFORC, 1_lag_6_median_stratZ50ndj01, 1_lag_11_median_amo1, 14_lag_amo2, 1_lag_12_median_amoSSTmjjaso, 15_lag_naoPSLjfm, 1_lag_11_median_shSICmar, 1_lag_16_median_shSICsep, 1_lag_15_median_stratZ50ndj02, 1_lag_12_median_solFORC_770_1"
LRforcedPSO,5,30,eapPSLjfm,shigh,871.5,2005.5,0.8,20,1,1,22.16386664652717,-0.19443236967809355,814,"['8_lag_solFORC', '1_lag_14_median_amo3', '1_lag_19_median_atlSICsep', '1_lag_11_median_stratZ50ndj01', '1_lag_10_median_amoSSTjfm', '1_lag_5_median_eurPSLjfm', '1_lag_4_median_AMOCann', '1_lag_8_median_atlSICsep', '7_lag_stratZ50ndj03', '1_lag_8_median_stratZ50ndj02', '9_lag_amo2', '1_lag_4_median_nhSICjfm', '9_lag_amoSSTjfm', '18_lag_scpPSLjfm', '17_lag_shSICsep', '10_lag_stratZ50ndj01', '1_lag_6_median_nhSICsep', '6_lag_solFORC', '1_lag_15_median_eurPSLjfm', '1_lag_scpPSLjfm', '11_lag_shSICsep', '11_lag_atlSICjfm', '1_lag_15_median_eapPSLjfm', '1_lag_amo3', '19_lag_amo2', '13_lag_nhSICjfm', '1_lag_5_median_stratZ50ndj01', '1_lag_12_median_amo1', '1_lag_16_median_stratZ50ndj03', '1_lag_3_median_naoPSLjfm']","[8.687180040588501, 5.467937408151416, 3.8616376706521294, 5.293696070237658, 8.4990317614903, 6.5121255728743, 4.8990681016135476, 4.295968431803026, 0.21665252041128902, 4.934670651880206, 5.774348377150558, 7.593881537715355, 3.1588339037801703, 2.1260061383666535, 6.550275758319401, 0.2684473806879595, 5.957011558674639, 9.09005239878772, 3.4985602749365157, 4.0847195434314365, 4.324089189929685, 5.8594947094002965, 9.228496322479604, 0.97579733218463, 4.172019077346487, 0.25535794218222385, 6.777750200578252, 1.1854909533171902, 6.665157318824335, 3.4583956292236318]","8_lag_solFORC, 1_lag_14_median_amo3, 1_lag_19_median_atlSICsep, 1_lag_11_median_stratZ50ndj01, 1_lag_10_median_amoSSTjfm, 1_lag_5_median_eurPSLjfm, 1_lag_4_median_AMOCann, 1_lag_8_median_atlSICsep, 7_lag_stratZ50ndj03, 1_lag_8_median_stratZ50ndj02, 9_lag_amo2, 1_lag_4_median_nhSICjfm, 9_lag_amoSSTjfm, 18_lag_scpPSLjfm, 17_lag_shSICsep, 10_lag_stratZ50ndj01, 1_lag_6_median_nhSICsep, 6_lag_solFORC, 1_lag_15_median_eurPSLjfm, 1_lag_scpPSLjfm, 11_lag_shSICsep, 11_lag_atlSICjfm, 1_lag_15_median_eapPSLjfm, 1_lag_amo3, 19_lag_amo2, 13_lag_nhSICjfm, 1_lag_5_median_stratZ50ndj01, 1_lag_12_median_amo1, 1_lag_16_median_stratZ50ndj03, 1_lag_3_median_naoPSLjfm_814_1"
LRforcedPSO,6,30,eapPSLjfm,shigh,872.5,2005.5,0.8,21,1,1,23.55925182482327,-0.08872446739569086,858,"['1_lag_18_median_AMOCann', '1_lag_4_median_shSICmar', '1_lag_11_median_naoPSLjfm', '14_lag_amo2', '20_lag_amo3', '10_lag_scpPSLjfm', '1_lag_17_median_amoSSTmjjaso', '5_lag_atlSICsep', '1_lag_2_median_eapPSLjfm', '1_lag_6_median_AMOCann', '1_lag_18_median_nppc2SSTjfm', '19_lag_stratZ50ndj01', '1_lag_14_median_amoSSTmjjaso', '1_lag_stratZ50ndj01', '1_lag_14_median_atlSICjfm', '1_lag_4_median_eapPSLjfm', '18_lag_naoPSLjfm', '1_lag_17_median_atlSICsep', '14_lag_nppc2SSTjfm', '1_lag_8_median_amo2', '9_lag_AMOCann', '1_lag_16_median_shSICsep', '1_lag_13_median_stratZ50ndj04', '14_lag_stratZ50ndj02', '13_lag_eapPSLjfm', '1_lag_19_median_amoSSTmjjaso', '2_lag_eapPSLjfm', '1_lag_9_median_solFORC', '1_lag_8_median_nhSICjfm', '7_lag_naoPSLjfm']","[1.8574905168267826, 4.181921596621336, 5.729054127568611, 1.148323781336213, 2.953641319676919, 4.971878143738864, 9.32744351001616, 0.2245107872108072, 0.9455453115095551, 1.3472260525719761, 0.7624408112478527, 3.5195072131276977, 7.500848147271551, 2.1414972742313925, 5.5670880544194965, 0.5512448311878337, 1.1367326415616468, 1.3979918979253974, 4.677315257431307, 5.316820857519911, 8.201013088034685, 5.781982114586288, 3.0669210160130493, 7.701447980909396, 6.247240515160623, 4.267679708658003, 7.748883886311862, 8.685150818710214, 2.820047634302636, 5.89290610245741]","1_lag_18_median_AMOCann, 1_lag_4_median_shSICmar, 1_lag_11_median_naoPSLjfm, 14_lag_amo2, 20_lag_amo3, 10_lag_scpPSLjfm, 1_lag_17_median_amoSSTmjjaso, 5_lag_atlSICsep, 1_lag_2_median_eapPSLjfm, 1_lag_6_median_AMOCann, 1_lag_18_median_nppc2SSTjfm, 19_lag_stratZ50ndj01, 1_lag_14_median_amoSSTmjjaso, 1_lag_stratZ50ndj01, 1_lag_14_median_atlSICjfm, 1_lag_4_median_eapPSLjfm, 18_lag_naoPSLjfm, 1_lag_17_median_atlSICsep, 14_lag_nppc2SSTjfm, 1_lag_8_median_amo2, 9_lag_AMOCann, 1_lag_16_median_shSICsep, 1_lag_13_median_stratZ50ndj04, 14_lag_stratZ50ndj02, 13_lag_eapPSLjfm, 1_lag_19_median_amoSSTmjjaso, 2_lag_eapPSLjfm, 1_lag_9_median_solFORC, 1_lag_8_median_nhSICjfm, 7_lag_naoPSLjfm_858_1"
LRforcedPSO,7,30,eapPSLjfm,shigh,873.5,2005.5,0.8,22,1,1,31.428786706276714,0.0482533947560318,902,"['1_lag_16_median_amoSSTjfm', '1_lag_16_median_atlSICjfm', '11_lag_solFORC', '11_lag_shSICmar', '20_lag_scpPSLjfm', '15_lag_solFORC', '1_lag_21_median_amo2', '1_lag_11_median_nhSICjfm', '7_lag_eurPSLjfm', '1_lag_nhSICjfm', '1_lag_2_median_amo2', '1_lag_21_median_eapPSLjfm', '5_lag_naoPSLjfm', '1_lag_7_median_AMOCann', '20_lag_amoSSTmjjaso', '1_lag_5_median_shSICmar', '1_lag_10_median_amoSSTjfm', '1_lag_21_median_nppc2SSTjfm', '18_lag_amoSSTjfm', '1_lag_18_median_shSICmar', '1_lag_19_median_nhSICjfm', '1_lag_16_median_stratZ50ndj01', '19_lag_stratZ50ndj02', '5_lag_nhSICsep', '1_lag_14_median_eurPSLjfm', '1_lag_4_median_atlSICjfm', '19_lag_amoSSTmjjaso', '16_lag_nppc2SSTjfm', '1_lag_5_median_amo1', '1_lag_17_median_stratZ50ndj04']","[5.473668114629444, 4.858843620303608, 9.972744461229127, 2.8275623639139402, 3.3594263156552913, 4.809832634462241, 5.344793271622366, 6.370587681069308, 5.817056570627416, 1.7622910674287482, 7.295534988434003, 9.210738936899077, 0.6625550016718069, 1.1684626210269862, 1.3081583327934787, 7.730704037125948, 3.059078668152793, 7.004722590381782, 3.399652520630765, 3.472055297585279, 3.746146778731079, 4.3349845645081775, 3.397085516966971, 1.2393718286289452, 8.934951098640017, 3.9428709362810466, 6.044254328694012, 4.3769712765149436, 6.60166668949647, 9.650085706852373]","1_lag_16_median_amoSSTjfm, 1_lag_16_median_atlSICjfm, 11_lag_solFORC, 11_lag_shSICmar, 20_lag_scpPSLjfm, 15_lag_solFORC, 1_lag_21_median_amo2, 1_lag_11_median_nhSICjfm, 7_lag_eurPSLjfm, 1_lag_nhSICjfm, 1_lag_2_median_amo2, 1_lag_21_median_eapPSLjfm, 5_lag_naoPSLjfm, 1_lag_7_median_AMOCann, 20_lag_amoSSTmjjaso, 1_lag_5_median_shSICmar, 1_lag_10_median_amoSSTjfm, 1_lag_21_median_nppc2SSTjfm, 18_lag_amoSSTjfm, 1_lag_18_median_shSICmar, 1_lag_19_median_nhSICjfm, 1_lag_16_median_stratZ50ndj01, 19_lag_stratZ50ndj02, 5_lag_nhSICsep, 1_lag_14_median_eurPSLjfm, 1_lag_4_median_atlSICjfm, 19_lag_amoSSTmjjaso, 16_lag_nppc2SSTjfm, 1_lag_5_median_amo1, 1_lag_17_median_stratZ50ndj04_902_1"
LRforcedPSO,8,30,eapPSLjfm,shigh,874.5,2005.5,0.8,23,1,1,22.84199164287653,0.041474167522333356,946,"['1_lag_amo2', '8_lag_amoSSTjfm', '5_lag_stratZ50ndj01', '8_lag_solFORC', '19_lag_eurPSLjfm', '19_lag_nhSICjfm', '1_lag_3_median_nhSICsep', '1_lag_7_median_eapPSLjfm', '1_lag_19_median_amo2', '1_lag_7_median_nhSICjfm', '1_lag_10_median_solFORC', '1_lag_8_median_amo3', '17_lag_nhSICsep', '1_lag_16_median_atlSICsep', '1_lag_8_median_scpPSLjfm', '10_lag_atlSICsep', '16_lag_atlSICsep', '12_lag_amoSSTmjjaso', '1_lag_10_median_scpPSLjfm', '1_lag_18_median_nhSICsep', '1_lag_3_median_eurPSLjfm', '1_lag_7_median_nhSICsep', '1_lag_21_median_amo3', '1_lag_17_median_amoSSTmjjaso', '1_lag_3_median_amo1', '1_lag_21_median_amo1', '20_lag_shSICmar', '1_lag_13_median_eurPSLjfm', '1_lag_12_median_amo1', '1_lag_13_median_nhSICjfm']","[0.6006169041373237, 5.079141534427414, 9.211576342652046, 3.4134951196528585, 0.27226103188782425, 6.586865480892882, 9.125519626958443, 4.005220796509839, 7.373994719798954, 1.3657182540316821, 1.8199738665140597, 3.460908903212909, 2.626180758532149, 0.8869250544155172, 7.075211387136452, 0.49791210341631853, 8.468905881939293, 7.502731977808206, 0.8643675714652854, 8.737156117163302, 0.3550351173308357, 6.248006113585518, 9.718320443634855, 0.9503633848447084, 1.8604141161946597, 0.5638978595441753, 1.8205315539786593, 0.8268225852074309, 1.570447871058425, 0.5648163894236742]","1_lag_amo2, 8_lag_amoSSTjfm, 5_lag_stratZ50ndj01, 8_lag_solFORC, 19_lag_eurPSLjfm, 19_lag_nhSICjfm, 1_lag_3_median_nhSICsep, 1_lag_7_median_eapPSLjfm, 1_lag_19_median_amo2, 1_lag_7_median_nhSICjfm, 1_lag_10_median_solFORC, 1_lag_8_median_amo3, 17_lag_nhSICsep, 1_lag_16_median_atlSICsep, 1_lag_8_median_scpPSLjfm, 10_lag_atlSICsep, 16_lag_atlSICsep, 12_lag_amoSSTmjjaso, 1_lag_10_median_scpPSLjfm, 1_lag_18_median_nhSICsep, 1_lag_3_median_eurPSLjfm, 1_lag_7_median_nhSICsep, 1_lag_21_median_amo3, 1_lag_17_median_amoSSTmjjaso, 1_lag_3_median_amo1, 1_lag_21_median_amo1, 20_lag_shSICmar, 1_lag_13_median_eurPSLjfm, 1_lag_12_median_amo1, 1_lag_13_median_nhSICjfm_946_1"
LRforcedPSO,9,30,eapPSLjfm,shigh,875.5,2005.5,0.8,24,1,1,24.958299425236085,-0.08898269425459122,990,"['1_lag_22_median_eurPSLjfm', '22_lag_stratZ50ndj02', '8_lag_eurPSLjfm', '1_lag_8_median_eapPSLjfm', '11_lag_eurPSLjfm', '1_lag_12_median_eapPSLjfm', '1_lag_23_median_shSICmar', '1_lag_11_median_eapPSLjfm', '1_lag_23_median_atlSICjfm', '18_lag_stratZ50ndj02', '13_lag_eurPSLjfm', '6_lag_AMOCann', '1_lag_16_median_amo2', '1_lag_23_median_amoSSTjfm', '1_lag_13_median_stratZ50ndj02', '12_lag_stratZ50ndj02', '17_lag_shSICmar', '1_lag_13_median_amo2', '16_lag_amo2', '4_lag_eapPSLjfm', '1_lag_13_median_eurPSLjfm', '1_lag_amo1', '1_lag_8_median_stratZ50ndj03', '1_lag_18_median_atlSICjfm', '1_lag_3_median_AMOCann', '20_lag_amo3', '1_lag_10_median_nhSICjfm', '9_lag_naoPSLjfm', '3_lag_stratZ50ndj01', '1_lag_17_median_shSICsep']","[7.913920143927138, 0.2575868717883196, 4.02714888401543, 1.5288671997736678, 7.557188659462051, 7.338703678921895, 6.6287469069795115, 9.601014249482054, 0.49789192452593944, 7.257548355171156, 0.3173657035469457, 7.419966178819129, 3.3681944511623243, 4.34977949877492, 0.5287900510341892, 4.133643645955248, 7.41327628376254, 7.543479673433229, 8.981044583885314, 0.7669208235470215, 0.3546962620127925, 0.6440501178465308, 4.484766900333952, 2.844221185386493, 2.0169662209088397, 5.16931634336423, 2.2582720476857787, 6.527411350863639, 2.960946541277492, 2.255497410833101]","1_lag_22_median_eurPSLjfm, 22_lag_stratZ50ndj02, 8_lag_eurPSLjfm, 1_lag_8_median_eapPSLjfm, 11_lag_eurPSLjfm, 1_lag_12_median_eapPSLjfm, 1_lag_23_median_shSICmar, 1_lag_11_median_eapPSLjfm, 1_lag_23_median_atlSICjfm, 18_lag_stratZ50ndj02, 13_lag_eurPSLjfm, 6_lag_AMOCann, 1_lag_16_median_amo2, 1_lag_23_median_amoSSTjfm, 1_lag_13_median_stratZ50ndj02, 12_lag_stratZ50ndj02, 17_lag_shSICmar, 1_lag_13_median_amo2, 16_lag_amo2, 4_lag_eapPSLjfm, 1_lag_13_median_eurPSLjfm, 1_lag_amo1, 1_lag_8_median_stratZ50ndj03, 1_lag_18_median_atlSICjfm, 1_lag_3_median_AMOCann, 20_lag_amo3, 1_lag_10_median_nhSICjfm, 9_lag_naoPSLjfm, 3_lag_stratZ50ndj01, 1_lag_17_median_shSICsep_990_1"
