model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,6,eapPSLjfm,shigh,1514.5,2005.5,0.4,15,1,1,15.43116867753798,-0.07599613849368596,1755,"['1_lag_traEC', '13_lag_alpi', '5_lag_yrvPRjja', '1_lag_eapPSLjfm', '14_lag_stratZ50ndj01', '10_lag_traBS']","[0.04417183411945908, 0.09827774024229673, 0.0971670144486522, 0.028502823259485645, 0.12725443876843173, 0.20438692237215547]","1_lag_traEC, 13_lag_alpi, 5_lag_yrvPRjja, 1_lag_eapPSLjfm, 14_lag_stratZ50ndj01, 10_lag_traBS_1755_1"
LinearRegression,1,6,eapPSLjfm,shigh,1515.5,2005.5,0.4,16,1,1,15.319183030522668,-0.02385621332734971,1885,"['11_lag_eurPSLjfm', '13_lag_alpi', '5_lag_yrvPRjja', '1_lag_eapPSLjfm', '14_lag_stratZ50ndj01', '10_lag_traBS']","[0.1406637645813719, 0.10169510801838776, 0.06574891968415336, 0.0723686652375814, 0.1240113920253362, 0.2086082631042953]","11_lag_eurPSLjfm, 13_lag_alpi, 5_lag_yrvPRjja, 1_lag_eapPSLjfm, 14_lag_stratZ50ndj01, 10_lag_traBS_1885_1"
LinearRegression,2,6,eapPSLjfm,shigh,1516.5,2005.5,0.4,17,1,1,15.111321534156541,-0.0173887078304825,2015,"['5_lag_yrvPRjja', '1_lag_eapPSLjfm', '1_lag_alpi', '11_lag_eurPSLjfm', '14_lag_stratZ50ndj01', '10_lag_traBS']","[0.06154734215680724, 0.03349074981642229, 0.07870207482821587, 0.16201543389928347, 0.12906774390666875, 0.18018348527774952]","5_lag_yrvPRjja, 1_lag_eapPSLjfm, 1_lag_alpi, 11_lag_eurPSLjfm, 14_lag_stratZ50ndj01, 10_lag_traBS_2015_1"
LinearRegression,3,6,eapPSLjfm,shigh,1517.5,2005.5,0.4,18,1,1,15.514268302846856,-0.057378150574193446,2145,"['17_lag_cetTSjfm', '11_lag_eurPSLjfm', '15_lag_nchinaPRjja', '14_lag_stratZ50ndj01', '1_lag_eapPSLjfm', '10_lag_traBS']","[0.10900848441833276, 0.15404079417755995, 0.20320279267621336, 0.13582399306658302, 0.07600886614799374, 0.1696981546627982]","17_lag_cetTSjfm, 11_lag_eurPSLjfm, 15_lag_nchinaPRjja, 14_lag_stratZ50ndj01, 1_lag_eapPSLjfm, 10_lag_traBS_2145_1"
LinearRegression,4,6,eapPSLjfm,shigh,1518.5,2005.5,0.4,19,1,1,15.483547599751077,0.03138386647645095,2275,"['18_lag_cetTSjfm', '14_lag_stratZ50ndj01', '15_lag_nchinaPRjja', '1_lag_eapPSLjfm', '10_lag_traBS', '18_lag_scpPSLjfm']","[0.22719306169391565, 0.16717676618003607, 0.19284012270833117, 0.040786450639529376, 0.10771148705362961, 0.16482229329920692]","18_lag_cetTSjfm, 14_lag_stratZ50ndj01, 15_lag_nchinaPRjja, 1_lag_eapPSLjfm, 10_lag_traBS, 18_lag_scpPSLjfm_2275_1"
LinearRegression,5,6,eapPSLjfm,shigh,1519.5,2005.5,0.4,20,1,1,15.54662835418349,-0.049383159184191915,2405,"['14_lag_stratZ50ndj01', '15_lag_nchinaPRjja', '5_lag_yrvPRjja', '10_lag_traBS', '18_lag_scpPSLjfm', '1_lag_eapPSLjfm']","[0.14049534271253272, 0.18900697940612288, 0.08202923852232474, 0.12728285822082974, 0.163366116328318, 0.06410144748563498]","14_lag_stratZ50ndj01, 15_lag_nchinaPRjja, 5_lag_yrvPRjja, 10_lag_traBS, 18_lag_scpPSLjfm, 1_lag_eapPSLjfm_2405_1"
LinearRegression,6,6,eapPSLjfm,shigh,1520.5,2005.5,0.4,21,1,1,15.592168623715244,0.03933368464884062,2535,"['14_lag_stratZ50ndj01', '5_lag_yrvPRjja', '15_lag_nchinaPRjja', '18_lag_scpPSLjfm', '18_lag_cetTSjfm', '1_lag_eapPSLjfm']","[0.1776051350556169, 0.08733036077681908, 0.1802218561141925, 0.17213300281839175, 0.24854755969188744, 0.05267316712776674]","14_lag_stratZ50ndj01, 5_lag_yrvPRjja, 15_lag_nchinaPRjja, 18_lag_scpPSLjfm, 18_lag_cetTSjfm, 1_lag_eapPSLjfm_2535_1"
LinearRegression,7,6,eapPSLjfm,shigh,1521.5,2005.5,0.4,22,2,2,15.40871071956494,0.03609711002758839,2535,"['15_lag_nchinaPRjja', '2_lag_yrvPRjja', '18_lag_scpPSLjfm', '5_lag_yrvPRjja', '14_lag_stratZ50ndj01', '18_lag_cetTSjfm']","[0.1675590307105036, 0.11426010549152028, 0.15997861086018622, 0.10340247818535193, 0.17228682574067922, 0.24394749500190616]","15_lag_nchinaPRjja, 2_lag_yrvPRjja, 18_lag_scpPSLjfm, 5_lag_yrvPRjja, 14_lag_stratZ50ndj01, 18_lag_cetTSjfm_2535_2"
LinearRegression,8,6,eapPSLjfm,shigh,1522.5,2005.5,0.4,23,3,5,15.43675008462302,0.06080433549455143,2535,"['7_lag_nchinaPRjja', '5_lag_yrvPRjja', '18_lag_scpPSLjfm', '15_lag_nchinaPRjja', '14_lag_stratZ50ndj01', '18_lag_cetTSjfm']","[0.12598993774792655, 0.08896180903798542, 0.15544627609900502, 0.16508353558742916, 0.1742790249675624, 0.2773302914376931]","7_lag_nchinaPRjja, 5_lag_yrvPRjja, 18_lag_scpPSLjfm, 15_lag_nchinaPRjja, 14_lag_stratZ50ndj01, 18_lag_cetTSjfm_2535_5"
LinearRegression,9,6,eapPSLjfm,shigh,1523.5,2005.5,0.4,24,4,7,14.80617805217591,0.14195274561518365,2535,"['7_lag_nchinaPRjja', '18_lag_neurTSjfm', '15_lag_nchinaPRjja', '23_lag_traEU', '15_lag_stratZ50ndj01', '18_lag_cetTSjfm']","[0.12821871737281793, 0.076636129130929, 0.17277709882146114, 0.1670311338271587, 0.06680838692158429, 0.16186820194689625]","7_lag_nchinaPRjja, 18_lag_neurTSjfm, 15_lag_nchinaPRjja, 23_lag_traEU, 15_lag_stratZ50ndj01, 18_lag_cetTSjfm_2535_7"
LinearRegression,10,6,eapPSLjfm,shigh,1524.5,2005.5,0.4,25,5,5,15.399814523384075,0.06003349588605393,2535,"['5_lag_samPSLann', '18_lag_scpPSLjfm', '15_lag_nchinaPRjja', '17_lag_alpi', '5_lag_yrvPRjja', '18_lag_cetTSjfm']","[0.096854600112512, 0.20072836283442835, 0.17851821197334128, 0.061468102804030256, 0.09879836992846944, 0.24379911470874388]","5_lag_samPSLann, 18_lag_scpPSLjfm, 15_lag_nchinaPRjja, 17_lag_alpi, 5_lag_yrvPRjja, 18_lag_cetTSjfm_2535_5"
