model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,10,eapPSLjfm,shigh,866.5,2005.5,0.4,15,1,1,12.21591719641161,-0.06497861287197328,594,"['1_lag_10_median_atlSICsep', '1_lag_4_median_amoSSTjfm', '1_lag_5_median_stratZ50ndj03', '1_lag_12_median_nhSICsep', '1_lag_13_median_stratZ50ndj02', '1_lag_7_median_shSICmar', '1_lag_8_median_stratZ50ndj04', '1_lag_14_median_stratZ50ndj03', '1_lag_11_median_nhSICsep', '1_lag_12_median_stratZ50ndj04']","[0.07979431205343775, 0.09505845597388485, 0.023707826408755857, 0.10260469431025905, 0.003546077697069267, 0.03924854527853822, 0.035680402491338165, 0.12684523922152804, 0.06263492011565447, 0.05128543529233368]","1_lag_10_median_atlSICsep, 1_lag_4_median_amoSSTjfm, 1_lag_5_median_stratZ50ndj03, 1_lag_12_median_nhSICsep, 1_lag_13_median_stratZ50ndj02, 1_lag_7_median_shSICmar, 1_lag_8_median_stratZ50ndj04, 1_lag_14_median_stratZ50ndj03, 1_lag_11_median_nhSICsep, 1_lag_12_median_stratZ50ndj04_594_1"
LinearRegression,1,10,eapPSLjfm,shigh,867.5,2005.5,0.4,16,1,1,12.287007938991946,-0.006732035757610044,638,"['1_lag_8_median_shSICsep', '1_lag_8_median_stratZ50ndj04', '1_lag_9_median_eurPSLjfm', '1_lag_15_median_AMOCann', '1_lag_8_median_stratZ50ndj02', '1_lag_15_median_nppc2SSTjfm', '1_lag_11_median_naoPSLjfm', '1_lag_12_median_stratZ50ndj04', '1_lag_5_median_nppc2SSTjfm', '1_lag_13_median_stratZ50ndj02']","[0.01696971043383177, 0.0609869434998435, 0.19269495998138847, 0.08793845268785748, 0.10268864452753673, 0.13967492509041027, 0.04160032294126004, 0.0006432786397947976, 0.28639366393000804, 0.08175854622478358]","1_lag_8_median_shSICsep, 1_lag_8_median_stratZ50ndj04, 1_lag_9_median_eurPSLjfm, 1_lag_15_median_AMOCann, 1_lag_8_median_stratZ50ndj02, 1_lag_15_median_nppc2SSTjfm, 1_lag_11_median_naoPSLjfm, 1_lag_12_median_stratZ50ndj04, 1_lag_5_median_nppc2SSTjfm, 1_lag_13_median_stratZ50ndj02_638_1"
LinearRegression,2,10,eapPSLjfm,shigh,868.5,2005.5,0.4,17,1,1,12.251365545181091,-0.0685787795462457,682,"['1_lag_10_median_scpPSLjfm', '1_lag_8_median_stratZ50ndj04', '1_lag_8_median_shSICsep', '1_lag_5_median_stratZ50ndj02', '1_lag_8_median_shSICmar', '1_lag_10_median_eurPSLjfm', '1_lag_12_median_stratZ50ndj04', '1_lag_9_median_eurPSLjfm', '1_lag_4_median_amoSSTjfm', '1_lag_13_median_stratZ50ndj02']","[0.09323955729866797, 0.05036799044331442, 0.011156770915695897, 0.035109889060321066, 0.010056328366667127, 0.3432307229688721, 0.1104027118297184, 0.4807477260911362, 0.10364058549959172, 0.05001891764314195]","1_lag_10_median_scpPSLjfm, 1_lag_8_median_stratZ50ndj04, 1_lag_8_median_shSICsep, 1_lag_5_median_stratZ50ndj02, 1_lag_8_median_shSICmar, 1_lag_10_median_eurPSLjfm, 1_lag_12_median_stratZ50ndj04, 1_lag_9_median_eurPSLjfm, 1_lag_4_median_amoSSTjfm, 1_lag_13_median_stratZ50ndj02_682_1"
LinearRegression,3,10,eapPSLjfm,shigh,869.5,2005.5,0.4,18,1,1,12.102279267125917,0.06329834127854674,726,"['1_lag_5_median_eapPSLjfm', '1_lag_10_median_scpPSLjfm', '1_lag_16_median_amo2', '1_lag_8_median_eurPSLjfm', '1_lag_17_median_amo3', '1_lag_5_median_stratZ50ndj04', '13_lag_nhSICjfm', '1_lag_4_median_amoSSTjfm', '1_lag_9_median_stratZ50ndj02', '1_lag_8_median_shSICmar']","[0.15317686615021164, 0.04750825203785815, 0.37134265638269887, 0.11824227758709158, 0.04999749734562986, 0.041697763946276965, 0.18260340994897395, 0.09403771040083903, 0.061710756062893245, 0.11527899623470461]","1_lag_5_median_eapPSLjfm, 1_lag_10_median_scpPSLjfm, 1_lag_16_median_amo2, 1_lag_8_median_eurPSLjfm, 1_lag_17_median_amo3, 1_lag_5_median_stratZ50ndj04, 13_lag_nhSICjfm, 1_lag_4_median_amoSSTjfm, 1_lag_9_median_stratZ50ndj02, 1_lag_8_median_shSICmar_726_1"
LinearRegression,4,10,eapPSLjfm,shigh,870.5,2005.5,0.4,19,1,1,12.420386465385262,-0.007153006228450667,770,"['1_lag_12_median_stratZ50ndj04', '15_lag_amoSSTjfm', '1_lag_10_median_stratZ50ndj04', '1_lag_9_median_stratZ50ndj03', '1_lag_6_median_stratZ50ndj02', '10_lag_AMOCann', '1_lag_5_median_nppc2SSTjfm', '1_lag_9_median_atlSICjfm', '1_lag_8_median_stratZ50ndj02', '13_lag_nhSICjfm']","[0.6733998388658579, 0.058319105324532994, 0.8088952909548799, 0.04593067304612311, 0.04169827936207581, 0.037468129476813605, 0.22748883152472482, 0.02930500278293037, 0.05785811218232886, 0.1171672651750895]","1_lag_12_median_stratZ50ndj04, 15_lag_amoSSTjfm, 1_lag_10_median_stratZ50ndj04, 1_lag_9_median_stratZ50ndj03, 1_lag_6_median_stratZ50ndj02, 10_lag_AMOCann, 1_lag_5_median_nppc2SSTjfm, 1_lag_9_median_atlSICjfm, 1_lag_8_median_stratZ50ndj02, 13_lag_nhSICjfm_770_1"
LinearRegression,5,10,eapPSLjfm,shigh,871.5,2005.5,0.4,20,1,1,12.210171811096764,0.0042985221146516935,814,"['1_lag_5_median_stratZ50ndj03', '10_lag_nhSICjfm', '10_lag_AMOCann', '1_lag_9_median_amo1', '1_lag_7_median_nppc2SSTjfm', '1_lag_6_median_stratZ50ndj02', '17_lag_amo2', '13_lag_nhSICjfm', '1_lag_8_median_stratZ50ndj02', '5_lag_shSICsep']","[0.023711762999638782, 0.022417099528467828, 0.00596095558924784, 0.011379253679838056, 0.13811399866582028, 0.06716557603959414, 0.12862111191683845, 0.14465949782939333, 0.0839896252423942, 0.018005877913840847]","1_lag_5_median_stratZ50ndj03, 10_lag_nhSICjfm, 10_lag_AMOCann, 1_lag_9_median_amo1, 1_lag_7_median_nppc2SSTjfm, 1_lag_6_median_stratZ50ndj02, 17_lag_amo2, 13_lag_nhSICjfm, 1_lag_8_median_stratZ50ndj02, 5_lag_shSICsep_814_1"
LinearRegression,6,10,eapPSLjfm,shigh,872.5,2005.5,0.4,21,1,1,12.186623821604805,0.01875213780655879,858,"['1_lag_9_median_stratZ50ndj02', '7_lag_eapPSLjfm', '13_lag_shSICsep', '1_lag_13_median_stratZ50ndj02', '1_lag_7_median_eapPSLjfm', '10_lag_nhSICjfm', '13_lag_nhSICjfm', '17_lag_amo2', '5_lag_shSICsep', '1_lag_8_median_stratZ50ndj02']","[0.07007363708584573, 0.001649761600624737, 0.04069025697735549, 0.0430566632382482, 0.2669055263360339, 0.021544291660281628, 0.1663289383829961, 0.11148065562470617, 0.056536430857664716, 0.05202591469384885]","1_lag_9_median_stratZ50ndj02, 7_lag_eapPSLjfm, 13_lag_shSICsep, 1_lag_13_median_stratZ50ndj02, 1_lag_7_median_eapPSLjfm, 10_lag_nhSICjfm, 13_lag_nhSICjfm, 17_lag_amo2, 5_lag_shSICsep, 1_lag_8_median_stratZ50ndj02_858_1"
LinearRegression,7,10,eapPSLjfm,shigh,873.5,2005.5,0.4,22,2,2,12.163789654412396,-0.0036153161278697213,858,"['5_lag_AMOCann', '2_lag_19_median_AMOCann', '2_lag_11_median_stratZ50ndj02', '2_lag_8_median_stratZ50ndj03', '10_lag_AMOCann', '2_lag_11_median_nhSICjfm', '2_lag_6_median_naoPSLjfm', '11_lag_nhSICjfm', '2_lag_9_median_stratZ50ndj02', '6_lag_shSICsep']","[0.01687941355949331, 0.09481941948783776, 0.12976946705550152, 0.07587180101694391, 0.05143408385769754, 0.10373226521740861, 0.05601161476863461, 0.17116807723803226, 0.10087135251370638, 0.03427694014598303]","5_lag_AMOCann, 2_lag_19_median_AMOCann, 2_lag_11_median_stratZ50ndj02, 2_lag_8_median_stratZ50ndj03, 10_lag_AMOCann, 2_lag_11_median_nhSICjfm, 2_lag_6_median_naoPSLjfm, 11_lag_nhSICjfm, 2_lag_9_median_stratZ50ndj02, 6_lag_shSICsep_858_2"
LinearRegression,8,10,eapPSLjfm,shigh,874.5,2005.5,0.4,23,3,3,12.230542532678342,0.01574431198947701,858,"['3_lag_8_median_shSICsep', '3_lag_8_median_nhSICjfm', '3_lag_22_median_stratZ50ndj01', '3_lag_10_median_nhSICsep', '13_lag_nhSICjfm', '6_lag_shSICsep', '3_lag_22_median_scpPSLjfm', '22_lag_amo2', '20_lag_nhSICjfm', '3_lag_14_median_stratZ50ndj03']","[0.34225750505264513, 0.0477639798018587, 0.009389232572355948, 0.1749737565461628, 0.14667948574138245, 0.3674942362498854, 0.014691172468652368, 0.04835431176698323, 0.029722357860691932, 0.179001974467076]","3_lag_8_median_shSICsep, 3_lag_8_median_nhSICjfm, 3_lag_22_median_stratZ50ndj01, 3_lag_10_median_nhSICsep, 13_lag_nhSICjfm, 6_lag_shSICsep, 3_lag_22_median_scpPSLjfm, 22_lag_amo2, 20_lag_nhSICjfm, 3_lag_14_median_stratZ50ndj03_858_3"
LinearRegression,9,10,eapPSLjfm,shigh,875.5,2005.5,0.4,24,4,4,12.352192030718948,-0.045782239590507146,858,"['8_lag_shSICsep', '4_lag_10_median_nhSICsep', '19_lag_AMOCann', '4_lag_10_median_eurPSLjfm', '4_lag_13_median_amo2', '4_lag_12_median_stratZ50ndj03', '14_lag_nhSICjfm', '4_lag_11_median_stratZ50ndj04', '4_lag_13_median_scpPSLjfm', '20_lag_nhSICjfm']","[0.022286764897871573, 0.19706405673854444, 0.0975775124594151, 0.040930550888670036, 0.023974717467224314, 0.03486588070060767, 0.009695659111176147, 0.12114139004234506, 0.057273345010713086, 0.08471321117166987]","8_lag_shSICsep, 4_lag_10_median_nhSICsep, 19_lag_AMOCann, 4_lag_10_median_eurPSLjfm, 4_lag_13_median_amo2, 4_lag_12_median_stratZ50ndj03, 14_lag_nhSICjfm, 4_lag_11_median_stratZ50ndj04, 4_lag_13_median_scpPSLjfm, 20_lag_nhSICjfm_858_4"
