model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
RandomForestRegressor,0,6,eapPSLjfm,shigh,866.5,2005.5,0.4,15,1,1,12.482950666669117,0.015808462764260477,1755,"['9_lag_cetTSjfm', '1_lag_5_median_nppc2SSTjfm', '7_lag_cetTSjfm', '4_lag_mhfIP30', '4_lag_nppc3SSTjfm', '8_lag_traEC']","[0.1472464855532016, 0.1566797918043233, 0.16466124828440584, 0.18129329946374628, 0.16699484838479758, 0.18312432650952531]","9_lag_cetTSjfm, 1_lag_5_median_nppc2SSTjfm, 7_lag_cetTSjfm, 4_lag_mhfIP30, 4_lag_nppc3SSTjfm, 8_lag_traEC_1755_1"
RandomForestRegressor,1,6,eapPSLjfm,shigh,867.5,2005.5,0.4,16,1,1,12.797620856492985,-0.040717364487883656,1885,"['7_lag_cetTSjfm', '1_lag_5_median_nppc2SSTjfm', '15_lag_mhfIP30', '4_lag_mhfIP30', '4_lag_nppc3SSTjfm', '8_lag_traEC']","[0.14620297873034827, 0.16164642379914557, 0.18847933686225107, 0.1641678429037672, 0.16049199398090197, 0.17901142372358594]","7_lag_cetTSjfm, 1_lag_5_median_nppc2SSTjfm, 15_lag_mhfIP30, 4_lag_mhfIP30, 4_lag_nppc3SSTjfm, 8_lag_traEC_1885_1"
RandomForestRegressor,2,6,eapPSLjfm,shigh,868.5,2005.5,0.4,17,1,1,12.760573832934169,-0.016622814801427296,2015,"['15_lag_mhfIP30', '7_lag_cetTSjfm', '1_lag_5_median_nppc2SSTjfm', '4_lag_mhfIP30', '4_lag_nppc3SSTjfm', '8_lag_traEC']","[0.18704988321916569, 0.15025303426498612, 0.1579154992143643, 0.16917732665559906, 0.15877704636046927, 0.1768272102854157]","15_lag_mhfIP30, 7_lag_cetTSjfm, 1_lag_5_median_nppc2SSTjfm, 4_lag_mhfIP30, 4_lag_nppc3SSTjfm, 8_lag_traEC_2015_1"
RandomForestRegressor,3,6,eapPSLjfm,shigh,869.5,2005.5,0.4,18,1,1,12.860259621252624,-0.02601489654079231,2145,"['15_lag_mhfIP30', '7_lag_cetTSjfm', '1_lag_5_median_nppc2SSTjfm', '4_lag_mhfIP30', '4_lag_nppc3SSTjfm', '8_lag_traEC']","[0.181961300563834, 0.14724297991898833, 0.15849803433666232, 0.1652856046254099, 0.16309846934176347, 0.18391361121334193]","15_lag_mhfIP30, 7_lag_cetTSjfm, 1_lag_5_median_nppc2SSTjfm, 4_lag_mhfIP30, 4_lag_nppc3SSTjfm, 8_lag_traEC_2145_1"
RandomForestRegressor,4,6,eapPSLjfm,shigh,870.5,2005.5,0.4,19,1,1,12.725886450459104,-0.024639004886694238,2275,"['15_lag_mhfIP30', '7_lag_cetTSjfm', '1_lag_5_median_nppc2SSTjfm', '4_lag_mhfIP30', '4_lag_nppc3SSTjfm', '8_lag_traEC']","[0.1869896731464714, 0.15458589578398038, 0.16336092433979243, 0.1636182203777559, 0.15981791386212124, 0.1716273724898787]","15_lag_mhfIP30, 7_lag_cetTSjfm, 1_lag_5_median_nppc2SSTjfm, 4_lag_mhfIP30, 4_lag_nppc3SSTjfm, 8_lag_traEC_2275_1"
RandomForestRegressor,5,6,eapPSLjfm,shigh,871.5,2005.5,0.4,20,1,4,12.763224171494246,0.01748022887067358,2405,"['17_lag_traMC', '9_lag_cetTSjfm', '4_lag_mhfIP30', '15_lag_mhfIP30', '4_lag_nppc3SSTjfm', '8_lag_traEC']","[0.16885503910967442, 0.12417435745857644, 0.16484960376124155, 0.19882689364970102, 0.16733434292048016, 0.1759597631003265]","17_lag_traMC, 9_lag_cetTSjfm, 4_lag_mhfIP30, 15_lag_mhfIP30, 4_lag_nppc3SSTjfm, 8_lag_traEC_2405_4"
RandomForestRegressor,6,6,eapPSLjfm,shigh,872.5,2005.5,0.4,21,1,1,12.705093950548058,-0.010633921493431748,2535,"['17_lag_traMC', '1_lag_5_median_nppc2SSTjfm', '4_lag_mhfIP30', '15_lag_mhfIP30', '4_lag_nppc3SSTjfm', '8_lag_traEC']","[0.16126266369947487, 0.15987817518077416, 0.16297964745980265, 0.17618305839841447, 0.15603247639450515, 0.18366397886702873]","17_lag_traMC, 1_lag_5_median_nppc2SSTjfm, 4_lag_mhfIP30, 15_lag_mhfIP30, 4_lag_nppc3SSTjfm, 8_lag_traEC_2535_1"
RandomForestRegressor,7,6,eapPSLjfm,shigh,873.5,2005.5,0.4,22,2,4,12.715513016407149,0.05870717957243809,2535,"['17_lag_traMC', '9_lag_cetTSjfm', '21_lag_stratZ50ndj03', '15_lag_mhfIP30', '4_lag_nppc3SSTjfm', '8_lag_traEC']","[0.17398074269684297, 0.13817777903233827, 0.1567917382024275, 0.1828728835752883, 0.15952335383084063, 0.18865350266226244]","17_lag_traMC, 9_lag_cetTSjfm, 21_lag_stratZ50ndj03, 15_lag_mhfIP30, 4_lag_nppc3SSTjfm, 8_lag_traEC_2535_4"
RandomForestRegressor,8,6,eapPSLjfm,shigh,874.5,2005.5,0.4,23,3,3,12.623490440265847,0.028219396983470927,2535,"['9_lag_cetTSjfm', '17_lag_traMC', '21_lag_stratZ50ndj03', '3_lag_13_median_pdoSSTjfm', '15_lag_mhfIP30', '8_lag_traEC']","[0.14490714657227696, 0.17109949054434706, 0.14107273959795016, 0.16775280138715784, 0.18816040911864562, 0.18700741277962235]","9_lag_cetTSjfm, 17_lag_traMC, 21_lag_stratZ50ndj03, 3_lag_13_median_pdoSSTjfm, 15_lag_mhfIP30, 8_lag_traEC_2535_3"
RandomForestRegressor,9,6,eapPSLjfm,shigh,875.5,2005.5,0.4,24,4,4,12.601917197654974,0.030997752272186412,2535,"['21_lag_stratZ50ndj03', '4_lag_13_median_pdoSSTjfm', '4_lag_mhfIP30', '15_lag_mhfIP30', '4_lag_nppc3SSTjfm', '8_lag_traEC']","[0.1412671354827188, 0.16480414753000075, 0.16461068547092725, 0.18370449213604326, 0.16909774224485602, 0.17651579713545404]","21_lag_stratZ50ndj03, 4_lag_13_median_pdoSSTjfm, 4_lag_mhfIP30, 15_lag_mhfIP30, 4_lag_nppc3SSTjfm, 8_lag_traEC_2535_4"
RandomForestRegressor,10,6,eapPSLjfm,shigh,876.5,2005.5,0.4,25,5,5,12.858268894807528,0.0028250844906630396,2535,"['9_lag_cetTSjfm', '17_lag_traMC', '5_lag_9_median_traFS', '5_lag_7_median_cetTSjfm', '15_lag_mhfIP30', '8_lag_traEC']","[0.14390643097935327, 0.16345104950598857, 0.14411223496046507, 0.17231059857774922, 0.1874404287888886, 0.1887792571875553]","9_lag_cetTSjfm, 17_lag_traMC, 5_lag_9_median_traFS, 5_lag_7_median_cetTSjfm, 15_lag_mhfIP30, 8_lag_traEC_2535_5"
RandomForestRegressor,11,6,eapPSLjfm,shigh,877.5,2005.5,0.4,26,6,8,12.634342590641587,0.03225546006802069,2535,"['9_lag_cetTSjfm', '17_lag_traMC', '21_lag_stratZ50ndj03', '15_lag_mhfIP30', '25_lag_traTLS', '8_lag_traEC']","[0.14544658218740594, 0.16575910502707228, 0.15467445388752896, 0.16712004995883187, 0.18102027936269938, 0.1859795295764616]","9_lag_cetTSjfm, 17_lag_traMC, 21_lag_stratZ50ndj03, 15_lag_mhfIP30, 25_lag_traTLS, 8_lag_traEC_2535_8"
RandomForestRegressor,12,6,eapPSLjfm,shigh,878.5,2005.5,0.4,27,7,7,12.975866458662972,-0.023130236418282806,2535,"['15_lag_mhfIP30', '7_lag_8_median_traEC', '8_lag_traEC', '7_lag_9_median_traEC', '25_lag_traTLS', '7_lag_25_median_stratZ50ndj03']","[0.20303495390216367, 0.09922177763164472, 0.10275483600932947, 0.195814729834787, 0.21968507573498236, 0.17948862688709288]","15_lag_mhfIP30, 7_lag_8_median_traEC, 8_lag_traEC, 7_lag_9_median_traEC, 25_lag_traTLS, 7_lag_25_median_stratZ50ndj03_2535_7"
RandomForestRegressor,13,6,eapPSLjfm,shigh,879.5,2005.5,0.4,28,8,8,12.831745527209648,-0.012522477394517518,2535,"['27_lag_traFSC', '13_lag_nhTSjfm', '21_lag_stratZ50ndj03', '17_lag_traMC', '25_lag_traTLS', '8_lag_traEC']","[0.1448808800736165, 0.16748590852131884, 0.14605178619549036, 0.16170163393319217, 0.19301035925431648, 0.18686943202206566]","27_lag_traFSC, 13_lag_nhTSjfm, 21_lag_stratZ50ndj03, 17_lag_traMC, 25_lag_traTLS, 8_lag_traEC_2535_8"
RandomForestRegressor,14,6,eapPSLjfm,shigh,880.5,2005.5,0.4,29,9,9,12.755103718545561,0.0446800149458315,2535,"['21_lag_stratZ50ndj03', '9_lag_12_median_stratZ50ndj03', '9_lag_19_median_stratZ50ndj01', '28_lag_traBS', '9_lag_cetTSjfm', '25_lag_traTLS']","[0.14712558323655142, 0.16842783459533842, 0.13886547427897158, 0.16794627086949365, 0.18352226682293385, 0.19411257019671108]","21_lag_stratZ50ndj03, 9_lag_12_median_stratZ50ndj03, 9_lag_19_median_stratZ50ndj01, 28_lag_traBS, 9_lag_cetTSjfm, 25_lag_traTLS_2535_9"
RandomForestRegressor,15,6,eapPSLjfm,shigh,881.5,2005.5,0.4,30,10,10,12.776880024304774,0.029220698051865245,2535,"['21_lag_stratZ50ndj03', '28_lag_traBS', '25_lag_samPSLann', '10_lag_samPSLann', '10_lag_20_median_stratZ50ndj01', '25_lag_traTLS']","[0.14648467537299084, 0.16317058519062083, 0.1617922012003295, 0.1764511471603555, 0.15858777142560992, 0.19351361965009356]","21_lag_stratZ50ndj03, 28_lag_traBS, 25_lag_samPSLann, 10_lag_samPSLann, 10_lag_20_median_stratZ50ndj01, 25_lag_traTLS_2535_10"
RandomForestRegressor,16,6,eapPSLjfm,shigh,882.5,2005.5,0.4,31,11,11,12.932288621084219,0.09169215575336373,2535,"['21_lag_stratZ50ndj03', '27_lag_traDP', '28_lag_traBS', '11_lag_14_median_tripol3', '30_lag_nhSICsep', '25_lag_traTLS']","[0.16024685734815802, 0.1415771537485247, 0.18708810342277635, 0.17336653766544277, 0.16292324809451575, 0.17479809972058258]","21_lag_stratZ50ndj03, 27_lag_traDP, 28_lag_traBS, 11_lag_14_median_tripol3, 30_lag_nhSICsep, 25_lag_traTLS_2535_11"
RandomForestRegressor,17,6,eapPSLjfm,shigh,883.5,2005.5,0.4,32,12,17,13.169148295474692,0.0491057083571291,2535,"['17_lag_traMC', '24_lag_amo1', '21_lag_stratZ50ndj03', '30_lag_nhSICsep', '27_lag_traDP', '25_lag_traTLS']","[0.17878181419830297, 0.13623466486413216, 0.15691240075912544, 0.16519150687305498, 0.17021069333843833, 0.1926689199669461]","17_lag_traMC, 24_lag_amo1, 21_lag_stratZ50ndj03, 30_lag_nhSICsep, 27_lag_traDP, 25_lag_traTLS_2535_17"
RandomForestRegressor,18,6,eapPSLjfm,shigh,884.5,2005.5,0.4,33,13,13,13.16451992573517,0.05533733890924561,2535,"['30_lag_nhSICsep', '13_lag_27_median_alpi', '21_lag_stratZ50ndj03', '32_lag_stratZ50ndj03', '27_lag_traDP', '25_lag_traTLS']","[0.16545451728985355, 0.14374888063651328, 0.16172600589621422, 0.1846102990967319, 0.16122768594503917, 0.18323261113564787]","30_lag_nhSICsep, 13_lag_27_median_alpi, 21_lag_stratZ50ndj03, 32_lag_stratZ50ndj03, 27_lag_traDP, 25_lag_traTLS_2535_13"
RandomForestRegressor,19,6,eapPSLjfm,shigh,885.5,2005.5,0.4,34,14,14,13.370145406537972,0.0007121837346546831,2535,"['30_lag_nhSICsep', '27_lag_traDP', '21_lag_stratZ50ndj03', '24_lag_amo1', '25_lag_traTLS', '14_lag_19_median_stratZ50ndj02']","[0.16244695970118184, 0.16009173879823602, 0.1663235432610298, 0.14722896657633508, 0.20395564287078616, 0.15995314879243114]","30_lag_nhSICsep, 27_lag_traDP, 21_lag_stratZ50ndj03, 24_lag_amo1, 25_lag_traTLS, 14_lag_19_median_stratZ50ndj02_2535_14"
RandomForestRegressor,20,6,eapPSLjfm,shigh,886.5,2005.5,0.4,35,15,21,13.734655955047385,0.010224900210551792,2535,"['24_lag_amo1', '30_lag_nhSICsep', '21_lag_stratZ50ndj03', '32_lag_stratZ50ndj03', '27_lag_traDP', '25_lag_traTLS']","[0.13794279798415643, 0.15980978080560357, 0.15006724218413295, 0.18884002778539666, 0.183492734206901, 0.1798474170338095]","24_lag_amo1, 30_lag_nhSICsep, 21_lag_stratZ50ndj03, 32_lag_stratZ50ndj03, 27_lag_traDP, 25_lag_traTLS_2535_21"
RandomForestRegressor,21,6,eapPSLjfm,shigh,887.5,2005.5,0.4,36,16,21,13.597641297023719,0.031126684768493253,2535,"['24_lag_amo1', '27_lag_traDP', '21_lag_stratZ50ndj03', '30_lag_nhSICsep', '32_lag_stratZ50ndj03', '25_lag_traTLS']","[0.13525525728603408, 0.17368529252122175, 0.15600992974682903, 0.1539843782928056, 0.19113408085228373, 0.1899310613008258]","24_lag_amo1, 27_lag_traDP, 21_lag_stratZ50ndj03, 30_lag_nhSICsep, 32_lag_stratZ50ndj03, 25_lag_traTLS_2535_21"
RandomForestRegressor,22,6,eapPSLjfm,shigh,888.5,2005.5,0.4,37,17,21,12.782882524197488,0.022468723119337522,2535,"['21_lag_stratZ50ndj03', '27_lag_traFSC', '24_lag_amo1', '30_lag_nhSICsep', '25_lag_traTLS', '32_lag_stratZ50ndj03']","[0.155531787110821, 0.1577656549488909, 0.15099672328707436, 0.16457393369579634, 0.1820023674397916, 0.18912953351762585]","21_lag_stratZ50ndj03, 27_lag_traFSC, 24_lag_amo1, 30_lag_nhSICsep, 25_lag_traTLS, 32_lag_stratZ50ndj03_2535_21"
RandomForestRegressor,23,6,eapPSLjfm,shigh,889.5,2005.5,0.4,38,18,21,12.696075290062783,0.011822262969047483,2535,"['24_lag_amo1', '21_lag_stratZ50ndj03', '30_lag_nhSICsep', '25_lag_traTLS', '32_lag_stratZ50ndj03', '37_lag_traFB']","[0.14806844506821237, 0.1567166293827361, 0.14910451340285208, 0.1836252060724392, 0.17822893536827009, 0.1842562707054902]","24_lag_amo1, 21_lag_stratZ50ndj03, 30_lag_nhSICsep, 25_lag_traTLS, 32_lag_stratZ50ndj03, 37_lag_traFB_2535_21"
RandomForestRegressor,24,6,eapPSLjfm,shigh,890.5,2005.5,0.4,39,19,21,12.6578449396075,0.017230004201007686,2535,"['27_lag_traFSC', '21_lag_stratZ50ndj03', '30_lag_nhSICsep', '25_lag_traTLS', '32_lag_stratZ50ndj03', '37_lag_traFB']","[0.1540380304149415, 0.14686459101368135, 0.16629911736071032, 0.17562209245957355, 0.1809381979746518, 0.17623797077644146]","27_lag_traFSC, 21_lag_stratZ50ndj03, 30_lag_nhSICsep, 25_lag_traTLS, 32_lag_stratZ50ndj03, 37_lag_traFB_2535_21"
RandomForestRegressor,25,6,eapPSLjfm,shigh,891.5,2005.5,0.4,40,20,24,12.809184296220097,-0.004152178848090587,2535,"['27_lag_traFSC', '24_lag_amo1', '30_lag_nhSICsep', '25_lag_traTLS', '37_lag_traFB', '32_lag_stratZ50ndj03']","[0.16191745135966384, 0.15910714296745848, 0.1641128393033165, 0.16375533842419004, 0.17673533485373388, 0.1743718930916373]","27_lag_traFSC, 24_lag_amo1, 30_lag_nhSICsep, 25_lag_traTLS, 37_lag_traFB, 32_lag_stratZ50ndj03_2535_24"
RandomForestRegressor,26,6,eapPSLjfm,shigh,892.5,2005.5,0.4,41,21,21,12.530041003513881,0.032770931606635786,2535,"['27_lag_traFSC', '21_lag_stratZ50ndj03', '30_lag_nhSICsep', '25_lag_traTLS', '32_lag_stratZ50ndj03', '37_lag_traFB']","[0.14618877958154308, 0.15966281688965067, 0.15511904355961384, 0.18018631092707924, 0.17615759144163018, 0.18268545760048305]","27_lag_traFSC, 21_lag_stratZ50ndj03, 30_lag_nhSICsep, 25_lag_traTLS, 32_lag_stratZ50ndj03, 37_lag_traFB_2535_21"
RandomForestRegressor,27,6,eapPSLjfm,shigh,893.5,2005.5,0.4,42,22,24,12.804797179379523,-0.003636775569843685,2535,"['24_lag_amo1', '27_lag_traFSC', '30_lag_nhSICsep', '25_lag_traTLS', '37_lag_traFB', '32_lag_stratZ50ndj03']","[0.161878783759968, 0.14514630941165252, 0.1625409008409751, 0.16909200726391194, 0.1802009479022196, 0.18114105082127294]","24_lag_amo1, 27_lag_traFSC, 30_lag_nhSICsep, 25_lag_traTLS, 37_lag_traFB, 32_lag_stratZ50ndj03_2535_24"
RandomForestRegressor,28,6,eapPSLjfm,shigh,894.5,2005.5,0.4,43,23,23,12.858476347036282,-0.014137623352745503,2535,"['37_lag_ginwSSTjfm', '23_lag_26_median_traEC', '30_lag_nhSICsep', '25_lag_traTLS', '32_lag_stratZ50ndj03', '37_lag_traFB']","[0.16930426353189099, 0.14942344997138637, 0.15544834665386775, 0.18707310822616804, 0.16975427107649907, 0.16899656054018775]","37_lag_ginwSSTjfm, 23_lag_26_median_traEC, 30_lag_nhSICsep, 25_lag_traTLS, 32_lag_stratZ50ndj03, 37_lag_traFB_2535_23"
RandomForestRegressor,29,6,eapPSLjfm,shigh,895.5,2005.5,0.4,44,24,24,12.933163300519361,-8.340024375169371e-05,2535,"['27_lag_traFSC', '29_lag_traCA', '24_lag_amo1', '30_lag_nhSICsep', '32_lag_stratZ50ndj03', '37_lag_traFB']","[0.16409248339629423, 0.16754081978078525, 0.1587410474511948, 0.15762566987411633, 0.18057970085975655, 0.1714202786378528]","27_lag_traFSC, 29_lag_traCA, 24_lag_amo1, 30_lag_nhSICsep, 32_lag_stratZ50ndj03, 37_lag_traFB_2535_24"
