model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,6,ensoSSTjfm,shigh,1714.5,2005.5,0.4,15,1,1,17.7958838457909,0.15594190035194366,1755,"['1_lag_9_median_mhfATL60', '1_lag_12_median_cetTSjfm', '1_lag_13_median_mhfATL60', '1_lag_6_median_traFSC', '6_lag_amo3', '1_lag_2_median_stratZ50ndj03']","[0.39997898663437503, 2.859399725655125, 1.8221529681240067, 1.4427070489360787, 6.225331704127491, 1.1318056430614547]","1_lag_9_median_mhfATL60, 1_lag_12_median_cetTSjfm, 1_lag_13_median_mhfATL60, 1_lag_6_median_traFSC, 6_lag_amo3, 1_lag_2_median_stratZ50ndj03_1755_1"
LRforcedPSO,1,6,ensoSSTjfm,shigh,1715.5,2005.5,0.4,16,1,1,20.919304034065046,-0.07923461329130098,1885,"['1_lag_4_median_atlSICsep', '8_lag_glTSjfm', '3_lag_nchinaPRjja', '1_lag_6_median_pdoSSTjfm', '1_lag_4_median_shTSjfm', '1_lag_4_median_wnorPRjfm']","[2.338315515079181, 6.7868891125584945, 3.1914487592270007, 5.055189838728964, 3.945649121059107, 0.2566720668120759]","1_lag_4_median_atlSICsep, 8_lag_glTSjfm, 3_lag_nchinaPRjja, 1_lag_6_median_pdoSSTjfm, 1_lag_4_median_shTSjfm, 1_lag_4_median_wnorPRjfm_1885_1"
LRforcedPSO,2,6,ensoSSTjfm,shigh,1716.5,2005.5,0.4,17,1,1,17.737585926662646,0.10183199639472798,2015,"['1_lag_8_median_shSICmar', '1_lag_13_median_amoSSTmjjaso', '1_lag_4_median_stratZ50ndj02', '1_lag_7_median_scpPSLjfm', '1_lag_7_median_traBO', '3_lag_solFORC']","[1.4456927743174546, 1.4242726406554567, 1.8790974174280346, 1.5969846680491337, 1.4310960438010198, 1.422335628859188]","1_lag_8_median_shSICmar, 1_lag_13_median_amoSSTmjjaso, 1_lag_4_median_stratZ50ndj02, 1_lag_7_median_scpPSLjfm, 1_lag_7_median_traBO, 3_lag_solFORC_2015_1"
LRforcedPSO,3,6,ensoSSTjfm,shigh,1717.5,2005.5,0.4,18,1,1,15.988872083740945,0.3055735397770234,2145,"['1_lag_9_median_ismPRjja', '11_lag_traFSC', '10_lag_mhfATL30', '13_lag_mhfATL60', '1_lag_4_median_nppc3SSTjfm', '4_lag_amo1']","[2.382295470061946, 1.0699423742638778, 5.207515933269415, 1.1047595515093391, 4.8992945492719855, 1.3532473257849365]","1_lag_9_median_ismPRjja, 11_lag_traFSC, 10_lag_mhfATL30, 13_lag_mhfATL60, 1_lag_4_median_nppc3SSTjfm, 4_lag_amo1_2145_1"
LRforcedPSO,4,6,ensoSSTjfm,shigh,1718.5,2005.5,0.4,19,1,1,19.327388423121214,0.13908566052356894,2275,"['8_lag_shSICsep', '13_lag_traIFC', '1_lag_5_median_mhfATL60', '2_lag_labSSTjfm', '1_lag_7_median_traFSC', '12_lag_stratZ50ndj02']","[1.025983445341632, 7.158312243848459, 4.863630764924325, 8.159950259255893, 9.183051990166643, 0.7101737693616066]","8_lag_shSICsep, 13_lag_traIFC, 1_lag_5_median_mhfATL60, 2_lag_labSSTjfm, 1_lag_7_median_traFSC, 12_lag_stratZ50ndj02_2275_1"
LRforcedPSO,5,6,ensoSSTjfm,shigh,1719.5,2005.5,0.4,20,1,1,21.70742057639751,-0.12855924516996733,2405,"['2_lag_stratZ50ndj03', '1_lag_5_median_shTSjfm', '18_lag_nchinaPRjja', '1_lag_8_median_tripol1', '11_lag_amoSSTmjjaso', '1_lag_5_median_pdoSSTjfm']","[3.6486215826426225, 2.9956308349579785, 2.823699839850229, 8.682076892880609, 1.7683700410836938, 6.758471388007507]","2_lag_stratZ50ndj03, 1_lag_5_median_shTSjfm, 18_lag_nchinaPRjja, 1_lag_8_median_tripol1, 11_lag_amoSSTmjjaso, 1_lag_5_median_pdoSSTjfm_2405_1"
LRforcedPSO,6,6,ensoSSTjfm,shigh,1720.5,2005.5,0.4,21,1,1,19.37599521566717,-0.10393388173651345,2535,"['13_lag_nhTSjfm', '12_lag_nppc3SSTjfm', '16_lag_shSICmar', '1_lag_2_median_traWP', '18_lag_scpPSLjfm', '1_lag_14_median_traDS']","[1.8870841682107367, 1.9610777723980228, 1.5938611219921213, 1.5854891790461152, 1.9260404146216838, 2.1121947709358917]","13_lag_nhTSjfm, 12_lag_nppc3SSTjfm, 16_lag_shSICmar, 1_lag_2_median_traWP, 18_lag_scpPSLjfm, 1_lag_14_median_traDS_2535_1"
LRforcedPSO,7,6,ensoSSTjfm,shigh,1721.5,2005.5,0.4,22,2,2,21.417071792039376,-0.0055953083273581556,2535,"['21_lag_amo3', '5_lag_tripol2', '19_lag_shSICmar', '2_lag_4_median_naoPSLjfm', '18_lag_eurPSLjfm', '11_lag_ginwSSTjfm']","[1.3852285885497828, 1.8266647173441637, 4.986205896550921, 3.415214524800801, 1.8997450185815588, 8.459251353557853]","21_lag_amo3, 5_lag_tripol2, 19_lag_shSICmar, 2_lag_4_median_naoPSLjfm, 18_lag_eurPSLjfm, 11_lag_ginwSSTjfm_2535_2"
LRforcedPSO,8,6,ensoSSTjfm,shigh,1722.5,2005.5,0.4,23,3,3,24.24199487295967,-0.2491603702428947,2535,"['3_lag_19_median_stratZ50ndj04', '3_lag_4_median_stratZ50ndj04', '3_lag_10_median_arcTSjfm', '3_lag_16_median_nhSICsep', '13_lag_ginwSSTjfm', '20_lag_mhfATL60']","[2.1132192927319116, 1.5864032500884806, 2.115101570691984, 2.0635663380830014, 1.635370634149477, 1.6911946267356204]","3_lag_19_median_stratZ50ndj04, 3_lag_4_median_stratZ50ndj04, 3_lag_10_median_arcTSjfm, 3_lag_16_median_nhSICsep, 13_lag_ginwSSTjfm, 20_lag_mhfATL60_2535_3"
LRforcedPSO,9,6,ensoSSTjfm,shigh,1723.5,2005.5,0.4,24,4,4,22.505605966547066,-0.27184363342000234,2535,"['19_lag_traWP', '4_lag_tripol2', '12_lag_traFS', '5_lag_traFS', '6_lag_shTSjfm', '20_lag_tripol3']","[2.4920388527447344, 1.8740139330677166, 2.047137259477665, 2.151520448522937, 2.4362134480846516, 1.8691072392043082]","19_lag_traWP, 4_lag_tripol2, 12_lag_traFS, 5_lag_traFS, 6_lag_shTSjfm, 20_lag_tripol3_2535_4"
LRforcedPSO,10,6,ensoSSTjfm,shigh,1724.5,2005.5,0.4,25,5,5,18.627166759855328,0.12282840018193818,2535,"['5_lag_14_median_stratZ50ndj04', '5_lag_15_median_amo1', '20_lag_ormenSSTjfm', '5_lag_24_median_nhTSjfm', '5_lag_11_median_seurTSjfm', '5_lag_20_median_naoPSLjfm']","[3.714221562805376, 4.499320454307539, 4.917532395497982, 4.872580596982037, 3.898883097970829, 4.381986563520589]","5_lag_14_median_stratZ50ndj04, 5_lag_15_median_amo1, 20_lag_ormenSSTjfm, 5_lag_24_median_nhTSjfm, 5_lag_11_median_seurTSjfm, 5_lag_20_median_naoPSLjfm_2535_5"
LRforcedPSO,11,6,ensoSSTjfm,shigh,1725.5,2005.5,0.4,26,6,6,20.675434768534668,-0.17863774524665985,2535,"['12_lag_stratZ50ndj03', '25_lag_traFB', '6_lag_9_median_stratZ50ndj03', '6_lag_12_median_amo1', '6_lag_25_median_nppc2SSTjfm', '10_lag_mhfATL60']","[1.4417855129459958, 1.4417472846116652, 1.8566818900684483, 1.446907862962813, 1.9220314915375385, 1.449794616538371]","12_lag_stratZ50ndj03, 25_lag_traFB, 6_lag_9_median_stratZ50ndj03, 6_lag_12_median_amo1, 6_lag_25_median_nppc2SSTjfm, 10_lag_mhfATL60_2535_6"
LRforcedPSO,12,6,ensoSSTjfm,shigh,1726.5,2005.5,0.4,27,7,7,19.8550123818358,0.05426057408421584,2535,"['7_lag_14_median_amo1', '7_lag_26_median_atlSICjfm', '10_lag_eapPSLjfm', '26_lag_eurPSLjfm', '7_lag_22_median_nchinaPRjja', '11_lag_wnorPRjfm']","[0.2329289988157015, 0.20459373914517087, 2.553505128081735, 3.629134124649596, 2.932723819131633, 1.1524388149511537]","7_lag_14_median_amo1, 7_lag_26_median_atlSICjfm, 10_lag_eapPSLjfm, 26_lag_eurPSLjfm, 7_lag_22_median_nchinaPRjja, 11_lag_wnorPRjfm_2535_7"
LRforcedPSO,13,6,ensoSSTjfm,shigh,1727.5,2005.5,0.4,28,8,8,19.443037681006764,-0.04850520099529031,2535,"['24_lag_traFSC', '8_lag_23_median_seurTSjfm', '16_lag_tripol1', '8_lag_24_median_stratZ50ndj01', '8_lag_25_median_amo3', '12_lag_yrvPRjja']","[4.152818016215745, 0.410703234770331, 2.966487231069122, 0.24713836569428338, 0.4712096966822532, 3.733272408240609]","24_lag_traFSC, 8_lag_23_median_seurTSjfm, 16_lag_tripol1, 8_lag_24_median_stratZ50ndj01, 8_lag_25_median_amo3, 12_lag_yrvPRjja_2535_8"
LRforcedPSO,14,6,ensoSSTjfm,shigh,1728.5,2005.5,0.4,29,9,9,17.57692072074019,-0.004350614288452582,2535,"['22_lag_ormenSSTjfm', '19_lag_labSSTjfm', '9_lag_18_median_gyreSSTjfm', '26_lag_neurTSjfm', '9_lag_16_median_stratZ50ndj02', '18_lag_traIT']","[1.6710910264098295, 1.7700165422097776, 0.6998534444833577, 1.445735685508975, 1.8530530116364083, 1.3010137374258264]","22_lag_ormenSSTjfm, 19_lag_labSSTjfm, 9_lag_18_median_gyreSSTjfm, 26_lag_neurTSjfm, 9_lag_16_median_stratZ50ndj02, 18_lag_traIT_2535_9"
LRforcedPSO,15,6,ensoSSTjfm,shigh,1729.5,2005.5,0.4,30,10,10,15.422754916913004,0.2646628438065118,2535,"['10_lag_21_median_satlSSTjfm', '10_lag_22_median_stratZ50ndj01', '10_lag_22_median_ginwSSTjfm', '15_lag_cetTSjfm', '10_lag_25_median_mhfATL45', '10_lag_traIFC']","[3.1758494433109927, 2.501760397074609, 2.9229805777050997, 2.506939424640851, 2.381887082488129, 2.387078942129762]","10_lag_21_median_satlSSTjfm, 10_lag_22_median_stratZ50ndj01, 10_lag_22_median_ginwSSTjfm, 15_lag_cetTSjfm, 10_lag_25_median_mhfATL45, 10_lag_traIFC_2535_10"
LRforcedPSO,16,6,ensoSSTjfm,shigh,1730.5,2005.5,0.4,31,11,11,16.638039960955233,0.19368215335856975,2535,"['11_lag_22_median_ensoSSTjfm', '11_lag_18_median_glTSjfm', '11_lag_22_median_traFSC', '11_lag_14_median_traEC', '11_lag_22_median_traEC', '30_lag_seurTSjfm']","[2.7360149088627916, 2.671391032991221, 2.691730228000098, 3.561827068332573, 3.240587104480956, 2.6731968087368485]","11_lag_22_median_ensoSSTjfm, 11_lag_18_median_glTSjfm, 11_lag_22_median_traFSC, 11_lag_14_median_traEC, 11_lag_22_median_traEC, 30_lag_seurTSjfm_2535_11"
LRforcedPSO,17,6,ensoSSTjfm,shigh,1731.5,2005.5,0.4,32,12,12,18.568123945900098,-0.08736042305427474,2535,"['12_lag_13_median_AMOCann', '14_lag_atlSICjfm', '12_lag_18_median_traBS', '12_lag_17_median_traCA', '15_lag_amo2', '12_lag_23_median_traCA']","[3.1831746405414876, 2.3873942387893687, 2.3876611302175803, 2.3962721240645988, 2.3873962217183538, 2.387412539752452]","12_lag_13_median_AMOCann, 14_lag_atlSICjfm, 12_lag_18_median_traBS, 12_lag_17_median_traCA, 15_lag_amo2, 12_lag_23_median_traCA_2535_12"
LRforcedPSO,18,6,ensoSSTjfm,shigh,1732.5,2005.5,0.4,33,13,13,18.946029370042584,0.016731915958364256,2535,"['31_lag_amo3', '13_lag_23_median_shSICsep', '16_lag_nppc2SSTjfm', '13_lag_14_median_ensoSSTjfm', '13_lag_23_median_tripol2', '18_lag_nppc3SSTjfm']","[1.734933101851863, 1.734928165824812, 1.7350851318746912, 1.7351332877769292, 1.73514581496871, 2.3131693318545974]","31_lag_amo3, 13_lag_23_median_shSICsep, 16_lag_nppc2SSTjfm, 13_lag_14_median_ensoSSTjfm, 13_lag_23_median_tripol2, 18_lag_nppc3SSTjfm_2535_13"
LRforcedPSO,19,6,ensoSSTjfm,shigh,1733.5,2005.5,0.4,34,14,14,23.065508846161116,-0.09367820736252909,2535,"['14_lag_30_median_pdoSSTjfm', '21_lag_cetTSjfm', '14_lag_24_median_arcTSjfm', '17_lag_amoSSTmjjaso', '14_lag_21_median_neurTSjfm', '28_lag_shTSjfm']","[2.456773344067006, 0.30514088077972445, 4.143523332691942, 2.9437641477918124, 2.342746987613115, 5.652275441137791]","14_lag_30_median_pdoSSTjfm, 21_lag_cetTSjfm, 14_lag_24_median_arcTSjfm, 17_lag_amoSSTmjjaso, 14_lag_21_median_neurTSjfm, 28_lag_shTSjfm_2535_14"
