model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,eurPSLjfm,shigh,1514.5,2005.5,0.4,15,1,1,16.2719832897404,0.07921781689834963,1755,"['12_lag_mhfATL45', '11_lag_mhfATL60', '5_lag_satlSSTjfm', '1_lag_3_median_ginwSSTjfm', '9_lag_mhfATL30', '1_lag_12_median_naoPSLjfm', '1_lag_13_median_traIFC', '1_lag_13_median_ormenSSTjfm', '9_lag_shSICsep', '1_lag_6_median_traDS']","[5.447269258118892, 2.2008585862651113, 3.013832775109101, 2.2098012557447984, 2.9024301206452403, 0.4051247491092589, 9.491698115150115, 5.921254773497688, 1.7106664277374506, 3.107875646991193]","12_lag_mhfATL45, 11_lag_mhfATL60, 5_lag_satlSSTjfm, 1_lag_3_median_ginwSSTjfm, 9_lag_mhfATL30, 1_lag_12_median_naoPSLjfm, 1_lag_13_median_traIFC, 1_lag_13_median_ormenSSTjfm, 9_lag_shSICsep, 1_lag_6_median_traDS_1755_1"
LRforcedPSO,1,10,eurPSLjfm,shigh,1515.5,2005.5,0.4,16,1,1,18.586480254747485,-0.0562366815550805,1885,"['1_lag_9_median_traFS', '12_lag_amo3', '8_lag_seurTSjfm', '1_lag_nhSICjfm', '1_lag_10_median_atlSICjfm', '1_lag_7_median_mhfATL30', '1_lag_gyreSSTjfm', '14_lag_eapPSLjfm', '1_lag_13_median_labSSTjfm', '1_lag_11_median_amoSSTmjjaso']","[5.85401420771279, 1.029216892535377, 0.5771909743286727, 7.159195427608777, 4.456651602964536, 4.192680860561739, 1.2075575458656616, 2.20741219170619, 5.158617879742151, 7.017836528640721]","1_lag_9_median_traFS, 12_lag_amo3, 8_lag_seurTSjfm, 1_lag_nhSICjfm, 1_lag_10_median_atlSICjfm, 1_lag_7_median_mhfATL30, 1_lag_gyreSSTjfm, 14_lag_eapPSLjfm, 1_lag_13_median_labSSTjfm, 1_lag_11_median_amoSSTmjjaso_1885_1"
LRforcedPSO,2,10,eurPSLjfm,shigh,1516.5,2005.5,0.4,17,1,1,13.959417297924903,0.0318367577718603,2015,"['1_lag_traEU', '9_lag_shSICmar', '1_lag_9_median_traDS', '13_lag_nhTSjfm', '7_lag_samPSLann', '8_lag_seurTSjfm', '2_lag_mhfATL45', '11_lag_seurTSjfm', '1_lag_7_median_alpi', '11_lag_glomaSSTjfm']","[2.8087235089744667, 0.05862886941000234, 4.361564253305097, 2.8627278966340963, 2.2812924329950324, 3.794321704011928, 2.365440105754417, 2.3450105382886255, 4.503314913966454, 3.9952022140830667]","1_lag_traEU, 9_lag_shSICmar, 1_lag_9_median_traDS, 13_lag_nhTSjfm, 7_lag_samPSLann, 8_lag_seurTSjfm, 2_lag_mhfATL45, 11_lag_seurTSjfm, 1_lag_7_median_alpi, 11_lag_glomaSSTjfm_2015_1"
LRforcedPSO,3,10,eurPSLjfm,shigh,1517.5,2005.5,0.4,18,1,1,15.599905016845659,0.02699892963245693,2145,"['13_lag_seurTSjfm', '1_lag_9_median_shTSjfm', '14_lag_nchinaPRjja', '1_lag_4_median_traCA', '7_lag_ensoSSTjfm', '1_lag_8_median_shSICsep', '4_lag_amo1', '1_lag_12_median_shSICmar', '1_lag_5_median_amo1', '12_lag_cetTSjfm']","[4.552347479779115, 5.291985952229945, 4.151599446671906, 0.2891333948246171, 6.4702819330068255, 2.3734032055872074, 0.825687031644744, 1.0444943525671668, 3.709243927134529, 1.6502970719430863]","13_lag_seurTSjfm, 1_lag_9_median_shTSjfm, 14_lag_nchinaPRjja, 1_lag_4_median_traCA, 7_lag_ensoSSTjfm, 1_lag_8_median_shSICsep, 4_lag_amo1, 1_lag_12_median_shSICmar, 1_lag_5_median_amo1, 12_lag_cetTSjfm_2145_1"
LRforcedPSO,4,10,eurPSLjfm,shigh,1518.5,2005.5,0.4,19,1,1,15.425891756128385,-0.01319001524401277,2275,"['1_lag_17_median_nppc3SSTjfm', '11_lag_amo3', '10_lag_tripol1', '1_lag_12_median_tripol1', '1_lag_17_median_traBS', '9_lag_traDS', '1_lag_16_median_stratZ50ndj01', '18_lag_cetTSjfm', '1_lag_2_median_scpPSLjfm', '7_lag_traEU']","[3.0762210000171493, 5.591028942144799, 5.967269254112653, 5.214151736697119, 1.1029141547682144, 0.6660361924549534, 1.625921956205696, 0.3084658934613227, 1.5606888898874853, 1.4471880336203125]","1_lag_17_median_nppc3SSTjfm, 11_lag_amo3, 10_lag_tripol1, 1_lag_12_median_tripol1, 1_lag_17_median_traBS, 9_lag_traDS, 1_lag_16_median_stratZ50ndj01, 18_lag_cetTSjfm, 1_lag_2_median_scpPSLjfm, 7_lag_traEU_2275_1"
LRforcedPSO,5,10,eurPSLjfm,shigh,1519.5,2005.5,0.4,20,1,1,15.094630974030798,-0.07988782114835768,2405,"['10_lag_ismPRjja', '1_lag_16_median_traFB', '13_lag_yrvPRjja', '1_lag_15_median_traDP', '1_lag_11_median_naoPSLjfm', '4_lag_nppc3SSTjfm', '1_lag_18_median_mhfIP30', '1_lag_2_median_mhfIP30', '16_lag_glomaSSTjfm', '3_lag_tripol2']","[2.3229122972141036, 2.727558319617721, 3.318957338081847, 1.3490714426609145, 1.7374501018967585, 5.363890442416541, 2.4411324571726762, 3.0826438995358423, 1.7216285617842964, 1.8917510294951771]","10_lag_ismPRjja, 1_lag_16_median_traFB, 13_lag_yrvPRjja, 1_lag_15_median_traDP, 1_lag_11_median_naoPSLjfm, 4_lag_nppc3SSTjfm, 1_lag_18_median_mhfIP30, 1_lag_2_median_mhfIP30, 16_lag_glomaSSTjfm, 3_lag_tripol2_2405_1"
LRforcedPSO,6,10,eurPSLjfm,shigh,1520.5,2005.5,0.4,21,1,1,14.789851698333603,0.000483768483550584,2535,"['1_lag_gyreSSTjfm', '18_lag_atlSICsep', '1_lag_19_median_mhfIP30', '18_lag_traCA', '1_lag_2_median_ginwSSTjfm', '9_lag_tripol1', '20_lag_traMC', '8_lag_alpi', '1_lag_6_median_traIT', '2_lag_labSSTjfm']","[4.3584513191713885, 7.530232946350743, 1.5713247160243036, 0.13595320972701153, 1.636468674043595, 5.546793016723366, 0.07030804933268797, 2.266786938295093, 0.6028895855063645, 0.9892608610177351]","1_lag_gyreSSTjfm, 18_lag_atlSICsep, 1_lag_19_median_mhfIP30, 18_lag_traCA, 1_lag_2_median_ginwSSTjfm, 9_lag_tripol1, 20_lag_traMC, 8_lag_alpi, 1_lag_6_median_traIT, 2_lag_labSSTjfm_2535_1"
LRforcedPSO,7,10,eurPSLjfm,shigh,1521.5,2005.5,0.4,22,1,1,14.357462188121463,0.02029321707046305,2665,"['1_lag_9_median_ensoSSTjfm', '1_lag_8_median_mhfATL45', '1_lag_5_median_ismPRjja', '1_lag_9_median_traEC', '1_lag_20_median_samPSLann', '1_lag_10_median_traBS', '3_lag_stratZ50ndj02', '18_lag_shSICsep', '1_lag_21_median_traIFC', '14_lag_nhSICsep']","[4.295552406066205, 2.0183680126310755, 2.9983846378232766, 4.443477508571421, 1.8656673252589862, 4.744228401878912, 3.330878225934626, 3.373922760339716, 1.1220948718499208, 0.9925788004683938]","1_lag_9_median_ensoSSTjfm, 1_lag_8_median_mhfATL45, 1_lag_5_median_ismPRjja, 1_lag_9_median_traEC, 1_lag_20_median_samPSLann, 1_lag_10_median_traBS, 3_lag_stratZ50ndj02, 18_lag_shSICsep, 1_lag_21_median_traIFC, 14_lag_nhSICsep_2665_1"
LRforcedPSO,8,10,eurPSLjfm,shigh,1522.5,2005.5,0.4,23,1,1,14.729807454551741,0.0002675632987239546,2795,"['1_lag_20_median_nppc3SSTjfm', '2_lag_atlSICsep', '14_lag_mhfATL45', '1_lag_20_median_traTLS', '21_lag_traIFC', '7_lag_amo2', '1_lag_15_median_seurTSjfm', '17_lag_stratZ50ndj01', '1_lag_8_median_traFSC', '1_lag_19_median_mhfATL45']","[7.410362066279813, 1.3270603457287589, 4.394450495811643, 2.115674698859987, 0.8323387430110802, 1.8941856179032275, 3.0791331168278475, 0.41700235089566107, 4.100621862805458, 6.385235026165958]","1_lag_20_median_nppc3SSTjfm, 2_lag_atlSICsep, 14_lag_mhfATL45, 1_lag_20_median_traTLS, 21_lag_traIFC, 7_lag_amo2, 1_lag_15_median_seurTSjfm, 17_lag_stratZ50ndj01, 1_lag_8_median_traFSC, 1_lag_19_median_mhfATL45_2795_1"
LRforcedPSO,9,10,eurPSLjfm,shigh,1523.5,2005.5,0.4,24,1,1,19.738522535316555,-0.004810553210354188,2925,"['12_lag_shTSjfm', '1_lag_11_median_tripol2', '1_lag_7_median_shTSjfm', '1_lag_23_median_yrvPRjja', '1_lag_5_median_cetTSjfm', '8_lag_eapPSLjfm', '1_lag_14_median_traFS', '1_lag_13_median_cetTSjfm', '1_lag_3_median_nhTSjfm', '1_lag_15_median_eurPSLjfm']","[0.932853272351446, 2.5094492507281387, 4.958245088666853, 1.4281404492874223, 0.269981381844266, 7.097508028273351, 4.729259749659187, 3.8097655075113623, 0.786138907049633, 1.23368104745267]","12_lag_shTSjfm, 1_lag_11_median_tripol2, 1_lag_7_median_shTSjfm, 1_lag_23_median_yrvPRjja, 1_lag_5_median_cetTSjfm, 8_lag_eapPSLjfm, 1_lag_14_median_traFS, 1_lag_13_median_cetTSjfm, 1_lag_3_median_nhTSjfm, 1_lag_15_median_eurPSLjfm_2925_1"
