model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,6,eurPSLjfm,shigh,1714.5,2005.5,0.6,15,1,1,13.522068986628774,-0.10744895450295229,594,"['8_lag_amo3', '13_lag_nhSICsep', '1_lag_13_median_shSICmar', '1_lag_6_median_eapPSLjfm', '13_lag_amo3', '1_lag_11_median_nhSICsep']","[3.3036813018165834, 0.8972215536919919, 0.15899079443352093, 0.47298749572087395, 0.36664466042041255, 1.4940925326392183]","8_lag_amo3, 13_lag_nhSICsep, 1_lag_13_median_shSICmar, 1_lag_6_median_eapPSLjfm, 13_lag_amo3, 1_lag_11_median_nhSICsep_594_1"
LRforcedPSO,1,6,eurPSLjfm,shigh,1715.5,2005.5,0.6,16,1,1,15.862878172812252,0.00017487166992344316,638,"['8_lag_stratZ50ndj03', '13_lag_scpPSLjfm', '5_lag_shSICmar', '1_lag_13_median_shSICsep', '9_lag_stratZ50ndj04', '1_lag_AMOCann']","[5.765599999848645, 1.8293507919976406, 5.490979792812882, 0.5257209927424746, 1.786212946532542, 4.501645442842825]","8_lag_stratZ50ndj03, 13_lag_scpPSLjfm, 5_lag_shSICmar, 1_lag_13_median_shSICsep, 9_lag_stratZ50ndj04, 1_lag_AMOCann_638_1"
LRforcedPSO,2,6,eurPSLjfm,shigh,1716.5,2005.5,0.6,17,1,1,18.367334618597223,0.00683754452477376,682,"['1_lag_6_median_amoSSTjfm', '1_lag_8_median_scpPSLjfm', '1_lag_4_median_stratZ50ndj03', '4_lag_eapPSLjfm', '2_lag_stratZ50ndj02', '2_lag_AMOCann']","[0.10090670156648507, 5.353472589053483, 2.996819095939558, 3.101644333467526, 2.3685482926485086, 6.298201301565928]","1_lag_6_median_amoSSTjfm, 1_lag_8_median_scpPSLjfm, 1_lag_4_median_stratZ50ndj03, 4_lag_eapPSLjfm, 2_lag_stratZ50ndj02, 2_lag_AMOCann_682_1"
LRforcedPSO,3,6,eurPSLjfm,shigh,1717.5,2005.5,0.6,18,1,1,17.435098624297066,-0.16255399325109082,726,"['1_lag_15_median_nhSICsep', '1_lag_11_median_nppc2SSTjfm', '1_lag_5_median_amo1', '16_lag_atlSICsep', '14_lag_amo2', '14_lag_amo1']","[3.155301924455605, 2.281414681014673, 1.0886427203097675, 3.3541611703474246, 0.46762771236490686, 1.6705320466846363]","1_lag_15_median_nhSICsep, 1_lag_11_median_nppc2SSTjfm, 1_lag_5_median_amo1, 16_lag_atlSICsep, 14_lag_amo2, 14_lag_amo1_726_1"
LRforcedPSO,4,6,eurPSLjfm,shigh,1718.5,2005.5,0.6,19,1,1,12.79165356128131,0.11828572568943596,770,"['15_lag_amo2', '4_lag_nhSICjfm', '13_lag_nhSICsep', '1_lag_14_median_AMOCann', '1_lag_15_median_nhSICjfm', '5_lag_stratZ50ndj03']","[3.254768489496444, 3.4253836126964923, 3.105738185638622, 2.5691541911370877, 2.8257513773406586, 2.5700029505498674]","15_lag_amo2, 4_lag_nhSICjfm, 13_lag_nhSICsep, 1_lag_14_median_AMOCann, 1_lag_15_median_nhSICjfm, 5_lag_stratZ50ndj03_770_1"
LRforcedPSO,5,6,eurPSLjfm,shigh,1719.5,2005.5,0.6,20,1,1,13.20367934824956,0.21793387577041748,814,"['3_lag_nhSICjfm', '1_lag_3_median_nppc2SSTjfm', '1_lag_5_median_nhSICjfm', '1_lag_17_median_stratZ50ndj02', '8_lag_atlSICsep', '15_lag_shSICsep']","[3.576590561769173, 2.0029509551036035, 0.023433298851262663, 0.6078260309318946, 6.238374704388912, 2.2069802890801764]","3_lag_nhSICjfm, 1_lag_3_median_nppc2SSTjfm, 1_lag_5_median_nhSICjfm, 1_lag_17_median_stratZ50ndj02, 8_lag_atlSICsep, 15_lag_shSICsep_814_1"
LRforcedPSO,6,6,eurPSLjfm,shigh,1720.5,2005.5,0.6,21,1,1,14.29333319397005,0.07354182519438802,858,"['1_lag_15_median_stratZ50ndj01', '12_lag_eurPSLjfm', '1_lag_8_median_shSICsep', '9_lag_shSICmar', '20_lag_atlSICsep', '1_lag_6_median_stratZ50ndj04']","[4.037181434362839, 2.368905621015445, 0.6471029241841713, 0.7021711665288226, 5.78510234533114, 3.3046097074805854]","1_lag_15_median_stratZ50ndj01, 12_lag_eurPSLjfm, 1_lag_8_median_shSICsep, 9_lag_shSICmar, 20_lag_atlSICsep, 1_lag_6_median_stratZ50ndj04_858_1"
LRforcedPSO,7,6,eurPSLjfm,shigh,1721.5,2005.5,0.6,22,1,1,13.74867628628968,-0.08886523593510828,902,"['1_lag_12_median_atlSICsep', '13_lag_nhSICsep', '1_lag_11_median_stratZ50ndj04', '1_lag_18_median_scpPSLjfm', '1_lag_8_median_nppc2SSTjfm', '8_lag_eapPSLjfm']","[1.523311261521462, 1.5148300621985984, 1.5152192385181777, 1.9716463017563501, 2.0184779756371474, 2.019552075820871]","1_lag_12_median_atlSICsep, 13_lag_nhSICsep, 1_lag_11_median_stratZ50ndj04, 1_lag_18_median_scpPSLjfm, 1_lag_8_median_nppc2SSTjfm, 8_lag_eapPSLjfm_902_1"
LRforcedPSO,8,6,eurPSLjfm,shigh,1722.5,2005.5,0.6,23,1,1,13.012395301442059,0.04810198824609535,946,"['1_lag_21_median_stratZ50ndj04', '1_lag_10_median_scpPSLjfm', '1_lag_15_median_nppc2SSTjfm', '1_lag_16_median_amoSSTmjjaso', '12_lag_nppc2SSTjfm', '16_lag_amo1']","[0.6220453633275813, 0.45238032396432004, 1.0249764971925206, 2.5703780507499445, 0.4542625118661565, 2.382339028017128]","1_lag_21_median_stratZ50ndj04, 1_lag_10_median_scpPSLjfm, 1_lag_15_median_nppc2SSTjfm, 1_lag_16_median_amoSSTmjjaso, 12_lag_nppc2SSTjfm, 16_lag_amo1_946_1"
LRforcedPSO,9,6,eurPSLjfm,shigh,1723.5,2005.5,0.6,24,1,1,15.122857988297502,0.021017358099484934,990,"['20_lag_eapPSLjfm', '1_lag_16_median_shSICmar', '22_lag_nhSICjfm', '1_lag_amo3', '1_lag_21_median_stratZ50ndj01', '14_lag_eapPSLjfm']","[7.005070700802129, 1.852306092928675, 2.3070082865217145, 1.462484566496041, 0.21991388634766196, 0.514583774051351]","20_lag_eapPSLjfm, 1_lag_16_median_shSICmar, 22_lag_nhSICjfm, 1_lag_amo3, 1_lag_21_median_stratZ50ndj01, 14_lag_eapPSLjfm_990_1"
LRforcedPSO,10,6,eurPSLjfm,shigh,1724.5,2005.5,0.6,25,1,1,13.477122313501866,-0.05632069111280664,1034,"['1_lag_20_median_amo2', '4_lag_amo2', '14_lag_atlSICsep', '1_lag_14_median_amo1', '1_lag_9_median_nppc2SSTjfm', '1_lag_2_median_amo3']","[2.595678038076543, 2.628573893031075, 2.1133087319781247, 2.2005193919421564, 2.0938937281457557, 2.761725801925521]","1_lag_20_median_amo2, 4_lag_amo2, 14_lag_atlSICsep, 1_lag_14_median_amo1, 1_lag_9_median_nppc2SSTjfm, 1_lag_2_median_amo3_1034_1"
LRforcedPSO,11,6,eurPSLjfm,shigh,1725.5,2005.5,0.6,26,1,1,14.872629891140084,0.0296455241597366,1078,"['19_lag_stratZ50ndj01', '8_lag_eapPSLjfm', '9_lag_amo1', '1_lag_3_median_atlSICsep', '1_lag_4_median_nppc2SSTjfm', '1_lag_13_median_amo1']","[1.7716047658010226, 4.952100639280679, 5.143183315235758, 3.2083292025384003, 2.1717329745000953, 4.039285030112026]","19_lag_stratZ50ndj01, 8_lag_eapPSLjfm, 9_lag_amo1, 1_lag_3_median_atlSICsep, 1_lag_4_median_nppc2SSTjfm, 1_lag_13_median_amo1_1078_1"
LRforcedPSO,12,6,eurPSLjfm,shigh,1726.5,2005.5,0.6,27,1,1,13.127507605909196,0.029729477489089273,1122,"['1_lag_3_median_amo3', '16_lag_eurPSLjfm', '1_lag_solFORC', '1_lag_2_median_solFORC', '13_lag_amoSSTjfm', '1_lag_23_median_amo2']","[0.28019707207966427, 6.295621410280404, 4.293392945155137, 4.957366561023225, 1.3608979594793347, 2.8768114853585587]","1_lag_3_median_amo3, 16_lag_eurPSLjfm, 1_lag_solFORC, 1_lag_2_median_solFORC, 13_lag_amoSSTjfm, 1_lag_23_median_amo2_1122_1"
LRforcedPSO,13,6,eurPSLjfm,shigh,1727.5,2005.5,0.6,28,1,1,17.363344492689624,0.11238415471497498,1166,"['1_lag_19_median_solFORC', '1_lag_22_median_stratZ50ndj03', '24_lag_amo2', '1_lag_20_median_naoPSLjfm', '1_lag_11_median_atlSICsep', '7_lag_scpPSLjfm']","[2.1437249000706338, 1.7656610513836224, 2.076252027082594, 0.8314767039061639, 6.054498474041148, 3.430336081618746]","1_lag_19_median_solFORC, 1_lag_22_median_stratZ50ndj03, 24_lag_amo2, 1_lag_20_median_naoPSLjfm, 1_lag_11_median_atlSICsep, 7_lag_scpPSLjfm_1166_1"
LRforcedPSO,14,6,eurPSLjfm,shigh,1728.5,2005.5,0.6,29,1,1,15.148870248810713,-0.050325298270973956,1210,"['5_lag_amo1', '20_lag_eapPSLjfm', '2_lag_AMOCann', '1_lag_25_median_stratZ50ndj02', '1_lag_28_median_stratZ50ndj01', '1_lag_17_median_AMOCann']","[2.753551218677284, 4.886628868003367, 2.7775677722334873, 1.0147372517043163, 3.9080686780794682, 3.941407839231113]","5_lag_amo1, 20_lag_eapPSLjfm, 2_lag_AMOCann, 1_lag_25_median_stratZ50ndj02, 1_lag_28_median_stratZ50ndj01, 1_lag_17_median_AMOCann_1210_1"
LRforcedPSO,15,6,eurPSLjfm,shigh,1729.5,2005.5,0.6,30,1,1,13.718696869392566,-0.049734914964049026,1254,"['1_lag_8_median_nhSICsep', '1_lag_3_median_solFORC', '12_lag_scpPSLjfm', '12_lag_eapPSLjfm', '1_lag_5_median_amo2', '3_lag_scpPSLjfm']","[1.765019478277182, 1.204388647295895, 1.0827181607904652, 1.3503367593515048, 0.33454027341638337, 4.3976712446248385]","1_lag_8_median_nhSICsep, 1_lag_3_median_solFORC, 12_lag_scpPSLjfm, 12_lag_eapPSLjfm, 1_lag_5_median_amo2, 3_lag_scpPSLjfm_1254_1"
LRforcedPSO,16,6,eurPSLjfm,shigh,1730.5,2005.5,0.6,31,1,1,15.479331505659697,-0.04282665057776045,1298,"['26_lag_stratZ50ndj04', '1_lag_26_median_amoSSTjfm', '1_lag_14_median_stratZ50ndj04', '1_lag_25_median_amo1', '20_lag_amo3', '1_lag_27_median_shSICmar']","[2.8376818079988375, 6.564355915739329, 0.9775935265611189, 9.352807174491186, 2.527931617994696, 2.6224579213579684]","26_lag_stratZ50ndj04, 1_lag_26_median_amoSSTjfm, 1_lag_14_median_stratZ50ndj04, 1_lag_25_median_amo1, 20_lag_amo3, 1_lag_27_median_shSICmar_1298_1"
