model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,10,eurPSLjfm,shigh,1514.5,2005.5,0.8,15,1,1,12.574430739905013,0.09158538624893091,594,"['1_lag_6_median_amoSSTjfm', '1_lag_6_median_amo3', '1_lag_10_median_atlSICsep', '1_lag_4_median_nhSICjfm', '1_lag_5_median_atlSICjfm', '1_lag_14_median_eapPSLjfm', '1_lag_14_median_nhSICsep', '1_lag_6_median_scpPSLjfm', '1_lag_7_median_stratZ50ndj02', '1_lag_5_median_eapPSLjfm']","[0.043713553282990356, 0.0262995682989399, 0.16090029907052322, 0.05670105944409624, 0.03808071694643171, 0.043851917915408926, 0.0016486470652586401, 0.07258412415109533, 0.07616544596939423, 0.0796773348793349]","1_lag_6_median_amoSSTjfm, 1_lag_6_median_amo3, 1_lag_10_median_atlSICsep, 1_lag_4_median_nhSICjfm, 1_lag_5_median_atlSICjfm, 1_lag_14_median_eapPSLjfm, 1_lag_14_median_nhSICsep, 1_lag_6_median_scpPSLjfm, 1_lag_7_median_stratZ50ndj02, 1_lag_5_median_eapPSLjfm_594_1"
LinearRegression,1,10,eurPSLjfm,shigh,1515.5,2005.5,0.8,16,1,1,12.678576769817168,0.06279398412750092,638,"['1_lag_7_median_atlSICsep', '1_lag_6_median_scpPSLjfm', '1_lag_12_median_stratZ50ndj02', '1_lag_7_median_amoSSTmjjaso', '1_lag_5_median_atlSICjfm', '1_lag_4_median_nhSICjfm', '1_lag_14_median_nhSICsep', '1_lag_4_median_amoSSTjfm', '1_lag_7_median_stratZ50ndj02', '1_lag_5_median_eapPSLjfm']","[0.0601364382513291, 0.07565185545239916, 0.080240355991843, 0.01914241967467561, 0.05842747641165906, 0.062071760615401976, 0.0026488365765464407, 0.16195042416668132, 0.13641950566222966, 0.08134992951791355]","1_lag_7_median_atlSICsep, 1_lag_6_median_scpPSLjfm, 1_lag_12_median_stratZ50ndj02, 1_lag_7_median_amoSSTmjjaso, 1_lag_5_median_atlSICjfm, 1_lag_4_median_nhSICjfm, 1_lag_14_median_nhSICsep, 1_lag_4_median_amoSSTjfm, 1_lag_7_median_stratZ50ndj02, 1_lag_5_median_eapPSLjfm_638_1"
LinearRegression,2,10,eurPSLjfm,shigh,1516.5,2005.5,0.8,17,1,1,12.892678751893726,0.01939035668052475,682,"['1_lag_14_median_naoPSLjfm', '1_lag_12_median_stratZ50ndj04', '1_lag_11_median_atlSICjfm', '1_lag_4_median_shSICmar', '1_lag_5_median_eapPSLjfm', '1_lag_8_median_atlSICjfm', '1_lag_5_median_atlSICjfm', '1_lag_14_median_eapPSLjfm', '1_lag_4_median_amoSSTjfm', '1_lag_7_median_stratZ50ndj02']","[0.16278363468822935, 0.01097860125123036, 0.09842446748974125, 0.035347660363406676, 0.057360873655560966, 0.15581105288893712, 0.01471179753470568, 0.0600952715403172, 0.1467044847592216, 0.09224226193424855]","1_lag_14_median_naoPSLjfm, 1_lag_12_median_stratZ50ndj04, 1_lag_11_median_atlSICjfm, 1_lag_4_median_shSICmar, 1_lag_5_median_eapPSLjfm, 1_lag_8_median_atlSICjfm, 1_lag_5_median_atlSICjfm, 1_lag_14_median_eapPSLjfm, 1_lag_4_median_amoSSTjfm, 1_lag_7_median_stratZ50ndj02_682_1"
LinearRegression,3,10,eurPSLjfm,shigh,1517.5,2005.5,0.8,18,1,1,13.19198969822895,-0.011413432986081053,726,"['1_lag_12_median_eurPSLjfm', '1_lag_5_median_eapPSLjfm', '1_lag_4_median_atlSICjfm', '1_lag_14_median_naoPSLjfm', '1_lag_6_median_stratZ50ndj03', '6_lag_atlSICjfm', '1_lag_eurPSLjfm', '1_lag_4_median_amo2', '1_lag_8_median_atlSICjfm', '1_lag_5_median_atlSICjfm']","[0.4626256319091369, 0.08997227604414387, 0.19556588018358206, 0.09635129523678557, 0.009166367713062328, 0.18075059173863897, 0.014782976417707455, 0.009923467195954367, 0.2615536829801125, 0.3121000860685843]","1_lag_12_median_eurPSLjfm, 1_lag_5_median_eapPSLjfm, 1_lag_4_median_atlSICjfm, 1_lag_14_median_naoPSLjfm, 1_lag_6_median_stratZ50ndj03, 6_lag_atlSICjfm, 1_lag_eurPSLjfm, 1_lag_4_median_amo2, 1_lag_8_median_atlSICjfm, 1_lag_5_median_atlSICjfm_726_1"
LinearRegression,4,10,eurPSLjfm,shigh,1518.5,2005.5,0.8,19,1,1,12.89403837210044,-0.009703507982812852,770,"['1_lag_4_median_atlSICjfm', '1_lag_14_median_naoPSLjfm', '6_lag_atlSICjfm', '1_lag_4_median_shSICmar', '1_lag_4_median_atlSICsep', '1_lag_5_median_stratZ50ndj03', '7_lag_amo1', '1_lag_5_median_atlSICjfm', '1_lag_8_median_atlSICjfm', '1_lag_eurPSLjfm']","[0.15409704752465397, 0.14428985098769723, 0.18250272184208782, 0.015832046925168163, 0.037020795903551035, 0.029590668037448163, 0.011925927666436603, 0.3447194233270189, 0.32004048188201595, 0.005796484945812342]","1_lag_4_median_atlSICjfm, 1_lag_14_median_naoPSLjfm, 6_lag_atlSICjfm, 1_lag_4_median_shSICmar, 1_lag_4_median_atlSICsep, 1_lag_5_median_stratZ50ndj03, 7_lag_amo1, 1_lag_5_median_atlSICjfm, 1_lag_8_median_atlSICjfm, 1_lag_eurPSLjfm_770_1"
LinearRegression,5,10,eurPSLjfm,shigh,1519.5,2005.5,0.8,20,1,1,13.103607977651995,0.022504172996198626,814,"['1_lag_8_median_atlSICjfm', '1_lag_12_median_eurPSLjfm', '1_lag_5_median_atlSICjfm', '1_lag_4_median_atlSICsep', '19_lag_nppc2SSTjfm', '8_lag_shSICsep', '1_lag_4_median_nhSICjfm', '14_lag_shSICsep', '1_lag_eurPSLjfm', '1_lag_5_median_stratZ50ndj03']","[0.05098749933756052, 0.4605032633558275, 0.0037057927163062776, 0.059861316481942636, 0.026849875217153048, 0.018155776594297915, 0.008124058762846914, 0.037388347095011557, 0.014650205542712486, 0.03158779844189197]","1_lag_8_median_atlSICjfm, 1_lag_12_median_eurPSLjfm, 1_lag_5_median_atlSICjfm, 1_lag_4_median_atlSICsep, 19_lag_nppc2SSTjfm, 8_lag_shSICsep, 1_lag_4_median_nhSICjfm, 14_lag_shSICsep, 1_lag_eurPSLjfm, 1_lag_5_median_stratZ50ndj03_814_1"
LinearRegression,6,10,eurPSLjfm,shigh,1520.5,2005.5,0.8,21,1,1,13.071247055579981,-0.20611412989325711,858,"['16_lag_atlSICjfm', '1_lag_6_median_scpPSLjfm', '8_lag_shSICsep', '1_lag_4_median_atlSICsep', '1_lag_10_median_eapPSLjfm', '14_lag_shSICsep', '1_lag_5_median_stratZ50ndj03', '1_lag_4_median_shSICmar', '6_lag_amo2', '1_lag_eurPSLjfm']","[0.09050237084676692, 0.06742332612359961, 0.03834333400329125, 0.010567653425658189, 0.141133361445878, 0.05646631288690272, 0.026169359964841307, 0.008287350091669435, 0.05609680269890262, 0.0007838966227744285]","16_lag_atlSICjfm, 1_lag_6_median_scpPSLjfm, 8_lag_shSICsep, 1_lag_4_median_atlSICsep, 1_lag_10_median_eapPSLjfm, 14_lag_shSICsep, 1_lag_5_median_stratZ50ndj03, 1_lag_4_median_shSICmar, 6_lag_amo2, 1_lag_eurPSLjfm_858_1"
LinearRegression,7,10,eurPSLjfm,shigh,1521.5,2005.5,0.8,22,1,1,13.075087827033624,-0.19594929726296048,902,"['1_lag_6_median_scpPSLjfm', '1_lag_10_median_eapPSLjfm', '1_lag_5_median_stratZ50ndj03', '1_lag_4_median_eapPSLjfm', '8_lag_shSICsep', '16_lag_atlSICjfm', '6_lag_amo2', '14_lag_shSICsep', '1_lag_4_median_atlSICsep', '1_lag_eurPSLjfm']","[0.06536099196018488, 0.10406966652739078, 0.021035603946392617, 0.03987443740141882, 0.03697665990202551, 0.0903039450079052, 0.04471304789474658, 0.05751308065854557, 0.01823268807542791, 7.459235640175366e-05]","1_lag_6_median_scpPSLjfm, 1_lag_10_median_eapPSLjfm, 1_lag_5_median_stratZ50ndj03, 1_lag_4_median_eapPSLjfm, 8_lag_shSICsep, 16_lag_atlSICjfm, 6_lag_amo2, 14_lag_shSICsep, 1_lag_4_median_atlSICsep, 1_lag_eurPSLjfm_902_1"
LinearRegression,8,10,eurPSLjfm,shigh,1522.5,2005.5,0.8,23,1,1,13.543891040082025,-0.3450795253415994,946,"['1_lag_5_median_stratZ50ndj03', '10_lag_eapPSLjfm', '6_lag_amo2', '21_lag_shSICsep', '16_lag_atlSICjfm', '8_lag_shSICsep', '14_lag_shSICsep', '1_lag_4_median_eapPSLjfm', '1_lag_4_median_atlSICsep', '1_lag_eurPSLjfm']","[0.006295055429278045, 0.10416688255470599, 0.04807380164534036, 0.03527825613642868, 0.08946216476776706, 0.03662019735302383, 0.07704777396926965, 0.06390468364873543, 0.039966944247563606, 0.0026245291289333575]","1_lag_5_median_stratZ50ndj03, 10_lag_eapPSLjfm, 6_lag_amo2, 21_lag_shSICsep, 16_lag_atlSICjfm, 8_lag_shSICsep, 14_lag_shSICsep, 1_lag_4_median_eapPSLjfm, 1_lag_4_median_atlSICsep, 1_lag_eurPSLjfm_946_1"
LinearRegression,9,10,eurPSLjfm,shigh,1523.5,2005.5,0.8,24,1,1,13.596169761159995,-0.36053385422204864,990,"['1_lag_10_median_eapPSLjfm', '16_lag_atlSICjfm', '21_lag_shSICsep', '10_lag_eapPSLjfm', '14_lag_shSICsep', '6_lag_amo2', '8_lag_shSICsep', '1_lag_4_median_atlSICsep', '1_lag_4_median_eapPSLjfm', '1_lag_eurPSLjfm']","[0.0025372858480571404, 0.087400451110004, 0.03358344470238658, 0.11134686110927516, 0.07527635958322815, 0.04753971707463916, 0.03682486188806165, 0.02579912782059362, 0.05084972699862026, 0.0021663512961076735]","1_lag_10_median_eapPSLjfm, 16_lag_atlSICjfm, 21_lag_shSICsep, 10_lag_eapPSLjfm, 14_lag_shSICsep, 6_lag_amo2, 8_lag_shSICsep, 1_lag_4_median_atlSICsep, 1_lag_4_median_eapPSLjfm, 1_lag_eurPSLjfm_990_1"
