model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,6,eurPSLjfm,shigh,866.5,2005.5,0.4,15,1,1,12.766669697552407,0.03880197768549926,1755,"['4_lag_traFB', '8_lag_stratZ50ndj01', '1_lag_nppc2SSTjfm', '11_lag_wnorPRjfm', '6_lag_cetTSjfm', '1_lag_eurPSLjfm']","[0.08321644858228332, 0.059981366799259785, 0.2010906401510975, 0.019574915811018383, 0.11721614814927805, 0.07220679014162765]","4_lag_traFB, 8_lag_stratZ50ndj01, 1_lag_nppc2SSTjfm, 11_lag_wnorPRjfm, 6_lag_cetTSjfm, 1_lag_eurPSLjfm_1755_1"
LinearRegression,1,6,eurPSLjfm,shigh,867.5,2005.5,0.4,16,1,1,12.657352495934317,0.113751340625467,1885,"['4_lag_traFB', '3_lag_atlSICsep', '6_lag_cetTSjfm', '1_lag_traTLS', '1_lag_nppc2SSTjfm', '1_lag_eurPSLjfm']","[0.058255620354082945, 0.009349568331448371, 0.11180902972692452, 0.2951100919396752, 0.15090088184482695, 0.05151358814171576]","4_lag_traFB, 3_lag_atlSICsep, 6_lag_cetTSjfm, 1_lag_traTLS, 1_lag_nppc2SSTjfm, 1_lag_eurPSLjfm_1885_1"
LinearRegression,2,6,eurPSLjfm,shigh,868.5,2005.5,0.4,17,1,1,12.770935825243038,0.0759482729632722,2015,"['1_lag_traIT', '8_lag_stratZ50ndj01', '3_lag_atlSICsep', '16_lag_traTLS', '1_lag_nppc2SSTjfm', '1_lag_eurPSLjfm']","[0.24152531103327074, 0.052335112272277134, 0.0007373357428668847, 0.08062263995790077, 0.1517135078585063, 0.029208899952249866]","1_lag_traIT, 8_lag_stratZ50ndj01, 3_lag_atlSICsep, 16_lag_traTLS, 1_lag_nppc2SSTjfm, 1_lag_eurPSLjfm_2015_1"
LinearRegression,3,6,eurPSLjfm,shigh,869.5,2005.5,0.4,18,1,1,12.886197785820459,0.07785086413336707,2145,"['3_lag_atlSICsep', '8_lag_stratZ50ndj01', '13_lag_arcTSjfm', '1_lag_traIT', '1_lag_nppc2SSTjfm', '1_lag_eurPSLjfm']","[0.0005142559665087224, 0.05742514778564303, 0.09633309270813975, 0.23774358803346887, 0.14655182812838266, 0.03604812900666017]","3_lag_atlSICsep, 8_lag_stratZ50ndj01, 13_lag_arcTSjfm, 1_lag_traIT, 1_lag_nppc2SSTjfm, 1_lag_eurPSLjfm_2145_1"
LinearRegression,4,6,eurPSLjfm,shigh,870.5,2005.5,0.4,19,1,1,12.897774434326275,0.0780203760414185,2275,"['3_lag_atlSICsep', '8_lag_stratZ50ndj01', '1_lag_nppc2SSTjfm', '1_lag_traIT', '13_lag_arcTSjfm', '1_lag_eurPSLjfm']","[0.0023030955317907085, 0.05833904143912014, 0.15168032922460303, 0.2338811774393407, 0.099705746627796, 0.03603752279474426]","3_lag_atlSICsep, 8_lag_stratZ50ndj01, 1_lag_nppc2SSTjfm, 1_lag_traIT, 13_lag_arcTSjfm, 1_lag_eurPSLjfm_2275_1"
LinearRegression,5,6,eurPSLjfm,shigh,871.5,2005.5,0.4,20,1,1,12.755847984254729,0.10696964145458168,2405,"['1_lag_traTLS', '13_lag_arcTSjfm', '1_lag_traIT', '1_lag_nppc2SSTjfm', '8_lag_stratZ50ndj01', '1_lag_eurPSLjfm']","[0.250360616930524, 0.10826755796466511, 0.07140927893176052, 0.14546870749222143, 0.04711375053555885, 0.03706665979718877]","1_lag_traTLS, 13_lag_arcTSjfm, 1_lag_traIT, 1_lag_nppc2SSTjfm, 8_lag_stratZ50ndj01, 1_lag_eurPSLjfm_2405_1"
LinearRegression,6,6,eurPSLjfm,shigh,872.5,2005.5,0.4,21,1,1,12.93880425024459,0.0785452071717292,2535,"['15_lag_stratZ50ndj02', '13_lag_arcTSjfm', '1_lag_traIT', '8_lag_stratZ50ndj01', '1_lag_nppc2SSTjfm', '1_lag_eurPSLjfm']","[0.07495225996646691, 0.10094084651582688, 0.23056948527370236, 0.06167144154608126, 0.14252470270446463, 0.031391870766760324]","15_lag_stratZ50ndj02, 13_lag_arcTSjfm, 1_lag_traIT, 8_lag_stratZ50ndj01, 1_lag_nppc2SSTjfm, 1_lag_eurPSLjfm_2535_1"
LinearRegression,7,6,eurPSLjfm,shigh,873.5,2005.5,0.4,22,2,2,12.470832944590448,0.00852828458045288,2535,"['2_lag_samPSLann', '15_lag_stratZ50ndj02', '2_lag_traEU', '6_lag_cetTSjfm', '15_lag_nhSICsep', '2_lag_atlSICsep']","[0.07007733723373583, 0.09397562097788985, 0.10080447493904551, 0.08707009669092694, 0.1252092093279173, 0.10823659922982824]","2_lag_samPSLann, 15_lag_stratZ50ndj02, 2_lag_traEU, 6_lag_cetTSjfm, 15_lag_nhSICsep, 2_lag_atlSICsep_2535_2"
LinearRegression,8,6,eurPSLjfm,shigh,874.5,2005.5,0.4,23,3,6,12.815086604177711,0.0016088117520189592,2535,"['6_lag_atlSICsep', '16_lag_ismPRjja', '15_lag_stratZ50ndj02', '6_lag_cetTSjfm', '7_lag_stratZ50ndj04', '22_lag_yrvPRjja']","[0.15249447497690924, 0.06499915250015154, 0.09884371353439066, 0.10766166125600748, 0.11491444651364222, 0.04129207649425192]","6_lag_atlSICsep, 16_lag_ismPRjja, 15_lag_stratZ50ndj02, 6_lag_cetTSjfm, 7_lag_stratZ50ndj04, 22_lag_yrvPRjja_2535_6"
LinearRegression,9,6,eurPSLjfm,shigh,875.5,2005.5,0.4,24,4,4,12.701312831451546,0.012792951934797354,2535,"['20_lag_yrvPRjja', '7_lag_eapPSLjfm', '4_lag_nchinaPRjja', '23_lag_scpPSLjfm', '7_lag_stratZ50ndj04', '15_lag_stratZ50ndj02']","[0.059832464121611015, 0.190349217983709, 0.04809880140918256, 0.13136485076498777, 0.1419242511100164, 0.08939720990933869]","20_lag_yrvPRjja, 7_lag_eapPSLjfm, 4_lag_nchinaPRjja, 23_lag_scpPSLjfm, 7_lag_stratZ50ndj04, 15_lag_stratZ50ndj02_2535_4"
LinearRegression,10,6,eurPSLjfm,shigh,876.5,2005.5,0.4,25,5,9,12.470029018022464,0.02752810057078231,2535,"['9_lag_stratZ50ndj02', '15_lag_stratZ50ndj02', '24_lag_traBS', '16_lag_ismPRjja', '23_lag_scpPSLjfm', '24_lag_ensoSSTjfm']","[0.06192578144436485, 0.1072430035431466, 0.09627218560583212, 0.06135187582481195, 0.12565799935174843, 0.06558502017989669]","9_lag_stratZ50ndj02, 15_lag_stratZ50ndj02, 24_lag_traBS, 16_lag_ismPRjja, 23_lag_scpPSLjfm, 24_lag_ensoSSTjfm_2535_9"
