model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
RandomForestRegressor,0,6,eurPSLjfm,shigh,866.5,2005.5,0.6,15,5,5,13.395381522407366,-0.11165422730665452,1235,"['12_lag_pdoSSTjfm', '12_lag_nhSICjfm', '11_lag_nppc2SSTjfm', '5_lag_7_median_atlSICsep', '13_lag_arcTSjfm', '8_lag_nppc2SSTjfm']","[0.16784427989806538, 0.1593433410749946, 0.15001455420399656, 0.19512898247261276, 0.15077868608172634, 0.17689015626860433]","12_lag_pdoSSTjfm, 12_lag_nhSICjfm, 11_lag_nppc2SSTjfm, 5_lag_7_median_atlSICsep, 13_lag_arcTSjfm, 8_lag_nppc2SSTjfm_1235_5"
RandomForestRegressor,1,6,eurPSLjfm,shigh,867.5,2005.5,0.6,16,6,6,13.053181140843039,-0.011395342784727747,1235,"['11_lag_nppc2SSTjfm', '6_lag_9_median_scpPSLjfm', '6_lag_9_median_nppc2SSTjfm', '6_lag_eurPSLjfm', '8_lag_nppc2SSTjfm', '13_lag_arcTSjfm']","[0.17457352788328392, 0.17969260709347482, 0.16609061663600586, 0.17537924993451967, 0.1347380085134526, 0.16952598993926313]","11_lag_nppc2SSTjfm, 6_lag_9_median_scpPSLjfm, 6_lag_9_median_nppc2SSTjfm, 6_lag_eurPSLjfm, 8_lag_nppc2SSTjfm, 13_lag_arcTSjfm_1235_6"
RandomForestRegressor,2,6,eurPSLjfm,shigh,868.5,2005.5,0.6,17,7,7,13.146382113349349,-0.0553869560058266,1235,"['7_lag_11_median_mhfATL45', '12_lag_nhSICjfm', '12_lag_pdoSSTjfm', '7_lag_9_median_nppc2SSTjfm', '11_lag_nppc2SSTjfm', '13_lag_arcTSjfm']","[0.1720272763762432, 0.16122204866554038, 0.17693914117323056, 0.18377842622424836, 0.15284017271161401, 0.1531929348491236]","7_lag_11_median_mhfATL45, 12_lag_nhSICjfm, 12_lag_pdoSSTjfm, 7_lag_9_median_nppc2SSTjfm, 11_lag_nppc2SSTjfm, 13_lag_arcTSjfm_1235_7"
RandomForestRegressor,3,6,eurPSLjfm,shigh,869.5,2005.5,0.6,18,8,8,13.04464224059129,-0.02003501074105836,1235,"['12_lag_pdoSSTjfm', '11_lag_nppc2SSTjfm', '17_lag_traIT', '8_lag_nppc2SSTjfm', '13_lag_arcTSjfm', '8_lag_14_median_mhfATL60']","[0.18223921231059365, 0.15879173888538975, 0.16029863130475297, 0.1661128778180824, 0.15611279545556353, 0.17644474422561776]","12_lag_pdoSSTjfm, 11_lag_nppc2SSTjfm, 17_lag_traIT, 8_lag_nppc2SSTjfm, 13_lag_arcTSjfm, 8_lag_14_median_mhfATL60_1235_8"
RandomForestRegressor,4,6,eurPSLjfm,shigh,870.5,2005.5,0.6,19,9,9,12.901039855367884,0.00528296490985144,1235,"['9_lag_16_median_alpi', '17_lag_traIT', '9_lag_11_median_scpPSLjfm', '9_lag_13_median_gyreSSTjfm', '9_lag_18_median_ensoSSTjfm', '13_lag_arcTSjfm']","[0.14715408766130403, 0.1696381834421434, 0.17541568024999846, 0.1580893512288031, 0.1656132825350037, 0.18408941488274735]","9_lag_16_median_alpi, 17_lag_traIT, 9_lag_11_median_scpPSLjfm, 9_lag_13_median_gyreSSTjfm, 9_lag_18_median_ensoSSTjfm, 13_lag_arcTSjfm_1235_9"
RandomForestRegressor,5,6,eurPSLjfm,shigh,871.5,2005.5,0.6,20,10,10,12.743385359252706,0.0874078833228753,1235,"['10_lag_14_median_atlSICjfm', '17_lag_traIT', '19_lag_traIFC', '10_lag_16_median_stratZ50ndj01', '13_lag_arcTSjfm', '10_lag_19_median_stratZ50ndj02']","[0.1876007727646667, 0.17086736992051432, 0.17218474970322864, 0.1684601853052536, 0.15972314064496712, 0.14116378166136964]","10_lag_14_median_atlSICjfm, 17_lag_traIT, 19_lag_traIFC, 10_lag_16_median_stratZ50ndj01, 13_lag_arcTSjfm, 10_lag_19_median_stratZ50ndj02_1235_10"
RandomForestRegressor,6,6,eurPSLjfm,shigh,872.5,2005.5,0.6,21,11,11,13.15653887370203,-0.058516824740706366,1235,"['11_lag_13_median_pdoSSTjfm', '11_lag_14_median_nchinaPRjja', '11_lag_nppc2SSTjfm', '17_lag_traIT', '19_lag_traIFC', '13_lag_arcTSjfm']","[0.16557584969056677, 0.16707041273897244, 0.16297799753467174, 0.17302853877361293, 0.18255277855285623, 0.14879442270931986]","11_lag_13_median_pdoSSTjfm, 11_lag_14_median_nchinaPRjja, 11_lag_nppc2SSTjfm, 17_lag_traIT, 19_lag_traIFC, 13_lag_arcTSjfm_1235_11"
RandomForestRegressor,7,6,eurPSLjfm,shigh,873.5,2005.5,0.6,22,12,12,12.60556445170721,0.0026235907021655356,1235,"['17_lag_traIT', '12_lag_nhSICjfm', '12_lag_pdoSSTjfm', '19_lag_traIFC', '12_lag_16_median_ismPRjja', '12_lag_14_median_mhfATL60']","[0.1581599270949722, 0.16502790256955754, 0.1873517243754799, 0.1725166127553627, 0.1459639024438068, 0.17097993076082096]","17_lag_traIT, 12_lag_nhSICjfm, 12_lag_pdoSSTjfm, 19_lag_traIFC, 12_lag_16_median_ismPRjja, 12_lag_14_median_mhfATL60_1235_12"
RandomForestRegressor,8,6,eurPSLjfm,shigh,874.5,2005.5,0.6,23,13,13,12.968456202407467,-0.018769087310288098,1235,"['22_lag_eapPSLjfm', '13_lag_21_median_traIT', '22_lag_stratZ50ndj04', '17_lag_traIT', '19_lag_traIFC', '13_lag_arcTSjfm']","[0.14463048299990694, 0.16664644717765129, 0.17463621164426665, 0.1737556303167224, 0.1812445699820823, 0.15908665787937054]","22_lag_eapPSLjfm, 13_lag_21_median_traIT, 22_lag_stratZ50ndj04, 17_lag_traIT, 19_lag_traIFC, 13_lag_arcTSjfm_1235_13"
RandomForestRegressor,9,6,eurPSLjfm,shigh,875.5,2005.5,0.6,24,14,14,12.634284469940162,0.07361422774160128,1235,"['22_lag_stratZ50ndj04', '23_lag_scpPSLjfm', '17_lag_traIT', '19_lag_traIFC', '23_lag_nppc2SSTjfm', '14_lag_17_median_traIT']","[0.16289008373521358, 0.18146070847523404, 0.16569861841157393, 0.17787642735829082, 0.15314163392021715, 0.15893252809947053]","22_lag_stratZ50ndj04, 23_lag_scpPSLjfm, 17_lag_traIT, 19_lag_traIFC, 23_lag_nppc2SSTjfm, 14_lag_17_median_traIT_1235_14"
