model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,30,ginwSSTjfm,shigh,1714.5,2005.5,0.4,15,1,1,14.030779238882504,0.41147496946630374,1755,"['7_lag_ginwSSTjfm', '7_lag_traMC', '1_lag_traEC', '3_lag_ormenSSTjfm', '1_lag_traEU', '11_lag_traTLS', '7_lag_traTLS', '11_lag_neurTSjfm', '1_lag_stratZ50ndj03', '13_lag_eurPSLjfm', '11_lag_tripol3', '13_lag_ensoSSTjfm', '13_lag_eapPSLjfm', '6_lag_samPSLann', '1_lag_traFSC', '1_lag_traCA', '3_lag_stratZ50ndj02', '5_lag_stratZ50ndj03', '14_lag_stratZ50ndj03', '12_lag_arcTSjfm', '1_lag_scpPSLjfm', '4_lag_mhfIP30', '13_lag_yrvPRjja', '12_lag_samPSLann', '12_lag_traMC', '1_lag_atlSICsep', '10_lag_scpPSLjfm', '1_lag_stratZ50ndj01', '10_lag_stratZ50ndj03', '11_lag_stratZ50ndj03']","[0.240913834067685, 0.061893600422923994, 0.0857468728646362, 0.04768927328193617, 0.08325123974938654, 0.031999374763628505, 0.015975209998962236, 0.052628727101874044, 0.1471449082470984, 0.17400914802379183, 0.20034161418918087, 0.04472072554690804, 0.023103701815171084, 0.019461386586739165, 0.035015572835870035, 0.18656552290508546, 0.1040791756989365, 0.1695297299762559, 0.041755660560877275, 0.1905675523182753, 0.058534985716967386, 0.18427997424032044, 0.13116781835680283, 0.018095289327381053, 0.10549313570909472, 0.3466560536433457, 0.04239148538992325, 0.05429982447985457, 0.02972377381507753, 0.1090572349083665]","7_lag_ginwSSTjfm, 7_lag_traMC, 1_lag_traEC, 3_lag_ormenSSTjfm, 1_lag_traEU, 11_lag_traTLS, 7_lag_traTLS, 11_lag_neurTSjfm, 1_lag_stratZ50ndj03, 13_lag_eurPSLjfm, 11_lag_tripol3, 13_lag_ensoSSTjfm, 13_lag_eapPSLjfm, 6_lag_samPSLann, 1_lag_traFSC, 1_lag_traCA, 3_lag_stratZ50ndj02, 5_lag_stratZ50ndj03, 14_lag_stratZ50ndj03, 12_lag_arcTSjfm, 1_lag_scpPSLjfm, 4_lag_mhfIP30, 13_lag_yrvPRjja, 12_lag_samPSLann, 12_lag_traMC, 1_lag_atlSICsep, 10_lag_scpPSLjfm, 1_lag_stratZ50ndj01, 10_lag_stratZ50ndj03, 11_lag_stratZ50ndj03_1755_1"
LinearRegression,1,30,ginwSSTjfm,shigh,1715.5,2005.5,0.4,16,1,1,14.608380996006225,0.34533670620004614,1885,"['11_lag_neurTSjfm', '8_lag_stratZ50ndj01', '15_lag_eurPSLjfm', '6_lag_samPSLann', '3_lag_ormenSSTjfm', '15_lag_ginwSSTjfm', '7_lag_traMC', '13_lag_eapPSLjfm', '13_lag_ensoSSTjfm', '7_lag_traTLS', '7_lag_ginwSSTjfm', '1_lag_traDS', '14_lag_stratZ50ndj03', '1_lag_traCA', '1_lag_traEC', '1_lag_traEU', '5_lag_stratZ50ndj03', '1_lag_scpPSLjfm', '3_lag_stratZ50ndj02', '1_lag_traFSC', '13_lag_yrvPRjja', '1_lag_atlSICsep', '12_lag_arcTSjfm', '12_lag_traMC', '4_lag_mhfIP30', '12_lag_samPSLann', '1_lag_stratZ50ndj01', '10_lag_scpPSLjfm', '10_lag_stratZ50ndj03', '11_lag_stratZ50ndj03']","[0.08958061907754772, 0.09938530325730346, 0.07176771439219316, 0.07120335367350447, 0.03050819220177688, 0.07771197314748879, 0.02962763619928865, 0.02928460453167381, 0.07871509723163063, 0.023793225967051634, 0.27243877039233205, 0.211601320479851, 0.0420489512945797, 0.1586094612717604, 0.08673396985364078, 0.04422508314926426, 0.10587623820904105, 0.13188387188806414, 0.11342497330450856, 0.12799331718166768, 0.07469655880315354, 0.2585096268589404, 0.16720751662695593, 0.1853004736552121, 0.1378374455799831, 0.04339089190055816, 0.0646850320993578, 0.07356701616068399, 0.022451513885820586, 0.10663543296664729]","11_lag_neurTSjfm, 8_lag_stratZ50ndj01, 15_lag_eurPSLjfm, 6_lag_samPSLann, 3_lag_ormenSSTjfm, 15_lag_ginwSSTjfm, 7_lag_traMC, 13_lag_eapPSLjfm, 13_lag_ensoSSTjfm, 7_lag_traTLS, 7_lag_ginwSSTjfm, 1_lag_traDS, 14_lag_stratZ50ndj03, 1_lag_traCA, 1_lag_traEC, 1_lag_traEU, 5_lag_stratZ50ndj03, 1_lag_scpPSLjfm, 3_lag_stratZ50ndj02, 1_lag_traFSC, 13_lag_yrvPRjja, 1_lag_atlSICsep, 12_lag_arcTSjfm, 12_lag_traMC, 4_lag_mhfIP30, 12_lag_samPSLann, 1_lag_stratZ50ndj01, 10_lag_scpPSLjfm, 10_lag_stratZ50ndj03, 11_lag_stratZ50ndj03_1885_1"
LinearRegression,2,30,ginwSSTjfm,shigh,1716.5,2005.5,0.4,17,1,1,15.843243315527449,0.3167944504182379,2015,"['1_lag_cetTSjfm', '7_lag_traTLS', '1_lag_scpPSLjfm', '3_lag_ormenSSTjfm', '15_lag_scpPSLjfm', '13_lag_eapPSLjfm', '6_lag_samPSLann', '1_lag_traIFC', '15_lag_eurPSLjfm', '13_lag_yrvPRjja', '1_lag_traCA', '1_lag_traDS', '5_lag_stratZ50ndj03', '7_lag_ginwSSTjfm', '13_lag_eurPSLjfm', '3_lag_stratZ50ndj02', '11_lag_tripol3', '1_lag_traFSC', '8_lag_stratZ50ndj01', '15_lag_tripol3', '12_lag_arcTSjfm', '12_lag_samPSLann', '14_lag_stratZ50ndj03', '12_lag_traMC', '16_lag_stratZ50ndj01', '4_lag_mhfIP30', '10_lag_scpPSLjfm', '1_lag_stratZ50ndj01', '10_lag_stratZ50ndj03', '11_lag_stratZ50ndj03']","[0.1612206731524564, 0.04186264110689977, 0.09311041722646254, 0.019184291121096236, 0.12299341814984528, 0.06468191820439292, 0.07852460991290847, 0.9240020590989115, 0.05112253378010782, 0.10681412902685947, 1.0655207999930412, 1.511502241694534, 0.16108039836169477, 0.38419532333137496, 0.11471875934574748, 0.01610842958898049, 0.1583859424823904, 1.1542757376616586, 0.07863743822281845, 0.20996609263585617, 0.15107983819376802, 0.019151683891040952, 0.018035512170069493, 0.10953612260833996, 0.12221830878979119, 0.09079921119975731, 0.10920264387619749, 0.0404772886013072, 0.047713164307279524, 0.057644654877381005]","1_lag_cetTSjfm, 7_lag_traTLS, 1_lag_scpPSLjfm, 3_lag_ormenSSTjfm, 15_lag_scpPSLjfm, 13_lag_eapPSLjfm, 6_lag_samPSLann, 1_lag_traIFC, 15_lag_eurPSLjfm, 13_lag_yrvPRjja, 1_lag_traCA, 1_lag_traDS, 5_lag_stratZ50ndj03, 7_lag_ginwSSTjfm, 13_lag_eurPSLjfm, 3_lag_stratZ50ndj02, 11_lag_tripol3, 1_lag_traFSC, 8_lag_stratZ50ndj01, 15_lag_tripol3, 12_lag_arcTSjfm, 12_lag_samPSLann, 14_lag_stratZ50ndj03, 12_lag_traMC, 16_lag_stratZ50ndj01, 4_lag_mhfIP30, 10_lag_scpPSLjfm, 1_lag_stratZ50ndj01, 10_lag_stratZ50ndj03, 11_lag_stratZ50ndj03_2015_1"
LinearRegression,3,30,ginwSSTjfm,shigh,1717.5,2005.5,0.4,18,1,1,14.260998258406739,0.4418425141721563,2145,"['5_lag_mhfATL30', '1_lag_traIFC', '7_lag_traTLS', '1_lag_atlSICsep', '7_lag_traMC', '6_lag_samPSLann', '11_lag_tripol3', '16_lag_traFS', '12_lag_arcTSjfm', '3_lag_ormenSSTjfm', '13_lag_eapPSLjfm', '13_lag_eurPSLjfm', '13_lag_yrvPRjja', '7_lag_ginwSSTjfm', '5_lag_stratZ50ndj03', '10_lag_scpPSLjfm', '1_lag_traDS', '8_lag_stratZ50ndj01', '1_lag_traFSC', '12_lag_samPSLann', '14_lag_stratZ50ndj03', '4_lag_mhfIP30', '15_lag_tripol3', '1_lag_stratZ50ndj01', '12_lag_traMC', '3_lag_stratZ50ndj02', '17_lag_traMC', '16_lag_stratZ50ndj01', '10_lag_stratZ50ndj03', '11_lag_stratZ50ndj03']","[0.2626663615591155, 0.25116055100607937, 0.02507781893522744, 0.2566283619947406, 0.08888503097216525, 0.06819718166536291, 0.2224590654260054, 0.13534780515979733, 0.25561926178406796, 0.014092391846374234, 0.0497391899631563, 0.2013089707956125, 0.10486781346408744, 0.14431760867475651, 0.1709405905246156, 0.01243003879703761, 0.07035490847849629, 0.06221552905203063, 0.1004119134506225, 0.06723771957038974, 0.023242012455279265, 0.06791517063976685, 0.25066108176761764, 0.007838544988944145, 0.06395358623813766, 0.12717694133274682, 0.1895494882539295, 0.11517251627430822, 0.04388208275794543, 0.03827313642934432]","5_lag_mhfATL30, 1_lag_traIFC, 7_lag_traTLS, 1_lag_atlSICsep, 7_lag_traMC, 6_lag_samPSLann, 11_lag_tripol3, 16_lag_traFS, 12_lag_arcTSjfm, 3_lag_ormenSSTjfm, 13_lag_eapPSLjfm, 13_lag_eurPSLjfm, 13_lag_yrvPRjja, 7_lag_ginwSSTjfm, 5_lag_stratZ50ndj03, 10_lag_scpPSLjfm, 1_lag_traDS, 8_lag_stratZ50ndj01, 1_lag_traFSC, 12_lag_samPSLann, 14_lag_stratZ50ndj03, 4_lag_mhfIP30, 15_lag_tripol3, 1_lag_stratZ50ndj01, 12_lag_traMC, 3_lag_stratZ50ndj02, 17_lag_traMC, 16_lag_stratZ50ndj01, 10_lag_stratZ50ndj03, 11_lag_stratZ50ndj03_2145_1"
LinearRegression,4,30,ginwSSTjfm,shigh,1718.5,2005.5,0.4,19,1,1,15.148702305103827,0.33016203201570626,2275,"['11_lag_tripol3', '6_lag_samPSLann', '5_lag_mhfATL30', '11_lag_traTLS', '8_lag_stratZ50ndj01', '3_lag_ormenSSTjfm', '1_lag_stratZ50ndj01', '10_lag_scpPSLjfm', '16_lag_traFS', '7_lag_traMC', '1_lag_atlSICsep', '1_lag_cetTSjfm', '13_lag_yrvPRjja', '13_lag_eurPSLjfm', '1_lag_stratZ50ndj03', '15_lag_eurPSLjfm', '12_lag_samPSLann', '5_lag_stratZ50ndj03', '15_lag_tripol3', '4_lag_mhfIP30', '7_lag_ginwSSTjfm', '14_lag_stratZ50ndj04', '14_lag_stratZ50ndj03', '17_lag_traMC', '12_lag_traMC', '13_lag_eapPSLjfm', '3_lag_stratZ50ndj02', '16_lag_stratZ50ndj01', '10_lag_stratZ50ndj03', '11_lag_stratZ50ndj03']","[0.16495476359824643, 0.07424782646709399, 0.21698860170697032, 0.041363944637779204, 0.08317762411243841, 0.050416687430033, 0.13007103499820477, 0.07083934953631277, 0.07163264811263548, 0.1182931216166391, 0.24697155942483978, 0.05703273121881972, 0.0752224795674353, 0.12839571056476495, 0.10137914779024737, 0.010362358293958214, 0.02080483086759949, 0.1362720956685327, 0.1342653358570735, 0.11623050641766411, 0.2524025711386927, 0.2980036873804341, 0.06445927032460527, 0.1709781744848638, 0.13546347624164473, 0.03557204165702658, 0.10683952076640742, 0.09039503709729395, 0.04014562204930939, 0.07776503480584522]","11_lag_tripol3, 6_lag_samPSLann, 5_lag_mhfATL30, 11_lag_traTLS, 8_lag_stratZ50ndj01, 3_lag_ormenSSTjfm, 1_lag_stratZ50ndj01, 10_lag_scpPSLjfm, 16_lag_traFS, 7_lag_traMC, 1_lag_atlSICsep, 1_lag_cetTSjfm, 13_lag_yrvPRjja, 13_lag_eurPSLjfm, 1_lag_stratZ50ndj03, 15_lag_eurPSLjfm, 12_lag_samPSLann, 5_lag_stratZ50ndj03, 15_lag_tripol3, 4_lag_mhfIP30, 7_lag_ginwSSTjfm, 14_lag_stratZ50ndj04, 14_lag_stratZ50ndj03, 17_lag_traMC, 12_lag_traMC, 13_lag_eapPSLjfm, 3_lag_stratZ50ndj02, 16_lag_stratZ50ndj01, 10_lag_stratZ50ndj03, 11_lag_stratZ50ndj03_2275_1"
LinearRegression,5,30,ginwSSTjfm,shigh,1719.5,2005.5,0.4,20,1,1,15.239800766736003,0.3287536065572374,2405,"['1_lag_traFSC', '11_lag_tripol3', '8_lag_stratZ50ndj01', '11_lag_traTLS', '16_lag_traFS', '1_lag_stratZ50ndj01', '3_lag_ormenSSTjfm', '5_lag_mhfATL30', '10_lag_scpPSLjfm', '5_lag_stratZ50ndj03', '12_lag_samPSLann', '13_lag_yrvPRjja', '15_lag_eurPSLjfm', '15_lag_tripol3', '7_lag_traMC', '7_lag_ginwSSTjfm', '1_lag_stratZ50ndj03', '4_lag_mhfIP30', '1_lag_cetTSjfm', '14_lag_stratZ50ndj03', '13_lag_eurPSLjfm', '1_lag_atlSICsep', '17_lag_traMC', '14_lag_stratZ50ndj04', '12_lag_traMC', '13_lag_eapPSLjfm', '3_lag_stratZ50ndj02', '16_lag_stratZ50ndj01', '10_lag_stratZ50ndj03', '11_lag_stratZ50ndj03']","[0.04473496790373722, 0.1851093275570443, 0.0724976886290585, 0.0718212851009329, 0.07435713514735588, 0.11643408422033817, 0.06844440588586276, 0.19443919876603846, 0.07854595282086277, 0.1433083733068837, 0.035045400324406284, 0.08212895795312601, 0.013910484304592647, 0.12742583021872375, 0.11892975153688375, 0.24076687535173713, 0.109752013991129, 0.08727942781282236, 0.06203543322534276, 0.0562844182716949, 0.11285171360485124, 0.28238953203337863, 0.165048273939296, 0.3454878999957456, 0.14871800459152887, 0.031114936349552112, 0.08925315087456254, 0.08370146978483069, 0.03711031190521269, 0.07117598720601061]","1_lag_traFSC, 11_lag_tripol3, 8_lag_stratZ50ndj01, 11_lag_traTLS, 16_lag_traFS, 1_lag_stratZ50ndj01, 3_lag_ormenSSTjfm, 5_lag_mhfATL30, 10_lag_scpPSLjfm, 5_lag_stratZ50ndj03, 12_lag_samPSLann, 13_lag_yrvPRjja, 15_lag_eurPSLjfm, 15_lag_tripol3, 7_lag_traMC, 7_lag_ginwSSTjfm, 1_lag_stratZ50ndj03, 4_lag_mhfIP30, 1_lag_cetTSjfm, 14_lag_stratZ50ndj03, 13_lag_eurPSLjfm, 1_lag_atlSICsep, 17_lag_traMC, 14_lag_stratZ50ndj04, 12_lag_traMC, 13_lag_eapPSLjfm, 3_lag_stratZ50ndj02, 16_lag_stratZ50ndj01, 10_lag_stratZ50ndj03, 11_lag_stratZ50ndj03_2405_1"
LinearRegression,6,30,ginwSSTjfm,shigh,1720.5,2005.5,0.4,21,1,1,15.471232052635987,0.3113596487611452,2535,"['1_lag_traDS', '7_lag_ormenSSTjfm', '1_lag_neurTSjfm', '10_lag_scpPSLjfm', '17_lag_stratZ50ndj03', '5_lag_mhfATL30', '1_lag_stratZ50ndj03', '1_lag_traFSC', '15_lag_tripol3', '11_lag_traTLS', '13_lag_yrvPRjja', '3_lag_ormenSSTjfm', '5_lag_stratZ50ndj03', '7_lag_traMC', '14_lag_stratZ50ndj03', '4_lag_mhfIP30', '17_lag_traMC', '1_lag_atlSICsep', '1_lag_cetTSjfm', '7_lag_ginwSSTjfm', '20_lag_alpi', '12_lag_samPSLann', '13_lag_eurPSLjfm', '12_lag_traMC', '14_lag_stratZ50ndj04', '13_lag_eapPSLjfm', '10_lag_stratZ50ndj03', '3_lag_stratZ50ndj02', '16_lag_stratZ50ndj01', '11_lag_stratZ50ndj03']","[0.2354904411863541, 0.08481361740993784, 0.04133887325994778, 0.16276996636685218, 0.00597407739281064, 0.1842317506659128, 0.10302018587112534, 0.04581417820790623, 0.1622311549628784, 0.1050166422970431, 0.11493408789269467, 0.0293517543605932, 0.13209386513915308, 0.11446006344764705, 0.04518566364821102, 0.06633130994046532, 0.1133287121102935, 0.2685695377315964, 0.055139498749990884, 0.22074964829747817, 0.03421342851534737, 0.03416094774016208, 0.12578876288579915, 0.12834252949796487, 0.32313277620217395, 0.04192436894967136, 0.0016846073432337486, 0.11087213671050185, 0.09996770486517341, 0.12202921909369491]","1_lag_traDS, 7_lag_ormenSSTjfm, 1_lag_neurTSjfm, 10_lag_scpPSLjfm, 17_lag_stratZ50ndj03, 5_lag_mhfATL30, 1_lag_stratZ50ndj03, 1_lag_traFSC, 15_lag_tripol3, 11_lag_traTLS, 13_lag_yrvPRjja, 3_lag_ormenSSTjfm, 5_lag_stratZ50ndj03, 7_lag_traMC, 14_lag_stratZ50ndj03, 4_lag_mhfIP30, 17_lag_traMC, 1_lag_atlSICsep, 1_lag_cetTSjfm, 7_lag_ginwSSTjfm, 20_lag_alpi, 12_lag_samPSLann, 13_lag_eurPSLjfm, 12_lag_traMC, 14_lag_stratZ50ndj04, 13_lag_eapPSLjfm, 10_lag_stratZ50ndj03, 3_lag_stratZ50ndj02, 16_lag_stratZ50ndj01, 11_lag_stratZ50ndj03_2535_1"
LinearRegression,7,30,ginwSSTjfm,shigh,1721.5,2005.5,0.4,22,1,1,16.027736248670823,0.2895069234857268,2665,"['21_lag_pdoSSTjfm', '5_lag_mhfATL30', '11_lag_traTLS', '7_lag_traMC', '7_lag_ormenSSTjfm', '21_lag_yrvPRjja', '13_lag_yrvPRjja', '21_lag_stratZ50ndj03', '1_lag_traFSC', '3_lag_stratZ50ndj01', '7_lag_stratZ50ndj02', '3_lag_ormenSSTjfm', '1_lag_cetTSjfm', '7_lag_ginwSSTjfm', '12_lag_arcTSjfm', '15_lag_tripol3', '12_lag_traMC', '1_lag_atlSICsep', '21_lag_stratZ50ndj02', '14_lag_stratZ50ndj04', '13_lag_eurPSLjfm', '17_lag_traMC', '5_lag_stratZ50ndj03', '16_lag_stratZ50ndj01', '12_lag_samPSLann', '10_lag_stratZ50ndj03', '13_lag_eapPSLjfm', '3_lag_stratZ50ndj02', '17_lag_stratZ50ndj03', '11_lag_stratZ50ndj03']","[0.22868608183255676, 0.12359472600122007, 0.219392388827762, 0.1443547337675054, 0.16062858080179238, 0.043866678899227664, 0.09676791768634964, 0.014379679558986584, 0.17379959853694535, 0.1964662864381767, 0.11575178028672209, 0.11298005471504627, 0.011806936756733067, 0.10548765673356134, 0.44400647567285484, 0.21747175456596182, 0.1326380831675799, 0.32793660009134973, 0.006786111167633807, 0.27482850370892054, 0.11570549361795907, 0.18283165409065366, 0.17517411173314423, 0.11735033164179445, 0.002849373927041106, 0.07338497832650337, 0.06490464487443781, 0.11959530809918036, 0.06207517021121474, 0.034689331008319335]","21_lag_pdoSSTjfm, 5_lag_mhfATL30, 11_lag_traTLS, 7_lag_traMC, 7_lag_ormenSSTjfm, 21_lag_yrvPRjja, 13_lag_yrvPRjja, 21_lag_stratZ50ndj03, 1_lag_traFSC, 3_lag_stratZ50ndj01, 7_lag_stratZ50ndj02, 3_lag_ormenSSTjfm, 1_lag_cetTSjfm, 7_lag_ginwSSTjfm, 12_lag_arcTSjfm, 15_lag_tripol3, 12_lag_traMC, 1_lag_atlSICsep, 21_lag_stratZ50ndj02, 14_lag_stratZ50ndj04, 13_lag_eurPSLjfm, 17_lag_traMC, 5_lag_stratZ50ndj03, 16_lag_stratZ50ndj01, 12_lag_samPSLann, 10_lag_stratZ50ndj03, 13_lag_eapPSLjfm, 3_lag_stratZ50ndj02, 17_lag_stratZ50ndj03, 11_lag_stratZ50ndj03_2665_1"
LinearRegression,8,30,ginwSSTjfm,shigh,1722.5,2005.5,0.4,23,1,1,16.041448737755246,0.25022816887518884,2795,"['7_lag_ormenSSTjfm', '15_lag_eurPSLjfm', '3_lag_stratZ50ndj01', '15_lag_ginwSSTjfm', '19_lag_ismPRjja', '13_lag_ensoSSTjfm', '12_lag_arcTSjfm', '21_lag_stratZ50ndj02', '7_lag_stratZ50ndj02', '19_lag_eurPSLjfm', '9_lag_ensoSSTjfm', '15_lag_tripol3', '13_lag_yrvPRjja', '1_lag_atlSICsep', '7_lag_ginwSSTjfm', '22_lag_alpi', '5_lag_mhfATL30', '13_lag_eapPSLjfm', '6_lag_ismPRjja', '12_lag_traMC', '3_lag_stratZ50ndj02', '17_lag_traMC', '5_lag_stratZ50ndj03', '13_lag_eurPSLjfm', '10_lag_stratZ50ndj03', '14_lag_stratZ50ndj04', '12_lag_samPSLann', '16_lag_stratZ50ndj01', '17_lag_stratZ50ndj03', '11_lag_stratZ50ndj03']","[0.19618611457831944, 0.04680117575208739, 0.16196986670003802, 0.08831384914038473, 0.07939161870835366, 0.13732132154143695, 0.3437485548950188, 0.09792030170823363, 0.11793029384052035, 0.12132250660417797, 0.16070432126498568, 0.22637609824884716, 0.10909035012578362, 0.24553006842871267, 0.08735929328483406, 0.052010346436266855, 0.11738039291027302, 0.03688636312437667, 0.15447664121344043, 0.12825116651629137, 0.11686467407299898, 0.09114646931144191, 0.09999253234908378, 0.12568295311497216, 0.07670272543712986, 0.19284727668616503, 0.0486480780477742, 0.0971526605158761, 0.07065164089369427, 0.05867585197034918]","7_lag_ormenSSTjfm, 15_lag_eurPSLjfm, 3_lag_stratZ50ndj01, 15_lag_ginwSSTjfm, 19_lag_ismPRjja, 13_lag_ensoSSTjfm, 12_lag_arcTSjfm, 21_lag_stratZ50ndj02, 7_lag_stratZ50ndj02, 19_lag_eurPSLjfm, 9_lag_ensoSSTjfm, 15_lag_tripol3, 13_lag_yrvPRjja, 1_lag_atlSICsep, 7_lag_ginwSSTjfm, 22_lag_alpi, 5_lag_mhfATL30, 13_lag_eapPSLjfm, 6_lag_ismPRjja, 12_lag_traMC, 3_lag_stratZ50ndj02, 17_lag_traMC, 5_lag_stratZ50ndj03, 13_lag_eurPSLjfm, 10_lag_stratZ50ndj03, 14_lag_stratZ50ndj04, 12_lag_samPSLann, 16_lag_stratZ50ndj01, 17_lag_stratZ50ndj03, 11_lag_stratZ50ndj03_2795_1"
LinearRegression,9,30,ginwSSTjfm,shigh,1723.5,2005.5,0.4,24,1,1,15.377264646940311,0.24159062534460637,2925,"['19_lag_ismPRjja', '18_lag_yrvPRjja', '21_lag_pdoSSTjfm', '12_lag_arcTSjfm', '10_lag_stratZ50ndj03', '21_lag_stratZ50ndj02', '22_lag_traEU', '1_lag_shSICmar', '9_lag_ensoSSTjfm', '5_lag_AMOCann', '13_lag_eapPSLjfm', '19_lag_eurPSLjfm', '15_lag_tripol3', '17_lag_yrvPRjja', '1_lag_atlSICsep', '7_lag_stratZ50ndj02', '12_lag_traMC', '12_lag_samPSLann', '13_lag_eurPSLjfm', '5_lag_stratZ50ndj03', '3_lag_stratZ50ndj01', '17_lag_traMC', '14_lag_stratZ50ndj04', '5_lag_mhfATL30', '7_lag_ginwSSTjfm', '3_lag_stratZ50ndj02', '6_lag_ismPRjja', '16_lag_stratZ50ndj01', '17_lag_stratZ50ndj03', '11_lag_stratZ50ndj03']","[0.07832478197428731, 0.05953752067890264, 0.1476491022225335, 0.28966838890371893, 0.10794101814568613, 0.1108726969968479, 0.015270490364211957, 0.15754251335291572, 0.1400189036153613, 0.10927872946747862, 0.023570428817804155, 0.15931756039158904, 0.23196639944992614, 0.0078007082494066645, 0.40172089065919114, 0.13588355835983945, 0.08330155058771278, 0.013737082135912057, 0.12530905789554073, 0.09962303083835577, 0.11933465862119011, 0.053219428267260525, 0.1881872930019375, 0.2629882313798833, 0.13152064987930356, 0.06217550319834186, 0.10144061790755204, 0.10121635857920176, 0.027927147502720694, 0.07187054720796027]","19_lag_ismPRjja, 18_lag_yrvPRjja, 21_lag_pdoSSTjfm, 12_lag_arcTSjfm, 10_lag_stratZ50ndj03, 21_lag_stratZ50ndj02, 22_lag_traEU, 1_lag_shSICmar, 9_lag_ensoSSTjfm, 5_lag_AMOCann, 13_lag_eapPSLjfm, 19_lag_eurPSLjfm, 15_lag_tripol3, 17_lag_yrvPRjja, 1_lag_atlSICsep, 7_lag_stratZ50ndj02, 12_lag_traMC, 12_lag_samPSLann, 13_lag_eurPSLjfm, 5_lag_stratZ50ndj03, 3_lag_stratZ50ndj01, 17_lag_traMC, 14_lag_stratZ50ndj04, 5_lag_mhfATL30, 7_lag_ginwSSTjfm, 3_lag_stratZ50ndj02, 6_lag_ismPRjja, 16_lag_stratZ50ndj01, 17_lag_stratZ50ndj03, 11_lag_stratZ50ndj03_2925_1"
