model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,glTSjfm,shigh,1714.5,2005.5,0.4,15,5,5,40.2972380320928,-0.5454086802648906,1235,"['5_lag_9_median_naoPSLjfm', '13_lag_neurTSjfm', '12_lag_ensoSSTjfm', '12_lag_nchinaPRjja', '6_lag_neurTSjfm', '5_lag_traEC', '12_lag_amo3', '13_lag_stratZ50ndj02', '11_lag_shTSjfm', '5_lag_glTSjfm']","[1.4035256558456783, 1.6072053808804725, 5.208180198544863, 1.0727125160301192, 5.705222524955493, 5.310222935360396, 2.579449722168242, 0.712480789731897, 4.201218959633735, 5.938340038905103]","5_lag_9_median_naoPSLjfm, 13_lag_neurTSjfm, 12_lag_ensoSSTjfm, 12_lag_nchinaPRjja, 6_lag_neurTSjfm, 5_lag_traEC, 12_lag_amo3, 13_lag_stratZ50ndj02, 11_lag_shTSjfm, 5_lag_glTSjfm_1235_5"
LRforcedPSO,1,10,glTSjfm,shigh,1715.5,2005.5,0.4,16,6,6,38.24540910966402,-0.5469089170378113,1235,"['6_lag_11_median_ismPRjja', '6_lag_13_median_traEU', '6_lag_9_median_wnorPRjfm', '6_lag_8_median_tripol2', '6_lag_9_median_amo3', '12_lag_ismPRjja', '6_lag_12_median_pdoSSTjfm', '6_lag_tripol2', '6_lag_tripol1', '6_lag_15_median_nchinaPRjja']","[0.28806079107593163, 1.8318542583946513, 3.275283143051288, 2.4762734038569274, 0.6433966954032595, 2.0753728745429108, 2.655237174161744, 8.69145511252423, 6.607870533922872, 2.9233274145557537]","6_lag_11_median_ismPRjja, 6_lag_13_median_traEU, 6_lag_9_median_wnorPRjfm, 6_lag_8_median_tripol2, 6_lag_9_median_amo3, 12_lag_ismPRjja, 6_lag_12_median_pdoSSTjfm, 6_lag_tripol2, 6_lag_tripol1, 6_lag_15_median_nchinaPRjja_1235_6"
LRforcedPSO,2,10,glTSjfm,shigh,1716.5,2005.5,0.4,17,7,7,22.96337029746494,-0.054416767045468724,1235,"['7_lag_13_median_satlSSTjfm', '14_lag_amo1', '7_lag_15_median_nhSICsep', '11_lag_atlSICjfm', '7_lag_11_median_amo1', '9_lag_eapPSLjfm', '9_lag_traDS', '7_lag_tripol2', '8_lag_tripol2', '7_lag_9_median_mhfATL45']","[4.084904488795365, 5.73939616481516, 6.224331347640469, 7.883709179177538, 0.39649141751873884, 1.8708166730860896, 7.638613974725976, 0.2578911935192991, 2.3451953358681656, 4.953710780940412]","7_lag_13_median_satlSSTjfm, 14_lag_amo1, 7_lag_15_median_nhSICsep, 11_lag_atlSICjfm, 7_lag_11_median_amo1, 9_lag_eapPSLjfm, 9_lag_traDS, 7_lag_tripol2, 8_lag_tripol2, 7_lag_9_median_mhfATL45_1235_7"
LRforcedPSO,3,10,glTSjfm,shigh,1717.5,2005.5,0.4,18,8,8,24.871970651495932,0.15179524063037464,1235,"['17_lag_shSICsep', '8_lag_13_median_alpi', '8_lag_9_median_traTLS', '8_lag_9_median_ginwSSTjfm', '8_lag_16_median_atlSICsep', '8_lag_12_median_atlSICsep', '10_lag_traWP', '8_lag_traCA', '8_lag_10_median_atlSICsep', '8_lag_10_median_mhfATL45']","[4.4334171857981985, 0.5635282157598542, 3.0686137949270726, 6.347493296670952, 3.350909282193082, 2.8565377829793803, 5.779934317599964, 2.928988697871125, 4.946969867964155, 5.189193111325421]","17_lag_shSICsep, 8_lag_13_median_alpi, 8_lag_9_median_traTLS, 8_lag_9_median_ginwSSTjfm, 8_lag_16_median_atlSICsep, 8_lag_12_median_atlSICsep, 10_lag_traWP, 8_lag_traCA, 8_lag_10_median_atlSICsep, 8_lag_10_median_mhfATL45_1235_8"
LRforcedPSO,4,10,glTSjfm,shigh,1718.5,2005.5,0.4,19,9,9,26.167260768651477,0.027198716854972486,1235,"['15_lag_stratZ50ndj03', '9_lag_16_median_stratZ50ndj03', '9_lag_16_median_stratZ50ndj04', '9_lag_11_median_traMC', '18_lag_amo3', '16_lag_traMC', '13_lag_traFS', '16_lag_mhfIP30', '16_lag_arcTSjfm', '9_lag_17_median_tripol2']","[4.470525567713787, 1.1949450010432638, 2.177191913018188, 2.202304036756275, 1.9384440805397123, 0.6991834414571905, 5.7472683146905545, 3.5643723056894805, 3.0711076636345958, 0.4725578657171976]","15_lag_stratZ50ndj03, 9_lag_16_median_stratZ50ndj03, 9_lag_16_median_stratZ50ndj04, 9_lag_11_median_traMC, 18_lag_amo3, 16_lag_traMC, 13_lag_traFS, 16_lag_mhfIP30, 16_lag_arcTSjfm, 9_lag_17_median_tripol2_1235_9"
LRforcedPSO,5,10,glTSjfm,shigh,1719.5,2005.5,0.4,20,10,10,30.498949031052856,-0.3532564545287875,1235,"['18_lag_neurTSjfm', '18_lag_amo3', '10_lag_17_median_traFB', '10_lag_15_median_ismPRjja', '18_lag_nhSICjfm', '15_lag_cetTSjfm', '10_lag_12_median_traEU', '15_lag_traFB', '10_lag_17_median_tripol2', '19_lag_atlSICjfm']","[4.245887452034946, 2.2260393512944017, 5.591581335066795, 2.8458333202303816, 1.1855879792509079, 3.4488509696745737, 7.653552266049384, 8.913127667586888, 3.1149838200957447, 2.434104517542206]","18_lag_neurTSjfm, 18_lag_amo3, 10_lag_17_median_traFB, 10_lag_15_median_ismPRjja, 18_lag_nhSICjfm, 15_lag_cetTSjfm, 10_lag_12_median_traEU, 15_lag_traFB, 10_lag_17_median_tripol2, 19_lag_atlSICjfm_1235_10"
LRforcedPSO,6,10,glTSjfm,shigh,1720.5,2005.5,0.4,21,11,11,40.349696434304725,-0.6433941227131318,1235,"['11_lag_19_median_labSSTjfm', '20_lag_amoSSTmjjaso', '11_lag_13_median_nhTSjfm', '11_lag_13_median_traFS', '13_lag_ismPRjja', '14_lag_atlSICjfm', '11_lag_13_median_seurTSjfm', '11_lag_18_median_traFSC', '11_lag_15_median_neurTSjfm', '11_lag_16_median_pdoSSTjfm']","[1.1953494910812275, 3.503823118221046, 9.439748955514254, 4.497374036646562, 5.129065074480687, 3.159119866638105, 0.7113084946113819, 3.0685779157095148, 3.6245922152760794, 2.702446646822983]","11_lag_19_median_labSSTjfm, 20_lag_amoSSTmjjaso, 11_lag_13_median_nhTSjfm, 11_lag_13_median_traFS, 13_lag_ismPRjja, 14_lag_atlSICjfm, 11_lag_13_median_seurTSjfm, 11_lag_18_median_traFSC, 11_lag_15_median_neurTSjfm, 11_lag_16_median_pdoSSTjfm_1235_11"
LRforcedPSO,7,10,glTSjfm,shigh,1721.5,2005.5,0.4,22,12,12,16.639077848634237,0.3638908805513824,1235,"['12_lag_traFB', '12_lag_15_median_amo1', '20_lag_traIFC', '12_lag_traBS', '14_lag_cetTSjfm', '12_lag_18_median_traFB', '12_lag_18_median_traDS', '19_lag_samPSLann', '12_lag_ormenSSTjfm', '14_lag_yrvPRjja']","[2.2631790242699275, 1.207329273130906, 2.865397564853838, 1.0218561133588757, 2.444659428951251, 3.7622518952310102, 7.392615415633465, 0.3420111965406427, 4.710514019387972, 1.0618592660878683]","12_lag_traFB, 12_lag_15_median_amo1, 20_lag_traIFC, 12_lag_traBS, 14_lag_cetTSjfm, 12_lag_18_median_traFB, 12_lag_18_median_traDS, 19_lag_samPSLann, 12_lag_ormenSSTjfm, 14_lag_yrvPRjja_1235_12"
LRforcedPSO,8,10,glTSjfm,shigh,1722.5,2005.5,0.4,23,13,13,20.59227150192543,-0.0303701090857128,1235,"['13_lag_19_median_shSICmar', '13_lag_22_median_glTSjfm', '18_lag_nhSICsep', '13_lag_18_median_seurTSjfm', '20_lag_traFSC', '13_lag_21_median_shSICmar', '13_lag_22_median_tripol2', '13_lag_18_median_eurPSLjfm', '13_lag_18_median_mhfATL45', '20_lag_gyreSSTjfm']","[2.1508377639201015, 5.776103152550085, 5.749966599829694, 1.2386956641995628, 2.1139462699302296, 7.956799963829342, 6.867470759709673, 0.3471611407617523, 2.13778137476925, 2.7419363464907693]","13_lag_19_median_shSICmar, 13_lag_22_median_glTSjfm, 18_lag_nhSICsep, 13_lag_18_median_seurTSjfm, 20_lag_traFSC, 13_lag_21_median_shSICmar, 13_lag_22_median_tripol2, 13_lag_18_median_eurPSLjfm, 13_lag_18_median_mhfATL45, 20_lag_gyreSSTjfm_1235_13"
LRforcedPSO,9,10,glTSjfm,shigh,1723.5,2005.5,0.4,24,14,14,41.242433886505594,-0.6760478427226878,1235,"['20_lag_eapPSLjfm', '14_lag_23_median_wnorPRjfm', '14_lag_23_median_ginwSSTjfm', '22_lag_nhSICjfm', '22_lag_ormenSSTjfm', '14_lag_15_median_arcTSjfm', '23_lag_nhTSjfm', '14_lag_17_median_amo2', '19_lag_stratZ50ndj04', '15_lag_traBO']","[4.057314198175593, 5.147267242738964, 0.009044665619503789, 1.4636501015546877, 3.3740975866587135, 2.6655326110829662, 6.220336492775653, 4.81167090594708, 0.5295481389101155, 2.5321458876580527]","20_lag_eapPSLjfm, 14_lag_23_median_wnorPRjfm, 14_lag_23_median_ginwSSTjfm, 22_lag_nhSICjfm, 22_lag_ormenSSTjfm, 14_lag_15_median_arcTSjfm, 23_lag_nhTSjfm, 14_lag_17_median_amo2, 19_lag_stratZ50ndj04, 15_lag_traBO_1235_14"
