model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,10,glomaSSTjfm,shigh,866.5,2005.5,0.8,15,5,5,9.139428740407155,0.8319941239831391,1235,"['5_lag_12_median_arcTSjfm', '5_lag_9_median_traEC', '5_lag_12_median_shTSjfm', '5_lag_10_median_amoSSTmjjaso', '5_lag_11_median_nppc2SSTjfm', '5_lag_9_median_shSICsep', '5_lag_12_median_tripol1', '5_lag_9_median_seurTSjfm', '5_lag_11_median_nchinaPRjja', '5_lag_13_median_stratZ50ndj04']","[0.10556492108155159, 0.030015123271406485, 0.45810375191519953, 0.1966469918403709, 0.020767021886428955, 0.07025026694180361, 0.015835597800902844, 0.014644998324685899, 0.14890254153281113, 0.24020313476270888]","5_lag_12_median_arcTSjfm, 5_lag_9_median_traEC, 5_lag_12_median_shTSjfm, 5_lag_10_median_amoSSTmjjaso, 5_lag_11_median_nppc2SSTjfm, 5_lag_9_median_shSICsep, 5_lag_12_median_tripol1, 5_lag_9_median_seurTSjfm, 5_lag_11_median_nchinaPRjja, 5_lag_13_median_stratZ50ndj04_1235_5"
LinearRegression,1,10,glomaSSTjfm,shigh,867.5,2005.5,0.8,16,6,6,8.963993699435745,0.7290488914385498,1235,"['6_lag_11_median_tripol2', '6_lag_10_median_seurTSjfm', '6_lag_9_median_labSSTjfm', '6_lag_10_median_traIFC', '6_lag_10_median_ginwSSTjfm', '6_lag_14_median_samPSLann', '6_lag_12_median_nppc3SSTjfm', '6_lag_12_median_mhfATL45', '6_lag_10_median_atlSICsep', '6_lag_12_median_nppc2SSTjfm']","[0.061594729193605584, 0.009830674867939315, 0.06021945136543616, 0.009739770958100889, 0.04946425275876248, 0.011455466900530157, 0.33319522831003123, 0.06744743163964038, 0.07984021478986567, 0.22826758908720934]","6_lag_11_median_tripol2, 6_lag_10_median_seurTSjfm, 6_lag_9_median_labSSTjfm, 6_lag_10_median_traIFC, 6_lag_10_median_ginwSSTjfm, 6_lag_14_median_samPSLann, 6_lag_12_median_nppc3SSTjfm, 6_lag_12_median_mhfATL45, 6_lag_10_median_atlSICsep, 6_lag_12_median_nppc2SSTjfm_1235_6"
LinearRegression,2,10,glomaSSTjfm,shigh,868.5,2005.5,0.8,17,7,7,10.14548323480575,0.6513256857876621,1235,"['7_lag_14_median_traIT', '7_lag_10_median_traDP', '7_lag_16_median_ormenSSTjfm', '7_lag_13_median_eapPSLjfm', '7_lag_tripol1', '7_lag_11_median_atlSICsep', '7_lag_11_median_traIFC', '7_lag_12_median_mhfATL45', '7_lag_13_median_nppc2SSTjfm', '7_lag_11_median_arcTSjfm']","[0.21509935092298596, 0.0370971885874021, 0.0435718100031459, 0.13497205315596908, 0.1818026778273205, 0.13910882284335113, 0.03240409971325901, 0.10451321529064901, 0.2080765940987919, 0.0030959230592770906]","7_lag_14_median_traIT, 7_lag_10_median_traDP, 7_lag_16_median_ormenSSTjfm, 7_lag_13_median_eapPSLjfm, 7_lag_tripol1, 7_lag_11_median_atlSICsep, 7_lag_11_median_traIFC, 7_lag_12_median_mhfATL45, 7_lag_13_median_nppc2SSTjfm, 7_lag_11_median_arcTSjfm_1235_7"
LinearRegression,3,10,glomaSSTjfm,shigh,869.5,2005.5,0.8,18,8,8,8.710063073578464,0.795282170938838,1235,"['8_lag_17_median_glTSjfm', '8_lag_15_median_gyreSSTjfm', '8_lag_13_median_nppc3SSTjfm', '8_lag_17_median_traMC', '8_lag_17_median_shTSjfm', '8_lag_13_median_shTSjfm', '8_lag_12_median_amoSSTmjjaso', '8_lag_16_median_pdoSSTjfm', '8_lag_13_median_glTSjfm', '8_lag_14_median_nhTSjfm']","[0.029959553384615662, 0.047281508288601615, 0.041174629113169506, 0.08694200056676463, 0.5664551318944475, 0.010187086414033958, 0.20069875988702457, 0.011060769412926375, 0.2301740585061633, 0.2704297438255709]","8_lag_17_median_glTSjfm, 8_lag_15_median_gyreSSTjfm, 8_lag_13_median_nppc3SSTjfm, 8_lag_17_median_traMC, 8_lag_17_median_shTSjfm, 8_lag_13_median_shTSjfm, 8_lag_12_median_amoSSTmjjaso, 8_lag_16_median_pdoSSTjfm, 8_lag_13_median_glTSjfm, 8_lag_14_median_nhTSjfm_1235_8"
LinearRegression,4,10,glomaSSTjfm,shigh,870.5,2005.5,0.8,19,9,9,10.174898087847032,0.6387326385181537,1235,"['9_lag_13_median_mhfIP30', '9_lag_16_median_traDS', '9_lag_12_median_tripol1', '9_lag_15_median_traFS', '9_lag_13_median_samPSLann', '9_lag_17_median_traMC', '9_lag_15_median_nppc3SSTjfm', '9_lag_15_median_AMOCann', '9_lag_15_median_stratZ50ndj03', '9_lag_15_median_amo3']","[0.046391254476390434, 0.1593788825318578, 0.08165706422906308, 0.2695278908159274, 0.08899504175112014, 0.16336981232692482, 0.21843947569805178, 0.23433416265131132, 0.07438605610089574, 0.24721558395350704]","9_lag_13_median_mhfIP30, 9_lag_16_median_traDS, 9_lag_12_median_tripol1, 9_lag_15_median_traFS, 9_lag_13_median_samPSLann, 9_lag_17_median_traMC, 9_lag_15_median_nppc3SSTjfm, 9_lag_15_median_AMOCann, 9_lag_15_median_stratZ50ndj03, 9_lag_15_median_amo3_1235_9"
LinearRegression,5,10,glomaSSTjfm,shigh,871.5,2005.5,0.8,20,10,10,9.096966735958143,0.7658595822161965,1235,"['10_lag_18_median_labSSTjfm', '10_lag_14_median_nppc3SSTjfm', '10_lag_18_median_traIFC', '10_lag_14_median_traEC', '13_lag_glomaSSTjfm', '10_lag_19_median_glomaSSTjfm', '10_lag_18_median_samPSLann', '10_lag_19_median_mhfATL30', '10_lag_19_median_naoPSLjfm', '10_lag_16_median_nppc3SSTjfm']","[0.018946530261914278, 0.15227644488080577, 0.06943543583688386, 0.04082504973601568, 0.05509130164882535, 0.7196134045833704, 0.11349925127661012, 0.08921607896834165, 0.07030512507120505, 0.15421157966580945]","10_lag_18_median_labSSTjfm, 10_lag_14_median_nppc3SSTjfm, 10_lag_18_median_traIFC, 10_lag_14_median_traEC, 13_lag_glomaSSTjfm, 10_lag_19_median_glomaSSTjfm, 10_lag_18_median_samPSLann, 10_lag_19_median_mhfATL30, 10_lag_19_median_naoPSLjfm, 10_lag_16_median_nppc3SSTjfm_1235_10"
LinearRegression,6,10,glomaSSTjfm,shigh,872.5,2005.5,0.8,21,11,11,11.824724043181464,0.597019909932055,1235,"['11_lag_17_median_traCA', '11_lag_20_median_atlSICsep', '11_lag_16_median_ormenSSTjfm', '11_lag_15_median_satlSSTjfm', '11_lag_15_median_traIFC', '11_lag_20_median_traDP', '11_lag_18_median_traDP', '11_lag_19_median_traDS', '11_lag_20_median_mhfATL60', '11_lag_17_median_traWP']","[0.15363671260748782, 0.005555456464565144, 0.020263407664336222, 0.5809621180409944, 0.08410865173535945, 0.2578677183613853, 0.34082285588426525, 0.0402671424541991, 0.04502229592630655, 0.1234828772470285]","11_lag_17_median_traCA, 11_lag_20_median_atlSICsep, 11_lag_16_median_ormenSSTjfm, 11_lag_15_median_satlSSTjfm, 11_lag_15_median_traIFC, 11_lag_20_median_traDP, 11_lag_18_median_traDP, 11_lag_19_median_traDS, 11_lag_20_median_mhfATL60, 11_lag_17_median_traWP_1235_11"
LinearRegression,7,10,glomaSSTjfm,shigh,873.5,2005.5,0.8,22,12,12,10.340312734332608,0.7269329396068774,1235,"['12_lag_17_median_glomaSSTjfm', '12_lag_18_median_amo2', '12_lag_16_median_traBO', '12_lag_21_median_cetTSjfm', '12_lag_20_median_nhSICsep', '12_lag_21_median_nppc3SSTjfm', '12_lag_16_median_pdoSSTjfm', '12_lag_20_median_satlSSTjfm', '12_lag_18_median_satlSSTjfm', '12_lag_19_median_amo3']","[0.4816277637534312, 0.085054704761775, 0.13197445209324069, 0.10144406739962854, 0.09797213364891404, 0.06780859017192024, 0.03783593282996096, 0.48563844655428245, 0.20332962906893026, 0.01606516987306229]","12_lag_17_median_glomaSSTjfm, 12_lag_18_median_amo2, 12_lag_16_median_traBO, 12_lag_21_median_cetTSjfm, 12_lag_20_median_nhSICsep, 12_lag_21_median_nppc3SSTjfm, 12_lag_16_median_pdoSSTjfm, 12_lag_20_median_satlSSTjfm, 12_lag_18_median_satlSSTjfm, 12_lag_19_median_amo3_1235_12"
LinearRegression,8,10,glomaSSTjfm,shigh,874.5,2005.5,0.8,23,13,13,10.545936488426646,0.7705785630085099,1235,"['13_lag_18_median_wnorPRjfm', '13_lag_19_median_traCA', '13_lag_21_median_eapPSLjfm', '13_lag_22_median_shTSjfm', '13_lag_17_median_satlSSTjfm', '13_lag_17_median_nppc3SSTjfm', '13_lag_20_median_ormenSSTjfm', '13_lag_17_median_amo2', '13_lag_19_median_traBS', '13_lag_22_median_nppc3SSTjfm']","[0.052006027099777974, 0.10341662611078892, 0.039757326000616516, 0.6613389080563131, 0.11172458099406088, 0.02473649004805613, 0.12260209111568839, 0.019131028248222395, 0.05785442735941477, 0.0698667074013557]","13_lag_18_median_wnorPRjfm, 13_lag_19_median_traCA, 13_lag_21_median_eapPSLjfm, 13_lag_22_median_shTSjfm, 13_lag_17_median_satlSSTjfm, 13_lag_17_median_nppc3SSTjfm, 13_lag_20_median_ormenSSTjfm, 13_lag_17_median_amo2, 13_lag_19_median_traBS, 13_lag_22_median_nppc3SSTjfm_1235_13"
LinearRegression,9,10,glomaSSTjfm,shigh,875.5,2005.5,0.8,24,14,14,10.288446489508324,0.5708633551152281,1235,"['14_lag_23_median_atlSICsep', '14_lag_18_median_traMC', '14_lag_21_median_pdoSSTjfm', '14_lag_gyreSSTjfm', '14_lag_22_median_stratZ50ndj04', '14_lag_21_median_tripol1', '14_lag_20_median_traFS', '14_lag_20_median_amoSSTmjjaso', '14_lag_23_median_nppc3SSTjfm', '14_lag_20_median_traBS']","[0.23744079728850304, 0.12053109420924146, 0.20332082404113055, 0.05734272042146829, 0.42594784681809067, 0.2587619024043523, 0.16810121204455603, 0.3197603608657237, 0.06508599283218613, 0.09550019405137548]","14_lag_23_median_atlSICsep, 14_lag_18_median_traMC, 14_lag_21_median_pdoSSTjfm, 14_lag_gyreSSTjfm, 14_lag_22_median_stratZ50ndj04, 14_lag_21_median_tripol1, 14_lag_20_median_traFS, 14_lag_20_median_amoSSTmjjaso, 14_lag_23_median_nppc3SSTjfm, 14_lag_20_median_traBS_1235_14"
