model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,6,gyreSSTjfm,shigh,1514.5,2005.5,0.4,15,1,1,11.757958926054249,0.45377919072312406,1755,"['10_lag_stratZ50ndj03', '9_lag_alpi', '1_lag_samPSLann', '1_lag_traEC', '6_lag_nchinaPRjja', '1_lag_mhfATL45']","[0.06320127437909691, 0.07896556545060593, 0.1345873368768266, 0.21204906411727775, 0.022804240426602645, 0.36807588482301046]","10_lag_stratZ50ndj03, 9_lag_alpi, 1_lag_samPSLann, 1_lag_traEC, 6_lag_nchinaPRjja, 1_lag_mhfATL45_1755_1"
LinearRegression,1,6,gyreSSTjfm,shigh,1515.5,2005.5,0.4,16,1,1,11.748427819331837,0.45475849256702927,1885,"['9_lag_alpi', '10_lag_stratZ50ndj03', '6_lag_nchinaPRjja', '1_lag_samPSLann', '1_lag_traEC', '1_lag_mhfATL45']","[0.07555920370631791, 0.06716808493207427, 0.02094774802848753, 0.1324755814133708, 0.2069807218760092, 0.3721561413167176]","9_lag_alpi, 10_lag_stratZ50ndj03, 6_lag_nchinaPRjja, 1_lag_samPSLann, 1_lag_traEC, 1_lag_mhfATL45_1885_1"
LinearRegression,2,6,gyreSSTjfm,shigh,1516.5,2005.5,0.4,17,1,1,11.659524800791653,0.4701563426083584,2015,"['16_lag_nchinaPRjja', '10_lag_stratZ50ndj03', '6_lag_nchinaPRjja', '1_lag_traEC', '1_lag_samPSLann', '1_lag_mhfATL45']","[0.17513698822232976, 0.05399027588921185, 0.03046215424173494, 0.21952154086723422, 0.13899492947208095, 0.3820969157399574]","16_lag_nchinaPRjja, 10_lag_stratZ50ndj03, 6_lag_nchinaPRjja, 1_lag_traEC, 1_lag_samPSLann, 1_lag_mhfATL45_2015_1"
LinearRegression,3,6,gyreSSTjfm,shigh,1517.5,2005.5,0.4,18,1,1,12.46493900201143,0.39687858943607485,2145,"['9_lag_alpi', '10_lag_stratZ50ndj03', '6_lag_nchinaPRjja', '16_lag_nchinaPRjja', '1_lag_samPSLann', '1_lag_mhfATL45']","[0.06764220486766746, 0.07548517239534024, 0.01292935173742184, 0.14928696094443633, 0.13758131234762694, 0.4635319959278735]","9_lag_alpi, 10_lag_stratZ50ndj03, 6_lag_nchinaPRjja, 16_lag_nchinaPRjja, 1_lag_samPSLann, 1_lag_mhfATL45_2145_1"
LinearRegression,4,6,gyreSSTjfm,shigh,1518.5,2005.5,0.4,19,1,1,11.804632408587347,0.46389873355621286,2275,"['1_lag_traEC', '9_lag_alpi', '16_lag_nchinaPRjja', '6_lag_nchinaPRjja', '1_lag_samPSLann', '1_lag_mhfATL45']","[0.22618941932901576, 0.054340437091040916, 0.17592435984828597, 0.020144640913224775, 0.14189858521620372, 0.37465135714881626]","1_lag_traEC, 9_lag_alpi, 16_lag_nchinaPRjja, 6_lag_nchinaPRjja, 1_lag_samPSLann, 1_lag_mhfATL45_2275_1"
LinearRegression,5,6,gyreSSTjfm,shigh,1519.5,2005.5,0.4,20,1,1,10.77264152590762,0.5821238596190216,2405,"['1_lag_traFSC', '9_lag_alpi', '6_lag_nchinaPRjja', '1_lag_traEC', '1_lag_samPSLann', '1_lag_mhfATL45']","[0.43993784847951684, 0.024850546348907043, 0.007741560576970469, 0.04578863088164495, 0.032892318199888575, 0.3515213885640386]","1_lag_traFSC, 9_lag_alpi, 6_lag_nchinaPRjja, 1_lag_traEC, 1_lag_samPSLann, 1_lag_mhfATL45_2405_1"
LinearRegression,6,6,gyreSSTjfm,shigh,1520.5,2005.5,0.4,21,1,1,11.622266505615741,0.46334934229329444,2535,"['10_lag_stratZ50ndj03', '9_lag_alpi', '6_lag_nchinaPRjja', '1_lag_traEC', '1_lag_samPSLann', '1_lag_mhfATL45']","[0.05976713117040415, 0.05770823876633005, 0.025558209232728578, 0.19840102765781095, 0.14291870484288674, 0.35721803439255656]","10_lag_stratZ50ndj03, 9_lag_alpi, 6_lag_nchinaPRjja, 1_lag_traEC, 1_lag_samPSLann, 1_lag_mhfATL45_2535_1"
LinearRegression,7,6,gyreSSTjfm,shigh,1521.5,2005.5,0.4,22,1,1,10.750975583664738,0.5815555542254428,2665,"['1_lag_traFSC', '9_lag_alpi', '6_lag_nchinaPRjja', '1_lag_traEC', '1_lag_samPSLann', '1_lag_mhfATL45']","[0.4370183126630701, 0.02387136722739111, 0.007173193138978198, 0.04426433812388657, 0.036081699110520934, 0.3444654858771999]","1_lag_traFSC, 9_lag_alpi, 6_lag_nchinaPRjja, 1_lag_traEC, 1_lag_samPSLann, 1_lag_mhfATL45_2665_1"
LinearRegression,8,6,gyreSSTjfm,shigh,1522.5,2005.5,0.4,23,1,1,11.46857574393123,0.46642675441599907,2795,"['10_lag_stratZ50ndj03', '22_lag_traEU', '1_lag_traEC', '6_lag_nchinaPRjja', '1_lag_samPSLann', '1_lag_mhfATL45']","[0.048326508195995106, 0.06384371632149866, 0.19193540094734274, 0.04483134729132177, 0.14048032866559618, 0.3333429883819076]","10_lag_stratZ50ndj03, 22_lag_traEU, 1_lag_traEC, 6_lag_nchinaPRjja, 1_lag_samPSLann, 1_lag_mhfATL45_2795_1"
LinearRegression,9,6,gyreSSTjfm,shigh,1523.5,2005.5,0.4,24,1,1,10.743559326190248,0.5760096867929594,2925,"['10_lag_stratZ50ndj03', '1_lag_traFSC', '6_lag_nchinaPRjja', '1_lag_samPSLann', '1_lag_traEC', '1_lag_mhfATL45']","[0.046979688680455836, 0.42816119413356873, 0.0181991658234181, 0.030323554922952384, 0.038275064032654016, 0.3364584644920102]","10_lag_stratZ50ndj03, 1_lag_traFSC, 6_lag_nchinaPRjja, 1_lag_samPSLann, 1_lag_traEC, 1_lag_mhfATL45_2925_1"
