model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,ismPRjja,shigh,1714.5,2005.5,0.6,15,1,1,18.635820040673917,-0.04590015416934137,1755,"['6_lag_stratZ50ndj04', '9_lag_solFORC', '7_lag_nppc3SSTjfm', '6_lag_nhSICsep', '8_lag_amo2', '1_lag_2_median_naoPSLjfm', '13_lag_mhfATL30', '11_lag_traIFC', '5_lag_shTSjfm', '1_lag_7_median_solFORC']","[1.2927919242238524, 5.003721175398248, 1.736988282089511, 8.293489658240789, 1.268554008568696, 6.085327413036559, 1.5236803372267165, 2.8754252413833736, 1.8167502575624077, 6.108733035397782]","6_lag_stratZ50ndj04, 9_lag_solFORC, 7_lag_nppc3SSTjfm, 6_lag_nhSICsep, 8_lag_amo2, 1_lag_2_median_naoPSLjfm, 13_lag_mhfATL30, 11_lag_traIFC, 5_lag_shTSjfm, 1_lag_7_median_solFORC_1755_1"
LRforcedPSO,1,10,ismPRjja,shigh,1715.5,2005.5,0.6,16,1,1,27.008911478416685,0.048598886563242495,1885,"['3_lag_stratZ50ndj04', '1_lag_10_median_traBO', '2_lag_traEU', '2_lag_amoSSTmjjaso', '5_lag_mhfATL60', '15_lag_tripol3', '12_lag_eapPSLjfm', '1_lag_4_median_traFSC', '1_lag_ormenSSTjfm', '14_lag_amo2']","[1.1946546547670405, 4.747173938838751, 1.019620824582761, 4.418554698460618, 0.8203075354533969, 4.965624132174273, 0.8881032116943182, 6.399739635414058, 7.258351473635798, 1.6887271011339404]","3_lag_stratZ50ndj04, 1_lag_10_median_traBO, 2_lag_traEU, 2_lag_amoSSTmjjaso, 5_lag_mhfATL60, 15_lag_tripol3, 12_lag_eapPSLjfm, 1_lag_4_median_traFSC, 1_lag_ormenSSTjfm, 14_lag_amo2_1885_1"
LRforcedPSO,2,10,ismPRjja,shigh,1716.5,2005.5,0.6,17,1,1,19.66608714636096,-0.028099572135401506,2015,"['13_lag_traTLS', '9_lag_stratZ50ndj04', '1_lag_11_median_stratZ50ndj04', '1_lag_15_median_solFORC', '9_lag_ormenSSTjfm', '3_lag_ormenSSTjfm', '1_lag_6_median_shSICmar', '1_lag_14_median_seurTSjfm', '1_lag_5_median_tripol2', '15_lag_amo3']","[7.1974703219144125, 3.397610517335668, 2.1331430345909475, 1.032968144793907, 4.225741493123298, 1.5105723351749702, 9.337701210864129, 1.4320023642885555, 0.7900971598489921, 0.37850997884720883]","13_lag_traTLS, 9_lag_stratZ50ndj04, 1_lag_11_median_stratZ50ndj04, 1_lag_15_median_solFORC, 9_lag_ormenSSTjfm, 3_lag_ormenSSTjfm, 1_lag_6_median_shSICmar, 1_lag_14_median_seurTSjfm, 1_lag_5_median_tripol2, 15_lag_amo3_2015_1"
LRforcedPSO,3,10,ismPRjja,shigh,1717.5,2005.5,0.6,18,1,1,42.43085710586881,-0.003729714982855044,2145,"['1_lag_15_median_tripol2', '11_lag_traTLS', '1_lag_traCA', '1_lag_15_median_nppc2SSTjfm', '17_lag_atlSICjfm', '15_lag_traEU', '1_lag_7_median_yrvPRjja', '15_lag_traDP', '7_lag_traBO', '1_lag_14_median_eapPSLjfm']","[8.873238558355219, 2.261605660942698, 3.5061364446032055, 7.775889345308386, 4.259006790133075, 2.0446777743552698, 5.528423510379092, 9.189716768999649, 3.5896697775497124, 0.4403002139489445]","1_lag_15_median_tripol2, 11_lag_traTLS, 1_lag_traCA, 1_lag_15_median_nppc2SSTjfm, 17_lag_atlSICjfm, 15_lag_traEU, 1_lag_7_median_yrvPRjja, 15_lag_traDP, 7_lag_traBO, 1_lag_14_median_eapPSLjfm_2145_1"
LRforcedPSO,4,10,ismPRjja,shigh,1718.5,2005.5,0.6,19,1,1,19.980992755745724,-0.1021189918710177,2275,"['1_lag_15_median_stratZ50ndj01', '1_lag_12_median_tripol2', '13_lag_glomaSSTjfm', '1_lag_5_median_shSICsep', '1_lag_7_median_ensoSSTjfm', '9_lag_AMOCann', '1_lag_7_median_stratZ50ndj04', '18_lag_cetTSjfm', '17_lag_AMOCann', '1_lag_15_median_solFORC']","[3.9380590875017703, 2.3805178870473416, 2.2622160332825345, 3.4513204102358364, 6.596569359956963, 4.405348597844947, 6.014385430600089, 0.43214990837153167, 4.913412034005315, 0.5630163875545442]","1_lag_15_median_stratZ50ndj01, 1_lag_12_median_tripol2, 13_lag_glomaSSTjfm, 1_lag_5_median_shSICsep, 1_lag_7_median_ensoSSTjfm, 9_lag_AMOCann, 1_lag_7_median_stratZ50ndj04, 18_lag_cetTSjfm, 17_lag_AMOCann, 1_lag_15_median_solFORC_2275_1"
LRforcedPSO,5,10,ismPRjja,shigh,1719.5,2005.5,0.6,20,1,1,20.41669302403497,0.07216715913135446,2405,"['3_lag_yrvPRjja', '19_lag_nhSICjfm', '1_lag_19_median_naoPSLjfm', '1_lag_3_median_ensoSSTjfm', '1_lag_12_median_amo1', '12_lag_nhSICjfm', '1_lag_14_median_traIT', '14_lag_stratZ50ndj04', '1_lag_12_median_nhSICjfm', '1_lag_10_median_glomaSSTjfm']","[2.128979013633119, 0.30583152355651855, 0.4781850400421064, 3.0777286512894397, 1.6815328945187709, 0.6070711721686113, 2.8556481343150715, 8.191793072962735, 6.224163296335645, 3.080120607902483]","3_lag_yrvPRjja, 19_lag_nhSICjfm, 1_lag_19_median_naoPSLjfm, 1_lag_3_median_ensoSSTjfm, 1_lag_12_median_amo1, 12_lag_nhSICjfm, 1_lag_14_median_traIT, 14_lag_stratZ50ndj04, 1_lag_12_median_nhSICjfm, 1_lag_10_median_glomaSSTjfm_2405_1"
LRforcedPSO,6,10,ismPRjja,shigh,1720.5,2005.5,0.6,21,1,1,19.024901897216292,-0.014531381877768335,2535,"['1_lag_12_median_amoSSTmjjaso', '1_lag_20_median_shSICmar', '1_lag_19_median_yrvPRjja', '1_lag_13_median_traDP', '1_lag_14_median_amoSSTmjjaso', '1_lag_7_median_amo1', '1_lag_3_median_tripol2', '1_lag_2_median_shTSjfm', '7_lag_stratZ50ndj03', '10_lag_satlSSTjfm']","[8.354318374807095, 2.9329420091525087, 2.132775062837955, 2.8389000903089094, 6.532460745240513, 2.906160393549597, 1.752168274368323, 4.65077986177818, 2.0096410022769575, 3.97449919640729]","1_lag_12_median_amoSSTmjjaso, 1_lag_20_median_shSICmar, 1_lag_19_median_yrvPRjja, 1_lag_13_median_traDP, 1_lag_14_median_amoSSTmjjaso, 1_lag_7_median_amo1, 1_lag_3_median_tripol2, 1_lag_2_median_shTSjfm, 7_lag_stratZ50ndj03, 10_lag_satlSSTjfm_2535_1"
LRforcedPSO,7,10,ismPRjja,shigh,1721.5,2005.5,0.6,22,2,2,20.283587635561812,0.008968037741222451,2535,"['2_lag_15_median_stratZ50ndj04', '2_lag_16_median_nhSICjfm', '2_lag_20_median_stratZ50ndj01', '2_lag_13_median_traWP', '2_lag_7_median_amo3', '2_lag_7_median_traEC', '9_lag_eapPSLjfm', '19_lag_scpPSLjfm', '9_lag_amo2', '17_lag_traTLS']","[4.862632374177698, 5.655465262020243, 0.6184975019349732, 4.580228855829147, 2.958758600985063, 1.0016768100377789, 1.505049821974211, 7.3028264178541775, 3.641052253393532, 3.7784675400093963]","2_lag_15_median_stratZ50ndj04, 2_lag_16_median_nhSICjfm, 2_lag_20_median_stratZ50ndj01, 2_lag_13_median_traWP, 2_lag_7_median_amo3, 2_lag_7_median_traEC, 9_lag_eapPSLjfm, 19_lag_scpPSLjfm, 9_lag_amo2, 17_lag_traTLS_2535_2"
LRforcedPSO,8,10,ismPRjja,shigh,1722.5,2005.5,0.6,23,3,3,18.570152539496387,0.12658752116861266,2535,"['3_lag_9_median_shSICsep', '21_lag_neurTSjfm', '6_lag_tripol1', '12_lag_wnorPRjfm', '16_lag_labSSTjfm', '6_lag_labSSTjfm', '3_lag_6_median_ormenSSTjfm', '3_lag_nhTSjfm', '13_lag_wnorPRjfm', '22_lag_nppc2SSTjfm']","[3.3695628582624764, 1.758376086327079, 3.491421163163782, 5.147970553486512, 2.3553145373966693, 3.6106272842435754, 7.070771320116702, 1.3616092721215, 5.263078707046628, 2.096311333504306]","3_lag_9_median_shSICsep, 21_lag_neurTSjfm, 6_lag_tripol1, 12_lag_wnorPRjfm, 16_lag_labSSTjfm, 6_lag_labSSTjfm, 3_lag_6_median_ormenSSTjfm, 3_lag_nhTSjfm, 13_lag_wnorPRjfm, 22_lag_nppc2SSTjfm_2535_3"
LRforcedPSO,9,10,ismPRjja,shigh,1723.5,2005.5,0.6,24,4,4,17.956858620851598,0.14111280388754563,2535,"['14_lag_stratZ50ndj04', '4_lag_14_median_stratZ50ndj02', '18_lag_pdoSSTjfm', '4_lag_8_median_stratZ50ndj01', '5_lag_cetTSjfm', '5_lag_yrvPRjja', '4_lag_6_median_arcTSjfm', '22_lag_stratZ50ndj01', '4_lag_21_median_nppc3SSTjfm', '15_lag_mhfIP30']","[5.491499511274052, 2.43622557617061, 0.8866870310169652, 7.187427166080913, 0.8670636404026038, 3.5566533424153324, 0.7203832741557257, 5.510358691449948, 1.2027714086387213, 3.199667615485925]","14_lag_stratZ50ndj04, 4_lag_14_median_stratZ50ndj02, 18_lag_pdoSSTjfm, 4_lag_8_median_stratZ50ndj01, 5_lag_cetTSjfm, 5_lag_yrvPRjja, 4_lag_6_median_arcTSjfm, 22_lag_stratZ50ndj01, 4_lag_21_median_nppc3SSTjfm, 15_lag_mhfIP30_2535_4"
