model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,6,labSSTjfm,shigh,1714.5,2005.5,0.4,15,1,1,13.705674983275923,0.4760252749592187,1755,"['1_lag_traBO', '1_lag_stratZ50ndj01', '1_lag_samPSLann', '1_lag_traCA', '1_lag_traDS', '1_lag_traFSC']","[0.011445892996718875, 0.02046059071133946, 0.06501948368234901, 0.235160073674532, 0.06383765937040854, 0.6415402451592228]","1_lag_traBO, 1_lag_stratZ50ndj01, 1_lag_samPSLann, 1_lag_traCA, 1_lag_traDS, 1_lag_traFSC_1755_1"
LinearRegression,1,6,labSSTjfm,shigh,1715.5,2005.5,0.4,16,1,1,13.766980878863384,0.47500479532072243,1885,"['1_lag_traBO', '1_lag_stratZ50ndj01', '1_lag_samPSLann', '1_lag_traDS', '1_lag_traCA', '1_lag_traFSC']","[0.013603180338667756, 0.024702665003061564, 0.06601570786203767, 0.06250663804177031, 0.23556486717023362, 0.6430463923510987]","1_lag_traBO, 1_lag_stratZ50ndj01, 1_lag_samPSLann, 1_lag_traDS, 1_lag_traCA, 1_lag_traFSC_1885_1"
LinearRegression,2,6,labSSTjfm,shigh,1716.5,2005.5,0.4,17,1,1,13.807525073879077,0.47301249477641155,2015,"['1_lag_traBO', '1_lag_stratZ50ndj01', '1_lag_samPSLann', '1_lag_traDS', '1_lag_traCA', '1_lag_traFSC']","[0.012251181441142959, 0.022548512221428868, 0.06953956817553889, 0.06630452932966219, 0.23949713505777925, 0.6378647686834626]","1_lag_traBO, 1_lag_stratZ50ndj01, 1_lag_samPSLann, 1_lag_traDS, 1_lag_traCA, 1_lag_traFSC_2015_1"
LinearRegression,3,6,labSSTjfm,shigh,1717.5,2005.5,0.4,18,1,1,13.745585014397383,0.4781524834161642,2145,"['1_lag_traBO', '1_lag_samPSLann', '1_lag_stratZ50ndj01', '1_lag_traDS', '1_lag_traCA', '1_lag_traFSC']","[0.000904967603516686, 0.05762675707242468, 0.01591271980466507, 0.06899043763316144, 0.24397228170735807, 0.628136206861586]","1_lag_traBO, 1_lag_samPSLann, 1_lag_stratZ50ndj01, 1_lag_traDS, 1_lag_traCA, 1_lag_traFSC_2145_1"
LinearRegression,4,6,labSSTjfm,shigh,1718.5,2005.5,0.4,19,1,1,13.74648480674743,0.4788438310379814,2275,"['1_lag_traBO', '1_lag_samPSLann', '1_lag_traDS', '1_lag_stratZ50ndj01', '1_lag_traCA', '1_lag_traFSC']","[0.0033950316687700074, 0.06363086935673548, 0.05165262992723439, 0.015053996425045894, 0.2403248290731661, 0.6212244816097214]","1_lag_traBO, 1_lag_samPSLann, 1_lag_traDS, 1_lag_stratZ50ndj01, 1_lag_traCA, 1_lag_traFSC_2275_1"
LinearRegression,5,6,labSSTjfm,shigh,1719.5,2005.5,0.4,20,1,1,13.759749079914663,0.47533551667423346,2405,"['15_lag_ismPRjja', '1_lag_traDS', '1_lag_stratZ50ndj01', '1_lag_samPSLann', '1_lag_traCA', '1_lag_traFSC']","[0.021376465814445033, 0.0574586349749141, 0.008376577338108121, 0.06593800770379812, 0.24010789712160477, 0.6198649486482424]","15_lag_ismPRjja, 1_lag_traDS, 1_lag_stratZ50ndj01, 1_lag_samPSLann, 1_lag_traCA, 1_lag_traFSC_2405_1"
LinearRegression,6,6,labSSTjfm,shigh,1720.5,2005.5,0.4,21,1,1,13.764927330520775,0.47508241378334615,2535,"['15_lag_ismPRjja', '1_lag_samPSLann', '1_lag_stratZ50ndj01', '1_lag_traDS', '1_lag_traCA', '1_lag_traFSC']","[0.01259207555366619, 0.07022405376712515, 0.0074946565974398915, 0.0455898789620634, 0.23825687552189834, 0.6062580620119078]","15_lag_ismPRjja, 1_lag_samPSLann, 1_lag_stratZ50ndj01, 1_lag_traDS, 1_lag_traCA, 1_lag_traFSC_2535_1"
LinearRegression,7,6,labSSTjfm,shigh,1721.5,2005.5,0.4,22,1,1,13.74183413221592,0.4772975135202754,2665,"['15_lag_ismPRjja', '1_lag_samPSLann', '1_lag_traDS', '1_lag_stratZ50ndj01', '1_lag_traCA', '1_lag_traFSC']","[0.0022876407895389963, 0.055676210538157925, 0.04839461943485257, 0.01855317533122676, 0.24156079321787904, 0.5969093849703083]","15_lag_ismPRjja, 1_lag_samPSLann, 1_lag_traDS, 1_lag_stratZ50ndj01, 1_lag_traCA, 1_lag_traFSC_2665_1"
LinearRegression,8,6,labSSTjfm,shigh,1722.5,2005.5,0.4,23,1,1,13.759883420471686,0.477116185370297,2795,"['15_lag_ismPRjja', '1_lag_samPSLann', '1_lag_traDS', '1_lag_stratZ50ndj01', '1_lag_traCA', '1_lag_traFSC']","[0.0006411554572611671, 0.06915852332339341, 0.005641263044683105, 0.0037578070729282695, 0.240656885542909, 0.5741943748681223]","15_lag_ismPRjja, 1_lag_samPSLann, 1_lag_traDS, 1_lag_stratZ50ndj01, 1_lag_traCA, 1_lag_traFSC_2795_1"
LinearRegression,9,6,labSSTjfm,shigh,1723.5,2005.5,0.4,24,1,1,13.767344524853707,0.47635854465135696,2925,"['15_lag_ismPRjja', '1_lag_samPSLann', '1_lag_traDS', '1_lag_stratZ50ndj01', '1_lag_traCA', '1_lag_traFSC']","[0.004379111565296411, 0.060674025344197885, 0.009889987556220267, 0.00035452254771958444, 0.2597177354076698, 0.5503826509084134]","15_lag_ismPRjja, 1_lag_samPSLann, 1_lag_traDS, 1_lag_stratZ50ndj01, 1_lag_traCA, 1_lag_traFSC_2925_1"
LinearRegression,10,6,labSSTjfm,shigh,1724.5,2005.5,0.4,25,1,1,7.66026389489002,0.8624908487341899,3055,"['1_lag_labSSTjfm', '1_lag_samPSLann', '1_lag_traDS', '1_lag_stratZ50ndj01', '1_lag_traCA', '1_lag_traFSC']","[0.622250172719921, 0.01986984852577295, 0.06530552881303706, 0.030403527078281103, 0.06075487642936957, 0.2786655123914423]","1_lag_labSSTjfm, 1_lag_samPSLann, 1_lag_traDS, 1_lag_stratZ50ndj01, 1_lag_traCA, 1_lag_traFSC_3055_1"
