model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,6,mhfATL30,shigh,1714.5,2005.5,0.8,15,5,5,19.655033249844834,0.21387345438096464,1235,"['13_lag_seurTSjfm', '5_lag_6_median_nppc2SSTjfm', '5_lag_9_median_mhfATL45', '5_lag_9_median_stratZ50ndj02', '5_lag_6_median_traDS', '11_lag_nhSICsep']","[4.742254890562812, 0.6987118578510394, 7.382586946565873, 0.7357182461230636, 2.3817924986674814, 3.1060057703489896]","13_lag_seurTSjfm, 5_lag_6_median_nppc2SSTjfm, 5_lag_9_median_mhfATL45, 5_lag_9_median_stratZ50ndj02, 5_lag_6_median_traDS, 11_lag_nhSICsep_1235_5"
LRforcedPSO,1,6,mhfATL30,shigh,1715.5,2005.5,0.8,16,6,6,24.322781762835778,0.09145514254956343,1235,"['6_lag_12_median_scpPSLjfm', '6_lag_10_median_stratZ50ndj02', '8_lag_atlSICjfm', '6_lag_11_median_shTSjfm', '12_lag_yrvPRjja', '14_lag_traFS']","[1.4899289946497276, 1.7412278361127522, 1.900142155098215, 1.6854668008753142, 1.926099251510715, 1.9681198683365615]","6_lag_12_median_scpPSLjfm, 6_lag_10_median_stratZ50ndj02, 8_lag_atlSICjfm, 6_lag_11_median_shTSjfm, 12_lag_yrvPRjja, 14_lag_traFS_1235_6"
LRforcedPSO,2,6,mhfATL30,shigh,1716.5,2005.5,0.8,17,7,7,15.345900592314127,0.4111117310190002,1235,"['7_lag_12_median_mhfATL45', '13_lag_seurTSjfm', '10_lag_mhfATL60', '12_lag_nppc2SSTjfm', '7_lag_8_median_ismPRjja', '7_lag_amoSSTmjjaso']","[5.606803249143834, 2.4051151694367796, 3.7659288303560405, 8.543264803760682, 0.6964205309955229, 0.5681199062027513]","7_lag_12_median_mhfATL45, 13_lag_seurTSjfm, 10_lag_mhfATL60, 12_lag_nppc2SSTjfm, 7_lag_8_median_ismPRjja, 7_lag_amoSSTmjjaso_1235_7"
LRforcedPSO,3,6,mhfATL30,shigh,1717.5,2005.5,0.8,18,8,8,29.095116110015002,-0.21166809562920155,1235,"['16_lag_traEC', '8_lag_17_median_shTSjfm', '9_lag_tripol2', '11_lag_gyreSSTjfm', '8_lag_mhfIP30', '8_lag_16_median_ormenSSTjfm']","[0.6697432904601985, 1.8697318047369684, 0.04157783644726898, 2.7597655379185966, 0.9579711519160998, 1.8611728744998342]","16_lag_traEC, 8_lag_17_median_shTSjfm, 9_lag_tripol2, 11_lag_gyreSSTjfm, 8_lag_mhfIP30, 8_lag_16_median_ormenSSTjfm_1235_8"
LRforcedPSO,4,6,mhfATL30,shigh,1718.5,2005.5,0.8,19,9,9,17.095450933484745,0.06697061302204613,1235,"['9_lag_17_median_nhSICsep', '9_lag_13_median_traEC', '9_lag_17_median_traEC', '12_lag_traIT', '17_lag_nppc3SSTjfm', '9_lag_11_median_atlSICjfm']","[0.4656796614383012, 0.8374201827342773, 0.19318616937907507, 3.758131669502532, 2.4822871893014558, 1.0139058233173905]","9_lag_17_median_nhSICsep, 9_lag_13_median_traEC, 9_lag_17_median_traEC, 12_lag_traIT, 17_lag_nppc3SSTjfm, 9_lag_11_median_atlSICjfm_1235_9"
LRforcedPSO,5,6,mhfATL30,shigh,1719.5,2005.5,0.8,20,10,10,17.61744039256628,0.03435916212796335,1235,"['12_lag_stratZ50ndj03', '11_lag_traEC', '10_lag_amo3', '10_lag_15_median_traMC', '10_lag_19_median_stratZ50ndj02', '14_lag_stratZ50ndj04']","[0.5049525069074701, 2.338615153485426, 1.9334739829994856, 0.651068570838838, 4.065953497084871, 4.256509000471307]","12_lag_stratZ50ndj03, 11_lag_traEC, 10_lag_amo3, 10_lag_15_median_traMC, 10_lag_19_median_stratZ50ndj02, 14_lag_stratZ50ndj04_1235_10"
LRforcedPSO,6,6,mhfATL30,shigh,1720.5,2005.5,0.8,21,11,11,15.72663644201009,0.3330302103690517,1235,"['11_lag_12_median_nhTSjfm', '19_lag_alpi', '18_lag_tripol3', '20_lag_traFSC', '11_lag_20_median_samPSLann', '14_lag_traEC']","[3.0378712602347964, 1.8857981335728873, 3.346232151685631, 0.1929909979877351, 4.657637705763642, 0.5512533722516473]","11_lag_12_median_nhTSjfm, 19_lag_alpi, 18_lag_tripol3, 20_lag_traFSC, 11_lag_20_median_samPSLann, 14_lag_traEC_1235_11"
LRforcedPSO,7,6,mhfATL30,shigh,1721.5,2005.5,0.8,22,12,12,17.257538492161,0.29968989974205545,1235,"['12_lag_13_median_nhTSjfm', '20_lag_stratZ50ndj03', '20_lag_satlSSTjfm', '17_lag_pdoSSTjfm', '18_lag_labSSTjfm', '12_lag_18_median_amo3']","[2.0972089085676426, 2.9474297630460633, 2.6995364884456325, 0.09394504092924372, 0.8789830010709743, 1.806372319285046]","12_lag_13_median_nhTSjfm, 20_lag_stratZ50ndj03, 20_lag_satlSSTjfm, 17_lag_pdoSSTjfm, 18_lag_labSSTjfm, 12_lag_18_median_amo3_1235_12"
LRforcedPSO,8,6,mhfATL30,shigh,1722.5,2005.5,0.8,23,13,13,16.0572554338675,0.33444004532483546,1235,"['13_lag_21_median_traFSC', '15_lag_traDS', '13_lag_17_median_labSSTjfm', '13_lag_15_median_amo3', '13_lag_15_median_mhfIP30', '13_lag_15_median_nhSICsep']","[0.09742150601333677, 4.7884162516086715, 3.9651405228626935, 0.07716368751489355, 0.05979873315961726, 4.871234894036512]","13_lag_21_median_traFSC, 15_lag_traDS, 13_lag_17_median_labSSTjfm, 13_lag_15_median_amo3, 13_lag_15_median_mhfIP30, 13_lag_15_median_nhSICsep_1235_13"
LRforcedPSO,9,6,mhfATL30,shigh,1723.5,2005.5,0.8,24,14,14,20.822085803518156,-0.1027929314876401,1235,"['23_lag_naoPSLjfm', '14_lag_22_median_alpi', '14_lag_19_median_traWP', '16_lag_scpPSLjfm', '19_lag_mhfATL30', '14_lag_22_median_glomaSSTjfm']","[0.9635981653227237, 1.6171860628921024, 6.421636446675669, 2.892213775542947, 4.080918044748863, 1.9917671489589566]","23_lag_naoPSLjfm, 14_lag_22_median_alpi, 14_lag_19_median_traWP, 16_lag_scpPSLjfm, 19_lag_mhfATL30, 14_lag_22_median_glomaSSTjfm_1235_14"
LRforcedPSO,10,6,mhfATL30,shigh,1724.5,2005.5,0.8,25,15,15,18.219861492047688,0.46787801382174815,1235,"['17_lag_mhfATL45', '20_lag_traCA', '15_lag_stratZ50ndj04', '19_lag_cetTSjfm', '16_lag_gyreSSTjfm', '15_lag_23_median_ismPRjja']","[5.455735906370499, 0.41379317910813107, 1.6370988399780035, 4.93372072229024, 2.216014538704263, 4.191412831557111]","17_lag_mhfATL45, 20_lag_traCA, 15_lag_stratZ50ndj04, 19_lag_cetTSjfm, 16_lag_gyreSSTjfm, 15_lag_23_median_ismPRjja_1235_15"
LRforcedPSO,11,6,mhfATL30,shigh,1725.5,2005.5,0.8,26,16,16,20.24412838543725,-0.005780654350256695,1235,"['16_lag_17_median_traBO', '16_lag_23_median_shSICsep', '18_lag_atlSICjfm', '16_lag_25_median_traWP', '24_lag_scpPSLjfm', '18_lag_AMOCann']","[2.381840888308206, 3.204854349668393, 1.394750958917923, 4.618077934000164, 3.575886328739621, 2.553310720638347]","16_lag_17_median_traBO, 16_lag_23_median_shSICsep, 18_lag_atlSICjfm, 16_lag_25_median_traWP, 24_lag_scpPSLjfm, 18_lag_AMOCann_1235_16"
LRforcedPSO,12,6,mhfATL30,shigh,1726.5,2005.5,0.8,27,17,17,14.92854275260169,0.3762435896299979,1235,"['20_lag_stratZ50ndj01', '17_lag_eurPSLjfm', '18_lag_amo1', '21_lag_atlSICjfm', '21_lag_mhfATL60', '18_lag_nhTSjfm']","[2.853849198953465, 3.262532740229427, 2.628096965419927, 3.0864228977819828, 2.4468998638481203, 2.460161577659886]","20_lag_stratZ50ndj01, 17_lag_eurPSLjfm, 18_lag_amo1, 21_lag_atlSICjfm, 21_lag_mhfATL60, 18_lag_nhTSjfm_1235_17"
LRforcedPSO,13,6,mhfATL30,shigh,1727.5,2005.5,0.8,28,18,18,15.948019733981583,0.34789485888638483,1235,"['18_lag_20_median_amo3', '25_lag_samPSLann', '18_lag_26_median_nchinaPRjja', '18_lag_23_median_scpPSLjfm', '19_lag_mhfATL60', '26_lag_eurPSLjfm']","[3.047189888478015, 2.358744971626821, 2.418247651262428, 3.00924144839592, 2.289583786368374, 2.3273867091728366]","18_lag_20_median_amo3, 25_lag_samPSLann, 18_lag_26_median_nchinaPRjja, 18_lag_23_median_scpPSLjfm, 19_lag_mhfATL60, 26_lag_eurPSLjfm_1235_18"
LRforcedPSO,14,6,mhfATL30,shigh,1728.5,2005.5,0.8,29,19,19,18.56017632063078,0.018312510574033734,1235,"['20_lag_tripol1', '19_lag_24_median_arcTSjfm', '19_lag_traBO', '19_lag_23_median_atlSICjfm', '27_lag_neurTSjfm', '19_lag_27_median_neurTSjfm']","[2.3658885012357462, 0.034683604625357134, 3.8555692986868078, 4.923455824772683, 0.442903575869515, 0.04347490895282391]","20_lag_tripol1, 19_lag_24_median_arcTSjfm, 19_lag_traBO, 19_lag_23_median_atlSICjfm, 27_lag_neurTSjfm, 19_lag_27_median_neurTSjfm_1235_19"
LRforcedPSO,15,6,mhfATL30,shigh,1729.5,2005.5,0.8,30,20,21,18.900061136578415,-0.3701213243447355,1235,"['23_lag_traDS', '25_lag_amo1', '25_lag_labSSTjfm', '21_lag_stratZ50ndj04', '24_lag_atlSICjfm', '23_lag_traWP']","[2.1919913183406, 0.015036850793453738, 3.2147427574152694, 2.6068470126229837, 0.3047813458248534, 6.194286276764203]","23_lag_traDS, 25_lag_amo1, 25_lag_labSSTjfm, 21_lag_stratZ50ndj04, 24_lag_atlSICjfm, 23_lag_traWP_1235_21"
LRforcedPSO,16,6,mhfATL30,shigh,1730.5,2005.5,0.8,31,21,21,15.899936208178937,0.29658927276144653,1235,"['25_lag_scpPSLjfm', '21_lag_24_median_pdoSSTjfm', '21_lag_29_median_eapPSLjfm', '26_lag_alpi', '28_lag_traTLS', '21_lag_22_median_amo2']","[2.673328943768195, 2.913842519447632, 2.668335867275934, 2.733506580089941, 2.649766142996039, 3.529915958463313]","25_lag_scpPSLjfm, 21_lag_24_median_pdoSSTjfm, 21_lag_29_median_eapPSLjfm, 26_lag_alpi, 28_lag_traTLS, 21_lag_22_median_amo2_1235_21"
LRforcedPSO,17,6,mhfATL30,shigh,1731.5,2005.5,0.8,32,22,22,15.686903740877536,0.5951644428696131,1235,"['22_lag_25_median_shSICsep', '22_lag_31_median_traMC', '22_lag_25_median_gyreSSTjfm', '22_lag_27_median_tripol3', '22_lag_traEU', '22_lag_27_median_nhSICsep']","[4.027986678017449, 0.10724601758351326, 0.3356339750307864, 4.7666869301927495, 0.2898936108793322, 9.280590069574089]","22_lag_25_median_shSICsep, 22_lag_31_median_traMC, 22_lag_25_median_gyreSSTjfm, 22_lag_27_median_tripol3, 22_lag_traEU, 22_lag_27_median_nhSICsep_1235_22"
