model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,6,naoPSLjfm,shigh,1714.5,2005.5,0.6,15,5,5,14.525127003119701,0.054443040794528975,418,"['5_lag_12_median_naoPSLjfm', '13_lag_shSICmar', '5_lag_nppc2SSTjfm', '5_lag_7_median_amo3', '8_lag_nhSICjfm', '12_lag_amo2']","[3.6341553229036254, 2.217592595054356, 2.886354503372295, 1.4235338207213992, 0.8739813307053463, 1.1595432417492724]","5_lag_12_median_naoPSLjfm, 13_lag_shSICmar, 5_lag_nppc2SSTjfm, 5_lag_7_median_amo3, 8_lag_nhSICjfm, 12_lag_amo2_418_5"
LRforcedPSO,1,6,naoPSLjfm,shigh,1715.5,2005.5,0.6,16,6,6,17.732469169323114,0.19824315055372158,418,"['6_lag_13_median_amo1', '6_lag_15_median_solFORC', '11_lag_atlSICjfm', '6_lag_7_median_amo1', '6_lag_9_median_nhSICjfm', '11_lag_nhSICsep']","[7.236242932119817, 6.737054971201143, 1.2241713270173484, 3.3969993387266157, 1.0517763974157042, 3.334266627899993]","6_lag_13_median_amo1, 6_lag_15_median_solFORC, 11_lag_atlSICjfm, 6_lag_7_median_amo1, 6_lag_9_median_nhSICjfm, 11_lag_nhSICsep_418_6"
LRforcedPSO,2,6,naoPSLjfm,shigh,1716.5,2005.5,0.6,17,7,7,17.336803081910414,0.14390551364098142,418,"['7_lag_16_median_amo2', '11_lag_solFORC', '11_lag_amo1', '7_lag_10_median_stratZ50ndj02', '7_lag_12_median_nhSICjfm', '9_lag_amo3']","[5.312938476970808, 4.383819842979083, 2.083803572366305, 1.1304362028571813, 4.305560074401225, 5.831068723387154]","7_lag_16_median_amo2, 11_lag_solFORC, 11_lag_amo1, 7_lag_10_median_stratZ50ndj02, 7_lag_12_median_nhSICjfm, 9_lag_amo3_418_7"
LRforcedPSO,3,6,naoPSLjfm,shigh,1717.5,2005.5,0.6,18,8,8,15.848869014887761,-0.034222266079336684,418,"['8_lag_9_median_stratZ50ndj03', '8_lag_13_median_nhSICjfm', '14_lag_nhSICjfm', '15_lag_atlSICjfm', '13_lag_amo2', '8_lag_9_median_amoSSTmjjaso']","[2.5697911059481315, 2.875886581095453, 3.2421768594261704, 3.426388141144795, 2.7215358045100637, 2.8197176903697674]","8_lag_9_median_stratZ50ndj03, 8_lag_13_median_nhSICjfm, 14_lag_nhSICjfm, 15_lag_atlSICjfm, 13_lag_amo2, 8_lag_9_median_amoSSTmjjaso_418_8"
LRforcedPSO,4,6,naoPSLjfm,shigh,1718.5,2005.5,0.6,19,9,9,16.670627455052685,-0.024751399024410797,418,"['9_lag_12_median_nhSICjfm', '10_lag_amoSSTmjjaso', '9_lag_17_median_amo1', '9_lag_15_median_stratZ50ndj04', '14_lag_eapPSLjfm', '9_lag_solFORC']","[0.22252476384067776, 3.2792582682859717, 0.937854630994039, 6.886790048474019, 0.9636385892812331, 1.1700310616804988]","9_lag_12_median_nhSICjfm, 10_lag_amoSSTmjjaso, 9_lag_17_median_amo1, 9_lag_15_median_stratZ50ndj04, 14_lag_eapPSLjfm, 9_lag_solFORC_418_9"
LRforcedPSO,5,6,naoPSLjfm,shigh,1719.5,2005.5,0.6,20,10,10,16.980753070859485,0.01902797570715047,418,"['10_lag_15_median_shSICsep', '10_lag_19_median_atlSICsep', '10_lag_16_median_amoSSTjfm', '10_lag_13_median_solFORC', '19_lag_eurPSLjfm', '13_lag_eurPSLjfm']","[1.5616439066253527, 5.6734780046682705, 0.09929541513721674, 4.297717966582946, 0.12099959379121472, 2.740298553140141]","10_lag_15_median_shSICsep, 10_lag_19_median_atlSICsep, 10_lag_16_median_amoSSTjfm, 10_lag_13_median_solFORC, 19_lag_eurPSLjfm, 13_lag_eurPSLjfm_418_10"
LRforcedPSO,6,6,naoPSLjfm,shigh,1720.5,2005.5,0.6,21,11,11,16.147230029207982,-0.08826062091776334,418,"['11_lag_12_median_nppc2SSTjfm', '17_lag_stratZ50ndj03', '13_lag_amo2', '12_lag_amo1', '20_lag_amo1', '12_lag_amoSSTjfm']","[4.237910050206047, 0.9040701999795697, 2.3265434024776717, 2.4695198158311484, 1.758445557381247, 2.8118692227027093]","11_lag_12_median_nppc2SSTjfm, 17_lag_stratZ50ndj03, 13_lag_amo2, 12_lag_amo1, 20_lag_amo1, 12_lag_amoSSTjfm_418_11"
LRforcedPSO,7,6,naoPSLjfm,shigh,1721.5,2005.5,0.6,22,12,12,14.343984744234875,0.0940877250827342,418,"['12_lag_16_median_stratZ50ndj04', '20_lag_amoSSTmjjaso', '12_lag_amo2', '20_lag_solFORC', '13_lag_shSICmar', '12_lag_20_median_nhSICjfm']","[1.1823140338840297, 2.7641177318432364, 4.481588037168303, 1.4420432169772575, 0.7004812451837346, 4.524270120469005]","12_lag_16_median_stratZ50ndj04, 20_lag_amoSSTmjjaso, 12_lag_amo2, 20_lag_solFORC, 13_lag_shSICmar, 12_lag_20_median_nhSICjfm_418_12"
LRforcedPSO,8,6,naoPSLjfm,shigh,1722.5,2005.5,0.6,23,13,13,15.831317912490807,-0.04684738878874327,418,"['14_lag_shSICmar', '22_lag_amoSSTjfm', '13_lag_17_median_shSICmar', '19_lag_amo1', '14_lag_scpPSLjfm', '17_lag_amoSSTmjjaso']","[7.277874914570839, 0.5928965079398587, 8.220329342422275, 3.431204588286489, 2.612947160805126, 2.1978715437705905]","14_lag_shSICmar, 22_lag_amoSSTjfm, 13_lag_17_median_shSICmar, 19_lag_amo1, 14_lag_scpPSLjfm, 17_lag_amoSSTmjjaso_418_13"
LRforcedPSO,9,6,naoPSLjfm,shigh,1723.5,2005.5,0.6,24,14,14,15.691206279083891,-0.03328159192756338,418,"['14_lag_18_median_amoSSTjfm', '19_lag_eurPSLjfm', '20_lag_stratZ50ndj03', '14_lag_20_median_atlSICsep', '14_lag_15_median_amo1', '23_lag_nhSICjfm']","[1.567955911919693, 3.318099534932493, 3.1476073960617192, 2.3167022123828884, 1.3046065739051382, 0.9984443516059791]","14_lag_18_median_amoSSTjfm, 19_lag_eurPSLjfm, 20_lag_stratZ50ndj03, 14_lag_20_median_atlSICsep, 14_lag_15_median_amo1, 23_lag_nhSICjfm_418_14"
