model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,nchinaPRjja,shigh,1714.5,2005.5,0.4,15,1,1,22.87639623884095,0.016841568315645185,1755,"['14_lag_mhfIP30', '1_lag_8_median_scpPSLjfm', '2_lag_traTLS', '14_lag_shSICsep', '1_lag_14_median_shTSjfm', '5_lag_traIFC', '1_lag_11_median_traEC', '12_lag_glTSjfm', '1_lag_12_median_glomaSSTjfm', '1_lag_13_median_wnorPRjfm']","[0.776029324145016, 3.631757641166951, 4.62293991178125, 2.4484796662355954, 4.723719372443087, 0.15743528472462565, 2.4604648349632647, 2.423716913477656, 0.1970557659033112, 2.773990952990461]","14_lag_mhfIP30, 1_lag_8_median_scpPSLjfm, 2_lag_traTLS, 14_lag_shSICsep, 1_lag_14_median_shTSjfm, 5_lag_traIFC, 1_lag_11_median_traEC, 12_lag_glTSjfm, 1_lag_12_median_glomaSSTjfm, 1_lag_13_median_wnorPRjfm_1755_1"
LRforcedPSO,1,10,nchinaPRjja,shigh,1715.5,2005.5,0.4,16,1,1,19.854877340016277,0.13033209866809617,1885,"['5_lag_scpPSLjfm', '9_lag_traDS', '13_lag_traFS', '1_lag_14_median_traFS', '1_lag_nppc2SSTjfm', '11_lag_tripol2', '10_lag_labSSTjfm', '1_lag_8_median_nppc3SSTjfm', '2_lag_glomaSSTjfm', '1_lag_7_median_scpPSLjfm']","[1.855736351207618, 1.5698321780867825, 4.1472417216216755, 6.608390590374302, 4.515378398435084, 2.5345872898631168, 0.24953992083054288, 4.239394600644475, 3.774306008587316, 3.3779110615980397]","5_lag_scpPSLjfm, 9_lag_traDS, 13_lag_traFS, 1_lag_14_median_traFS, 1_lag_nppc2SSTjfm, 11_lag_tripol2, 10_lag_labSSTjfm, 1_lag_8_median_nppc3SSTjfm, 2_lag_glomaSSTjfm, 1_lag_7_median_scpPSLjfm_1885_1"
LRforcedPSO,2,10,nchinaPRjja,shigh,1716.5,2005.5,0.4,17,1,1,16.35611888865625,0.011447783358837246,2015,"['1_lag_8_median_ensoSSTjfm', '12_lag_traWP', '1_lag_5_median_pdoSSTjfm', '15_lag_cetTSjfm', '7_lag_ismPRjja', '13_lag_traEC', '14_lag_traCA', '10_lag_amo3', '1_lag_10_median_naoPSLjfm', '15_lag_nppc3SSTjfm']","[3.9180036677061114, 4.831398936746055, 1.7048391084453751, 2.05856133274565, 2.0199636599580018, 5.555848371219849, 7.477810020370278, 1.1489644804254784, 6.3173575370639785, 1.2244331654420382]","1_lag_8_median_ensoSSTjfm, 12_lag_traWP, 1_lag_5_median_pdoSSTjfm, 15_lag_cetTSjfm, 7_lag_ismPRjja, 13_lag_traEC, 14_lag_traCA, 10_lag_amo3, 1_lag_10_median_naoPSLjfm, 15_lag_nppc3SSTjfm_2015_1"
LRforcedPSO,3,10,nchinaPRjja,shigh,1717.5,2005.5,0.4,18,1,1,15.631904682161931,0.10459951417565211,2145,"['12_lag_tripol1', '11_lag_mhfATL30', '1_lag_4_median_cetTSjfm', '1_lag_10_median_mhfATL60', '6_lag_traBS', '17_lag_traFB', '8_lag_traDS', '1_lag_4_median_neurTSjfm', '1_lag_5_median_traMC', '4_lag_stratZ50ndj01']","[0.20263678827322273, 2.5843754191037105, 2.1831306933741024, 3.3560815409063203, 0.8806830035499189, 1.2807078547624506, 6.510083394711346, 3.6544481741202457, 4.836895606190456, 0.6479014960480427]","12_lag_tripol1, 11_lag_mhfATL30, 1_lag_4_median_cetTSjfm, 1_lag_10_median_mhfATL60, 6_lag_traBS, 17_lag_traFB, 8_lag_traDS, 1_lag_4_median_neurTSjfm, 1_lag_5_median_traMC, 4_lag_stratZ50ndj01_2145_1"
LRforcedPSO,4,10,nchinaPRjja,shigh,1718.5,2005.5,0.4,19,1,1,20.689597998134403,-0.06461365222030586,2275,"['7_lag_traEC', '13_lag_ormenSSTjfm', '1_lag_3_median_labSSTjfm', '3_lag_glTSjfm', '1_lag_2_median_traWP', '18_lag_labSSTjfm', '18_lag_mhfATL30', '1_lag_18_median_traFSC', '1_lag_7_median_nhSICsep', '15_lag_traMC']","[1.6408097495195584, 2.587889092132192, 4.002310582426373, 5.802421831272991, 3.23295865775191, 3.6644614369144364, 2.568443719178992, 7.4733269322930695, 2.3590025473263214, 5.739443413481293]","7_lag_traEC, 13_lag_ormenSSTjfm, 1_lag_3_median_labSSTjfm, 3_lag_glTSjfm, 1_lag_2_median_traWP, 18_lag_labSSTjfm, 18_lag_mhfATL30, 1_lag_18_median_traFSC, 1_lag_7_median_nhSICsep, 15_lag_traMC_2275_1"
LRforcedPSO,5,10,nchinaPRjja,shigh,1719.5,2005.5,0.4,20,1,1,18.844923421448847,0.01369235995244357,2405,"['13_lag_traEC', '1_lag_14_median_stratZ50ndj04', '1_lag_18_median_nhSICsep', '1_lag_9_median_samPSLann', '1_lag_2_median_ginwSSTjfm', '2_lag_amo2', '1_lag_13_median_samPSLann', '19_lag_traDS', '6_lag_nchinaPRjja', '6_lag_eurPSLjfm']","[1.1860890836846067, 2.0769193831110178, 2.4923911892936834, 0.5337007557305657, 1.264271312262073, 3.9236033029458834, 7.2515079846445225, 5.8333161916152765, 0.8323717066850556, 4.294245860375765]","13_lag_traEC, 1_lag_14_median_stratZ50ndj04, 1_lag_18_median_nhSICsep, 1_lag_9_median_samPSLann, 1_lag_2_median_ginwSSTjfm, 2_lag_amo2, 1_lag_13_median_samPSLann, 19_lag_traDS, 6_lag_nchinaPRjja, 6_lag_eurPSLjfm_2405_1"
LRforcedPSO,6,10,nchinaPRjja,shigh,1720.5,2005.5,0.4,21,1,1,18.5785084479314,-0.06164781445340316,2535,"['1_lag_3_median_traWP', '1_lag_11_median_samPSLann', '1_lag_3_median_traIFC', '2_lag_nppc3SSTjfm', '1_lag_7_median_amo3', '8_lag_labSSTjfm', '1_lag_18_median_traEC', '1_lag_scpPSLjfm', '13_lag_mhfATL45', '12_lag_scpPSLjfm']","[4.550080750542911, 0.7303166225833806, 0.8901671960747599, 0.2763241600035933, 1.3252608830855266, 2.1594255221287177, 5.433980594915308, 5.394822930581238, 7.376268948956813, 3.1760709378800396]","1_lag_3_median_traWP, 1_lag_11_median_samPSLann, 1_lag_3_median_traIFC, 2_lag_nppc3SSTjfm, 1_lag_7_median_amo3, 8_lag_labSSTjfm, 1_lag_18_median_traEC, 1_lag_scpPSLjfm, 13_lag_mhfATL45, 12_lag_scpPSLjfm_2535_1"
LRforcedPSO,7,10,nchinaPRjja,shigh,1721.5,2005.5,0.4,22,2,2,19.333808658309234,-0.07170086541203388,2535,"['2_lag_3_median_traDS', '14_lag_ginwSSTjfm', '15_lag_traEC', '18_lag_mhfIP30', '7_lag_traEC', '6_lag_stratZ50ndj04', '6_lag_traMC', '2_lag_13_median_traFS', '7_lag_samPSLann', '16_lag_ormenSSTjfm']","[0.6342160449823737, 6.904942899690795, 2.3514603329514427, 0.24431422121253554, 6.094924433833366, 0.29037266951061724, 6.557989341402546, 4.5773403856595625, 0.5527605136565796, 7.84302308664655]","2_lag_3_median_traDS, 14_lag_ginwSSTjfm, 15_lag_traEC, 18_lag_mhfIP30, 7_lag_traEC, 6_lag_stratZ50ndj04, 6_lag_traMC, 2_lag_13_median_traFS, 7_lag_samPSLann, 16_lag_ormenSSTjfm_2535_2"
LRforcedPSO,8,10,nchinaPRjja,shigh,1722.5,2005.5,0.4,23,3,3,14.401461373986116,0.055812445760367986,2535,"['18_lag_shTSjfm', '6_lag_ormenSSTjfm', '8_lag_amo3', '3_lag_7_median_traIFC', '7_lag_stratZ50ndj03', '3_lag_19_median_mhfATL60', '3_lag_14_median_traFS', '22_lag_neurTSjfm', '3_lag_22_median_scpPSLjfm', '14_lag_traDS']","[0.9175400575503474, 1.1021867819726374, 3.0317849182713896, 1.0573030850981162, 1.1490133306365529, 1.1715375218313095, 0.40320741301365715, 0.6216875977095544, 1.8045315957079016, 3.323112790533269]","18_lag_shTSjfm, 6_lag_ormenSSTjfm, 8_lag_amo3, 3_lag_7_median_traIFC, 7_lag_stratZ50ndj03, 3_lag_19_median_mhfATL60, 3_lag_14_median_traFS, 22_lag_neurTSjfm, 3_lag_22_median_scpPSLjfm, 14_lag_traDS_2535_3"
LRforcedPSO,9,10,nchinaPRjja,shigh,1723.5,2005.5,0.4,24,4,4,16.287924745293903,0.06491288063649377,2535,"['4_lag_16_median_traFS', '4_lag_11_median_yrvPRjja', '4_lag_16_median_stratZ50ndj04', '4_lag_10_median_ismPRjja', '4_lag_20_median_alpi', '4_lag_5_median_traCA', '21_lag_traCA', '4_lag_atlSICjfm', '4_lag_14_median_tripol1', '4_lag_amo3']","[1.6471529387569266, 4.897681139256235, 3.0232485567407537, 3.541939722944745, 4.58531767447834, 5.184342368847734, 0.650287915509562, 5.290650210114656, 4.335386531480552, 5.8906174259815]","4_lag_16_median_traFS, 4_lag_11_median_yrvPRjja, 4_lag_16_median_stratZ50ndj04, 4_lag_10_median_ismPRjja, 4_lag_20_median_alpi, 4_lag_5_median_traCA, 21_lag_traCA, 4_lag_atlSICjfm, 4_lag_14_median_tripol1, 4_lag_amo3_2535_4"
