model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,6,nchinaPRjja,shigh,1514.5,2005.5,0.4,15,5,9,12.447021786610238,0.02868957507763432,1235,"['13_lag_traEC', '10_lag_ismPRjja', '10_lag_traTLS', '12_lag_stratZ50ndj01', '10_lag_yrvPRjja', '9_lag_traTLS']","[0.15136401729257312, 0.0033396718327639296, 0.047170479287835076, 0.0423139392941539, 0.18815911282632655, 0.07925034538245251]","13_lag_traEC, 10_lag_ismPRjja, 10_lag_traTLS, 12_lag_stratZ50ndj01, 10_lag_yrvPRjja, 9_lag_traTLS_1235_9"
LinearRegression,1,6,nchinaPRjja,shigh,1515.5,2005.5,0.4,16,6,6,12.572738398488168,0.0001711479943881406,1235,"['14_lag_shSICmar', '10_lag_ismPRjja', '6_lag_seurTSjfm', '13_lag_stratZ50ndj03', '10_lag_yrvPRjja', '9_lag_traTLS']","[0.10183853260885509, 0.0486956615838877, 0.049262403070815336, 0.10248647666184332, 0.17148079927270016, 0.10809628582762383]","14_lag_shSICmar, 10_lag_ismPRjja, 6_lag_seurTSjfm, 13_lag_stratZ50ndj03, 10_lag_yrvPRjja, 9_lag_traTLS_1235_6"
LinearRegression,2,6,nchinaPRjja,shigh,1516.5,2005.5,0.4,17,7,9,12.78574538551252,-0.017207986707397094,1235,"['10_lag_traTLS', '13_lag_traEC', '16_lag_alpi', '10_lag_ismPRjja', '13_lag_eurPSLjfm', '9_lag_traTLS']","[0.01807312717230135, 0.11438275063974432, 0.050326904945431496, 0.09438590552570833, 0.19280947232662785, 0.06897871254204703]","10_lag_traTLS, 13_lag_traEC, 16_lag_alpi, 10_lag_ismPRjja, 13_lag_eurPSLjfm, 9_lag_traTLS_1235_9"
LinearRegression,3,6,nchinaPRjja,shigh,1517.5,2005.5,0.4,18,8,8,12.78612538391622,-0.034295362969341346,1235,"['16_lag_traBO', '10_lag_traTLS', '8_lag_9_median_traTLS', '9_lag_traTLS', '15_lag_mhfIP30', '13_lag_eurPSLjfm']","[0.02255610638311679, 0.009274007155642722, 102986071059248.8, 102986071059248.64, 0.047138193241816284, 0.16764821613331604]","16_lag_traBO, 10_lag_traTLS, 8_lag_9_median_traTLS, 9_lag_traTLS, 15_lag_mhfIP30, 13_lag_eurPSLjfm_1235_8"
LinearRegression,4,6,nchinaPRjja,shigh,1518.5,2005.5,0.4,19,9,9,12.914599490837015,-0.014721970265962314,1235,"['13_lag_eurPSLjfm', '13_lag_tripol3', '14_lag_shSICmar', '11_lag_traMC', '15_lag_mhfIP30', '9_lag_traTLS']","[0.17698285824342616, 0.13730094175638152, 0.06064134057256894, 0.09877528536686025, 0.02549600089553353, 0.10141703948042906]","13_lag_eurPSLjfm, 13_lag_tripol3, 14_lag_shSICmar, 11_lag_traMC, 15_lag_mhfIP30, 9_lag_traTLS_1235_9"
LinearRegression,5,6,nchinaPRjja,shigh,1519.5,2005.5,0.4,20,10,10,12.365448782198614,-0.02366756445328784,1235,"['10_lag_traTLS', '14_lag_shSICmar', '17_lag_eapPSLjfm', '15_lag_mhfIP30', '13_lag_atlSICjfm', '17_lag_traEU']","[0.029287726085479412, 0.09400345815850454, 0.10551632279764138, 0.030404810329681484, 0.06966229796770816, 0.07450397276783058]","10_lag_traTLS, 14_lag_shSICmar, 17_lag_eapPSLjfm, 15_lag_mhfIP30, 13_lag_atlSICjfm, 17_lag_traEU_1235_10"
LinearRegression,6,6,nchinaPRjja,shigh,1520.5,2005.5,0.4,21,11,13,12.771376980214741,-0.00977202527986383,1235,"['17_lag_eapPSLjfm', '14_lag_shSICmar', '15_lag_arcTSjfm', '14_lag_traEC', '18_lag_eurPSLjfm', '13_lag_tripol3']","[0.10598833889667146, 0.05309955292922028, 0.03879619625202643, 0.001481454861022996, 0.16133926961273237, 0.1544989536610021]","17_lag_eapPSLjfm, 14_lag_shSICmar, 15_lag_arcTSjfm, 14_lag_traEC, 18_lag_eurPSLjfm, 13_lag_tripol3_1235_13"
LinearRegression,7,6,nchinaPRjja,shigh,1521.5,2005.5,0.4,22,12,14,12.85963274130213,-0.014620230445358,1235,"['14_lag_traEC', '15_lag_traMC', '14_lag_shSICmar', '17_lag_nchinaPRjja', '17_lag_eapPSLjfm', '21_lag_stratZ50ndj01']","[0.008488103199713885, 0.14053481157182218, 0.10668321307694306, 0.05027276347119433, 0.11382608330720388, 0.07392084590691049]","14_lag_traEC, 15_lag_traMC, 14_lag_shSICmar, 17_lag_nchinaPRjja, 17_lag_eapPSLjfm, 21_lag_stratZ50ndj01_1235_14"
LinearRegression,8,6,nchinaPRjja,shigh,1522.5,2005.5,0.4,23,13,13,13.392749718707053,-0.027771486774768928,1235,"['16_lag_samPSLann', '15_lag_traMC', '15_lag_traTLS', '13_lag_tripol3', '22_lag_traEU', '17_lag_eapPSLjfm']","[0.20358857098649244, 0.14162320928885871, 0.06399014359633523, 0.14489522433414118, 0.10303274324747001, 0.1013111965535155]","16_lag_samPSLann, 15_lag_traMC, 15_lag_traTLS, 13_lag_tripol3, 22_lag_traEU, 17_lag_eapPSLjfm_1235_13"
LinearRegression,9,6,nchinaPRjja,shigh,1523.5,2005.5,0.4,24,14,14,13.416538716792656,-0.043993368984713815,1235,"['20_lag_cetTSjfm', '20_lag_traIT', '14_lag_scpPSLjfm', '14_lag_yrvPRjja', '17_lag_eapPSLjfm', '22_lag_traEU']","[0.17204309090947267, 0.005025124468104464, 0.1382771135537764, 0.19119470474490982, 0.11293279687228999, 0.12452670547635748]","20_lag_cetTSjfm, 20_lag_traIT, 14_lag_scpPSLjfm, 14_lag_yrvPRjja, 17_lag_eapPSLjfm, 22_lag_traEU_1235_14"
