model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,10,neurTSjfm,shigh,866.5,2005.5,0.6,15,1,1,13.605719733894652,0.08222799168828433,1755,"['4_lag_seurTSjfm', '8_lag_nppc2SSTjfm', '5_lag_atlSICsep', '12_lag_traTLS', '11_lag_ormenSSTjfm', '8_lag_cetTSjfm', '10_lag_samPSLann', '1_lag_neurTSjfm', '4_lag_amoSSTmjjaso', '8_lag_amo1']","[0.024221062559516122, 0.02365135104558711, 0.023807933540365596, 0.08177759693750578, 0.08265022870431753, 0.1252203119675313, 0.013889519348591, 0.05630313034263671, 0.12386645470680713, 0.0662454068815729]","4_lag_seurTSjfm, 8_lag_nppc2SSTjfm, 5_lag_atlSICsep, 12_lag_traTLS, 11_lag_ormenSSTjfm, 8_lag_cetTSjfm, 10_lag_samPSLann, 1_lag_neurTSjfm, 4_lag_amoSSTmjjaso, 8_lag_amo1_1755_1"
LinearRegression,1,10,neurTSjfm,shigh,867.5,2005.5,0.6,16,1,1,13.670191941519787,0.09134810867144018,1885,"['15_lag_naoPSLjfm', '1_lag_tripol3', '10_lag_samPSLann', '13_lag_traMC', '12_lag_shSICsep', '5_lag_atlSICsep', '8_lag_amo2', '1_lag_neurTSjfm', '4_lag_amoSSTmjjaso', '8_lag_amo1']","[0.009567009681321884, 0.08054878677128283, 0.01077033936045901, 0.012898704820421308, 0.024078008808003138, 0.016390640346265736, 0.06382146535358482, 0.05196512284805188, 0.15095315236220835, 0.07998879648089242]","15_lag_naoPSLjfm, 1_lag_tripol3, 10_lag_samPSLann, 13_lag_traMC, 12_lag_shSICsep, 5_lag_atlSICsep, 8_lag_amo2, 1_lag_neurTSjfm, 4_lag_amoSSTmjjaso, 8_lag_amo1_1885_1"
LinearRegression,2,10,neurTSjfm,shigh,868.5,2005.5,0.6,17,1,1,13.702756232361246,0.08471564995092198,2015,"['1_lag_tripol3', '10_lag_samPSLann', '10_lag_ormenSSTjfm', '16_lag_traIT', '5_lag_atlSICsep', '4_lag_amoSSTmjjaso', '1_lag_neurTSjfm', '8_lag_mhfATL45', '16_lag_scpPSLjfm', '8_lag_amo1']","[0.06282029147519654, 0.021778689878716256, 0.07272258240664134, 0.027014825470070926, 0.047297052051634265, 0.10806016599305317, 0.061705260074913684, 0.06653069351645861, 0.07420026686791742, 0.05198155604874023]","1_lag_tripol3, 10_lag_samPSLann, 10_lag_ormenSSTjfm, 16_lag_traIT, 5_lag_atlSICsep, 4_lag_amoSSTmjjaso, 1_lag_neurTSjfm, 8_lag_mhfATL45, 16_lag_scpPSLjfm, 8_lag_amo1_2015_1"
LinearRegression,3,10,neurTSjfm,shigh,869.5,2005.5,0.6,18,1,1,13.855877111772521,-0.04520509361818107,2145,"['5_lag_atlSICsep', '17_lag_cetTSjfm', '8_lag_amo2', '8_lag_mhfATL45', '8_lag_naoPSLjfm', '3_lag_neurTSjfm', '16_lag_atlSICsep', '16_lag_scpPSLjfm', '8_lag_amo1', '1_lag_neurTSjfm']","[0.006511762616694464, 0.06204367488174351, 0.025574122436138186, 0.08514699905958781, 0.07264148412746907, 0.04993820342636366, 0.017368664630257297, 0.08387140245260737, 0.06660781377570796, 0.04991585863760459]","5_lag_atlSICsep, 17_lag_cetTSjfm, 8_lag_amo2, 8_lag_mhfATL45, 8_lag_naoPSLjfm, 3_lag_neurTSjfm, 16_lag_atlSICsep, 16_lag_scpPSLjfm, 8_lag_amo1, 1_lag_neurTSjfm_2145_1"
LinearRegression,4,10,neurTSjfm,shigh,870.5,2005.5,0.6,19,1,1,13.765856459858,0.037610673990693136,2275,"['14_lag_traFB', '7_lag_nppc2SSTjfm', '8_lag_naoPSLjfm', '16_lag_scpPSLjfm', '1_lag_tripol3', '17_lag_cetTSjfm', '8_lag_mhfATL45', '8_lag_amo1', '16_lag_atlSICsep', '1_lag_neurTSjfm']","[0.05241358918076048, 0.019832659376193787, 0.07621326236025423, 0.08394824235022011, 0.060499035557973806, 0.06579847391509457, 0.08847219294509032, 0.04583494583378389, 0.019128621299986416, 0.0597563053912974]","14_lag_traFB, 7_lag_nppc2SSTjfm, 8_lag_naoPSLjfm, 16_lag_scpPSLjfm, 1_lag_tripol3, 17_lag_cetTSjfm, 8_lag_mhfATL45, 8_lag_amo1, 16_lag_atlSICsep, 1_lag_neurTSjfm_2275_1"
LinearRegression,5,10,neurTSjfm,shigh,871.5,2005.5,0.6,20,1,1,13.650912271898559,0.08654834509509785,2405,"['10_lag_samPSLann', '16_lag_scpPSLjfm', '7_lag_nppc3SSTjfm', '8_lag_amo1', '14_lag_traFB', '16_lag_traIT', '16_lag_atlSICsep', '19_lag_cetTSjfm', '1_lag_neurTSjfm', '5_lag_atlSICsep']","[0.008538704389267964, 0.09072855910290781, 0.04157900718289499, 0.07139676636546397, 0.024525405987374457, 0.026853373441586254, 0.010393244452131824, 0.02596204039777216, 0.05266085284437016, 0.0019265104617637724]","10_lag_samPSLann, 16_lag_scpPSLjfm, 7_lag_nppc3SSTjfm, 8_lag_amo1, 14_lag_traFB, 16_lag_traIT, 16_lag_atlSICsep, 19_lag_cetTSjfm, 1_lag_neurTSjfm, 5_lag_atlSICsep_2405_1"
LinearRegression,6,10,neurTSjfm,shigh,872.5,2005.5,0.6,21,1,1,13.730622964130733,0.05263325811444906,2535,"['17_lag_atlSICjfm', '20_lag_wnorPRjfm', '16_lag_ismPRjja', '17_lag_nhSICsep', '1_lag_wnorPRjfm', '20_lag_traFSC', '9_lag_nhSICsep', '16_lag_atlSICsep', '1_lag_neurTSjfm', '5_lag_atlSICsep']","[0.015126167267906006, 0.04478432475264345, 0.03587976701779351, 0.11284521443428426, 0.04811969118340366, 0.021231658126271376, 0.05136714484477447, 0.022678025586290337, 0.015415748516617532, 0.003925967807057758]","17_lag_atlSICjfm, 20_lag_wnorPRjfm, 16_lag_ismPRjja, 17_lag_nhSICsep, 1_lag_wnorPRjfm, 20_lag_traFSC, 9_lag_nhSICsep, 16_lag_atlSICsep, 1_lag_neurTSjfm, 5_lag_atlSICsep_2535_1"
LinearRegression,7,10,neurTSjfm,shigh,873.5,2005.5,0.6,22,1,1,13.817094073669,0.01582439432832461,2665,"['12_lag_shSICsep', '8_lag_amo1', '17_lag_atlSICjfm', '14_lag_traFB', '1_lag_wnorPRjfm', '5_lag_atlSICsep', '20_lag_ormenSSTjfm', '9_lag_nhSICsep', '20_lag_traFSC', '1_lag_neurTSjfm']","[0.006495079785976168, 0.10432679624891994, 0.02459675458223997, 0.009207262825269295, 0.053937248901660836, 0.006306920683606457, 0.07448180718486237, 0.07747795259640392, 0.0066859746453363025, 0.01297240987564298]","12_lag_shSICsep, 8_lag_amo1, 17_lag_atlSICjfm, 14_lag_traFB, 1_lag_wnorPRjfm, 5_lag_atlSICsep, 20_lag_ormenSSTjfm, 9_lag_nhSICsep, 20_lag_traFSC, 1_lag_neurTSjfm_2665_1"
LinearRegression,8,10,neurTSjfm,shigh,874.5,2005.5,0.6,23,1,1,13.605300263425415,0.11502305341715276,2795,"['16_lag_ismPRjja', '7_lag_nppc3SSTjfm', '20_lag_ormenSSTjfm', '20_lag_traFSC', '16_lag_nchinaPRjja', '8_lag_traDS', '1_lag_neurTSjfm', '1_lag_wnorPRjfm', '14_lag_traFB', '9_lag_nhSICsep']","[0.0445119406428418, 0.07512020432602894, 0.062316281720287504, 0.012172672186810635, 0.11980301000886812, 0.031652286533437254, 0.004325259592259018, 0.06352574874571584, 0.01562568044861542, 0.050422959653580506]","16_lag_ismPRjja, 7_lag_nppc3SSTjfm, 20_lag_ormenSSTjfm, 20_lag_traFSC, 16_lag_nchinaPRjja, 8_lag_traDS, 1_lag_neurTSjfm, 1_lag_wnorPRjfm, 14_lag_traFB, 9_lag_nhSICsep_2795_1"
LinearRegression,9,10,neurTSjfm,shigh,875.5,2005.5,0.6,24,1,1,13.660415789562977,0.06387500822965525,2925,"['18_lag_stratZ50ndj02', '16_lag_nchinaPRjja', '5_lag_nhSICsep', '17_lag_atlSICjfm', '1_lag_neurTSjfm', '20_lag_ormenSSTjfm', '14_lag_traFB', '9_lag_nhSICsep', '1_lag_wnorPRjfm', '16_lag_ismPRjja']","[0.04480944438899754, 0.11144989138394511, 0.13451213325151185, 0.03581268766162063, 0.009246699366792309, 0.06082813563881821, 0.025143327288002986, 0.07368896899436438, 0.057723605728913246, 0.04091949851713898]","18_lag_stratZ50ndj02, 16_lag_nchinaPRjja, 5_lag_nhSICsep, 17_lag_atlSICjfm, 1_lag_neurTSjfm, 20_lag_ormenSSTjfm, 14_lag_traFB, 9_lag_nhSICsep, 1_lag_wnorPRjfm, 16_lag_ismPRjja_2925_1"
