model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,6,nhSICjfm,shigh,866.5,2005.5,0.8,15,1,1,13.411891519864088,0.37940652302424527,1755,"['8_lag_alpi', '1_lag_2_median_traIFC', '3_lag_nppc3SSTjfm', '1_lag_13_median_traWP', '1_lag_4_median_gyreSSTjfm', '1_lag_7_median_stratZ50ndj03']","[2.1821630703619217, 6.945707542138164, 3.8108402382989626, 2.7248984803923904, 2.777312895017787, 2.4408663671370174]","8_lag_alpi, 1_lag_2_median_traIFC, 3_lag_nppc3SSTjfm, 1_lag_13_median_traWP, 1_lag_4_median_gyreSSTjfm, 1_lag_7_median_stratZ50ndj03_1755_1"
LRforcedPSO,1,6,nhSICjfm,shigh,867.5,2005.5,0.8,16,1,1,13.48120056779079,0.32845674117129087,1885,"['5_lag_ismPRjja', '1_lag_6_median_mhfATL30', '2_lag_gyreSSTjfm', '1_lag_12_median_ismPRjja', '1_lag_4_median_atlSICjfm', '1_lag_7_median_AMOCann']","[3.4337184671844376, 1.8221375974971394, 0.5762009968069588, 2.6159339163605466, 5.70661208670427, 0.42767970825445545]","5_lag_ismPRjja, 1_lag_6_median_mhfATL30, 2_lag_gyreSSTjfm, 1_lag_12_median_ismPRjja, 1_lag_4_median_atlSICjfm, 1_lag_7_median_AMOCann_1885_1"
LRforcedPSO,2,6,nhSICjfm,shigh,868.5,2005.5,0.8,17,1,1,11.139625565476184,0.5409414453883985,2015,"['1_lag_16_median_nhTSjfm', '1_lag_4_median_wnorPRjfm', '1_lag_6_median_seurTSjfm', '1_lag_11_median_traWP', '1_lag_15_median_eapPSLjfm', '7_lag_tripol3']","[2.731636492698641, 3.396917688190479, 2.312292765892985, 4.086350450287428, 1.517325515831816, 4.950802691698861]","1_lag_16_median_nhTSjfm, 1_lag_4_median_wnorPRjfm, 1_lag_6_median_seurTSjfm, 1_lag_11_median_traWP, 1_lag_15_median_eapPSLjfm, 7_lag_tripol3_2015_1"
LRforcedPSO,3,6,nhSICjfm,shigh,869.5,2005.5,0.8,18,1,1,13.451618647780583,0.2062815444872277,2145,"['1_lag_3_median_eapPSLjfm', '10_lag_mhfIP30', '1_lag_4_median_labSSTjfm', '8_lag_stratZ50ndj03', '1_lag_17_median_shSICmar', '1_lag_3_median_naoPSLjfm']","[3.330672281346299, 3.790307714974441, 5.5674599774332005, 1.2761820159221102, 1.0681660445744328, 0.6682329531558047]","1_lag_3_median_eapPSLjfm, 10_lag_mhfIP30, 1_lag_4_median_labSSTjfm, 8_lag_stratZ50ndj03, 1_lag_17_median_shSICmar, 1_lag_3_median_naoPSLjfm_2145_1"
LRforcedPSO,4,6,nhSICjfm,shigh,870.5,2005.5,0.8,19,1,1,11.276811394295063,0.5177886185120728,2275,"['4_lag_shTSjfm', '1_lag_17_median_traMC', '16_lag_eapPSLjfm', '1_lag_3_median_mhfIP30', '11_lag_traWP', '17_lag_naoPSLjfm']","[6.186134785271966, 0.5359189469333732, 0.0112657888053036, 1.5396813947120656, 4.046966754032734, 3.768524889985942]","4_lag_shTSjfm, 1_lag_17_median_traMC, 16_lag_eapPSLjfm, 1_lag_3_median_mhfIP30, 11_lag_traWP, 17_lag_naoPSLjfm_2275_1"
LRforcedPSO,5,6,nhSICjfm,shigh,871.5,2005.5,0.8,20,1,1,14.098467167315674,0.4266579920681857,2405,"['1_lag_14_median_amo1', '6_lag_traIT', '10_lag_traWP', '1_lag_15_median_traCA', '1_lag_2_median_satlSSTjfm', '16_lag_pdoSSTjfm']","[0.037738127135419575, 2.3896225053840965, 3.770445824906372, 4.867634531005402, 4.827561296028398, 3.7820534400029215]","1_lag_14_median_amo1, 6_lag_traIT, 10_lag_traWP, 1_lag_15_median_traCA, 1_lag_2_median_satlSSTjfm, 16_lag_pdoSSTjfm_2405_1"
LRforcedPSO,6,6,nhSICjfm,shigh,872.5,2005.5,0.8,21,1,1,13.018445305486784,0.34466316549216724,2535,"['1_lag_16_median_eurPSLjfm', '20_lag_traFB', '1_lag_14_median_shSICsep', '1_lag_5_median_ismPRjja', '10_lag_amo2', '16_lag_traMC']","[1.6991455873457981, 1.7329369170191007, 2.138386505448015, 1.8070309245846685, 2.2530018878912945, 1.832770335304378]","1_lag_16_median_eurPSLjfm, 20_lag_traFB, 1_lag_14_median_shSICsep, 1_lag_5_median_ismPRjja, 10_lag_amo2, 16_lag_traMC_2535_1"
LRforcedPSO,7,6,nhSICjfm,shigh,873.5,2005.5,0.8,22,1,1,10.354951050139764,0.6141513919362025,2665,"['3_lag_atlSICjfm', '5_lag_solFORC', '1_lag_20_median_samPSLann', '1_lag_13_median_ginwSSTjfm', '18_lag_amoSSTmjjaso', '1_lag_nppc2SSTjfm']","[6.93093723759339, 1.1862628284200856, 4.9449794765380375, 0.8712449482352547, 1.7343941336621, 2.9442591142409587]","3_lag_atlSICjfm, 5_lag_solFORC, 1_lag_20_median_samPSLann, 1_lag_13_median_ginwSSTjfm, 18_lag_amoSSTmjjaso, 1_lag_nppc2SSTjfm_2665_1"
LRforcedPSO,8,6,nhSICjfm,shigh,874.5,2005.5,0.8,23,1,1,10.002993439787453,0.6598720397262435,2795,"['9_lag_nppc2SSTjfm', '1_lag_21_median_labSSTjfm', '3_lag_gyreSSTjfm', '1_lag_12_median_ormenSSTjfm', '1_lag_2_median_tripol1', '14_lag_nppc3SSTjfm']","[1.0347061489425702, 0.8774588856679149, 1.5643978033600625, 6.265923177291253, 3.077743129056321, 0.3139125586609772]","9_lag_nppc2SSTjfm, 1_lag_21_median_labSSTjfm, 3_lag_gyreSSTjfm, 1_lag_12_median_ormenSSTjfm, 1_lag_2_median_tripol1, 14_lag_nppc3SSTjfm_2795_1"
LRforcedPSO,9,6,nhSICjfm,shigh,875.5,2005.5,0.8,24,1,1,15.693387319090887,0.31455128877274596,2925,"['20_lag_amo1', '1_lag_2_median_traIT', '1_lag_traTLS', '1_lag_15_median_mhfATL30', '1_lag_23_median_traIT', '1_lag_5_median_samPSLann']","[2.7410111083870303, 1.9275789965397614, 0.7576754318801004, 6.577111224321923, 2.1054425950710627, 5.1055085770537545]","20_lag_amo1, 1_lag_2_median_traIT, 1_lag_traTLS, 1_lag_15_median_mhfATL30, 1_lag_23_median_traIT, 1_lag_5_median_samPSLann_2925_1"
LRforcedPSO,10,6,nhSICjfm,shigh,876.5,2005.5,0.8,25,1,1,12.110699368081498,0.45101915663268866,3055,"['1_lag_19_median_stratZ50ndj01', '24_lag_gyreSSTjfm', '3_lag_AMOCann', '13_lag_amoSSTmjjaso', '20_lag_pdoSSTjfm', '1_lag_16_median_traEU']","[5.4900278947804315, 2.756058446980778, 3.5362369073895294, 8.743467001558498, 1.3325905761644297, 0.19280179747816462]","1_lag_19_median_stratZ50ndj01, 24_lag_gyreSSTjfm, 3_lag_AMOCann, 13_lag_amoSSTmjjaso, 20_lag_pdoSSTjfm, 1_lag_16_median_traEU_3055_1"
LRforcedPSO,11,6,nhSICjfm,shigh,877.5,2005.5,0.8,26,1,1,11.881688464876987,0.5945721241588228,3185,"['1_lag_4_median_stratZ50ndj01', '7_lag_neurTSjfm', '1_lag_13_median_traDP', '1_lag_16_median_nhTSjfm', '16_lag_seurTSjfm', '1_lag_10_median_ismPRjja']","[0.6974744206371124, 3.8866718431108005, 4.5485517541178, 5.133969103129674, 0.17802002448156173, 1.4954257237272834]","1_lag_4_median_stratZ50ndj01, 7_lag_neurTSjfm, 1_lag_13_median_traDP, 1_lag_16_median_nhTSjfm, 16_lag_seurTSjfm, 1_lag_10_median_ismPRjja_3185_1"
LRforcedPSO,12,6,nhSICjfm,shigh,878.5,2005.5,0.8,27,1,1,13.905031234140477,0.046269384722407055,3315,"['26_lag_traBO', '1_lag_10_median_stratZ50ndj01', '17_lag_stratZ50ndj02', '24_lag_ismPRjja', '1_lag_22_median_traMC', '19_lag_traTLS']","[1.3947422748368064, 1.414939244185778, 1.415246010716881, 1.3947358768509275, 1.859593449162273, 1.3947096492164874]","26_lag_traBO, 1_lag_10_median_stratZ50ndj01, 17_lag_stratZ50ndj02, 24_lag_ismPRjja, 1_lag_22_median_traMC, 19_lag_traTLS_3315_1"
LRforcedPSO,13,6,nhSICjfm,shigh,879.5,2005.5,0.8,28,1,1,10.986363623650577,0.5336632170712337,3445,"['1_lag_5_median_traEC', '1_lag_24_median_nhSICjfm', '24_lag_traIFC', '1_lag_22_median_traFB', '5_lag_nppc2SSTjfm', '6_lag_traDP']","[4.307816702885445, 9.754051806601446, 4.957083836983429, 0.12416126585737608, 1.741658493912814, 3.1388759012735123]","1_lag_5_median_traEC, 1_lag_24_median_nhSICjfm, 24_lag_traIFC, 1_lag_22_median_traFB, 5_lag_nppc2SSTjfm, 6_lag_traDP_3445_1"
LRforcedPSO,14,6,nhSICjfm,shigh,880.5,2005.5,0.8,29,1,1,11.693590132008703,0.5055610565161455,3575,"['17_lag_pdoSSTjfm', '1_lag_19_median_amo2', '1_lag_14_median_seurTSjfm', '3_lag_amo3', '1_lag_15_median_mhfATL60', '1_lag_26_median_wnorPRjfm']","[2.07851554177353, 2.653001536099073, 2.2309510981424596, 1.9898757081661802, 2.5361877382109514, 1.9897511529681142]","17_lag_pdoSSTjfm, 1_lag_19_median_amo2, 1_lag_14_median_seurTSjfm, 3_lag_amo3, 1_lag_15_median_mhfATL60, 1_lag_26_median_wnorPRjfm_3575_1"
LRforcedPSO,15,6,nhSICjfm,shigh,881.5,2005.5,0.8,30,1,1,14.83318749531194,0.15035290004697793,3705,"['1_lag_23_median_labSSTjfm', '1_lag_16_median_AMOCann', '1_lag_28_median_atlSICjfm', '1_lag_3_median_traBO', '12_lag_traEU', '1_lag_20_median_cetTSjfm']","[3.1972738691884146, 1.916786827245268, 2.094117166835643, 7.779111979363669, 0.7011356494355336, 3.40680411531498]","1_lag_23_median_labSSTjfm, 1_lag_16_median_AMOCann, 1_lag_28_median_atlSICjfm, 1_lag_3_median_traBO, 12_lag_traEU, 1_lag_20_median_cetTSjfm_3705_1"
LRforcedPSO,16,6,nhSICjfm,shigh,882.5,2005.5,0.8,31,1,1,11.077790776072272,0.5819470961486989,3835,"['23_lag_mhfATL30', '1_lag_28_median_pdoSSTjfm', '1_lag_10_median_nppc3SSTjfm', '1_lag_3_median_solFORC', '20_lag_glomaSSTjfm', '1_lag_20_median_glomaSSTjfm']","[2.23121777144486, 2.2114090627856404, 2.7018680511089226, 2.523117647860052, 2.9479275663763804, 2.9153019787217382]","23_lag_mhfATL30, 1_lag_28_median_pdoSSTjfm, 1_lag_10_median_nppc3SSTjfm, 1_lag_3_median_solFORC, 20_lag_glomaSSTjfm, 1_lag_20_median_glomaSSTjfm_3835_1"
LRforcedPSO,17,6,nhSICjfm,shigh,883.5,2005.5,0.8,32,2,2,15.799687827136328,0.16886534217909854,3835,"['2_lag_26_median_pdoSSTjfm', '11_lag_stratZ50ndj02', '30_lag_stratZ50ndj04', '2_lag_3_median_mhfATL60', '2_lag_17_median_amo3', '20_lag_mhfIP30']","[2.1525913056745196, 0.20026079030442112, 0.01737181675331101, 9.577766598331278, 0.0985329694228394, 1.9341996609003935]","2_lag_26_median_pdoSSTjfm, 11_lag_stratZ50ndj02, 30_lag_stratZ50ndj04, 2_lag_3_median_mhfATL60, 2_lag_17_median_amo3, 20_lag_mhfIP30_3835_2"
LRforcedPSO,18,6,nhSICjfm,shigh,884.5,2005.5,0.8,33,3,3,10.195250028608458,0.5919704111421061,3835,"['9_lag_labSSTjfm', '3_lag_traEU', '17_lag_amo2', '3_lag_13_median_tripol3', '3_lag_24_median_amo1', '29_lag_ormenSSTjfm']","[1.7974149686013803, 1.3282145027702192, 1.4540039173989676, 8.900215029936092, 4.469204365163044, 3.413785542658349]","9_lag_labSSTjfm, 3_lag_traEU, 17_lag_amo2, 3_lag_13_median_tripol3, 3_lag_24_median_amo1, 29_lag_ormenSSTjfm_3835_3"
LRforcedPSO,19,6,nhSICjfm,shigh,885.5,2005.5,0.8,34,4,4,14.985823339835434,0.14047933898950887,3835,"['4_lag_wnorPRjfm', '17_lag_traFB', '16_lag_nchinaPRjja', '23_lag_mhfATL45', '13_lag_AMOCann', '22_lag_amoSSTmjjaso']","[0.11668065990935794, 2.7798936998849904, 4.838563860485346, 0.7942775074910386, 5.354675530244348, 2.726264032989352]","4_lag_wnorPRjfm, 17_lag_traFB, 16_lag_nchinaPRjja, 23_lag_mhfATL45, 13_lag_AMOCann, 22_lag_amoSSTmjjaso_3835_4"
