model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,6,nhSICjfm,shigh,1514.5,2005.5,0.8,15,5,5,20.08034582446261,0.23174656094194374,1235,"['14_lag_amo1', '14_lag_atlSICsep', '9_lag_eurPSLjfm', '5_lag_8_median_cetTSjfm', '11_lag_samPSLann', '10_lag_wnorPRjfm']","[0.008116449209869077, 0.17604043256406865, 0.08132997871933717, 0.33701052069021853, 0.0123565597826851, 0.04499299553460166]","14_lag_amo1, 14_lag_atlSICsep, 9_lag_eurPSLjfm, 5_lag_8_median_cetTSjfm, 11_lag_samPSLann, 10_lag_wnorPRjfm_1235_5"
LinearRegression,1,6,nhSICjfm,shigh,1515.5,2005.5,0.8,16,6,6,17.856614840707984,0.3323745894925584,1235,"['8_lag_samPSLann', '6_lag_seurTSjfm', '8_lag_mhfIP30', '13_lag_nppc3SSTjfm', '6_lag_atlSICsep', '6_lag_11_median_stratZ50ndj03']","[0.03226884648815286, 0.18743463101333874, 0.038454546847249554, 0.03551764191234555, 0.253360682289708, 0.16351528115891756]","8_lag_samPSLann, 6_lag_seurTSjfm, 8_lag_mhfIP30, 13_lag_nppc3SSTjfm, 6_lag_atlSICsep, 6_lag_11_median_stratZ50ndj03_1235_6"
LinearRegression,2,6,nhSICjfm,shigh,1516.5,2005.5,0.8,17,7,7,20.25028882849422,0.19981342244446285,1235,"['7_lag_10_median_traBS', '16_lag_solFORC', '10_lag_wnorPRjfm', '7_lag_11_median_samPSLann', '11_lag_tripol3', '7_lag_amo1']","[0.025523290904688852, 0.10237487524818131, 0.0040015817176548224, 0.06828594460040716, 0.25124802553947034, 0.07803495293358562]","7_lag_10_median_traBS, 16_lag_solFORC, 10_lag_wnorPRjfm, 7_lag_11_median_samPSLann, 11_lag_tripol3, 7_lag_amo1_1235_7"
LinearRegression,3,6,nhSICjfm,shigh,1517.5,2005.5,0.8,18,8,8,15.074127759447144,0.24542233201094196,1235,"['12_lag_amo2', '8_lag_13_median_traMC', '13_lag_traTLS', '8_lag_shSICsep', '8_lag_mhfIP30', '8_lag_amoSSTmjjaso']","[0.19407726927324612, 0.08512889833299375, 0.0876952176604144, 0.11876586458969046, 0.04595094024028454, 0.31685384203424444]","12_lag_amo2, 8_lag_13_median_traMC, 13_lag_traTLS, 8_lag_shSICsep, 8_lag_mhfIP30, 8_lag_amoSSTmjjaso_1235_8"
LinearRegression,4,6,nhSICjfm,shigh,1518.5,2005.5,0.8,19,9,9,18.6811402895368,0.2539899262458572,1235,"['18_lag_nchinaPRjja', '18_lag_tripol3', '9_lag_shSICsep', '17_lag_mhfIP30', '18_lag_traFSC', '13_lag_nhSICjfm']","[0.06436445169792016, 0.12489375063825571, 0.051604525123891076, 0.0490249904983405, 0.06944223170637084, 0.2710332871402423]","18_lag_nchinaPRjja, 18_lag_tripol3, 9_lag_shSICsep, 17_lag_mhfIP30, 18_lag_traFSC, 13_lag_nhSICjfm_1235_9"
LinearRegression,5,6,nhSICjfm,shigh,1519.5,2005.5,0.8,20,10,10,22.290462581857888,0.01752985512259055,1235,"['13_lag_traMC', '10_lag_19_median_ismPRjja', '18_lag_traFSC', '17_lag_mhfIP30', '18_lag_satlSSTjfm', '16_lag_naoPSLjfm']","[0.04664881610696446, 0.24016059293006378, 0.033655907012743846, 0.01629280057598828, 0.1367209276190588, 0.011491199138851813]","13_lag_traMC, 10_lag_19_median_ismPRjja, 18_lag_traFSC, 17_lag_mhfIP30, 18_lag_satlSSTjfm, 16_lag_naoPSLjfm_1235_10"
LinearRegression,6,6,nhSICjfm,shigh,1520.5,2005.5,0.8,21,11,11,15.821505813212783,0.337548799568946,1235,"['19_lag_eurPSLjfm', '16_lag_tripol3', '18_lag_satlSSTjfm', '11_lag_stratZ50ndj02', '11_lag_tripol3', '11_lag_stratZ50ndj04']","[0.02306978055002345, 0.1204107896387602, 0.015264026201973577, 0.08289992436701117, 0.27834670591145805, 0.2147212233428661]","19_lag_eurPSLjfm, 16_lag_tripol3, 18_lag_satlSSTjfm, 11_lag_stratZ50ndj02, 11_lag_tripol3, 11_lag_stratZ50ndj04_1235_11"
LinearRegression,7,6,nhSICjfm,shigh,1521.5,2005.5,0.8,22,12,12,22.646952492991325,0.20999384837888305,1235,"['17_lag_traEC', '12_lag_15_median_nppc2SSTjfm', '18_lag_satlSSTjfm', '18_lag_traFB', '19_lag_traWP', '19_lag_wnorPRjfm']","[0.015189058741910455, 0.028165725105607428, 0.12742124744775463, 0.024563037903009913, 0.052666255713595636, 0.006858057336215556]","17_lag_traEC, 12_lag_15_median_nppc2SSTjfm, 18_lag_satlSSTjfm, 18_lag_traFB, 19_lag_traWP, 19_lag_wnorPRjfm_1235_12"
LinearRegression,8,6,nhSICjfm,shigh,1522.5,2005.5,0.8,23,13,13,23.586739925388105,0.2765320195363021,1235,"['19_lag_wnorPRjfm', '22_lag_traDP', '13_lag_16_median_eurPSLjfm', '18_lag_nchinaPRjja', '21_lag_atlSICsep', '18_lag_satlSSTjfm']","[0.02576441059924606, 0.1162165759662577, 0.04346044396731238, 0.06682760731797449, 0.1217940744269154, 0.16230335908256885]","19_lag_wnorPRjfm, 22_lag_traDP, 13_lag_16_median_eurPSLjfm, 18_lag_nchinaPRjja, 21_lag_atlSICsep, 18_lag_satlSSTjfm_1235_13"
LinearRegression,9,6,nhSICjfm,shigh,1523.5,2005.5,0.8,24,14,14,21.288935726602276,0.28927221219956833,1235,"['14_lag_nppc2SSTjfm', '20_lag_satlSSTjfm', '18_lag_satlSSTjfm', '17_lag_samPSLann', '19_lag_ginwSSTjfm', '22_lag_atlSICsep']","[0.01541460147053847, 0.12152910739504391, 0.07219419922481213, 0.016679102586518068, 0.053750188068501965, 0.04935844022293358]","14_lag_nppc2SSTjfm, 20_lag_satlSSTjfm, 18_lag_satlSSTjfm, 17_lag_samPSLann, 19_lag_ginwSSTjfm, 22_lag_atlSICsep_1235_14"
