model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,6,nhSICsep,shigh,1514.5,2005.5,0.6,15,5,5,10.560590717048177,0.6605897762545692,1235,"['5_lag_6_median_mhfATL45', '5_lag_9_median_mhfATL30', '5_lag_7_median_eurPSLjfm', '10_lag_mhfATL45', '10_lag_tripol3', '5_lag_14_median_glTSjfm']","[2.1265924511001693, 0.32509235879971143, 0.8678962982318605, 0.6354494740667178, 2.3418212171535693, 3.686548456992604]","5_lag_6_median_mhfATL45, 5_lag_9_median_mhfATL30, 5_lag_7_median_eurPSLjfm, 10_lag_mhfATL45, 10_lag_tripol3, 5_lag_14_median_glTSjfm_1235_5"
LRforcedPSO,1,6,nhSICsep,shigh,1515.5,2005.5,0.6,16,6,6,12.72260960037833,0.37330645560486525,1235,"['15_lag_shTSjfm', '6_lag_traWP', '12_lag_atlSICjfm', '6_lag_8_median_mhfATL60', '6_lag_13_median_glTSjfm', '6_lag_13_median_solFORC']","[2.990976782023365, 6.138054511709877, 0.3454425772737366, 0.6383293785227568, 1.5625648723656287, 2.8562747033524865]","15_lag_shTSjfm, 6_lag_traWP, 12_lag_atlSICjfm, 6_lag_8_median_mhfATL60, 6_lag_13_median_glTSjfm, 6_lag_13_median_solFORC_1235_6"
LRforcedPSO,2,6,nhSICsep,shigh,1516.5,2005.5,0.6,17,7,7,12.26165284767022,0.5260920151276736,1235,"['13_lag_nppc2SSTjfm', '16_lag_nhTSjfm', '10_lag_tripol2', '7_lag_9_median_amoSSTmjjaso', '7_lag_10_median_ismPRjja', '7_lag_seurTSjfm']","[7.628991259146984, 3.1161177042509074, 0.26647951251615076, 2.048287714477137, 0.14403225084933702, 1.9191907059986058]","13_lag_nppc2SSTjfm, 16_lag_nhTSjfm, 10_lag_tripol2, 7_lag_9_median_amoSSTmjjaso, 7_lag_10_median_ismPRjja, 7_lag_seurTSjfm_1235_7"
LRforcedPSO,3,6,nhSICsep,shigh,1517.5,2005.5,0.6,18,8,8,15.459217293304642,-0.01953905159572287,1235,"['8_lag_ormenSSTjfm', '8_lag_11_median_tripol3', '14_lag_mhfATL30', '8_lag_14_median_ensoSSTjfm', '8_lag_11_median_stratZ50ndj01', '13_lag_shSICsep']","[2.022664595599287, 2.0439879745740495, 1.5517524563743932, 1.8855461294210263, 1.5331915625984214, 1.871310558516496]","8_lag_ormenSSTjfm, 8_lag_11_median_tripol3, 14_lag_mhfATL30, 8_lag_14_median_ensoSSTjfm, 8_lag_11_median_stratZ50ndj01, 13_lag_shSICsep_1235_8"
LRforcedPSO,4,6,nhSICsep,shigh,1518.5,2005.5,0.6,19,9,9,14.494679720801217,0.19455251862605039,1235,"['9_lag_11_median_amo3', '14_lag_shTSjfm', '9_lag_18_median_mhfATL30', '17_lag_AMOCann', '12_lag_pdoSSTjfm', '9_lag_16_median_eurPSLjfm']","[2.1369060051725244, 2.537064035589609, 2.849149529953897, 2.1371353976856646, 2.1369221510621967, 2.1368622378326037]","9_lag_11_median_amo3, 14_lag_shTSjfm, 9_lag_18_median_mhfATL30, 17_lag_AMOCann, 12_lag_pdoSSTjfm, 9_lag_16_median_eurPSLjfm_1235_9"
LRforcedPSO,5,6,nhSICsep,shigh,1519.5,2005.5,0.6,20,10,10,11.79274620465825,0.5259473806453954,1235,"['10_lag_18_median_mhfIP30', '10_lag_18_median_seurTSjfm', '10_lag_19_median_glTSjfm', '10_lag_17_median_nhSICsep', '11_lag_stratZ50ndj01', '10_lag_16_median_labSSTjfm']","[0.828121989702101, 3.2745574957670502, 5.812306214425442, 3.446468733733589, 2.1601075729689008, 7.3209875777146465]","10_lag_18_median_mhfIP30, 10_lag_18_median_seurTSjfm, 10_lag_19_median_glTSjfm, 10_lag_17_median_nhSICsep, 11_lag_stratZ50ndj01, 10_lag_16_median_labSSTjfm_1235_10"
LRforcedPSO,6,6,nhSICsep,shigh,1520.5,2005.5,0.6,21,11,11,11.94295471100798,0.47573941185222546,1235,"['11_lag_19_median_traBS', '16_lag_atlSICjfm', '11_lag_15_median_nchinaPRjja', '11_lag_17_median_glomaSSTjfm', '11_lag_13_median_yrvPRjja', '19_lag_yrvPRjja']","[6.25513518098564, 1.613431272571379, 0.41915693397121956, 3.9170391332076093, 3.5331988824973877, 0.7746240590870617]","11_lag_19_median_traBS, 16_lag_atlSICjfm, 11_lag_15_median_nchinaPRjja, 11_lag_17_median_glomaSSTjfm, 11_lag_13_median_yrvPRjja, 19_lag_yrvPRjja_1235_11"
LRforcedPSO,7,6,nhSICsep,shigh,1521.5,2005.5,0.6,22,12,12,11.900572918789095,0.4365857126479311,1235,"['12_lag_21_median_amoSSTmjjaso', '20_lag_neurTSjfm', '17_lag_nppc2SSTjfm', '17_lag_atlSICsep', '12_lag_traFB', '14_lag_pdoSSTjfm']","[2.83659180744944, 1.6803639935763286, 1.5355492513027258, 0.5917303473229207, 0.038347044955461485, 4.316287992077921]","12_lag_21_median_amoSSTmjjaso, 20_lag_neurTSjfm, 17_lag_nppc2SSTjfm, 17_lag_atlSICsep, 12_lag_traFB, 14_lag_pdoSSTjfm_1235_12"
LRforcedPSO,8,6,nhSICsep,shigh,1522.5,2005.5,0.6,23,13,13,16.664979277659015,-0.09122049415394902,1235,"['13_lag_19_median_mhfATL45', '19_lag_nchinaPRjja', '18_lag_stratZ50ndj01', '22_lag_atlSICjfm', '19_lag_nhSICsep', '13_lag_14_median_gyreSSTjfm']","[2.3670798662827237, 2.4068957395372492, 2.3892487730113445, 2.3699495402110955, 2.594540186462078, 3.156088879123175]","13_lag_19_median_mhfATL45, 19_lag_nchinaPRjja, 18_lag_stratZ50ndj01, 22_lag_atlSICjfm, 19_lag_nhSICsep, 13_lag_14_median_gyreSSTjfm_1235_13"
LRforcedPSO,9,6,nhSICsep,shigh,1523.5,2005.5,0.6,24,14,14,17.797017570136756,-0.4822180830387912,1235,"['17_lag_wnorPRjfm', '19_lag_nppc3SSTjfm', '19_lag_traWP', '14_lag_20_median_neurTSjfm', '21_lag_traWP', '18_lag_naoPSLjfm']","[1.3366349066222762, 1.3393986955753276, 1.3366426443009083, 1.7821785121870786, 1.5898256049497714, 1.3366341770259516]","17_lag_wnorPRjfm, 19_lag_nppc3SSTjfm, 19_lag_traWP, 14_lag_20_median_neurTSjfm, 21_lag_traWP, 18_lag_naoPSLjfm_1235_14"
